[('Local', 'JJ')] 
[('Chicago', 'NNP')] 
[('', 'NN')] 
[('IL', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('USA', 'NNP')] 
[('Received', 'VBN')] 
[('', 'NN')] 
[('November', 'NNP')] 
[('', 'NN')] 
[('', 'NN')] 
[('revised', 'VBN')] 
[('', 'NN')] 
[('March', 'NNP')] 
[('', 'NN')] 
[('', 'NN')] 
[('accepted', 'JJ')] 
[('', 'NN')] 
[('March', 'NNP')] 
[('', 'NN')] 
[('Available', 'JJ')] 
[('online', 'NN')] 
[('', 'NN')] 
[('May', 'NNP')] 
[('', 'NN')] 
[('Abstract', 'NN')] 
[('Orthopedic', 'NN')] 
[('dental', 'NN')] 
[('implant', 'NN')] 
[('fixation', 'NN')] 
[('depends', 'NNS')] 
[('upon', 'IN')] 
[('bone', 'NN')] 
[('regeneration', 'NN')] 
[('', 'NN')] 
[('Growth', 'NN')] 
[('factors', 'NNS')] 
[('transforming', 'VBG')] 
[('growth', 'NN')] 
[('factorbeta', 'NN')] 
[('', 'NN')] 
[('TGF', 'NN')] 
[('h', 'NN')] 
[('', 'NN')] 
[('shown', 'VBN')] 
[('enhance', 'NN')] 
[('bone', 'NN')] 
[('repair', 'NN')] 
[('strengthen', 'NN')] 
[('mechanical', 'JJ')] 
[('connection', 'NN')] 
[('implant', 'NN')] 
[('host', 'NN')] 
[('skeleton', 'NN')] 
[('canine', 'NN')] 
[('models', 'NNS')] 
[('', 'NN')] 
[('To', 'TO')] 
[('provide', 'NN')] 
[('platform', 'NN')] 
[('studying', 'VBG')] 
[('molecular', 'NN')] 
[('mechanisms', 'NNS')] 
[('growth', 'NN')] 
[('factor', 'NN')] 
[('stimulated', 'VBN')] 
[('bone', 'NN')] 
[('regeneration', 'NN')] 
[('implant', 'NN')] 
[('fixation', 'NN')] 
[('', 'NN')] 
[('present', 'NN')] 
[('studyexamined', 'VBN')] 
[('periimplant', 'NN')] 
[('bone', 'NN')] 
[('volume', 'NN')] 
[('response', 'NN')] 
[('TGF', 'NN')] 
[('htreatment', 'NN')] 
[('rodent', 'NN')] 
[('model', 'NN')] 
[('', 'NN')] 
[('The', 'DT')] 
[('rat', 'NN')] 
[('femoral', 'JJ')] 
[('ablation', 'NN')] 
[('model', 'NN')] 
[('implant', 'NN')] 
[('placed', 'VBN')] 
[('medullary', 'NN')] 
[('cavity', 'NN')] 
[('femur', 'NN')] 
[('used', 'VBN')] 
[('examine', 'NN')] 
[('dose', 'NN')] 
[('response', 'NN')] 
[('TGF', 'NN')] 
[('h', 'NN')] 
[('applied', 'VBN')] 
[('implant', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Ag', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('The', 'DT')] 
[('study', 'NN')] 
[('included', 'VBD')] 
[('total', 'JJ')] 
[('', 'NN')] 
[('rats', 'NNS')] 
[('', 'NN')] 
[('', 'NN')] 
[('per', 'IN')] 
[('dose', 'NN')] 
[('', 'NN')] 
[('examined', 'VBN')] 
[('', 'NN')] 
[('days', 'NNS')] 
[('', 'NN')] 
[('Periimplant', 'NN')] 
[('bone', 'NN')] 
[('volume', 'NN')] 
[('boneimplant', 'NN')] 
[('contact', 'NN')] 
[('assessed', 'VBN')] 
[('microcomputed', 'VBN')] 
[('tomography', 'NN')] 
[('implant', 'NN')] 
[('fixation', 'NN')] 
[('strength', 'NN')] 
[('determined', 'VBN')] 
[('mechanical', 'JJ')] 
[('pullout', 'NN')] 
[('test', 'NN')] 
[('', 'NN')] 
[('Treatment', 'NN')] 
[('implantwith', 'NN')] 
[('', 'NN')] 
[('Ag', 'NN')] 
[('TGF', 'NN')] 
[('h', 'NN')] 
[('led', 'VBN')] 
[('fold', 'NN')] 
[('increase', 'NN')] 
[('bone', 'NN')] 
[('volume', 'NN')] 
[('', 'NN')] 
[('P', 'NN')] 
[('<', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('fold', 'NN')] 
[('increase', 'NN')] 
[('boneimplant', 'NN')] 
[('contact', 'NN')] 
[('', 'NN')] 
[('P', 'NN')] 
[('<', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('trend', 'NN')] 
[('increasing', 'VBG')] 
[('fixation', 'NN')] 
[('strength', 'NN')] 
[('', 'NN')] 
[('nonsignificant', 'NN')] 
[('increase', 'NN')] 
[('fold', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('TGF', 'NN')] 
[('h', 'NN')] 
[('treatment', 'NN')] 
[('', 'NN')] 
[('Ag', 'NN')] 
[('led', 'VBN')] 
[('uniform', 'NN')] 
[('periimplant', 'NN')] 
[('bone', 'NN')] 
[('volume', 'NN')] 
[('boneimplant', 'NN')] 
[('contact', 'NN')] 
[('along', 'IN')] 
[('length', 'NN')] 
[('implant', 'NN')] 
[('', 'NN')] 
[('whereas', 'NNS')] 
[('groups', 'NNS')] 
[('less', 'RBR')] 
[('bone', 'NN')] 
[('midpoint', 'NN')] 
[('compared', 'VBN')] 
[('theproximal', 'NN')] 
[('distal', 'NN')] 
[('aspects', 'NNS')] 
[('implant', 'NN')] 
[('', 'NN')] 
[('About', 'IN')] 
[('', 'NN')] 
[('%', 'NN')] 
[('variance', 'NN')] 
[('implant', 'NN')] 
[('fixation', 'NN')] 
[('strength', 'NN')] 
[('explained', 'VBD')] 
[('regression', 'NN')] 
[('model', 'NN')] 
[('involving', 'VBG')] 
[('boneimplant', 'NN')] 
[('contact', 'NN')] 
[('periimplant', 'NN')] 
[('bone', 'NN')] 
[('volume', 'NN')] 
[('', 'NN')] 
[('D', 'NN')] 
[('Elsevier', 'NN')] 
[('Inc', 'NNP')] 
[('All', 'DT')] 
[('rights', 'NNS')] 
[('reserved', 'VBN')] 
[('', 'NN')] 
[('Keywords', 'NNS')] 
[('', 'NN')] 
[('Implant', 'NN')] 
[('fixation', 'NN')] 
[('', 'NN')] 
[('TGF', 'NN')] 
[('h', 'NN')] 
[('', 'NN')] 
[('Microcomputed', 'VBN')] 
[('tomography', 'NN')] 
[('', 'NN')] 
[('Bone', 'NN')] 
[('regeneration', 'NN')] 
[('Introduction', 'NN')] 
[('Orthopedic', 'NN')] 
[('dental', 'NN')] 
[('implants', 'NNS')] 
[('rely', 'RB')] 
[('bone', 'NN')] 
[('regeneration', 'NN')] 
[('achieve', 'NN')] 
[('mechanical', 'JJ')] 
[('fixation', 'NN')] 
[('host', 'NN')] 
[('skeleton', 'NN')] 
[('', 'NN')] 
[('arequisite', 'NN')] 
[('clinical', 'JJ')] 
[('success', 'NN')] 
[('', 'NN')] 
[('A', 'DT')] 
[('variety', 'NN')] 
[('anabolic', 'NN')] 
[('agentsare', 'NN')] 
[('known', 'VBN')] 
[('enhance', 'NN')] 
[('bone', 'NN')] 
[('regeneration', 'NN')] 
[('', 'NN')] 
[('Recently', 'RB')] 
[('', 'NN')] 
[('considerable', 'JJ')] 
[('efforts', 'NNS')] 
[('made', 'VBN')] 
[('enhance', 'NN')] 
[('accelerate', 'NN')] 
[('intramembranous', 'JJ')] 
[('bone', 'NN')] 
[('regeneration', 'NN')] 
[('', 'NN')] 
[('particular', 'JJ')] 
[('form', 'NN')] 
[('bone', 'NN')] 
[('repair', 'NN')] 
[('important', 'JJ')] 
[('implant', 'NN')] 
[('fixationSeveral', 'JJ')] 
[('growth', 'NN')] 
[('factors', 'NNS')] 
[('', 'NN')] 
[('including', 'VBG')] 
[('members', 'NNS')] 
[('TGF', 'NN')] 
[('h', 'NN')] 
[('superfamily', 'RB')] 
[('', 'NN')] 
[('demonstrated', 'VBN')] 
[('ability', 'NN')] 
[('canine', 'NN')] 
[('models', 'NNS')] 
[('[', 'NN')] 
[('', 'NN')] 
[(']', 'NN')] 
[('', 'NN')] 
[('These', 'DT')] 
[('studies', 'NNS')] 
[('shown', 'VBN')] 
[('local', 'JJ')] 
[('application', 'NN')] 
[('growth', 'NN')] 
[('factor', 'NN')] 
[('implant', 'NN')] 
[('effective', 'JJ')] 
[('strategy', 'NN')] 
[('toenhance', 'NN')] 
[('periimplant', 'NN')] 
[('bone', 'NN')] 
[('volume', 'NN')] 
[('', 'NN')] 
[('boneimplant', 'NN')] 
[('contact', 'NN')] 
[('', 'NN')] 
[('orbone', 'NN')] 
[('ingrowth', 'NN')] 
[('well', 'RB')] 
[('mechanical', 'JJ')] 
[('force', 'NN')] 
[('required', 'VBN')] 
[('dislodge', 'NN')] 
[('implant', 'NN')] 
[('host', 'NN')] 
[('skeleton', 'NN')] 
[('', 'NN')] 
[('There', 'EX')] 
[('need', 'NN')] 
[('small', 'JJ')] 
[('animal', 'NN')] 
[('model', 'NN')] 
[('study', 'NN')] 
[('enhanced', 'VBN')] 
[('bone', 'NN')] 
[('regeneration', 'NN')] 
[('implant', 'NN')] 
[('fixation', 'NN')] 
[('thatmolecular', 'NN')] 
[('biology', 'NN')] 
[('endpoints', 'NNS')] 
[('eventually', 'RB')] 
[('easilyexamined', 'VBN')] 
[('', 'NN')] 
[('In', 'IN')] 
[('present', 'NN')] 
[('study', 'NN')] 
[('adapted', 'VBN')] 
[('rat', 'NN')] 
[('modelused', 'VBN')] 
[('originally', 'RB')] 
[('study', 'NN')] 
[('hematopoiesis', 'NN')] 
[('[', 'NN')] 
[('', 'NN')] 
[(']', 'NN')] 
[('recently', 'RB')] 
[('used', 'VBN')] 
[('study', 'NN')] 
[('intramembranous', 'JJ')] 
[('bone', 'NN')] 
[('formation', 'NN')] 
[('[', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[(']', 'NN')] 
[('', 'NN')] 
[('A', 'DT')] 
[('number', 'NN')] 
[('groups', 'NNS')] 
[('using', 'VBG')] 
[('adaptation', 'NN')] 
[('/', 'NN')] 
[('$', '$')] 
[('', 'NN')] 
[('see', 'VB')] 
[('front', 'NN')] 
[('matter', 'NN')] 
[('D', 'NN')] 
[('Elsevier', 'NN')] 
[('Inc', 'NNP')] 
[('All', 'DT')] 
[('rights', 'NNS')] 
[('reserved', 'VBN')] 
[('', 'NN')] 
[('doi/jbone', 'NN')] 
[('', 'NN')] 
[('Corresponding', 'VBG')] 
[('author', 'NN')] 
[('', 'NN')] 
[('Department', 'NNP')] 
[('Anatomy', 'NN')] 
[('Cell', 'NN')] 
[('Biology', 'NN')] 
[('', 'NN')] 
[('Rush', 'NN')] 
[('Medical', 'JJ')] 
[('College', 'NN')] 
[('', 'NN')] 
[('Rush', 'NN')] 
[('University', 'NNP')] 
[('Medical', 'JJ')] 
[('Center', 'NNP')] 
[('', 'NN')] 
[('', 'NN')] 
[('S', 'NN')] 
[('Paulina', 'NNP')] 
[('', 'NN')] 
[('Room', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Chicago', 'NNP')] 
[('', 'NN')] 
[('IL', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('USA', 'NNP')] 
[('', 'NN')] 
[('Fax', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Email', 'NN')] 
[('address', 'NN')] 
[('', 'NN')] 
[('rick_sumner', 'NN')] 
[('', 'NN')] 
[('rushedu', 'NN')] 
[('', 'NN')] 
[('DR', 'NN')] 
[('', 'NN')] 
[('Sumner', 'NN')] 
[('', 'NN')] 
[('Bone', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('wwwelseviercom/locate/bone', 'NN')] 
[('model', 'NN')] 
[('examine', 'NN')] 
[('issues', 'NNS')] 
[('related', 'JJ')] 
[('implant', 'NN')] 
[('fixation', 'NN')] 
[('', 'NN')] 
[('main', 'JJ')] 
[('focus', 'NN')] 
[('date', 'NN')] 
[('implant', 'NN')] 
[('surface', 'NN')] 
[('treatments', 'NNS')] 
[('[', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[(']', 'NN')] 
[('', 'NN')] 
[('This', 'DT')] 
[('appropriate', 'NN')] 
[('model', 'NN')] 
[('studies', 'NNS')] 
[('implant', 'NN')] 
[('fixation', 'NN')] 
[('intramembranous', 'JJ')] 
[('bone', 'NN')] 
[('formation', 'NN')] 
[('basicrequirement', 'NN')] 
[('‘', 'NN')] 
[('‘', 'NN')] 
[('cementless', 'NN')] 
[('’', 'NN')] 
[('’', 'NN')] 
[('implant', 'NN')] 
[('fixation', 'NN')] 
[('', 'NN')] 
[('Althoughgrowth', 'NN')] 
[('factors', 'NNS')] 
[('received', 'VBN')] 
[('much', 'JJ')] 
[('attention', 'NN')] 
[('ratmarrow', 'NN')] 
[('ablation', 'NN')] 
[('implant', 'NN')] 
[('model', 'NN')] 
[('', 'NN')] 
[('one', 'CD')] 
[('recent', 'JJ')] 
[('study', 'NN')] 
[('inwhich', 'NN')] 
[('TGF', 'NN')] 
[('hdoses', 'NNS')] 
[('', 'NN')] 
[('Ag', 'NN')] 
[('reported', 'VBD')] 
[('effect', 'NN')] 
[('[', 'NN')] 
[('', 'NN')] 
[(']', 'NN')] 
[('', 'NN')] 
[('The', 'DT')] 
[('purpose', 'NN')] 
[('present', 'NN')] 
[('study', 'NN')] 
[('determine', 'NN')] 
[('local', 'JJ')] 
[('application', 'NN')] 
[('TGF', 'NN')] 
[('hin', 'NN')] 
[('rat', 'NN')] 
[('model', 'NN')] 
[('led', 'VBN')] 
[('increased', 'VBN')] 
[('periimplant', 'NN')] 
[('bone', 'NN')] 
[('volume', 'NN')] 
[('', 'NN')] 
[('boneimplant', 'NN')] 
[('contact', 'NN')] 
[('', 'NN')] 
[('and/orimplant', 'NN')] 
[('fixation', 'NN')] 
[('strength', 'NN')] 
[('', 'NN')] 
[('Accordingly', 'RB')] 
[('', 'NN')] 
[('performed', 'VBN')] 
[('anexperiment', 'NN')] 
[('determine', 'NN')] 
[('doses', 'NNS')] 
[('TGF', 'NN')] 
[('h', 'NN')] 
[('ranging', 'VBG')] 
[('', 'NN')] 
[('', 'NN')] 
[('Ag/implant', 'NN')] 
[('effective', 'JJ')] 
[('enhancing', 'VBG')] 
[('bone', 'NN')] 
[('volume', 'NN')] 
[('', 'NN')] 
[('boneimplant', 'NN')] 
[('contact', 'NN')] 
[('', 'NN')] 
[('implant', 'NN')] 
[('fixation', 'NN')] 
[('strength', 'NN')] 
[('', 'NN')] 
[('days', 'NNS')] 
[('rat', 'NN')] 
[('model', 'NN')] 
[('', 'NN')] 
[('Materials', 'NNS')] 
[('methods', 'NNS')] 
[('Forty', 'NN')] 
[('monthold', 'NN')] 
[('male', 'NN')] 
[('SpragueDawley', 'NN')] 
[('rats', 'NNS')] 
[('implanted', 'VBN')] 
[('unilaterally', 'RB')] 
[('hydroxyapatite/tricalcium', 'NN')] 
[('phosphate', 'NN')] 
[('', 'NN')] 
[('HA/TCP', 'NN')] 
[('', 'NN')] 
[('coated', 'VBN')] 
[('titanium', 'NN')] 
[('rods', 'NNS')] 
[('treated', 'VBN')] 
[('buffer', 'NN')] 
[('control', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Ag', 'NN')] 
[('', 'NN')] 
[('Ag', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Ag', 'NN')] 
[('recombinant', 'NN')] 
[('human', 'NN')] 
[('TGFh', 'NN')] 
[('IACUCapproved', 'VBN')] 
[('study', 'NN')] 
[('', 'NN')] 
[('Animals', 'NNS')] 
[('killed', 'VBN')] 
[('', 'NN')] 
[('weeks', 'NNS')] 
[('postsurgery', 'NN')] 
[('', 'NN')] 
[('For', 'IN')] 
[('group', 'NN')] 
[('', 'NN')] 
[('seven', 'CD')] 
[('implantedfemurs', 'NNS')] 
[('first', 'RB')] 
[('analyzed', 'VBN')] 
[('microcomputed', 'VBN')] 
[('tomography', 'NN')] 
[('', 'NN')] 
[('ACT', 'NN')] 
[('', 'NN')] 
[('measure', 'NN')] 
[('bone', 'NN')] 
[('volume', 'NN')] 
[('near', 'IN')] 
[('implant', 'NN')] 
[('bone', 'NN')] 
[('implant', 'NN')] 
[('contact', 'NN')] 
[('', 'NN')] 
[('followed', 'VBD')] 
[('mechanical', 'JJ')] 
[('pullout', 'NN')] 
[('test', 'NN')] 
[('tomeasure', 'NN')] 
[('strength', 'NN')] 
[('fixation', 'NN')] 
[('implant', 'NN')] 
[('', 'NN')] 
[('Theremaining', 'VBG')] 
[('three', 'CD')] 
[('specimens', 'NNS')] 
[('embedded', 'VBN')] 
[('plastic', 'NN')] 
[('', 'NN')] 
[('sectioned', 'VBN')] 
[('diamond', 'NN')] 
[('band', 'NN')] 
[('saw', 'NN')] 
[('', 'NN')] 
[('Exakt', 'NN')] 
[('Model', 'NN')] 
[('CP', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('mm', 'NN')] 
[('thick', 'NN')] 
[('slabs', 'NNS')] 
[('', 'NN')] 
[('ground', 'NN')] 
[('nominal', 'JJ')] 
[('thickness', 'NN')] 
[('Am', 'NN')] 
[('', 'NN')] 
[('Buehler', 'NN')] 
[('model', 'NN')] 
[('Phoenix', 'NNP')] 
[('', 'NN')] 
[('', 'NN')] 
[('Lake', 'VB')] 
[('Bluff', 'NN')] 
[('', 'NN')] 
[('IL', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('stained', 'VBN')] 
[('toluidine', 'NN')] 
[('blue', 'NN')] 
[('basic', 'JJ')] 
[('fuchsin', 'NN')] 
[('', 'NN')] 
[('followingmethods', 'NNS')] 
[('previously', 'RB')] 
[('described', 'NN')] 
[('detail', 'NN')] 
[('[', 'NN')] 
[('', 'NN')] 
[(']', 'NN')] 
[('', 'NN')] 
[('Implants', 'NNS')] 
[('', 'NN')] 
[('TGF', 'NN')] 
[('bloading', 'NN')] 
[('', 'NN')] 
[('vitro', 'NN')] 
[('release', 'NN')] 
[('Titanium', 'NN')] 
[('implants', 'NNS')] 
[('', 'NN')] 
[('', 'NN')] 
[('mm', 'NN')] 
[('long', 'RB')] 
[('', 'NN')] 
[('mm', 'NN')] 
[('diameter', 'NN')] 
[('', 'NN')] 
[('Grandis', 'NN')] 
[('Metals', 'NNS')] 
[('', 'NN')] 
[('Lake', 'VB')] 
[('Forest', 'JJS')] 
[('', 'NN')] 
[('CA', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('coated', 'VBN')] 
[('anHA/TCP', 'NN')] 
[('surface', 'NN')] 
[('plasma', 'NN')] 
[('flame', 'NN')] 
[('spray', 'NN')] 
[('technique', 'NN')] 
[('', 'NN')] 
[('Zimmer', 'NN')] 
[('', 'NN')] 
[('Warsaw', 'NNP')] 
[('', 'NN')] 
[('IN', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('The', 'DT')] 
[('HA/TCP', 'NN')] 
[('layer', 'NN')] 
[('approximately', 'RB')] 
[('', 'NN')] 
[('Am', 'NN')] 
[('thick', 'NN')] 
[('determined', 'VBN')] 
[('contain', 'NN')] 
[('', 'NN')] 
[('%', 'NN')] 
[('hydroxyapatite', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('%', 'NN')] 
[('tricalcium', 'NN')] 
[('phosphate', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('%', 'NN')] 
[('uncharacterized', 'JJ')] 
[('calcium', 'NN')] 
[('phosphates', 'NNS')] 
[('[', 'NN')] 
[('', 'NN')] 
[(']', 'NN')] 
[('', 'NN')] 
[('The', 'DT')] 
[('target', 'NN')] 
[('doses', 'NNS')] 
[('recombinant', 'NN')] 
[('human', 'NN')] 
[('TGF', 'NN')] 
[('h', 'NN')] 
[('', 'NN')] 
[('gift', 'NN')] 
[('Genzyme', 'NN')] 
[('Corpo', 'NN')] 
[('ration', 'NN')] 
[('', 'NN')] 
[('Framingham', 'NN')] 
[('', 'NN')] 
[('MA', 'NN')] 
[('', 'NN')] 
[('applied', 'VBN')] 
[('pipetting', 'VBG')] 
[('', 'NN')] 
[('Al', 'NN')] 
[('volumes', 'NNS')] 
[('diluted', 'VBN')] 
[('stock', 'NN')] 
[('solutions', 'NNS')] 
[('uniformly', 'RB')] 
[('onto', 'IN')] 
[('HA/TCP', 'NN')] 
[('surface', 'NN')] 
[('implant', 'NN')] 
[('', 'NN')] 
[('The', 'DT')] 
[('stock', 'NN')] 
[('solutions', 'NNS')] 
[('wereformulated', 'VBN')] 
[('mM', 'NN')] 
[('Na', 'NN')] 
[('citrate/', 'NN')] 
[('%', 'NN')] 
[('mannitol', 'NN')] 
[('', 'NN')] 
[('pH', 'NN')] 
[('buffer', 'NN')] 
[('', 'NN')] 
[('Control', 'NN')] 
[('implants', 'NNS')] 
[('treated', 'VBN')] 
[('', 'NN')] 
[('Al', 'NN')] 
[('buffer', 'NN')] 
[('', 'NN')] 
[('The', 'DT')] 
[('volume', 'NN')] 
[('used', 'VBN')] 
[('TGF', 'NN')] 
[('h', 'NN')] 
[('stock', 'NN')] 
[('solution', 'NN')] 
[('control', 'NN')] 
[('buffer', 'NN')] 
[('small', 'JJ')] 
[('enough', 'RB')] 
[('allow', 'VB')] 
[('even', 'RB')] 
[('coating', 'VBG')] 
[('theimplant', 'NN')] 
[('without', 'IN')] 
[('saturation', 'NN')] 
[('dripping', 'VBG')] 
[('', 'NN')] 
[('The', 'DT')] 
[('solutions', 'NNS')] 
[('weresterile', 'NN')] 
[('endotoxin', 'NN')] 
[('free', 'JJ')] 
[('', 'NN')] 
[('The', 'DT')] 
[('implants', 'NNS')] 
[('air', 'NN')] 
[('dried', 'VBN')] 
[('aseptically', 'RB')] 
[('packaged', 'VBN')] 
[('', 'NN')] 
[('All', 'DT')] 
[('handling', 'VBG')] 
[('sterile', 'NN')] 
[('implantstook', 'NN')] 
[('place', 'NN')] 
[('class', 'NN')] 
[('', 'NN')] 
[('laminar', 'NN')] 
[('flow', 'NN')] 
[('hood', 'NN')] 
[('', 'NN')] 
[('An', 'DT')] 
[('vitrorelease', 'NN')] 
[('kinetic', 'JJ')] 
[('experiment', 'NN')] 
[('performed', 'VBN')] 
[('determine', 'NN')] 
[('theamount', 'NN')] 
[('TGF', 'NN')] 
[('h', 'NN')] 
[('released', 'VBN')] 
[('implant', 'NN')] 
[('time', 'NN')] 
[('', 'NN')] 
[('The', 'DT')] 
[('study', 'NN')] 
[('used', 'VBN')] 
[('one', 'CD')] 
[('implant', 'NN')] 
[('loaded', 'VBN')] 
[('', 'NN')] 
[('Ag', 'NN')] 
[('growth', 'NN')] 
[('factor', 'NN')] 
[('one', 'CD')] 
[('implant', 'NN')] 
[('loaded', 'VBN')] 
[('', 'NN')] 
[('Ag', 'NN')] 
[('growth', 'NN')] 
[('factor', 'NN')] 
[('', 'NN')] 
[('described', 'NN')] 
[('', 'NN')] 
[('The', 'DT')] 
[('experimental', 'NN')] 
[('procedures', 'NNS')] 
[('similar', 'JJ')] 
[('previously', 'RB')] 
[('described', 'NN')] 
[('vitro', 'NN')] 
[('study', 'NN')] 
[('canine', 'NN')] 
[('implant', 'NN')] 
[('[', 'NN')] 
[('', 'NN')] 
[(']', 'NN')] 
[('', 'NN')] 
[('Briefly', 'NN')] 
[('', 'NN')] 
[('release', 'NN')] 
[('profile', 'NN')] 
[('created', 'VBN')] 
[('incubating', 'VBG')] 
[('implants', 'NNS')] 
[('phosphatebuffered', 'VBN')] 
[('saline', 'NN')] 
[('with', 'IN')] 
[('%', 'NN')] 
[('bovine', 'NN')] 
[('serum', 'NN')] 
[('albumin', 'NN')] 
[('', 'NN')] 
[('C', 'SYM')] 
[('rocker', 'NN')] 
[('', 'NN')] 
[('The', 'DT')] 
[('sample', 'NN')] 
[('implants', 'NNS')] 
[('placed', 'VBN')] 
[('fresh', 'JJ')] 
[('aliquots', 'NNS')] 
[('buffer', 'NN')] 
[('regularintervals', 'NNS')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('h', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('An', 'DT')] 
[('ELISAusing', 'VBG')] 
[('TGF', 'NN')] 
[('hspecific', 'NN')] 
[('antibody', 'NN')] 
[('', 'NN')] 
[('D', 'NN')] 
[('', 'NN')] 
[('Genzyme', 'NN')] 
[('Cor', 'NN')] 
[('poration', 'NN')] 
[('', 'NN')] 
[('Framingham', 'NN')] 
[('', 'NN')] 
[('MA', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('performed', 'VBN')] 
[('assess', 'NN')] 
[('temporal', 'JJ')] 
[('release', 'NN')] 
[('', 'NN')] 
[('Rat', 'NN')] 
[('model', 'NN')] 
[('Male', 'NN')] 
[('SpragueDawley', 'NN')] 
[('rats', 'NNS')] 
[('', 'NN')] 
[('', 'NN')] 
[('g', 'NN')] 
[('', 'NN')] 
[('approximately', 'RB')] 
