[('Selective', 'JJ')] 
[('depleted', 'VBN')] 
[('population', 'NN')] 
[('OP', 'NN')] 
[('', 'NN')] 
[('confirming', 'VBG')] 
[('OPselection', 'NN')] 
[('cellattachment', 'NN')] 
[('effect', 'NN')] 
[('', 'NN')] 
[('When', 'WRB')] 
[('RC', 'NN')] 
[('cell', 'NN')] 
[('populationsisolatedbysuccessivecollagenaseextractionswerecompared', 'VBN')] 
[('', 'NN')] 
[('highest', 'JJS')] 
[('rate', 'NN')] 
[('OP', 'NN')] 
[('enrichment', 'NN')] 
[('laminin', 'NN')] 
[('wasobtained', 'VBN')] 
[('earliest', 'JJS')] 
[('populations', 'NNS')] 
[('', 'NN')] 
[('mostresponsive', 'NN')] 
[('dexamethasone', 'NN')] 
[('', 'NN')] 
[('marker', 'NN')] 
[('early', 'RB')] 
[('OP', 'NN')] 
[('stagesIn', 'NN')] 
[('conclusion', 'NN')] 
[('', 'NN')] 
[('laminin', 'NN')] 
[('recruits', 'NNS')] 
[('vitro', 'NN')] 
[('', 'NN')] 
[('cellattachment', 'NN')] 
[('effect', 'NN')] 
[('', 'NN')] 
[('OP', 'NN')] 
[('present', 'NN')] 
[('early', 'RB')] 
[('RC', 'NN')] 
[('cell', 'NN')] 
[('populations', 'NNS')] 
[('', 'NN')] 
[('laminins', 'NNS')] 
[('abundant', 'NN')] 
[('extracellular', 'NN')] 
[('matrixcomponents', 'NNS')] 
[('', 'NN')] 
[('', 'NN')] 
[('Bone', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('©', 'NN')] 
[('', 'NN')] 
[('ElsevierScience', 'NN')] 
[('Inc', 'NNP')] 
[('All', 'DT')] 
[('rights', 'NNS')] 
[('reserved', 'VBN')] 
[('', 'NN')] 
[('Key', 'NN')] 
[('Words', 'NNS')] 
[('', 'NN')] 
[('Osteoprogenitor', 'NN')] 
[('', 'NN')] 
[('Bone', 'NN')] 
[('nodules', 'NNS')] 
[('', 'NN')] 
[('Cell', 'NN')] 
[('attachment', 'NN')] 
[('', 'NN')] 
[('Extracellular', 'NN')] 
[('matrix', 'NN')] 
[('', 'NN')] 
[('Laminin', 'NN')] 
[('', 'NN')] 
[('Introduction', 'NN')] 
[('Numerous', 'JJ')] 
[('studies', 'NNS')] 
[('shown', 'VBN')] 
[('adhesive', 'JJ')] 
[('events', 'NNS')] 
[('para', 'NN')] 
[('mount', 'NN')] 
[('importance', 'NN')] 
[('bone', 'NN')] 
[('cell', 'NN')] 
[('functionIn', 'NN')] 
[('particular', 'JJ')] 
[('', 'NN')] 
[('recruitment', 'NN')] 
[('osteoblast', 'NN')] 
[('progenitors', 'NNS')] 
[('', 'NN')] 
[('OP', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('critical', 'JJ')] 
[('step', 'NN')] 
[('inendochondral', 'JJ')] 
[('ossification', 'NN')] 
[('and', 'CC')] 
[('bone', 'NN')] 
[('remodelingnot', 'NN')] 
[('onlyinvolves', 'NNS')] 
[('proliferation', 'NN')] 
[('differentiation', 'NN')] 
[('precursors', 'NNS')] 
[('', 'NN')] 
[('also', 'RB')] 
[('migration', 'NN')] 
[('attachment', 'NN')] 
[('', 'NN')] 
[('interactions', 'NNS')] 
[('withmatrix', 'NN')] 
[('proteins', 'NNS')] 
[('', 'NN')] 
[('sites', 'NNS')] 
[('bone', 'NN')] 
[('formation', 'NN')] 
[('', 'NN')] 
[('Several', 'JJ')] 
[('glycoproteins', 'NNS')] 
[('shown', 'VBN')] 
[('involved', 'VBN')] 
[('binding', 'NN')] 
[('bonecells', 'NNS')] 
[('extracellular', 'NN')] 
[('matrix', 'NN')] 
[('', 'NN')] 
[('Some', 'DT')] 
[('principallylocalized', 'VBN')] 
[('bone', 'NN')] 
[('tissue', 'NN')] 
[('secreted', 'VBN')] 
[('mostly', 'RB')] 
[('cells', 'NNS')] 
[('ofosteoblastic', 'JJ')] 
[('lineage', 'NN')] 
[('', 'NN')] 
[('eg', 'NN')] 
[('', 'NN')] 
[('bone', 'NN')] 
[('sialoprotein', 'NN')] 
[('[', 'NN')] 
[('BSP', 'NN')] 
[(']', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('whereas', 'NNS')] 
[('others', 'NNS')] 
[('produced', 'VBN')] 
[('various', 'JJ')] 
[('cell', 'NN')] 
[('types', 'NNS')] 
[('', 'NN')] 
[('eg', 'NN')] 
[('', 'NN')] 
[('osteopontin', 'NN')] 
[('', 'NN')] 
[('r', 'NN')] 
[('areubiquitousinsoftconnectivetissues', 'NNS')] 
[('', 'NN')] 
[('eg', 'NN')] 
[('', 'NN')] 
[('collagen', 'NN')] 
[('', 'NN')] 
[('fibronectin', 'NN')] 
[('', 'NN')] 
[('vitronectin', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Although', 'IN')] 
[('much', 'JJ')] 
[('work', 'NN')] 
[('devoted', 'VBN')] 
[('tostudying', 'VBG')] 
[('attachment', 'NN')] 
[('osteoblastic', 'JJ')] 
[('cell', 'NN')] 
[('lines', 'NNS')] 
[('and/or', 'NN')] 
[('normalbone', 'NN')] 
[('cells', 'NNS')] 
[('undefined/mixed', 'JJ')] 
[('differentiation', 'NN')] 
[('stages', 'NNS')] 
[('matrixcomponents', 'NNS')] 
[('found', 'NN')] 
[('bone', 'NN')] 
[('environment', 'NN')] 
[('', 'NN')] 
[('respective', 'NN')] 
[('contributions', 'NNS')] 
[('different', 'JJ')] 
[('cell', 'NN')] 
[('binding', 'NN')] 
[('proteins', 'NNS')] 
[('specificattachment', 'NN')] 
[('early', 'RB')] 
[('', 'NN')] 
[('progenitor', 'NN')] 
[('stages', 'NNS')] 
[('osteoblast', 'NN')] 
[('lineagehave', 'NN')] 
[('yet', 'RB')] 
[('investigated', 'VBN')] 
[('', 'NN')] 
[('Because', 'IN')] 
[('absence', 'NN')] 
[('specific', 'JJ')] 
[('markers', 'NNS')] 
[('allowing', 'VBG')] 
[('direct', 'JJ')] 
[('identification', 'NN')] 
[('OP', 'NN')] 
[('cells', 'NNS')] 
[('', 'NN')] 
[('indirect', 'NN')] 
[('systems', 'NNS')] 
[('required', 'VBN')] 
[('theirstudy', 'NN')] 
[('', 'NN')] 
[('wellcharacterized', 'VBN')] 
[('primary', 'NN')] 
[('fetal', 'NN')] 
[('rat', 'NN')] 
[('calvarial', 'NN')] 
[('', 'NN')] 
[('RC', 'NN')] 
[('', 'NN')] 
[('cell', 'NN')] 
[('culture', 'NN')] 
[('system', 'NN')] 
[('', 'NN')] 
[('reviewed', 'VBN')] 
[('Aubin', 'NN')] 
[('Liu', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('When', 'WRB')] 
[('enzymatically', 'RB')] 
[('isolated', 'JJ')] 
[('RC', 'NN')] 
[('cells', 'NNS')] 
[('grown', 'NN')] 
[('medium', 'NN')] 
[('supplemented', 'VBN')] 
[('ascorbic', 'NN')] 
[('acid', 'NN')] 
[('bglycerophosphate', 'NN')] 
[('', 'NN')] 
[('OP', 'NN')] 
[('form', 'NN')] 
[('threedimensionalbonecolonies', 'NNS')] 
[('', 'NN')] 
[('nodules', 'NNS')] 
[('', 'NN')] 
[('', 'NN')] 
[('inwhichanupper', 'NN')] 
[('layer', 'NN')] 
[('cuboidal', 'NN')] 
[('osteoblasts', 'NNS')] 
[('deposit', 'NN')] 
[('extracellular', 'NN')] 
[('matrix', 'NN')] 
[('thathas', 'NN')] 
[('histological', 'JJ')] 
[('', 'NN')] 
[('ultrastructural', 'JJ')] 
[('', 'NN')] 
[('immunohistochemicalappearance', 'NN')] 
[('woven', 'RB')] 
[('bone', 'NN')] 
[('', 'NN')] 
[('Limiting', 'VBG')] 
[('dilution', 'NN')] 
[('analysisas', 'NN')] 
[('well', 'RB')] 
[('bone', 'NN')] 
[('nodule', 'NN')] 
[('formation', 'NN')] 
[('cells', 'NNS')] 
[('plated', 'VBN')] 
[('low', 'JJ')] 
[('density', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('cell/cm', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('has', 'VBZ')] 
[('shown', 'VBN')] 
[('one', 'CD')] 
[('bone', 'NN')] 
[('nodule', 'NN')] 
[('originates', 'NNS')] 
[('one', 'CD')] 
[('OP', 'NN')] 
[('cell', 'NN')] 
[('standard', 'NN')] 
[('culture', 'NN')] 
[('conditions', 'NNS')] 
[('', 'NN')] 
[('Thus', 'RB')] 
[('', 'NN')] 
[('OPpresent', 'NN')] 
[('RC', 'NN')] 
[('cell', 'NN')] 
[('cultures', 'NNS')] 
[('detected', 'VBN')] 
[('abilityto', 'NN')] 
[('form', 'NN')] 
[('mineralizing', 'VBG')] 
[('bone', 'NN')] 
[('nodules', 'NNS')] 
[('', 'NN')] 
[('characteristic', 'JJ')] 
[('colony', 'NN')] 
[('typeeasy', 'NN')] 
[('identify', 'VB')] 
[('quantitate', 'NN')] 
[('', 'NN')] 
[('It', 'PRP')] 
[('therefore', 'RB')] 
[('possible', 'JJ')] 
[('use', 'NN')] 
[('RCcell', 'NNP')] 
[('cultures', 'NNS')] 
[('vitro', 'NN')] 
[('model', 'NN')] 
[('quantify', 'VB')] 
[('analyzeexperimentally', 'RB')] 
[('population', 'NN')] 
[('OP', 'NN')] 
[('plated', 'VBN')] 
[('attached', 'VBN')] 
[('', 'NN')] 
[('In', 'IN')] 
[('present', 'NN')] 
[('study', 'NN')] 
[('', 'NN')] 
[('used', 'VBN')] 
[('RC', 'NN')] 
[('cell', 'NN')] 
[('culture', 'NN')] 
[('system', 'NN')] 
[('develop', 'VB')] 
[('specific', 'JJ')] 
[('assay', 'NN')] 
[('OP', 'NN')] 
[('attachment', 'NN')] 
[('various', 'JJ')] 
[('matrixproteins', 'NNS')] 
[('', 'NN')] 
[('compared', 'VBN')] 
[('proteins', 'NNS')] 
[('capacity', 'NN')] 
[('torecruit', 'NN')] 
[('OP', 'NN')] 
[('', 'NN')] 
[('We', 'PRP')] 
[('show', 'NN')] 
[('laminin', 'NN')] 
[('selects', 'NNS')] 
[('OP', 'NN')] 
[('favoring', 'VBG')] 
[('theirattachment', 'NN')] 
[('matrix', 'NN')] 
[('', 'NN')] 
[('antiadhesive', 'JJ')] 
[('cellsin', 'NN')] 
[('populations', 'NNS')] 
[('plated', 'VBN')] 
[('', 'NN')] 
[('In', 'IN')] 
[('particular', 'JJ')] 
[('', 'NN')] 
[('laminin', 'NN')] 
[('efficientlyrecruits', 'NNS')] 
[('OP', 'NN')] 
[('early', 'RB')] 
[('', 'NN')] 
[('undifferentiated', 'JJ')] 
[('RC', 'NN')] 
[('cell', 'NN')] 
[('populations', 'NNS')] 
[('', 'NN')] 
[('ofwhich', 'NN')] 
[('laminins', 'NNS')] 
[('abundant', 'NN')] 
[('extracellular', 'NN')] 
[('matrix', 'NN')] 
[('component', 'NN')] 
[('', 'NN')] 
[('Materials', 'NNS')] 
[('Methods', 'NNS')] 
[('Materialsaminimal', 'JJ')] 
[('essential', 'JJ')] 
[('medium', 'NN')] 
[('', 'NN')] 
[('supplemented', 'VBN')] 
[('nucleotides', 'NNS')] 
[('', 'NN')] 
[('aMEM', 'NN')] 
[('DNA/RNA', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('well', 'RB')] 
[('transferrin', 'NN')] 
[('', 'NN')] 
[('penicillin', 'NN')] 
[('', 'NN')] 
[('steptomycin', 'NN')] 
[('', 'NN')] 
[('purchased', 'VBN')] 
[('Life', 'NN')] 
[('Technologies', 'NNS')] 
[('', 'NN')] 
[('Grand', 'NNP')] 
[('Address', 'NN')] 
[('correspondence', 'NN')] 
[('reprints', 'NNS')] 
[('', 'NN')] 
[('Luc', 'NN')] 
[('Malaval', 'NN')] 
[('', 'NN')] 
[('PhD', 'NN')] 
[('', 'NN')] 
[('INSERM', 'NN')] 
[('Unite´', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Hoˆpital', 'NN')] 
[('Edouard', 'NN')] 
[('Herriot', 'NN')] 
[('', 'NN')] 
[('Pavillon', 'NN')] 
[('F', 'NN')] 
[('', 'NN')] 
[('Place', 'NN')] 
[('D', 'NN')] 
[('’', 'NN')] 
[('arsonval', 'NN')] 
[('', 'NN')] 
[('Lyon', 'NN')] 
[('Cedex', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('France', 'NNP')] 
[('', 'NN')] 
[('Email', 'NN')] 
[('', 'NN')] 
[('malaval', 'NN')] 
[('', 'NN')] 
[('lyoninsermfr', 'NN')] 
[('Part', 'NN')] 
[('work', 'NN')] 
[('previously', 'RB')] 
[('presented', 'VBN')] 
[('abstract', 'NN')] 
[('form', 'NN')] 
[('', 'NN')] 
[('J', 'NN')] 
[('Bone', 'NN')] 
[('Miner', 'NN')] 
[('Res', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('S', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('J', 'NN')] 
[('Bone', 'NN')] 
[('Miner', 'NN')] 
[('Res', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('S', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Bone', 'NN')] 
[('Vol', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('No', 'DT')] 
[('', 'NN')] 
[('', 'NN')] 
[('April', 'NNP')] 
[('', 'NN')] 
[('', 'NN')] 
[('©', 'NN')] 
[('', 'NN')] 
[('Elsevier', 'NN')] 
[('Science', 'NN')] 
[('Inc', 'NNP')] 
[('//', 'NN')] 
[('$', '$')] 
[('', 'NN')] 
[('All', 'DT')] 
[('rights', 'NNS')] 
[('reserved', 'VBN')] 
[('', 'NN')] 
[('PII', 'NN')] 
[('S', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('X', 'NN')] 
[('Island', 'NN')] 
[('', 'NN')] 
[('NY', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Fetal', 'NN')] 
[('calf', 'NN')] 
[('serum', 'NN')] 
[('', 'NN')] 
[('FCS', 'NN')] 
[('', 'NN')] 
[('purchased', 'VBN')] 
[('Poly', 'NN')] 
[('labo', 'NN')] 
[('', 'NN')] 
[('Strasbourg', 'NN')] 
[('', 'NN')] 
[('France', 'NNP')] 
[('', 'NN')] 
[('', 'NN')] 
[('Sterile', 'NN')] 
[('culture', 'NN')] 
[('plasticware', 'NN')] 
[('obtained', 'VBN')] 
[('FalconBecton', 'NN')] 
[('Dickinson', 'NN')] 
[('', 'NN')] 
[('Beford', 'NN')] 
[('', 'NN')] 
[('MA', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Ascorbicacid', 'NN')] 
[('', 'NN')] 
[('bglycerophosphate', 'NN')] 
[('', 'NN')] 
[('sodium', 'NN')] 
[('pyruvate', 'NN')] 
[('purchased', 'VBN')] 
[('Merck', 'NN')] 
[('', 'NN')] 
[('Darmstadt', 'NN')] 
[('', 'NN')] 
[('Germany', 'NNP')] 
[('', 'NN')] 
[('', 'NN')] 
[('Bovine', 'NN')] 
[('serum', 'NN')] 
[('albumin', 'NN')] 
[('', 'NN')] 
[('BSA', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Lcysteine', 'NN')] 
[('', 'NN')] 
[('dexamethasone', 'NN')] 
[('obtained', 'VBN')] 
[('Sigma', 'NN')] 
[('', 'NN')] 
[('St', 'NN')] 
[('Louis', 'NNP')] 
[('', 'NN')] 
[('MO', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Chromatography', 'NN')] 
[('resins', 'NNS')] 
[('purchasedfrom', 'NN')] 
[('Pharmacia', 'NN')] 
[('', 'NN')] 
[('Uppsala', 'NN')] 
[('', 'NN')] 
[('Sweden', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Guanidinium', 'NN')] 
[('chloride', 'NN')] 
[('wasfrom', 'NN')] 
[('Sigma', 'NN')] 
[('', 'NN')] 
[('biochemical', 'JJ')] 
[('reagents', 'NNS')] 
[('Merck', 'NN')] 
[('', 'NN')] 
[('Matrix', 'NN')] 
[('Proteins', 'NNS')] 
[('An', 'DT')] 
[('ethylenediamine', 'NN')] 
[('tetraacetic', 'JJ')] 
[('acid', 'NN')] 
[('', 'NN')] 
[('EDTA', 'NN')] 
[('', 'NN')] 
[('extract', 'NN')] 
[('noncol', 'NN')] 
[('lagenousproteinsfromfetalbovinelongboneswaspreparedandseparated', 'VBN')] 
[('gelfiltration', 'NN')] 
[('chromatography', 'NN')] 
[('', 'NN')] 
[('mol/L', 'NN')] 
[('guanidinium', 'NN')] 
[('chloride', 'NN')] 
[('SepharoseCLB', 'NN')] 
[('gelfiltration', 'NN')] 
[('tandemcolumn', 'NN')] 
[('', 'NN')] 
[('Chromatographyfractionswerecollected', 'VBN')] 
[('', 'NN')] 
[('pooled', 'VBN')] 
[('', 'NN')] 
[('dialyzed', 'VBN')] 
[('phosphatebuffered', 'VBN')] 
[('saline', 'NN')] 
[('', 'NN')] 
[('PBS', 'NNP')] 
[('', 'NN')] 
[('', 'NN')] 
[('content', 'NN')] 
[('characterized', 'VBN')] 
[('dot', 'NN')] 
[('immunoblotting', 'VBG')] 
[('antibodiesagainst', 'NN')] 
[('major', 'JJ')] 
[('extracellular', 'NN')] 
[('matrix', 'NN')] 
[('proteins', 'NNS')] 
[('', 'NN')] 
[('Rat', 'NN')] 
[('plasma', 'NN')] 
[('vitronectin', 'NN')] 
[('', 'NN')] 
[('human', 'NN')] 
[('plasma', 'NN')] 
[('fibronectin', 'NN')] 
[('', 'NN')] 
[('bovine', 'NN')] 
[('fetuin', 'NN')] 
[('', 'NN')] 
[('HS', 'NN')] 
[('glycopro', 'NN')] 
[('tein', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('rattail', 'NN')] 
[('type', 'NN')] 
[('I', 'PRP')] 
[('collagen', 'NN')] 
[('', 'NN')] 
[('mouse', 'NN')] 
[('EHS', 'NN')] 
[('tumor', 'NN')] 
[('lamininwere', 'RB')] 
[('purchased', 'VBN')] 
[('Sigma', 'NN')] 
[('', 'NN')] 
[('laminin', 'NN')] 
[('purified', 'VBN')] 
[('entactin', 'NN')] 
[('purchased', 'VBN')] 
[('Becton', 'NNP')] 
[('Dickinson', 'NN')] 
[('', 'NN')] 
[('Human', 'NNP')] 
[('tenascin', 'NN')] 
[('', 'NN')] 
[('tenascinC', 'NN')] 
[('', 'NN')] 
[('purchased', 'VBN')] 
[('Gibco', 'NN')] 
[('', 'NN')] 
[('Porcine', 'NN')] 
[('BSP', 'NN')] 
[('OPNwerepurifiedfromthemol/LEDTAextractsofadultporcinecalvarie', 'NN')] 
[('fast', 'NN')] 
[('protein', 'NN')] 
[('liquid', 'NN')] 
[('chomatography', 'NN')] 
[('system', 'NN')] 
[('', 'NN')] 
[('Pharmacia', 'NN')] 
[('', 'NN')] 
[('using', 'VBG')] 
[('techniques', 'NNS')] 
[('described', 'NN')] 
[('elsewhere', 'RB')] 
[('', 'NN')] 
[('Bovine', 'NN')] 
[('bone', 'NN')] 
[('osteo', 'NN')] 
[('calcin', 'NN')] 
[('isolated', 'JJ')] 
[('purified', 'VBN')] 
[('previously', 'RB')] 
[('described', 'NN')] 
[('Protein', 'NN')] 
[('Coating', 'VBG')] 
[('Cellattachment', 'NN')] 
[('assays', 'NNS')] 
[('performed', 'VBN')] 
[('', 'NN')] 
[('well', 'RB')] 
[('plates', 'NNS')] 
[('', 'NN')] 
[('Coat', 'NN')] 
[('ing', 'VBG')] 
[('performed', 'VBN')] 
[('described', 'NN')] 
[('elsewherewith', 'NN')] 
[('modifications', 'NNS')] 
[('', 'NN')] 
[('The', 'DT')] 
[('proteins', 'NNS')] 
[('dissolved', 'VBN')] 
[('PBS', 'NNP')] 
[('supplemented', 'VBN')] 
[('mmol/L', 'NN')] 
[('CaCl', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('mL', 'NN')] 
[('solution', 'NN')] 
[('deposited', 'VBN')] 
[('well', 'RB')] 
[('', 'NN')] 
[('', 'NN')] 
[('cmarea', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('After', 'IN')] 
[('', 'NN')] 
[('h', 'NN')] 
[('incubation', 'NN')] 
[('°C', 'NN')] 
[('gentle', 'NN')] 
[('shaking', 'VBG')] 
[('', 'NN')] 
[('supernatants', 'NNS')] 
[('containing', 'VBG')] 
[('unbound', 'NN')] 
[('protein', 'NN')] 
[('collected', 'VBN')] 
[('assayed', 'NNS')] 
[('using', 'VBG')] 
[('microBCA', 'NN')] 
[('assay', 'NN')] 
[('kit', 'NN')] 
[('', 'NN')] 
[('Pierce', 'NN')] 
[('', 'NN')] 
[('Rockford', 'NN')] 
[('', 'NN')] 
[('IL', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('todeterminetheamounteffectivelyadsorbedTheminimum', 'NN')] 
[('coating', 'VBG')] 
[('concentration', 'NN')] 
[('providing', 'VBG')] 
[('maximal', 'NN')] 
[('effect', 'NN')] 
[('thecellattachment', 'NN')] 
[('assay', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('mg/mL', 'NN')] 
[('proteins', 'NNS')] 
[('', 'NN')] 
[('used', 'VBN')] 
[('experiments', 'NNS')] 
[('shown', 'VBN')] 
[('unless', 'IN')] 
[('otherwise', 'RB')] 
[('specified', 'VBN')] 
[('', 'NN')] 
[('exception', 'NN')] 
[('tenascin', 'NN')] 
[('', 'NN')] 
[('reached', 'VBN')] 
[('maximum', 'NN')] 
[('binding', 'NN')] 
[('capacity', 'NN')] 
[('atmg/ml', 'NN')] 
[('', 'NN')] 
[('Coated', 'VBN')] 
[('plates', 'NNS')] 
[('washed', 'VBN')] 
[('three', 'CD')] 
[('times', 'NNS')] 
[('PBS', 'NNP')] 
[('', 'NN')] 
[('saturated', 'VBN')] 
[('fo', 'NN')] 
[('rha', 'NN')] 
[('troom', 'NN')] 
[('temperature', 'NN')] 
[('', 'NN')] 
[('mL', 'NN')] 
[('', 'NN')] 
[('%', 'NN')] 
[('BSA', 'NN')] 
[('heat', 'NN')] 
[('denatured', 'VBN')] 
[('Hepesbuffered', 'VBN')] 
[('saline', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('mmol/L', 'NN')] 
[('Hepes', 'NNS')] 
[('mmol/L', 'NN')] 
[('NaCl', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('mmol/L', 'NN')] 
[('KCl', 'NNP')] 
[('', 'NN')] 
[('', 'NN')] 
