cm, PROPN 
systems, NOUN 
result, VERB 
trans-, VERB 

, SPACE 
verse, NOUN 
motion, NOUN 
stably, ADV 
bound, VERB 
confining, ADJ 
di-, NOUN 

, SPACE 
mensional, ADJ 
potential, NOUN 
free, ADJ 
longitudinal, ADJ 
motion, NOUN 

, SPACE 
length, NOUN 
structure, NOUN 
bound, ADJ 
states, NOUN 

, SPACE 
guide, NOUN 
offer, VERB 
direct, ADJ 
evidence, NOUN 
quantum, NOUN 
interference, NOUN 

, SPACE 
de, X 
Broglie, PROPN 
waves, NOUN 
sharpness, NOUN 
energy, NOUN 
levels, NOUN 

, SPACE 
associated, VERB 
states, NOUN 
result, NOUN 
wave, NOUN 
interference, NOUN 

, SPACE 
similar, ADJ 
frequency, ADJ 
selection, NOUN 
high, ADJ 
quality, NOUN 
interfer-, ADJ 

, SPACE 
ometer, NOUN 
propagate, VERB 
microwaves, NOUN 
example, NOUN 
special, ADJ 

, SPACE 
wave, NOUN 
guide, NOUN 
required, VERB 
similarly, ADV 
de, PROPN 
Broglie, PROPN 
waves, NOUN 

, SPACE 
associated, VERB 
atoms, NOUN 
cooled, VERB 
temperatures, NOUN 

, SPACE 
microkelvin, NOUN 
new, ADJ 
techniques, NOUN 
laser, NOUN 
cooling, NOUN 
51, NUM 

, SPACE 
need, VERB 
special, ADJ 
guiding, VERB 
structures, NOUN 

, SPACE 
Corresponding, VERB 
author, NOUN 
E, NOUN 
mail, NOUN 
hau@risvax.rowland.org, PROPN 
Fax, NOUN 

, SPACE 
+, SYM 
1, NUM 
617, NUM 
4974627, NUM 
de, PROPN 
Broglie, PROPN 
waves, NOUN 
associated, VERB 
electrons, NOUN 

, SPACE 
positrons, NOUN 
MeV, NOUN 
wave, NOUN 
guide, NOUN 
created, VERB 

, SPACE 
strong, ADJ 
electric, ADJ 
field, NOUN 
proximity, NOUN 
atomic, ADJ 
strings, NOUN 

, SPACE 
single, ADJ 
crystals, NOUN 
motion, NOUN 
high, ADJ 
energy, NOUN 
charged, VERB 
parti-, NOUN 

, SPACE 
cles, NOUN 
penetrating, VERB 
crystal, NOUN 
small, ADJ 
angles, NOUN 
atomic, ADJ 

, SPACE 
axis, NOUN 
governed, VERB 
continuum, ADJ 
potential, NOUN 
obtained, VERB 

, SPACE 
average, NOUN 
crystal, NOUN 
potential, NOUN 
atomic, ADJ 
string, NOUN 
z, PROPN 

, SPACE 
direction, NOUN 

, SPACE 
d, NOUN 
interatomic, ADJ 
spacing, NOUN 
atoms, NOUN 

, SPACE 
string, NOUN 
examples, NOUN 
wave, NOUN 
structures, NOUN 
represent, VERB 

, SPACE 
large, ADJ 
span, NOUN 
scales, NOUN 
wavelengths, NOUN 
microwaves, NOUN 

, SPACE 
cm, NOUN 
wavelengths, NOUN 
propagate, VERB 
macroscopic, ADJ 
structures, NOUN 

, SPACE 
microkelvin, ADJ 
cold, ADJ 
atoms, NOUN 
wavelengths, NOUN 

, SPACE 
order, NOUN 
1000, NUM 
require, VERB 
mesoscopic, ADJ 
structures, NOUN 
based, VERB 

, SPACE 
micron, NOUN 
sized, ADJ 
wires, NOUN 
propagation, NOUN 
MeV, PROPN 
electrons, NOUN 

, SPACE 
positrons, NOUN 
wavelengths, NOUN 
connected, VERB 
transverse, ADJ 

, SPACE 
motion, NOUN 
order, NOUN 
matches, VERB 
size, NOUN 

, SPACE 
crystalline, NOUN 
wave, NOUN 
guides, NOUN 

, SPACE 
0168, NUM 
583X/96/$15.00, PROPN 
Copyright, NOUN 
0, NUM 
1996, NUM 
Elsevier, ADJ 
Science, NOUN 
J3.V., NOUN 
rights, NOUN 
reserved, VERB 

, SPACE 
PII, PROPN 
SO168, PROPN 
583X(96)00307, NUM 
2, NUM 

, SPACE 
L.V., PROPN 
Hau, PROPN 
et, PROPN 
al./Nucl, PROPN 
Insrr, PROPN 
Merh, PROPN 
Phys, PROPN 
Res, PROPN 
B, PROPN 
I19, PROPN 
1996, NUM 
30, NUM 
41, NUM 
31, NUM 

, SPACE 
theoretical, ADJ 
foundation, NOUN 
crystalline, NOUN 
guiding, NOUN 

, SPACE 
channeling, VERB 
contained, VERB 
papers, NOUN 
Lindhard, PROPN 

, SPACE 
6.7, NUM 
channeling, VERB 
corresponding, VERB 
bound, VERB 
motion, NOUN 

, SPACE 
continuum, VERB 
potential, NOUN 
incidence, ADJ 
angles, NOUN 
charged, VERB 
parti-, NOUN 

, SPACE 
cles, NOUN 
smaller, ADJ 
angle, NOUN 

, SPACE 
2, NUM 

, SPACE 
U, PROPN 
height, NOUN 
continuum, ADJ 
potential, NOUN 

, SPACE 
p, NOUN 
u, NOUN 
particle, NOUN 
momentum, NOUN 
velocity, NOUN 
critical, ADJ 

, SPACE 
angle, NOUN 
channeling, NOUN 
valid, ADJ 
positively, ADV 
nega-, NOUN 

, SPACE 
tively, ADV 
charged, VERB 
particles, NOUN 
6, NUM 
alternative, ADJ 
angle, NOUN 
8, NUM 

, SPACE 
introduced, VERB 
result, NOUN 
investigation, NOUN 

, SPACE 
validity, NOUN 
continuum, ADJ 
potential, NOUN 
requirement, NOUN 

, SPACE 
atoms, NOUN 
string, NOUN 
contribute, NOUN 
scattering, NOUN 

, SPACE 
incident, NOUN 
particle, NOUN 
distance, NOUN 
closest, ADJ 
approach, NOUN 

, SPACE 
leads, VERB 
requirement, NOUN 
incidence, NOUN 
angles, NOUN 
smaller, ADJ 

, SPACE 

, SPACE 
Z, PROPN 
e, NOUN 
charge, NOUN 
incoming, ADJ 
particle, NOUN 

, SPACE 
Z, PROPN 
atomic, ADJ 
number, NOUN 
target, NOUN 
atoms, NOUN 
analysis, NOUN 
ap-, VERB 

, SPACE 
plies, NOUN 
positively, ADV 
charged, VERB 
channeled, VERB 
particles, NOUN 

, SPACE 
critical, ADJ 
angles, NOUN 
typically, ADV 
order, NOUN 

, SPACE 
magnitude, NOUN 

, SPACE 
guiding, VERB 
effect, NOUN 
heavy, ADJ 
ions, NOUN 
MeV, NOUN 

, SPACE 
turned, VERB 
standard, ADJ 
tool, NOUN 
investigation, NOUN 
crystal, NOUN 

, SPACE 
quality, NOUN 
defect, VERB 
locations, NOUN 
8, NUM 
intellectually, ADV 

, SPACE 
intriguing, ADJ 
aspect, NOUN 
channeling, VERB 
effect, NOUN 
illus-, NOUN 

, SPACE 
tration, NOUN 
subtle, ADJ 
interplay, NOUN 
classical, ADJ 
orbital, ADJ 

, SPACE 
quantum, ADJ 
mechanical, ADJ 
pictures, NOUN 
example, NOUN 
inter-, ADJ 

, SPACE 
play, NOUN 
consider, VERB 
scattering, VERB 
charged, VERB 
particle, NOUN 

, SPACE 
atomic, ADJ 
string, NOUN 
6,9, X 
results, VERB 
combined, VERB 
scat-, NOUN 

, SPACE 
tering, VERB 
atoms, NOUN 
scattering, VERB 

, SPACE 
atoms, NOUN 
classical, ADJ 
description, NOUN 
breaks, VERB 
limit, NOUN 

, SPACE 
large, ADJ 
velocities, NOUN 
known, VERB 
fact, NOUN 

, SPACE 
surprising, ADJ 
de, PROPN 
Broglie, PROPN 
wavelength, NOUN 
h, PROPN 

, SPACE 
inversely, ADV 
proportional, ADJ 
velocity, NOUN 
large, ADJ 

, SPACE 
velocities, NOUN 
correspond, VERB 
small, ADJ 
de, X 
Broglie, PROPN 
wavelengths, VERB 

, SPACE 
wavelength, NOUN 
compared, VERB 
charac-, ADJ 

, SPACE 
teristic, ADJ 
length, NOUN 
scattering, VERB 
problem, NOUN 
natural, ADJ 
length, NOUN 

, SPACE 
collisional, ADJ 
diameter, NOUN 
b, PROPN 
inversely, ADV 
proportional, ADJ 

, SPACE 
inverse, ADJ 
square, NOUN 
velocity, NOUN 
classical, ADJ 

, SPACE 
orbital, ADJ 
picture, NOUN 
requires, VERB 

, SPACE 
b, NOUN 
2Z, NOUN 
Z, PROPN 
e2, PROPN 

, SPACE 
K=-==>>l, PROPN 

, SPACE 
x, SYM 
hV, X 

, SPACE 
parameter, NOUN 
K, PROPN 
introduced, VERB 
Bohr, PROPN 
lo, X 

, SPACE 
collisional, ADJ 
diameter, NOUN 
corresponding, VERB 
un-, AUX 

, SPACE 
screened, VERB 
Coulomb, PROPN 
scattering, VERB 
charges, NOUN 
Z, PROPN 
e, NOUN 

, SPACE 
Z, PROPN 
e., PROPN 
seen, VERB 
Eq, PROPN 
4, NUM 
impact, NOUN 
parameter, NOUN 
descrip-, NUM 

, SPACE 
tion, NOUN 
breaks, VERB 
large, ADJ 
velocities, NOUN 
scattering, VERB 
atomic, ADJ 
string, NOUN 
classi-, NUM 

, SPACE 
cal, ADJ 
orbital, ADJ 
picture, NOUN 
valid, ADJ 
large, ADJ 
velocity, NOUN 
limit, NOUN 

, SPACE 
statement, NOUN 
represent, VERB 
inconsistency, NOUN 

, SPACE 
argument, NOUN 
scattering, NOUN 
string, NOUN 

, SPACE 
series, NOUN 
correlated, VERB 
scattering, VERB 
events, NOUN 

, SPACE 
scattering, VERB 
angle, NOUN 
defined, VERB 
large, ADJ 
distances, NOUN 

, SPACE 
single, ADJ 
scattering, VERB 
event, NOUN 
immaterial, ADJ 
relevant, ADJ 
issue, NOUN 

, SPACE 
spreading, VERB 
transverse, ADJ 
wave, NOUN 
packet, NOUN 

, SPACE 
interatomic, ADJ 
spacing, NOUN 
atomic, ADJ 
swing, NOUN 

, SPACE 
wave, NOUN 
packet, NOUN 
centered, VERB 
momentum, NOUN 
corresponding, VERB 

, SPACE 
reduced, VERB 
wavelength, NOUN 
X, PROPN 
spreading, VERB 
G., PROPN 

, SPACE 
conclude, VERB 
classical, ADJ 
orbital, ADJ 
picture, NOUN 

, SPACE 
approached, VERB 
large, ADJ 
velocities, NOUN 

, SPACE 
case, NOUN 
single, ADJ 
atom, NOUN 
scattering, VERB 
intro-, X 

, SPACE 
duce, VERB 
kappa, PROPN 
parameter, NOUN 
scattering, VERB 
atomic, ADJ 
string, NOUN 

, SPACE 
described, VERB 
continuum, ADJ 
potential, NOUN 
potential, NOUN 
corre-, NOUN 

, SPACE 
sponding, VERB 
smearing, NOUN 
charge, NOUN 
distribution, NOUN 

, SPACE 
string, NOUN 
direction, NOUN 
exact, ADJ 
limit, NOUN 
large, ADJ 
velocities, NOUN 

, SPACE 
seen, VERB 
simple, ADJ 
argument, NOUN 
cutting, VERB 

, SPACE 
atom, NOUN 
string, NOUN 
halves, NOUN 
placing, VERB 
pieces, NOUN 

, SPACE 
half, DET 
interatomic, ADJ 
distance, NOUN 
equivalent, ADJ 
increasing, VERB 

, SPACE 
velocity, NOUN 
factor, NOUN 
6, NUM 
string, NOUN 
scattering, NOUN 

, SPACE 
kappa, PROPN 
parameter, NOUN 
inversely, ADV 
proportional, ADJ 
transverse, ADJ 

, SPACE 
velocity, NOUN 
~0, NOUN 
0, NUM 
angle, NOUN 
incidence, NOUN 
respect, NOUN 

, SPACE 
atomic, ADJ 
axis, NOUN 
requirement, NOUN 
validity, NOUN 

, SPACE 
classical, ADJ 
orbital, ADJ 
picture, NOUN 
transverse, ADJ 
motion, NOUN 

, SPACE 
channeled, VERB 
particle, NOUN 

, SPACE 
2Z, NOUN 
Z, PROPN 
e, NOUN 

, SPACE 
KtGIII, NOUN 
=, NOUN 
1, NUM 

, SPACE 
d, NOUN 

, SPACE 
u, PRON 
screening, NOUN 
length, NOUN 
simple, ADJ 
Thomas-, PROPN 

, SPACE 
Fermi, PROPN 
estimate, NOUN 
continuum, ADJ 
string, NOUN 
potential, NOUN 

, SPACE 
inserting, VERB 
critical, ADJ 
angle, NOUN 
6, NUM 
Eq, PROPN 
5, NUM 
conclude, VERB 

, SPACE 
requirement, NOUN 
fulfilled, VERB 
particles, NOUN 

, SPACE 
masses, NOUN 
large, ADJ 
compared, VERB 
electron, NOUN 
rest, NOUN 
mass, PROPN 

, SPACE 
highly, ADV 
relativistic, ADJ 
electrons, NOUN 
positrons, NOUN 
energies, NOUN 

, SPACE 
GeV, NOUN 
classical, ADJ 
description, NOUN 
apply, VERB 
quan-, ADJ 

, SPACE 
tum, NOUN 
mechanical, ADJ 
treatment, NOUN 
string, NOUN 
scattering, NOUN 
required, VERB 

, SPACE 
electrons, NOUN 
positrons, NOUN 
MeV, NOUN 
considered, VERB 

, SPACE 
paper, NOUN 

, SPACE 
point, NOUN 
stressed, VERB 
statements, NOUN 

, SPACE 
applicability, NOUN 
classical, ADJ 
mechanics, NOUN 
absolute, ADJ 

, SPACE 
statements, NOUN 
depend, VERB 
quantity, NOUN 
consideration, NOUN 

, SPACE 
Eqs, PROPN 
4, NUM 
5, X 
govern, VERB 
applicability, NOUN 
classical, ADJ 
me-, NOUN 

, SPACE 
chanics, NOUN 
determination, NOUN 
scattering, VERB 
angles, NOUN 
large, ADJ 

, SPACE 
distances, NOUN 
single, ADJ 
atom, NOUN 
single, ADJ 
string, NOUN 
scattering, NOUN 

, SPACE 
scattering, VERB 
array, NOUN 
strings, NOUN 
number, NOUN 

, SPACE 
classical, ADJ 
paths, NOUN 
rise, NOUN 
scattering, VERB 
angle, NOUN 

, SPACE 
prediction, NOUN 
final, ADJ 
result, NOUN 
scattering, VERB 
process, NOUN 

, SPACE 
involves, VERB 
addition, NOUN 
amplitudes, NOUN 
associated, VERB 

, SPACE 
different, ADJ 
paths, NOUN 
gives, VERB 
rise, NOUN 
interference, NOUN 
diffrac-, ADJ 

, SPACE 
tion, NOUN 
effects, NOUN 
cases, NOUN 
scattering, VERB 
single, ADJ 

, SPACE 
string, NOUN 
classical, ADJ 
Diffraction, NOUN 
associated, VERB 
events, NOUN 

, SPACE 
recoil, NOUN 
momentum, NOUN 
scattering, VERB 
process, NOUN 

, SPACE 
taken, VERB 
crystal, NOUN 
non, ADJ 
local, ADJ 
phonon, NOUN 

, SPACE 
32, NUM 
L.V., PROPN 
Hau, PROPN 
et, PROPN 
al./NucI., PROPN 
Instr, PROPN 
Meth, PROPN 
Phys, PROPN 
Rex, PROPN 
B, PROPN 
II9, PROPN 
1996130, NUM 
41, NUM 

, SPACE 
excitation, NOUN 
local, ADJ 
excitation, NOUN 
involved, VERB 
close, ADJ 

, SPACE 
encounter, NOUN 
processes, NOUN 
associated, VERB 
large, ADJ 
angle, NOUN 
scattering, NOUN 

, SPACE 
interference, NOUN 
effects, NOUN 
disappear, VERB 
scattering, VERB 
different, ADJ 

, SPACE 
atoms, NOUN 
leads, VERB 
distinctly, ADV 
different, ADJ 
final, ADJ 
states, NOUN 
con-, NOUN 

, SPACE 
siderations, NOUN 
relevant, ADJ 
transmission, NOUN 
scattering, VERB 

, SPACE 
experiments, NOUN 
reported, VERB 
described, VERB 
paper, NOUN 

, SPACE 
spin, NOUN 
density, NOUN 
probing, VERB 
iron, NOUN 
d, NOUN 
electrons, NOUN 
rise, NOUN 

, SPACE 
net, ADJ 
magnetization, NOUN 
Quantum, PROPN 
tunneling, VERB 
classically, ADV 

, SPACE 
forbidden, VERB 
regions, NOUN 
non, ADJ 
localized, VERB 
d, NOUN 
orbitals, NOUN 

, SPACE 
main, ADJ 
contribution, NOUN 
annihilation, NOUN 
signals, NOUN 

, SPACE 
probed, VERB 
cases, NOUN 
kappa, PROPN 
parameter, NOUN 
single, ADJ 

, SPACE 
string, NOUN 
scattering, NOUN 
large, ADJ 

, SPACE 
Scattering, VERB 
strings, NOUN 
atoms, NOUN 
study, VERB 

, SPACE 
impact, NOUN 
parameter, NOUN 
dependence, NOUN 
atomic, ADJ 
ionization, NOUN 
pro-, PROPN 

, SPACE 
cesses, NOUN 
situations, NOUN 
classical, ADJ 
impact, NOUN 
parameter, NOUN 

, SPACE 
description, NOUN 
impossible, ADJ 
scattering, VERB 
single, ADJ 

, SPACE 
atom, NOUN 
11,12, X 

, SPACE 
quantized, VERB 
nature, NOUN 
motion, NOUN 
channeled, VERB 
elec-, PRON 

, SPACE 
trons, NOUN 
MeV, NOUN 
beautifully, ADV 
revealed, VERB 

, SPACE 
channeling, VERB 
radiation, NOUN 
spectroscopy, NOUN 
13,141, NUM 
case, NOUN 

, SPACE 
quantized, VERB 
nature, NOUN 
problem, NOUN 
revealed, VERB 

, SPACE 
number, NOUN 
bound, VERB 
states, NOUN 
phase, NOUN 
space, NOUN 

, SPACE 
values, NOUN 
kappa, PROPN 
parameter, NOUN 
bound, ADJ 
states, NOUN 

, SPACE 
DISTANCE, NOUN 
STRING, PROPN 
r(i, PROPN 
transverse, ADJ 
motion, NOUN 
found, VERB 
eigenstates, NOUN 
transverse, ADJ 

, SPACE 
Hamiltonian, ADJ 

, SPACE 
-2, PUNCT 

, SPACE 
H,=, X 
PI, PROPN 

, SPACE 
+, NOUN 
U(F, PROPN 

, SPACE 
2v, NOUN 
6, NUM 

, SPACE 
y, PROPN 
relativistic, ADJ 
gamma, NOUN 
factor, NOUN 

, SPACE 
continuum, ADJ 
potential, NOUN 
channeling, VERB 
electrons, NOUN 

, SPACE 
<, X 
111, NUM 
>, X 
axis, NOUN 
silicon, NOUN 
shown, VERB 
Fig, PROPN 
la, PROPN 

, SPACE 
quantized, VERB 
levels, NOUN 
corresponding, VERB 

, SPACE 
electron, NOUN 
energy, NOUN 
3.5, NUM 
MeV, NOUN 
1151, NUM 
Channeled, VERB 
electrons, NOUN 

, SPACE 
tightly, ADV 
confined, VERB 
atomic, ADJ 
strings, NOUN 
low, ADJ 
lying, VERB 

, SPACE 
levels, NOUN 
continuum, ADJ 
potential, NOUN 
approximated, VERB 

, SPACE 
single, ADJ 
string, NOUN 
potential, NOUN 
rotational, ADJ 
symmetry, NOUN 

, SPACE 
label, VERB 
states, NOUN 
2s, PROPN 
2p, NOUN 
etc, X 
according, VERB 

, SPACE 
quantum, NOUN 
number, NOUN 
orbital, ADJ 
angular, ADJ 
momentum, NOUN 
projected, VERB 

, SPACE 
string, NOUN 
direction, NOUN 
Fig, PROPN 
lb, PROPN 
contains, VERB 
experimental, ADJ 

, SPACE 
radiation, NOUN 
spectrum, NOUN 
emitted, VERB 
3.5, NUM 
MeV, NOUN 
electrons, NOUN 
chan-, NUM 

, SPACE 
neled, VERB 
<, X 
111, NUM 
>, X 
axis, NOUN 
silicon, NOUN 
spec-, ADJ 

, SPACE 
trum, NOUN 
obtained, VERB 
placing, VERB 
solid, ADJ 
state, NOUN 
detector, NOUN 

, SPACE 
forward, ADJ 
beam, NOUN 
direction, NOUN 
Clearly, ADV 
superimposed, VERB 
W, PROPN 

, SPACE 
incoherent, ADJ 
bremsstrahlung, PROPN 
spectrum, NOUN 
line, NOUN 
spectrum, NOUN 

, SPACE 
corresponds, VERB 
transitions, NOUN 
quantized, VERB 

, SPACE 
W, PROPN 
3000, NUM 
IO, PROPN 
m, VERB 

, SPACE 
ENERGY, PROPN 
keV, PROPN 

, SPACE 
Fig, PROPN 
1, NUM 
Continuum, ADJ 
potential, NOUN 
<, X 
111, NUM 
>, X 
-axial, ADJ 
wave, NOUN 
guide, NOUN 
silicon, NOUN 
potential, NOUN 
thermally, ADV 
averaged, VERB 
lattice, NOUN 

, SPACE 
vibrations, NOUN 
different, ADJ 
crystal, NOUN 
temperatures, NOUN 
quantized, VERB 
states, NOUN 
corresponding, VERB 
electron, NOUN 
energy, NOUN 
3.5, NUM 
MeV., NOUN 

, SPACE 
single, ADJ 
string, NOUN 
potential, NOUN 
rotationally, ADV 
symmetric, ADJ 
label, VERB 
deeply, ADV 
bound, VERB 
channeling, VERB 
states, NOUN 
according, VERB 
angular, ADJ 
momentum, NOUN 

, SPACE 
quantum, NOUN 
number, NOUN 
b, X 
Radiation, PROPN 
spectra, NOUN 
3.5, NUM 
MeV, NOUN 
electrons, NOUN 
channeled, VERB 
<, X 
111, NUM 
>, X 
axis, NOUN 
5600, NUM 
thick, ADJ 
silicon, NOUN 
crystal, NOUN 

, SPACE 
spectra, NOUN 
obtained, VERB 
lithium, NOUN 
doped, VERB 
silicon, NOUN 
detector, NOUN 
placed, VERB 
forward, ADJ 
beam, NOUN 
direction, NOUN 
quantized, VERB 
structure, NOUN 

, SPACE 
dimensional, ADJ 
bound, VERB 
motion, NOUN 
crystalline, NOUN 
wave, NOUN 
guide, NOUN 
clearly, ADV 
revealed, VERB 
line, NOUN 
spectrum, NOUN 
superimposed, VERB 
l, NOUN 
o, PROPN 

, SPACE 
incoherent, ADJ 
bremsstrahlung, ADJ 
background, NOUN 

, SPACE 
L.V., PROPN 
Hau, PROPN 
er, INTJ 
al./Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
Phys, PROPN 
Res, PROPN 
B, PROPN 
119, NUM 
11996, NUM 
30, NUM 
41, NUM 

, SPACE 
levels, NOUN 
Fig, PROPN 
la, X 
Typical, ADJ 
level, NOUN 
spacings, NOUN 
order, NOUN 

, SPACE 
10, NUM 
eV, NUM 
Lorentz, PROPN 
boost, NOUN 
radiation, NOUN 
energies, NOUN 

, SPACE 
keV, NOUN 
region, NOUN 
recoil, NOUN 
effect, NOUN 
radiating, NOUN 

, SPACE 
relativistic, ADJ 
electron, NOUN 
energy, NOUN 
emitted, VERB 
photon, NOUN 

, SPACE 
supplied, VERB 
mainly, ADV 
energy, NOUN 
reservoir, NOUN 
associated, VERB 

, SPACE 
longitudinal, ADJ 
relativistic, ADJ 
motion, NOUN 

, SPACE 
Channeling, VERB 
radiation, NOUN 
spectroscopy, NOUN 
developed, VERB 

, SPACE 
16,171, NUM 
successfully, ADV 
applied, VERB 
obtain, VERB 
precise, ADJ 

, SPACE 
values, NOUN 
solid, ADJ 
state, NOUN 
parameters, NOUN 
thermal, ADJ 
vibra-, ADJ 

, SPACE 
tional, ADJ 
amplitudes, NOUN 
18, NUM 
possible, ADJ 
obtain, VERB 
vibra-, ADJ 

, SPACE 
tional, ADJ 
correlation, NOUN 
coefficients, NOUN 
linewidths, NOUN 
planar, NOUN 

, SPACE 
channeling, VERB 
lines, NOUN 
16, NUM 
Planar, PROPN 
channeling, VERB 
refers, VERB 
di-, NOUN 

, SPACE 
mensional, ADJ 
bound, VERB 
motion, NOUN 
planar, NOUN 
continuum, VERB 
potential, NOUN 

, SPACE 
obtained, VERB 
crystal, NOUN 
potential, NOUN 
averaging, VERB 

, SPACE 
planar, ADJ 
directions, NOUN 
description, NOUN 
applicable, ADJ 
charged, VERB 

, SPACE 
particles, NOUN 
incident, NOUN 
small, ADJ 
angles, NOUN 
atomic, ADJ 
planes, NOUN 

, SPACE 
crystal, NOUN 
far, ADV 
atomic, ADJ 
string, NOUN 
directions, NOUN 

, SPACE 
aim, NOUN 
measure, VERB 
valence, NOUN 
electron, NOUN 
spin, VERB 

, SPACE 
magnetic, ADJ 
densities, NOUN 
thin, ADJ 
magnetic, ADJ 
films, NOUN 
channeled, VERB 

, SPACE 
MeV, PROPN 
positrons, NOUN 
positively, ADV 
charged, VERB 
particles, NOUN 

, SPACE 
