biodegradable, ADJ 
tomography, NOUN 
micro, NOUN 
CT, PROPN 
PGA/, NOUN 
β, X 
TCP, NOUN 

, SPACE 
scaffolds, NOUN 
investigated, VERB 
repair, NOUN 
critical, ADJ 
bone, NOUN 
defects, NOUN 
3, NUM 
mm, NOUN 
diameter, NOUN 
2, NUM 
mm, NOUN 
depth, NOUN 
rat, ADJ 

, SPACE 
femoral, ADJ 
medial, ADJ 
epicondyles, NOUN 
compared, VERB 
hydroxylapatite, NOUN 
HAP, PROPN 
implant, ADJ 
controls, NOUN 
Quantitativeimageology, NOUN 
analysis, NOUN 
volume, NOUN 
density, NOUN 
new, ADJ 
bone, NOUN 
qualitative, VERB 
histological, ADJ 
evaluations, NOUN 
hematoxylin, NOUN 

, SPACE 
eosin, NOUN 
staining, VERB 
tartrate, NOUN 
resistant, ADJ 
acid, NOUN 
phosphatase, NOUN 
hematoxylin, NOUN 
counterstaining, NOUN 
characterized, VERB 

, SPACE 
vivo, PROPN 
micro, ADJ 
CT, ADJ 
images, NOUN 
histological, ADJ 
sections, NOUN 
0, NUM 
14, NUM 
30, NUM 
90, NUM 
days, NOUN 
surgery, NOUN 
Signi, NOUN 
ﬁcant, NOUN 

, SPACE 
differences, NOUN 
variables, NOUN 
tested, VERB 
multivariate, NOUN 
analysis, NOUN 
pb0.05, NOUN 
results, NOUN 
showed, VERB 
bone, NOUN 

, SPACE 
reformation, NOUN 
PGA/, NOUN 
β, X 
TCP, ADJ 
scaffolds, NOUN 
began, VERB 
14, NUM 
days, NOUN 
surgery, NOUN 
healing, VERB 

, SPACE 
30, NUM 
days, NOUN 
surgery, NOUN 
90, NUM 
days, NOUN 
surgery, NOUN 
bone, NOUN 
replacement, NOUN 
completed, VERB 
presented, VERB 
ahealthy, ADJ 
bone, NOUN 
appearance, NOUN 
new, ADJ 
bone, NOUN 
mineral, NOUN 
densities, NOUN 
mg, PROPN 
cm, PROPN 

, SPACE 
3, NUM 
HAP, PROPN 
PGA/, NOUN 
β, X 
TCP, PROPN 
1:1, NUM 
PGA/, NOUN 

, SPACE 
β, X 
TCP, PROPN 
1:3, NUM 
90, NUM 
days, NOUN 
surgery, NOUN 
390.4±18.1, ADJ 
563.8±26.9, ADJ 
606.3±26.9, PROPN 
respectively, ADV 
new, ADJ 

, SPACE 
bone, NOUN 
mineral, NOUN 
density, NOUN 
PGA/, NOUN 
β, X 
TCP, ADJ 
scaffold, NOUN 
higher, ADJ 
HAP, PROPN 
pb0.001, PROPN 

, SPACE 
PGA/, NOUN 
β, X 
TCP, ADJ 
1:3, NUM 
scaffold, NOUN 
higher, ADJ 
PGA/, NOUN 
β, X 
TCP, PROPN 
1:1, NUM 
scaffold, NOUN 
time, NOUN 
examined, VERB 

, SPACE 
pb0.05, NOUN 
biodegradation, NOUN 
percents, NOUN 
HAP, PROPN 
PGA/, NOUN 
β, X 
TCP, PROPN 
1:1, NUM 
PGA/, NOUN 
β, X 
TCP, ADJ 
1:3, NUM 
90, NUM 
days, NOUN 

, SPACE 
surgery, NOUN 
35.1±5.5, NUM 
99.0±1.0, PROPN 
96.2±3.3, PROPN 
respectively, ADV 
biodegradation, NOUN 
percents, NOUN 
PGA, PROPN 
β, PROPN 

, SPACE 
TCP, PROPN 
scaffolds, NOUN 
higher, ADJ 
HAP, PROPN 
time, NOUN 
examined, VERB 
pb0.01, PROPN 
matched, VERB 
osteogenesis, NOUN 
rates, NOUN 

, SPACE 
PGA/, NOUN 
β, X 
TCP, ADJ 
scaffolds, NOUN 
replaced, VERB 
new, ADJ 
growing, VERB 
bone, NOUN 
90, NUM 
days, NOUN 
surgery, NOUN 

, SPACE 
PGA/, NOUN 
β, X 
TCP, ADJ 
composite, ADJ 
scaffold, NOUN 
especially, ADV 
weight, NOUN 
ratio, NOUN 
1:3, NUM 
exhibited, VERB 
strong, ADJ 
ability, NOUN 
osteogenesis, NOUN 

, SPACE 
mineralization, NOUN 
biodegradation, NOUN 
bone, NOUN 
replacement, NOUN 

, SPACE 
©, ADJ 
2009, NUM 
Elsevier, ADJ 
Inc., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
Introduction, PROPN 

, SPACE 
Bone, PROPN 
tissue, NOUN 
engineering, NOUN 
involves, VERB 
methods, NOUN 
materials, NOUN 
engi-, VERB 

, SPACE 
neering, VERB 
life, NOUN 
sciences, NOUN 
create, VERB 
arti, NOUN 
ﬁcial, ADJ 
constructs, NOUN 

, SPACE 
regeneration, NOUN 
new, ADJ 
bone, NOUN 
approach, NOUN 
implant, ADJ 
scaffolds, NOUN 
bone, NOUN 

, SPACE 
growth, NOUN 
directly, ADV 
vivo, NOUN 
purpose, NOUN 
stimulating, VERB 
directing, VERB 

, SPACE 
bone, NOUN 
formation, NOUN 
advantage, NOUN 
approach, NOUN 
reduced, ADJ 
numberof, PROPN 
operations, NOUN 
needed, VERB 
results, VERB 
shorter, ADJ 
recovery, NOUN 
time, NOUN 

, SPACE 
patient, NOUN 
compared, VERB 
treatment, NOUN 
autograft, NOUN 
1, NUM 

, SPACE 
Currently, ADV 
composites, NOUN 
polymers, NOUN 
ceramics, NOUN 

, SPACE 
developed, VERB 
goals, NOUN 
increasing, VERB 
scaffold, NOUN 
mechanical, ADJ 

, SPACE 
stability, NOUN 
improving, VERB 
tissue, NOUN 
interactions, NOUN 
1, NUM 
Calcium, NOUN 
phosphate, NOUN 

, SPACE 
ceramics, NOUN 
considered, VERB 
use, NOUN 
synthetic, ADJ 
bone, NOUN 
graftsubstitutes, NOUN 
30, NUM 
years, NOUN 
Furthermore, ADV 
commercial, ADJ 
hydroxy, ADJ 
apatite, ADJ 
HAP, PROPN 
β, X 
tricalcium, NOUN 
phosphate, NOUN 
β, PROPN 
TCP, PROPN 

, SPACE 
examined, VERB 
terms, NOUN 
suitability, NOUN 
bone, NOUN 
substitute, NOUN 
clinical, ADJ 

, SPACE 
setting, NOUN 
Numerous, ADJ 
vivo, NOUN 
vitro, X 
assessments, NOUN 
reported, VERB 

, SPACE 
β, X 
TCP, PROPN 
excellent, ADJ 
biocompatibility, NOUN 
osteoconductivity, NOUN 

, SPACE 
supports, VERB 
attachment, NOUN 
differentiation, NOUN 
proliferation, NOUN 

, SPACE 
relevant, ADJ 
cells, NOUN 
osteoblasts, NOUN 
mesenchymal, NOUN 
cells, NOUN 
2–6].A, PROPN 
n, CCONJ 

, SPACE 
added, VERB 
advantage, NOUN 
β, X 
TCP, PROPN 
exhibits, VERB 
faster, ADJ 
degradation, NOUN 
rate, NOUN 

, SPACE 
crystalline, NOUN 
HAP, PROPN 
7, NUM 
porous, ADJ 
pure, ADJ 
calcium, NOUN 
bioceramics, NOUN 

, SPACE 
brittle, ADJ 
exhibit, VERB 
slow, ADJ 
degradation, NOUN 
rates, NOUN 
match, VERB 
thegrowth, NOUN 
rate, NOUN 
new, ADJ 
bone, NOUN 
tissues, NOUN 

, SPACE 
hand, NOUN 
biodegradable, ADJ 
synthetic, ADJ 
polyesters, NOUN 

, SPACE 
poly(lactic, PROPN 
acid)(PLA, NUM 
poly(glycolic, PROPN 
acid)(PGA, PROPN 
copolymer, NOUN 

, SPACE 
poly(lactide, PROPN 
co, NOUN 
glycolide, ADJ 
PLGA, PROPN 
relatively, ADV 
long, ADJ 
history, NOUN 

, SPACE 
use, NOUN 
number, NOUN 
clinical, ADJ 
applications, NOUN 
8, NUM 
PGA, PROPN 
hydrophilic, ADJ 

, SPACE 
biodegradable, ADJ 
polymer, NOUN 
polymers, NOUN 
9, NUM 
possesses, VERB 

, SPACE 
suitable, ADJ 
mechanical, ADJ 
properties, NOUN 
non, NOUN 
toxicity, NOUN 
biodegradation, NOUN 
having, VERB 
fastest, ADJ 
degradation, NOUN 
rate, NOUN 
polymers, NOUN 
1,10, NUM 

, SPACE 
PGA, PROPN 
present, VERB 
favorable, ADJ 
surface, NOUN 
cell, NOUN 
attachmentBone, NOUN 
46, NUM 
2010, NUM 
386, NUM 
395, NUM 

, SPACE 
⁎Corresponding, PROPN 
author, NOUN 
Department, PROPN 
Pediatric, PROPN 
Dentistry, PROPN 
Nihon, PROPN 
University, PROPN 
School, PROPN 

, SPACE 
Dentistry, PROPN 
Matsudo, PROPN 
Japan, PROPN 

, SPACE 
E, ADJ 
mail, NOUN 
address, NOUN 
laura-hong@hotmail.co.jp, X 
H., PROPN 
Cao, PROPN 

, SPACE 
8756, NUM 
3282/$, NUM 
matter, NOUN 
©, ADJ 
2009, NUM 
Elsevier, ADJ 
Inc., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
doi:10.1016, PROPN 
j.bone.2009.09.031, PROPN 

, SPACE 
Contents, PROPN 
lists, NOUN 
available, ADJ 
ScienceDirect, PROPN 

, SPACE 
Bone, PROPN 

, SPACE 
journal, NOUN 
homepage, NOUN 
www.elsevier.com/locate/bone, NOUN 

, SPACE 
proliferation, NOUN 
lack, NOUN 
speci, NOUN 
ﬁc, PROPN 
cell, NOUN 
recognition, NOUN 

, SPACE 
signals, NOUN 
ﬂammatory, ADJ 
reactions, NOUN 
occur, VERB 
biodegradation, NOUN 

, SPACE 
glycolic, ADJ 
acid, NOUN 
degradation, NOUN 
product, NOUN 
10,11, NUM 

, SPACE 
necessary, ADJ 
add, VERB 
bioactive, ADJ 
materials, NOUN 
improve, VERB 
biological, ADJ 

, SPACE 
performance, NOUN 
scaffold, NOUN 

, SPACE 
taking, VERB 
advantage, NOUN 
formability, NOUN 
PGA, PROPN 
included, VERB 

, SPACE 
controlled, VERB 
volume, NOUN 
fractions, NOUN 
bioactive, ADJ 
ceramic, ADJ 
phase, NOUN 
mechanicalreinforcement, ADJ 
fabricated, ADJ 
scaffold, NOUN 
achieved, VERB 
12,13, NUM 

, SPACE 
addition, NOUN 
β, X 
TCP, NOUN 
stabilize, VERB 
physiological, ADJ 
pH, NOUN 
vicinity, NOUN 

, SPACE 
bone, NOUN 
defect, NOUN 
increases, VERB 
biocompatibility, NOUN 

, SPACE 
scaffold, NOUN 
admixtures, NOUN 
β, NOUN 
TCP, PROPN 
PGA, PROPN 
manipulation, NOUN 

, SPACE 
porous, ADJ 
structure, NOUN 
plastic, ADJ 
scaffold, NOUN 
designed, VERB 
ﬁt, VERB 

, SPACE 
bone, NOUN 
defect, NOUN 
exactly, ADV 
improve, VERB 
biodegradation, NOUN 
rate, NOUN 

, SPACE 
scaffold, NOUN 
match, VERB 
growth, NOUN 
rate, NOUN 
new, ADJ 
bone, NOUN 
tissues, NOUN 

, SPACE 
required, VERB 
bone, NOUN 
tissue, NOUN 
restitution, NOUN 

, SPACE 
study, NOUN 
solvent, NOUN 
casting, NOUN 
particle, NOUN 
leaching, VERB 

, SPACE 
SC, PROPN 
PL, PROPN 
method, NOUN 
14, NUM 
fabricate, VERB 
highly, ADV 
porous, ADJ 
dimensional, ADJ 

, SPACE 
3D, PROPN 
biodegradable, ADJ 
composite, ADJ 
scaffolds, NOUN 
β, X 
TCP, PROPN 
PGA, PROPN 

, SPACE 
characterized, VERB 
microscopic, ADJ 
macroscopic, ADJ 
structures, NOUN 
vitro, X 

, SPACE 
biocompatibility, NOUN 
osteogenesis, NOUN 
biodegradation, NOUN 
vivo, NOUN 

, SPACE 
Materials, NOUN 
methods, NOUN 

, SPACE 
Materials, NOUN 

, SPACE 
β, X 
TCP, ADJ 
powder, NOUN 
ρ=3.14, PROPN 
g, PROPN 
cm, PROPN 

, SPACE 
3, NUM 
kindly, ADV 
supplied, VERB 

, SPACE 
Dental, ADJ 
biomaterials, NOUN 
laboratory, NOUN 
Nihon, PROPN 
University, PROPN 
School, PROPN 
Dentistry, PROPN 

, SPACE 
Matsudo, PROPN 
PGA, PROPN 
MW=100,000, PROPN 
units, NOUN 
ρ=1.53, PROPN 
g, PROPN 
cm3)w, PROPN 
s, NOUN 

, SPACE 
purchased, VERB 
Polysciences, PROPN 
Tokyo, PROPN 
Japan, PROPN 
1,1,1,3,3,3, NUM 
hexa, NOUN 
ﬂuoro-, PROPN 

, SPACE 
2, NUM 
propanone, NOUN 
HFIP, PROPN 
purchased, VERB 
Kanto, PROPN 
Chemical, PROPN 
Tokyo, PROPN 

, SPACE 
Japan, PROPN 
Sodium, NOUN 
chloride, NOUN 
crystals, NOUN 
NaCl, PROPN 
purchased, VERB 
Sigma, PROPN 

, SPACE 
425, NUM 
500μm, ADJ 
particle, NOUN 
size, NOUN 
NaCl, PROPN 
obtained, VERB 
sieves, NOUN 

, SPACE 
mesh, NOUN 
425, NUM 
μm, NOUN 
500, NUM 
μm, NOUN 

, SPACE 
Scaffold, PROPN 
fabrication, NOUN 

, SPACE 
Porous, ADJ 
hybrid, NOUN 
scaffolds, NOUN 
prepared, VERB 
technology, NOUN 

, SPACE 
solvent, NOUN 
casting, NOUN 
particle, NOUN 
leaching, VERB 
SC, PROPN 
PL, PROPN 
shown, VERB 
Fig, PROPN 
1, NUM 
PGA, PROPN 

, SPACE 
soluble, ADJ 
highly, ADV 
ﬂuorinated, VERB 
organic, ADJ 
solvents, NOUN 
HFIP, PROPN 
high, ADJ 

, SPACE 
crystallinity, NOUN 
15, NUM 
corrosive, ADJ 
volatile, ADJ 
nature, NOUN 
HFIP, PROPN 

, SPACE 
entire, ADJ 
preparation, NOUN 
process, NOUN 
performed, VERB 
draft, NOUN 
equipment, NOUN 

, SPACE 
Dalton, PROPN 
®, NOUN 
Tokyo, PROPN 
Japan, PROPN 
process, NOUN 
based, VERB 
HFIP, PROPN 

, SPACE 
solvent, NOUN 
NaCl, PROPN 
crystals, NOUN 
porogen, NOUN 
Brie, PROPN 
ﬂy, PROPN 
PGA, PROPN 
completely, ADV 

, SPACE 
dissolved, VERB 
HFIP, PROPN 
CO=0.2, PROPN 
g, PROPN 
ml, PROPN 
room, NOUN 
temperature, NOUN 
β, X 
TCP, ADJ 

, SPACE 
powder, NOUN 
uniformly, ADV 
mixed, VERB 
solution, NOUN 
weight, NOUN 
ratiosof, VERB 
PGA, PROPN 
β, X 
TCP, PROPN 
1:1, NUM 
1:3, NUM 
suspensions, NOUN 
dropped, VERB 

, SPACE 
glass, NOUN 
moulds, NOUN 
3, NUM 
mm, NOUN 
inside, ADP 
diameter, NOUN 
2, NUM 
mm, NOUN 
height, NOUN 
1, NUM 
mm, NUM 
high, ADJ 
shaking, VERB 
mould, NOUN 
added, VERB 
0.02, NUM 
g, NOUN 
NaCl, PROPN 
crystals, NOUN 
particle, NOUN 
size, NOUN 

, SPACE 
425–500μm, PROPN 
mould, NOUN 
rapidly, ADV 
suspension, NOUN 

, SPACE 
stiff, ADJ 
Subsequently, ADV 
solvent, NOUN 
evaporated, VERB 
draft, NOUN 
equipment, NOUN 
atroom, NOUN 
temperature, NOUN 
2, NUM 
days, NOUN 
matrices, NOUN 
immersed, VERB 

, SPACE 
distilled, VERB 
water, NOUN 
changed, VERB 
12, NUM 
h, NOUN 
3, NUM 
days, NOUN 
remove, VERB 
NaCl, PROPN 

, SPACE 
Eventually, ADV 
porous, ADJ 
β, X 
TCP, PROPN 
PGA, PROPN 
scaffolds, NOUN 
air, NOUN 
dried, VERB 
stored, VERB 

, SPACE 
airtight, NOUN 
container, NOUN 
Evaluation, NOUN 
scaffold, NOUN 
characteristics, NOUN 

, SPACE 
porosity, NOUN 
values, NOUN 
PGA/, NOUN 
β, X 
TCP, ADJ 
scaffolds, NOUN 
measured, VERB 

, SPACE 
liquid, ADJ 
displacement, NOUN 
according, VERB 
published, VERB 
method, NOUN 
16,17, NUM 
na, ADP 

, SPACE 
20, NUM 
°, NUM 
C, NOUN 
constant, ADJ 
temperature, NOUN 
room, NOUN 
method, NOUN 
open, ADJ 

, SPACE 
porosity, NOUN 
sample, NOUN 
calculated, VERB 
Porosity, NOUN 
=, NOUN 
V, PROPN 

, SPACE 
2/(V, NOUN 
1+V, PROPN 
2, NUM 

, SPACE 
V1is, VERB 
volume, NOUN 
PGA/, NOUN 
β, X 
TCP, ADJ 
composite, ADJ 
skeleton, NOUN 

, SPACE 
scaffold, NOUN 
V2is, PUNCT 
volume, NOUN 
pores, NOUN 
inside, ADP 
scaffold, NOUN 

, SPACE 
Samples, NOUN 
coated, VERB 
Au, PROPN 
Pd, PROPN 
Ion, PROPN 
Coater, PROPN 
IB.5, PROPN 
Eiko, PROPN 

, SPACE 
Tokyo, PROPN 
Japan, PROPN 
pore, ADJ 
structures, NOUN 
scaffolds, NOUN 
PGA/, NOUN 
β, X 
TCP, ADJ 
1:1, NUM 

, SPACE 
1:3, NUM 
ratios, NOUN 
obtained, VERB 
scanning, VERB 
electron, NOUN 
microscope, NOUN 

, SPACE 
SEM, PROPN 
Hitachi, PROPN 
S-2700, PROPN 
Tokyo, PROPN 
Japan, PROPN 
20, NUM 
kV., PROPN 

, SPACE 
Samples, NOUN 
soaked, VERB 
0.2, NUM 
agarose, NOUN 
solution, NOUN 
65, NUM 
°, NOUN 
C, NOUN 
air, NOUN 

, SPACE 
bubbles, NOUN 
ﬂoated, VERB 
naturally, ADV 
cooled, VERB 
solid, ADJ 
gel, NOUN 
room, NOUN 

, SPACE 
temperature, NOUN 
Gel, PROPN 
sample, NOUN 
pieces, NOUN 
observed, VERB 
micro, NOUN 
CT, ADJ 
T, PROPN 
mCT, PROPN 
Toscaner-30000, PROPN 
Toshiba, PROPN 
Tokyo, PROPN 
Japan, PROPN 
X, NOUN 
ray, NOUN 
source, NOUN 

, SPACE 
74, NUM 
kV/110, NOUN 
μA., PROPN 

, SPACE 
Implantation, NOUN 
repairing, VERB 
femoral, ADJ 
defects, NOUN 

, SPACE 
Sprague, PROPN 
Dawley, PROPN 
male, ADJ 
rats, NOUN 
10, NUM 
weeks, NOUN 
old, ADJ 
body, NOUN 
weight, NOUN 
330±10, PROPN 
g, X 

, SPACE 
total, NOUN 
40, NUM 
rats, NOUN 
purchased, VERB 
Japan, PROPN 
SLC, PROPN 
Shizuoka, PROPN 
Japan, PROPN 
Therats, NOUN 
allowed, VERB 
free, ADJ 
access, NOUN 
food, NOUN 
water, NOUN 
ad, NOUN 
libitum, NOUN 
times, NOUN 

, SPACE 
maintained, VERB 
12, NUM 
h, NOUN 
light, ADJ 
dark, ADJ 
cycle, NOUN 
lights, NOUN 
8:00, NUM 
to20:00, NOUN 
23±1, PROPN 
°, NUM 
C, PROPN 
humidity, NOUN 
60±10, NUM 
environment, NOUN 
period, NOUN 

, SPACE 
1, NUM 
week, NOUN 
use, NOUN 
rats, NOUN 
maintained, VERB 
accordance, NOUN 

, SPACE 
guidelines, NOUN 
Care, PROPN 
Use, PROPN 
Laboratory, PROPN 
Animals, PROPN 

, SPACE 
Nihon, PROPN 
University, PROPN 
School, PROPN 
Dentistry, PROPN 
Matsudo, PROPN 
08, NUM 
0010, NUM 

, SPACE 
4, NUM 
material, NOUN 
groups, NOUN 
tested, VERB 
PGA/, NOUN 
β, X 
TCP, PROPN 
1:1, NUM 
scaffold, NOUN 

, SPACE 
PGA/, NOUN 
β, X 
TCP, ADJ 
1:3, NUM 
scaffold, NOUN 
clinically, ADV 
100, NUM 
HAP, PROPN 
Bone-, NOUN 

, SPACE 
Ject, PROPN 

, SPACE 
®, NOUN 
Koken, PROPN 
Tokyo, PROPN 
Japan, PROPN 
control, NOUN 
implant, ADJ 
control, NOUN 

, SPACE 
left, ADJ 
right, ADJ 
femora, NOUN 
rats, NOUN 
divided, VERB 
randomly, ADV 
4, NUM 
time, NOUN 
groups, NOUN 

, SPACE 
according, VERB 
presumptive, ADJ 
time, NOUN 
sacri, ADV 
ﬁced, VERB 

, SPACE 
total, NOUN 
5, NUM 
samples, NOUN 
time, NOUN 
group, NOUN 
material, NOUN 
group, NOUN 

, SPACE 
rats, NOUN 
injected, VERB 
intraperitoneally, ADV 
sodium, NOUN 
pentobarbital, NOUN 

, SPACE 
Somnopentyl, NOUN 
®, NOUN 
Kyoritsu, PROPN 
Seiyaku, PROPN 
Tokyo, PROPN 
Japan, PROPN 
dose, NOUN 
30, NUM 
mg/, PROPN 

, SPACE 
kg, NOUN 
anesthesia, NOUN 
bone, NOUN 
defects, NOUN 
3, NUM 
mm, NOUN 
diameter, NOUN 
2, NUM 
mm, NOUN 
depth, NOUN 

, SPACE 
cortical, ADJ 
bone, NOUN 
surface, NOUN 
cancellous, ADJ 
bone, NOUN 

, SPACE 
medial, ADJ 
epicondyles, NOUN 
bilateral, ADJ 
femora, NOUN 
implant, ADJ 
drill, NOUN 

, SPACE 
physiologic, ADJ 
saline, NOUN 
cooling, NOUN 
Fig, PROPN 
2, NUM 
implant, ADJ 
materials, NOUN 

, SPACE 
ﬁlled, VERB 
randomly, ADV 
5, NUM 
left, ADJ 
right, ADJ 
femora, NOUN 
defects, NOUN 
surgery, NOUN 

, SPACE 
rat, NOUN 
received, VERB 
intramuscular, ADJ 
injection, NOUN 
sodium, PROPN 
ampicillin, PROPN 
Viccil, PROPN 
lin, PROPN 

, SPACE 
®, NOUN 
Meiji, PROPN 
Tokyo, PROPN 
Japan, PROPN 
dose, NOUN 
60, NUM 
mg, NOUN 
100, NUM 
g, NOUN 

, SPACE 
returned, VERB 
cage, NOUN 
allowed, VERB 
freely, ADV 
wounds, NOUN 
healedgradually, ADV 
rats, NOUN 
active, ADJ 
complications, NOUN 

, SPACE 
surgery, NOUN 
rats, NOUN 
examined, VERB 
0, NUM 
14, NUM 
30, NUM 
90, NUM 
days, NOUN 
surgery, NOUN 

, SPACE 
Micro, PROPN 
CT, PROPN 
examination, NOUN 

, SPACE 
quantitative, ADJ 
imageology, NOUN 
analysis, NOUN 
newly, ADV 
grown, VERB 
bone, NOUN 

, SPACE 
performed, VERB 
vivo, PROPN 
micro, ADJ 
CT, ADJ 
system, NOUN 
Rigaku, PROPN 
-mCT, PROPN 

, SPACE 
®, NOUN 
Tokyo, PROPN 

, SPACE 
Japan, PROPN 
Rat, PROPN 
femoras, NOUN 
scanned, VERB 
micro, NOUN 
CT, PROPN 
X, NOUN 
ray, NOUN 

, SPACE 
source, NOUN 
80, NUM 
kV/120, NOUN 
μA, PROPN 
0, NUM 
14, NUM 
30, NUM 
90, NUM 
days, NOUN 
surgery, NOUN 

, SPACE 
anesthesia, NOUN 
sodium, NOUN 
pentobarbital, NOUN 
rat, NOUN 
set, VERB 
object, NOUN 

, SPACE 
Fig, PROPN 
1, NUM 
Flow, VERB 
chart, NOUN 
SC, PROPN 
PL, PROPN 
method, NOUN 
fabricate, VERB 
PGA, PROPN 
b, PROPN 
TCP, ADJ 
scaffold.387, NOUN 
H., PROPN 
Cao, PROPN 
N., PROPN 
Kuboyama, PROPN 
Bone, PROPN 
46, NUM 
2010, NUM 
386, NUM 
395, NUM 

, SPACE 
stage, NOUN 
imaging, NOUN 
performed, VERB 
sample, NOUN 
360, NUM 
°, NUM 

, SPACE 
rotation, NOUN 
exposure, NOUN 
time, NOUN 
2, NUM 
min, NOUN 
isotropic, ADJ 
resolution, NOUN 

, SPACE 
100×100×100, NUM 
μm, PROPN 
voxel, PROPN 
size, NOUN 
selected, VERB 
displayed, VERB 
micro, NOUN 

, SPACE 
structure, NOUN 
rat, PROPN 
femora, PROPN 
distal, PROPN 
cortical, ADJ 
bone, NOUN 
cancellous, ADJ 
bone, NOUN 
Theoriginal, ADJ 
3D, NOUN 
images, NOUN 
displayed, VERB 
analyzed, VERB 
View, PROPN 

, SPACE 
®, NOUN 

, SPACE 
software, NOUN 
J., PROPN 
Morita, PROPN 
Kyoto, PROPN 
Japan, PROPN 

, SPACE 
3D, PROPN 
Bone, NOUN 
analysis, NOUN 
bone, NOUN 
mineral, NOUN 
density, NOUN 
BMD, PROPN 
bone, NOUN 
quantity, NOUN 

, SPACE 
BV, PROPN 
TV, PROPN 

, SPACE 
3D, ADJ 
bone, NOUN 
architecture, NOUN 
femoral, ADJ 
metaphysis, NOUN 
measured, VERB 

, SPACE 
structural, ADJ 
indices, NOUN 
femoral, ADJ 
implant, ADJ 
areas, NOUN 
calculatedusing, VERB 
morphometric, ADJ 
program, NOUN 
TRI/3D, PROPN 
BON, PROPN 
Ratoc, PROPN 
System, PROPN 
Engi-, PROPN 

, SPACE 
neering, VERB 
Tokyo, PROPN 
Japan, PROPN 
3D, ADJ 
analysis, NOUN 
total, ADJ 
volume, NOUN 
TV, NOUN 
cm, PROPN 

, SPACE 
3, NUM 

, SPACE 
bone, NOUN 
volume, NOUN 
BV, PROPN 
cm3, NOUN 
bone, NOUN 
mineral, NOUN 
content, NOUN 
BMC, PROPN 
mg, PROPN 

, SPACE 
measured, VERB 
directly, ADV 
Volumetric, PROPN 
density, NOUN 
BV, PROPN 
TV, PROPN 
calculated, VERB 

, SPACE 
BV, PROPN 
TV, PROPN 
bone, NOUN 
mineral, NOUN 
density, NOUN 
BMD, PROPN 
=, SYM 
BMC, PROPN 
BV, PROPN 
mg, PROPN 
cm3, NOUN 

, SPACE 
