cQ@J, NOUN 
colour, NOUN 
change, NOUN 
induced, VERB 
direc-, PART 

, SPACE 
tion, NOUN 
usually, ADV 
colouration, NOUN 
direction, NOUN 
electro-, NOUN 

, SPACE 
magnetic, ADJ 
radiation, NOUN 
e.g., ADV 
UV, NOUN 
light, NOUN 
Spirooxazines, NOUN 

, SPACE 
known, VERB 
typical, ADJ 
photochromic, ADJ 
compounds, NOUN 

, SPACE 
based, VERB 
light, NOUN 
induced, VERB 
heterolytic, ADJ 
cleav-, NOUN 

, SPACE 
age, NOUN 
C, PROPN 
O, NOUN 
bond, NOUN 
resulting, VERB 
formation, NOUN 

, SPACE 
merocyanine, NOUN 
coloured, ADJ 
form, NOUN 
illustrated, VERB 

, SPACE 
Fig, PROPN 

, SPACE 
photochromic, ADJ 
compound, NOUN 
crystalline, NOUN 

, SPACE 
state, NOUN 
totally, ADV 
inactive, ADJ 
fundamental, ADJ 

, SPACE 
Corresponding, VERB 
author, NOUN 
research, NOUN 
application, NOUN 
development, NOUN 

, SPACE 
dissolved, VERB 
appropriate, ADJ 
solvent, NOUN 
dispersed, VERB 

, SPACE 
suitable, ADJ 
solid, ADJ 
matrix, NOUN 
form, VERB 
photochromic, ADJ 
system, NOUN 

, SPACE 
interaction, NOUN 
photochromic, ADJ 
compound, NOUN 

, SPACE 
solvent, ADJ 
solid, ADJ 
matrix, NOUN 
strongly, ADV 
affects, VERB 

, SPACE 
overall, ADJ 
photochromic, ADJ 
properties, NOUN 
system, NOUN 
i.e., X 

, SPACE 
photochromic, ADJ 
intensity, NOUN 
colouration, NOUN 
de-, NOUN 

, SPACE 
colouration, NOUN 
rates, NOUN 
Spirooxazines, NOUN 
sub-, ADJ 

, SPACE 
ject, NOUN 
researches, NOUN 
recently, ADV 
mainly, ADV 

, SPACE 
inherently, ADV 
higher, ADJ 
photostability, NOUN 
kind, NOUN 

, SPACE 
Spiro, PROPN 
compounds, NOUN 
spiropyrans, NOUN 
re-, ADV 

, SPACE 
ported, VERB 
photostability, NOUN 
spirooxazines, NOUN 

, SPACE 
significantly, ADV 
improved, VERB 
encapsulating, VERB 
dyes, NOUN 

, SPACE 
sol, ADJ 
gel, NOUN 
derived, VERB 
Ormocer, PROPN 
organically, ADV 
modified, VERB 

, SPACE 
ceramics, NOUN 
coatings, NOUN 
photochromic, ADJ 
inten-, NUM 

, SPACE 
sity, NOUN 
spontaneous, ADJ 
thermal, ADJ 
decolouration, NOUN 
rate, NOUN 

, SPACE 
ethanol, NOUN 
solutions, NOUN 
2, NUM 

, SPACE 
successful, ADJ 
utilization, NOUN 
sol, ADJ 
gel, NOUN 
process, NOUN 

, SPACE 
preparation, NOUN 
solid, ADJ 
matrices, NOUN 
photochromic, ADJ 

, SPACE 
00167, NUM 
577X/96/$12.00, NUM 
Copyright, PROPN 
0, NUM 
1996, NUM 
Elsevier, PROPN 
Science, PROPN 
B.V., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
SSDI, PROPN 
0167, NUM 
577X(95)00287, NUM 
1, NUM 

, SPACE 
216, NUM 
L., PROPN 
Hou, PROPN 
H., PROPN 
Sdmidt, PROPN 
h4cttrrkrl.s, ADJ 
Lrttrrc, PROPN 
27, NUM 
9961, NUM 
2, NUM 
IS-2, NUM 
I8, NOUN 

, SPACE 
Fig, PROPN 
I., PROPN 
Photochromic, PROPN 
transformation, NOUN 
\pirooxarine, PROPN 

, SPACE 
dyes, NOUN 
attributed, VERB 
unique, ADJ 
advantages, NOUN 
starts, VERB 

, SPACE 
alkoxide, ADJ 
solutions, NOUN 
room, NOUN 
temperature, NOUN 

, SPACE 
gel, NOUN 
formed, VERB 
hydrolysis, NOUN 
condensation, NOUN 
reaction, NOUN 

, SPACE 
alkoxides, NOUN 
cured, VERB 
temperature, NOUN 

, SPACE 
lower, ADJ 
decomposition, NOUN 
point, NOUN 
introduced, VERB 

, SPACE 
dye, NOUN 
pores, NOUN 
gel, NOUN 
ideal, ADJ 
cages, NOUN 

, SPACE 
dye, NOUN 
molecules, NOUN 
possible, ADJ 
modify, VERB 

, SPACE 
degree, NOUN 
freedom, NOUN 
dye, NOUN 
molecules, NOUN 
different, ADJ 

, SPACE 
extents, NOUN 
grafting, VERB 
matrix, NOUN 
network, NOUN 

, SPACE 
paper, NOUN 
experimental, ADJ 
results, NOUN 
reported, VERB 

, SPACE 
time, NOUN 
photochromic, ADJ 
properties, NOUN 
sily-, NOUN 

, SPACE 
lated, VERB 
spirooxazine, NOUN 
sol, ADJ 
gel, PROPN 
derived, VERB 
Ormocer, PROPN 
coat-, NOUN 

, SPACE 
ings, NOUN 
effect, NOUN 
silylation, NOUN 
photochromic, ADJ 
inten-, NUM 

, SPACE 
sity, NOUN 
decolouration, NOUN 
kinetics, NOUN 
discussed, VERB 
terms, NOUN 

, SPACE 
dye, NOUN 
matrix, NOUN 
connectivity, NOUN 
determines, VERB 

, SPACE 
degree, NOUN 
freedom, NOUN 
dye, NOUN 
molecules, NOUN 

, SPACE 
2, X 
Experimental, ADJ 

, SPACE 
Ethyltriethoxysilane, PROPN 
ETES, NOUN 
3, NUM 
glycido-, NOUN 

, SPACE 
xypropyltrimethoxysilane, NOUN 
GPTMS, PROPN 

, SPACE 
starting, VERB 
materials, NOUN 
molar, ADJ 
ratio, NOUN 
3, NUM 
7, NUM 

, SPACE 
preparation, NOUN 
Ormocer, PROPN 
coatings, NOUN 
molecular, ADJ 

, SPACE 
structure, NOUN 
silylated, VERB 
silane, NOUN 
substituted, VERB 
spiroox-, VERB 

, SPACE 
azine, NOUN 
spirooxazine, NOUN 
molecule, NOUN 
cova-, AUX 

, SPACE 
lently, ADV 
coupled, VERB 
trimethoxysilane, NOUN 
-CH?-, PROPN 

, SPACE 
CH2, PROPN 
CH,-, PROPN 
spacer, NOUN 
illustrated, VERB 
Fig, PROPN 
2, NUM 

, SPACE 
synthesis, NOUN 
sols, NOUN 
coating, VERB 
appropriate, ADJ 
amounts, NOUN 

, SPACE 
ETES, NOUN 
GPTMS, NOUN 
half, ADJ 
stoichiometric, ADJ 
quantity, NOUN 

, SPACE 
water, NOUN 
mixed, VERB 
magnetic, ADJ 
stirring, NOUN 
10, NUM 

, SPACE 
Fig, PROPN 
2, NUM 
Molecular, ADJ 
structure, NOUN 
silyleted, VERB 
spirooxazine, NOUN 

, SPACE 
300, NUM 
400, NUM 
500, NUM 
600, NUM 
700, NUM 

, SPACE 
Wavelength, PROPN 
nm, PROPN 

, SPACE 
Fig, PROPN 
3, NUM 
Absorption, NOUN 
spectra, NOUN 
photochromic, ADJ 
coating, NOUN 

, SPACE 
b, PROPN 
UV, NOUN 
irradiation, NOUN 

, SPACE 
min, PROPN 
subjected, VERB 
20, NUM 
kHz, ADJ 
ultrasonic, ADJ 
radia-, ADJ 

, SPACE 
tion, NOUN 
power, NOUN 
20, NUM 
W, NOUN 
20, NUM 
min, NOUN 
sols, NOUN 

, SPACE 
obtained, VERB 
=, NOUN 
8, NUM 
wt%, VERB 
Triton, PROPN 
X-, PROPN 
100, NUM 
added, VERB 

, SPACE 
followed, VERB 
introduction, NOUN 
silylated, VERB 
dye, NOUN 

, SPACE 
additional, ADJ 
magnetic, ADJ 
stirring, NOUN 
1, NUM 
h., ADJ 
Viscous, PROPN 
sols, NOUN 

, SPACE 
obtained, VERB 
way, NOUN 
prepara-, ADJ 

, SPACE 
tion, NOUN 
coatings, NOUN 
different, ADJ 
thickness, NOUN 
spreading, VERB 

, SPACE 
microscopic, ADJ 
slides, NOUN 

, SPACE 
3, X 
Results, NOUN 
discussion, NOUN 

, SPACE 
absorption, NOUN 
spectra, NOUN 
photochromic, ADJ 
coat-, NOUN 

, SPACE 
ing, PROPN 
UV, NOUN 
irradiation, NOUN 
shown, VERB 
Fig, PROPN 

, SPACE 
3, X 
decolouration, NOUN 
rate, NOUN 
high, ADJ 
room, NOUN 

, SPACE 
temperature, NOUN 
absorption, NOUN 
spectrum, NOUN 

, SPACE 
coloured, VERB 
form, NOUN 
coating, NOUN 
cooled, VERB 

, SPACE 
-20, SYM 
°, NUM 
C, NOUN 
irradiated, VERB 
Hg, PROPN 
lamp, NOUN 
gain, VERB 

, SPACE 
saturated, ADJ 
colouration, NOUN 
immediately, ADV 
removal, NOUN 

, SPACE 
Hg, PROPN 
lamp, NOUN 
absorption, NOUN 
spectrum, NOUN 
mea-, ADJ 

, SPACE 
sured, ADJ 
Fig, PROPN 
3, NUM 
absorption, NOUN 
maximum, NOUN 

, SPACE 
614, NUM 
nm, NOUN 
shoulder, NOUN 
570, NUM 
nm, NOUN 
upper, ADJ 

, SPACE 
absorption, NOUN 
curve, NOUN 
typical, ADJ 
absorption, NOUN 
spec-, NOUN 

, SPACE 
trum, NOUN 
coloured, ADJ 
form, NOUN 
spirooxazine, NOUN 

, SPACE 
L., PROPN 
Hou, PROPN 
H., PROPN 
Schmidt, PROPN 
Materials, PROPN 
Letters, PROPN 
27, NUM 
1996, NUM 
215, NUM 
218, NUM 
211, NUM 

, SPACE 
suggests, VERB 
silylation, NOUN 
spirooxazine, NOUN 
little, ADJ 

, SPACE 
influence, NOUN 
spectroscopic, NOUN 
properties, NOUN 

, SPACE 
photochromic, ADJ 
properties, NOUN 
coatings, NOUN 
heat, NOUN 

, SPACE 
treated, VERB 
110, NUM 
°, NUM 
C, NOUN 
2, NUM 
h, NOUN 
measured, VERB 

, SPACE 
computer, NOUN 
controlled, VERB 
apparatus, NOUN 
Hg, PROPN 
lamp, NOUN 

, SPACE 
UV, NOUN 
source, NOUN 
Ne, PROPN 
laser, NOUN 
633, NUM 

, SPACE 
nm, PROPN 
probing, VERB 
light, NOUN 
beam, NOUN 
colour, ADV 
fading, VERB 

, SPACE 
curves, NOUN 
taken, VERB 
temperatures, NOUN 
equilibrium, NOUN 

, SPACE 
absorbance, NOUN 
photostationary, ADJ 
state, NOUN 
UV, NOUN 

, SPACE 
irradiation, NOUN 
absorbance, NOUN 
fading, ADJ 

, SPACE 
time, NOUN 
r, NOUN 
cessation, NOUN 
UV, NOUN 
light, NOUN 

, SPACE 
extracted, VERB 
relative, ADJ 
photochromic, ADJ 
intensity, NOUN 

, SPACE 
AA,/AA, NOUN 
calculated, VERB 
order, NOUN 
plots, NOUN 

, SPACE 
decolouration, NOUN 
photochromic, ADJ 
coating, NOUN 
differ-, ADJ 

, SPACE 
ent, NOUN 
temperatures, NOUN 
drawn, VERB 
log, NOUN 
AA,/AA, NOUN 

, SPACE 
versus, ADP 
t, PROPN 
curves, NOUN 
half, ADJ 
life, NOUN 
time, NOUN 
f0,5, NOUN 
>, X 

, SPACE 
thermal, ADJ 
decolouration, NOUN 
rate, NOUN 
k, PROPN 
coloured, ADJ 

, SPACE 
form, NOUN 
deduced, VERB 

, SPACE 
experimental, ADJ 
results, NOUN 
equilib-, ADJ 

, SPACE 
rium, NOUN 
absorbance, NOUN 
photochromic, ADJ 
coating, NOUN 

, SPACE 
containing, VERB 
silylated, VERB 
spirooxazine, NOUN 
irradiated, VERB 

, SPACE 
UV, NOUN 
light, NOUN 
surface, NOUN 
intensity, NOUN 
10, NUM 

, SPACE 
mW, X 
cm, PROPN 
15, NUM 
s, PART 
reaches, VERB 
level, NOUN 

, SPACE 
case, NOUN 
non, ADJ 
silylated, ADJ 
dye, NOUN 
condi-, NOUN 

, SPACE 
tions, NOUN 
implying, VERB 
photochromic, ADJ 
intensity, NOUN 

, SPACE 
dye, NOUN 
degraded, VERB 
silylation, NOUN 
decoloura-, ADJ 

, SPACE 
tion, NOUN 
rate, NOUN 
silylated, VERB 
dye, NOUN 
slower, ADJ 

, SPACE 
free, ADJ 
ethanol, NOUN 
solutions, NOUN 
dyes, NOUN 

, SPACE 
exhibit, VERB 
order, NOUN 
decolouration, NOUN 
kinetics, NOUN 

, SPACE 
t, NOUN 
225, NUM 
°, NUM 
C, NOUN 
1.5, NUM 
1.8, NUM 
s, NOUN 
respectively, ADV 

, SPACE 
suggesting, VERB 
silylation, NOUN 
dye, NOUN 
leads, VERB 

, SPACE 
retardation, NOUN 
decolouration, NOUN 
process, NOUN 
addition, NOUN 

, SPACE 
decolouration, NOUN 
silylated, VERB 
dye, NOUN 
sol, ADJ 
gel, NOUN 

, SPACE 
coatings, NOUN 
order, NOUN 
reaction, NOUN 
depicted, VERB 

, SPACE 
Fig, PROPN 
4, NUM 

, SPACE 
order, NOUN 
plots, NOUN 
straight, ADJ 
lines, NOUN 

, SPACE 
higher, ADJ 
temperature, NOUN 
greater, ADJ 
deviation, NOUN 

, SPACE 
order, NOUN 
kinetics, NOUN 
case, NOUN 
following, VERB 

, SPACE 
approximation, NOUN 
method, NOUN 
employed, VERB 
deduce, VERB 

, SPACE 
apparent, ADJ 
t, NOUN 
k, NOUN 
decolouration, NOUN 
curves, NOUN 

, SPACE 
time, NOUN 
lengths, NOUN 
A,/2, NOUN 
AA,/4, PROPN 

, SPACE 
AA,/8, PROPN 
AA,/16, PROPN 
AA,/32, PROPN 

, SPACE 
AA,/64, PROPN 
taken, VERB 
lo, PROPN 
s(a, PROPN 
f&b, PROPN 
t,,,(c, PROPN 

, SPACE 
respectively, ADV 
corresponding, ADJ 
k(a, PROPN 
k(b, PROPN 

, SPACE 
k(c, PROPN 
calculated, VERB 
t,,5, ADJ 
values, NOUN 
based, VERB 

, SPACE 
assumption, NOUN 
order, NOUN 
mechanism, NOUN 
obeyed, VERB 

, SPACE 
relatively, ADV 
short, ADJ 
time, NOUN 
intervals, NOUN 

, SPACE 
approximation, NOUN 
established, VERB 
decoloura-, NUM 
-i, PROPN 
14.6, NUM 
C, PROPN 

, SPACE 
-3.0, NOUN 

, SPACE 
0, NUM 
5, NUM 
10, NUM 
15, NUM 
20, NUM 
25, NUM 
30, NUM 
35, NUM 
40, NUM 
45, NUM 
50, NUM 
55, NUM 
60, NUM 

, SPACE 
Time(s, PROPN 

, SPACE 
Fig, PROPN 
4, NUM 
order, NOUN 
plots, NOUN 
decolouration, NOUN 
coating, NOUN 

, SPACE 
different, ADJ 
temperatures, NOUN 

, SPACE 
tion, NOUN 
rate, NOUN 
silylated, VERB 
spirooxazine, NOUN 
Ormocer, PROPN 

, SPACE 
coatings, NOUN 
considerably, ADV 
lower, ADJ 
correspond-, ADJ 

, SPACE 
ing, ADJ 
ethanol, NOUN 
solution, NOUN 
undergoes, VERB 
gradual, ADJ 
de-, NOUN 

, SPACE 
crease, NOUN 
progress, NOUN 
decolouration, NOUN 
pro-, VERB 

, SPACE 
cess, NOUN 
reflected, VERB 
decrease, NOUN 
k, PROPN 
k(a, PROPN 
>, X 
k(b, PROPN 

, SPACE 
>, X 
k(c, PROPN 
Arrhenius, PROPN 
slope, NOUN 
shown, VERB 
Fig, PROPN 
5, NUM 

, SPACE 
result, NOUN 
strongly, ADV 
indicative, ADJ 
different, ADJ 

, SPACE 
levels, NOUN 
degree, NOUN 
freedom, NOUN 
silylated, VERB 

, SPACE 
spirooxazine, NOUN 
molecules, NOUN 
exist, VERB 
coatings, NOUN 
Owing, VERB 

, SPACE 
involvement, NOUN 
hydrolysis, NOUN 
condensation, NOUN 

, SPACE 
reactions, NOUN 
trimethoxysilane, NOUN 
spirooxazine, NOUN 

, SPACE 
molecules, NOUN 
tethered, VERB 
trimethoxysilane, NOUN 

, SPACE 
exist, VERB 
different, ADJ 
environments, NOUN 
hydro-, ADJ 

, SPACE 
lysis, NOUN 
condensation, NOUN 
degree, NOUN 
-OCH, PROPN 

, SPACE 
groups, NOUN 
silane, NOUN 
vary, VERB 
wide, ADJ 
range, NOUN 

, SPACE 
giving, VERB 
rise, NOUN 
different, ADJ 
dye, NOUN 
matrix, NOUN 
connectivity, NOUN 

, SPACE 
3.0, NUM 
3.1, NUM 
3.2, NUM 
3.3, NUM 
3.4, NUM 
3.5, NUM 
3.6, NUM 
3.7, NUM 
3.8, NUM 
3.9, NUM 
4.0, NUM 

, SPACE 
1000, NUM 
T(K, NOUN 

, SPACE 
Fig, PROPN 
5, NUM 
Arrhenius, NOUN 
plots, NOUN 
decolouration, NOUN 
photochromic, ADJ 

, SPACE 
coatings, NOUN 

, SPACE 
218, NUM 
L., PROPN 
Hou, PROPN 
H., PROPN 
Schmidt, PROPN 
Muterials, PROPN 
Lrttvrs, VERB 
27, NUM 
f, PROPN 
19, NUM 
215, NUM 
218, NUM 

, SPACE 
degree, NOUN 
freedom, NOUN 
dye, NOUN 
molecules, NOUN 

, SPACE 
coating, NOUN 
decreases, NOUN 
increasing, VERB 
connectivity, NOUN 

, SPACE 
matrix, NOUN 
higher, ADJ 
connectivity, NOUN 
slower, ADJ 

, SPACE 
decolouration, NOUN 
rate, NOUN 
Consequently, ADV 
gradually, ADV 
slow-, VERB 

, SPACE 
ing, PROPN 
decolouration, NOUN 
process, NOUN 
demonstrated, VERB 

, SPACE 
4, X 
Conclusions, NOUN 

, SPACE 
conclude, VERB 
silylation, NOUN 
photochromic, ADJ 

, SPACE 
spirooxazine, NOUN 
results, NOUN 
little, ADJ 
influence, NOUN 
pho-, PROPN 
tochromic, ADJ 
intensity, NOUN 
leads, VERB 
evident, ADJ 
deviation, NOUN 

, SPACE 
decolouration, NOUN 
kinetics, NOUN 
order, NOUN 
mecha-, NOUN 

, SPACE 
nism, NOUN 
gives, VERB 
rise, NOUN 
considerable, ADJ 
decrease, NOUN 

, SPACE 
decolouration, NOUN 
rate, NOUN 

, SPACE 
References, PROPN 

, SPACE 
11, NUM 
G.H., PROPN 
Brown, PROPN 
Photochromism, NOUN 
Techniques, NOUN 
chemistry, NOUN 
Vol, PROPN 

, SPACE 
3, X 
Wiley, PROPN 
Interscience, PROPN 
New, PROPN 
York, PROPN 
197, NUM 

, SPACE 
2, X 
L., PROPN 
Hou, PROPN 
M., PROPN 
Mennig, PROPN 
H., PROPN 
Schmidt, PROPN 
SPIE, PROPN 
Vol, PROPN 
2288, NUM 
Sol, PROPN 
Gel, PROPN 

, SPACE 
Optics, PROPN 
III, PROPN 
1994, NUM 
328, NUM 

, SPACE 
