Original, ADJ 
Francisco, PROPN 
USA, PROPN 

, SPACE 
eDivision, PROPN 
Oncology, PROPN 
Pennsylvania, PROPN 
State, PROPN 
University, PROPN 
Hershey, PROPN 
Cancer, PROPN 
Institute, PROPN 
Pennsylvania, PROPN 
State, PROPN 
Hershey, PROPN 
Medical, PROPN 
Center, PROPN 
Hershey, PROPN 
PA, PROPN 
USA, PROPN 

, SPACE 
abstract, ADJ 
article, NOUN 
info, NOUN 

, SPACE 
Article, NOUN 
history, NOUN 

, SPACE 
Received, VERB 
8, NUM 
December, PROPN 
2013, NUM 

, SPACE 
Revised, VERB 
17, NUM 
January, PROPN 
2014, NUM 

, SPACE 
Accepted, VERB 
21, NUM 
January, PROPN 
2014Available, NUM 
online, ADV 
28, NUM 
January, PROPN 
2014, NUM 

, SPACE 
Edited, VERB 
Mark, PROPN 
Johnson, PROPN 

, SPACE 
Keywords, PROPN 

, SPACE 
Osteoclast, ADJ 

, SPACE 
TherapyChemokineOsteolysisSkeletal, ADJ 
metastases, NOUN 
breast, NOUN 
cancer, NOUN 
subsequent, ADJ 
osteolysis, NOUN 
connote, NOUN 
dramatic, ADJ 
change, NOUN 
prognosis, NOUN 

, SPACE 
patient, NOUN 
signi, NOUN 
ﬁcantly, ADV 
increase, VERB 
morbidity, NOUN 
associated, VERB 
disease, NOUN 
cytokine, NOUN 
interleukin, NOUN 
8, NUM 
IL-8/, PROPN 

, SPACE 
CXCL8, PROPN 
able, ADJ 
directly, ADV 
stimulate, VERB 
osteoclastogenesis, NOUN 
bone, NOUN 
resorption, NOUN 
mouse, NOUN 
models, NOUN 
breast, NOUN 
cancerbone, NOUN 
metastasis, NOUN 
study, NOUN 
determined, VERB 
circulating, VERB 
levels, NOUN 
IL-8, NUM 
associated, VERB 
increasedbone, ADJ 
resorption, NOUN 
breast, NOUN 
cancer, NOUN 
bone, NOUN 
metastasis, NOUN 
patients, NOUN 
investigated, VERB 
IL-8, X 
action, NOUN 
vitro, X 
andin, PROPN 
vivo, NOUN 

, SPACE 
mice, NOUN 
breast, NOUN 
cancer, NOUN 
patient, NOUN 
plasma, NOUN 
36, NUM 
patients, NOUN 
identi, VERB 
ﬁed, PROPN 
signi, PROPN 
ﬁcantly, ADV 
elevated, VERB 
IL-8, PUNCT 
levels, NOUN 
bone, NOUN 

, SPACE 
metastasis, NOUN 
patients, NOUN 
compared, VERB 
patients, NOUN 
lacking, VERB 
bone, NOUN 
metastasis, NOUN 
p, NOUN 
b0.05, NOUN 
correlation, NOUN 

, SPACE 
plasma, NOUN 
IL-8, PUNCT 
increased, VERB 
bone, NOUN 
resorption, NOUN 
p, NOUN 
b0.05, NOUN 
measured, VERB 
NTx, NOUN 
levels, NOUN 
total, NOUN 
22, NUM 
ER+, NUM 
15, NUM 

, SPACE 
ER−primary, PROPN 
invasive, ADJ 
ductal, NOUN 
carcinomas, NOUN 
cases, NOUN 
examined, VERB 
stained, VERB 
positive, ADJ 
IL-8, NOUN 
expression, NOUN 
vitro, X 

, SPACE 
human, ADJ 
MDA, PROPN 
MB-231, PROPN 
MDA, PROPN 
MET, PROPN 
breast, NOUN 
cancer, NOUN 
cell, NOUN 
lines, NOUN 
secrete, VERB 
distinct, ADJ 
IL-8, PUNCT 
isoforms, NOUN 
whichwere, ADV 
found, VERB 
stimulate, VERB 
osteoclastogenesis, NOUN 
osteolytic, ADJ 
MDA, PROPN 
MET, PROPN 
derived, VERB 
lengthIL-8(1, PROPN 
77, NUM 
signi, NOUN 
ﬁcantly, ADV 
higher, ADJ 
potency, NOUN 
non, ADJ 
osteolytic, ADJ 
MDA, PROPN 
MB-231, ADV 
derived, VERB 
IL-8(6, NOUN 
77, NUM 
viathe, PRON 

, SPACE 
CXCR1, PROPN 
receptor, NOUN 
MDA, PROPN 
MET, PROPN 
breast, NOUN 
cancer, NOUN 
cells, NOUN 
injected, VERB 
tibia, NOUN 
nude, ADJ 
mice, NOUN 
7, NUM 
days, NOUN 
later, ADV 
treateddaily, ADV 
neutralizing, VERB 
IL-8, NOUN 
monoclonal, NOUN 
antibody, NOUN 
tumor, NOUN 
injected, VERB 
mice, NOUN 
receiving, VERB 
antibody, NOUN 
developedlarge, VERB 
osteolytic, ADJ 
bone, NOUN 
tumors, NOUN 
83, NUM 
IL-8, NOUN 
antibody, NOUN 
treated, VERB 
mice, NOUN 
evidence, NOUN 
tumor, NOUN 

, SPACE 
end, NOUN 
28, NUM 
days, NOUN 
signi, NOUN 
ﬁcantly, ADV 
increased, VERB 
survival, NOUN 
pro, ADJ 
osteoclastogenic, ADJ 
activity, NOUN 
IL-8, NOUN 
vivo, NOUN 
con-, PRON 

, SPACE 
ﬁrmed, VERB 
transgenic, ADJ 
mice, NOUN 
expressing, VERB 
human, ADJ 
IL-8, PUNCT 
examined, VERB 
found, VERB 
profound, ADJ 
osteopenic, NOUN 

, SPACE 
phenotype, NOUN 
elevated, ADJ 
bone, NOUN 
resorption, NOUN 
inherently, ADV 
low, ADJ 
bone, NOUN 
mass, NOUN 
Collectively, ADV 
data, NOUN 
suggest, VERB 

, SPACE 
IL-8, NOUN 
plays, VERB 
important, ADJ 
role, NOUN 
breast, NOUN 
cancer, NOUN 
osteolysis, NOUN 
anti, ADJ 
IL-8, ADJ 
therapy, NOUN 
useful, ADJ 
treatment, NOUN 

, SPACE 
skeletal, ADJ 
related, VERB 
events, NOUN 
associated, VERB 
breast, NOUN 
cancer, NOUN 

, SPACE 
©, ADJ 
2014, NUM 
Elsevier, ADJ 
Inc., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
Introduction, PROPN 

, SPACE 
Currently, PROPN 
approximately, ADV 
2, NUM 
million, NUM 
women, NOUN 
United, PROPN 

, SPACE 
States, PROPN 
living, VERB 
breast, NOUN 
cancer, NOUN 
disease, NOUN 
second, ADJ 
leading, VERB 

, SPACE 
cause, NOUN 
cancer, NOUN 
death, NOUN 
women, NOUN 
1, NUM 
Bone, NOUN 
common, ADJ 
site, NOUN 
cancer, NOUN 

, SPACE 
metastasis, NOUN 
bone, NOUN 
metastases, NOUN 
frequently, ADV 
associated, VERB 
compli-, ADJ 

, SPACE 
cations, NOUN 
hypercalcemia, NOUN 
osteolysis, NOUN 
nerve, NOUN 
compression, NOUN 
in-, ADP 

, SPACE 
tractable, ADJ 
bone, NOUN 
pain, NOUN 
pathological, ADJ 
fractures, NOUN 
2, NUM 
Approximately, ADV 
80, NUM 
ofwomen, NOUN 
metastatic, ADJ 
breast, NOUN 
cancer, NOUN 
tumors, NOUN 
arise, VERB 
bone, NOUN 

, SPACE 
course, NOUN 
disease, NOUN 
3, NUM 

, SPACE 
diagnosis, NOUN 
distant, ADJ 
metastases, NOUN 
mandates, VERB 
systemic, ADJ 

, SPACE 
local, ADJ 
primary, ADJ 
intervention, NOUN 
largely, ADV 
incurable, ADJ 
patient, ADJ 
manage-, ADJ 

, SPACE 
ment, ADJ 
decisions, NOUN 
metastatic, ADJ 
breast, NOUN 
cancer, NOUN 
suggest, VERB 
initia-, ADJ 

, SPACE 
tion, NOUN 
early, ADJ 
aggressive, ADJ 
treatment, NOUN 
local, ADJ 
and/or, CCONJ 
systemic)may, AUX 
appropriate, ADJ 
patients, NOUN 
progression, NOUN 
breast, NOUN 

, SPACE 
cancer, NOUN 
bone, NOUN 
metastases, NOUN 
requires, VERB 
establishment, NOUN 
functional, ADJ 
inter-, ADJ 

, SPACE 
actions, NOUN 
metastatic, ADJ 
breast, NOUN 
cancer, NOUN 
cells, NOUN 
bone, NOUN 
cells, NOUN 
4, NUM 

, SPACE 
interactions, NOUN 
presumably, ADV 
mediated, VERB 
direct, ADJ 
cell, NOUN 
cell, NOUN 
contact, NOUN 

, SPACE 
and/or, CCONJ 
soluble, ADJ 
stimulators, NOUN 
directly, ADV 
indirectly, ADV 
induce, VERB 
osteoclast, ADJ 

, SPACE 
formation, NOUN 
activity, NOUN 
2,4, NUM 
6, NUM 

, SPACE 
particular, ADJ 
breast, NOUN 
cancer, NOUN 
metastasis, NOUN 
bone, NOUN 
presents, NOUN 
unique, ADJ 
char-, ADJ 

, SPACE 
acteristics, NOUN 
successfully, ADV 
targeted, VERB 
palliativeBone, ADJ 
61, NUM 
2014, NUM 
176, NUM 
185, NUM 

, SPACE 
⁎Corresponding, PROPN 
author, NOUN 
Center, PROPN 
Orthopaedic, PROPN 
Research, PROPN 
Department, PROPN 

, SPACE 
Orthopaedic, PROPN 
Surgery, PROPN 
University, PROPN 
Arkansas, PROPN 
Medical, PROPN 
Sciences, PROPN 
4301, NUM 
West, PROPN 
Markham, PROPN 

, SPACE 
St., PROPN 
Little, PROPN 
Rock, PROPN 
AR, PROPN 
72205, NUM 
USA, PROPN 
Fax, NOUN 
+1, ADJ 
501, NUM 
686, NUM 
8987, NUM 

, SPACE 
E, ADJ 
mail, NOUN 
address, NOUN 
suvalarryj@uams.edu, X 
L.J., PROPN 
Suva, PROPN 

, SPACE 
8756, NUM 
3282/$, NUM 
matter, NOUN 
©, ADJ 
2014, NUM 
Elsevier, ADJ 
Inc., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
http://dx.doi.org/10.1016/j.bone.2014.01.015, PROPN 

, SPACE 
Contents, PROPN 
lists, NOUN 
available, ADJ 
ScienceDirect, PROPN 

, SPACE 
Bone, PROPN 

, SPACE 
journal, NOUN 
homepage, NOUN 
www.elsevier.com/locate/bone, NOUN 

, SPACE 
setting, NOUN 
primarily, ADV 
use, NOUN 
bisphosphonates, NOUN 
target, VERB 

, SPACE 
osteolytic, ADJ 
activity, NOUN 
osteoclast, ADJ 
2,5,6, NUM 
anti, ADJ 
RANKL, ADJ 
therapy, NOUN 

, SPACE 
2,5,7, NOUN 
targeting, VERB 
osteoclast, ADJ 
little, ADJ 
tumor, VERB 
bur-, NOUN 

, SPACE 
den, NOUN 
bone, NOUN 
suggests, VERB 
treatment, NOUN 
modalities, NOUN 

, SPACE 
considered, VERB 

, SPACE 
shown, VERB 
chemokine, ADJ 
interleukin, NOUN 
8, NUM 
IL-8/, PROPN 

, SPACE 
CXCL8, PROPN 
expressed, VERB 
primary, ADJ 
breast, NOUN 
cancers, NOUN 
able, ADJ 
directlystimulate, VERB 
osteoclastogenesis, NOUN 
bone, NOUN 
resorption, NOUN 
8–11].I, NUM 
L, PROPN 
8i, PROPN 
sa, PROPN 
l, PROPN 
s, PART 
oa, NOUN 

, SPACE 
potent, ADJ 
stimulator, NOUN 
number, NOUN 
invasiveness, NOUN 
circulating, VERB 
tumorcells, NOUN 
CTCs, NOUN 
especially, ADV 
tumors, NOUN 
enhanced, VERB 
bone, NOUN 
tropism, NOUN 

, SPACE 
12, NUM 
15, NUM 
Collectively, ADV 
data, NOUN 
suggest, VERB 
IL-8, NOUN 
play, VERB 

, SPACE 
important, ADJ 
role, NOUN 
breast, NOUN 
cancer, NOUN 
progression, NOUN 
16, NUM 
report, NOUN 
sug-, NOUN 

, SPACE 
gested, VERB 
correlation, NOUN 
serum, NOUN 
IL-8, NOUN 
levels, NOUN 
breast, NOUN 
cancer, NOUN 
metastasis, NOUN 

, SPACE 
17]and, ADV 
recently, ADV 
Singh, PROPN 
colleagues, NOUN 
18]suggested, VERB 
role, NOUN 
IL-8, NOUN 

, SPACE 
regulation, NOUN 
patient, NOUN 
derived, VERB 
breast, NOUN 
cancer, NOUN 
stem, NOUN 
like, ADJ 
cell, NOUN 
activity, NOUN 
measurement, NOUN 
circulating, VERB 
IL-8, NOUN 
breast, NOUN 
cancer, NOUN 
patients, NOUN 

, SPACE 
bone, NOUN 
metastasis, NOUN 
correlation, NOUN 
levels, NOUN 
bone, NOUN 

, SPACE 
resorption, NOUN 
studied, VERB 
extensively, ADV 

, SPACE 
measured, VERB 
IL-8, NOUN 
circulation, NOUN 
breast, NOUN 
cancer, NOUN 
patients, NOUN 

, SPACE 
bone, NOUN 
metastasis, NOUN 
performed, VERB 
immunocytochemis-, NOUN 

, SPACE 
try, NOUN 
series, NOUN 
primary, ADJ 
human, ADJ 
breast, NOUN 
cancers, NOUN 
examined, VERB 

, SPACE 
IL-8, PUNCT 
function, NOUN 
vivo, NOUN 
vitro, X 
data, NOUN 
demonstrate, VERB 
IL-8, NOUN 

, SPACE 
highly, ADV 
expressed, VERB 
primary, ADJ 
human, ADJ 
breast, NOUN 
cancers, NOUN 
signi, NOUN 
ﬁcantly, ADV 

, SPACE 
correlated, VERB 
elevated, ADJ 
bone, NOUN 
resorption, NOUN 
breast, NOUN 
cancer, NOUN 
patients, NOUN 

, SPACE 
Tumor, NOUN 
derived, VERB 
systemic, ADJ 
IL-8, NOUN 
contributes, VERB 
increased, VERB 
tumor, NOUN 
coloniza-, ADJ 

, SPACE 
tion, NOUN 
tumor, NOUN 
growth, NOUN 
bone, NOUN 
destruction, NOUN 
cellular, ADJ 
events, NOUN 

, SPACE 
inhibited, VERB 
anti, ADJ 
IL-8, ADJ 
therapy, NOUN 

, SPACE 
Materials, NOUN 
methods, NOUN 

, SPACE 
Reagents, PROPN 

, SPACE 
Tissue, PROPN 
culture, NOUN 
plastics, NOUN 
supplied, VERB 
Falcon, PROPN 
Lincoln, PROPN 
Park, PROPN 
NJ, PROPN 

, SPACE 
analytical, ADJ 
grade, NOUN 
reagents, NOUN 
purchased, VERB 
Sigma, PROPN 
St., PROPN 
Louis, PROPN 

, SPACE 
MO, PROPN 
Fisher, PROPN 
Spring, NOUN 
ﬁeld, NOUN 
NJ, PROPN 
tissue, NOUN 
culture, NOUN 
media, NOUN 
reagents, NOUN 

, SPACE 
supplied, VERB 
Life, PROPN 
Technologies, PROPN 
Inc., PROPN 
Grand, PROPN 
Island, PROPN 
NY, PROPN 
Recombi, PROPN 
nant, ADJ 
human, ADJ 
RANKL, PROPN 
recombinant, ADJ 
murine, PROPN 
macrophage, NOUN 
colony, NOUN 
stimulat-, X 

, SPACE 
ing, ADJ 
factor, NOUN 
CSF-1, PROPN 
recombinant, ADJ 
human, ADJ 
IL-8, NOUN 
IL-8(1, ADJ 
77, NUM 
IL-8(6, NOUN 
77, NUM 

, SPACE 
control, NOUN 
IgG, PROPN 
purchased, VERB 
R&D, PROPN 
Systems, PROPN 
Minneapolis, PROPN 
MN).Anti, ADJ 
IL-8, PROPN 
antibodies, NOUN 
vivo, NOUN 
obtained, VERB 
R&D, PROPN 
Systems, PROPN 

, SPACE 
Patient, PROPN 
samples, NOUN 

, SPACE 
Archival, PROPN 
breast, NOUN 
cancer, NOUN 
patient, NOUN 
plasma, PROPN 
obtained, VERB 
36, NUM 
patients, NOUN 

, SPACE 
18, NUM 
18, NUM 
bone, NOUN 
metastasis, NOUN 
measurement, NOUN 
IL-8, NUM 

, SPACE 
Analysis, NOUN 
archival, NOUN 
plasma, NOUN 
samples, NOUN 
approved, VERB 
University, PROPN 

, SPACE 
Arkansas, PROPN 
Medical, PROPN 
Sciences, PROPN 
Pennsylvania, PROPN 
State, PROPN 
University, PROPN 
In-, PROPN 

, SPACE 
stitutional, ADJ 
Review, PROPN 
Boards, PROPN 
clinical, ADJ 
assessment, NOUN 
bone, NOUN 
metastasis, NOUN 

, SPACE 
based, VERB 
patient, ADJ 
bone, NOUN 
scan, PROPN 
X, NOUN 
ray, NOUN 
evidence, NOUN 
bone, NOUN 
metastasis, NOUN 

, SPACE 
elevated, VERB 
blood, NOUN 
N, PROPN 
telopeptide, NOUN 
NTx, NOUN 
levels, NOUN 
clinical, ADJ 
marker, NOUN 

, SPACE 
bone, NOUN 
resorption, NOUN 
19, NUM 
serum, NOUN 
NTx, PROPN 
levels, NOUN 
patients, NOUN 

, SPACE 
help, VERB 
discern, VERB 
presence, NOUN 
absence, NOUN 
bone, NOUN 
metastasis, NOUN 
Thewomen, NOUN 
ranged, VERB 
age, NOUN 
49, NUM 
92, NUM 
years, NOUN 
median, ADJ 
age, NOUN 
70, NUM 

, SPACE 
bone, NOUN 
metastasis, NOUN 
group, NOUN 
67, NUM 
bone, NOUN 
metastasis, NOUN 
group, NOUN 

, SPACE 
power, NOUN 
analysis, NOUN 
conducted, VERB 
con, PROPN 
ﬁrm, NOUN 
size, NOUN 
sample, NOUN 

, SPACE 
suf, NOUN 
ﬁcient, NOUN 
provide, VERB 
statistical, ADJ 
power, NOUN 
80, NUM 

, SPACE 
addition, NOUN 
series, NOUN 
archival, NOUN 
formalin-ﬁ, PROPN 
xed, X 
parafﬁ, PROPN 
n, NOUN 
embedded, VERB 

, SPACE 
tumor, NOUN 
tissue, NOUN 
samples, NOUN 
22, NUM 
ER+, PUNCT 
expressing, VERB 
2, NUM 
+, NUM 
3, NUM 
+, NUM 
positivity, NOUN 

, SPACE 
inN50, ADJ 
cells, NOUN 
15, NUM 
ER, NOUN 
−i, NOUN 

 , SPACE 
nvasive, VERB 
ductal, ADJ 
breast, NOUN 
carcinomas, PROPN 
irrespec-, ADJ 

, SPACE 
tive, NOUN 
grade, NOUN 
stage, NOUN 
disease, NOUN 
selected, VERB 
evaluation, NOUN 
Un, ADJ 
stained, VERB 
sections, NOUN 
immunostained, VERB 
IL-8, NOUN 
expression, NOUN 
anti, ADJ 
IL-8, ADJ 

, SPACE 
antibody, NOUN 
dilution, NOUN 
1:200, NUM 
R&D, PROPN 
Systems, PROPN 
Minneapolis, PROPN 
MN, PROPN 
appro-, PROPN 

, SPACE 
priate, NOUN 
positive, ADJ 
negative, ADJ 
controls, NOUN 
intensity, NOUN 
staining, VERB 
IL-8, NOUN 

, SPACE 
graded, VERB 
scale, NOUN 
0, NUM 
3, NUM 
+, NUM 
0, NUM 
representing, VERB 
detectable, ADJ 

, SPACE 
staining, NOUN 
3, NUM 
+, NOUN 
representing, VERB 
strongest, ADJ 
staining, NOUN 
independent, ADJ 

, SPACE 
observers, NOUN 
examined, VERB 
slide, NOUN 
Cell, NOUN 
lines, NOUN 
culture, NOUN 
conditions, NOUN 

, SPACE 
MDA, PROPN 
MB-231, PROPN 
cells, NOUN 
MDA-231, PROPN 
MDA, PROPN 
MET, PROPN 
cell, NOUN 
lines, NOUN 

, SPACE 
transfected, VERB 
variants, NOUN 
sense, NOUN 
anti, ADJ 
sense, ADJ 
maintained, VERB 
inDMEM, PROPN 
supplemented, VERB 
10, NUM 
fetal, ADJ 
bovine, ADJ 
serum, NOUN 
37, NUM 
°, NUM 
C, NOUN 
sterile, ADJ 

, SPACE 
culture, NOUN 
dishes, NOUN 
9, NUM 
Highly, ADV 
bone, NOUN 
metastatic, NOUN 
MDA, PROPN 
MET, PROPN 
cells, NOUN 
derived, VERB 

, SPACE 
weakly, ADJ 
osteolytic, ADJ 
MDA-231, ADJ 
variant, NOUN 
vivo, ADJ 
selection, NOUN 
9, NUM 
MDA-, X 

, SPACE 
MET, PROPN 
cells, NOUN 
secrete, VERB 
length, NOUN 
IL-8, PUNCT 
produce, VERB 
osteolytic, ADJ 
lesions, NOUN 
100%)within, NUM 
4, NUM 
weeks, NOUN 
inoculation, NOUN 
circulation, NOUN 
tibia, NOUN 
athymic, ADJ 
nude, ADJ 

, SPACE 
mice, NOUN 
20]and, NOUN 
grow, VERB 
effectively, ADV 
mammary, ADJ 
fat, NOUN 
pad, NOUN 
21]compared, NUM 

, SPACE 
MDA-231, ADJ 
cells, NOUN 
produce, VERB 
little, ADJ 
length, NOUN 
IL-8, PUNCT 
20, NUM 

, SPACE 
MDA-231, PROPN 
IL8, PROPN 
MDA, PROPN 
MET, PROPN 
cells, NOUN 
generated, VERB 
stable, ADJ 

, SPACE 
transfection, NOUN 
expression, NOUN 
vectors, NOUN 
pcDNA3, VERB 
Invitrogen, PROPN 
Carlsbad, PROPN 
California, PROPN 
expressing, VERB 
length, NOUN 
hIL-8, PROPN 
anti, ADJ 
sense, ADJ 
hIL-8, NOUN 
cDNA, NOUN 

, SPACE 
HindIII, NOUN 
BamHI, NOUN 
fragment, NOUN 
calcium, NOUN 
phosphate, NOUN 
precipitation, NOUN 

, SPACE 
pcDNA3, NOUN 
IL-8, NOUN 
sense, NOUN 
antisense, NOUN 
DNA, NOUN 
transfected, VERB 
cells, NOUN 
weregrown, ADJ 
single, ADJ 
clones, NOUN 
isolated, VERB 
limiting, VERB 
dilution, NOUN 
presence, NOUN 

, SPACE 
selective, ADJ 
marker, NOUN 
G418, PROPN 
Sigma, PROPN 
Chemical, PROPN 
Co., PROPN 
St., PROPN 
Louis, PROPN 
Missouri, PROPN 

, SPACE 
USA, PROPN 
Clones, NOUN 
screened, VERB 
measuring, VERB 
secreted, VERB 

, SPACE 
hIL-8, PROPN 
sense, NOUN 
expressing, VERB 
MDA-231, ADJ 
loss, NOUN 
IL-8, NOUN 
MDA, PROPN 
MET, PROPN 
an-, PUNCT 

, SPACE 
tisense, ADJ 
cells, NOUN 
serum, NOUN 
free, ADJ 
48, NUM 
h, NOUN 
conditioned, VERB 
media, NOUN 
Clones, NOUN 
signif-, PROPN 

, SPACE 
icantly, ADV 
increased, VERB 
decreased, VERB 
IL-8, NOUN 
levels, NOUN 
selected, VERB 

, SPACE 
study, NOUN 

, SPACE 
HEK-293, PROPN 
human, ADJ 
embryonal, ADJ 
kidney, NOUN 
cells, NOUN 
stably, ADV 
expressing, VERB 
CXCR1, PROPN 

, SPACE 
CXCR2, PROPN 
generous, ADJ 
gift, NOUN 
Dr., PROPN 
Ji, PROPN 
Ming, PROPN 
Wang, PROPN 
NCI, PROPN 
Frederick, PROPN 
Cancer, PROPN 

, SPACE 
Research, PROPN 
grown, VERB 
monolayers, NOUN 
growth, NOUN 
medium, NOUN 
Dulbecco, PROPN 

, SPACE 
modi, NOUN 
ﬁed, PROPN 
Eagle, PROPN 
medium, NOUN 
10, NUM 
fetal, ADJ 
calf, NOUN 
serum, NOUN 
penicillin, PROPN 

, SPACE 
100, NUM 
units, NOUN 
ml, PROPN 
streptomycin, PROPN 
100, NUM 
μg, PROPN 
ml, PROPN 
Cells, NOUN 
grown, VERB 

, SPACE 
approximately, ADV 
75, NUM 
con, NOUN 
ﬂuency, NOUN 
atmosphere, NOUN 
95, NUM 
air, NOUN 
5, NUM 
CO, PROPN 

, SPACE 
2at, NOUN 

, SPACE 
37, NUM 
°, NUM 
C, NOUN 
described, VERB 
22, NUM 

, SPACE 
IL-8, X 
ligand, VERB 
binding, VERB 
assay, NOUN 

, SPACE 
Ligand, PROPN 
binding, VERB 
assays, NOUN 
performed, VERB 
described, VERB 
23].B, NUM 
r, NOUN 
e, VERB 
ﬂy, ADP 

, SPACE 
duplicate, VERB 
aliquots, NOUN 
stably, ADV 
transfected, VERB 
CXCR1, PROPN 
CXCR2, PROPN 
HEK-293, PROPN 
cells(5, PROPN 
×, PROPN 
10, NUM 

, SPACE 
5–1×1, NOUN 
06cells/200, PROPN 
μl, PROPN 
suspended, VERB 
binding, VERB 
medium, NOUN 

, SPACE 
RPMI, PROPN 
1640, NUM 
10, NUM 
mg, NOUN 
ml, PROPN 
BSA, PROPN 
25, NUM 
mM, NUM 
HEPES, PROPN 
0.05, NUM 
Na, PROPN 
azide, NOUN 
thepresence, NOUN 
0.1, NUM 
ng, PROPN 

, SPACE 
125IL-8, PROPN 
DuPont, PROPN 
NEN, PROPN 
DE, PROPN 
serial, ADJ 
dilutions, NOUN 
un-, NOUN 

, SPACE 
labeled, VERB 
IL-8(1, NOUN 
77, NUM 
6, NUM 
77, NUM 
Following, VERB 
1, NUM 
h, NOUN 
incubation, NOUN 
room, NOUN 
tempera-, SYM 

, SPACE 
ture, NOUN 
cells, NOUN 
centrifuged, VERB 
0.8, NUM 
ml, NOUN 
sucrose, NOUN 
PBS, PROPN 

, SPACE 
radioactivity, NOUN 
remaining, VERB 
cell, NOUN 
pellets, NOUN 
measured, VERB 
1272, NUM 

, SPACE 
CliniGamma, PROPN 
gamma, NOUN 
counter, NOUN 
Pharmacia, PROPN 
MD, PROPN 

, SPACE 
Intratibial, ADJ 
injection, NOUN 
tumor, NOUN 
cells, NOUN 
antibody, NOUN 
treatment, NOUN 
survival, NOUN 

, SPACE 
MDA, PROPN 
MET, PROPN 
MDA-231, PROPN 
IL8, PROPN 
MDA, PROPN 
MET, PROPN 
cells, NOUN 
grown, VERB 
sub-, ADJ 

, SPACE 
conﬂuence, NOUN 
Fresh, ADJ 
medium, NOUN 
added, VERB 
24, NUM 
h, NOUN 
harvesting, NOUN 
tumor, NOUN 

, SPACE 
inoculation, NOUN 
day, NOUN 
injections, NOUN 
cells, NOUN 
harvested, VERB 

, SPACE 
0.2, NUM 
EDTA, PROPN 
0.02, NUM 
trypsin, NOUN 
washed, VERB 
twice, ADV 
PBS, PROPN 
resuspended, VERB 

, SPACE 
PBS, PROPN 
concentration, NOUN 
106cells, PROPN 
ml, PROPN 
week, NOUN 
old, ADJ 
athymic, ADJ 
