cm, INTJ 
441, NUM 

, SPACE 
aim, NOUN 
paper, NOUN 
study, VERB 
occurrence, NOUN 

, SPACE 
compositional, ADJ 
chemical, ADJ 
modifications, NOUN 
induced, VERB 
yt-, X 

, SPACE 
tria, PROPN 
zirconia, NOUN 
thick, ADJ 
films, NOUN 
low, ADJ 
energy, NOUN 
ion, NOUN 
irradiation, NOUN 

, SPACE 
underlying, VERB 
idea, NOUN 
significant, ADJ 
chemical, NOUN 
modifications, NOUN 

, SPACE 
oxidation, NOUN 
state, NOUN 
Zr, PROPN 
Y, PROPN 
cations, NOUN 
induced, VERB 

, SPACE 
ion, NOUN 
irradiation, NOUN 
compositional, ADJ 
modifica-, NUM 

, SPACE 
tions, NOUN 
i.e., X 
oxygen, NOUN 
depletion, NOUN 
direct, ADJ 
consequence, NOUN 

, SPACE 
primary, ADJ 
chemical, NOUN 
modification, NOUN 
relevant, ADJ 
chemi-, ADJ 

, SPACE 
cal, NOUN 
modifications, NOUN 
essentially, ADV 
consist, VERB 
reduction, NOUN 

, SPACE 
Z&V, PROPN 
>, X 
Y(II1, PROPN 
species, VERB 
respectively, ADV 
Zr(III, NUM 
Z&I, PROPN 

, SPACE 
Y(B, NOUN 
species, NOUN 

, SPACE 
2, X 
Experimental, ADJ 

, SPACE 
yttria, NOUN 
zirconia, PROPN 
samples, NOUN 
following, VERB 
chemi-, ADJ 

, SPACE 
cal, ADJ 
composition, NOUN 
wt.%, PROPN 
Y, PROPN 
O, PROPN 
7.98, NUM 
ZIG, PROPN 
90.34, NUM 

, SPACE 
samples, NOUN 
contain, VERB 
small, ADJ 
traces, NOUN 
HfO, NOUN 
1.09, NUM 
>, NOUN 
CaO, NOUN 

, SPACE 
0.2, NUM 
Fe, PROPN 
O, INTJ 
0.12, NUM 
TiO, NOUN 
0.17, NUM 
samples, NOUN 

, SPACE 
films, NOUN 
0.8, NUM 
mm, NOUN 
thick, ADJ 
deposited, VERB 
type, NOUN 
AISI, NOUN 

, SPACE 
316, NUM 
stainless, ADJ 
steel, NOUN 
air, NOUN 
pressure, NOUN 
plasma, NOUN 
spray, NOUN 
APPS, PROPN 

, SPACE 
Flat, ADJ 
surfaces, NOUN 
especially, ADV 
suited, VERB 
angular, ADJ 
dependent, ADJ 
XPS, PROPN 

, SPACE 
analysis, NOUN 
Ar, PROPN 
+, PROPN 
irradiation, NOUN 
obtained, VERB 

, SPACE 
mechanical, ADJ 
polishing, NOUN 
mirror, NOUN 
like, ADJ 
finish, NOUN 
diamond, NOUN 

, SPACE 
pastes, NOUN 
0.25, NUM 
pm, NOUN 
followed, VERB 
cleaning, NOUN 
step, NOUN 

, SPACE 
organic, ADJ 
solvents, NOUN 
ultrasonic, ADJ 
bath, NOUN 
air, NOUN 
thermal, ADJ 

, SPACE 
treatment, NOUN 
1220, NUM 
K, NOUN 
4, NUM 
h., NOUN 
final, ADJ 
surface, NOUN 
composition, NOUN 

, SPACE 
expected, VERB 
fully, ADV 
oxidized, VERB 
8, NUM 
wt.%, PROPN 
Y, PROPN 
O,-ZrG, PROPN 

, SPACE 
Angular, ADJ 
dependent, ADJ 
X, PROPN 
ray, NOUN 
photoelectron, PROPN 
spectra, PROPN 
AD-, PROPN 

, SPACE 
XPS, PROPN 
obtained, VERB 
XPS, PROPN 
spectrometer, NOUN 
equipped, VERB 

, SPACE 
hemispherical, ADJ 
analyser, NOUN 
Al, PROPN 
Ka, PROPN 
J, PROPN 
radiation, NOUN 
hv, PROPN 
=, PUNCT 

, SPACE 
1486.6, NUM 
eV, X 
>, X 
electron, NOUN 
analyser, NOUN 
operated, VERB 
fixed, VERB 

, SPACE 
analyser, NOUN 
transmission, NOUN 
mode, NOUN 
FAT, PROPN 
constant, ADJ 
pass, NOUN 

, SPACE 
energy, NOUN 
20, NUM 
eV., PROPN 
condition, NOUN 
width, NOUN 
half, ADJ 

, SPACE 
maximum, ADJ 
FWHM, NOUN 
reference, NOUN 
Ag3d, PROPN 
peak, NOUN 

, SPACE 
Ar+, NUM 
cleaned, VERB 
material, NOUN 
1.0, NUM 
eV., ADJ 
base, NOUN 
pressure, NOUN 

, SPACE 
experiments, NOUN 
5, NUM 
X, NUM 
10, NUM 
mbar, NOUN 
analy-, PROPN 

, SPACE 
sis, PROPN 
chamber, NOUN 
correction, NOUN 
charging, VERB 
effects, NOUN 

, SPACE 
obtained, VERB 
referencing, VERB 
peaks, NOUN 
binding, VERB 

, SPACE 
energy, NOUN 
B.E., PROPN 
Au4f, PROPN 
set, VERB 
83.8, NUM 
eV, NUM 
evapo-, DET 

, SPACE 
rated, VERB 
gold, NOUN 
surface, NOUN 
samples, NOUN 

, SPACE 
conditions, NOUN 
B.E., PROPN 
Zr3d, NOUN 
found, VERB 
182.3, NUM 
eV, NUM 

, SPACE 
good, ADJ 
agreement, NOUN 
literature, NOUN 
7,10,11, NUM 
doublet, NOUN 
Zr, PROPN 
3d, NOUN 

, SPACE 
signal, NOUN 
analysed, VERB 
peak, NOUN 
fitting, NOUN 
routine, NOUN 
obtaining, VERB 

, SPACE 
doublet, NOUN 
consists, VERB 
Gaussian, PROPN 
shaped, VERB 
peaks, NOUN 

, SPACE 
having, VERB 
FWHM, NOUN 
1.5, NUM 
eV, NUM 
spin, NOUN 
orbit, NOUN 
splitting, NOUN 
value, NOUN 

, SPACE 
2.37, NUM 
eV., ADJ 
intensity, NOUN 
ratio, NOUN 
peaks, NOUN 
1.47, NUM 

, SPACE 
respect, NOUN 
theoretical, ADJ 
1.5, NUM 

, SPACE 
analysis, NOUN 
components, NOUN 
Zr3d, ADJ 

, SPACE 
region, NOUN 
Ar+, SYM 
irradiated, VERB 
samples, NOUN 
performed, VERB 

, SPACE 
doublets, NOUN 
reproducing, VERB 
exactly, ADV 
Z&V, PROPN 
doublet, NOUN 
i.e., X 

, SPACE 
keeping, VERB 
Gaussian, ADJ 
shape, NOUN 
components, NOUN 
internal, ADJ 

, SPACE 
distance, NOUN 
3d, PROPN 
3d, PROPN 
peaks, NOUN 
2.4, NUM 
eV, NUM 

, SPACE 
intensity, NOUN 
ratio, NOUN 
1(3d, NUM 
1(3d, NUM 
=, VERB 
1.5, NUM 
FWHM, NOUN 

, SPACE 
component, NOUN 
allowed, VERB 
vary, VERB 
0.1, NUM 
eV, NUM 

, SPACE 
irradiation, NOUN 
Ar+, ADJ 
irradiation, NOUN 
performed, VERB 
situ, NOUN 
XPS, PROPN 

, SPACE 
apparatus, NOUN 
AG21, PROPN 
ion, NOUN 
gun, NOUN 
operated, VERB 
pressure, NOUN 

, SPACE 
5, NUM 
X, NOUN 
lop6, NOUN 
mbar, NOUN 
Ar+, X 
energies, NOUN 
set, VERB 
1, NUM 
2, NUM 
4, NUM 

, SPACE 
keV., PROPN 
Samples, NOUN 
irradiated, VERB 
fluence, NOUN 
range, NOUN 

, SPACE 
5, NUM 
X, NOUN 
1016, NUM 
1.2, NUM 
X, NUM 
10, NUM 
ions, NOUN 
cm, PROPN 
fluence, NOUN 
eval-, ADJ 

, SPACE 
uated, ADJ 
switching, VERB 
Ar+, ADJ 
beam, NOUN 
Faraday, PROPN 
cup, NOUN 
near, ADP 

, SPACE 
surface, NOUN 
target, NOUN 
angle, NOUN 
incidence, NOUN 
0, NUM 

, SPACE 
normal, ADJ 
sample, NOUN 
surface, NOUN 

, SPACE 
3, X 
Results, NOUN 
discussion, NOUN 

, SPACE 
Samples, NOUN 
8, NUM 
wt.%, PROPN 
equivalent, ADJ 
4.5, NUM 
mol%, PROPN 

, SPACE 
yttria, PROPN 
zirconia, PROPN 
plasma, NOUN 
sprayed, VERB 
coatings, NOUN 
henceforth, ADV 
YSZ, PROPN 

, SPACE 
irradiated, VERB 
Ar+, NUM 
beams, NOUN 
1, NUM 
2, NUM 
4, NUM 

, SPACE 
keV., NOUN 
ion, NOUN 
fluence, NOUN 
ranges, VERB 
5, NUM 
X, NOUN 
1016, NUM 
1.0, NUM 
X, NOUN 
lOi, NOUN 

, SPACE 
ions, NOUN 
cm2, NOUN 
related, ADJ 
mean, ADJ 
projected, VERB 
ranges, NOUN 
R, NOUN 

, SPACE 
bombarding, VERB 
ions, NOUN 
estimated, VERB 
TRIM, PROPN 
code, NOUN 
121, NUM 

, SPACE 
respectively, ADV 
1.9, NUM 
run, NOUN 
1, NUM 
keV, NOUN 
Ar, PROPN 
ions, NOUN 
3.0, NUM 
nm, NOUN 

, SPACE 
2.0, NUM 
keV, NOUN 
ions, NOUN 
4.8, NUM 
nm, NOUN 
4, NUM 
keV, NOUN 
ions, NOUN 
noted, VERB 

, SPACE 
thickness, NOUN 
irradiated, VERB 
layer, NOUN 
probably, ADV 

, SPACE 
higher, ADJ 
R, NOUN 
depends, VERB 
longitudi-, NOUN 

, SPACE 
nal, ADJ 
straggling, NOUN 
primary, ADJ 
ion, NOUN 
effect, NOUN 

, SPACE 
recoiling, VERB 
atoms, NOUN 
hand, NOUN 

, SPACE 
account, NOUN 
fact, NOUN 
probably, ADV 
substantial, ADJ 

, SPACE 
alteration, NOUN 
occur, VERB 
critical, ADJ 
energy, NOUN 
density, NOUN 

, SPACE 
suggested, VERB 
fact, NOUN 
1, NUM 
keV, NOUN 
Ar+, NOUN 
able, ADJ 

, SPACE 
induce, VERB 
detectable, ADJ 
reduction, NOUN 
fluence, NOUN 
range, NOUN 

, SPACE 
1, NUM 
X, NUM 
10, NUM 
ions, NOUN 
cm2, NOUN 
estimate, VERB 
thick-, PROPN 

, SPACE 
ness, NOUN 
altered, VERB 
layer, NOUN 
probably, ADV 
comparable, ADJ 

, SPACE 
estimated, VERB 
R, NOUN 

, SPACE 
step, NOUN 
Ar+, ADJ 
irradiation, NOUN 
XPS, PROPN 
measurements, NOUN 

, SPACE 
carried, VERB 
values, NOUN 
Y, NOUN 

, SPACE 
angle, NOUN 
normal, ADJ 
sample, NOUN 
entrance, NOUN 

, SPACE 
slit, ADJ 
axis, NOUN 
particular, ADJ 
Y, PROPN 
=, NOUN 
0, NUM 
cr, PROPN 
=, PROPN 
60, NUM 

, SPACE 
angles, NOUN 
explored, VERB 
i.e., X 
respectively, ADV 
bulk, NOUN 
like, ADJ 

, SPACE 
surface, NOUN 
enhanced, VERB 
modes, NOUN 
Y, PROPN 
=, SYM 
0, NUM 
angle, NOUN 

, SPACE 
estimated, VERB 
sampling, VERB 
depth, NOUN 
6.6, NUM 
nm, NOUN 

, SPACE 
cr, PROPN 
=, PROPN 
60, NUM 
angle, NOUN 
3.3, NUM 
nm, NOUN 
13, NUM 
According, VERB 

, SPACE 
discussion, NOUN 
estimate, VERB 
XPS, PROPN 
sampling, VERB 

, SPACE 
depth, NOUN 
bulk, ADJ 
mode, NOUN 
larger, ADJ 
comparable, ADJ 
thick-, NOUN 

, SPACE 
ness, NOUN 
altered, VERB 
layer, NOUN 
considered, ADJ 
Arf, PROPN 
energies, NOUN 

, SPACE 
Fig, PROPN 
1A, PROPN 
reports, VERB 
XPS, PROPN 
spectra, PROPN 
energy, NOUN 
region, NOUN 

, SPACE 
Zr3d, ADJ 
s/2, ADJ 
Zr3d, PROPN 
virgin, ADJ 
YSZ, PROPN 
sample, NOUN 
trace, VERB 

, SPACE 
Ar+, NUM 
irradiated, VERB 
surface, NOUN 
2, NUM 
keV, NOUN 
fluence, NOUN 
1.3, NUM 
X, NOUN 
10, NUM 

, SPACE 
ions, NOUN 
cm2, NUM 
trace, NOUN 
b, PROPN 
spectra, NOUN 
obtained, VERB 

, SPACE 
angle, NOUN 
Y, PROPN 
=, NOUN 
0, NUM 
sampling, VERB 
depth, NOUN 
6.6, NUM 
nm, NOUN 

, SPACE 
characteristic, ADJ 
features, NOUN 
3d, NOUN 
peaks, NOUN 
i.e., X 
binding, VERB 

, SPACE 
energy, NOUN 
B.E., PROPN 
Zr3d, PROPN 
182.3, NUM 
eV, NUM 
intensity, NOUN 
ratio, NOUN 

, SPACE 
3, NUM 
2, NUM 
spin, NOUN 
orbit, NOUN 
splitting, NOUN 
2.4, NUM 
eV, NUM 
close, ADJ 

, SPACE 
agreement, NOUN 
Z&V, PROPN 
species, NOUN 
lo,1, PROPN 
11, NUM 
sub-, NOUN 

, SPACE 
traction, NOUN 
normalized, VERB 
b, NOUN 
spectrum, NOUN 
yields, VERB 

, SPACE 
doublet, ADJ 
structure, NOUN 
irradiated, VERB 
samples, NOUN 

, SPACE 
Fig, PROPN 
1B, PROPN 
compares, VERB 
XPS, PROPN 
Zr3d, ADJ 
peaks, NOUN 
Ar+, PROPN 

, SPACE 
irradiated, VERB 
sample, NOUN 
respectively, ADV 
obtained, VERB 
angle, NOUN 

, SPACE 
Y, PROPN 
=, NOUN 
0, NUM 
trace, NOUN 
b, PROPN 
angle, NOUN 
cy, PROPN 
=, PROPN 
60, NUM 
trace, NOUN 
c, PROPN 

, SPACE 
result, NOUN 
subtraction, NOUN 
procedure, NOUN 
trace, NOUN 
b, PROPN 
trace, NOUN 
c, PROPN 

, SPACE 
442, NUM 
G.M., PROPN 
Ingo, PROPN 
G., PROPN 
Marlena, PROPN 
Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
Phys, PROPN 
Res, PROPN 
B, NOUN 
I6, PROPN 
996, NUM 
440, NUM 
446, NUM 

, SPACE 
Binding, PROPN 
Energy, PROPN 
f, PROPN 
eV, PRON 

, SPACE 
Lr, PROPN 
Bd, PROPN 

, SPACE 
180, NUM 
182, NUM 
184, NUM 
it36, PROPN 
lE8, PROPN 

, SPACE 
Binding, PROPN 
Energy, PROPN 
eV, NUM 

, SPACE 
170, NUM 
180, NUM 
182, NUM 
184, NUM 
186, NUM 
188, NUM 

, SPACE 
Binding, PROPN 
Energy, PROPN 
eV, PROPN 

, SPACE 
Fig, PROPN 
1, NUM 
XPS, PROPN 
spectra, PROPN 
energy, NOUN 
region, NOUN 
Zr3d,,,-Zr3d, PROPN 

, SPACE 
virgin, ADJ 
8, NUM 
wt.%, PROPN 
Y, PROPN 
O,-ZrO, PROPN 
sample, NOUN 
trace, VERB 
angle, NOUN 

, SPACE 
LY, PROPN 
=, NOUN 
0, NUM 
sampling, VERB 
depth, NOUN 
6.6, NUM 
nm, ADJ 
2, NUM 
keV, NOUN 
Ar+, PROPN 
irradiated, VERB 
surface, NOUN 

, SPACE 
fluence, NOUN 
1.3X, NOUN 
10, NUM 
ions, NOUN 
cm, PROPN 
angle, NOUN 
=, NOUN 
0, NUM 
sampling, VERB 

, SPACE 
depth, NOUN 
6.6, NUM 
nm, NOUN 
trace, NOUN 
b, PROPN 
B, NOUN 
irradiated, ADJ 
surface, NOUN 
angle, NOUN 

, SPACE 
Y, PROPN 
=, SYM 
60, NUM 
sampling, VERB 
depth, NOUN 
3.3, NUM 
nm, NOUN 
>, X 
trace, NOUN 
c, PROPN 
C, NOUN 
result, NOUN 

, SPACE 
subtraction, NOUN 
procedure, NOUN 
trace, NOUN 
b, PROPN 
trace, NOUN 
c, PROPN 
doublet, NOUN 

, SPACE 
indicated, VERB 
trace, NOUN 
d, NOUN 
having, VERB 
B.E., PROPN 
1, NUM 
eV, NUM 
lower, ADJ 
Zd4, PROPN 
+, PROPN 

, SPACE 
doublet, VERB 
peak, NOUN 
fitting, VERB 
doublet, NOUN 
achieved, VERB 

, SPACE 
peak, NOUN 
FWHM, NOUN 
1.58, NUM 
eV, NUM 
distance, NOUN 
2.4, NUM 
eV, X 
intensity, NOUN 
ratio, NOUN 
1.5, NUM 

, SPACE 
Zr3d, NOUN 
3d, PROPN 
components, NOUN 

, SPACE 
shows, VERB 
doublet, NOUN 
structure, NOUN 
indicated, VERB 
trace, NOUN 

, SPACE 
d, PROPN 
seen, VERB 
Fig, PROPN 
1A., NOUN 
doublet, NOUN 
B.E., PROPN 
1, NUM 
eV, X 

, SPACE 
lower, ADJ 
Zr(IV, PROPN 
doublet, NOUN 
spin, NOUN 
orbit, NOUN 

, SPACE 
splitting, NOUN 
characteristic, ADJ 
3d, NOUN 
3d, PROPN 
intensity, NOUN 

, SPACE 
ratio, NOUN 
turns, VERB 
exactly, ADV 
expected, VERB 
Zr, PROPN 
doublet, NOUN 

, SPACE 
evidence, NOUN 
peak, NOUN 
fitting, ADJ 
doublet, NOUN 

, SPACE 
reported, VERB 
Fig, PROPN 
1C., NUM 
assign, VERB 
doublet, NOUN 
Z&II, X 
>, X 

, SPACE 
species, NOUN 
18, NUM 
1.3, NUM 
eV, NUM 
Zr, PROPN 
3d, PROPN 
component, NOUN 

, SPACE 
important, ADJ 
note, VERB 
subtraction, NOUN 
procedure, NOUN 

, SPACE 
bulk, NOUN 
like, ADJ 
spectrum, NOUN 
surface, NOUN 
enhanced, VERB 
spec-, ADJ 

, SPACE 
trum, NOUN 
yields, VERB 
effect, NOUN 
spectra, NOUN 

, SPACE 
virgin, PROPN 
surface, NOUN 
subtracted, VERB 
irradiakd, NOUN 

, SPACE 
surface, NOUN 
Fig, PROPN 
IA, PROPN 
main, ADJ 
effect, NOUN 

, SPACE 
2, NUM 
keV, NOUN 
Arc, PROPN 
1.3, NUM 
X, NOUN 
lOI, ADJ 
ions, NOUN 
cm2, NOUN 
consists, VERB 
formation, NOUN 
reduced, VERB 
Zr, PROPN 
doublet, NOUN 
reduced, VERB 

, SPACE 
species, NOUN 
mainly, ADV 
formed, VERB 
surface, NOUN 

, SPACE 
evidence, NOUN 
obtained, VERB 
peak, NOUN 
fitting, VERB 
proce-, NOUN 

, SPACE 
dure, NOUN 
confirmed, VERB 
definitive, ADJ 
evidence, NOUN 

, SPACE 
particular, ADJ 
evidence, NOUN 
