Vacuum, PROPN 
cyclotron, NOUN 
resonance, NOUN 
discharge, NOUN 
cleaning, NOUN 
glow, VERB 
discharge, NOUN 
cleaning, NOUN 
ITER, PROPN 
recycling, VERB 
control, NOUN 

, SPACE 
wall, NOUN 
conditioning, NOUN 

, SPACE 
Introduction, NOUN 

, SPACE 
purpose, NOUN 
wall, NOUN 
conditioning, NOUN 
impurity, NOUN 
removal, NOUN 
recyc-, VERB 

, SPACE 
ling, NOUN 
control, NOUN 
hydrogenic, ADJ 
gas, NOUN 
plasma, NOUN 
start, NOUN 

, SPACE 
addition, NOUN 
minimisation, NOUN 
tritium, NOUN 
inventory, NOUN 
vessel, NOUN 
com-, NOUN 

, SPACE 
ponents, NOUN 
important, ADJ 
shown, VERB 
recent, ADJ 
plasma, NOUN 
experi-, NOUN 

, SPACE 
ments, NOUN 
deuterium, NOUN 
and/or, CCONJ 
tritium, NOUN 
gases, NOUN 
present, ADJ 
plasma, NOUN 

, SPACE 
confinement, NOUN 
devices, NOUN 
wall, PROPN 
conditioning, NOUN 
plays, VERB 
important, ADJ 
role, NOUN 

, SPACE 
realising, VERB 
good, ADJ 
plasma, NOUN 
confinement, NOUN 
characteristics.3.4.5, PROPN 

, SPACE 
devices, NOUN 
Glow, PROPN 
Discharge, PROPN 
Cleaning, PROPN 
GDC),6, PROPN 
Electron, PROPN 
Cyclotron, PROPN 

, SPACE 
Resonance, PROPN 
Discharge, PROPN 
Cleaning, PROPN 
ECRDC),7, PROPN 
Taylor, PROPN 
Type, PROPN 
Dis-, X 

, SPACE 
charge, NOUN 
Cleaning, PROPN 
TDC),8, PROPN 
Disruptive, PROPN 
Discharge, PROPN 
Cleaning, PROPN 
DDC),4, NOUN 

, SPACE 
tokamak, PROPN 
shot, VERB 
discharge, NOUN 
cleaning, NOUN 
thin, ADJ 
film, NOUN 
coating, NOUN 

, SPACE 
carbonisation, NOUN 
boronization’O, PROPN 
siliconization, NOUN 

, SPACE 
ITER, PROPN 
start, NOUN 
super, ADJ 
conducting, NOUN 
coils, NOUN 
steady, ADJ 

, SPACE 
state, NOUN 
toroidal, NOUN 
magnetic, ADJ 
field, NOUN 
present, ADJ 
exists, VERB 
established, VERB 

, SPACE 
method, NOUN 
periodically, ADV 
conditioning, VERB 
surfaces, NOUN 
high, ADJ 
field, NOUN 

, SPACE 
reduce, VERB 
near, ADJ 
surface, NOUN 
hydrogenic, ADJ 
inventory, NOUN 
low, ADJ 
recycling, NOUN 

, SPACE 
plasma, NOUN 
operation, NOUN 
wall, NOUN 
conditioning, NOUN 

, SPACE 
procedures, NOUN 
considered, VERB 
zero, NUM 
magnetic, ADJ 
field, NOUN 

, SPACE 
wall, NOUN 
conditioning, NOUN 
high, ADJ 
magnetic, ADJ 
field, NOUN 
wall, NOUN 
conditioning, NOUN 

, SPACE 
periodic, ADJ 
shot, NOUN 
wall, NOUN 
conditioning, NOUN 

, SPACE 
ITER, VERB 
machine, NOUN 

, SPACE 
ITER, NOUN 
machine, NOUN 
aim, NOUN 
demonstrate, VERB 
controlled, VERB 
ignition, NOUN 

, SPACE 
nominal, ADJ 
fusion, NOUN 
power, NOUN 
1.5, NUM 
GWwith, PROPN 
D, PROPN 
T, NOUN 
fuel, NOUN 
mixture, NOUN 

, SPACE 
providing, VERB 
inductive, ADJ 
pulse, NOUN 
flat, ADJ 
capability, NOUN 
1000, NUM 
s, NOUN 

, SPACE 
steady, ADJ 
state, NOUN 
ultimate, ADJ 
goal, NOUN 
basic, ADJ 
device, NOUN 
par-, PROPN 

, SPACE 
ameters, NOUN 
major, ADJ 
radius, NOUN 
8.14, NUM 
m, PROPN 
minor, ADJ 
radius, NOUN 
2.8, NUM 
m., NOUN 

, SPACE 
plasma, NOUN 
current, NOUN 
21, NUM 
MA, PROPN 
toroidal, VERB 
magnetic, ADJ 
field, NOUN 
5.68, NUM 

, SPACE 
T, NOUN 
major, ADJ 
radius, NOUN 
plasma, NOUN 
single, ADJ 
null, NOUN 
divertor, NOUN 

, SPACE 
configuration, NOUN 
null, NOUN 
located, VERB 
Inside, ADP 

, SPACE 
vacuum, NOUN 
vessel, NOUN 
stainless, ADJ 
steel, NOUN 
316LN, PROPN 
divertor, NOUN 
cassettes, NOUN 
shield, NOUN 
blankets, NOUN 
installed, VERB 
wall, NOUN 
material, NOUN 
shield, NOUN 

, SPACE 
blanket, NOUN 
plasma, NOUN 
facing, VERB 
components, NOUN 
divertor, NOUN 

, SPACE 
cassettes, NOUN 
candidate, NOUN 
materials, NOUN 
Carbon, PROPN 
fiber, NOUN 
composite, NOUN 

, SPACE 
CFC, PROPN 
W., PROPN 
Material, PROPN 
selection, NOUN 
based, VERB 
material, NOUN 
R, PROPN 

, SPACE 
D, PROPN 
design, NOUN 
evacuate, VERB 
vacuum, NOUN 
vessel, NOUN 
16, NUM 
cryopumps, NOUN 

, SPACE 
located, VERB 
inside, ADJ 
divertor, NOUN 
pumping, VERB 
ports, NOUN 
burn, NOUN 
phase, NOUN 

, SPACE 
cryopumps, NOUN 
operation, NOUN 
mode, NOUN 
pumps, NOUN 

, SPACE 
regeneration, NOUN 
mode, NOUN 
regeneration, NOUN 
90, NUM 

, SPACE 
regenerated, VERB 
fuel, NOUN 
gases, NOUN 
H, PROPN 
D, PROPN 
T, PROPN 
directly, ADV 
fuelled, VERB 

, SPACE 
plasmas, NOUN 
recirculation, NOUN 
operation, NOUN 
mitigates, VERB 
tritium, NOUN 

, SPACE 
inventory, NOUN 
fuelling, NOUN 
system, NOUN 
consists, VERB 
gas, NOUN 
injection, NOUN 
pellet, NOUN 

, SPACE 
injection, NOUN 
gas, NOUN 
puffing, NOUN 
system, NOUN 
deliver, VERB 
hydrogenic, ADJ 

, SPACE 
H, PROPN 
D, PROPN 
T, PROPN 
gases, NOUN 
divertor, NOUN 
radiation, NOUN 
enhancement, NOUN 

, SPACE 
wall, PROPN 
conditioning, NOUN 
poloidal, ADJ 
elevations, NOUN 

, SPACE 
plasma, NOUN 
center, NOUN 
divertor, NOUN 

, SPACE 
Requirements, NOUN 
wall, NOUN 
conditioning, NOUN 
ITER, PROPN 

, SPACE 
Wall, PROPN 
conditioning, NOUN 
capability, NOUN 
1TER, NOUN 

, SPACE 
pumping, NOUN 
system, NOUN 
Wall, PROPN 
conditioning, NOUN 
gases, NOUN 
HZ, PROPN 
DL, PROPN 

, SPACE 
reactive, NOUN 
gases, NOUN 
wall, NOUN 
conditioning, NOUN 
pumping, VERB 
speed, NOUN 

, SPACE 
impurity, NOUN 
residence, NOUN 
times, NOUN 
torus, NOUN 
5, NUM 
10, NUM 
s, NOUN 
required, VERB 
order, NOUN 

, SPACE 
minimise, VERB 
impurity, NOUN 
implantation, NOUN 
discharge, NOUN 
Maximum, ADJ 

, SPACE 
operation, NOUN 
cleaning, NOUN 
cycle, NOUN 
required, VERB 
100, NUM 
h., NOUN 

, SPACE 
requirements, NOUN 
wall, NOUN 
conditioning, NOUN 
relate, NOUN 
vacuum, PROPN 
plasma, PROPN 

, SPACE 
operation, NOUN 
tritium, NOUN 
inventory, NOUN 
issues, NOUN 

, SPACE 
Vacuum, PROPN 
base, ADJ 
vacuum, NOUN 
pressure, NOUN 
IO, PROPN 
5, NUM 
Pa, PROPN 
hydro-, PROPN 

, SPACE 
gen, PROPN 
isotopes, NOUN 
lo-, X 
Pa, NOUN 
impurity, NOUN 
gases, NOUN 
bake-, PROPN 

, SPACE 
conditioning, NOUN 
bakeout, NOUN 
temperature, NOUN 
vessel, NOUN 
com-, NOUN 

, SPACE 
ponents, NOUN 
required, VERB 
200, NUM 
C., PROPN 
graphite, NOUN 
plasma, NOUN 

, SPACE 
facing, VERB 
components, NOUN 
widely, ADV 
baking, VERB 
higher, ADJ 
200, NUM 
C, NOUN 

, SPACE 
653, NUM 

, SPACE 
H, PROPN 
Nakamura, PROPN 
et, PROPN 
al, PROPN 
Wall, PROPN 
conditioning, NOUN 
ITER, NOUN 

, SPACE 
required, VERB 
effective, ADJ 
outgassing, NOUN 
Total, ADJ 
pumping, NOUN 
speed, NOUN 
pri-, NOUN 

, SPACE 
mary, PROPN 
cryopumps, NOUN 
200, NUM 
m3, PROPN 
SK, PROPN 
Projected, VERB 
surface, NOUN 
area, NOUN 

, SPACE 
components, NOUN 
exposed, VERB 
vacuum, VERB 
inside, ADP 
vacuum, NOUN 
vessel, NOUN 

, SPACE 
7200, NUM 
m2, PROPN 
Based, VERB 
values, NOUN 
total, ADJ 
outgassing, VERB 
rate, NOUN 

, SPACE 
4.2x, NUM 
lo-, NOUN 
Pam3s~‘m~, NOUN 
previous, ADJ 
toka-, ADJ 

, SPACE 
maks, NOUN 
e.g., ADV 
JT-60, PROPN 
JET, PROPN 
TFTR, PROPN 
DIII, PROPN 
D, PROPN 
total, ADJ 
outgassing, VERB 

, SPACE 
rate, NOUN 
range, NOUN 
4.3, NUM 
x, SYM 
IO-, NOUN 
3, NUM 
x, SYM 
IO-, PROPN 
Pam’s’mm, NOUN 

, SPACE 
required, VERB 
outgassing, VERB 
rate, NOUN 
ITER, PROPN 
value, NOUN 

, SPACE 
design, NOUN 
experience, NOUN 

, SPACE 
Plasma, PROPN 
operation, NOUN 
plasma, NOUN 
operation, NOUN 
wall, NOUN 
conditioning, NOUN 

, SPACE 
required, VERB 
impurity, NOUN 
removal, NOUN 
recycling, VERB 
control, NOUN 
hydrogenic, ADJ 

, SPACE 
gas, NOUN 
plasma, NOUN 
start, NOUN 
flat, ADJ 
discharge, NOUN 

, SPACE 
purpose, NOUN 
GDC, PROPN 
ECRDC, PROPN 
TDC, PROPN 
DDC, PROPN 
tokamak, PROPN 
shot, VERB 
thin, ADJ 

, SPACE 
film, NOUN 
coating, NOUN 
e.g., ADV 
Li, PROPN 
B, PROPN 
C, PROPN 
Si, PROPN 
present, ADJ 
tokamak, NOUN 

, SPACE 
experiments, NOUN 
Recent, ADJ 
experiments, NOUN 
low, ADJ 
recycling, NOUN 
con-, VERB 

, SPACE 
ditions, NOUN 
particle, NOUN 
replacement, NOUN 
time, NOUN 
seconds, NOUN 
necess-, VERB 

, SPACE 
ary, ADJ 
realise, VERB 
good, ADJ 
plasma, NOUN 
confinement, NOUN 
Based, VERB 
results, NOUN 

, SPACE 
low, ADJ 
recycling, NOUN 
conditions, NOUN 
required, VERB 
ITER, NOUN 
obtain, VERB 

, SPACE 
good, ADJ 
plasma, NOUN 
confinement, NOUN 
ITER, PROPN 
start, NOUN 
super-, NOUN 

, SPACE 
conducting, NOUN 
coils, NOUN 
steady, ADJ 
state, NOUN 
magnetic, ADJ 
field, NOUN 
produced, VERB 

, SPACE 
Change, PROPN 
toroidal, ADJ 
magnetic, ADJ 
field, NOUN 
5.7, NUM 
T, NOUN 
zero, NUM 
needs, VERB 

, SPACE 
2, NUM 
h., NOUN 
change, NOUN 
induce, VERB 
mechanical, ADJ 
stress, NOUN 

, SPACE 
superconducting, VERB 
coils, NOUN 
development, NOUN 
wall, NOUN 
con-, X 

, SPACE 
ditioning, VERB 
method, NOUN 
high, ADJ 
magnetic, ADJ 
field, NOUN 
required, VERB 
especially, ADV 

, SPACE 
shot, NOUN 
wall, NOUN 
conditioning, NOUN 
wall, NOUN 
conditioning, NOUN 

, SPACE 
thin, ADJ 
film, NOUN 
coating, NOUN 
helium, NOUN 
gas, NOUN 
preferred, VERB 
wall, PROPN 
con-, X 

, SPACE 
ditioning, VERB 
deuterium, NOUN 
gas, NOUN 
increases, VERB 
deuterium, NOUN 
outgassing, VERB 

, SPACE 
wail, NOUN 
plasma, NOUN 
start, VERB 
phase, NOUN 
Recently, ADV 
reduction, NOUN 

, SPACE 
wall, NOUN 
particle, NOUN 
inventory, NOUN 
active, ADJ 
divertor, NOUN 
pumping, NOUN 

, SPACE 
reported, VERB 
DIII, PROPN 
D.14, PROPN 
effect, NOUN 
mitigate, VERB 
requirements, NOUN 

, SPACE 
wall, PROPN 
conditioning, NOUN 
method, NOUN 

, SPACE 
Tritium, PROPN 
inventory, NOUN 
plasma, NOUN 
operation, NOUN 
tritium, NOUN 

, SPACE 
fuel, NOUN 
implanted, VERB 
retained, VERB 
plasma, NOUN 
facing, VERB 
components, NOUN 

, SPACE 
According, VERB 
experimental, ADJ 
results, NOUN 
present, ADJ 
tokamak, NOUN 
machines, NOUN 

, SPACE 
co, NOUN 
deposition, NOUN 
main, ADJ 
mechanism, NOUN 
tritium, NOUN 
retention, NOUN 

, SPACE 
tokamak, NOUN 
machines, NOUN 
graphite, NOUN 
divertor, NOUN 
plates, NOUN 
e.g., ADV 
JET, NOUN 

, SPACE 
JT-60U, NUM 
co, NOUN 
deposition, ADJ 
layers, NOUN 
100, NUM 
micron, NOUN 
thickness, NOUN 

, SPACE 
observed, VERB 
According, VERB 
tritium, NOUN 
retention, NOUN 
analysis, NOUN 
CFC, PROPN 

, SPACE 
divertor, NOUN 
plate, NOUN 
ITER, PROPN 
tritium, NOUN 
inventory, NOUN 
calculated, VERB 

, SPACE 
hundreds, NOUN 
grams, NOUN 
1000, NUM 
shots, NOUN 
1000, NUM 
s, PART 
pulse.15, NOUN 

, SPACE 
maximum, ADJ 
value, NOUN 
tritium, NOUN 
inventory, NOUN 
wall, NOUN 

, SPACE 
conditioning, NOUN 
effect, NOUN 
included, VERB 
especially, ADV 

, SPACE 
case, NOUN 
CFC, PROPN 
material, NOUN 
effective, ADJ 
reduction, NOUN 
tritium, NOUN 
inventory, NOUN 

, SPACE 
codeposition, NOUN 
layer, NOUN 
required, VERB 

, SPACE 
Wall, PROPN 
conditioning, NOUN 
ITER, PROPN 

, SPACE 
Based, VERB 
existing, VERB 
results, NOUN 
laboratories, NOUN 
tokamaks, NOUN 
base-, NOUN 

, SPACE 
line, NOUN 
methods, NOUN 
wall, NOUN 
conditioning, NOUN 
ITER, NOUN 
glow, ADJ 
discharge, NOUN 

, SPACE 
cleaning, NOUN 
GDC, PROPN 
zero, NUM 
magnetic, ADJ 
field, NOUN 
electron, NOUN 
cyclotron, NOUN 

, SPACE 
resonance, NOUN 
discharge, NOUN 
cleaning, VERB 
ECRDC, PROPN 
divertor, VERB 
active, ADJ 

, SPACE 
pumping, VERB 
high, ADJ 
magnetic, ADJ 
field, NOUN 
addition, NOUN 
methods, NOUN 

, SPACE 
alternative, ADJ 
methods, NOUN 
include, VERB 
Taylor, PROPN 
type, NOUN 
discharge, NOUN 
cleaning, VERB 

, SPACE 
TDC, PROPN 
disruptive, ADJ 
shot, NOUN 
discharge, NOUN 
cleaning, NOUN 
DDC, PROPN 
tokamak, PROPN 
shot, VERB 

, SPACE 
discharge, NOUN 
cleaning, NOUN 
thin, ADJ 
film, NOUN 
coating, NOUN 
reactive, ADJ 
gas, NOUN 

, SPACE 
ECRDC, PROPN 
effective, ADJ 
wall, NOUN 
conditioning, NOUN 

, SPACE 
shot, NOUN 
Recently, ADV 
ion, NOUN 
cyclotron, NOUN 
resonance, NOUN 
discharge, NOUN 

, SPACE 
cleaning, NOUN 
ICRDC, PROPN 
proposed, VERB 
shot, NOUN 
discharge, NOUN 

, SPACE 
conditioning.16, NOUN 
obtain, VERB 
optimum, ADJ 
conditions, NOUN 
ITER, PROPN 
wall, NOUN 

, SPACE 
654, NUM 
conditioning, NOUN 
technology, NOUN 
physics, NOUN 
R, PROPN 
D, PROPN 
required, VERB 
Pre-, X 

, SPACE 
liminary, ADJ 
assessments, NOUN 
methods, NOUN 
follows, VERB 

, SPACE 
Baseline, PROPN 
methods, NOUN 
1, X 
Baking, NOUN 
Baking, NOUN 
vacuum, NOUN 

, SPACE 
vessel, NOUN 
heating, NOUN 
system, NOUN 
pressurised, VERB 
hot, ADJ 
water, NOUN 
Maximum, PROPN 

, SPACE 
baking, VERB 
temperature, NOUN 
limited, VERB 
200, NUM 
C, NOUN 
mech-, PROPN 

, SPACE 
anical, ADJ 
stress, NOUN 
resulting, VERB 
pressurised, ADJ 
water, NOUN 

, SPACE 
2, NUM 
MPa, NOUN 
case, NOUN 
divertor, NOUN 
cassettes, NOUN 
baking, VERB 

, SPACE 
higher, ADJ 
temperatures, NOUN 
350, NUM 
C, PROPN 
planned, VERB 
graphite, NOUN 
materials, NOUN 

, SPACE 
widely, ADV 
assembled, ADJ 
torus, NOUN 
system, NOUN 
baked, VERB 
200, NUM 

, SPACE 
C, NOUN 
100, NUM 
h, NOUN 
maximum, ADJ 
impurity, NOUN 
partial, ADJ 
pressures, NOUN 
drop, VERB 

, SPACE 
<, X 
10m3, NUM 
Pa., PROPN 
surfaces, NOUN 
maintained, VERB 
2, NUM 
150, NUM 
C, NOUN 

, SPACE 
plasma, NOUN 
shots, NOUN 
minimise, VERB 
impurity, NOUN 
absorption, NOUN 
H, NOUN 
trapping, NOUN 

, SPACE 
2, X 
GDC, PROPN 
GDC, PROPN 
widely, ADV 
existing, VERB 
tokamaks.5,h, NOUN 

, SPACE 
GDC, PROPN 
high, ADJ 
magnetic, ADJ 
field, NOUN 
difficult, ADJ 
GDC, PROPN 

, SPACE 
initial, ADJ 
machine, NOUN 
commissioning, VERB 
phase, NOUN 
prior, ADV 

, SPACE 
plasma, NOUN 
GDC, PROPN 
system, NOUN 
designed, VERB 
H2,Dz, PROPN 

, SPACE 
reactive, NOUN 
gases, NOUN 
GDC, PROPN 
anodes, NOUN 
attached, VERB 
vacuum, NOUN 
vessel, NOUN 

, SPACE 
fixed, VERB 
movable, ADJ 
type, NOUN 
probes, NOUN 
considered, VERB 

, SPACE 
anodes, NOUN 
installed, VERB 
location, NOUN 
deter-, X 

, SPACE 
mined, VERB 
GDC, PROPN 
current, ADJ 
density, NOUN 
existing, VERB 
machines, NOUN 

, SPACE 
10, NUM 
PA, PROPN 
cm-, PROPN 
total, ADJ 
current, NOUN 
100, NUM 
assuming, NOUN 

, SPACE 
wall, PROPN 
surface, PROPN 
area, NOUN 
1000, NUM 
m, NUM 
GDC, PROPN 
anode, NOUN 
designed, VERB 

, SPACE 
20, NUM 
discharge, NOUN 
current, NOUN 
Maximum, ADJ 
operation, NOUN 
cleaning, NOUN 

, SPACE 
cycle, NOUN 
designed, VERB 
100, NUM 
h., PROPN 
GDC, PROPN 
begin, VERB 
gently, ADV 
keeping, VERB 

, SPACE 
impurity, NOUN 
partial, ADJ 
pressures, NOUN 
5, NUM 
10, NUM 
j, NOUN 
Pa, PROPN 
increase, VERB 
surface, NOUN 

, SPACE 
flux, NOUN 
lOI4, ADV 
cmmZss, PROPN 
rapid, ADJ 
conditioning, NOUN 

, SPACE 
3, X 
ECRDC, PROPN 
ECR, PROPN 
discharge, NOUN 
cleaning, NOUN 
established, VERB 
method, NOUN 

, SPACE 
existing, VERB 
tokamaks, NOUN 
high, ADJ 
magnetic, ADJ 
field, NOUN 
ITER, PROPN 

, SPACE 
existing, VERB 
ECRH, PROPN 
system, NOUN 
Multi, ADJ 
gyrotron, NOUN 
sources, NOUN 

, SPACE 
different, ADJ 
frequency, NOUN 
90, NUM 
130, NUM 
170, NUM 
GHz, NOUN 
prepared, VERB 

, SPACE 
plasma, NOUN 
start, NOUN 
heating, NOUN 
current, ADJ 
drive, NOUN 
Figure, NOUN 
shows, VERB 

, SPACE 
resonance, NOUN 
position, NOUN 
vs, ADP 
toroidal, ADJ 
magnetic, ADJ 
field, NOUN 
ECR, PROPN 
frequency, NOUN 

, SPACE 
BT, PROPN 
=, NUM 
5.7, NUM 
T, NOUN 
plasma, NOUN 
center, NOUN 
R, NOUN 
=, NOUN 
8.1, NUM 
m, NOUN 
resonance, NOUN 

, SPACE 
position, NOUN 
R, NOUN 
=, NOUN 
10, NUM 
m, NOUN 
R, PROPN 
=, NOUN 
7, NUM 
m, AUX 
130, NUM 
GHz, NOUN 

, SPACE 
I70, PROPN 
GHz, NOUN 
case, NOUN 
resonance, NOUN 
location, NOUN 
located, VERB 

, SPACE 
inner, ADJ 
region, NOUN 
vacuum, NOUN 
vessel, NOUN 
BT, PROPN 
=, SYM 
4.0, NUM 
T, NOUN 

, SPACE 
plasma, NOUN 
center, NOUN 
R, NOUN 
=, NOUN 
8.1, NUM 
m, NOUN 
resonance, NOUN 
position, NOUN 

, SPACE 
R, NOUN 
=, NOUN 
10.5, NUM 
m., NOUN 
R, NOUN 
=, NOUN 
7, NUM 
m, NOUN 
R, PROPN 
=, SYM 
5, NUM 
m, AUX 
90, NUM 
GHz, NOUN 
130, NUM 
GHz, NOUN 

, SPACE 
170, NUM 
GHz, NOUN 
case, NOUN 
resonance, NOUN 
location, NOUN 
moved, VERB 

, SPACE 
discretely, ADV 
region, NOUN 
sweep, VERB 
resonance, NOUN 

, SPACE 
location, NOUN 
outer, ADJ 
region, NOUN 
R, NOUN 
=, NOUN 
1, NUM 
m, VERB 
inner, ADJ 
region, NOUN 

, SPACE 
R, NOUN 
=, SYM 
5, NUM 
m, ADV 
efficient, ADJ 
wall, NOUN 
conditioning, NOUN 
toroidal, NOUN 
magnetic, ADJ 

, SPACE 
12, NUM 

, SPACE 
GHz, NOUN 

, SPACE 
GHz, NOUN 

, SPACE 
GHz, NOUN 

, SPACE 
GHz, NOUN 

, SPACE 
GHz, NOUN 

, SPACE 
4, NUM 
6, NUM 
10, NUM 
12, NUM 

, SPACE 
H.NBLlm”R, PROPN 
Feb.21.1995, PROPN 

, SPACE 
Figure, PROPN 
1, NUM 
Resonance, NOUN 
position, NOUN 
vs, ADP 
toroidal, ADJ 
magnetic, ADJ 
field, NOUN 
ECR, PROPN 

, SPACE 
frequency, NOUN 

, SPACE 
H, PROPN 
Nakamura, PROPN 
et, PROPN 
al, PROPN 
Wall, PROPN 
conditioning, NOUN 
ITER, PROPN 

, SPACE 
field, NOUN 
need, VERB 
changed, VERB 
slowly, ADV 
BT, PROPN 
=, SYM 
5.7, NUM 
T, NOUN 
BT, PROPN 
=, SYM 
4, NUM 

, SPACE 
T, NOUN 
different, ADJ 
frequencies, NOUN 
90, NUM 
GHz, NOUN 
130, NUM 
GHz, NOUN 
170, NUM 

, SPACE 
GHz, NOUN 
sweeping, NOUN 
toroidal, ADJ 
magnetic, ADJ 
field, NOUN 
5.7, NUM 
T, NOUN 
+, CCONJ 
4, NUM 

, SPACE 
T, NOUN 
+, CCONJ 
5.7, NUM 
T, NOUN 
4300, NUM 
s, PART 
required, VERB 
interval, NOUN 
time, NOUN 

, SPACE 
shots, NOUN 
2200, NUM 
s, NOUN 
reference, NOUN 
operation, NOUN 
sweeping, ADJ 

, SPACE 
operation, NOUN 
need, VERB 
increase, NOUN 
interval, NOUN 
time, NOUN 
Based, VERB 

, SPACE 
previous, ADJ 
work, NOUN 
Sakamoto, PROPN 
dominant, ADJ 
power, NOUN 
loss, NOUN 
pro-, VERB 

, SPACE 
cess, ADJ 
ECRDC, PROPN 
molecular, ADJ 
dissociation, NOUN 
TEX-, NUM 

, SPACE 
TOR, PROPN 
tokamak, NOUN 
power, NOUN 
loss, NOUN 
estimated, VERB 
1.7, NUM 
kW., PROPN 

, SPACE 
Assuming, VERB 
ECRDC, NOUN 
plasma, NOUN 
parameters, NOUN 
ITER, NOUN 

, SPACE 
TEXTOR, PROPN 
ECRDC, PROPN 
power, NOUN 
proportion, NOUN 
plasma, NOUN 
volume, NOUN 

, SPACE 
required, VERB 
power, NOUN 
MW, VERB 
plasma, NOUN 
volumes, NOUN 

, SPACE 
2.2, NUM 
m, NOUN 
TEXTOR, NOUN 
1000, NUM 
m, NOUN 
ITER, PROPN 
effect, NOUN 

, SPACE 
ECRDC, PROPN 
helium, NOUN 
gas, NOUN 
shot, NOUN 
wall, NOUN 
conditioning, NOUN 

, SPACE 
needs, VERB 
evaluation, NOUN 
obtain, VERB 
optimum, ADJ 
operation, NOUN 
con-, AUX 

, SPACE 
ditions, NOUN 
efficient, ADJ 
wall, NOUN 
conditioning, NOUN 
technology, NOUN 
R, PROPN 
D, PROPN 

, SPACE 
required, VERB 
physics, NOUN 
R, PROPN 
D, PROPN 
tokamak, ADJ 
machines, NOUN 
e.g., ADV 

, SPACE 
TEXTOR, NOUN 
Alcator, NOUN 
C, PROPN 
Mod, PROPN 
devices, NOUN 

, SPACE 
4, X 
Divertor, NOUN 
pumping, VERB 
plasma, NOUN 
operation, NOUN 
present, ADJ 

, SPACE 
divertor, NOUN 
pumping, VERB 
200, NUM 
mi, NUM 
5, NUM 
l, NOUN 
total, ADJ 
pumping, NOUN 
speed, NOUN 

, SPACE 
significant, ADJ 
effect, NOUN 
reduction, NOUN 
hydrogenic, ADJ 
species, NOUN 
reten-, X 

, SPACE 
tion, NOUN 
wall, NOUN 
plasma, NOUN 
exhaust, NOUN 
designed, VERB 
neutral, ADJ 

, SPACE 
pressure, NOUN 
0.1, NUM 
Pa, PROPN 
IO, PROPN 
pa, NOUN 
inlet, NOUN 
pumping, NOUN 
duct, NOUN 

, SPACE 
DT, PROPN 
burn, VERB 
total, ADJ 
exhaust, NOUN 
rate, NOUN 
50, NUM 
pam, NOUN 
s, NOUN 

, SPACE 
200, NUM 
pam, NOUN 
s, NOUN 
IO, PROPN 
particles, NOUN 
qualitative, ADJ 
evaluation, NOUN 

, SPACE 
reduction, NOUN 
tritium, NOUN 
