ELSEVIER, PROPN 
particularly, ADV 
cover, VERB 
chemistry, NOUN 
low, ADJ 
oxidation, NOUN 
state, NOUN 

, SPACE 
transition, NOUN 
metal, NOUN 
complexes, NOUN 
2,3, NUM 
N, PROPN 
heterocyclic, NOUN 

, SPACE 
carbene, NOUN 
L, PROPN 
~, PUNCT 
1.3, NUM 
dimethylimidazoline-2, PROPN 
ylidet, PROPN 
e, PROPN 
1, X 

, SPACE 
reveal, VERB 
universal, ADJ 
ligand, NOUN 
properties, NOUN 
metal, NOUN 

, SPACE 
coordination, NOUN 
chemistt~, PROPN 
o~4, NUM 
addition, NOUN 
pronounced, VERB 

, SPACE 
tr, VERB 
donor, NOUN 
properties, NOUN 
example, NOUN 
seen, VERB 
complex, ADJ 

, SPACE 
CIBeLa]C, NOUN 
5, X 
ligand, NOUN 
normally, ADV 
stable, ADJ 

, SPACE 
oxidation, NOUN 
coordinated, VERB 
oxometal, ADJ 
complexes, NOUN 
6, NUM 

, SPACE 
extend, VERB 
chemistry, NOUN 
oxomolybdenum, PROPN 
oxo-, NOUN 

, SPACE 
tungsten, VERB 
complexes, NOUN 
known, VERB 
excellent, ADJ 

, SPACE 
epoxidation, NOUN 
catalysts, NOUN 
report, VERB 
synthesis, NOUN 

, SPACE 
stable, ADJ 
molybdenum(Vl, NOUN 
tungsten(Vl, PROPN 
car-, VERB 

, SPACE 
bene, NOUN 
derivatives, NOUN 

, SPACE 
2, X 
Results, NOUN 
discussion, NOUN 

, SPACE 
MoO2Cl2(thf, PROPN 
2, NUM 
2a, NUM 
WO2Cl2(thf, X 
2, NUM 
2b, PROPN 

, SPACE 
formed, VERB 
intermediates, NOUN 
dissolving, VERB 
MoO2CI, PROPN 
2, NUM 

, SPACE 
Corresponding, PROPN 
author, NOUN 

, SPACE 
t, PROPN 
Heterocyclic, PROPN 
carbenes, NOUN 
6, NUM 
memoriam, PROPN 
Professor, PROPN 
Takaya, PROPN 

, SPACE 
died, VERB 
October, PROPN 
1995, NUM 
Vth, PROPN 
Kbnigstein, PROPN 
Kreuth, PROPN 
Con-, PROPN 

, SPACE 
f, X 
~, NOUN 
rence, NOUN 
Organometallic, PROPN 
Chemistry, PROPN 
Preceding, VERB 
communication, NOUN 

, SPACE 
series, NOUN 
Ref, PROPN 
l, X 

, SPACE 
Elsevier, ADJ 
Science, PROPN 
S.A., PROPN 

, SPACE 
Pll, PROPN 
S0022, PROPN 
328X(96)06296-, PROPN 
MoO2Cl2(dmf, PROPN 
2, NUM 
WO2Cl, PROPN 
2, NUM 
thf, NOUN 
-20, NUM 
°, NUM 
C, NOUN 

, SPACE 
new, ADJ 
carbene, NOUN 
adducts, NOUN 
3a, PROPN 
4b, PROPN 
prepared, VERB 

, SPACE 
adding, VERB 
equivalents, NOUN 
free, ADJ 
carbene, NOUN 
dissolved, VERB 

, SPACE 
thf, PROPN 
-20, NUM 
°, NUM 
C, NOUN 
thf, VERB 
solutions, NOUN 
2a, PROPN 
2b, NUM 
respec-, NOUN 

, SPACE 
tively, ADV 

, SPACE 
stirring, VERB 
2, NUM 
h, NOUN 
purple, ADJ 
molybdenum, PROPN 
3a, PROPN 

, SPACE 
green, ADJ 
tungsten, VERB 
4b, PROPN 
solids, NOUN 
precipitate, NOUN 
Scheme, PROPN 

, SPACE 
proposed, VERB 
structures, NOUN 
3a, PROPN 
4b, PROPN 
shown, VERB 
Fig, PROPN 

, SPACE 
tire, VERB 
accord, NOUN 
analytical, ADJ 
data, NOUN 
derived, VERB 

, SPACE 
NMR, PROPN 
IR, PROPN 
elemental, ADJ 
analysis, NOUN 
mass, NOUN 
spectroscopy, NOUN 

, SPACE 
tH, X 
especially, ADV 
~C, PUNCT 
NMR, PROPN 
spectra, NOUN 
prove, VERB 

, SPACE 
complexation, NOUN 
ligand, NOUN 
l, NOUN 
metal, NOUN 
center, NOUN 

, SPACE 
molybdenum, NOUN 
tungsten, VERB 
derivatives, NOUN 

, SPACE 
signal, NOUN 
carbene, NOUN 
C, PROPN 
nucleus, NOUN 
shifted, VERB 
40, NUM 
ppm, NOUN 

, SPACE 
higher, ADJ 
field, NOUN 
complexation, NOUN 
ligand, NOUN 

, SPACE 
metal, NOUN 
8, NUM 
-177, NOUN 
ppm, NOUN 
3a, PROPN 
3b, NUM 
187, NUM 
ppm, ADJ 
4b, PROPN 

, SPACE 
compared, VERB 
8, NUM 
215, NUM 
ppm, NOUN 
free, PROPN 
ligand, NOUN 
I., PROPN 

, SPACE 
signal, NOUN 
groups, NOUN 
carbene, PROPN 
ligano, PROPN 
observed, VERB 

, SPACE 
3a, PROPN 
contrast, NOUN 
3a, PROPN 
signal, NOUN 
group, NOUN 

, SPACE 
carbene, NOUN 
ligand, NOUN 
detected, VERB 
4b, PROPN 

, SPACE 
different, ADJ 
signal, NOUN 
groups, NOUN 
found, VERB 

, SPACE 
molybdenum, ADJ 
complex, ADJ 
Mo(CO)3L3, NOUN 
car-, NOUN 

, SPACE 
bene, ADJ 
ligands, NOUN 
chemically, ADV 
equivalent, ADJ 
Interestingly, ADV 

, SPACE 
t3C, ADJ 
NMR, PROPN 
carbene, NOUN 
C, NOUN 
signals, NOUN 
3a, PROPN 
3b, PROPN 
4b, PROPN 

, SPACE 
shifted, VERB 
lower, ADJ 
field, NOUN 
comparison, NOUN 
known, VERB 
low-, NUM 

, SPACE 
oxidation, NOUN 
state, NOUN 
complexes, NOUN 
190, NUM 
210, NUM 
ppm, NOUN 
7, X 

, SPACE 
observation, NOUN 
accord, NOUN 
chemical, ADJ 
shift, NOUN 

, SPACE 
rhenium(Vll)-'carbene, ADJ 
complex, ADJ 
CH3ReOaL2, NOUN 

, SPACE 
8C(carbene, NUM 
=, VERB 
1, NUM 
6.1, NUM 
ppm, ADJ 
CDCI3, PROPN 
20, NUM 
°, NUM 
C, NOUN 
Elemental, NOUN 

, SPACE 
analyses, NOUN 
NMR, PROPN 
data, NOUN 
Table, PROPN 
l, NOUN 
isolated, ADJ 

, SPACE 
complexes, NOUN 
3a, PROPN 
4b, PROPN 
prove, VERB 
3a, PROPN 
represents, VERB 
triscarbene, ADJ 


, SPACE 
232, NUM 
W.A., PROPN 
Herrmann, PROPN 
et, PROPN 
aL, PROPN 
Journal, PROPN 
Organometallic, PROPN 
Chemistry, PROPN 
520, NUM 
1996, NUM 
231, NUM 
234, NUM 

, SPACE 
o, VERB 

, SPACE 
N, NUM 
N~, PROPN 
c, PROPN 
~I.0, PUNCT 
cr, PROPN 

, SPACE 
C.c, PROPN 
c, NOUN 
N, PROPN 

, SPACE 
L\I/, PROPN 
 , SPACE 
l, NOUN 

, SPACE 
2b, NOUN 
M, NOUN 
W, PROPN 
3a, PROPN 
~b, PUNCT 

, SPACE 
O, INTJ 

, SPACE 
c=, PROPN 
ll1_o, X 

, SPACE 
/N, PUNCT 
~, PUNCT 
c/?~'CI, X 

, SPACE 
4b, PROPN 

, SPACE 
Scheme, PROPN 
I., PROPN 
Synthesis, PROPN 
carbene, NOUN 
adducts, VERB 
3a, PROPN 
4b, PROPN 
L, NOUN 
=, SYM 
1.3-, NUM 

, SPACE 
dimethylimidazolin-2, X 
ylidene, NOUN 

, SPACE 
N/, PROPN 

, SPACE 
o, NOUN 

, SPACE 
.N, PROPN 
C~, PROPN 
II, PROPN 
~0, NOUN 
~/, NOUN 

, SPACE 
N-.C~, VERB 
~¢1, NUM 

, SPACE 
~"N, PUNCT 
~, PUNCT 
N, PROPN 
O, NOUN 
~, NOUN 
N, PROPN 
cr, PROPN 
0, PROPN 

, SPACE 
Cl, PROPN 
~lwl, NUM 
~, PUNCT 
O, INTJ 

, SPACE 
-.c, PROPN 

, SPACE 
~a, PUNCT 
4b, PROPN 

, SPACE 
Fig, PROPN 
Proposed, VERB 
~tructure~, NOUN 
carbene'.complexes, NOUN 
3a, PROPN 
4b, PROPN 
o, NOUN 
rc, NOUN 
1, NUM 
cr, PROPN 
c,\, PROPN 
il, PROPN 
:o, PROPN 
x, SYM 
Me--, PROPN 
HCl, PROPN 
~0, NOUN 
=, PROPN 
el, PROPN 
=, PROPN 
c, PROPN 

, SPACE 
3a, PROPN 
4a, PROPN 
5a, NUM 

, SPACE 
Scheme, PROPN 
2, NUM 
Protonation, NOUN 
decomposition, NOUN 
3a, PROPN 
--1,3-, NOUN 

, SPACE 
dimethylimidazolin-2, X 
ylidene, NOUN 
hydrolysis, NOUN 
intermediate, ADJ 

, SPACE 
$, SYM 
leads, NOUN 
molybdate(IV, PROPN 

, SPACE 
resulting, VERB 
cationic, ADJ 
complex, NOUN 
rare, ADJ 
feature, NOUN 

, SPACE 
molybdenum(Vl, NOUN 
species, NOUN 
8, NUM 
electroneutral, ADJ 
tung-, NOUN 

, SPACE 
sten, VERB 
complex, ADJ 
4a, PROPN 
carbene, NOUN 
ligands, NOUN 

, SPACE 
plane, NOUN 
cis, NOUN 
dioxotungsten, ADJ 
core, NOUN 

, SPACE 
Decomposition, PROPN 
3a, PROPN 
followed, VERB 
13C, NUM 
NMR, PROPN 

, SPACE 
spectroscopy, NOUN 
additional, ADJ 
different, ADJ 
signal, NOUN 
group, NOUN 

, SPACE 
detected, VERB 
8, NUM 
=, SYM 
177.0, NUM 
123.2, NUM 
36.4, NUM 
ppm, NOUN 
1, NUM 
h, NOUN 

, SPACE 
ordinary, ADJ 
CDCI, PROPN 
3, NUM 
DMSO, PROPN 
d, PROPN 
6, NUM 
proving, VERB 
presence, NOUN 

, SPACE 
complex, ADJ 
MoO2CIaL, VERB 
2, NUM 
3b, NUM 
decomposes, VERB 

, SPACE 
treatment, NOUN 
acidic, ADJ 
solvent, ADJ 
CDCI, PROPN 
3, NUM 

, SPACE 
imidazolium, NOUN 
salt, NOUN 
seen, VERB 
NMR, PROPN 
spectra, NOUN 
Table, NOUN 
1, NUM 

, SPACE 
initial, ADJ 
step, NOUN 
degradation, NOUN 
reaction, NOUN 
proto-, NOUN 

, SPACE 
nation, NOUN 
oxygen, NOUN 
atom, NOUN 
3a, PROPN 
enhancing, VERB 
Lewis, PROPN 

, SPACE 
acidity, NOUN 
metal, NOUN 
center, NOUN 
easily, ADV 
attacked, VERB 

, SPACE 
water, NOUN 
Scheme, NOUN 
2, NUM 
protonation, NOUN 
rapid, ADJ 
hydroly-, NOUN 

, SPACE 
sis, NOUN 
takes, VERB 
place, NOUN 
yield, VERB 
molybdate(Vl, PROPN 

, SPACE 
3, X 
Conclusion, NOUN 

, SPACE 
complex, ADJ 
4b, PROPN 
exhibits, VERB 
ligands, NOUN 

, SPACE 
case, NOUN 
tungsten, VERB 
complex, NOUN 
4b, PROPN 
elemental, ADJ 

, SPACE 
analysis, NOUN 
indicates, VERB 
impurities, NOUN 
oxotungsten, ADJ 
species, NOUN 

, SPACE 
IR, PROPN 
spectra, NOUN 
stretching, NOUN 
bands, NOUN 
cis.di-, PROPN 

, SPACE 
oxomolybdenum, NOUN 
cis, NOUN 
dioxotungsten, ADJ 
fragment, NOUN 

, SPACE 
arc, PROPN 
found, VERB 
absorptions, NOUN 
910, NUM 
cm, NOUN 

, SPACE 
3a, PROPN 
940, NUM 
cm, NOUN 
°, NUM 
m, NOUN 
4, NUM 
characteristic, ADJ 
absorp-, X 

, SPACE 
tions, NOUN 
carbene, NOUN 
ligand, NOUN 
present, ADJ 
Complex, PROPN 
3a, PROPN 

, SPACE 
exhibit, VERB 
equivalent, ADJ 
carbene, NOUN 
ligands, NOUN 

, SPACE 
plane, NOUN 
cis, NOUN 
dioxygen, PROPN 
molybdenum, NOUN 
core, NOUN 

, SPACE 
carbene, NOUN 
ligand, NOUN 
located, VERB 
trans, NOUN 
chloro, PROPN 
ligand, NOUN 
results, NOUN 
N, PROPN 
heterocyclic, PROPN 
carl, PROPN 
~, PROPN 
ne, PROPN 
1, NUM 

, SPACE 
flexible, ADJ 
electronic, ADJ 
structure, NOUN 
tolerates, VERB 

, SPACE 
strongly, ADV 
Lewis, PROPN 
acidic, ADJ 
metals, NOUN 
high, ADJ 
oxidation, NOUN 

, SPACE 
states, NOUN 
hydrolysis, NOUN 
prevalent, ADJ 
feature, NOUN 

, SPACE 
catalytic, ADJ 
applications, NOUN 
presence, NOUN 
water, NOUN 
e.g., ADV 

, SPACE 
olefin, ADJ 
epoxidation, NOUN 
H20, PROPN 
2, NUM 
outside, ADP 
scope, NOUN 

, SPACE 
application, NOUN 
9, NUM 
comparison, NOUN 
known, VERB 
dioxometal, NOUN 

, SPACE 
halides, NOUN 
containing, VERB 
u, ADJ 
donor, NOUN 
molecules, NOUN 
shows, VERB 

, SPACE 
cationic, ADJ 
molybdenyl, NOUN 
complexes, NOUN 
type, NOUN 
MoO2CIL~, X 
+, CCONJ 

, SPACE 
CI-, NOUN 
known, VERB 
ligands, NOUN 
present, ADJ 

, SPACE 
heterocyclic, ADJ 
carbene, NOUN 
electroneutral, ADJ 
derivatives, NOUN 

, SPACE 
Table, NOUN 

, SPACE 
NMR, PROPN 
data, NOUN 
carbene, NOUN 
complexes, NOUN 
3a, PROPN 
4b, NOUN 
20, NUM 
°, NUM 
C, NOUN 

, SPACE 
Compound, PROPN 
H(~, ADJ 
ppm, PROPN 
CDCId, PROPN 

, SPACE 
N, PROPN 
CHo~, PROPN 
C, PROPN 
=, NOUN 
CH, PROPN 
N, PROPN 
q, PROPN 
~, PROPN 
C(~, PROPN 
ppm, PROPN 
CEK, PROPN 
~, X 
I~, PROPN 

, SPACE 
N, PROPN 
CH, PROPN 
5, NUM 
C=, NOUN 
CH, PROPN 
N, PROPN 
Carbcne, PROPN 
C, PROPN 

, SPACE 
3a, PROPN 
4,23, PROPN 
4,03, NUM 
7,42, NUM 
6,96, NOUN 
36,5, NUM 
39,9, NOUN 

, SPACE 
4b, PROPN 
4,23, PROPN 
6,99, NUM 
40,2, NUM 

, SPACE 
Oecompos, PROPN 
3.58, NUM 
6.8~, NUM 
35.3, NUM 

, SPACE 
Mo(CO)~(L)~, PROPN 
3A8, NUM 
3.50, NUM 
6.93, NUM 
6.95, NUM 
m, NOUN 

, SPACE 
3,57, NUM 
6.%, NUM 

, SPACE 
CH.~ReO~(L)~, PROPN 
3.52, NUM 
6,90, NUM 
37, NUM 

, SPACE 
carbene, NOUN 
signals, VERB 
H, NOUN 
NMR, PROPN 
singlets, NOUN 
L, NOUN 
heterocyclic, PROPN 
carbene, PROPN 
I., PROPN 
123,0, PROPN 
123.2, NUM 
177.2, NUM 
177.7, NUM 

, SPACE 
123,5, NOUN 
187.7, NUM 

, SPACE 
121,9, PROPN 
134.7, NUM 

, SPACE 
122.7, NUM 
176, NUM 


, SPACE 
W.A., PROPN 
Herrmann, PROPN 
et, PROPN 
aL, PROPN 
Journal, PROPN 
Organometallic, PROPN 
Chemistry, PROPN 
520, NUM 
1996, NUM 
231, NUM 
234, NUM 
233, NUM 

, SPACE 
MoO2CI2L, PROPN 
2, NUM 
L, PROPN 
=, NOUN 
dmf, PROPN 
OPPh, PROPN 
3, NUM 
OAsPh, NOUN 
3, NUM 
pyridioe, NOUN 
H, PROPN 
CC, PROPN 
H, PROPN 
=, VERB 
3200, NUM 
3100(s, NUM 
v(C, NOUN 
H, PROPN 
aliph, NOUN 
=, VERB 
2915(m, NUM 

, SPACE 
legion, NOUN 
10, NUM 
12, NUM 
v(C, NOUN 
=, NOUN 
C, PROPN 
arom, PROPN 
=, VERB 
1576(s, NUM 
v(Mo, PROPN 
=, NOUN 
O)=, PROPN 
916(m, PROPN 
912(m, NUM 

, SPACE 
4, X 
Experimental, ADJ 

, SPACE 
experiments, NOUN 
carried, VERB 

, SPACE 
standard, ADJ 
Schlenk, PROPN 
techniques, NOUN 
completely, ADV 
dry, ADJ 
sol-, NOUN 

, SPACE 
vents, NOUN 
water, NOUN 
content, NOUN 
1, NUM 
ppm, ADJ 
Karl, PROPN 
Fischer, PROPN 

, SPACE 
titrations, NOUN 
starting, NOUN 
material, NOUN 
MoO2C, PROPN 
2, NUM 
MoO2CI, PROPN 
2-, PROPN 

, SPACE 
dmf, NOUN 
2, NUM 
WO2CI, NOUN 
2, NUM 
prepared, VERB 
described, VERB 

, SPACE 
literature, NOUN 
13, NUM 
15, NUM 
nae, PROPN 
quality, NOUN 
extremely, ADV 
air-, NOUN 

, SPACE 
moisture, NOUN 
sensitive, ADJ 
starting, NOUN 
materials, NOUN 
contain, VERB 

, SPACE 
normally, ADV 
hydrolytic, ADJ 
products, NOUN 
governs, VERB 
success, NOUN 

, SPACE 
described, VERB 
synthesis, NOUN 
purified, VERB 

, SPACE 
times, NOUN 
use, NOUN 

, SPACE 
NMR, PROPN 
spectra, NOUN 
recorded, VERB 
FF, PROPN 
Jeol, PROPN 

, SPACE 
GX-400, PROPN 
instrument, NOUN 
NMR, PROPN 
solvents, NOUN 
freeze-, ADJ 

, SPACE 
pump, NOUN 
thaw, NOUN 
degassed, VERB 
stored, VERB 
molecular, ADJ 
sieves, NOUN 

, SPACE 
use, NOUN 
Elemental, ADJ 
analyses, NOUN 
performed, VERB 

, SPACE 
Microanalytical, PROPN 
Laboratory, PROPN 
institute, NOUN 
~i, PUNCT 
values, NOUN 

, SPACE 
NMR, PROPN 
given, VERB 
ppm, PROPN 

, SPACE 
4.1, X 
Purification, NOUN 
precursor, NOUN 
complexes, NOUN 
MoO, NOUN 
z, PROPN 
Cl, PROPN 
2, NUM 

, SPACE 
MoO, NOUN 
Clz(dmf, PROPN 
2, NUM 
WO,,CI, PROPN 
2, NUM 

, SPACE 
MoO2C, NOUN 
2, NUM 
purified, VERB 
sublimation, NOUN 
MoO2CI, NOUN 
2, NUM 

, SPACE 
triply, ADV 
sublimed, VERB 
order, NOUN 
remove, VERB 
decomposi-, ADJ 

, SPACE 
tion, NOUN 
products, NOUN 
molybdenum, NOUN 
blue, NOUN 
dimethylfor-, NOUN 

, SPACE 
mamide, ADJ 
adduct, NOUN 
MoO2CI, PROPN 
2, NUM 
prepared, VERB 
de-, PROPN 

, SPACE 
scribed, VERB 
Ref, PROPN 
14, NUM 
washed, VERB 
times, NOUN 
dry, ADJ 

, SPACE 
acetone, NOUN 
obtaining, VERB 
put~, PROPN 
material, NOUN 
low, ADJ 
yield, NOUN 

, SPACE 
acid, NOUN 
free, ADJ 
product, NOUN 
case, NOUN 
tungsten, VERB 

, SPACE 
precursor, NOUN 
way, NOUN 
purify, VERB 
WO2C, PROPN 
2, NUM 
subliming, VERB 

, SPACE 
WOCI4, PROPN 
sublimation, NOUN 
WO2C, PROPN 
2, NUM 
step, NOUN 
.~, NOUN 

, SPACE 
possible, ADJ 

, SPACE 
4.2, X 
Chlorotris, PROPN 
l, NOUN 
3.dimethylimMazoline-2, PROPN 
ylidene)di-, PROPN 

, SPACE 
oxomolybdenum(Vi, PROPN 
chloride, NOUN 
3a, PROPN 

, SPACE 
300, NUM 
mg, NOUN 
1.5, NUM 
mmol, NOUN 
MoO2C, PROPN 
2, NUM 
dissolved, VERB 
20, NUM 

, SPACE 
ml, NOUN 
cool, ADJ 
thf, NOUN 
20, NUM 
°, NUM 
C, NOUN 
equivalents, NOUN 
free, ADJ 

, SPACE 
carbene, NOUN 
1, NUM 
thf, NOUN 
solution, NOUN 
4.5, NUM 
mmol, NOUN 
added, VERB 

, SPACE 
-20, NUM 
°, NUM 
C, NOUN 
purple, ADJ 
precipitate, NOUN 
forms, NOUN 
2, NUM 
h., NOUN 

, SPACE 
filtration, NOUN 
product, NOUN 
washed, VERB 
twice, ADV 
diethyl, NOUN 

, SPACE 
ether, NOUN 
dried, VERB 
2, NUM 
days, NOUN 
oil, NOUN 
pump, NOUN 

, SPACE 
vacuum, NOUN 
Yield, NOUN 
0.,,, NUM 
°, NUM 
,2, PUNCT 
g, PROPN 
37, NUM 
3a, PROPN 
Anal, PROPN 
Found, VERB 
C, PROPN 

, SPACE 
35.91, NUM 
H, PROPN 
5.05, NUM 
CI, PROPN 
13.33, NUM 
Mo, PROPN 
20.11, NUM 
N, PROPN 
15.95, NUM 

, SPACE 
CtsH24CI2MoN60, PROPN 
2, NUM 
3a, PROPN 
Caic, PROPN 
C, NOUN 
36.29, NUM 
H, PROPN 
4.83, NUM 
CI, PROPN 

, SPACE 
14.33, NUM 
Mo, PROPN 
20.06, NUM 
N, PROPN 
16.93, NUM 
tH, X 
NMR, PROPN 
CDCI, PROPN 
3, NUM 
400, NUM 

, SPACE 
MHz, NOUN 
20, NUM 
°, NUM 
C, NOUN 
8, NUM 
7.42, NUM 
s, PROPN 
CH, PROPN 
4H, PROPN 
6.96, NUM 
s, PROPN 
CH, PROPN 
2H, PROPN 

, SPACE 
4.23, NUM 
s, PROPN 
CH.a, PROPN 
12H, NUM 
4.03, NUM 
s, PROPN 
CH, PROPN 
3, NUM 
6H, PROPN 
13C, NUM 
NMR, PROPN 

, SPACE 
CDCI, PROPN 
3, NUM 
100.1, NUM 
MHz, NOUN 
20, NUM 
°, NUM 
C, NOUN 
8, NUM 
=, SYM 
177.7, NUM 
NCN, PROPN 
177.2, NUM 

, SPACE 
NCN, PROPN 
123.21, NUM 
NCHCHN, PROPN 
122.96, NUM 
NCHCHN, PROPN 

, SPACE 
39.75, NUM 
CH3, PROPN 
36.53, NUM 
CH3, PROPN 
IR, PROPN 
KBr, PROPN 
cm, PROPN 
v(C-, PROPN 
4.3, NUM 
Dichlorobis, PROPN 
l,3, PROPN 
dimethylimidazoline-2, PROPN 
yliden)di-, PROPN 

, SPACE 
oxotungsten(Vl, PROPN 
4b, PROPN 

, SPACE 
200, NUM 
mg, NOUN 
0.7, NUM 
mmol, PROPN 
tungstenylchloride, NOUN 
WO2Cl, PROPN 
2, NUM 

, SPACE 
dissolved, VERB 
20, NUM 
ml, NOUN 
cooled, VERB 
thf, NOUN 
20, NUM 
°, NUM 
2, NUM 

, SPACE 
equivalents, NOUN 
free, ADJ 
carbene, NOUN 
1, NUM 
thf, NOUN 
solution, NOUN 
2.2, NUM 

, SPACE 
mmol, PROPN 
added, VERB 
-20, NUM 
°, NUM 
C, NOUN 
green, ADJ 
precipitate, NOUN 

, SPACE 
forms, NOUN 
2, NUM 
h., NOUN 
filtration, NOUN 
product, NOUN 
washed, VERB 

, SPACE 
twice, ADV 
diethyl, ADJ 
ether, NOUN 
dried, VERB 
2, NUM 
days, NOUN 

, SPACE 
oil, NOUN 
pump, NOUN 
vacuum, NOUN 
Yield, NOUN 
0.87, NUM 
g, NOUN 
26, NUM 
4b, PROPN 
H, VERB 
NMR, PROPN 

, SPACE 
CDCI, PROPN 
3, NUM 
400, NUM 
MHz, NOUN 
20, NUM 
°, NUM 
C, NOUN 
~i, PUNCT 
=, NOUN 
6.99, NUM 
s, PROPN 
CH, PROPN 
4H, PROPN 
4.23, NUM 

, SPACE 
s, PROPN 
CH, PROPN 
3, NUM 
12H, NUM 
13C, NUM 
NMR, PROPN 
CDCI, PROPN 
3, NUM 
lO0.1, PROPN 
MHz, PROPN 
20, NUM 
°, NUM 
C, NOUN 

, SPACE 
=, SYM 
187.68, NUM 
NCN, PROPN 
123.45, NUM 
NCHCHN, PROPN 
40.23, NUM 
CH3, PROPN 

, SPACE 
IR, PROPN 
KBr, X 
cm-, X 
v(C, NOUN 
H, PROPN 
CC, PROPN 
H, PROPN 
=, VERB 
3200, NUM 
31CX0(s, NUM 
v(C--, PROPN 

, SPACE 
H, PROPN 
aliph, NOUN 
=, VERB 
2898(m, NUM 
v(C, NOUN 
=, NOUN 
C, PROPN 
arom, PROPN 
=, ADP 
1554(s, NUM 

, SPACE 
v(W, NOUN 
=, PRON 
O, PROPN 
=, VERB 
945(m, PROPN 
940(m, PROPN 

, SPACE 
References, NOUN 

, SPACE 
W.A., PROPN 
Herrmann, PROPN 
M., PROPN 
Elison, PROPN 
J., PROPN 
Fischer, PROPN 
C., PROPN 
K, PROPN 
~, PROPN 
cher, PROPN 
G.R.J., PROPN 
Anus, PROPN 

, SPACE 
Chem, PROPN 
Eur, PROPN 
J., PROPN 
press, NOUN 

, SPACE 
2, X 
K., PROPN 
Ofele, PROPN 
J., PROPN 
Organomet, PROPN 
Chem, PROPN 
12, NUM 
1968, NUM 
P42, PROPN 
b, X 
K., PROPN 
Ofele, PROPN 

, SPACE 
C.G., PROPN 
Kreiter, PROPN 
Chem, PROPN 
Ber, PROPN 
105, NUM 
1972, NUM 
529, NUM 
c, PROPN 
K., PROPN 
Ofele, PROPN 

, SPACE 
M., PROPN 
Herberhold, PROPN 
Z., PROPN 
Naturforsch, PROPN 
Tell, VERB 
B, PROPN 
28, NUM 
1973, NUM 
306, NUM 
d, X 
C.G., PROPN 

, SPACE 
Kreiter, PROPN 
K., PROPN 
Ofele, PROPN 
G.W., PROPN 
Wieser, PROPN 
Chem, PROPN 
Bet, PROPN 
I09, PROPN 
1976, NUM 

, SPACE 
1749, NUM 
e, NOUN 
K., PROPN 
Ofele, PROPN 
M., PROPN 
Herberhold, PROPN 
Angew, PROPN 
Chem, PROPN 
82, NUM 

, SPACE 
1970, NUM 
739, NUM 
f, PROPN 
K., PROPN 
f¢le, PROPN 
E., PROPN 
