Pergamon, PROPN 
flux, NOUN 
simultaneous, ADJ 
deposition, NOUN 
carbon, NOUN 
impurities, NOUN 

, SPACE 
background, NOUN 
plasma, NOUN 
deposition, NOUN 
impurities, NOUN 
B, NOUN 
:D, PUNCT 
bulk, NOUN 
reduce, VERB 
erosion, NOUN 
rates, NOUN 

, SPACE 
profongs, VERB 
lifetime, NOUN 
interpretation, NOUN 
backed, VERB 
AES, PROPN 
NRA, PROPN 
analysis, NOUN 
boron, NOUN 
content, NOUN 

, SPACE 
EPMA, PROPN 
Copyright, NOUN 
0, NUM 
7996, NUM 
Elsevier, PROPN 
Science, PROPN 
Ltd., PROPN 

, SPACE 
Key, ADJ 
words, NOUN 
TEXTOR-94, PROPN 
calorimetry, NOUN 
thin, ADJ 
film, NOUN 
erosion, NOUN 
BrD, PROPN 
protective, ADJ 
coatings, NOUN 
erosion, NOUN 
deposition, NOUN 

, SPACE 
modelling, NOUN 

, SPACE 
Introduction, PROPN 

, SPACE 
Colorimetry, PROPN 
developed, VERB 
Jiilich, PROPN 
tokamak, NOUN 
TEX-, ADJ 

, SPACE 
TOR-94, PROPN 
observe, VERB 
thickness, ADJ 
changes, NOUN 
thin, ADJ 
coatings, NOUN 

, SPACE 
extended, ADJ 
areas, NOUN 
coatings, NOUN 
cover, VERB 
inner, ADJ 
wall, NOUN 
surface-, NOUN 

, SPACE 
inconel, NOUN 
liner, NOUN 
graphite, NOUN 
limiters, NOUN 
form, NOUN 
amorphous, ADJ 

, SPACE 
semi, ADJ 
transparent, ADJ 
boron, NOUN 
carbon, NOUN 
containing, VERB 
hydrogenated, VERB 

, SPACE 
films, NOUN 
C, NOUN 
B, PROPN 
H, NOUN 
1OOnm, NUM 
thickness, NOUN 
order, NOUN 
prevent, VERB 

, SPACE 
tokamak, NOUN 
plasma, VERB 
metal, NOUN 
oxygen, NOUN 
impurity, NOUN 
release, NOUN 

, SPACE 
Despite, SCONJ 
erosion, NOUN 
boron, NOUN 
carbon, NOUN 
plasma, NOUN 
hydrogen, NOUN 

, SPACE 
ionization, NOUN 
transport, NOUN 
away, ADV 
magnetic, ADJ 
field, NOUN 
lines, NOUN 

, SPACE 
scrape, VERB 
layer, NOUN 
SOL, PROPN 
films, NOUN 
reformed, VERB 
partly, ADV 

, SPACE 
deposition, NOUN 
species, NOUN 
eroded, VERB 
parts, NOUN 
wall, NOUN 

, SPACE 
prompt, ADJ 
redeposition.4, NOUN 
survival, NOUN 
time, NOUN 
film, NOUN 
depends, VERB 

, SPACE 
balance, NOUN 
rates, NOUN 
erosion, NOUN 
deposition:5, NOUN 
vary, VERB 

, SPACE 
seconds, NOUN 
hours, NOUN 
different, ADJ 
locations, NOUN 
areas, NOUN 

, SPACE 
net, ADJ 
deposition, NOUN 
develop, VERB 
control, NOUN 
material, NOUN 
metab-, VERB 

, SPACE 
olism, NOUN 
situ, PROPN 
wall, PROPN 
protection, NOUN 
essential, ADJ 
import-, ADJ 

, SPACE 
ance, NOUN 
future, ADJ 
fusion, NOUN 
devices.h, VERB 

, SPACE 
Colorimetry, PROPN 
technique, NOUN 
measure, VERB 
extended, VERB 
areas, NOUN 

, SPACE 
thickness, ADJ 
changes, NOUN 
protective, ADJ 
coatings, NOUN 
30, NUM 

, SPACE 
500, NUM 
nm, NOUN 
means, NOUN 
accompanying, VERB 
changes, NOUN 
inter-, ADJ 

, SPACE 
ference, NOUN 
colors, NOUN 
illuminating, VERB 
light, NOUN 
TEXTOR-, NOUN 
instalted, VERB 

, SPACE 
CCD, NOUN 
color, NOUN 
camera, NOUN 
recorded, VERB 
images, NOUN 
test, NOUN 
pieces, NOUN 
plasma, NOUN 
discharge, VERB 
processed, VERB 
later, ADV 
order, NOUN 

, SPACE 
determine, VERB 
thickness, ADJ 
profiles, NOUN 
create, VERB 
contour, ADJ 
plots, NOUN 

, SPACE 
measured, VERB 
color, NOUN 
coordinates, NOUN 
filter, NOUN 
calorimetry, NOUN 
means, NOUN 

, SPACE 
black, ADJ 
white, ADJ 
camera, NOUN 
set, VERB 
successfully, ADV 

, SPACE 
tokamak, NOUN 
D-111, PROPN 
D, PROPN 
neutrons, NOUN 
coming, VERB 
fusion, NOUN 
pro-, NOUN 

, SPACE 
cess, NOUN 
affect, VERB 
color, NOUN 
camera, NOUN 
JET, NOUN 
calorimetry, NOUN 

, SPACE 
applied, VERB 
observe, VERB 
divertor, NOUN 
plates.x, NOUN 
following, NOUN 
report, VERB 

, SPACE 
mainly, ADV 
findings, NOUN 
erosion, NOUN 
experiment, NOUN 
carried, VERB 

, SPACE 
recently, ADV 
TEXTOR-94, NOUN 
calorimetric, ADJ 
data, NOUN 
evaluation, NOUN 

, SPACE 
addressed, VERB 
briefly, ADV 

, SPACE 
Experimental, PROPN 

, SPACE 
Sample, PROPN 
preparation, NOUN 
roof, NOUN 
like, ADJ 
graphite, NOUN 
test, NOUN 
piece, NOUN 
size, NOUN 

, SPACE 
60, NUM 
mm, NOUN 
x, SYM 
63, NUM 
mm, NOUN 
tilt, NOUN 
angle, NOUN 
20.8, NUM 
Figure, PROPN 
covered, VERB 

, SPACE 
aluminum, NOUN 
interlayer, NOUN 
~300, PROPN 
nm, PROPN 
boronized, VERB 

, SPACE 
surface, NOUN 
twice, ADV 
routine, ADJ 
boronizations, NOUN 

, SPACE 
TEXTOR-, NOUN 
rf, PROPN 
assisted, VERB 
DC, PROPN 
glow, NOUN 
discharge, NOUN 
B, PROPN 
D, PROPN 

, SPACE 
led, VERB 
formation, NOUN 
pure, ADJ 
homogeneous, ADJ 
a-, X 

, SPACE 
B, PROPN 
:D, PUNCT 
film, NOUN 
aluminum, NOUN 
thicknesses, NOUN 
ranging, VERB 

, SPACE 
95, NUM 
110, NUM 
nm, NOUN 
film, NOUN 
appeared, VERB 
yellow, ADJ 
greenish, NOUN 

, SPACE 
dayhght, NOUN 
test, NOUN 
piece, NOUN 
mounted, VERB 
graphite, NOUN 
screws, NOUN 

, SPACE 
graphite, NOUN 
holder, NOUN 
shielded, VERB 
ion, NOUN 
electron, NOUN 

, SPACE 
919, NUM 

, SPACE 
P, NOUN 
Wienhold, PROPN 
F, PROPN 
Weschenfeldec, PROPN 
Measurements, PROPN 
thin, ADJ 
film, NOUN 
erosion, NOUN 
deposition, NOUN 

, SPACE 
Al, PROPN 
plate, NOUN 
~, PUNCT 

, SPACE 
graphite, NOUN 
plate, NOUN 

, SPACE 
ion, NOUN 
drift, NOUN 
B, NOUN 
:D, PUNCT 
100, NUM 
nm, ADJ 

, SPACE 
Al, PROPN 
layer, NOUN 
300, NUM 
ran, VERB 
1, NUM 
illumination, NOUN 
1, NUM 

, SPACE 
jobservationl, NOUN 

, SPACE 
drift, NOUN 
aluminum, NOUN 
plates, NOUN 
2, NUM 
mm, NOUN 
thick, ADJ 
avoids, VERB 
carbon, NOUN 

, SPACE 
sputtering, ADJ 
direct, ADJ 
deposition, NOUN 
adjacent, ADJ 
roof, NOUN 
surface, NOUN 

, SPACE 
Holder, PROPN 
sample, NOUN 
inserted, VERB 
machine, NOUN 

, SPACE 
means, NOUN 
limiter, NOUN 
lock, NOUN 
system, NOUN 
oriented, VERB 
way, NOUN 

, SPACE 
corner, NOUN 
roof, NOUN 
shielded, VERB 
surface, NOUN 

, SPACE 
electron, NOUN 
drift, NOUN 
angled, ADJ 
surface, NOUN 
pointed, VERB 
ion, NOUN 
drift, NOUN 

, SPACE 
direction, NOUN 
illuminated, VERB 
observed, VERB 

, SPACE 
holder, NOUN 
5, NUM 
mm, NOUN 
wider, ADJ 
roof, NOUN 
small, ADJ 
uncovered, ADJ 

, SPACE 
graphite, NOUN 
area, NOUN 
later, ADV 
grey, ADJ 
balance, NOUN 

, SPACE 
images, NOUN 

, SPACE 
Material, PROPN 
constants, NOUN 
small, ADJ 
silicon, NOUN 
wafers, NOUN 
boronized, VERB 

, SPACE 
roof, NOUN 
sample, NOUN 
location, NOUN 
analyzed, VERB 
eilip-, NOUN 

, SPACE 
sometrically, ADV 
dismounting, NOUN 
Measurements, NOUN 
5, NUM 
different, ADJ 

, SPACE 
incident, NOUN 
angles, NOUN 
30, NUM 
70, NUM 
light, NOUN 
wavelength, NOUN 

, SPACE 
=, VERB 
632, NUM 
nm, ADV 
yielded, VERB 
refractive, ADJ 
constant, ADJ 
n, NOUN 
=, SYM 
2.7, NUM 
uncer-, NOUN 

, SPACE 
tainty, NOUN 
0.1, NUM 
extinction, NOUN 
constant, ADJ 
k, NOUN 
=, NOUN 
0.15, NUM 
kO.01, NOUN 

, SPACE 
film, NOUN 
thickness, NOUN 
39, NUM 
nm, NOUN 
composition, NOUN 
pure, ADJ 
a-, X 

, SPACE 
B, PROPN 
:D, PUNCT 
small, ADJ 
amounts, NOUN 
carbon, NOUN 
near, ADP 
surface, NOUN 

, SPACE 
interface, NOUN 
seen, VERB 
AES, PROPN 
depth, NOUN 
profile, NOUN 
Figure, NOUN 
2, NUM 

, SPACE 
oxygen, NOUN 
present, ADJ 
layer, NOUN 
shown, VERB 

, SPACE 
profiles, NOUN 
slight, ADJ 
increase, NOUN 
impurity, NOUN 
content, NOUN 

, SPACE 
depth, NOUN 
18, NUM 
nm, NOUN 
separates, VERB 
strata, NOUN 
formed, VERB 

, SPACE 
boronization, NOUN 
steps, NOUN 
area1, NOUN 
densities, NOUN 
B, PROPN 
determined, VERB 

, SPACE 
nuclear, ADJ 
reaction, NOUN 
analysis, NOUN 
NRA, PROPN 
electron, PROPN 
probe, PROPN 
micro, PROPN 

, SPACE 
analysis, NOUN 
EPMA, PROPN 
agree, VERB 
20, NUM 
correspond, VERB 
average, ADJ 

, SPACE 
atomic, ADJ 
density, NOUN 
1.0, NUM 
x, SYM 
10z3cm3, NUM 
comparatively, ADV 
high, ADJ 
density, NOUN 

, SPACE 
coincides, VERB 
high, ADJ 
refractive, ADJ 
constant, NOUN 

, SPACE 
reason, NOUN 
doubled, VERB 
etching, VERB 
time, NOUN 
needed, VERB 
AES, PROPN 

, SPACE 
sputter, NOUN 
process, NOUN 
values, NOUN 
C, NOUN 
:D, PUNCT 
boron, NOUN 
containing, VERB 
a-, X 

, SPACE 
C, PROPN 
B, PROPN 
:D, PUNCT 
6.5, NUM 
x, SYM 
10z2cmp3, PROPN 
n~2, NUM 
respectively, ADV 

, SPACE 
Exposures, NOUN 
TEXTOR-94, NOUN 
roof, NOUN 
piece, NOUN 
kept, VERB 
edge, NOUN 

, SPACE 
radial, ADJ 
position, NOUN 
47.2, NUM 
cm, NOUN 
exposures, NOUN 

, SPACE 
covered, VERB 
radial, ADJ 
range, NOUN 
22, NUM 
mm, NOUN 
49.4, NUM 
cm, NOUN 

, SPACE 
declination, NOUN 
scrape, VERB 
layer, NOUN 

, SPACE 
920, NUM 
toroidal, NOUN 
belt, NOUN 
limiter, NOUN 
ALT, PROPN 
II, PROPN 
defined, VERB 
plasma, NOUN 
radius, NOUN 

, SPACE 
ra, PROPN 
=, X 
46, NUM 
cm, NOUN 
poloidal, ADJ 
limiters, NOUN 
reference, NOUN 
limiter, NOUN 
ion, NOUN 

, SPACE 
drift, NOUN 
withdrawn, VERB 
49, NUM 
50, NUM 
cm, NOUN 
respectively, ADV 

, SPACE 
plasma, NOUN 
discharges, NOUN 
current, ADJ 
Ip, PROPN 
=, NOUN 
350, NUM 
kA, NUM 
toroidal, ADJ 
magnetic, ADJ 
field, NOUN 

, SPACE 
BT, PROPN 
=, SYM 
2.25, NUM 
T, NOUN 
average, ADJ 
line, NOUN 
density, NOUN 
n,(O)~2.5, PROPN 
x, SYM 
10, NUM 
cm, NOUN 

, SPACE 
carried, VERB 
deuterium, NOUN 
auxiliary, ADJ 
heated, VERB 

, SPACE 
neutral, ADJ 
hydrogen, NOUN 
beam, NOUN 
coinjection, NOUN 
NBI, PROPN 
1.3, NUM 
MW, PROPN 
power, NOUN 

, SPACE 
increased, VERB 
density, NOUN 
temperature, NOUN 
closed, ADJ 

, SPACE 
flux, NOUN 
surface, NOUN 
LCFS, PROPN 
n,(r, PROPN 
=, VERB 
2.4, NUM 
x, SYM 
10’2cmp, NUM 
6.2, NUM 
x, SYM 
lOI, AUX 

, SPACE 
cm-, PROPN 
TJr, NOUN 
=, VERB 
25eV, NUM 
44eV, NUM 
respectively, ADV 

, SPACE 
exposure, NOUN 
parameters, NOUN 
listed, VERB 
Table, PROPN 
1, NUM 

, SPACE 
5, NUM 
pulses, NOUN 
disrupted, VERB 
1.1, NUM 
s., NOUN 
total, ADJ 

, SPACE 
exposure, NOUN 
time, NOUN 
12, NUM 
1.3, NUM 
s., NOUN 

, SPACE 
exposures, NOUN 
test, NOUN 
piece, NOUN 
observed, VERB 

, SPACE 
emitted, VERB 
B, PROPN 
I1, PROPN 
light, NOUN 
CCD, PROPN 
cameras, NOUN 

, SPACE 
spectrometer, NOUN 
viewing, VERB 
roof, NOUN 
surface, NOUN 

, SPACE 
position, NOUN 
1, NUM 
cm, NOUN 
away, ADV 
edge, NOUN 
plasma, NOUN 

, SPACE 
discharge, VERB 
4, NUM 
halogen, NOUN 
lamps, NOUN 
SOW, PROPN 
located, VERB 

, SPACE 
liner, NOUN 
inside, ADP 
machine, NOUN 
roughly, ADV 
1, NUM 
m, NOUN 
activated, VERB 

, SPACE 
illuminated, VERB 
surface, NOUN 
test, NOUN 
piece, NOUN 
light, NOUN 
3200, NUM 
K, PROPN 

, SPACE 
color, NOUN 
temperature, NOUN 
color, NOUN 
patterns, NOUN 
recorded, VERB 

, SPACE 
conventional, ADJ 
video, NOUN 
technique, NOUN 
direction, NOUN 

, SPACE 
window, NOUN 
means, NOUN 
CCD, PROPN 
color, NOUN 
camera, NOUN 
Single, ADJ 
images, NOUN 

, SPACE 
grabbed, VERB 
frame, NOUN 
grabber, NOUN 
board, PROPN 
stored, VERB 

, SPACE 
personal, ADJ 
computer, NOUN 
processing, NOUN 

, SPACE 
experiment, NOUN 
test, NOUN 
piece, NOUN 
dismounted, VERB 
visual, ADJ 

, SPACE 
inspection, NOUN 
photograph, NOUN 
Figure, NOUN 
3, NUM 
shows, VERB 
final, ADJ 
color, NOUN 
pat-, VERB 

, SPACE 
tern, NOUN 
precoated, VERB 
area, NOUN 
view, NOUN 
Obviously, ADV 

, SPACE 
initial, ADJ 
B, NOUN 
:D, PUNCT 
coating, NOUN 
strongly, ADV 
eroded, VERB 
right, ADJ 
hand, NOUN 
left, ADJ 

, SPACE 
away, ADV 
plasma, NOUN 
exhibits, VERB 
fringes, NOUN 

, SPACE 
interference, NOUN 
order, NOUN 
indicate, VERB 
steep, ADJ 
increase, NOUN 

, SPACE 
thickness, NOUN 
plateau, NOUN 
region, NOUN 
contrast, NOUN 
strong, ADJ 
change, NOUN 

, SPACE 
toroidal, ADJ 
field, NOUN 
direction, NOUN 
slight, ADJ 
changes, NOUN 
poloidal, ADJ 

, SPACE 
direction, NOUN 
perpendicular, ADJ 
cause, VERB 
straight, ADJ 
contour, ADJ 
lines, NOUN 

, SPACE 
colors, NOUN 
screw, NOUN 
holes, NOUN 
corners, NOUN 
little, ADJ 
influence, NOUN 

, SPACE 
pattern, NOUN 

, SPACE 
Data, PROPN 
evaluation, NOUN 

, SPACE 
Colorimetry, PROPN 
interference, NOUN 
colors, NOUN 
Thickness, ADJ 
changes, NOUN 

, SPACE 
nanometers, NOUN 
recognized, VERB 
calorimetry, NOUN 
thin, ADJ 

, SPACE 
film, NOUN 
interference, VERB 
colors, NOUN 
extended, ADJ 
substrate, NOUN 
areas, NOUN 
50, NUM 
cm, NOUN 

, SPACE 
TEXTOR-94, NOUN 
technique, NOUN 
based, VERB 
correct, ADJ 
measurement, NOUN 

, SPACE 
color, NOUN 
coordinates, NOUN 
surface, NOUN 
related, VERB 

, SPACE 
mainly, ADV 
film, NOUN 
thickness, NOUN 
d, X 
refractive, ADJ 
extinction, NOUN 

, SPACE 
constants, NOUN 
n, CCONJ 
k, PROPN 
film, NOUN 
substrate, NOUN 
spectral, ADJ 
distribution, NOUN 

, SPACE 
illuminating, VERB 
light, ADJ 
$, SYM 
l(n, NOUN 
angle, NOUN 
incidence, NOUN 
B, PROPN 
important, ADJ 

, SPACE 
influence, VERB 
reflected, VERB 
spectral, ADJ 
distributions, NOUN 
$, SYM 
2, NUM 

, SPACE 
according, VERB 
interference, NOUN 
laws, NOUN 
distributions, NOUN 

, SPACE 
corresponds, VERB 
particular, ADJ 
color, NOUN 
impression, NOUN 

, SPACE 
uniquely, ADV 
described, VERB 
color, NOUN 
coordinates, NOUN 
R, PROPN 
G, PROPN 
B, PROPN 
typi-, NOUN 

, SPACE 
cally, ADV 
locally, ADV 
dependent, ADJ 
coordinates, NOUN 
measured, VERB 

, SPACE 
calorimetric, ADJ 
facility, NOUN 
camera, NOUN 
grabber, PROPN 
board, PROPN 
computer, NOUN 

, SPACE 
thickness, NOUN 
pattern, NOUN 
inferred, VERB 

, SPACE 
formalism, NOUN 
published,‘2.‘3, ADJ 
short, ADJ 

, SPACE 
description, NOUN 
given, VERB 
CCD, PROPN 
camera, NOUN 
generates, VERB 
color, NOUN 

, SPACE 
coordinates, NOUN 
form, NOUN 
output, NOUN 
voltages, NOUN 
according, VERB 

, SPACE 
R, NOUN 
=, NOUN 
c,&(A)P&+Li, VERB 

, SPACE 
G, PROPN 
=, X 
c&(l&(~)d, PROPN 
z, PROPN 
1, NUM 

, SPACE 
B, NOUN 
=, NOUN 
c&b(JJP&)dii, NOUN 

, SPACE 
P, NOUN 
Wienhold, PROPN 
F, PROPN 
Weschenfeldec, PROPN 
Measurements, PROPN 
thin, ADJ 
film, NOUN 
erosion, NOUN 
deposition, NOUN 

, SPACE 
Figure, PROPN 
2, NUM 
AES, PROPN 
sputter, NOUN 
depth, NOUN 
profile, NOUN 
virgin, PROPN 
B, NOUN 
:D, PUNCT 
film, NOUN 
deposited, VERB 
silicon, NOUN 
substrate, NOUN 
+, CCONJ 
silicon, NOUN 

, SPACE 
-B-, PROPN 
boron, NOUN 

, SPACE 
--)c, NOUN 
carbon, NOUN 

, SPACE 
depth, NOUN 
nm, X 

, SPACE 
Table, NOUN 
1, NUM 
Non, ADJ 
dlsrupted, ADJ 
pulses, NOUN 
Bat, PROPN 
time, NOUN 
4, NUM 
s, PART 

, SPACE 
Radial, ADJ 
position, NOUN 

, SPACE 
Pulse, PROPN 
Duration, PROPN 
NBI, PROPN 
flat, ADJ 
probe, NOUN 
edge, NOUN 

, SPACE 
3.x, PROPN 
s, VERB 
46.8, NUM 
cm, NOUN 

, SPACE 
3, NUM 

, SPACE 
5.x, PROPN 
5, NUM 
47.8, NUM 
cm, NOUN 

, SPACE 
6.0, NUM 
s, NUM 
47.2, NUM 
cm, NUM 

, SPACE 
4, NUM 
h, NOUN 
7.2, NUM 
s, NOUN 
2s, NUM 
47.2, NUM 
cm, NOUN 

, SPACE 
6.1, NUM 
s, NUM 
47.2, NUM 
cm, NUM 

, SPACE 
8, NUM 
17, NUM 
7.25, NUM 
s, PROPN 
2s, NUM 
47.2, NUM 
cm, NOUN 

, SPACE 
P, NOUN 
P, NOUN 
P, NOUN 
relative, ADJ 
responses, NOUN 
different, ADJ 

, SPACE 
sensors, NOUN 
having, VERB 
maxima, NOUN 
red, ADJ 
615, NUM 
nm, PROPN 
green, ADJ 
535, NUM 
nm, ADJ 

, SPACE 
blue, ADJ 
475, NUM 
nm, ADJ 
spectrum, NOUN 
calibration, NOUN 
factors, NOUN 

, SPACE 
cR, X 
cCi, NOUN 
C, NOUN 
adjusted, VERB 
means, NOUN 
grey, ADJ 
balance, NOUN 

, SPACE 
defined, VERB 
R, NOUN 
=, NOUN 
G, NOUN 
=, PROPN 
B, PROPN 
light, NOUN 
initial, ADJ 
spectral, ADJ 
dis-, ADJ 

, SPACE 
tribution, NOUN 
il(i, PROPN 
reflected, VERB 
unchanged, ADJ 
ideal, ADJ 
white, ADJ 

, SPACE 
grey, PROPN 
surface, NOUN 
e.g., ADV 
virgin, PROPN 
graphite, PROPN 
surface, PROPN 

, SPACE 
case, NOUN 
interference, NOUN 
colors, NOUN 
thin, ADJ 
films, NOUN 
substrates, NOUN 

, SPACE 
dimensional, ADJ 
representation, NOUN 
terms, NOUN 
chromaticity, NOUN 

, SPACE 
coordinates, VERB 

, SPACE 
.Y, PUNCT 
=, PRON 
R/(R+G+B)andj,=, VERB 
G/(R+G+B, X 
21, NUM 

, SPACE 
fully, ADV 
sufficient, ADJ 
Figure, NOUN 
4, NUM 
shows, VERB 
UJ, PROPN 
values, NOUN 
form, VERB 

, SPACE 
triangular, NOUN 
shaped, VERB 
trace, NOUN 
incident, NOUN 
monochromatic, ADJ 
light, NOUN 

, SPACE 
increases, VERB 
wavelength, NOUN 
sensitive, ADJ 
range, NOUN 
camera, NOUN 

, SPACE 
beginning, VERB 
385, NUM 
nm, NOUN 
red, ADJ 
lower, ADJ 
left, ADJ 
corner, NOUN 
520, NUM 
nm, PROPN 
green, ADJ 

, SPACE 
upper, ADJ 
corner, NOUN 
880, NUM 
nm, NOUN 
red, ADJ 
right, ADJ 
corner, NOUN 
visible, ADJ 

, SPACE 
distribution, NOUN 
create, VERB 
.x, PROPN 
J, PROPN 
pairs, VERB 
defining, VERB 
point, NOUN 
inside, ADP 

, SPACE 
triangle, NOUN 
particular, ADJ 
unchanged, ADJ 
spectral, ADJ 
distribution, NOUN 

, SPACE 
represented, VERB 
color, NOUN 
point, NOUN 
l/3,1/3, PROPN 

, SPACE 
identical, ADJ 
coordinates, NOUN 
spectral, ADJ 
distribution, NOUN 
reflected, VERB 

, SPACE 
free, ADJ 
aluminum, NOUN 
surface, NOUN 
film, NOUN 
thickness, PROPN 
d, PROPN 
=, NOUN 
0, NUM 
d, NOUN 

, SPACE 
grows, VERB 
varying, VERB 
distributions, NOUN 
$, SYM 
form, VERB 
trace, NOUN 
circles, VERB 

, SPACE 
colour, NOUN 
point, NOUN 
order, NOUN 
interference, NOUN 

, SPACE 
passing, VERB 
color, NOUN 
sections, NOUN 
yellow, ADJ 
purple, ADJ 
blue, ADJ 
green, ADJ 
regu-, NOUN 

, SPACE 
larly, ADV 
seen, VERB 
color, NOUN 
tone, NOUN 
angle, NOUN 
hue, PROPN 
h, NOUN 

, SPACE 
abscissa, NOUN 
line, NOUN 
intersecting, VERB 
center, NOUN 
single, ADJ 
point, NOUN 
.u, ADJ 
J~, PROPN 
curve, NOUN 
uniquely, ADV 
related, ADJ 
tilm, NOUN 
thickness, NOUN 
d, PROPN 

, SPACE 
indicated, VERB 
figure, NOUN 
dots, NOUN 
1Onm, NUM 
steps, NOUN 

, SPACE 
orders, NOUN 
interference, NOUN 
calculated, VERB 
simple, ADJ 

, SPACE 
equation, NOUN 

, SPACE 
tan, PROPN 
h, PROPN 
=, PROPN 
v-, X 
1/3)/(.x-, NUM 
l/3, NUM 
3, X 

, SPACE 
Figure, NOUN 
5, NUM 
shows, VERB 
11, NUM 
=, SYM 
lz(d;n,,k,,t),$, PROPN 
Cartesian, ADJ 
plot, NOUN 
system, NOUN 

, SPACE 
BID, PROPN 
AI, PROPN 
taking, VERB 
account, NOUN 
measured, VERB 
optical, ADJ 
constants, NOUN 

, SPACE 
light, NOUN 
color, NOUN 
temperature, NOUN 
3200, NUM 
K, PROPN 
incident, NOUN 
angle, NOUN 
0, NUM 
=, SYM 
20.8, NUM 

, SPACE 
measure, VERB 
h, NOUN 
R, PROPN 
G., PROPN 
B, PROPN 
conditions, NOUN 

, SPACE 
according, VERB 
film, NOUN 
thicknesses, NOUN 
determined, VERB 
curve, NOUN 

, SPACE 
directly, ADV 
maximum, ADJ 
deviation, NOUN 
1.8, NUM 
nm;degree, NOUN 
rl, PROPN 
=, PROPN 
70, NUM 
nm, NOUN 

, SPACE 
Image, NOUN 
processing, NOUN 
grey, ADJ 
balance, VERB 
non, ADJ 
coated, ADJ 
areas, NOUN 

, SPACE 
scanned, VERB 
graphite, NOUN 
holder, NOUN 
plus, CCONJ 
graphite, NOUN 
screws, NOUN 

, SPACE 
roof, NOUN 
sample, NOUN 
image, NOUN 
grabbed, VERB 
exposure, NOUN 

, SPACE 
R, NOUN 
G., PROPN 
B, PROPN 
values, NOUN 
measured, VERB 
average, ADJ 
ratios, NOUN 
G, NOUN 
R, PROPN 
=, PUNCT 

, SPACE 
1.1, NUM 
kO.05, PROPN 
G, PROPN 
B, PROPN 
=, NOUN 
1.04~0.05, NUM 
calibration, NOUN 

, SPACE 
factors, NOUN 
K, NOUN 
cg, PROPN 
respectively, ADV 
c’(+, ADJ 
=, PROPN 
I., PROPN 
RGB, PROPN 

