Anin, NOUN 
geometricalproperties, NOUN 
cortical, ADJ 
bone, NOUN 
changes, NOUN 
potentially, ADV 
beused, VERB 
assess, VERB 
fracture, NOUN 
stiffness, NOUN 
1–3]and, NOUN 
indicate, VERB 
onset, NOUN 

, SPACE 
osteoporosis, NOUN 
4–8, NUM 
Nokes, NOUN 
9]and, PROPN 
Maylia, PROPN 
Nokes, PROPN 
10]have, NUM 

, SPACE 
reviewed, VERB 
earlier, ADJ 
ultrasonic, ADJ 
studies, NOUN 
axialtransmission, NOUN 
techniques, NOUN 
mechanical, ADJ 
testing, NOUN 
directlyor, NOUN 
indirectly, ADV 
measure, VERB 
mechanical, ADJ 
properties, NOUN 
healing, NOUN 

, SPACE 
fracture, NOUN 
addition, NOUN 
numerical, PROPN 
simulation, NOUN 
results, NOUN 

, SPACE 
extended, VERB 
understanding, NOUN 
ultrasound, NOUN 
propagation, NOUN 
velocity[11–13, PROPN 
attenuation, NOUN 
14, NUM 
cortical, ADJ 
bone, NOUN 

, SPACE 
relationship, NOUN 
acoustic, ADJ 
frequency, NOUN 
bone, NOUN 
geometry, NOUN 
previous, ADJ 
studies, NOUN 
FAS, PROPN 
velocity, NOUN 
monitor, VERB 

, SPACE 
fracture, ADJ 
healing, NOUN 
long, ADJ 
bones, NOUN 
2,3, NUM 
investigators, NOUN 

, SPACE 
interested, ADJ 
extra, ADJ 
time, NOUN 
delay, NOUN 
brought, VERB 
differencein, NOUN 
velocity, NOUN 
cortical, ADJ 
bone, NOUN 
material, NOUN 
filling, VERB 
thefracture, NOUN 
site, NOUN 
time, NOUN 
delay, NOUN 
dependent, ADJ 
fracturegap, NOUN 
size, NOUN 
previously, ADV 
identified, VERB 
Lowet, PROPN 
Van, PROPN 
der, NOUN 

, SPACE 
Perre, PROPN 
15, NUM 
large, ADJ 
change, NOUN 
velocity, NOUN 
compared, VERB 

, SPACE 
intact, ADJ 
bone, NOUN 
velocity, NOUN 
particular, ADJ 
transducer, NOUN 
separation, NOUN 
isdesirable, ADJ 
initial, ADJ 
inflammatory, ADJ 
stages, NOUN 
healingprocess, NOUN 
compared, VERB 
velocitymeasured, ADJ 
bone, NOUN 
heals, NOUN 
Similarly, ADV 
large, ADJ 
change, NOUN 
comparedto, PROPN 
baseline, ADJ 
measurement, NOUN 
intact, ADJ 
bone, NOUN 
desirable, ADJ 
whenusing, VERB 
signal, ADJ 
amplitude, NOUN 
potential, ADJ 
parameter, NOUN 
monitorhealing, VERB 
long, ADJ 
bones, NOUN 
small, ADJ 
number, NOUN 
studies, NOUN 

, SPACE 
performed, VERB 
use, NOUN 
ultrasound, NOUN 
signal, NOUN 
amplitude, NOUN 
monitor, VERB 

, SPACE 
healing, NOUN 
16,17, NUM 

, SPACE 
Despite, SCONJ 
previous, ADJ 
attempts, NOUN 
develop, VERB 
technique, NOUN 

, SPACE 
characterise, VERB 
healing, NOUN 
process, NOUN 
long, ADJ 
bone, NOUN 
fractures, NOUN 
onestudy, NOUN 
Protopappas, PROPN 
et, PROPN 
al, PROPN 
3, X 
numerical, ADJ 
modelling, NOUN 

, SPACE 
bone, NOUN 
plates, NOUN 
performed, VERB 
simulate, VERB 
effect, NOUN 
eachfracture, NOUN 
healing, NOUN 
stage, NOUN 
ultrasound, NOUN 
velocity, NOUN 
Understanding, VERB 
theBone, NOUN 
40, NUM 
2007, NUM 
656, NUM 
661, NUM 

, SPACE 
www.elsevier.com/locate/bone, NOUN 

, SPACE 
⁎Corresponding, PROPN 
author, NOUN 
Fax, NOUN 
+44, PROPN 
1225, NUM 
386928, NUM 

, SPACE 
E, ADJ 
mail, NOUN 
address, NOUN 
j.l.cunningham@bath.ac.uk, PUNCT 
J.L., PROPN 
Cunningham, PROPN 

, SPACE 
8756, NUM 
3282/$, NUM 
matter, NOUN 
©, ADJ 
2006, NUM 
Elsevier, PROPN 
Inc., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
doi:10.1016, PROPN 
j.bone.2006.10.004, NOUN 

, SPACE 
effect, NOUN 
fracture, NOUN 
subsequent, ADJ 
healing, NOUN 
ultrasound, NOUN 

, SPACE 
wave, NOUN 
amplitude, NOUN 
revea, VERB 
l, NOUN 
useful, ADJ 
information, NOUN 

, SPACE 
providing, VERB 
quantitative, ADJ 
analysis, NOUN 
long, ADJ 
bone, NOUN 
fracture, NOUN 
healingusing, VERB 
axial, ADJ 
transmission, NOUN 
technique, NOUN 
subject, ADJ 
ofinvestigation, NOUN 
current, ADJ 
study, NOUN 

, SPACE 
study, NOUN 
Sawbones, NOUN 
®, NOUN 
plates, NOUN 
Sawbones, PROPN 
Europe, PROPN 
Kross-, PROPN 

, SPACE 
verksgatan, PROPN 
3, NUM 
Malmo, PROPN 
Sweden, PROPN 
bovine, PROPN 
femora, PROPN 
cut, VERB 
toproduce, VERB 
transverse, ADJ 
fracture, NOUN 
immersed, VERB 
distilled, VERB 

, SPACE 
water, NOUN 
simulate, VERB 
conditions, NOUN 
initial, ADJ 
inflammatory, ADJ 

, SPACE 
stage, NOUN 
fracture, ADJ 
healing, NOUN 
18, NUM 
addition, NOUN 
numerical, ADJ 
simulations, NOUN 

, SPACE 
performed, VERB 
help, VERB 
understand, VERB 
wave, NOUN 
interaction, NOUN 
afracture, NOUN 
material, ADJ 
density, NOUN 
acoustic, ADJ 
properties, NOUN 
closerto, PROPN 
human, PROPN 
cortical, ADJ 
bone, NOUN 
Sawbones, PROPN 
®, NOUN 
substitute, NOUN 
represents, VERB 
abetter, NOUN 
bone, NOUN 
mimic, NOUN 
comparison, NOUN 
commonly, ADV 
usedplastics, NOUN 
acrylic, NOUN 
11,15,19, NUM 
complicated, ADJ 
system, NOUN 

, SPACE 
examined, VERB 
bovine, ADJ 
femora, NOUN 
substitute, NOUN 

, SPACE 
human, ADJ 
cortical, ADJ 
bone, NOUN 
Baseline, ADJ 
measurements, NOUN 
representing, VERB 

, SPACE 
intact, ADJ 
bone, NOUN 
relative, ADJ 
changes, NOUN 
attenuation, NOUN 
values, NOUN 
aresult, NOUN 
fracture, NOUN 
investigated, VERB 

, SPACE 
Methods, PROPN 
materials, NOUN 

, SPACE 
experiments, NOUN 
axial, ADJ 
transmission, NOUN 
techniques, NOUN 
waves, NOUN 

, SPACE 
propagating, VERB 
plate, NOUN 
reduce, VERB 
amplitude, NOUN 
result, NOUN 

, SPACE 
attenuation, NOUN 
material, NOUN 
proportion, NOUN 
wave, NOUN 
energy, NOUN 
leaking, VERB 

, SPACE 
fluid, NOUN 
surrounding, VERB 
plate, NOUN 
known, VERB 
radiation, NOUN 
radiatedwaves, NOUN 
detected, VERB 
receiving, VERB 
ultrasound, NOUN 
transducer, NOUN 
reduce, VERB 
amplitude, NOUN 
withdistance, NOUN 
Measurements, NOUN 
amplitude, NOUN 
propagation, NOUN 
distance, NOUN 

, SPACE 
evaluate, VERB 
effective, ADJ 
attenuation, NOUN 
ultrasound, NOUN 
plate, NOUN 

, SPACE 
addition, NOUN 
discontinuity, NOUN 
plate, NOUN 
fracture, NOUN 
theamplitude, NOUN 
wave, NOUN 
transmitted, VERB 
discontinuity, NOUN 
reduced, VERB 

, SPACE 
measuring, VERB 
reradiated, ADJ 
wave, NOUN 
transmission, NOUN 
loss, NOUN 
discontinuity, NOUN 

, SPACE 
measured, VERB 

, SPACE 
general, ADJ 
description, NOUN 
apparatus, NOUN 
method, NOUN 
calculate, VERB 

, SPACE 
signal, ADJ 
loss, NOUN 
simple, ADJ 
fracture, NOUN 
given, VERB 
followed, VERB 
details, NOUN 
specific, ADJ 

, SPACE 
material, NOUN 
experiments, NOUN 
parameters, NOUN 
numerical, ADJ 

, SPACE 
simulation, NOUN 
studies, NOUN 

, SPACE 
Experimental, ADJ 
procedures, NOUN 

, SPACE 
measure, VERB 
ultrasound, NOUN 
velocity, NOUN 
attenuation, NOUN 
axial, ADJ 
transmission, NOUN 

, SPACE 
technique, NOUN 
employed, VERB 
20, NUM 
mm, NOUN 
diameter, NOUN 
200, NUM 
kHz, VERB 
unfocussed, ADJ 

, SPACE 
transducers, NOUN 
acting, VERB 
source, NOUN 
receiver, NOUN 
Fig, PROPN 
1, NUM 

, SPACE 
shows, VERB 
geometry, NOUN 
axial, ADJ 
transmission, NOUN 
technique, NOUN 
cycle, NOUN 
tone, NOUN 
burstgenerated, VERB 
Agilent, PROPN 
33210A, PROPN 
function, NOUN 
generator, NOUN 
amplified, VERB 
50, NUM 
dB, NUM 
wasapplied, VERB 
fixed, VERB 
source, NOUN 
transducer, NOUN 
T, NOUN 
Fig, PROPN 
1, NUM 
specimens, NOUN 

, SPACE 
transducers, NOUN 
immersed, VERB 
tank, NOUN 
distilled, ADJ 
water, NOUN 
source, NOUN 
thereceiver, NOUN 
positioned, VERB 
predetermined, VERB 
height, NOUN 
h, PROPN 
particular, ADJ 

, SPACE 
specimen, NOUN 
thickness, NOUN 
d, X 
investigation, NOUN 
acoustic, ADJ 
axis, ADJ 

, SPACE 
perpendicular, ADJ 
specimen, NOUN 
surface, NOUN 
initial, ADJ 
separation, NOUN 
transmitter, NOUN 

, SPACE 
receiver, ADJ 
denoted, VERB 
x, PROPN 

, SPACE 
0, NUM 
sufficient, ADJ 
avoid, VERB 
signal, NOUN 
interference, NOUN 

, SPACE 
direct, ADJ 
water, NOUN 
borne, NOUN 
waves, NOUN 
receiving, NOUN 
transducer, NOUN 
R, NOUN 
moved, VERB 

, SPACE 
specified, VERB 
distance, NOUN 
1, NUM 
mm, NOUN 
intervals, NOUN 
linear, ADJ 
stepper, NOUN 
motor, NOUN 
rig, NOUN 

, SPACE 
transducer, NOUN 
separation, NOUN 
x, PROPN 
measured, VERB 
optical, ADJ 
encoder, NOUN 
accuracy±1, NOUN 

, SPACE 
separation, NOUN 
limited, VERB 
specimen, NOUN 
dimensions, NOUN 
received, VERB 
signalswere, ADV 
filtered, VERB 
amplified, VERB 
captured, VERB 
digital, ADJ 
oscilloscope, NOUN 

, SPACE 
averaged, VERB 
128, NUM 
waveforms, NOUN 
Amplitudes, NOUN 
peak, NOUN 
interval, NOUN 

, SPACE 
recorded, VERB 
experimental, ADJ 
procedure, NOUN 
repeated, VERB 
times, NOUN 
theresulting, NOUN 
data, NOUN 
averaged, VERB 
calculate, VERB 
arrival, NOUN 
signal, NOUN 
FAS)attenuation, NOUN 
slope, NOUN 
curve, NOUN 
attenuation, NOUN 
data, NOUN 
plotted, VERB 

, SPACE 
sound, ADJ 
pressure, NOUN 
level, NOUN 
SPL, PROPN 
decibels, NOUN 
versus, ADP 
transducer, NOUN 
separation, NOUN 
m, PROPN 

, SPACE 
SPLðxÞ¼20log, PROPN 
ðVðxÞ, PROPN 
=, NOUN 
Vðx, PROPN 

, SPACE 
0ÞÞ, PROPN 
ð, NOUN 
1Þ, NOUN 

, SPACE 
V(x0, ADV 
arrival, NOUN 
signal, NOUN 
voltage, NOUN 
x, NOUN 
=, X 
x, SYM 
0andV(x, NUM 
voltage, NOUN 

, SPACE 
measurement, NOUN 
position, NOUN 
x., PROPN 

, SPACE 
new, ADJ 
parameter, NOUN 
defined, VERB 
equation, NOUN 
1, NUM 
quantify, VERB 
effect, NOUN 

, SPACE 
amplitude, NOUN 
SPL, PROPN 
x, PROPN 
introducing, VERB 
discontinuity, NOUN 
specimen, NOUN 
i.e., X 
simulating, VERB 

, SPACE 
fracture, NOUN 
difference, NOUN 
sound, ADJ 
pressure, NOUN 
levels, NOUN 
expressed, VERB 
Fracture, PROPN 

, SPACE 
Transmission, PROPN 
Loss, PROPN 
FTL, PROPN 
given, VERB 
measurement, NOUN 
position, NOUN 
xis, PROPN 
calculated, VERB 

, SPACE 
FTL¼/C0, NOUN 
ð, PROPN 
SPL, PROPN 
FðxÞ, PROPN 
C0SPL, PROPN 
IðxÞÞ, PROPN 
ð2Þ, PROPN 

, SPACE 
subscript, NOUN 
denotes, VERB 
intact, ADJ 
specimen, NOUN 
F, PROPN 
fractured, ADJ 
specimen, NOUN 

, SPACE 
parameters, NOUN 
paper, NOUN 
notation, NOUN 
Eq, PROPN 
2, NUM 
areduction, NOUN 
signal, NOUN 
result, NOUN 
fracture, NOUN 
rise, NOUN 
positive, ADJ 
FTL, PROPN 

, SPACE 
Sawbones, NOUN 
®, NOUN 
plates, NOUN 

, SPACE 
Sawbones, NOUN 
®, NOUN 
plates, NOUN 
consisting, VERB 
E, NOUN 
glass, NOUN 
fibre, NOUN 
epoxy, NOUN 
resin, NOUN 

, SPACE 
demonstrate, VERB 
sensitivity, NOUN 
arrival, NOUN 
signal, NOUN 
attenuation, NOUN 

, SPACE 
introduction, NOUN 
simple, ADJ 
transverse, NOUN 
fracture, NOUN 
Path, NOUN 
difference, NOUN 
immersionmeasurements, NOUN 
estimate, VERB 
longitudinal, ADJ 
velocity, NOUN 
3300, NUM 
m, PROPN 
s, PROPN 

, SPACE 
Sawbones, NOUN 
®, NOUN 
material, NOUN 
shear, ADJ 
velocity, NOUN 
1600, NUM 
m, PROPN 
s, PROPN 
determined, VERB 

, SPACE 
longitudinal, ADJ 
velocity, NOUN 
estimated, VERB 
Poisson, PROPN 
ratio, NOUN 
based, VERB 
typical, ADJ 
values, NOUN 
forplastics, NOUN 
20, NUM 
plate, NOUN 
density, NOUN 
quoted, VERB 
Sawbones, PROPN 
®, NOUN 
manufacturer, NOUN 

, SPACE 
1700, NUM 
kg, PROPN 
m, PROPN 

, SPACE 
3, X 
Plate, NOUN 
1, NUM 
average, ADJ 
thickness, NOUN 
d, X 
6.08±0.05, PROPN 
mm, PROPN 

, SPACE 
baseline, NOUN 
measurements, NOUN 
i.e., X 
simulating, VERB 
intact, ADJ 
cortex, NOUN 
plate, NOUN 
2, NUM 

, SPACE 
average, ADJ 
thickness, NOUN 
6.12±0.03, PROPN 
mm, NOUN 
cut, VERB 
close, ADJ 
midpoint, NOUN 
thelongest, ADJ 
plate, NOUN 
dimension, NOUN 
simulate, VERB 
transverse, ADJ 
fracture, NOUN 
transducers, NOUN 
wereinitially, ADV 
positioned, VERB 
fractured, ADJ 
plate, NOUN 
receiving, VERB 
transducer, NOUN 

, SPACE 
R, NOUN 
positioned, VERB 
line, NOUN 
start, NOUN 
fracture, NOUN 
denoted, VERB 
dashed, VERB 

, SPACE 
line, NOUN 
Fig, PROPN 
1, NUM 
vitro, X 
experiments, NOUN 
x, PROPN 

, SPACE 
0was, AUX 
set, VERB 
80, NUM 
mm, NOUN 
hto, NOUN 
3, NUM 
mm, NOUN 

, SPACE 
size, NOUN 
plates, NOUN 
160×460, NUM 
mm, NOUN 
large, ADJ 
avoid, VERB 
signalinterference, NOUN 
edge, NOUN 
reflections, NOUN 
receiving, NOUN 
transducer, NOUN 
scanned, VERB 

, SPACE 
50, NUM 
mm, NOUN 
transverse, ADJ 
fracture, ADJ 
gaps, NOUN 
simulations, NOUN 
widths, NOUN 

, SPACE 
w)=2, PROPN 
6, NUM 
10, NUM 
mm, NUM 

, SPACE 
Bovine, PROPN 
femur, NOUN 

, SPACE 
Measurements, NOUN 
bovine, ADJ 
femur, NOUN 
sourced, VERB 
local, ADJ 
abattoir, NOUN 

, SPACE 
performed, VERB 
anterior, ADJ 
lateral, ADJ 
region, NOUN 
diaphysis, NOUN 
proximal, ADJ 

, SPACE 
distal, ADJ 
epiphyses, NOUN 
overlying, ADJ 
soft, ADJ 
tissue, NOUN 
removed, VERB 
region, NOUN 

, SPACE 
cortex, NOUN 
approximately, ADV 
constant, ADJ 
thickness, NOUN 
6.2±0.4, NUM 
mm, NOUN 
flatter, PROPN 

, SPACE 
circumferential, ADJ 
surface, NOUN 
compared, VERB 
rest, NOUN 
bone, NOUN 
measurementdistance, NOUN 
marrow, NOUN 
removed, VERB 
bone, NOUN 
halved, VERB 
long, ADJ 
axisdirection, NOUN 
Fig, PROPN 
2, NUM 
ultrasonic, ADJ 
source, NOUN 
positioned, VERB 
close, ADJ 
possible, ADJ 

, SPACE 
bone, NOUN 
surface, NOUN 
30, NUM 
mm, NOUN 
distal, ADJ 
end, NOUN 
bone, NOUN 

, SPACE 
x, PROPN 

, SPACE 
0=40, NUM 
mm, NOUN 
receiving, NOUN 
transducer, NOUN 
scanned, VERB 
40, NUM 
mm, NUM 
slight, ADJ 

, SPACE 
concave, ADJ 
nature, NOUN 
cortical, ADJ 
bone, NOUN 
surface, NOUN 
long, ADJ 
axis, ADJ 
direction, NOUN 
thereceiving, VERB 
transducer, NOUN 
maximum, ADJ 
height, NOUN 
2, NUM 
3, NUM 
mm, NOUN 

, SPACE 
bone, NOUN 
surface, NOUN 
measurement, NOUN 
taken, VERB 
height, NOUN 
decreased, VERB 

, SPACE 
measurement, NOUN 
distance, NOUN 
increased, VERB 
initial, ADJ 
positions, NOUN 
transducer, NOUN 
centreswere, NOUN 
marked, VERB 
bone, NOUN 
allow, VERB 
consistent, ADJ 
measurements, NOUN 
performed, VERB 

, SPACE 
Fig, PROPN 
1, NUM 
geometric, ADJ 
representation, NOUN 
axial, ADJ 
transmission, NOUN 
apparatus, NOUN 
showingthe, PROPN 
water, PROPN 
test, NOUN 
plate, NOUN 
T, PROPN 
R, PROPN 
represent, VERB 
transmitting, VERB 
receiving, VERB 

, SPACE 
transducers, NOUN 
respectively, ADV 
x, SYM 

, SPACE 
0,x, PROPN 
d, PROPN 
handware, VERB 
initial, ADJ 
transducer, NOUN 
separation, NOUN 

, SPACE 
transducer, NOUN 
separation, NOUN 
test, NOUN 
plate, NOUN 
thickness, NOUN 
height, NOUN 
transducer, NOUN 
face, NOUN 
abovethe, DET 
plate, NOUN 
fracture, ADJ 
gap, NOUN 
width, NOUN 
respectively, ADV 
dotted, ADJ 
line, NOUN 
point, NOUN 

, SPACE 
represents, VERB 
starting, NOUN 
position, NOUN 
receiving, NOUN 
ultrasound, NOUN 
transducer, NOUN 

, SPACE 
arrow, NOUN 
shows, VERB 
direction, NOUN 
receiving, VERB 
transducer, NOUN 
motion.657, NOUN 
S.P, PROPN 
Dodd, PROPN 
et, PROPN 
al, PROPN 
Bone, NOUN 
40, NUM 
2007, NUM 
656, NUM 
661, NUM 

, SPACE 
fracture, NOUN 
introduced, VERB 
Subsequently, ADV 
simple, ADJ 
transverse, NOUN 
fracture, NOUN 

, SPACE 
cut, VERB 
approximately, ADV 
perpendicular, ADJ 
long, ADJ 
axis, NOUN 
distance, NOUN 
80, NUM 
mmfrom, NOUN 
distal, ADJ 
end, NOUN 
bone, NOUN 
procedure, NOUN 
repeated, VERB 
femur, NOUN 

, SPACE 
frozen, ADJ 
thawed, VERB 
number, NOUN 
times, NOUN 
measurement, NOUN 
period, NOUN 
Initial, ADJ 

, SPACE 
measurements, NOUN 
showed, VERB 
process, NOUN 
affected, VERB 
attenuation, NOUN 
bonewas, PROPN 
fully, ADV 
thawed, VERB 
number, NOUN 
hours, NOUN 
attenuation, NOUN 
data, NOUN 
remain, VERB 

, SPACE 
constant, ADJ 
bone, NOUN 
immersed, VERB 
water, NOUN 
12, NUM 
h, NOUN 

, SPACE 
set, NOUN 
measurements, NOUN 
performed, VERB 
different, ADJ 
fracture, ADJ 
gap, NOUN 
sizes, NOUN 
weretested, VERB 
ranging, VERB 
1, NUM 
10, NUM 
mm, NUM 

, SPACE 
Numerical, PROPN 
simulation, NOUN 

, SPACE 
experimental, ADJ 
axial, ADJ 
transmission, NOUN 
technique, NOUN 
simulated, VERB 
2, NUM 
D, NOUN 

, SPACE 
Finite, PROPN 
Difference, PROPN 
code, NOUN 
Wave2000, PROPN 
Pro, PROPN 
Cyberlogic, PROPN 
USA, PROPN 
Material, NOUN 
density, NOUN 

, SPACE 
acoustic, ADJ 
values, NOUN 
simulations, NOUN 
bovine, ADJ 
cortical, ADJ 
bone, NOUN 
ρ=2000, NUM 
kg, PROPN 
m3, PROPN 

, SPACE 
VL=4200, PROPN 
m, PROPN 
s, PROPN 
VS=2000, PROPN 
m, PROPN 
s, PROPN 
based, VERB 
average, ADJ 
data, NOUN 
gathered, VERB 

, SPACE 
literature, NOUN 
21–23, NUM 
values, NOUN 
Sawbones, PROPN 
®, NOUN 
material, NOUN 

, SPACE 
ρ=1700, CCONJ 
kg, PROPN 
m3,VL=3300, PROPN 
m, PROPN 
s, PROPN 
VS=1600, PROPN 
m, PROPN 
s., PROPN 
material, NOUN 
damping, VERB 

, SPACE 
included, VERB 
simulations, NOUN 
lack, NOUN 
reliable, ADJ 
data, NOUN 
frequencies, NOUN 
around200, NOUN 
kHz, VERB 
materials, NOUN 
source, NOUN 
receiver, ADJ 
configuration, NOUN 
general, ADJ 

, SPACE 
simulation, NOUN 
geometry, NOUN 
previously, ADV 
described, VERB 
14, NUM 
Sawbones, PROPN 

, SPACE 
®, NOUN 

, SPACE 
plate, NOUN 
simulations, NOUN 
test, NOUN 
plate, NOUN 
thickness, NOUN 
6.1, NUM 
mm, PROPN 
positioned, VERB 
4, NUM 
mm, NUM 

, SPACE 
surface, NOUN 
simulated, ADJ 
water, NOUN 
region, NOUN 
source, NOUN 
receiverswere, ADV 
positioned, VERB 
water, NOUN 
region, NOUN 
h=3, PROPN 
mm, PROPN 
initial, ADJ 
transducer, NOUN 

, SPACE 
separation, NOUN 
x, PUNCT 

, SPACE 
0=80, NUM 
mm, PROPN 
accordance, NOUN 
experimental, ADJ 
procedure, NOUN 
similar, ADJ 

, SPACE 
configuration, NOUN 
bovine, ADJ 
femur, ADJ 
models, NOUN 
femoral, ADJ 
cortex, NOUN 
wasapproximated, VERB 
isotropic, ADJ 
flat, ADJ 
plate, NOUN 
thickness, PROPN 
d=6.2, PROPN 
mm, PROPN 
h=3, PROPN 
mm, PROPN 

, SPACE 
x, NOUN 

, SPACE 
0=40, NUM 
mm, NOUN 
Measurement, PROPN 
ranges, NOUN 
simulations, NOUN 
matched, VERB 

, SPACE 
experiments, NOUN 
simulation, NOUN 
data, NOUN 
processed, VERB 
way, NOUN 

, SPACE 
experimental, ADJ 
FAS, PROPN 
amplitude, NOUN 
data, NOUN 

, SPACE 
Results, NOUN 

, SPACE 
Sawbones, NOUN 
®, NOUN 
plates, NOUN 

, SPACE 
Fig, PROPN 
3, NUM 
shows, VERB 
experimental, ADJ 
results, NOUN 
change, NOUN 
peak, NOUN 

, SPACE 
amplitude, NOUN 
sound, ADJ 
pressure, NOUN 
level, NOUN 
SPL, PROPN 
Sawbones, PROPN 
®, NOUN 
platesas, VERB 
function, NOUN 
transducer, NOUN 
separation, NOUN 
fracture, ADJ 
gap, NOUN 
width, NOUN 
characteristic, ADJ 
curves, NOUN 
split, VERB 
regions, NOUN 
asindicated, VERB 
dashed, VERB 
lines, NOUN 
Fig, PROPN 
3, NUM 
region, NOUN 
1, NUM 

, SPACE 
measurements, NOUN 
taken, VERB 
beginning, NOUN 
fracture, ADJ 
thebaseline, NOUN 
i.e., X 
intact, ADJ 
plate, NOUN 
fracture, VERB 
curves, NOUN 
approximately, ADV 

, SPACE 
coincide, NOUN 
small, ADJ 
difference, NOUN 
slopes, NOUN 
attributed, VERB 
thetwo, VERB 
different, ADJ 
plates, NOUN 
second, ADJ 
region, NOUN 
increase, NOUN 

, SPACE 
amplitude, NOUN 
peak, NOUN 
occurs, VERB 
relative, ADJ 
baseline, NOUN 
data, NOUN 
signifying, VERB 
interference, NOUN 
region, NOUN 
increase, NOUN 
gap, NOUN 
sizeof, VERB 
