EUFWIER, PROPN 
conditions, NOUN 
established, VERB 
deposition, NOUN 
Sic, PROPN 
C, NOUN 
mixed, ADJ 
phase, NOUN 
turned, VERB 

, SPACE 
CH,-SiCl,-HZ, PROPN 
C, PROPN 
H*--SiCI,-Ar, PROPN 
C, PROPN 
Hs, PROPN 
SiCl,-Ar, PROPN 
H, PROPN 
systems, NOUN 
suitable, ADJ 
deposition, NOUN 
Sic, NOUN 
rich, ADJ 
layers, NOUN 

, SPACE 
C, NOUN 
rich, ADJ 
layers, NOUN 
layers, NOUN 
respectively, ADV 

, SPACE 
Keywords, NOUN 
Functionally, ADV 
gradient, ADJ 
materials, NOUN 
Composites, PROPN 
CVD, PROPN 
Silicon, PROPN 
carbide, PROPN 
carbon, NOUN 

, SPACE 
1, NUM 
Introduction, NOUN 

, SPACE 
concept, NOUN 
functionally, ADV 
gradient, ADJ 
materi-, NOUN 

, SPACE 
als, NOUN 
FGMs, PROPN 
proposed, VERB 
1984, NUM 
l, X 
numerous, ADJ 

, SPACE 
researchers, NOUN 
2, NUM 
51, NUM 
Sic, PROPN 
C, PROPN 
FGMs, NOUN 
per-, X 

, SPACE 
formed, VERB 
applications, NOUN 
thermal, ADJ 
shock, NOUN 
resistant, ADJ 

, SPACE 
materials, NOUN 
Koizumi, PROPN 
6, NUM 
reported, VERB 
300, NUM 
mm, NOUN 
square, ADJ 

, SPACE 
shell, NOUN 
sample, NOUN 
SiC/‘C, PROPN 
FGM, PROPN 
base, NOUN 

, SPACE 
fuselage, NOUN 
space, NOUN 
planes, NOUN 
50, NUM 
mm, NOUN 
diameter, NOUN 

, SPACE 
semispherical, ADJ 
bowl, NOUN 
nose, NOUN 
cone, NOUN 
success-, NOUN 

, SPACE 
fully, ADV 
fabricated, VERB 
tested, VERB 
1992, NUM 
turned, VERB 

, SPACE 
able, ADJ 
withstand, VERB 
maximum, ADJ 
temperature, NOUN 

, SPACE 
2000, NUM 
K, PROPN 
temperature, NOUN 
difference, NOUN 
1000, NUM 
K., PROPN 

, SPACE 
l, NOUN 
Corresponding, PROPN 
author, NOUN 
reported, VERB 
Sic, PROPN 
C, PROPN 
FGMs, PROPN 
synthesized, VERB 

, SPACE 
chemical, ADJ 
vapor, NOUN 
deposition, NOUN 
CVD, PROPN 
varying, VERB 

, SPACE 
Si, PROPN 
C, NOUN 
ratio, NOUN 
source, NOUN 
gas, NOUN 
7, NUM 
lo, X 
Despite, SCONJ 

, SPACE 
H,/[C, NOUN 
+, PROPN 
Si, PROPN 
ratio, NOUN 
critically, ADV 
affects, VERB 
carbon, NOUN 
contents, NOUN 

, SPACE 
deposited, VERB 
layers, NOUN 
report, NOUN 

, SPACE 
effects, NOUN 
H,/[C, NOUN 
+, PROPN 
Si, PROPN 
ratio, NOUN 
input, NOUN 
gas, NOUN 

, SPACE 
composition, NOUN 
df, NOUN 
Sic, PROPN 
C, PROPN 
FGMs, NOUN 
previous, ADJ 
re-, ADP 

, SPACE 
ports, NOUN 
hardly, ADV 
applicable, ADJ 
commercialization, NOUN 

, SPACE 
deposition, NOUN 
temperature, NOUN 
high, ADJ 

, SPACE 
1773, NUM 
K, PROPN 
total, ADJ 
gas, NOUN 
pressure, NOUN 
low, ADJ 

, SPACE 
Furthermore, ADV 
published, VERB 
data, NOUN 
ambiguous, ADJ 

, SPACE 
difficult, ADJ 
determine, VERB 
optimum, ADJ 
condi-, ADJ 

, SPACE 
tion, NOUN 
deposition, NOUN 
Sic, PROPN 
C, PROPN 
FGMs, NOUN 

, SPACE 
tried, VERB 
deposit, VERB 
Sic, PROPN 
C, PROPN 
FGMs, PROPN 
graphite, PROPN 
sub-, PROPN 

, SPACE 
strates, NOUN 
lower, ADJ 
temperatures, NOUN 
higher, ADJ 
total, ADJ 
gas, NOUN 

, SPACE 
pressure, NOUN 
pure, ADJ 
source, NOUN 
gases, NOUN 
effects, NOUN 

, SPACE 
00167, NUM 
577X/96/$12.00, NUM 
8, NUM 
1996, NUM 
Elsevier, PROPN 
Science, PROPN 
B.V., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
SSDI, PROPN 
00167, NUM 
577X(95)00228, NUM 
6, NUM 

, SPACE 
250, NUM 
Y., PROPN 
Kim, PROPN 
et, PROPN 
al, PROPN 
Materials, NOUN 
Letters, PROPN 
26, NUM 
1996, NUM 
249, NUM 
257, NUM 

, SPACE 
C/[C, PROPN 
+, PROPN 
Si, PROPN 
H2/[C, PROPN 
+, PROPN 
Si, PROPN 
ratios, NOUN 
input, NOUN 

, SPACE 
gas, NOUN 
deposit, NOUN 
layers, NOUN 
studied, VERB 

, SPACE 
2, X 
Experimental, PROPN 

, SPACE 
Propane, PROPN 
methane, NOUN 
bubbled, ADJ 
silicon, NOUN 
tetra, NOUN 
chlo-, NOUN 

, SPACE 
ride, NOUN 
source, NOUN 
gases, NOUN 
carrier, NOUN 
gas, NOUN 

, SPACE 
hydrogen, NOUN 
atmosphere, NOUN 
gases, NOUN 
hydrogen, NOUN 

, SPACE 
argon, PROPN 
Argon, PROPN 
nitrogen, NOUN 
gases, NOUN 

, SPACE 
purging, NOUN 
hot, ADJ 
wall, NOUN 
type, NOUN 
CVD, PROPN 
reactor, NOUN 

, SPACE 
deposition, NOUN 
FGMs, NOUN 
graphite, NOUN 
substrate, NOUN 

, SPACE 
Deposition, PROPN 
temperature, NOUN 
fixed, VERB 
1573, NUM 
K, PROPN 
com-, NOUN 

, SPACE 
mercially, ADV 
manageable, ADJ 
temperature, NOUN 
Sic, PROPN 
C, PROPN 

, SPACE 
ratio, NOUN 
changed, VERB 
controlling, VERB 
flows, NOUN 

, SPACE 
source, NOUN 
atmospheric, ADJ 
gases, NOUN 
stepwise, ADJ 
fashion, NOUN 

, SPACE 
mass, ADJ 
flow, NOUN 
controllers, VERB 
WFCs, NOUN 
total, ADJ 
gas, NOUN 

, SPACE 
pressure, NOUN 
P, NOUN 
deposition, NOUN 
1.3, NUM 

, SPACE 
6.5, NUM 
kPa, NOUN 

, SPACE 
deposition, NOUN 
Sic, NOUN 
rich, ADJ 
phases, NOUN 

, SPACE 
propane, NOUN 
methane, NOUN 
C, PROPN 
source, NOUN 
gas, NOUN 

, SPACE 
deposition, NOUN 
rate, NOUN 
slightly, ADV 
higher, ADJ 

, SPACE 
propane, NOUN 
gas, NOUN 
differ-, ADJ 

, SPACE 
ence, NOUN 
chemical, NOUN 
physical, ADJ 
properties, NOUN 

, SPACE 
deposit, NOUN 
deposition, NOUN 
Sic, PROPN 
C, NOUN 
nanocomposite, ADJ 

, SPACE 
layers, NOUN 
gas, NOUN 
flows, NOUN 
propane, NOUN 
silicon, NOUN 
tetra, NOUN 
chlo-, NOUN 

, SPACE 
ride, NOUN 
hydrogen, NOUN 
argon, PROPN 
carefully, ADV 
controlled, VERB 

, SPACE 
stepwise, NOUN 
schedules, NOUN 
deposition, NOUN 
C, NOUN 
rich, ADJ 

, SPACE 
phases, NOUN 
propane, NOUN 
gas, NOUN 
argon-, ADJ 

, SPACE 
rich, ADJ 
atmosphere, NOUN 
carbon, NOUN 
deposition, NOUN 
rate, NOUN 

, SPACE 
methane, NOUN 
gas, NOUN 
low, ADJ 
hydrogen, NOUN 

, SPACE 
atmosphere, NOUN 

, SPACE 
X, NOUN 
ray, NOUN 
diffractometer, NOUN 
XRD, PROPN 

, SPACE 
phase, NOUN 
analysis, NOUN 
scanning, VERB 
electron, NOUN 
microscope, NOUN 

, SPACE 
@EM, PROPN 
equipped, VERB 
energy, NOUN 
dispersive, NOUN 
spec-, X 

, SPACE 
trometer, NOUN 
EDS, PROPN 
wavelength, NOUN 
dispersive, ADJ 
spec-, X 

, SPACE 
trometer, NOUN 
WDS, PROPN 
microstructural, ADJ 

, SPACE 
observations, NOUN 
deposit, NOUN 
fracture, VERB 
sur-, ADJ 

, SPACE 
faces, NOUN 
compositional, ADJ 
microanalysis, NOUN 

, SPACE 
deposit, NOUN 
layer, NOUN 

, SPACE 
3, X 
Results, NOUN 

, SPACE 
3.1, NUM 
CH,-SiCl,-H, ADJ 
system, NOUN 

, SPACE 
3.1, NUM 
.I., NUM 
EfSect, PROPN 
C/[C, PROPN 
+, CCONJ 
Sil, PROPN 
ratio, NOUN 
deposits, NOUN 

, SPACE 
computer, NOUN 
calculation, NOUN 
chemical, ADJ 
species, NOUN 

, SPACE 
l, NOUN 
l, NOUN 
conditions, NOUN 
P, NOUN 
=, PRON 
1.3, NUM 
Wa, INTJ 
H,/[C, NOUN 
+, PROPN 
Si, PROPN 
=, SYM 
100, NUM 
pure, ADJ 
silicon, NOUN 
carbide, PROPN 
expected, VERB 

, SPACE 
deposited, VERB 
C/[C, PROPN 
+, PROPN 
Si, PROPN 
ratio, NOUN 
range, NOUN 
0.35, NUM 

, SPACE 
0.45, NUM 
range, NOUN 
mixtures, NOUN 
i.e., X 

, SPACE 
Sic, PROPN 
+, PUNCT 
Si, PROPN 
Sic, PROPN 
+, PROPN 
C, PROPN 
deposited, VERB 

, SPACE 
Based, VERB 
consideration, NOUN 
series, NOUN 

, SPACE 
single, ADJ 
layers, NOUN 
deposited, VERB 
C/[C, PROPN 
+, PROPN 
Si, PROPN 

, SPACE 
ratios, NOUN 
H.J[C, PROPN 
+, PROPN 
Si, PROPN 
ratio, NOUN 
flow, NOUN 
rate, NOUN 
SiCl, PROPN 

, SPACE 
+, PROPN 
CH, PROPN 
deposition, NOUN 
time, NOUN 
fixed, VERB 
20, NUM 
100, NUM 

, SPACE 
100, NUM 
min, NOUN 
respectively, ADV 
morphologies, NOUN 

, SPACE 
surfaces, NOUN 
corresponding, VERB 
fracture, ADJ 
surfaces, NOUN 

, SPACE 
coating, VERB 
layers, NOUN 
C/[C, PROPN 
+, PROPN 
Si, PROPN 
ratios, NOUN 

, SPACE 
shown, VERB 
Fig, PROPN 
1, NUM 
sharp, ADJ 
faceted, ADJ 
columnar, NOUN 

, SPACE 
structure, NOUN 
12,131, NUM 
typical, ADJ 
morphology, NOUN 

, SPACE 
CVD, PROPN 
Sic, PROPN 
observed, VERB 
C/[C, PROPN 
+, PROPN 
Si, PROPN 
=, X 
0.45, NUM 

, SPACE 
shown, VERB 
Fig, PROPN 
Id., NOUN 
sharp, ADJ 
facets, NOUN 
getting, VERB 

, SPACE 
smoother, ADJ 
changed, VERB 
rounded, ADJ 
columnar, ADJ 
grams, NOUN 

, SPACE 
higher, ADJ 
C/[C, PROPN 
+, PROPN 
Si, PROPN 
ratios, NOUN 
hand, NOUN 

, SPACE 
columnar, ADJ 
structure, NOUN 
disappeared, VERB 
lower, ADJ 
C/[C, PROPN 
+, PROPN 
Si, PROPN 

, SPACE 
ratios, NOUN 
instead, ADV 
large, ADJ 
grains, NOUN 
small, ADJ 
facets, NOUN 

, SPACE 
formed, VERB 
shown, VERB 
Fig, PROPN 
le, X 
illustrated, VERB 
series, NOUN 

, SPACE 
fracture, ADJ 
surfaces, NOUN 
highest, ADJ 
deposition, NOUN 
rate, NOUN 

, SPACE 
obtained, VERB 
C/[C, PROPN 
+, PROPN 
Si, PROPN 
=, SYM 
0.45, NUM 
deviation, NOUN 

, SPACE 
C/[C, PROPN 
+, PROPN 
Si, PROPN 
=, X 
0.45, NUM 
lower, ADJ 
rate, NOUN 

, SPACE 
relationship, NOUN 
C/[C, PROPN 
+, PROPN 
Si, PROPN 
ratio, NOUN 

, SPACE 
growth, NOUN 
rate, NOUN 
shown, VERB 
Fig, PROPN 
2, NUM 
fastest, ADJ 

, SPACE 
growth, NOUN 
rate, NOUN 
obtained, VERB 
range, NOUN 
0.4, NUM 
0.5, NUM 

, SPACE 
C/[C, PROPN 
+, PROPN 
Si, PROPN 
ratios, NOUN 
accord, NOUN 
stable, ADJ 

, SPACE 
region, NOUN 
pure, ADJ 
Sic, NOUN 
CVD, PROPN 
phase, NOUN 
diagram, NOUN 
111, NUM 

, SPACE 
thermodynamic, ADJ 
calculations, NOUN 
predicted, VERB 
Sic, PROPN 

, SPACE 
pyrolytic, ADJ 
carbon, NOUN 
co, VERB 
deposited, VERB 

, SPACE 
region, NOUN 
0.5, NUM 
1.0, NUM 
ratio, NOUN 

, SPACE 
deposition, NOUN 
layer, NOUN 
identified, VERB 
system, NOUN 
CH,-, PROPN 

, SPACE 
H, PROPN 
C/[C, PROPN 
+, PROPN 
Si, PROPN 
=, X 
1.0, NUM 
H2/[C, PROPN 
+, PROPN 
Si, PROPN 
=, SYM 
20, NUM 

, SPACE 
formation, NOUN 
hydrocarbons, NOUN 

, SPACE 
deposited, VERB 
pyrolytic, ADJ 
carbon, NOUN 
layer, NOUN 
etched, VERB 

, SPACE 
hydrogen, NOUN 
H,/[C, PROPN 
+, PROPN 
Si, PROPN 
ratios, NOUN 
higher, ADJ 
20, NUM 

, SPACE 
resulted, VERB 
hydrocarbons, NOUN 

, SPACE 
C/[C, PROPN 
+, PROPN 
Si, PROPN 
ratio, NOUN 
higher, ADJ 
0.5, NUM 
residual, ADJ 
carbon, NOUN 

, SPACE 
participate, VERB 
form, VERB 
Sic, PROPN 

, SPACE 
etched, VERB 
hydrogen, NOUN 
pyrolytic, ADJ 
carbon, NOUN 
con-, VERB 

, SPACE 
densed, VERB 
larger, ADJ 
C/[C, PROPN 
+, PROPN 
Si, PROPN 
ratio, NOUN 
smaller, ADJ 

, SPACE 
number, NOUN 
carbon, NOUN 
atoms, NOUN 
forming, VERB 
condensed, VERB 

, SPACE 
Sic, PROPN 
deposition, NOUN 
rate, NOUN 
reduced, VERB 

, SPACE 
Fig, PROPN 
3, NUM 
shows, VERB 
XRD, NOUN 
patterns, NOUN 
taken, VERB 
sam-, NOUN 

, SPACE 
ples, NOUN 
coated, VERB 
C/[C, PROPN 
+, PROPN 
Si, PROPN 
ratios, NOUN 

, SPACE 
C/[C, PROPN 
+, PROPN 
Si, PROPN 
ratios, NOUN 
P, PROPN 
Sic, PROPN 
peak, NOUN 
detected, VERB 

, SPACE 
ratios, NOUN 
0, NUM 
1, NUM 
preferred, ADJ 
orientation, NOUN 

, SPACE 
deposited, ADJ 
P, PROPN 
Sic, PROPN 
crystallites, NOUN 
examined, VERB 

, SPACE 
Y., PROPN 
Kim, PROPN 
et, NOUN 
al./Marerials, VERB 
Leners, NOUN 
26, NUM 
19, NUM 
249, NUM 
257, NUM 
2.51, NUM 

, SPACE 
XRD, PROPN 
peaks, NOUN 
111, NUM 
220, NUM 
planes, NOUN 

, SPACE 
@-Sic, PROPN 
detected, VERB 
main, ADJ 
peak, NOUN 
XRD, NOUN 

, SPACE 
analysis, NOUN 
Chin, PROPN 
121, NUM 
reported, VERB 
CVD, PROPN 
/I, PUNCT 
Sic, NOUN 
films, NOUN 

, SPACE 
exhibit, NOUN 
220, NUM 
preferred, ADJ 
orientation, NOUN 
high, ADJ 
deposition, NOUN 

, SPACE 
temperature, NOUN 
111, NUM 
low, ADJ 
temperature, NOUN 

, SPACE 
hand, NOUN 
Cheng, PROPN 
et, PROPN 
al, PROPN 
13, X 
claimed, VERB 
higher, ADJ 

, SPACE 
deposition, NOUN 
rate, NOUN 
longer, ADJ 
deposition, NOUN 
time, NOUN 
re-, ADP 

, SPACE 
sulted, VERB 
stronger, ADJ 
lendency, NOUN 
form, VERB 
2201, NUM 
preferred, ADJ 
orientation, NOUN 
layer, NOUN 
formed, VERB 
preferred, ADJ 

, SPACE 
orientation, NOUN 
220, NUM 
C/[C, PROPN 
+, PROPN 
Si, PROPN 
=, X 
0.35, NUM 
0.65, NUM 

, SPACE 
diffraction, NOUN 
peak, NOUN 
1111, NUM 
plane, NOUN 
main, ADJ 

, SPACE 
ranges, NOUN 
change, NOUN 
preferred, ADJ 

, SPACE 
orientation, NOUN 
depending, VERB 
C/[C, PROPN 
+, PROPN 
Si, PROPN 
ratio, NOUN 

, SPACE 
related, VERB 
growth, NOUN 
rate, NOUN 
deposited, VERB 
Sic, PROPN 

, SPACE 
film, NOUN 
shown, VERB 
Fig, PROPN 
2, NUM 
fastest, ADJ 
growth, NOUN 
rate, NOUN 

, SPACE 
occurred, VERB 
range, NOUN 
0.4, NUM 
0.5, NUM 
C/[C, PROPN 
+, PROPN 
Si, PROPN 

, SPACE 
Fig, PROPN 
1, NUM 
SEM, PROPN 
micrographs, NOUN 
surfaces, NOUN 
corresponding, VERB 
fracture, ADJ 
surfaces, NOUN 
coating, VERB 
layers, NOUN 
C/[C, PROPN 
+, PROPN 
Si, PROPN 
ratios, NOUN 

, SPACE 
C/[C, PROPN 
+, PROPN 
Si, PROPN 
b, X 
=, VERB 
0.1, NUM 
B, PROPN 
c, PROPN 
d, X 
=, VERB 
0.45, NUM 
e, NOUN 
f, PROPN 
=, VERB 
0.69, NUM 
g, PROPN 
h, PROPN 
=, VERB 
0.87, NUM 
respectively, ADV 

, SPACE 
252, NUM 

, SPACE 
1, NUM 
.a, NOUN 

, SPACE 
E, NOUN 
0.8, NUM 

, SPACE 
.Lf, NOUN 

, SPACE 
5, NUM 
0.G, NUM 

, SPACE 
QJ, PROPN 

, SPACE 
f, PROPN 

, SPACE 
s, VERB 
0.4, NUM 

, SPACE 
G, NOUN 
0.2, NUM 

, SPACE 
0.0, NUM 
Y., PROPN 
Kim, PROPN 
et, NOUN 
al./Materials, PROPN 
Letters, PROPN 
26, NUM 
19, NUM 
249, NUM 
257, NUM 

, SPACE 
0.0, NUM 
0.2, NUM 
0.4, NUM 
0.G, NUM 
0.8, NUM 

, SPACE 
CjC+Sl, X 
rallos, VERB 
input, NOUN 
gas, NOUN 
-I, NOUN 

, SPACE 
1.0, NUM 

, SPACE 
Fig, PROPN 
2, NUM 
Variation, NOUN 
growth, NOUN 
rate, NOUN 
Sic, PROPN 
C, NOUN 
layer, NOUN 

, SPACE 
C/[C, PROPN 
+, PROPN 
Si, PROPN 
ratios, NOUN 
input, NOUN 
gas, NOUN 

, SPACE 
ratio, NOUN 
higher, ADJ 
deposition, NOUN 
rate, NOUN 
stronger, ADJ 

, SPACE 
tendency, NOUN 
growth, NOUN 
220, NUM 
orientation, NOUN 

, SPACE 
faster, ADJ 
growth, NOUN 
rate, NOUN 
cause, VERB 
easier, ADJ 
growth, NOUN 
220, NUM 

, SPACE 
planes, NOUN 
growth, NOUN 
111, NUM 
planes, NOUN 
111, NUM 

, SPACE 
planes, NOUN 
close, ADJ 
packed, VERB 
planes, NOUN 
sphalerite, ADJ 

, SPACE 
structure, NOUN 
surface, NOUN 
energies, NOUN 
220, NUM 
planes, NOUN 

, SPACE 
higher, ADJ 
Ill, PROPN 

, SPACE 
C/[C, PROPN 
+, PROPN 
Si, PROPN 
ratios, NOUN 
higher, ADJ 
0.69, NUM 
weak, ADJ 

, SPACE 
graphite, NOUN 
peaks, NOUN 
detected, VERB 
graphite, NOUN 
peak, NOUN 

, SPACE 
come, VERB 
deposit, NOUN 
layers, NOUN 

, SPACE 
graphite, NOUN 
substrate, NOUN 
thicknesses, NOUN 

, SPACE 
deposited, VERB 
layers, NOUN 
thin, ADJ 
contrast, NOUN 

, SPACE 
expectation, NOUN 
equilibrium, NOUN 
weak, ADJ 
Si, PROPN 
111, NUM 
peak, NOUN 

, SPACE 
detected, VERB 
higher, ADJ 
C/[C, PROPN 
+, PROPN 
Si, PROPN 
ratios, NOUN 
14, NUM 
3.1.2, X 
Eflect, PROPN 
H2, PROPN 
IC, PROPN 
+, CCONJ 
Sil, PROPN 
ratio, NOUN 

, SPACE 
deposits, NOUN 

, SPACE 
thermodynamic, ADJ 
calculations, NOUN 
turned, VERB 

, SPACE 
thermodynamic, ADJ 
yields, NOUN 
free, ADJ 
carbon, NOUN 
in-, ADP 

, SPACE 
creased, VERB 
rapidly, ADV 
decreasing, VERB 
H, PROPN 
ratios, NOUN 
l, NOUN 
11, NUM 

, SPACE 
depositions, NOUN 
performed, VERB 

, SPACE 
H2/[C, PROPN 
+, PROPN 
Si, PROPN 
ratios, NOUN 
order, NOUN 
increase, VERB 
carbon, NOUN 

, SPACE 
contents, NOUN 
deposits, NOUN 
deposition, NOUN 
pa-, PROPN 

, SPACE 
rameters, NOUN 
fixed, VERB 
C/[C, PROPN 
+, PROPN 
Si, PROPN 
=, SYM 
0.56, NUM 
deposition, NOUN 

, SPACE 
temperature, NOUN 
=, NOUN 
1527, NUM 
K, NOUN 
Pt, PROPN 
=, PUNCT 
1.3, NUM 
6.5, NUM 
kPa, NOUN 
deposi-, ADJ 

, SPACE 
tion, NOUN 
time, NOUN 
=, PROPN 
100, NUM 
min, NOUN 

, SPACE 
Fig, PROPN 
4, NUM 
shows, VERB 
deposited, VERB 
surfaces, NOUN 
fracture, VERB 

, SPACE 
surfaces, NOUN 
layers, NOUN 
deposited, VERB 
H,/[C, ADV 
+, CCONJ 

, SPACE 
Si, PROPN 
ratios, NOUN 
faceted, ADJ 
morphology, NOUN 
observed, VERB 

, SPACE 
H&C, PROPN 
+, PROPN 
Si, PROPN 
=, X 
15, NUM 
10, NUM 
grain, NOUN 

, SPACE 
boundary, NOUN 
distinctive, ADJ 
rough, ADJ 
columnar, NOUN 

, SPACE 
structure, NOUN 
observed, VERB 
fracture, ADJ 
surfaces, NOUN 

, SPACE 
H&C, PROPN 
+, PROPN 
Si, PROPN 
=, X 
15, NUM 
10, NUM 
grains, NOUN 

, SPACE 
round, ADV 
H,/[C, NOUN 
+, PROPN 
Si, PROPN 
=, SYM 
5, NUM 
boundary, NOUN 

, SPACE 
grain, NOUN 
clear, ADJ 
H&C, PROPN 
+, PROPN 
Si, PROPN 
=, SYM 
1, NUM 

, SPACE 
surface, NOUN 
morphology, NOUN 
drastically, ADV 
changed, VERB 
peb-, NOUN 

, SPACE 
ble, ADJ 
structure, NOUN 
typical, ADJ 
morphology, NOUN 
amor-, ADJ 

, SPACE 
phous, ADJ 
CVD, PROPN 
Si, PROPN 
N, PROPN 
deposition, NOUN 
rate, NOUN 
slow, ADJ 

, SPACE 
thickness, NOUN 
deposit, NOUN 
layer, NOUN 
looked, VERB 

, SPACE 
like, ADP 
amorphous, ADJ 
1, NUM 
Frn, PROPN 

, SPACE 
addition, NOUN 
H&C, PROPN 
+, PROPN 
Si, PROPN 
ratio, NOUN 
de-, PROPN 

, SPACE 
creased, VERB 
surface, NOUN 
morphology, NOUN 
deposited, ADJ 
layers, NOUN 

, SPACE 
varied, ADJ 
depending, VERB 
deposit, NOUN 
position, NOUN 
phe-, NOUN 

, SPACE 
nomenon, NOUN 
observed, VERB 
H&C, PROPN 
+, PROPN 
Si, PROPN 

, SPACE 
20.00, NUM 
40.00, NUM 
60.00, NUM 
20.00, NUM 

, SPACE 
2e, PROPN 

, SPACE 
Fig, PROPN 
3, NUM 
XRD, NOUN 
patterns, NOUN 
taken, VERB 
specimens, NOUN 
coated, VERB 
C/[C, PROPN 
+, PROPN 
Si, PROPN 
ratios, NOUN 

, SPACE 
Y., PROPN 
Kim, PROPN 
et, NOUN 
al./Materials, PROPN 
Letters, PROPN 
26, NUM 
19961249, NUM 
257, NUM 
253, NUM 

, SPACE 
ratio, NOUN 
=, NOUN 
20, NUM 
position, NOUN 
1, NUM 
position, NOUN 
1, NUM 
nearest, ADJ 

, SPACE 
site, NOUN 
gas, NOUN 
inlet, NOUN 
larger, ADJ 
position, NOUN 
number, NOUN 

, SPACE 
away, ADV 
position, NOUN 
gas, NOUN 
inlet, NOUN 

, SPACE 
columnar, NOUN 
roundled, VERB 
grains, NOUN 
deposited, VERB 

, SPACE 
positions, NOUN 
2, NUM 
3, NUM 
faceted, ADJ 
grains, NOUN 
formed, VERB 

, SPACE 
Fig, PROPN 
lc, PROPN 
position, NOUN 
4, NUM 
needle, NOUN 
like, ADJ 
structure, NOUN 

, SPACE 
appeared, VERB 
changes, NOUN 
deposit, NOUN 
microstructure, NOUN 
depletion, NOUN 
effect, NOUN 
reactant, ADJ 
gas, NOUN 

, SPACE 
low, ADJ 
H2/[C, PROPN 
+, PROPN 
Si, PROPN 
ratio, NOUN 
partial, ADJ 
pressure, NOUN 

, SPACE 
reactant, ADJ 
gas, NOUN 
higher, ADJ 
leads, VERB 

, SPACE 
higher, ADJ 
degree, NOUN 
supersaturation, NOUN 
reactant, ADJ 
gas, NOUN 

, SPACE 
depletion, NOUN 
effect, NOUN 
reactant, ADJ 
gas, NOUN 
yielded, VERB 

, SPACE 
different, ADJ 
layer, NOUN 
morphology, NOUN 
depending, VERB 
de-, PROPN 

, SPACE 
posit, NOUN 
position, NOUN 

, SPACE 
Fig, PROPN 
4, NUM 
SEM, NOUN 
micrographs, VERB 
deposited, VERB 
surfaces, NOUN 
fracture, ADJ 
surfaces, NOUN 
Sic, PROPN 
C, PROPN 
layers, NOUN 
deposited, VERB 
H,/[C, NOUN 
+, ADJ 
Si, PROPN 
