ELSEVIER, NOUN 
modelling, NOUN 
entrance, NOUN 
flows, VERB 
film, NOUN 
cooling, VERB 
holes, NOUN 

, SPACE 
received, VERB 
attention, NOUN 
exit, NOUN 
flows, NOUN 
Leylek, ADJ 

, SPACE 
Zerkle, PROPN 
1993, NUM 
modelled, VERB 
entrance, NOUN 
exit, NOUN 
flows, VERB 
jet, NOUN 

, SPACE 
pipe, NOUN 
plenum, NOUN 
feed, VERB 
pipe, NOUN 
demonstrated, VERB 

, SPACE 
development, NOUN 
strong, ADJ 
secondary, ADJ 
flows, NOUN 
pipe, NOUN 

, SPACE 
modelling, NOUN 
film, NOUN 
cooling, VERB 
holes, NOUN 
turbine, NOUN 
blades, NOUN 
introduces, VERB 

, SPACE 
need, NOUN 
flexible, ADJ 
grid, NOUN 
systems, NOUN 
Meshes, NOUN 
adopting, VERB 
single, ADJ 

, SPACE 
structured, ADJ 
style, NOUN 
domain, NOUN 
incur, VERB 
large, ADJ 
overheads, NOUN 

, SPACE 
node, NOUN 
numbers, NOUN 
grid, NOUN 
lines, NOUN 
needed, VERB 
resolve, VERB 
holes, NOUN 

, SPACE 
extend, VERB 
way, NOUN 
domain, NOUN 
boundaries, NOUN 
provide, VERB 
exces-, NUM 

, SPACE 
sive, ADJ 
mesh, NOUN 
resolution, NOUN 
needed, VERB 
Benz, PROPN 
et, PROPN 
al, PROPN 
1993, NUM 

, SPACE 
modelled, VERB 
leading, VERB 
edge, NOUN 
film, NOUN 
cooling, VERB 
holes, NOUN 
slots, NOUN 
2, NUM 
D, ADJ 

, SPACE 
turbine, NOUN 
blade, NOUN 
multizone, ADJ 
grid, NOUN 
H, NOUN 
meshes, NOUN 
holes, NOUN 

, SPACE 
attached, VERB 
O, NOUN 
mesh, NOUN 
blade, NOUN 
periodic, ADJ 

, SPACE 
boundary, ADJ 
conditions, NOUN 
Choi, PROPN 
1993, NUM 
modelled, VERB 
row, NOUN 
film, NOUN 
cooling, VERB 

, SPACE 
holes, NOUN 
suction, NOUN 
turbine, NOUN 
blade, NOUN 
3, NUM 
D, ADJ 
slice, NOUN 

, SPACE 
blade, NOUN 
contained, VERB 
single, ADJ 
hole, NOUN 
Separate, ADJ 
overlapping, VERB 

, SPACE 
meshes, NOUN 
external, ADJ 
flow, NOUN 
flow, NOUN 

, SPACE 
near, ADP 
hole, NOUN 
Chimera, PROPN 
scheme, NOUN 
Steger, PROPN 
et, PROPN 
al, PROPN 
1983, NUM 

, SPACE 
communicate, VERB 
information, NOUN 
meshes, NOUN 

, SPACE 
present, ADJ 
contribution, NOUN 
extends, VERB 
mesh, NOUN 
embedding, VERB 
algo-, NOUN 

, SPACE 
rithm, NOUN 
Lapworth, PROPN 
1993, NUM 
provide, VERB 
flexible, ADJ 
grid, NOUN 
system, NOUN 

, SPACE 
film, NOUN 
cooling, VERB 
holes, NOUN 
grid, NOUN 
system, NOUN 
uses, VERB 
single, ADJ 
nonoverlapping, ADJ 

, SPACE 
mesh, NOUN 
internal, ADJ 
embedding, VERB 
interfaces, NOUN 
allow, VERB 
locally, ADV 
fine, ADJ 

, SPACE 
resolution, NOUN 
vicinity, NOUN 
hole, NOUN 
goal, NOUN 
numerical, ADJ 

, SPACE 
model, NOUN 
calculation, NOUN 
multiple, ADJ 
film, NOUN 
cooling, VERB 
holes, NOUN 
3, NUM 
D, ADJ 

, SPACE 
turbine, NOUN 
blades, NOUN 
including, VERB 
internal, ADJ 
cooling, NOUN 
passages, NOUN 
Mesh, PROPN 

, SPACE 
embedding, VERB 
key, ADJ 
tool, NOUN 
keeping, VERB 
node, NOUN 
numbers, NOUN 

, SPACE 
acceptable, ADJ 
computing, NOUN 
limits, NOUN 
ensuring, VERB 
optimal, ADJ 
mesh, NOUN 
reso-, X 

, SPACE 
lution, NOUN 
solution, NOUN 
adaptation, NOUN 
resolution, NOUN 

, SPACE 
individual, ADJ 
holes, NOUN 
likely, ADJ 
remain, VERB 
relatively, ADV 
sparse, ADJ 

, SPACE 
high, ADJ 
Reynolds, PROPN 
number, NOUN 
k, PROPN 
e, NOUN 
model, NOUN 
wall, NOUN 
functions, NOUN 

, SPACE 
chosen, VERB 
numerical, ADJ 
model, NOUN 
authors, NOUN 
acknowledge, VERB 

, SPACE 
model, NOUN 
unlikely, ADJ 
accurate, ADJ 
predictions, NOUN 

, SPACE 
aim, NOUN 
develop, VERB 
flexible, ADJ 
3, NUM 
D, ADJ 
mesh, NOUN 
embedding, VERB 
technique, NOUN 

, SPACE 
establish, VERB 
provides, VERB 
solutions, NOUN 
sufficient, ADJ 
accuracy, NOUN 

, SPACE 
use, NOUN 
engineering, NOUN 
design, NOUN 
environment, NOUN 
present, ADJ 
study, NOUN 
considered, VERB 
isotropic, ADJ 
turbulence, NOUN 
importance, NOUN 

, SPACE 
anisotropic, NOUN 
diffusivities, NOUN 
recognized, VERB 
planned, VERB 
future, ADJ 

, SPACE 
study, NOUN 
paper, NOUN 
mesh, NOUN 
embedding, NOUN 
model, VERB 

, SPACE 
entrance, NOUN 
flows, VERB 
single, ADJ 
100, NUM 
times, NOUN 
engine, NOUN 
scale, NOUN 
hole, NOUN 
ingesting, VERB 

, SPACE 
air, NOUN 
parallel, ADJ 
sided, ADJ 
duct, NOUN 
investigated, VERB 
experimentally, ADV 

, SPACE 
Byerley, PROPN 
1989, NUM 
flow, NOUN 
field, NOUN 
heat, NOUN 
transfer, NOUN 
modelled, VERB 

, SPACE 
hole, NOUN 
inclination, NOUN 
angles, NOUN 
30, NUM 
90, NUM 
°, NUM 
low, ADJ 
medium, ADJ 

, SPACE 
high, ADJ 
suction, NOUN 
ratios, NOUN 
mesh, NOUN 
embedding, VERB 
technique, NOUN 
pre-, ADV 

, SPACE 
sented, VERB 
section, NOUN 
followed, VERB 
numerical, PROPN 

, SPACE 
model, NOUN 
discussion, NOUN 
treatment, NOUN 
internal, ADJ 
embed-, ADJ 

, SPACE 
ding, NOUN 
interfaces, NOUN 
application, NOUN 
numerical, ADJ 
model, NOUN 
film-, VERB 

, SPACE 
cooling, VERB 
entrance, NOUN 
flows, NOUN 
described, VERB 
followed, VERB 

, SPACE 
numerical, ADJ 
results, NOUN 
compared, VERB 
experimental, ADJ 
mea-, ADJ 

, SPACE 
surements, NOUN 
Finally, ADV 
conclusions, NOUN 
drawn, VERB 
study, NOUN 

, SPACE 
Embedded, VERB 
mesh, NOUN 
model, NOUN 

, SPACE 
Mesh, PROPN 
structure, NOUN 

, SPACE 
flow, NOUN 
domain, NOUN 
covered, VERB 
single, ADJ 
nonoverlapping, ADJ 

, SPACE 
curvilinear, VERB 
H, NOUN 
style, NOUN 
mesh, NOUN 
contains, VERB 
locally, ADV 
embedded, VERB 
fine, ADJ 

, SPACE 
mesh, NOUN 
regions, NOUN 
embedded, VERB 
regions, NOUN 
created, VERB 
cell, NOUN 

, SPACE 
subdivision, NOUN 
process, NOUN 
divides, VERB 
cells, NOUN 

, SPACE 
mesh, NOUN 
directions, NOUN 
Figure, NOUN 
1, NUM 
shows, VERB 
cell, NOUN 

, SPACE 
divided, VERB 
mesh, NOUN 
directions, NOUN 
number, NOUN 
cells, NOUN 

, SPACE 
selected, VERB 
subdivision, NOUN 
constraint, NOUN 

, SPACE 
embedded, VERB 
regions, NOUN 
form, VERB 
defined, VERB 
blocks, NOUN 
criteria, NOUN 

, SPACE 
available, ADJ 
deciding, VERB 
cells, NOUN 
subdivide, VERB 

, SPACE 
1, X 
Geometric, PROPN 
embedding, VERB 
mesh, NOUN 
cells, NOUN 
adjacent, ADJ 
wall, NOUN 

, SPACE 
successively, ADV 
refined, VERB 
direction, NOUN 
normal, ADJ 
wall, NOUN 

, SPACE 
desired, VERB 
near, ADJ 
wall, NOUN 
spacing, NOUN 
achieved, VERB 

, SPACE 
2, X 
Block, VERB 
embedding, VERB 
User, NOUN 
defined, VERB 
regions, NOUN 
mesh, NOUN 

, SPACE 
refined, VERB 
directions, NOUN 

, SPACE 
3, X 
Solution, NOUN 
adaptation, NOUN 
Cells, NOUN 
measure, NOUN 
solu-, ADJ 

, SPACE 
tion, NOUN 
accuracy, NOUN 
greater, ADJ 
specified, ADJ 
threshold, NOUN 
refined, VERB 

, SPACE 
appropriate, ADJ 
direction, NOUN 
numerical, ADJ 
model, NOUN 
adapt, VERB 

, SPACE 
Notation, PROPN 

, SPACE 
discrete, ADJ 
coefficient, ADJ 
matrix, NOUN 

, SPACE 
b, PRON 
discrete, ADJ 
source, NOUN 
term, NOUN 

, SPACE 
cl, NOUN 
c, PROPN 
2, NUM 
c~, NUM 
coefficients, NOUN 
k, PROPN 
e, PROPN 
equations, NOUN 

, SPACE 
C, NOUN 
discrete, ADJ 
continuity, NOUN 
operator, NOUN 

, SPACE 
C, NOUN 
p, NOUN 
discrete, ADJ 
pressure, NOUN 
gradient, NOUN 
operator, NOUN 

, SPACE 
C, NOUN 
d, NOUN 
hole, NOUN 
discharge, NOUN 
coefficient, VERB 

, SPACE 
cp, PROPN 
specific, ADJ 
heat, NOUN 
constant, ADJ 
pressure, NOUN 

, SPACE 
D, ADJ 
film, NOUN 
cooling, VERB 
hole, NOUN 
diameter, NOUN 

, SPACE 
dS, PUNCT 
area, NOUN 
cell, NOUN 
face, VERB 

, SPACE 
G, NOUN 
generation, NOUN 
turbulent, ADJ 
kinetic, ADJ 
energy, NOUN 

, SPACE 
H, PROPN 
enthalpy, NOUN 

, SPACE 
linear, VERB 
interpolation, NOUN 
operator, NOUN 

, SPACE 
k, PROPN 
turbulent, ADJ 
kinetic, ADJ 
energy, NOUN 

, SPACE 
L, NOUN 
mixing, VERB 
length, NOUN 

, SPACE 
Nu, PROPN 
H, NOUN 
Nusselt, PROPN 
number, NOUN 
based, VERB 
duct, NOUN 
height, NOUN 

, SPACE 
Pr, PROPN 
Prandtl, PROPN 
number, NOUN 

, SPACE 
P0, PROPN 
stagnation, NOUN 
pressure, NOUN 

, SPACE 
p, NOUN 
static, ADJ 
pressure, NOUN 

, SPACE 
R, NOUN 
gas, NOUN 
constant, NOUN 

, SPACE 
H, PROPN 
Reynolds, PROPN 
number, NOUN 
based, VERB 
duct, NOUN 
height, NOUN 

, SPACE 
T, PROPN 
temperature, NOUN 

, SPACE 
u, NOUN 
velocity, NOUN 

, SPACE 
x, SYM 
Cartesian, PROPN 
coordinates, VERB 
Greek, PROPN 

, SPACE 
ct, NOUN 

, SPACE 
~ij, PUNCT 

, SPACE 
E, NOUN 

, SPACE 
tx, PRON 

, SPACE 
P, NOUN 

, SPACE 
O, INTJ 

, SPACE 
T, NOUN 

, SPACE 
~p, PUNCT 

, SPACE 
AV, PROPN 

, SPACE 
Subscripts, PROPN 

, SPACE 
cl, NOUN 

, SPACE 
j, PROPN 

, SPACE 

, SPACE 
l, NOUN 

, SPACE 
t, NOUN 

, SPACE 
H, PROPN 
l, NOUN 
H8, PROPN 

, SPACE 
N1, PROPN 
Ns, PROPN 

, SPACE 
k, PROPN 
e, NOUN 

, SPACE 
0, NUM 

, SPACE 
1, NUM 

, SPACE 
2, NUM 
hole, NOUN 
inclination, NOUN 
angle, NOUN 

, SPACE 
Kronecker, PROPN 
delta, NOUN 

, SPACE 
turbulent, ADJ 
dissipation, NOUN 
rate, NOUN 

, SPACE 
viscosity, NOUN 

, SPACE 
density, NOUN 

, SPACE 
Prandtl, PROPN 
number, NOUN 

, SPACE 
viscous, ADJ 
shear, NOUN 
stress, NOUN 
tensor, NOUN 

, SPACE 
general, ADJ 
transported, VERB 
variable, ADJ 

, SPACE 
cell, NOUN 
volume, NOUN 

, SPACE 
adaptation, NOUN 
parameter, NOUN 

, SPACE 
centerline, ADJ 
value, NOUN 

, SPACE 
tensor, NOUN 
components, NOUN 

, SPACE 
element, NOUN 
discrete, ADJ 
difference, NOUN 
stencil, NOUN 

, SPACE 
laminar, ADJ 
property, NOUN 

, SPACE 
turbulent, ADJ 
property, NOUN 

, SPACE 
hanging, VERB 
node, NOUN 
values, NOUN 
Figure, VERB 
la, PRON 

, SPACE 
regular, ADJ 
node, ADJ 
values, NOUN 
Figure, VERB 
la, PRON 

, SPACE 
property, NOUN 
associated, VERB 
k, PROPN 
e, PROPN 
model, NOUN 

, SPACE 
stagnation, NOUN 
property, NOUN 

, SPACE 
upstream, ADJ 
reference, NOUN 
location, NOUN 
duct, NOUN 
inlet, ADJ 

, SPACE 
film, NOUN 
cooling, VERB 
hole, NOUN 
exit, NOUN 
location, NOUN 

, SPACE 
156, NUM 
Int, PROPN 
J., PROPN 
Heat, PROPN 
Fluid, PROPN 
Flow, PROPN 
Vol, PROPN 
17, NUM 
2, NUM 
April, PROPN 
1996, NUM 


, SPACE 

, SPACE 

, SPACE 
H6, PROPN 

, SPACE 
Hz, PROPN 
L, PROPN 
N~, PROPN 

, SPACE 
Cell, PROPN 
=, SYM 
C1, PROPN 

, SPACE 
~, PUNCT 
N2, PROPN 
~K, PUNCT 
~¢j, ADP 

, SPACE 
L~, PUNCT 
L, PROPN 
Hanging, PROPN 
Node, PROPN 
Odent, PROPN 
~, NOUN 
ions, NOUN 

, SPACE 
LTR(H4, VERB 
=, PROPN 
1,1,0, NUM 

, SPACE 
LTR(H3, PROPN 
=, PROPN 
1,0,0, PROPN 

, SPACE 
Nodal, PROPN 
NelghbouPs, PROPN 

, SPACE 
NGBN(H4, PROPN 
=, PROPN 
H6,-1,Hg,-I, PROPN 
N3,N7, PROPN 

, SPACE 
Interpolation, PROPN 
points, NOUN 

, SPACE 
NGBH(H3, PROPN 
=, PROPN 
N1, PROPN 
N3,N5,N7, PROPN 

, SPACE 
NGBH(H4, PROPN 
=, PROPN 
N3,N3,N7,N7, PROPN 

, SPACE 
Cell, NOUN 
Vertices, NOUN 

, SPACE 
NSRM(C1, PROPN 
=, PROPN 
N1, PROPN 
N2,N3,N4, PROPN 

, SPACE 
N5,N6,N7,N8, PROPN 

, SPACE 
Nodal, NOUN 
Connectivity, PROPN 

, SPACE 
~, PUNCT 
C3-, NOUN 
~, PUNCT 
C2, PROPN 

, SPACE 
~,0, PUNCT 
F4, PROPN 
<, X 

, SPACE 
FI, PROPN 
$, SYM 
K, NOUN 
4j, PROPN 

, SPACE 
Cells, PROPN 
Sharing, PROPN 
Node, PROPN 

, SPACE 
MSRN(H3, PROPN 
=, PROPN 
FI.C1,F2.C1, PROPN 

, SPACE 
F3.C1,F4,C1, PROPN 

, SPACE 
Catlwise, PROPN 
Neighbours, PROPN 

, SPACE 
NGBC(C1, PROPN 
=, NOUN 
D1,*,*,C2, PROPN 

, SPACE 
NGBC(F4, PROPN 
=, PROPN 
-C1, PROPN 
F3,C3,F2, PROPN 

, SPACE 
Cells, PROPN 
Shadng, PROPN 
Dummy, PROPN 
Index, PROPN 

, SPACE 
MSRD(D1, PROPN 
=, NOUN 
Ff, PROPN 
F2,F3,F4, PROPN 

, SPACE 
denotes, VERB 
cell, NOUN 
included, VERB 

, SPACE 
figure, NOUN 

, SPACE 
la, X 
position, NOUN 
H3, PROPN 

, SPACE 
b, X 
Cell, PROPN 
Connectivity, PROPN 

, SPACE 
Figure, PROPN 
1, NUM 
Embedded, VERB 
mesh, NOUN 
data, NOUN 
structures, NOUN 
nodal, NOUN 
connec-, ADJ 

, SPACE 
tivity, NOUN 
arrays, NOUN 
b, X 
cell, NOUN 
wise, ADJ 
connectivity, NOUN 
arrays, NOUN 

, SPACE 
first-, NUM 
second, ADJ 
order, NOUN 
differences, NOUN 
gradients, NOUN 

, SPACE 
flow, NOUN 
variables, NOUN 
Adaptation, NOUN 
restricted, VERB 
cells, NOUN 
greater, ADJ 

, SPACE 
given, VERB 
size, NOUN 
avoid, VERB 
excessively, ADV 
fine, ADJ 
cells, NOUN 

, SPACE 
created, VERB 
example, NOUN 
ensure, VERB 
near, ADP 
wall, PROPN 
cells, NOUN 
remain, VERB 

, SPACE 
logarithmic, ADJ 
region, NOUN 
boundary, ADJ 
layer, NOUN 

, SPACE 
Mesh, PROPN 
embedding, NOUN 
produces, VERB 
internal, ADJ 
interfaces, NOUN 
mesh, NOUN 

, SPACE 
hanging, VERB 
nodes, NOUN 
facilitate, VERB 
transition, NOUN 

, SPACE 
coarse, ADJ 
fine, ADJ 
regions, NOUN 
Values, NOUN 
hanging, VERB 
nodes, NOUN 
set, VERB 

, SPACE 
linear, ADJ 
interpolation, NOUN 
discussed, VERB 
Control, PROPN 
volume, NOUN 
up-, NOUN 

, SPACE 
winding, NOUN 
section, NOUN 

, SPACE 
Data, PROPN 
structure, NOUN 

, SPACE 
cell, NOUN 
divisions, NOUN 
applied, VERB 
recursively, ADV 
beginning, VERB 

, SPACE 
structured, ADJ 
H, PROPN 
mesh, NOUN 
coarse, ADJ 
resolution, NOUN 
flow, NOUN 

, SPACE 
domain, NOUN 
gives, VERB 
embedded, VERB 
mesh, NOUN 
background, NOUN 
structure, NOUN 

, SPACE 
means, VERB 
hanging, VERB 
nodes, NOUN 
eliminated, VERB 

, SPACE 
extending, VERB 
mesh, NOUN 
lines, NOUN 
domain, NOUN 
boundaries, NOUN 
single, ADJ 

, SPACE 
structured, ADJ 
H, PROPN 
mesh, PROPN 
recovered, VERB 
referred, VERB 
back-, NOUN 

, SPACE 
ground, VERB 
fine, ADJ 
mesh, NOUN 
mesh, NOUN 
needed, VERB 

, SPACE 
perform, VERB 
computations, NOUN 
mesh, NOUN 
embedding, VERB 
model, NOUN 

, SPACE 
background, NOUN 
fine, ADJ 
mesh, NOUN 
