s, X 
beam, NOUN 

, SPACE 
allowed, VERB 
production, NOUN 
selected, VERB 
area, NOUN 
conver-, NOUN 

, SPACE 
gent, NOUN 
beam, NOUN 
patterns, NOUN 
3, NUM 
enabled, VERB 
coherent, ADJ 
planar, NOUN 

, SPACE 
oscillations, NOUN 
thin, ADJ 
silicon, NOUN 
crystals, NOUN 
directly, ADV 

, SPACE 
observed, VERB 
paper, NOUN 
described, VERB 
nuclear, ADJ 

, SPACE 
microprobe, NOUN 
beam, NOUN 
crystal, NOUN 
alignment, NOUN 

, SPACE 
changing, VERB 
incident, NOUN 
angle, NOUN 
focused, ADJ 
beam, NOUN 
instead, ADV 

, SPACE 
tilting, VERB 
crystal, NOUN 
usual, ADJ 
manner, NOUN 

, SPACE 
Tel, PROPN 
+, SYM 
44, NUM 
1865, NUM 
273439, NUM 
fax, NOUN 
44, NUM 
1865, NUM 
273418, NUM 
e, NOUN 
mail, NOUN 

, SPACE 
breese@physics.ox.ac.uk, NOUN 
Ion, NOUN 
channeling, VERB 
patterns, NOUN 
recently, ADV 

, SPACE 
observe, VERB 
quantify, VERB 
strain, NOUN 
present, ADJ 
Si, PROPN 
1, NUM 
.Ge,/Si, PUNCT 

, SPACE 
strained, ADJ 
layers, NOUN 
7, NUM 
modelled, VERB 
experimentally, ADV 

, SPACE 
recording, VERB 
channeling, VERB 
patterns, NOUN 
produced, VERB 
3, NUM 
MeV, PROPN 

, SPACE 
protons, NOUN 
transmitted, VERB 
thin, ADJ 
1001, NUM 
crystals, NOUN 

, SPACE 
small, ADJ 
rotation, NOUN 
angle, NOUN 
sample, NOUN 

, SPACE 
Si,,s, PROPN 
Ge,,,/Si, PROPN 
rotation, NOUN 
angle, NOUN 

, SPACE 
bilayer, NOUN 
interface, NOUN 
normal, ADJ 
directions, NOUN 

, SPACE 
strain, NOUN 
induced, VERB 
tetragonal, ADJ 
lattice, NOUN 
distortion, NOUN 
sample, NOUN 

, SPACE 
thinned, VERB 
1, NUM 
km, NOUN 
produce, VERB 

, SPACE 
channeling, VERB 
patterns, NOUN 
beam, NOUN 
aligned, VERB 
close, ADV 

, SPACE 
11, NUM 
l, NOUN 
axes, NOUN 
different, ADJ 
layers, NOUN 
present, ADJ 
patterns, NOUN 

, SPACE 
enabled, VERB 
strain, NOUN 
present, ADJ 
Si, PROPN 
s, PROPN 
Ge, PROPN 

, SPACE 
layer, NOUN 
measured, VERB 

, SPACE 
aim, NOUN 
present, ADJ 
paper, NOUN 
relate, VERB 

, SPACE 
focusing, VERB 
action, NOUN 
nuclear, ADJ 
microprobe, NOUN 
new, ADJ 
types, NOUN 

, SPACE 
channeling, VERB 
patterns, NOUN 
produced, VERB 
second, ADJ 
aim, NOUN 

, SPACE 
add, VERB 
interpretation, NOUN 
previous, ADJ 
work, NOUN 
channel-, PROPN 

, SPACE 
ing, PROPN 
patterns, NOUN 
generated, VERB 
rotated, VERB 
bilayers, NOUN 
strained, ADJ 

, SPACE 
layers, NOUN 
comparison, NOUN 
multiple, ADJ 
beam, NOUN 
patterns, NOUN 
pro-, PROPN 

, SPACE 
duced, VERB 
quadrupole, NOUN 
lenses, NOUN 
switched, VERB 

, SPACE 
channeling, VERB 
patterns, NOUN 
shown, VERB 
paper, NOUN 
utilise, VERB 

, SPACE 
doughnut, NOUN 
distribution, NOUN 
produced, VERB 
3, NUM 
MeV, NOUN 

, SPACE 
proton, PROPN 
beam, NOUN 
tilted, VERB 
slightly, ADV 
away, ADV 
silicon, NOUN 
lo01, PROPN 

, SPACE 
l, PROPN 
lo, PROPN 
axes, NOUN 
thin, ADJ 
crystal, NOUN 
doughnuts, NOUN 

, SPACE 
previously, ADV 
investigated, VERB 
Rosner, PROPN 
et, PROPN 
al, PROPN 
8, NUM 

, SPACE 
studied, VERB 
intensity, NOUN 
distribution, NOUN 
3.2, NUM 
MeV, NOUN 
protons, NOUN 
trans-, AUX 

, SPACE 
mitted, VERB 
silicon, NOUN 
crystals, NOUN 
1, NUM 
km, NOUN 
thick, ADJ 

, SPACE 
noted, VERB 
angular, ADJ 
extent, NOUN 
doughnuts, NOUN 

, SPACE 
proportional, ADJ 
tilt, NOUN 
angle, NOUN 
1, NUM 
lo, X 
axis, NOUN 
away, ADV 

, SPACE 
beam, NOUN 
axis, NOUN 
tilt, NOUN 
angles, VERB 
axial, ADJ 
channeling, VERB 

, SPACE 
critical, ADJ 
angle, NOUN 
azimuthal, ADJ 
intensity, NOUN 
distribution, NOUN 

, SPACE 
0168, NUM 
583X/96/$15.00, NUM 
Copyright, PROPN 
Q, PROPN 
1996, NUM 
Elsevier, PROPN 
Science, PROPN 
B.V., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
SD2, PROPN 
0168, PROPN 
583X(96)00052, NUM 
3, NUM 

, SPACE 
M.B.H., PROPN 
Breese, PROPN 
Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
Phys, PROPN 
Res, PROPN 
B, PROPN 
I14, PROPN 
1996, NUM 
252, NUM 
258, NUM 
253, NUM 

, SPACE 
doughnuts, NOUN 
non, ADJ 
uniform, ADJ 
reflected, VERB 
crystal, NOUN 
sym-, NOUN 

, SPACE 
metry, NOUN 
caused, VERB 
major, ADJ 
channeling, VERB 
planes, NOUN 
crossing, VERB 

, SPACE 
crystal, NOUN 
axis, NOUN 

, SPACE 
2, X 
Production, NOUN 
multiple, ADJ 
beam, NOUN 
channeling, VERB 
patterns, NOUN 

, SPACE 
crystal, NOUN 
work, NOUN 
0.3, NUM 
pm, NOUN 
thick, ADJ 

, SPACE 
self, NOUN 
supporting, VERB 
IOO, PROPN 
silicon, NOUN 
membrane, NOUN 
thin, ADJ 
region, NOUN 

, SPACE 
approximately, ADV 
8, NUM 
mm, NOUN 
diameter, NOUN 
prepared, VERB 

, SPACE 
University, PROPN 
Florida, PROPN 
according, VERB 
method, NOUN 
developed, VERB 

, SPACE 
Cheung, PROPN 
9, NUM 
Boron, PROPN 
diffused, VERB 
blank, ADJ 

, SPACE 
silicon, NOUN 
wafer, NOUN 
lOOO”C, NOUN 
masked, VERB 
area, NOUN 

, SPACE 
selectively, ADV 
etched, VERB 
produce, VERB 
dislocation, NOUN 
free, ADJ 
thin, ADJ 
layer, NOUN 

, SPACE 
detectable, ADJ 
variation, NOUN 
crystallographic, ADJ 

, SPACE 
orientation, NOUN 
crystal, NOUN 
procedure, NOUN 

, SPACE 
crystal, NOUN 
measured, ADJ 
thickness, NOUN 
typically, ADV 
varies, VERB 
+, PROPN 
100, NUM 

, SPACE 
nm, NOUN 
variation, NOUN 
large, ADJ 
detect, VERB 
coherent, ADJ 

, SPACE 
planar, NOUN 
oscillations, NOUN 
channeling, VERB 
patterns, NOUN 
3, X 
crystal, NOUN 

, SPACE 
thick, ADJ 
coherent, ADJ 
axial, ADJ 
channeling, VERB 
oscillations, NOUN 

, SPACE 
affect, VERB 
observed, VERB 
patterns, NOUN 
lo, X 

, SPACE 
ion, NOUN 
optics, NOUN 
nuclear, ADJ 
microprobes, NOUN 
fully, ADV 
de-, ADJ 

, SPACE 
scribed, VERB 
Ref, PROPN 
Ill, PROPN 
suffices, VERB 
nuclear, ADJ 

, SPACE 
microprobe, NOUN 
uses, VERB 
magnetic, ADJ 
quadrupole, NOUN 
lenses, NOUN 

, SPACE 
focus, VERB 
low, ADJ 
divergence, NOUN 
MeV, PROPN 
light, NOUN 
ion, NOUN 
beam, NOUN 
passing, VERB 

, SPACE 
object, NOUN 
aperture, ADV 
small, ADJ 
spot, NOUN 
higher, ADJ 

, SPACE 
convergence, NOUN 
angle, NOUN 
crystal, NOUN 
surface, NOUN 
shown, VERB 

, SPACE 
lower, ADJ 
half, NOUN 
Fig, PROPN 
1, NUM 
beam, NOUN 
divergence, NOUN 
half, ADJ 
angle, NOUN 

, SPACE 
object, NOUN 
aperture, NOUN 
0, NUM 
horizontal, ADJ 
x, NOUN 
direction, NOUN 

, SPACE 
$, SYM 
c, NOUN 
vertical, ADJ 
y, PROPN 
direction, NOUN 

, SPACE 
beam, NOUN 
axis, NOUN 
m, PROPN 

, SPACE 
Fig, PROPN 
1, NUM 
Schematic, ADJ 
diagram, NOUN 
showing, VERB 
production, NOUN 
multiple, ADJ 

, SPACE 
beams, NOUN 
nuclear, ADJ 
microprobe, NOUN 
horizontal, ADJ 
direction, NOUN 

, SPACE 
shown, VERB 
beam, NOUN 
angle, NOUN 
axis, NOUN 
0, NUM 
vertical, ADJ 

, SPACE 
direction, NOUN 
beam, NOUN 
angle, NOUN 
beam, NOUN 
axis, NOUN 
4, NUM 
gives, VERB 

, SPACE 
similar, ADJ 
effect, NOUN 
upper, ADJ 
half, NOUN 
quadrupole, NOUN 
lenses, VERB 
arc, PROPN 
switched, VERB 

, SPACE 
lower, ADJ 
half, NOUN 
switched, VERB 
cases, NOUN 

, SPACE 
separate, ADJ 
beams, NOUN 
hit, VERB 
crystal, NOUN 
surface, NOUN 
resultant, NOUN 
channeling, VERB 

, SPACE 
pattern, NOUN 
observed, VERB 
viewing, VERB 
screen, NOUN 
located, VERB 
680, NUM 
mm, NOUN 

, SPACE 
downstream, ADJ 
stated, VERB 
vertical, ADJ 
size, NOUN 

, SPACE 
aperture, NOUN 
lenses, NOUN 
crystal, NOUN 
viewing, VERB 
screen, NOUN 
scale, VERB 
production, NOUN 
of.multiple, NOUN 
beams, NOUN 
nuclear, ADJ 
micro-, NOUN 

, SPACE 
probe, NOUN 
quadrupole, NOUN 
lenses, NOUN 
switched, VERB 
shown, VERB 

, SPACE 
schematically, ADV 
upper, ADJ 
half, NOUN 
Fig, PROPN 
1, NUM 

, SPACE 
quadrupole, NOUN 
lenses, NOUN 
switched, VERB 
lower, ADJ 
half, NOUN 

, SPACE 
cases, NOUN 
beam, NOUN 
diverges, VERB 
object, NOUN 
aperture, NOUN 

, SPACE 
uniformly, ADV 
illuminates, VERB 
collimator, NOUN 
aperture, ADV 
5, NUM 
m, NOUN 

, SPACE 
downstream, ADJ 
defines, VERB 
beam, ADJ 
divergence, NOUN 

, SPACE 
quadrupole, NOUN 
lenses, NOUN 
production, NOUN 
multiple, ADJ 
beams, NOUN 

, SPACE 
coarse, ADJ 
mesh, NOUN 
grid, NOUN 
series, NOUN 
drilled, ADJ 
holes, NOUN 
metal, NOUN 

, SPACE 
plate, NOUN 
strands, NOUN 
wire, NOUN 
placed, VERB 
collimator, NOUN 

, SPACE 
aperture, NOUN 
beam, NOUN 
portions, NOUN 
intercepted, VERB 

, SPACE 
grid, NOUN 
bars, NOUN 
strands, NOUN 
wire, NOUN 
stopped, VERB 
heavily, ADV 

, SPACE 
scattered, VERB 
absent, ADJ 
remaining, VERB 
beam, NOUN 
hits, VERB 

, SPACE 
crystal, NOUN 
surface, NOUN 
separate, ADJ 
beams, NOUN 
pass, VERB 

, SPACE 
collimator, NOUN 
aperture, NOUN 
slightly, ADV 
different, ADJ 
trajec-, NOUN 

, SPACE 
tories, NOUN 
crystal, NOUN 
surface, NOUN 

, SPACE 
example, NOUN 
consider, VERB 
3, NUM 
MeV, NOUN 
proton, NOUN 
beam, NOUN 
passing, VERB 

, SPACE 
half, NOUN 
millimetre, NOUN 
diameter, NOUN 
holes, NOUN 
separated, VERB 
2, NUM 

, SPACE 
mm, NOUN 
collimator, NOUN 
aperture, ADV 
separate, ADJ 
beams, NOUN 

, SPACE 
pass, VERB 
aperture, NOUN 
differ, VERB 
divergence, NOUN 
angle, NOUN 

, SPACE 
0.025, NUM 
0.4, NUM 
mrad, NOUN 
small, ADJ 
compared, VERB 

, SPACE 
lOOI, PROPN 
l, NOUN 
lo, X 
characteristic, ADJ 
axial, ADJ 
channeling, NOUN 
angles, NOUN 

, SPACE 
silicon, NOUN 
$, SYM 
=, NOUN 
0.28, NUM 
0.34, NUM 
respectively, ADV 
3, NUM 
MeV, NOUN 

, SPACE 
protons, NOUN 
quadnrpole, ADJ 
lenses, NOUN 
switched, VERB 

, SPACE 
separate, ADJ 
beams, NOUN 
incident, NOUN 
different, ADJ 
parts, NOUN 

, SPACE 
crystal, NOUN 
surface, NOUN 
approximately, ADV 
beam-, NOUN 

, SPACE 
crystal, NOUN 
alignment, NOUN 
shown, VERB 
upper, ADJ 
half, NOUN 
Fig, PROPN 
1, NUM 

, SPACE 
quadrupole, NOUN 
lenses, NOUN 
switched, VERB 
focusing, VERB 

, SPACE 
action, NOUN 
quadrupole, PROPN 
multiplet, NOUN 
results, NOUN 
beam, NOUN 

, SPACE 
crystal, NOUN 
surface, NOUN 
demagnified, ADJ 
image, NOUN 
object, NOUN 

, SPACE 
aperture, NOUN 
convergence, NOUN 
half, ADJ 
angle, NOUN 
t+, NOUN 
=, PRON 
D,0, X 

, SPACE 
x, NOUN 
direction, NOUN 
=, PROPN 
D,$, PROPN 
y, PROPN 
direction, NOUN 

, SPACE 
D, PROPN 
D, PROPN 
demagnifications, NOUN 
x, PROPN 
y, PROPN 
directions, NOUN 

, SPACE 
respectively, ADV 
Oxford, PROPN 
nuclear, ADJ 
microprobe, NOUN 
uses, VERB 
triplet, NOUN 

, SPACE 
configuration, NOUN 
quadrupole, PROPN 
lenses, NOUN 
12, NUM 
demagnifica-, PROPN 

, SPACE 
tions, NOUN 
D, PROPN 
80, NUM 
D, NOUN 
23, NUM 
Protons, NOUN 
different, ADJ 

, SPACE 
divergence, NOUN 
angles, VERB 
quadrupole, NOUN 
triplet, NOUN 

, SPACE 
focused, VERB 
point, NOUN 
crystal, NOUN 
surface, NOUN 

, SPACE 
greater, ADJ 
difference, NOUN 
divergence, NOUN 
angle, NOUN 
shown, VERB 

, SPACE 
lower, ADJ 
half, NOUN 
Fig, PROPN 
1, NUM 
beams, NOUN 
separated, VERB 

, SPACE 
0.025, NUM 
collimator, NOUN 
aperture, NOUN 
demagnifying, VERB 

, SPACE 
effect, NOUN 
lenses, NOUN 
means, VERB 
beams, NOUN 
sepa-, AUX 

, SPACE 
rated, VERB 
2, NUM 
horizontal, ADJ 
direction, NOUN 
crystal, NOUN 

, SPACE 
surface, NOUN 
0.6, NUM 
vertical, ADJ 
direction, NOUN 
angles, NOUN 

, SPACE 
larger, ADJ 
axial, ADJ 
channeling, NOUN 
angles, NOUN 
3, NUM 

, SPACE 
MeV, PROPN 
protons, NOUN 
unsuitable, ADJ 
types, NOUN 

, SPACE 
patterns, NOUN 
described, VERB 
Instead, ADV 
strands, NOUN 
wire, NOUN 

, SPACE 
diameter, NOUN 
150, NUM 
pm, NOUN 
collimator, NOUN 
aperture, NOUN 

, SPACE 
produce, VERB 
multiple, ADJ 
beam, NOUN 
channeling, VERB 
patterns, NOUN 

, SPACE 
produced, VERB 
lenses, NOUN 
switched, VERB 
produced, VERB 

, SPACE 
focused, VERB 
beams, NOUN 
separated, VERB 
0.15, NUM 
horizontal, ADJ 

, SPACE 
beam, NOUN 
direction, NOUN 
crystal, NOUN 
surface, NOUN 

, SPACE 
1001, NUM 
1, NUM 
lo, PROPN 
axial, ADJ 
channeling, NOUN 
angles, NOUN 
neces-, NOUN 

, SPACE 
sary, ADJ 
condition, NOUN 
producing, VERB 
multiple, ADJ 
beam, NOUN 
patterns, NOUN 

, SPACE 
described, VERB 
Section, NOUN 
3.2, NUM 

, SPACE 
Fig, PROPN 
2, NUM 
summarises, NOUN 
spatial, ADJ 
angular, ADJ 
relationship, NOUN 

, SPACE 
254, NUM 
M.B.H., PROPN 
Breese, PROPN 
NucI., PROPN 
Instr, PROPN 
Meth, PROPN 
Phys, PROPN 
Res, PROPN 
B, PROPN 
114, NUM 
I996, PROPN 
252, NUM 
258, NUM 

, SPACE 
t, PROPN 
iio, PROPN 

, SPACE 
g4, PROPN 
L, NOUN 
llO>-, PROPN 

, SPACE 
-0, NOUN 
-to, ADP 

, SPACE 
Fig, PROPN 
2, NUM 
Examples, NOUN 
spatial, ADJ 
b, X 
angular, ADJ 
representations, NOUN 
separate, ADJ 
beams, NOUN 
incident, NOUN 
surface, NOUN 
IOOJ, PROPN 
silicon, NOUN 
crystal, NOUN 

, SPACE 
IO, PROPN 
planes, NOUN 
shown, VERB 
example, NOUN 
beams, NOUN 
channeled, VERB 
horizontally, ADV 
running, VERB 
110, NUM 
planes, NOUN 

, SPACE 
vertically, ADJ 
rumtiug, ADJ 
li0, ADJ 
planes, NOUN 
coordinates, NOUN 
separate, ADJ 
beams, NOUN 
quadrupole, NOUN 
lenses, NOUN 
switched, VERB 
shown, VERB 
hollow, ADJ 

, SPACE 
squares, NOUN 
quadrupole, NOUN 
lenses, NOUN 
switched, VERB 
smaller, ADJ 
solid, ADJ 
squares, NOUN 

, SPACE 
separate, ADJ 
beams, NOUN 
crystal, NOUN 
surface, NOUN 

, SPACE 
quadrupole, NOUN 
lenses, NOUN 
switched, VERB 
multiple, ADJ 
beams, NOUN 

, SPACE 
approximately, ADV 
divergence, NOUN 
angle, NOUN 

, SPACE 
crystal, NOUN 
surface, NOUN 
Fig, PROPN 
2b, PROPN 
incident, NOUN 
different, ADJ 
posi-, ADJ 

, SPACE 
tions, NOUN 
Fig, PROPN 
2a, PROPN 
quadrupole, NOUN 
lenses, NOUN 
switched, VERB 

, SPACE 
multiple, ADJ 
beams, NOUN 
widely, ADV 
different, ADJ 
divergence, NOUN 
an-, CCONJ 

, SPACE 
gles, NOUN 
Fig, PROPN 
2b, PROPN 
hit, VERB 
crystal, NOUN 
position, NOUN 
Fig, PROPN 

, SPACE 
2a, PROPN 
proton, NOUN 
beam, NOUN 
current, NOUN 
lo-100, PROPN 
pA, PROPN 

, SPACE 
produce, VERB 
channeling, VERB 
patterns, NOUN 
channeling, NOUN 
pat-, X 

, SPACE 
terns, NOUN 
produced, VERB 
fluorescent, ADJ 
viewing, VERB 
screen, NOUN 
con-, VERB 

, SPACE 
sisting, NOUN 
willemite, NOUN 
ZnSiO, NOUN 
Mn, PROPN 
located, VERB 
680, NUM 
mm, NUM 
down-, NUM 

, SPACE 
stream, NOUN 
crystal, NOUN 
shown, VERB 
Fig, PROPN 
1, NUM 
patterns, NOUN 

, SPACE 
photographed, VERB 
25, NUM 
ASA, PROPN 
technical, PROPN 
pan, PROPN 
black, ADJ 

, SPACE 
white, ADJ 
film, NOUN 
30, NUM 
s, PART 
exposure, NOUN 
+4, NOUN 
diopter, NOUN 
lenses, NOUN 

, SPACE 
enlarge, VERB 
patterns, NOUN 
camera, NOUN 
film, NOUN 

, SPACE 
Fig, PROPN 
3, NUM 
Patterns, NOUN 
recorded, VERB 
single, ADJ 
0.3, NUM 
pm, NOUN 
thick, ADJ 
silicon, NOUN 
crystal, NOUN 
quadrupole, NOUN 
lenses, NOUN 
switched, VERB 
Fig, PROPN 
3f, X 
>, X 

, SPACE 
separate, ADJ 
beams, NOUN 
hitting, VERB 
viewing, VERB 
screen, NOUN 
b, X 
Showing, VERB 
planar, NOUN 
oscillations, NOUN 
beams, NOUN 
horizontally, ADV 
running, VERB 
1, NUM 
IO, PROPN 
planes, NOUN 

, SPACE 
c, NOUN 
interlocking, VERB 
rings, NOUN 
produced, VERB 
aligning, VERB 
crystal, NOUN 
IOO, PROPN 
axis, VERB 
0.15, NUM 
away, ADV 
beam, NOUN 
axis, NOUN 
IO, PROPN 
planes, NOUN 
Cd, PROPN 

, SPACE 
separate, ADJ 
beams, NOUN 
hitting, VERB 
viewing, VERB 
screen, NOUN 
e, NOUN 
Olympic, ADJ 
symbol, NOUN 
produced, VERB 
tive, NOUN 
beams, NOUN 
aligned, VERB 
close, ADV 
IO, PROPN 
axis, NOUN 
f, X 
Pattern, PROPN 

, SPACE 
produced, VERB 
beams, NOUN 
aligned, VERB 
close, ADV 
loo, PROPN 
axes, NOUN 
quadrupole, NOUN 
Ienses, NOUN 
partially, ADV 
switched, VERB 
pattern, NOUN 

, SPACE 
discussed, VERB 
Section, NOUN 
3.3, NUM 

, SPACE 
3, X 
Multiple, ADJ 
beam, NOUN 
channeling, VERB 
patterns, NOUN 

, SPACE 
3.1, NUM 
Lenses, NOUN 
switched, VERB 

, SPACE 
Fig, PROPN 
3a, PROPN 
shows, VERB 
separate, ADJ 
proton, NOUN 
beams, NOUN 
hitting, VERB 

, SPACE 
viewing, VERB 
screen, NOUN 
crystal, NOUN 
removed, VERB 
beam, NOUN 

, SPACE 
axis, NOUN 
metal, NOUN 
plate, NOUN 
located, VERB 
collimator, NOUN 
aperture, ADV 

, SPACE 
half, NOUN 
millimeter, NOUN 
diameter, NOUN 
holes, NOUN 
drilled, VERB 
2, NUM 
mm, NOUN 
apart, ADV 

, SPACE 
produce, VERB 
separate, ADJ 
beams, NOUN 
lenses, NOUN 

, SPACE 
switched, VERB 
beams, NOUN 
differ, VERB 
angle, NOUN 
0.025, NUM 

, SPACE 
angular, ADJ 
width, NOUN 
0.006, NUM 
Fig, PROPN 
3b, NOUN 

, SPACE 
horizontally, ADV 
running, VERB 
110, NUM 
planes, NOUN 
aligned, VERB 

, SPACE 
beam, NOUN 
axis, NOUN 
separate, ADJ 
beams, NOUN 
hit, VERB 
different, ADJ 
re-, ADP 

, SPACE 
gions, NOUN 
crystal, NOUN 
travel, VERB 
slightly, ADV 
different, ADJ 

, SPACE 
thicknesses, NOUN 
emerge, VERB 
different, ADJ 
angles, NOUN 

, SPACE 
110, NUM 
planes, NOUN 
owing, VERB 
coherent, ADJ 
oscillatory, ADJ 
motion, NOUN 

, SPACE 
described, VERB 
detail, NOUN 
Ref, PROPN 
3, X 
pattern, NOUN 
Fig, PROPN 
3c, PROPN 

, SPACE 
recorded, VERB 
conditions, NOUN 
Fig, PROPN 
3b, NUM 

, SPACE 
crystal, NOUN 
lOO, NOUN 
axis, NOUN 
aligned, VERB 
0.15, NUM 
away, ADV 
beam, NOUN 

, SPACE 
axis, NOUN 
separate, ADJ 
beam, NOUN 
produced, VERB 
doughnut, NOUN 

, SPACE 
distribution, NOUN 
doughnuts, NOUN 
produced, VERB 

, SPACE 
different, ADJ 
locations, NOUN 
crystal, NOUN 
surface, NOUN 

, SPACE 
appear, VERB 
overlapping, NOUN 
rings, NOUN 

, SPACE 
Fig, PROPN 
3d, NOUN 
shows, VERB 
separate, ADJ 
proton, NOUN 
beams, NOUN 
hitting, VERB 

, SPACE 
viewing, VERB 
screen, NOUN 
crystal, NOUN 
removed, VERB 
beam, NOUN 

, SPACE 
axis, NOUN 
lenses, NOUN 
switched, VERB 
hole, NOUN 
spacing, VERB 

, SPACE 
2, NUM 
mm, NOUN 
hole, NOUN 
sizes, NOUN 
0.5, NUM 
mm, NUM 
Fig, PROPN 
3e, NOUN 
shows, VERB 

, SPACE 
channeling, NOUN 
pattern, NOUN 
produced, VERB 
beams, NOUN 
aligned, VERB 

, SPACE 
0.2, NUM 
away, ADV 
crystal, NOUN 
1, NUM 
lo, X 
axis, NOUN 
beam, NOUN 
produces, VERB 

, SPACE 
doughnut, PROPN 
distribution, NOUN 
resulting, VERB 
observed, ADJ 
Olympic, ADJ 
symbol, NOUN 
comprising, VERB 
interlocking, NOUN 
rings, NOUN 

, SPACE 
Figs, PROPN 
3d, NOUN 
3e, NOUN 
