Increased, VERB 
1, NUM 
B-2610, PROPN 
Wilrijk, PROPN 
Antwerp, PROPN 
Belgium, PROPN 

, SPACE 
gBiomedical, PROPN 
Research, PROPN 
Institute, PROPN 
University, PROPN 
Hasselt, PROPN 
Campus, PROPN 
Diepenbeek, PROPN 
Agoralaan, PROPN 
B-3590, PROPN 
Diepenbeek, PROPN 
Belgium, PROPN 

, SPACE 
hDepartment, PROPN 
Rheumatology, PROPN 
University, PROPN 
Hospital, PROPN 
P., PROPN 
Debyelaan, PROPN 
25, NUM 
6229, NUM 
HX, PROPN 
Maastricht, PROPN 
Netherlands, PROPN 

, SPACE 
iBone, PROPN 
Metabolism, PROPN 
Unit, PROPN 
Department, PROPN 
Medicine, PROPN 
University, PROPN 
Cambridge, PROPN 
Addenbrooke, PROPN 
Hospital, PROPN 
Box, PROPN 
157, NUM 
Cambridge, PROPN 
UK, PROPN 

, SPACE 
abstract, ADJ 
article, NOUN 
info, NOUN 

, SPACE 
Article, NOUN 
history, NOUN 

, SPACE 
Received, VERB 
9, NUM 
January, PROPN 
2008, NUM 

, SPACE 
Revised, VERB 
10, NUM 
April, PROPN 
2008, NUM 

, SPACE 
Accepted, VERB 
14, NUM 
April, PROPN 
2008, NUM 

, SPACE 
Available, ADJ 
online, ADJ 
2, NUM 
2008, NUM 

, SPACE 
Edited, VERB 
Robert, PROPN 
Recker, PROPN 

, SPACE 
Keywords, PROPN 

, SPACE 
Bone, NOUN 
growth, NOUN 

, SPACE 
Sprague, PROPN 
Dawley, PROPN 
rats, VERB 

, SPACE 
Silicon, PROPN 
de, PROPN 
ﬁciency, NOUN 

, SPACE 
Orthosilicic, PROPN 
acid, NOUN 
supplementation, NOUN 

, SPACE 
Bone, PROPN 
soft, ADJ 
tissue, NOUN 
silicon, NOUN 
concentrations, NOUN 

, SPACE 
Tibia, PROPN 
calcium, NOUN 
phosphorusSilicon, NOUN 
de, ADP 
ﬁciency, NOUN 
studies, NOUN 
growing, VERB 
animals, NOUN 
early, ADJ 
1970s, NOUN 
reported, VERB 
stunted, ADJ 
growth, NOUN 
profound, ADJ 
defects, NOUN 

, SPACE 
bone, NOUN 
connective, ADJ 
tissues, NOUN 
recent, ADJ 
attempts, NOUN 
replicate, VERB 
ﬁndings, NOUN 
found, VERB 
mild, ADJ 

, SPACE 
alterations, NOUN 
bone, NOUN 
metabolism, NOUN 
adverse, ADJ 
health, NOUN 
effects, NOUN 
biological, ADJ 
role, NOUN 
silicon, NOUN 
remains, VERB 

, SPACE 
unknown, ADJ 
speci, NOUN 
ﬁcally, ADV 
formulated, VERB 
silicon, NOUN 
depleted, VERB 
diet, NOUN 
modern, ADJ 
methods, NOUN 
silicon, NOUN 
analysis, NOUN 

, SPACE 
assessment, NOUN 
skeletal, ADJ 
development, NOUN 
undertook, VERB 
ternational, ADJ 
collaboration, NOUN 
silicon, NOUN 
researchers, NOUN 

, SPACE 
extensive, ADJ 
study, NOUN 
long, ADJ 
term, NOUN 
silicon, NOUN 
depletion, NOUN 
ske, NOUN 
letal, ADJ 
development, NOUN 
animal, NOUN 
21, NUM 
day, NOUN 
old, ADJ 
female, ADJ 
Sprague, PROPN 

, SPACE 
Dawley, PROPN 
rats, NOUN 
n=20, PROPN 
fed, VERB 
silicon, NOUN 
depleted, VERB 
diet, NOUN 
3.2, NUM 
µg, ADP 
Si, PROPN 
g, PROPN 
feed, NOUN 
26, NUM 
weeks, NOUN 
growth, NOUN 
skeletal, ADJ 

, SPACE 
development, NOUN 
compared, VERB 
identical, ADJ 
rats, NOUN 
n=10, PROPN 
diet, NOUN 
silicon, NOUN 
added, VERB 
Si(OH, PROPN 
4to, NOUN 

, SPACE 
drinking, NOUN 
water, NOUN 
53.2, NUM 
µg, ADP 
Si, PROPN 
g, PROPN 
water, NOUN 
total, ADJ 
silicon, NOUN 
intakes, NOUN 
24, NUM 
times, NOUN 
different, ADJ 
group, NOUN 
rats, NOUN 
receiving, VERB 

, SPACE 
standard, ADJ 
rodent, ADJ 
stock, NOUN 
feed, NOUN 
322, NUM 
µg, ADP 
Si, PROPN 
g, PROPN 
feed, NOUN 
tap, NOUN 
water, NOUN 
5, NUM 
µg, ADP 
Si, PROPN 
g, PROPN 
water, NOUN 
served, VERB 
reference, NOUN 
group, NOUN 
optimal, ADJ 

, SPACE 
growth, NOUN 
series, NOUN 
anthropometric, ADJ 
bone, NOUN 
quality, NOUN 
asures, NOUN 
undertaken, VERB 
following, VERB 
study, NOUN 

, SPACE 
Fasting, VERB 
serum, NOUN 
silicon, NOUN 
concentrations, NOUN 
especially, ADV 
urinary, ADJ 
silicon, NOUN 
excretion, PROPN 
signi, NOUN 
ﬁcantly, ADV 
lower, ADJ 
silicon-, NUM 

, SPACE 
deprived, VERB 
group, NOUN 
compared, VERB 
supplemented, VERB 
group, NOUN 
P=0.03, NOUN 
0.004, NUM 
respectively, ADV 
Tibia, PROPN 
soft, ADJ 
tissue, NOUN 
silicon, NOUN 

, SPACE 
contents, NOUN 
differ, VERB 
groups, NOUN 
tibia, PROPN 
silicon, PROPN 
levels, NOUN 
signi, NOUN 
ﬁcantly, ADV 
lower, ADJ 
compared, VERB 

, SPACE 
reference, NOUN 
group, NOUN 
Pb0.0001, PROPN 
Outward, ADV 
adverse, ADJ 
health, NOUN 
effects, NOUN 
observed, VERB 
silicon, NOUN 
deprived, VERB 
group, NOUN 

, SPACE 
body, NOUN 
lengths, NOUN 
week, NOUN 
18, NUM 
onwards, NOUN 
Pb0.05, PROPN 
bone, NOUN 
lengths, NOUN 
necropsy, ADJ 
P≤0.002, NOUN 
longer, ADJ 

, SPACE 
group, NOUN 
measures, NOUN 
correlated, VERB 
inversely, ADV 
serum, NOUN 
silicon, NOUN 
concentrations, NOUN 
P≤0.02, ADJ 
reduction, NOUN 

, SPACE 
bone, NOUN 
growth, NOUN 
plate, NOUN 
thickness, NOUN 
apparent, ADJ 
increase, NOUN 
c, PROPN 
hondrocyte, PROPN 
density, NOUN 
observed, VERB 
silicon-, NUM 

, SPACE 
deprived, VERB 
animals, NOUN 
differences, NOUN 
observed, VERB 
groups, NOUN 
exc, PROPN 
ept, VERB 
tibia, PROPN 
phosphorus, PROPN 

, SPACE 
concentrations, NOUN 
lower, ADJ 
silicon, NOUN 
deprived, VERB 
animals, NOUN 
P=0.0003, NUM 
study, NOUN 
unable, ADJ 

, SPACE 
reproduce, VERB 
profound, ADJ 
de, X 
ﬁciency, NOUN 
state, NOUN 
reported, VERB 
rats, NOUN 
chicks, NOUN 
e, NOUN 
arly, ADJ 
1970s, NOUN 
silicon, NOUN 
intake, NOUN 

, SPACE 
circulating, VERB 
fasting, VERB 
serum, NOUN 
levels, NOUN 
differed, VERB 
silicon, NOUN 
deprived, VERB 
silicon, NOUN 
supplemented, VERB 
animals, NOUN 
tibia, PROPN 

, SPACE 
n, NOUN 
ds, PROPN 
o, NOUN 
f, PROPN 
t, PROPN 
t, PROPN 
s, VERB 
s, X 
u, PROPN 
el, PROPN 
e, PROPN 
v, PROPN 
e, PROPN 
l, NOUN 
sd, NOUN 
dn, ADP 
o, NOUN 
ta, ADP 
n, ADV 
dm, PROPN 
ye, NOUN 
x, SYM 
p, PROPN 
l, PROPN 
nt, INTJ 
h, PROPN 
el, PROPN 
c, NOUN 
ko, PROPN 
fd, PROPN 
f, PROPN 
f, PROPN 
e, PROPN 
r, PROPN 
e, NOUN 
n, CCONJ 
c, PROPN 
ei, INTJ 
nb, ADV 
o, NOUN 
n, NOUN 
eq, PROPN 
u, PROPN 
l, NOUN 
t, VERB 
ya, PROPN 
n, PROPN 
db, PROPN 
o, PROPN 
n, ADV 
em, PRON 
r, NOUN 
k, NOUN 
e, NOUN 
r, PROPN 
s, PROPN 
e, NOUN 
x, PROPN 
c, PROPN 
e, PROPN 
p, PROPN 
ts, ADP 
e, PROPN 
r, PROPN 
u, PROPN 
m, NOUN 

, SPACE 
CTx, NOUN 
groups, NOUN 
Markedly, ADV 
higher, ADJ 
tibia, PROPN 
si, X 
l, NOUN 
c, VERB 
o, NOUN 
nl, PROPN 
e, PROPN 
v, PROPN 
e, PROPN 
l, PROPN 
si, X 
nt, PART 
h, VERB 
er, INTJ 
e, PROPN 
f, PROPN 
e, PROPN 
r, PROPN 
e, NOUN 
n, CCONJ 
c, PROPN 
eg, PROPN 
r, PROPN 
o, PROPN 
u, NOUN 
pa, PROPN 
n, PROPN 
dn, PROPN 
u, PROPN 
t, PROPN 
r, NOUN 
t, NOUN 
o, VERB 
n, ADV 
l, NOUN 

, SPACE 
differences, NOUN 
formulated, ADJ 
low, ADJ 
Si, ADJ 
reference, NOUN 
diets, NOUN 
suggest, VERB 
co, NOUN 
factors, NOUN 
absent, ADJ 

, SPACE 
low, ADJ 
Si, ADJ 
diet, NOUN 
affect, VERB 
silicon, NOUN 
incorporation, NOUN 
bone, NOUN 
evidence, NOUN 
urinary, ADJ 
silicon, NOUN 
conservation, NOUN 

, SPACE 
maintain, VERB 
tissue, NOUN 
levels, NOUN 
changes, NOUN 
bone, NOUN 
body, NOUN 
lengths, NOUN 
bon, PROPN 
e, PROPN 
calcium, NOUN 
phosphorus, NOUN 
ratio, NOUN 
differences, NOUN 
growth, NOUN 

, SPACE 
plate, NOUN 
silicon, NOUN 
deprivation, NOUN 
novel, ADJ 
deserve, VERB 
furt, NOUN 
study, NOUN 
results, NOUN 
suggest, VERB 
rats, NOUN 
actively, ADV 
maintain, VERB 

, SPACE 
body, NOUN 
silicon, NOUN 
levels, NOUN 
urinary, ADJ 
conservation, NOUN 
low, ADJ 
circulating, VERB 
serum, NOUN 
silicon, NOUN 
levels, NOUN 
silicon, NOUN 
de, X 
ﬁciency, NOUN 

, SPACE 
result, NOUN 
inhibition, NOUN 
growth, NOUN 
plate, NOUN 
closure, NOUN 
increased, VERB 
longitudinal, ADJ 
growth, NOUN 
Silicon, NOUN 
responsive, ADJ 
genes, NOUN 
Si, ADJ 

, SPACE 
transporters, NOUN 
investigated, VERB 
kidneys, NOUN 
rats, NOUN 

, SPACE 
©, NOUN 
2008ElsevierInc, NUM 
Bone, NOUN 
43, NUM 
2008, NUM 
596, NUM 
606, NUM 

, SPACE 
☆, NOUN 
Supported, VERB 
Institute, PROPN 
Promotion, PROPN 
Innovation, PROPN 
Science, PROPN 
Technology, PROPN 
Flanders, PROPN 
IWT, PROPN 
Belgium, PROPN 
project, NOUN 
000290, NUM 
Frances, PROPN 
Augus, PROPN 
tus, PROPN 
Newman, PROPN 
Foundation, PROPN 

, SPACE 
fellowship, NOUN 
RJ, PROPN 
Wellcome, PROPN 
Trust, PROPN 
funded, VERB 
ICPOES, ADJ 
facility, NOUN 
charitable, ADJ 
foundation, NOUN 
Institute, PROPN 
Guild, PROPN 
Brewing, PROPN 
provides, VERB 
runni, PROPN 
ng, PROPN 
costs, NOUN 
Si, PROPN 
research, NOUN 

, SPACE 
program, NOUN 
RJ, PROPN 
JJP, PROPN 
RPHT, PROPN 

, SPACE 
⁎Corresponding, PROPN 
author, NOUN 
MRC, PROPN 
Human, PROPN 
Nutrition, PROPN 
Research, PROPN 
Elsie, PROPN 
Widdowson, PROPN 
Laboratory, PROPN 
Fulbourn, PROPN 
Road, PROPN 
Cambridge, PROPN 
CB1, PROPN 
9NL, PROPN 
UK, PROPN 
Fax, NOUN 
+44, PROPN 
1223, NUM 
437515, NUM 

, SPACE 
E, ADJ 
mail, NOUN 
address, NOUN 
ravin.jugdaohsingh@mrc-hnr.cam.ac.uk, VERB 
R., PROPN 
Jugdaohsingh, PROPN 

, SPACE 
8756, NUM 
3282, NUM 
©, PROPN 
2008ElsevierInc, NUM 

, SPACE 
doi:10.1016, PROPN 
j.bone.2008.04.014, CCONJ 

, SPACE 
Contents, PROPN 
lists, NOUN 
available, ADJ 
ScienceDirect, PROPN 

, SPACE 
Bone, PROPN 

, SPACE 
journal, NOUN 
homepage, NOUN 
www.elsevier.com/locate/bone, NOUN 

, SPACE 
Open, ADJ 
access, NOUN 
CC, PROPN 
license, NOUN 

, SPACE 
Open, ADJ 
access, NOUN 
CC, PROPN 
license, NOUN 

, SPACE 
Introduction, PROPN 

, SPACE 
Silicon, PROPN 
Si, PROPN 
second, ADJ 
abundant, ADJ 
element, NOUN 
Earth, PROPN 
crust, NOUN 

, SPACE 
1]and, PROPN 
found, VERB 
living, VERB 
organisms, NOUN 
including, VERB 
man, NOUN 

, SPACE 
highest, ADJ 
concentrations, NOUN 
reported, VERB 
bone, NOUN 
connective, ADJ 

, SPACE 
tissues, NOUN 
2, NUM 
present, ADJ 
blood, NOUN 
concentrations, NOUN 
range, NOUN 

, SPACE 
typical, ADJ 
physiologically, ADV 
important, ADJ 
elements, NOUN 
copper, NOUN 
zinc[3, PROPN 
major, ADJ 
trace, NOUN 
element, NOUN 
animal, NOUN 
diets, NOUN 
humans, NOUN 
ingest, VERB 

, SPACE 
20, NUM 
50, NUM 
mg, NOUN 
d, NOUN 
Western, ADJ 
diet, NOUN 
4–6, NOUN 
Main, ADJ 
dietary, ADJ 
sources, NOUN 

, SPACE 
grain, NOUN 
cereals, NOUN 
products, NOUN 
including, VERB 
beer, NOUN 
rice, NOUN 

, SPACE 
fruits, NOUN 
vegetables, NOUN 
drinking, NOUN 
water, NOUN 
especially, ADV 
bottled, ADJ 
mineral, NOUN 

, SPACE 
waters, NOUN 
4,6,7, X 
Meat, NOUN 
dairy, NOUN 
products, NOUN 
low, ADJ 
levels, NOUN 
Si, PROPN 
6,7, NUM 

, SPACE 
Intestinal, ADJ 
absorption, NOUN 
dependent, ADJ 
chemical, NOUN 
form, NOUN 
i.e., X 
mono-, NUM 

, SPACE 
meric, ADJ 
silicic, PROPN 
acid, PROPN 
orthosilicic, NOUN 
acid, NOUN 
present, ADJ 
beverages, NOUN 
beer, NOUN 

, SPACE 
water, NOUN 
partially, ADV 
produced, VERB 
digestion, NOUN 
foods, NOUN 
gut, NOUN 
lumen, NOUN 

, SPACE 
efﬁciently, ADV 
absorbed, VERB 
polymeric, ADJ 
colloidal, NOUN 
silica, PROPN 
poorly, ADV 

, SPACE 
absorbed, VERB 
4,8, NUM 
suggested, VERB 
Si, PROPN 

, SPACE 
important, ADJ 
role, NOUN 
biology, NOUN 
ubiquitous, ADJ 
contaminant, NOUN 
9, NUM 

, SPACE 
Si, ADJ 
deprivation, NOUN 
experiments, NOUN 
early, ADJ 
1970s, NOUN 
growing, VERB 

, SPACE 
chicks, NOUN 
10, NUM 
rats, NOUN 
11, NUM 
reported, VERB 
Si, PROPN 
required, VERB 
normal, ADJ 

, SPACE 
growth, NOUN 
development, NOUN 
higher, ADJ 
animals, NOUN 
Si, PROPN 
de, X 
ﬁciency, NOUN 

, SPACE 
produced, VERB 
stunted, ADJ 
growth, NOUN 
profound, ADJ 
defects, NOUN 
bone, NOUN 

, SPACE 
connective, ADJ 
tissues, NOUN 
10,11, NUM 
Skull, NOUN 
deformities, NOUN 
shorter, ADJ 
skull, NOUN 

, SPACE 
distortion, NOUN 
eye, NOUN 
sockets, NOUN 
shorter, ADJ 
thinner, ADJ 
ﬂexible, ADJ 

, SPACE 
limbs, NOUN 
bones, NOUN 
easily, ADV 
fractured, VERB 
absent, NOUN 
wattle, ADJ 

, SPACE 
comb, NOUN 
chick, NOUN 
reported, VERB 
Si, PROPN 
deprived, VERB 
animals, NOUN 
10,11, NUM 

, SPACE 
rat, NOUN 
hair, NOUN 
loss, NOUN 
seborrhoea, NOUN 
loss, NOUN 
muscle, NOUN 
tone, NOUN 
disturbances, NOUN 

, SPACE 
enamel, PROPN 
development, NOUN 
impairment, NOUN 
incisor, NOUN 
pigmentation, NOUN 

, SPACE 
observed, VERB 
11, NUM 
ﬁndings, NOUN 
indicative, ADJ 
role, NOUN 
Si, PROPN 

, SPACE 
c, PROPN 
o, PROPN 
n, PROPN 
n, CCONJ 
e, PROPN 
c, PROPN 
t, PROPN 
v, ADP 
et, NOUN 
s, VERB 
s, X 
u, NOUN 
ef, PROPN 
o, PROPN 
r, PROPN 
m, NOUN 
t, NOUN 
o, NOUN 
n, ADV 
h, VERB 
v, NOUN 
eb, X 
e, PROPN 
e, PROPN 
ns, PROPN 
u, PROPN 
p, PROPN 
p, PROPN 
o, NOUN 
r, NOUN 
t, NOUN 
e, NOUN 
db, PROPN 
yf, PROPN 
u, PROPN 
r, PROPN 
t, NOUN 
h, NOUN 
e, NOUN 
r, NOUN 

, SPACE 
observations, NOUN 
presence, NOUN 
high, ADJ 
concentrations, NOUN 
non-, NOUN 

, SPACE 
dialysable, ADJ 
Si, PROPN 
connective, ADJ 
tissues, NOUN 
components, NOUN 
12, NUM 

, SPACE 
Jugdaohsingh, PROPN 
et, PROPN 
al, PROPN 
unpublished, ADJ 
data, NOUN 
ii, PROPN 
localisation, NOUN 
Si, PROPN 

, SPACE 
growing, VERB 
bone, NOUN 
2, NUM 
iii, PROPN 
vitro, X 
studies, NOUN 
showing, VERB 
increased, VERB 

, SPACE 
synthesis, NOUN 
matrix, NOUN 
polysaccharides, NOUN 
proteins, NOUN 
Si, PROPN 
supplemen-, ADJ 

, SPACE 
tation, NOUN 
2,13, NUM 
iv, X 
requirement, NOUN 
Si, PROPN 
optimal, ADJ 
prolyl, NOUN 

, SPACE 
hydroxylase, NOUN 
activity, NOUN 
enzyme, NOUN 
involved, VERB 
collagen, NOUN 
synthesis, NOUN 
2,13, NUM 

, SPACE 
recently, ADV 
number, NOUN 
vitro, X 
studies, NOUN 
human, ADJ 

, SPACE 
osteoblast, NOUN 
like, ADJ 
cells, NOUN 
vivo, ADJ 
studies, NOUN 
animals, NOUN 
man, NOUN 

, SPACE 
added, VERB 
evidence, NOUN 
Si, PROPN 
bene, ADJ 
ﬁcial, ADJ 
bone, NOUN 

, SPACE 
formation, NOUN 
bone, NOUN 
connective, ADJ 
tissue, NOUN 
health, NOUN 
2,14, NUM 
25, NUM 

, SPACE 
exact, ADJ 
mechanisms, NOUN 
action, NOUN 
Si, PROPN 
bone, NOUN 
unclear, ADJ 

, SPACE 
metabolic, NOUN 
role, NOUN 
co, NOUN 
factor, NOUN 
prolyl, ADJ 
hydroxylase, NOUN 
structural, ADJ 
role, NOUN 

, SPACE 
stabilisation, NOUN 
collagen, NOUN 
proposed, VERB 

, SPACE 
2,13,25, NUM 

, SPACE 
Si, PROPN 
truly, ADV 
required, VERB 
optimal, ADJ 
skeletal, ADJ 
growth, NOUN 
humans, NOUN 

, SPACE 
animals, NOUN 
known, VERB 

, SPACE 
recent, ADJ 
studies, NOUN 
investigating, VERB 
essentiality, NOUN 
Si, PROPN 
growing, VERB 

, SPACE 
animals, NOUN 
26–35]have, VERB 
failed, VERB 
reproduce, VERB 
dramatic, ADJ 
results, NOUN 
reported, VERB 

, SPACE 
Carlisle, PROPN 
10, NUM 
Schwarz, PROPN 
Milne, PROPN 
11, NUM 

, SPACE 
moderate, ADJ 
effects, NOUN 
bone, NOUN 
metabolism, NOUN 
observed, VERB 
Differ-, PROPN 

, SPACE 
ences, NOUN 
experimental, ADJ 
conditions, NOUN 
duration, NOUN 
experiment, NOUN 

, SPACE 
age, NOUN 
gender, NOUN 
animals, NOUN 
Si, ADJ 
source, NOUN 
route, NOUN 
administration, NOUN 

, SPACE 
overall, ADJ 
nutritional, ADJ 
compositions, NOUN 
basal, NOUN 
diet, NOUN 

, SPACE 
contribute, VERB 
inter, ADJ 
experimental, ADJ 
variance, NOUN 
Notably, ADV 
early, ADJ 
studies, NOUN 

, SPACE 
simpli, PROPN 
ﬁed, PROPN 
amino, PROPN 
acid, NOUN 
based, VERB 
diets, NOUN 
apparently, ADV 
addition, NOUN 

, SPACE 
suf, NOUN 
ﬁcient, NOUN 
balanced, ADJ 
amounts, NOUN 
vitamins, NOUN 
1, NUM 

, SPACE 
minerals, NOUN 
optimal, ADJ 
near, ADP 
optimal, ADJ 
growth, NOUN 
36,37, X 
co-, ADJ 

, SPACE 
deﬁciency, NOUN 
ruled, VERB 
exact, ADJ 
composition, NOUN 
rat, PROPN 
basal, NOUN 

, SPACE 
diet, NOUN 
found, VERB 
literature, NOUN 
search, NOUN 
composition, NOUN 
basal, NOUN 

, SPACE 
diet, NOUN 
chick, ADJ 
studies, NOUN 
similar, ADJ 
formulated, ADJ 
low, ADJ 
Si, ADJ 
diet, NOUN 

, SPACE 
i.e., X 
vitamins, NOUN 
minerals, NOUN 
present, ADJ 
Table, NOUN 
1, NUM 

, SPACE 
apart, ADV 
chick, ADJ 
diet, NOUN 
amino, ADJ 
acid, NOUN 
based, VERB 
casein/, NUM 

, SPACE 
corn, NOUN 
based, VERB 
37, NUM 
unlikely, ADJ 

, SPACE 
methodology, NOUN 
time, NOUN 
absolute, ADJ 
content, NOUN 
Si, PROPN 
basal, NOUN 

, SPACE 
diet, NOUN 
assessed, VERB 
rat, NOUN 
study, NOUN 
reported, VERB 

, SPACE 
b5, PROPN 
µg, ADP 
Si, PROPN 
g, PROPN 
feed, NOUN 
11].Since, ADV 
group, NOUN 
29–34]has, NUM 
able, ADJ 
achieve, VERB 
similar, ADJ 

, SPACE 
low, ADJ 
dietary, ADJ 
levels, NOUN 
Si, PROPN 
animal, NOUN 
studies, NOUN 
circa, ADJ 
3, NUM 
µg, ADP 
Si, PROPN 
g, PROPN 
feed, NOUN 

, SPACE 
methods, NOUN 
accurate, ADJ 
analysis, NOUN 
Si, PROPN 
micronutrients, NOUN 

, SPACE 
measurement, NOUN 
skeletal, ADJ 
health, NOUN 
greatly, ADV 
advanced, VERB 

, SPACE 
drawing, VERB 
collaborative, ADJ 
expertise, NOUN 
research, NOUN 
groups, NOUN 
Si, PROPN 

, SPACE 
health, NOUN 
set, VERB 
determine, VERB 
role, NOUN 
Si, PROPN 
growth, NOUN 

, SPACE 
development, NOUN 
particular, ADJ 
skeletal, ADJ 
development, NOUN 
rat, NOUN 

, SPACE 
p, PROPN 
e, NOUN 
c, PROPN 
ﬁcally, ADV 
formulated, VERB 
low, ADJ 
Si, PROPN 
containing, VERB 
feed, NOUN 
low, ADJ 
Si-, NOUN 

, SPACE 
containing, VERB 
drinking, NOUN 
water, NOUN 
Si, ADJ 
supplementation, NOUN 

, SPACE 
group, NOUN 
rats, NOUN 
standard, ADJ 
rodent, ADJ 
stock, NOUN 
feed, NOUN 
drinking, NOUN 
water, NOUN 

, SPACE 
served, VERB 
reference, NOUN 
normal, ADJ 
anthropogenic, ADJ 
measures, NOUN 
standard, ADJ 

, SPACE 
rodent, ADJ 
stock, NOUN 
feed, NOUN 
higher, ADJ 
Si, PROPN 
content, NOUN 
formulated, VERB 
low, ADJ 
Si, ADJ 

, SPACE 
Table, PROPN 
1, NUM 

, SPACE 
Compositions, PROPN 
formulated, ADJ 
low, ADJ 
silicon, NOUN 
standard, ADJ 
rodent, ADJ 
stock, NOUN 
diets, VERB 

, SPACE 
Components, PROPN 
Formulated, ADJ 
low, ADJ 
Si, ADJ 
diet, NOUN 
Standard, PROPN 
rodent, NOUN 
dieta, ADP 

, SPACE 
g, NOUN 
kg, PROPN 
total, ADJ 
diet, NOUN 

, SPACE 
w, NOUN 
w)g, PROPN 
kg, PROPN 
total, ADJ 
diet, NOUN 

, SPACE 
w, PROPN 
w, PROPN 

, SPACE 
Protein, NOUN 
120b12, NUM 
18, NUM 

, SPACE 
Carbohydrate, NOUN 
ﬁbre, PROPN 
400c40, PROPN 
61, NUM 

, SPACE 
Glucose, PROPN 
4.38, NUM 
0.44Sucrose, NOUN 
367, NUM 
36.7Oil, NUM 
50, NUM 

, SPACE 
d5, NOUN 
2.5, NUM 

, SPACE 
Choline, PROPN 
0.56, NUM 
0.056, NUM 
1.22, NUM 

, SPACE 
L, PROPN 
Methionine, PROPN 
10, NUM 
1, NUM 
0.3, NUM 

, SPACE 
L, PROPN 
Lysine, PROPN 
5, NUM 
0.5, NUM 
1, NUM 

, SPACE 
Cystine, PROPN 
0.57, NUM 

, SPACE 
Ash, PROPN 
5.5, NUM 

, SPACE 
Vitamin, NOUN 
mix, NOUN 
4.55, NUM 
g, NOUN 
kg, PROPN 
0.455, NUM 
TDMineral, PROPN 
mix, NOUN 
20, NUM 
2, NUM 
4.40, NUM 

, SPACE 
Vitamin, NOUN 
mix, NOUN 
composition, NOUN 
mg, PROPN 
kg, PROPN 
IU, PROPN 
kg, PROPN 
mg, PROPN 
kg, PROPN 
IU, PROPN 
kg, PROPN 

, SPACE 
dl, PROPN 
trocophenol, NOUN 
vit, PROPN 
E, PROPN 
200, NUM 
104, NUM 

, SPACE 
Vitamin, NOUN 
16, NUM 
8000, NUM 
12000, NUM 

, SPACE 
Vitamin, PROPN 
D3, PROPN 
3.8, NUM 
1520, NUM 
1500Menadione, NUM 
vit, PROPN 
K, PROPN 
1, NUM 
15Biotin, NUM 
vit, PROPN 
B7, PROPN 
1, NUM 
0.334Folic, NUM 
acid, NOUN 
vit, PROPN 
M, PROPN 
2, NUM 
2.5Inositol, NUM 
