DlSCRETE, PROPN 
set, VERB 
al, PROPN 
bi, PROPN 
u, NOUN 
bi, PROPN 
11, NUM 
d, NOUN 
6, NUM 
WI, PROPN 
>, X 
edge, NOUN 
set, VERB 
al, PROPN 
bi+l, PROPN 
bi, PROPN 
1, NUM 
6, NUM 
<, X 
m, VERB 

, SPACE 
definition, NOUN 
easy, ADJ 
Cr, PROPN 
x0, PROPN 
C2, PROPN 
=, PUNCT 
Cr, PROPN 
x, SYM 
C2, PROPN 
=, PUNCT 
Ci, PROPN 
x, PROPN 
C2, PROPN 

, SPACE 
convenience, NOUN 
edges, NOUN 
component, NOUN 
vertical, ADJ 
edges, NOUN 

, SPACE 
horizontal, ADJ 
type, NOUN 
edges, NOUN 
r, NOUN 
pseudo, NOUN 
Cartesian, ADJ 
product, NOUN 
vertex, NOUN 

, SPACE 
set, VERB 
ai, NOUN 
bj, ADV 
1, NUM 
1, NUM 
d, X 
<, X 
VI, PROPN 
bj, NOUN 
row, NOUN 
vertex, NOUN 
set, VERB 
ai, NOUN 
bj, ADV 
1, NUM 
<, X 
j, PROPN 
<, X 
m, X 
ui, NOUN 
column, NOUN 

, SPACE 
C., PROPN 
Fan, PROPN 
et, PROPN 
al, PROPN 
Discrete, PROPN 
Mathematics, PROPN 
158, NUM 
1996, NUM 
49, NUM 
62, NUM 
51, NUM 

, SPACE 
Remark, PROPN 
2.3, NUM 
gcd(r, PROPN 
m, PROPN 
=, VERB 
t, NOUN 
r, NOUN 
pseudo, NOUN 
Cartesian, ADJ 
product, NOUN 
Ci, PROPN 
x, PROPN 
V, PROPN 
C2, PROPN 

, SPACE 
horizontal, ADJ 
type, NOUN 
edges, NOUN 
form, VERB 
2, NUM 
factor, NOUN 
H, NOUN 
consists, VERB 
oft, ADJ 
cycles, NOUN 
length, NOUN 
mn)/t, PROPN 

, SPACE 
consecutive, ADJ 
t, NOUN 
rows, NOUN 
Ci, PROPN 
x,, PROPN 
CZ, PROPN 
t, PROPN 
different, ADJ 
cycles, NOUN 
H., PROPN 

, SPACE 
1973, NUM 
Kotzig, PROPN 
proved, VERB 
Cartesian, ADJ 
product, NOUN 
cycles, NOUN 

, SPACE 
decomposed, VERB 
hamiltonian, ADJ 
cycles, NOUN 
6, NUM 
short, ADJ 
proof, NOUN 

, SPACE 
generalize, VERB 
result, NOUN 
pseudo, ADJ 
Cartesian, ADJ 
product, NOUN 
cycles, NOUN 

, SPACE 
simple, ADJ 
facts, NOUN 

, SPACE 
Fact, NOUN 
2.4, NUM 
uluZ, ADJ 
~, SYM 
E(Q1, PROPN 
v~~;~E, PROPN 
E(Q2, PROPN 
Q1, PROPN 
Q2, PROPN 
disjoint, NOUN 
cycles, NOUN 

, SPACE 
QIuQ2, PROPN 
u, NOUN 
~, NOUN 
u~,v, X 
~, X 
u~~)u, NOUN 
~, X 
u, NOUN 
~, NOUN 
u~.u~~~, PART 
cycle, NOUN 

, SPACE 
Fact, NOUN 
2.5, NUM 
Given, VERB 
cycle, NOUN 
C, NOUN 
let, VERB 
ulu2, NOUN 
vlv2, PROPN 
edges, NOUN 
C, NOUN 
separated, VERB 

, SPACE 
edges, NOUN 
C, PROPN 
u1u~,v1v2})u, NOUN 
~, PROPN 
uIv1, PROPN 
u2c2J, PROPN 
2, NUM 
factor, NOUN 
containing, VERB 

, SPACE 
cycles, NOUN 

, SPACE 
Fact, NOUN 
2.6, NUM 
Given, VERB 
cycle, NOUN 
C, NOUN 
let, VERB 
uluz, NOUN 
v1v2, AUX 
edges, NOUN 
C, NOUN 
separated, VERB 

, SPACE 
edges, NOUN 
vertices, NOUN 
appear, VERB 
C, PROPN 
order, NOUN 
u1,u2,v1,v2, PROPN 

, SPACE 
C, PROPN 
ju1u2,cIv2})u{u1v1,u2v~~, PROPN 
cycle, NOUN 

, SPACE 
following, VERB 
discussions, NOUN 
color, VERB 
horizontal, ADJ 
type, NOUN 
edges, NOUN 
color, NOUN 

, SPACE 
blue, ADJ 
vertical, ADJ 
edges, NOUN 
color, NOUN 
red, ADJ 
C, PROPN 
x, PROPN 
C2, PROPN 

, SPACE 
Definition, PROPN 
2.7, NUM 
color, NOUN 
switching, NOUN 
C, PROPN 
x, PROPN 
C2, PROPN 
means, VERB 
1, NUM 
6, NUM 
6, NUM 
n, NUM 
1, NUM 

, SPACE 
1, NUM 
d, NOUN 
s, NOUN 
d, NUM 
m, VERB 
interchange, VERB 
colors, NOUN 
edge, NOUN 
sets, NOUN 
q, PROPN 
b,)(ai, INTJ 
b, PROPN 
1, NUM 

, SPACE 
ai+l, NOUN 
bs)(ai+l, NOUN 
bs+l)3, PROPN 
ai, NOUN 
b,)(ai+l, PROPN 
b, PROPN 
ai, VERB 
bs+l)(a;+l, PROPN 
bs+l, PROPN 

, SPACE 
Ui, PROPN 
ai+, PROPN 
1, NUM 
b, NUM 
b, PROPN 
Y+, PROPN 
i}-color, PROPN 
switching, VERB 

, SPACE 
proposition, NOUN 
Lemma, PROPN 
3.13, NUM 
8, NUM 
seen, VERB 
easily, ADV 

, SPACE 
Remark, PROPN 
2.3, NUM 
Fact, NOUN 
2.4, NUM 

, SPACE 
Proposition, PROPN 
2.8, NUM 
gcd(r, PROPN 
m, PROPN 
=, VERB 
2, NUM 
t, NOUN 
+, NUM 
1, NUM 
3, NUM 
3, NUM 
making, VERB 
color, NOUN 
switchings, NOUN 

, SPACE 
1,2, NUM 
2, NUM 
t, NOUN 
C, PROPN 
x, NOUN 
r, NOUN 
C, PROPN 
shown, VERB 
Fig, PROPN 
1, NUM 
obtain, VERB 
blue, ADJ 
hamiltonian, ADJ 
cycle, NOUN 
connect, VERB 

, SPACE 
red, ADJ 
cycles, NOUN 
aj, ADJ 
columns, NOUN 
j, NOUN 
=, SYM 
1,2,3, NUM 
single, ADJ 
red, ADJ 
cycle, NOUN 

, SPACE 
Note, VERB 
direction, NOUN 
blue, ADJ 
hamiltonian, ADJ 
cycle, NOUN 
H, PROPN 
Fig, PROPN 
1, NUM 

, SPACE 
directed, ADJ 
cycle, NOUN 
blue, ADJ 
arcs, NOUN 
row, NOUN 
direction, NOUN 

, SPACE 
blue, ADJ 
arcs, NOUN 
b, NOUN 
i+, PROPN 
row, NOUN 
blue, ADJ 
arcs, NOUN 
bzi, NOUN 
row, NOUN 
opposite, ADJ 
direction, NOUN 

, SPACE 
0, NUM 
<, X 
d, NOUN 
t., PROPN 
blue, ADJ 
arcs, NOUN 
bi, NOUN 
row, NOUN 
b2,+2, NOUN 
row, NOUN 

, SPACE 
direction, NOUN 
rows, NOUN 
blue, ADJ 
cycle, NOUN 
color, NOUN 

, SPACE 
switchings, NOUN 
follows, VERB 
blue, ADJ 
arcs, NOUN 
b,,+, PROPN 
row, NOUN 
b2t+2, NOUN 
row, NOUN 

, SPACE 
direction, NOUN 
Fact, NOUN 
2.6, NUM 
additional, ADJ 
color, NOUN 
switching, NOUN 
rows, NOUN 

, SPACE 
yield, VERB 
blue, ADJ 
hamiltonian, ADJ 
cycle, NOUN 
leads, VERB 
lemma, NOUN 

, SPACE 
C., PROPN 
Fan, PROPN 
et, PROPN 
al, PROPN 
J, PROPN 
Discrete, PROPN 
Mathematics, PROPN 
15X, NUM 
1996, NUM 
49, NUM 
62, NUM 

, SPACE 
bl+x, PROPN 

, SPACE 
b2+x, NOUN 

, SPACE 
b3+x, VERB 

, SPACE 
btx, PROPN 

, SPACE 
b+x, NUM 

, SPACE 
b, PROPN 
m-1+x, NOUN 

, SPACE 
b, DET 
m+x, PROPN 
al, PROPN 
a2, PROPN 
a3, PROPN 
a4, PROPN 
a5, NOUN 
a,_l, NOUN 

, SPACE 
Fig, PROPN 
1, NUM 
Color, ADJ 
switchings, NOUN 
C, PROPN 
x, PROPN 
C, PROPN 
I., PROPN 

, SPACE 
aq, ADP 
ht, PROPN 
a., NOUN 

, SPACE 

, SPACE 

, SPACE 

, SPACE 

, SPACE 
ZE, INTJ 

, SPACE 

, SPACE 
1, NUM 

, SPACE 

, SPACE 

, SPACE 

, SPACE 
22, NUM 
h-1, PROPN 

, SPACE 

, SPACE 
Fig, PROPN 
2, NUM 
Color, ADJ 
switchings, NOUN 
C, PROPN 
x, PROPN 
C, PROPN 
II, PROPN 

, SPACE 
Lemma, PROPN 
2.9, NUM 
gcd(r, PROPN 
m, PROPN 
=, VERB 
2, NUM 
t, NOUN 
+, NUM 
1, NUM 
2, NUM 
3, NUM 
making, VERB 
color, NOUN 
switchings, NOUN 
shown, VERB 

, SPACE 
Fig, PROPN 
1, NUM 
x, SYM 
=, X 
0, NUM 
color, NOUN 
switching, VERB 
X, NOUN 
=, NOUN 
a4, PROPN 
b, PROPN 
1, NUM 
b21, NOUN 
+, NOUN 
2, NUM 
obtain, VERB 
blue, ADJ 

, SPACE 
hamiltonian, ADJ 
cycle, NOUN 
connect, VERB 
red, ADJ 
cycles, NOUN 
aj, ADJ 
columns, NOUN 
j, PROPN 
<, X 
4, NUM 
single, ADJ 
red, ADJ 
cycle, NOUN 

, SPACE 
Similarly, ADV 
Remark, PROPN 
2.3, NUM 
Fact, NOUN 
2.4, NUM 
imply, VERB 
lemma, NOUN 

, SPACE 
Lemma, PROPN 
2.10, NUM 
gcd(r, PROPN 
m, PROPN 
=, VERB 
2, NUM 
t, NOUN 
3, NUM 
4, NUM 
n, NUM 
>, X 
4, NUM 
making, VERB 
color, NOUN 
switchings, NOUN 

, SPACE 
1,2, NUM 
2, NUM 
t, NOUN 
1, NUM 
C1, PROPN 
x, PROPN 
C2, PROPN 
shown, VERB 
Fig, PROPN 
2, NUM 
obtain, VERB 
blue, ADJ 
hamiltonian, ADJ 
cycle, NOUN 

, SPACE 
connect, VERB 
jirst, ADJ 
columns, NOUN 
single, ADJ 
red, ADJ 
cycle, NOUN 

, SPACE 
C., PROPN 
Fan, PROPN 
et, PROPN 
al, PROPN 
111, NUM 
Discrete, PROPN 
Mathematics, PROPN 
127, NUM 
1996, NUM 
49, NUM 
62, NUM 
53, NUM 

, SPACE 
Suppose, VERB 
X1,X2, NOUN 
Xk, PROPN 
k, PROPN 
>, X 
3, NUM 
edge, NOUN 
disjoint, NOUN 
color, NOUN 
switchings, NOUN 

, SPACE 
C1, PROPN 
x, PROPN 
Cz, PROPN 
Xk, NOUN 
1, NUM 
Xk, PROPN 
form, VERB 
good, ADJ 
pair, NOUN 
switching, VERB 
Xi, PROPN 
<, X 
k, PROPN 
3, PROPN 

, SPACE 
right, NOUN 
Xke2,Xk-, PROPN 
1, NUM 
right, NOUN 
XkPZ, PROPN 
Xk, PROPN 
right, NOUN 
Xk, PROPN 
l, NOUN 

, SPACE 
positive, ADJ 
integer, NOUN 
J, PROPN 
Xk, NOUN 
2, NUM 
Xk, PROPN 
h,-row, NOUN 
h, PROPN 
1, NUM 
row, NOUN 

, SPACE 
Xk-, PROPN 
h, NOUN 
1, NUM 
row, NOUN 
/JV, NOUN 
row, NOUN 
b,+I, NOUN 
row, NOUN 

, SPACE 
h, VERB 
p+, ADJ 
2, NUM 
row, NOUN 

, SPACE 
Lemma, PROPN 
2.11, NUM 
Suppose, VERB 
X1, PROPN 
Xz, PROPN 
Xk, PROPN 
k, PROPN 
2, NUM 
3, NUM 
edge, NOUN 
disjoint, NOUN 
color, NOUN 
switch-, NOUN 

, SPACE 
ings, NOUN 
C1, PROPN 
x, PROPN 
Cz, NOUN 
Xk, PROPN 
Xk, PROPN 
form, VERB 
good, ADJ 
pair, NOUN 
making, VERB 
color, NOUN 
sGtchings, PROPN 

, SPACE 
X1, PROPN 
X2, PROPN 
Xke2, PROPN 
blue, ADJ 
hamiltonian, ADJ 
cycle, NOUN 
Mae, PROPN 
hlue, NOUN 
hamil-, PART 

, SPACE 
tonian, ADJ 
cycle, NOUN 
making, VERB 
additional, ADJ 
color, NOUN 
sM+tchings, PROPN 
X, PROPN 
XL, PROPN 

, SPACE 
Proof, PROPN 
Suppose, VERB 
making, VERB 
color, NOUN 
switchings, NOUN 
X1, PROPN 
X, PROPN 
Xk, PROPN 
2, NUM 
blue, ADJ 

, SPACE 
hamiltonian, ADJ 
cycle, NOUN 
H., PROPN 
color, NOUN 
switching, VERB 
Xk, PROPN 
follows, VERB 
Fact, PROPN 
2.5, NUM 

, SPACE 
H, PROPN 
separated, VERB 
blue, ADJ 
cycles, NOUN 
contained, VERB 
h,-row, NOUN 

, SPACE 
h, NOUN 
.+, PROPN 
-row, X 
follows, VERB 
Fact, PROPN 
2.4, NUM 
completing, VERB 
color, NOUN 
switching, NOUN 
Xk, PROPN 
1, NUM 

, SPACE 
blue, ADJ 
cycles, NOUN 
connected, VERB 
blue, ADJ 
hamiltonian, ADJ 
cycle, NOUN 
0, PUNCT 

, SPACE 
Lemma, PROPN 
2.12, NUM 
gcd(r, PROPN 
m, PROPN 
=, VERB 
1, NUM 
2, NUM 
C1, PROPN 
x, PROPN 
C2, PROPN 
hamiltonian, ADJ 
decomposition, NOUN 

, SPACE 
Proof, PROPN 
color, NOUN 
switching, VERB 
X, PROPN 
=, SYM 
jaI, PROPN 
a2,hI, PROPN 
h, PROPN 
claim, VERB 

, SPACE 
switching, VERB 
results, NOUN 
blue, ADJ 
hamiltonian, ADJ 
cycle, NOUN 
fact, NOUN 
gcd(r, PROPN 
m, PROPN 
=, VERB 
2, NUM 
claim, NOUN 

, SPACE 
follows, VERB 
directly, ADV 
Remark, PROPN 
2.3, NUM 
Fact, NOUN 
2.4, NUM 
gcd(r, PROPN 
m, PROPN 
=, VERB 
1, NUM 
follows, VERB 

, SPACE 
Remark, PROPN 
2.3, NUM 
horizontal, ADJ 
type, NOUN 
edges, NOUN 
i.e., X 
blue, ADJ 
edges, NOUN 
C, PROPN 
x, PROPN 
C2, PROPN 

, SPACE 
form, VERB 
hamiltonian, ADJ 
cycle, NOUN 
H, NOUN 
switching, VERB 
X., PROPN 
Furthermore, ADV 
direction, NOUN 

, SPACE 
H, NOUN 
H, PROPN 
directed, ADJ 
cycle, NOUN 
directions, NOUN 
subpaths, NOUN 

, SPACE 
Pi, PROPN 
=, PROPN 
aI, NUM 
hi),(az, PROPN 
hi, PROPN 
hi, PROPN 
1, NUM 
<, X 
<, VERB 
m, VERB 
al, PROPN 
bi, PROPN 
hi, PROPN 

, SPACE 
i.e., X 
left, NOUN 
right, NOUN 
claim, NOUN 
follows, VERB 
Fact, PROPN 
2.6, NUM 
let, VERB 

, SPACE 
d, X 
=, X 
L, PROPN 
n, NUM 
2)/2, NUM 
1, NUM 
Define, VERB 
color, NOUN 
switchings, NOUN 
X1,X2, NOUN 
XZd, X 
Xzi, PROPN 
1, NUM 
=, AUX 

, SPACE 
azi.a2i+lvh,,h3j, NUM 
X2i, PROPN 
=, PROPN 
azi+l, NUM 
azi+z, NUM 
hl, PROPN 
h, PROPN 
making, VERB 
color, NOUN 
switchings, NOUN 

, SPACE 
intheorderX,,X, PROPN 
XZd, X 
pair, NOUN 
X, PROPN 
i-, X 
l, NOUN 
Xzi, PROPN 
time, NOUN 
follows, VERB 

, SPACE 
Lemma, PROPN 
2.11, NUM 
end, VERB 
blue, ADJ 
hamiltonian, ADJ 
cycle, NOUN 
H., PROPN 
Fact, PROPN 
2.4, NUM 

, SPACE 
red, ADJ 
cycle, NOUN 
Q, PROPN 
consists, VERB 
vertices, NOUN 
ai, NOUN 
columns, NOUN 
<, X 
2d, NUM 
+, NUM 
2, NUM 
n, NOUN 

, SPACE 
hamiltonian, ADJ 
decomposition, NOUN 
n, ADV 
odd, ADJ 
red, ADJ 

, SPACE 
2, NUM 
factor, NOUN 
consists, VERB 
cycles, NOUN 
Q, PROPN 
a,-column, NOUN 
Let, VERB 
Y, PROPN 

, SPACE 
a,~, NOUN 
1, NUM 
b,,h,)-color, NOUN 
switching, NOUN 
let, VERB 
YZ, PROPN 
switch, VERB 
colors, NOUN 
edge, NOUN 
sets, NOUN 

, SPACE 
al.hl+,)(a,,h, PROPN 
a,,b,+,)(a,,b,)I, ADJ 
j(al, PROPN 
bI+,)(aI.hz+, PROPN 
a,,bl)(u,,hz)i, PROPN 

, SPACE 
X, PROPN 
Y2, PROPN 
edge, NOUN 
disjoint, NOUN 
r, NOUN 
0, NUM 
m., NOUN 
argument, NOUN 
proof, NOUN 

, SPACE 
Lemma, PROPN 
2.11, NUM 
conclude, VERB 
blue, ADJ 
hamiltonian, ADJ 
cycle, NOUN 
making, VERB 

, SPACE 
color, NOUN 
switchings, NOUN 
Y, PROPN 
1, NUM 
Y2, NOUN 
end, VERB 
red, ADJ 
hamiltonian, ADJ 
cycle, NOUN 

, SPACE 
switching, VERB 
Y, PROPN 
1, NUM 
obtain, VERB 
red, ADJ 
hamiltonian, ADJ 
cycle, NOUN 
Q, PROPN 
Note, VERB 

, SPACE 
direction, NOUN 
Q, PROPN 
Q, PROPN 
directed, ADJ 
cycle, NOUN 
red, ADJ 
arcs, NOUN 

, SPACE 
column, NOUN 
direction, NOUN 
red, ADJ 
arcs, NOUN 
ai, NOUN 
column, NOUN 
red, ADJ 
arcs, NOUN 

, SPACE 
54, NUM 
C., PROPN 
Fan, PROPN 
et, PROPN 
al, PROPN 
/Discrete, PUNCT 
Mathematics, PROPN 
158, NUM 
1996, NUM 
49, NUM 
62, NUM 

, SPACE 
theai+r, PROPN 
-column, NOUN 
opposite, ADJ 
direction, NOUN 
1, NUM 
<, X 
d, NOUN 
n, NUM 
1, NUM 
n, NOUN 
odd, ADJ 
red, ADJ 

, SPACE 
arcs, NOUN 
al, PROPN 
column, NOUN 
a,-column, NOUN 
direction, NOUN 
Fact, PROPN 
2.6, NUM 

, SPACE 
switching, VERB 
