Original, ADJ 
bone, NOUN 
specimens, NOUN 
soaked, VERB 
sol, NOUN 
vents, NOUN 
measured, VERB 
tension, NOUN 
progressive, ADJ 
loading, NOUN 
scheme, NOUN 
addition, NOUN 
bone, NOUN 
specimens, NOUN 
treat-, X 

, SPACE 
ments, NOUN 
tested, VERB 
baseline, NOUN 
control, NOUN 
dehydrated, ADJ 
bone, NOUN 
specimens, NOUN 
served, VERB 
negative, ADJ 

, SPACE 
control, NOUN 
experimental, ADJ 
results, NOUN 
indicated, VERB 
22.3, NUM 
±, PROPN 
5.17, NUM 
vol%, PROPN 
original, ADJ 
matrix, NOUN 
water, NOUN 
bone, NOUN 
placed, VERB 
CCl, NOUN 

, SPACE 
4, NUM 
71.8, NUM 
±, PROPN 
3.77, NUM 
vol%, PROPN 
DMF, PROPN 
85.5, NUM 
±, PROPN 
5.15, NUM 
vol%, PROPN 
EG, PROPN 
nearly, ADV 
100, NUM 
D, PROPN 
2Oa, NUM 
n, NOUN 
dH, NUM 
2O, PROPN 
respectively, ADV 

, SPACE 
CCl4soaked, VERB 
specimens, NOUN 
showed, VERB 
similar, ADJ 
mechanical, ADJ 
properties, NOUN 
dehydrated, ADJ 
ones, NOUN 
Despite, SCONJ 
great, ADJ 
differ-, ADJ 

, SPACE 
ences, NOUN 
replacing, VERB 
water, NOUN 
slight, ADJ 
differences, NOUN 
observed, VERB 
mechanical, ADJ 
behavior, NOUN 
EG, PROPN 
DMF, PROPN 
soakedspecimens, NOUN 
compared, VERB 
dehydrated, ADJ 
bone, NOUN 
samples, NOUN 
contrast, NOUN 
D, PROPN 

, SPACE 
2O, PROPN 
preserved, VERB 
mechanical, ADJ 
properties, NOUN 

, SPACE 
bone, NOUN 
comparable, ADJ 
water, NOUN 
results, NOUN 
study, NOUN 
suggest, VERB 
limited, ADJ 
portion, NOUN 
water, NOUN 
b15, NOUN 
vol%, PROPN 
orig-, ADJ 

, SPACE 
inal, ADJ 
matrix, NOUN 
water, NOUN 
plays, VERB 
pivotal, ADJ 
role, NOUN 
mechanical, ADJ 
behavior, NOUN 
bone, NOUN 
likely, ADV 
resides, VERB 
small, ADJ 
ma, ADJ 
trix, NOUN 
spaces, NOUN 
solvent, ADJ 
molecules, NOUN 
larger, ADJ 
4.0, NUM 
Å, NOUN 
ﬁltrate, PROPN 

, SPACE 
©, ADJ 
2013, NUM 
Elsevier, ADJ 
Inc., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
Introduction, PROPN 

, SPACE 
Bone, PROPN 
natural, ADJ 
composite, ADJ 
material, NOUN 
highly, ADV 
hierarchical, ADJ 
struc-, ADJ 

, SPACE 
ture, NOUN 
consists, VERB 
major, ADJ 
constituents, NOUN 
i.e.mineral, ADJ 
organic, ADJ 

, SPACE 
matrix, NOUN 
water, NOUN 
respectively, ADV 
known, VERB 
decades, NOUN 
re-, ADP 

, SPACE 
moval, NOUN 
water, NOUN 
dehydration, NOUN 
lead, VERB 
marked, ADJ 
decrease, NOUN 

, SPACE 
toughness, NOUN 
increase, NOUN 
stiffness, NOUN 
bone, NOUN 
suggesting, VERB 

, SPACE 
water, NOUN 
plays, VERB 
important, ADJ 
role, NOUN 
pre-, ADJ 
post, ADJ 
yield, ADJ 
behavior, NOUN 

, SPACE 
bone, NOUN 
1,2, NUM 

, SPACE 
Previous, ADJ 
NMR, PROPN 
studies, NOUN 
reveal, VERB 
water, NOUN 
bone, NOUN 
present, ADJ 

, SPACE 
different, ADJ 
conformations, NOUN 
freely, ADV 
mobile, ADJ 
water, NOUN 
pores, NOUN 

, SPACE 
Haversian, ADJ 
canals, NOUN 
canaliculi, PROPN 
lacunae, PROPN 
spaces, NOUN 
bound, VERB 
water, NOUN 
surfaces, NOUN 

, SPACE 
and/or, CCONJ 
mineral, NOUN 
collagen, NOUN 
phases, NOUN 
structural, ADJ 
water, NOUN 

, SPACE 
collagen, NOUN 
mineral, NOUN 
molecules, NOUN 
3–5].W, NOUN 
t, NOUN 
e, NOUN 
rm, NOUN 
yr, X 
e, NOUN 
s, PROPN 
d, X 
ei, INTJ 
nt, INTJ 
h, PROPN 
e, NOUN 

, SPACE 
gap, NOUN 
mineral, NOUN 
collagen, NOUN 
interface, NOUN 
order, NOUN 
ang-, ADJ 

, SPACE 
stroms, NOUN 
6, NUM 
hand, NOUN 
matrix, NOUN 
water, NOUN 
replaced, VERB 

, SPACE 
minerals, NOUN 
continuous, ADJ 
mineralization, NOUN 
process, NOUN 
7, NUM 
re-, ADV 

, SPACE 
moval, NOUN 
water, NOUN 
speculated, VERB 
alter, VERB 
behavior, NOUN 
collagenphase, NOUN 
reducing, VERB 
capacity, NOUN 
dissipate, VERB 
energy, NOUN 
bone, NOUN 
8, NUM 
Fur-, NOUN 

, SPACE 
thermore, NOUN 
dynamic, ADJ 
mechanical, ADJ 
analyses, NOUN 
indicate, VERB 
bone, NOUN 
viscoelasticbehavior, NOUN 
likely, ADV 
related, VERB 
water, NOUN 
bone, NOUN 
collagen, NOUN 

, SPACE 
phase, NOUN 
9,10, X 
respective, ADJ 
contribution, NOUN 

, SPACE 
types, NOUN 
matrix, NOUN 
water, NOUN 
mechanical, ADJ 
properties, NOUN 
bone, NOUN 
poorlyunderstood, NOUN 

, SPACE 
study, NOUN 
hypothesized, VERB 
bulk, ADJ 
mechanical, ADJ 
properties, NOUN 

, SPACE 
bone, NOUN 
signi, NOUN 
ﬁcantly, ADV 
related, VERB 
water, NOUN 
molecules, NOUN 
reside, VERB 
ex-, NOUN 

, SPACE 
tremely, ADV 
small, ADJ 
i.e.angstrom, ADP 
level, NOUN 
spaces, NOUN 
bone, NOUN 
matrix, NOUN 

, SPACE 
water, NOUN 
solvent, NOUN 
akin, ADJ 
water, NOUN 
ﬁltrate, PROPN 
test, VERB 
hypoth-, ADJ 

, SPACE 
esis, NOUN 
proposed, VERB 
replace, VERB 
water, NOUN 
bone, NOUN 
matrix, NOUN 
solventsthat, NOUN 
harmless, ADJ 
structural, ADJ 
integrity, NOUN 
bone, NOUN 
constituents, NOUN 
i.e., X 

, SPACE 
mineral, NOUN 
collagen, NOUN 
different, ADJ 
molecular, ADJ 
size, NOUN 
i.e.kinetic, ADJ 

, SPACE 
diameter, NOUN 
and/or, CCONJ 
chemical, PROPN 
characteristics, NOUN 
i.e.polarity, NOUN 
hydrogen, NOUN 

, SPACE 
bonding, NOUN 
ability, NOUN 
correlation, NOUN 
molecular, ADJ 
size, NOUN 
polarity, NOUN 
andhydrogen, NOUN 
bonding, NOUN 
ability, NOUN 
soaking, VERB 
ability, NOUN 
solvents, NOUN 

, SPACE 
bone, NOUN 
matrix, NOUN 
effect, NOUN 
mechanical, ADJ 
behavior, NOUN 
bone, NOUN 

, SPACE 
investigated, VERB 

, SPACE 
Materials, NOUN 
methods, NOUN 

, SPACE 
Specimen, PROPN 
preparation, NOUN 

, SPACE 
human, ADJ 
cadaveric, NOUN 
tibiae, NOUN 
male, ADJ 
donors, NOUN 
N=, PROPN 
6, NUM 
procured, VERB 

, SPACE 
Willed, PROPN 
Body, PROPN 
Program, PROPN 
UT, PROPN 
Southwestern, PROPN 
Medical, PROPN 
Center, PROPN 
atBone, NOUN 
59, NUM 
2014, NUM 
199, NUM 
206, NUM 

, SPACE 
⁎Corresponding, PROPN 
author, NOUN 
Department, PROPN 
Mechanical, PROPN 
Engineering, PROPN 
University, PROPN 

, SPACE 
Texas, PROPN 
San, PROPN 
Antonio, PROPN 
UTSA, PROPN 
Circle, PROPN 
San, PROPN 
Antonio, PROPN 
TX, PROPN 
78249, NUM 
USA, PROPN 
Fax, NOUN 
+1, ADJ 
210, NUM 
458, NUM 
6504, NUM 

, SPACE 
E, ADJ 
mail, NOUN 
address, NOUN 
xiaodu.wang@utsa.edu, X 
X., PROPN 
Wang, PROPN 

, SPACE 
8756, NUM 
3282/$, NUM 
matter, NOUN 
©, ADJ 
2013, NUM 
Elsevier, ADJ 
Inc., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
http://dx.doi.org/10.1016/j.bone.2013.11.018, NOUN 

, SPACE 
Contents, PROPN 
lists, NOUN 
available, ADJ 
ScienceDirect, PROPN 

, SPACE 
Bone, PROPN 

, SPACE 
journal, NOUN 
homepage, NOUN 
www.elsevier.com/locate/bone, PROPN 

, SPACE 
Dallas, PROPN 
TX, PROPN 
stipulation, NOUN 
donors, NOUN 
known, VERB 
bone, NOUN 
dis-, NOUN 

, SPACE 
eases, NOUN 
donor, NOUN 
ages, NOUN 
51, NUM 
52, NUM 
54, NUM 
56, NUM 
58, NUM 
76, NUM 
years, NOUN 
respectively, ADV 

, SPACE 
Seven, PROPN 
7, NUM 
dog, NOUN 
bone, NOUN 
shaped, VERB 
tensile, ADJ 
test, NOUN 
specimens, NOUN 
prepared, VERB 

, SPACE 
mid, ADJ 
diaphysis, NOUN 
tibia, PROPN 
CNC, PROPN 
machine, NOUN 
randomly, ADV 
di-, VERB 

, SPACE 
vided, VERB 
seven, NUM 
7, NUM 
groups, NOUN 
including, VERB 
4, NUM 
test, NOUN 
groups, NOUN 
Table, NOUN 
1, NUM 
n, CCONJ 

, SPACE 
addition, NOUN 
control, NOUN 
dehydrated, VERB 
rehydrated, VERB 
baseline, NOUN 
control(wet, NOUN 
bone, NOUN 
treatment, NOUN 
negative, ADJ 
control, NOUN 
dehydrated)group, NOUN 
specimens, NOUN 
gauge, NOUN 
length, NOUN 
10, NUM 
mm, NOUN 
gauge, NOUN 
cross-, VERB 

, SPACE 
section, NOUN 
2.0, NUM 
mm, NUM 
×, PROPN 
2.0, NUM 
mm, NOUN 
prepared, ADJ 
specimens, NOUN 
preserved, VERB 

, SPACE 
phosphate, NOUN 
buffered, VERB 
saline, NOUN 
PBS, PROPN 
solution, NOUN 
stored, VERB 
freezer, NOUN 

, SPACE 
−20, PROPN 
°, NOUN 
C, PROPN 
prior, ADV 
treatments, NOUN 

, SPACE 
Selection, NOUN 
solvents, NOUN 

, SPACE 
water, NOUN 
molecules, NOUN 
interact, VERB 
mineral, NOUN 
organic, ADJ 
phases, NOUN 

, SPACE 
bone, NOUN 
major, ADJ 
pathways, NOUN 
i.e.hydrogen, NOUN 
bonding, NOUN 
polar, ADJ 

, SPACE 
interactions, NOUN 
following, VERB 
solvents, NOUN 
selected, VERB 
pool, NOUN 
poten, ADJ 
tial, ADJ 
solvents, NOUN 
different, ADJ 
polarity, NOUN 
hydrogen, NOUN 
bonding, NOUN 
capability, NOUN 

, SPACE 
molecular, ADJ 
size, NOUN 
Table, NOUN 
1, NUM 

, SPACE 
Water, PROPN 
H, NOUN 

, SPACE 
2O)—Water, NUM 
good, ADJ 
polar, ADJ 
solvent, NOUN 
11,12, X 
es-, ADJ 

, SPACE 
timated, VERB 
intermolecular, ADJ 
hydrogen, NOUN 
bond, NOUN 
energy, NOUN 
20.5, NUM 
kJ, NOUN 
mol, PROPN 
13, NUM 

, SPACE 
Water, PROPN 
smallest, ADJ 
molecular, ADJ 
size, NOUN 
2.4, NUM 
2.6, NUM 
Å, NOUN 
compared, VERB 

, SPACE 
solvents, NOUN 
14,15, X 

, SPACE 
Heavy, PROPN 
water, NOUN 
D2O)—Heavy, PROPN 
water, NOUN 
molecules, NOUN 
contain, VERB 
deuterium, NOUN 

, SPACE 
hydrogen, NOUN 
isotope, NOUN 
atoms, NOUN 
lieu, NOUN 
hydrogen, NOUN 
atoms, NOUN 
water, NOUN 
mole-, ADJ 

, SPACE 
cules, NOUN 
similar, ADJ 
polarity, NOUN 
chemical, NOUN 
structure, NOUN 
molecular, ADJ 
size, NOUN 

, SPACE 
2.6, NUM 
Å, NOUN 
16, NUM 
compared, VERB 
water, NOUN 
slightly, ADV 
higher, ADJ 
hydrogen, NOUN 
bond, NOUN 

, SPACE 
energy, NOUN 
~8, NOUN 

, SPACE 
Ethylene, NOUN 
glycol, NOUN 
EG)—Ethylene, ADJ 
glycol, NOUN 
molecules, NOUN 
hydrogen, NOUN 

, SPACE 
atoms, NOUN 
attached, VERB 
separate, ADJ 
oxygen, NOUN 
atoms, NOUN 
allowing, VERB 
formstrong, VERB 
hydrogen, NOUN 
bonds, NOUN 
readily, ADV 
molecules, NOUN 
high, ADJ 
polarity, NOUN 

, SPACE 
akin, ADJ 
water, NOUN 
addition, NOUN 
EG, PROPN 
smallest, ADJ 
organic, ADJ 
molecule, NOUN 

, SPACE 
form, VERB 
hydrogen, NOUN 
bond, NOUN 
network, NOUN 
like, ADP 
H, PROPN 

, SPACE 
2O[17, NUM 

, SPACE 
larger, ADJ 
molecular, ADJ 
size, NOUN 
4.0, NUM 
Å, NOUN 
18, NUM 
compared, VERB 
H, PROPN 
2O, NOUN 

, SPACE 
greatest, ADJ 
solvents, NOUN 
viscosity, NOUN 
harmless, ADJ 
bi-, PROPN 

, SPACE 
ological, ADJ 
systems, NOUN 
polymerized, ADJ 
ethylene, NOUN 
glycol, NOUN 
polyethylene, NOUN 
glycol, NOUN 

, SPACE 
cell, NOUN 
culture, NOUN 
scaffolds, NOUN 
tissue, NOUN 
engineering, NOUN 
studies[19,20, PROPN 

, SPACE 
Dimethylformamide, PROPN 
DMF)—DMF, PROPN 
polarity, NOUN 
comparable, ADJ 
EG, PROPN 

, SPACE 
lacks, VERB 
ability, NOUN 
serve, VERB 
donor, NOUN 
hydrogen, NOUN 
bonding, NOUN 
like, ADP 

, SPACE 
EG, PROPN 
DMF, PROPN 
similar, ADJ 
viscosity, NOUN 
larger, ADJ 
molecular, ADJ 
size, NOUN 
5.50, NUM 
Å)compared, NUM 
EG, PROPN 
15, NUM 
DMF, PROPN 
safely, ADV 
co, NOUN 
solvent, ADJ 

, SPACE 
cell, NOUN 
culture, NOUN 
21,22, X 
cause, VERB 
denaturation, NOUN 
collagen, NOUN 
mole-, ADJ 

, SPACE 
cules, NOUN 
17, NUM 

, SPACE 
Carbon, PROPN 
tetrachloride, NOUN 
CCl, NOUN 

, SPACE 
4)—CCl, PROPN 
4possesses, NOUN 
hydrogen, NOUN 

, SPACE 
bonding, NOUN 
ability, NOUN 
polarity, NOUN 
tetrahedral, ADJ 
symmetry, NOUN 
andhas, VERB 
molecular, ADJ 
size, NOUN 
4.65, NUM 
5.90, NUM 
Å, NOUN 
comparable, ADJ 
MDF, PROPN 
14].I, PROPN 
t, PROPN 
s, PUNCT 

, SPACE 
viscosity, NOUN 
0.84, NUM 
0.95, NUM 
cP, NUM 
20, NUM 
°, NOUN 
C, NOUN 
slightly, ADV 
lower, ADJ 
H, PROPN 

, SPACE 
2O, PROPN 

, SPACE 
1.00, NUM 
cP, NUM 
20, NUM 
°, NOUN 
C, NOUN 
density, NOUN 
higher, ADJ 
CCl, NOUN 
4has, PROPN 

, SPACE 
co, NOUN 
solvent, NOUN 
cell, NOUN 
culture, NOUN 
studies, NOUN 
23, NUM 

, SPACE 
study, NOUN 
kinetic, ADJ 
diameter, NOUN 
estimate, VERB 
molecu-, ADJ 

, SPACE 
lar, ADJ 
size, NOUN 
solvents, NOUN 
addition, NOUN 
hydrogen, NOUN 
bonding, NOUN 
energy, NOUN 

, SPACE 
measure, NOUN 
ability, NOUN 
solvent, ADJ 
molecules, NOUN 
form, VERB 
hydro-, NUM 

, SPACE 
gen, PROPN 
bonds, NOUN 
dielectric, ADJ 
constant, NOUN 
dipole, NOUN 

, SPACE 
moment, NOUN 
de, ADV 
ﬁne, VERB 
polarity, NOUN 
solvents, NOUN 
Finally, ADV 
vis-, NOUN 

, SPACE 
cosity, NOUN 
solvents, NOUN 
listed, VERB 
table, NOUN 
comparison, NOUN 
betweenthe, NOUN 
solvents, NOUN 
viscous, ADJ 
ﬂow, NOUN 
bone, NOUN 

, SPACE 
hard, ADJ 
impossible, ADJ 
adjust, VERB 
variable, NOUN 
i.e., X 

, SPACE 
polarity, NOUN 
hydrogen, NOUN 
bonding, NOUN 
ability, NOUN 
molecular, ADJ 
size, NOUN 
keeping, VERB 

, SPACE 
exactly, ADV 
possible, ADJ 
markedly, ADV 
vary, VERB 
pa-, NUM 

, SPACE 
rameter, NOUN 
keeping, VERB 
relatively, ADV 
similar, ADJ 
sol-, NOUN 

, SPACE 
vents, NOUN 
study, NOUN 
managed, VERB 
select, VERB 
solvents, NOUN 

, SPACE 
compared, VERB 
manner, NOUN 
instance, NOUN 
water, NOUN 
H, PROPN 

, SPACE 
2O, PROPN 
similar, ADJ 

, SPACE 
heavy, ADJ 
water, NOUN 
D, ADJ 
2O, NOUN 
slight, ADJ 
difference, NOUN 
hydrogen, NOUN 
bonding, NOUN 

, SPACE 
energy, NOUN 
addition, NOUN 
major, ADJ 
difference, NOUN 
water, NOUN 
H, PROPN 
2O, PROPN 
eth-, DET 

, SPACE 
ylene, PROPN 
glycols, NOUN 
EG, PROPN 
molecular, ADJ 
size, NOUN 
2.6, NUM 
Å, NOUN 
vs., ADP 
4.0, NUM 
Å, NOUN 
otherchemical, ADJ 
characteristics, NOUN 
similar, ADJ 
Comparing, VERB 
EG, PROPN 
DMF, PROPN 

, SPACE 
major, ADJ 
difference, NOUN 
ﬂected, VERB 
hydrogen, NOUN 
bonding, NOUN 
ability, NOUN 
Compar-, PROPN 

, SPACE 
ing, PROPN 
DMF, PROPN 
CCl, NOUN 

, SPACE 
4, NUM 
major, ADJ 
difference, NOUN 
polarity, NOUN 

, SPACE 
theory, NOUN 
solvents, NOUN 
considered, VERB 
chemically, ADV 
inert, ADJ 

, SPACE 
mineral, NOUN 
mainly, ADV 
hydroxylapatite, ADJ 
phase, NOUN 
bone, NOUN 
unlikely, ADJ 
thenegative, ADJ 
effect, NOUN 
selected, VERB 
solvents, NOUN 
structural, ADJ 
integrity, NOUN 
col-, NOUN 

, SPACE 
lagen, NOUN 
co, NOUN 
solvents, NOUN 
biological, ADJ 
studies, NOUN 

, SPACE 
19,20,23, NUM 
26, NUM 
verify, VERB 
pilot, NOUN 
study, NOUN 
performed, VERB 

, SPACE 
treating, VERB 
demineralized, VERB 
bone, NOUN 
samples, NOUN 
N=, PROPN 
2, NUM 
selected, VERB 

, SPACE 
solvents, NOUN 
days, NOUN 
ambient, ADJ 
temperature, NOUN 
having, VERB 

, SPACE 
tested, VERB 
tension, NOUN 
entire, ADJ 
soaking, NOUN 
process, NOUN 
observe, VERB 

, SPACE 
visual, ADJ 
damage, NOUN 
dissolved, VERB 
residues, NOUN 
solvents, NOUN 
mechan-, ADJ 

, SPACE 
ical, ADJ 
tests, NOUN 
indicated, VERB 
failure, NOUN 
strain, NOUN 
samples, NOUN 

, SPACE 
0.21, NUM 
0.25, NUM 
irrespective, ADJ 
solvents, NOUN 
consistent, ADJ 

, SPACE 
0.21, NUM 
0.22, NUM 
controls, NOUN 
soaked, VERB 
PBS, PROPN 
ruling, VERB 

, SPACE 
negative, ADJ 
effect, NOUN 
selected, VERB 
solvents, NOUN 
structural, ADJ 
integrity, NOUN 

, SPACE 
Table, PROPN 
1, NUM 

, SPACE 
Chemical, PROPN 
physical, ADJ 
properties, NOUN 
selected, VERB 
solvents, NOUN 
N=6, PROPN 
11–16,18,32, NUM 
42, NUM 

, SPACE 
Solvents, PROPN 
Molecular, ADJ 
structure, NOUN 
Kinetic, NOUN 
diameter, NOUN 

, SPACE 
dk(Å)Molecular, ADJ 
weight, NOUN 

, SPACE 
M(g, SYM 
mol)Density, VERB 
@25, ADJ 
°, NUM 
Cρ(g, PROPN 
cm, PROPN 

, SPACE 
3)Relative, ADJ 
permittivityε, NOUN 

, SPACE 
r(-)Dipole, PROPN 
momentp(D)H, PROPN 
Hb, PROPN 
o, NOUN 
n, X 
de, PROPN 
n, PROPN 
e, PROPN 
r, NOUN 
g, NOUN 
y, PROPN 

, SPACE 
kJ, NOUN 
mol)Viscosity, NOUN 
@20, NOUN 
°, NOUN 
Cη(cP, PROPN 

, SPACE 
H, PROPN 

, SPACE 
2O, PROPN 

 , SPACE 
2.4–2.6, NOUN 
18.015, NUM 
0.997, NUM 
78.30, NUM 
1.85, NUM 
20.5, NUM 
~1.000, NUM 

, SPACE 
D2O, PROPN 

 , SPACE 
2.6, NUM 
20.04, NUM 
1.104, NUM 
77.94, NUM 
1.85, NUM 
8, NUM 
higher, ADJ 
H, PROPN 
2O1, NUM 
2, NUM 
5, NUM 
1, NUM 

, SPACE 
EG, NOUN 
HO(CH, PROPN 
2)2OH[28, PROPN 

 , SPACE 
~4.0, X 
62.07, NUM 
1.11, NUM 
42.0, NUM 
2.33, NUM 
25.1, NUM 
16.10, NUM 

, SPACE 
DMF, PROPN 
CH, PROPN 
3)2NC(O)H, PROPN 

 , SPACE 
5.5, NUM 
73.09, NUM 
0.944, NUM 
36.7, NUM 
3.80, NUM 
donors, NOUN 

, SPACE 
acceptors0.920, VERB 

, SPACE 
CCl4, X 

 , SPACE 
4.65, NUM 
5.9, NUM 
153.8, NUM 
1.584, NUM 
2.238, NUM 
N, PROPN 
N, PROPN 
0.84, NUM 
0.95, NUM 

, SPACE 
H2O, PROPN 
Water, NOUN 
D, PROPN 
2O, NOUN 
Heavy, ADJ 
water, NOUN 
EG, PROPN 
Ethylene, PROPN 
Glycol, PROPN 
DMF, PROPN 
Dimethylformamide, PROPN 
CCl, NOUN 
4, NUM 
Carbon, NOUN 
Tetrachloride.200, PROPN 
J., PROPN 
Samuel, PROPN 
et, PROPN 
al, PROPN 
Bone, NOUN 
59, NUM 
2014, NUM 
199, NUM 
206, NUM 

, SPACE 
bone, NOUN 
constituents, NOUN 
possible, ADJ 
effect, NOUN 
solvents, NOUN 
bone, NOUN 

, SPACE 
inﬂicted, VERB 
mainly, ADV 
intermolecular, ADJ 
interactions, NOUN 
polarity, NOUN 

, SPACE 
hydrogen, NOUN 
bonding, NOUN 
ability, NOUN 

, SPACE 
Replacement, PROPN 
water, NOUN 
selected, VERB 
solvents, NOUN 

, SPACE 
soaking, VERB 
matrix, NOUN 
water, NOUN 
ﬁrst, ADV 
removed, VERB 
bone, NOUN 

, SPACE 
specimens, NOUN 
simple, ADJ 
dehydration, NOUN 
protocol, NOUN 
2, NUM 
Brie, PROPN 
ﬂy, PROPN 
speci-, ADJ 

, SPACE 
mens, NOUN 
dried, VERB 
1.0, NUM 
mm, NOUN 
Hg, INTJ 
vacuum, NOUN 
70, NUM 
°, NOUN 
C, NOUN 
till, SCONJ 
weight, NOUN 
loss, NOUN 

, SPACE 
leveled, VERB 
reach, VERB 
equilibrium, NOUN 
dehydration, NOUN 
condition, NOUN 

, SPACE 
chosen, VERB 
previous, ADJ 
study, NOUN 
showed, VERB 
drying, VERB 
bone, NOUN 
samples, NOUN 

, SPACE 
temperature, NOUN 
4, NUM 
h, NOUN 
remove, VERB 
mobile, NOUN 
bound, ADJ 

, SPACE 
water, NOUN 
ﬂicting, VERB 
structural, ADJ 
damage, NOUN 
mineral, NOUN 
collagen, NOUN 

, SPACE 
phases, NOUN 
bone, NOUN 
2,27, NUM 
weight, NOUN 
change, NOUN 
dehydrated, ADJ 

, SPACE 
specimens, NOUN 
measured, VERB 
converted, VERB 
volume, NOUN 
water, NOUN 
re-, ADP 

, SPACE 
moved, VERB 
specimens, NOUN 
dehydrated, ADJ 
specimens, NOUN 

, SPACE 
soaked, VERB 
solvents, NOUN 
changes, NOUN 
soaking, VERB 
weight, NOUN 

, SPACE 
observed, VERB 
weight, NOUN 
soaking, VERB 
measured, VERB 
speci-, ADJ 

, SPACE 
mens, NOUN 
volume, NOUN 
percent, NOUN 
water, NOUN 
replaced, VERB 
solvent, NOUN 
deter-, ADJ 

, SPACE 
mined, VERB 
following, ADJ 
formula, NOUN 

, SPACE 
vol%, PROPN 
water, NOUN 
replaced, VERB 
¼Soaked, ADJ 
weigh−, NOUN 
Dry, ADJ 
weight, NOUN 

, SPACE 
Water, PROPN 
volume, NOUN 
/C2Density, PUNCT 
Solvent, PROPN 
C2100, PROPN 
ð1Þ, PROPN 

, SPACE 
soaking, VERB 
history, NOUN 
plotted, VERB 
volume, NOUN 
water, NOUN 
replaced, VERB 

, SPACE 
solvent, NOUN 
function, NOUN 
time, NOUN 

, SPACE 
Mechanical, ADJ 
testing, NOUN 

, SPACE 
Tensile, PROPN 
tests, NOUN 
bone, NOUN 
specimens, NOUN 
performed, VERB 
Bose, PROPN 

, SPACE 
ElectroForce, PROPN 
3330, NUM 
mechanical, ADJ 
test, NOUN 
machine, NOUN 
fully, ADV 
capture, VERB 
evolu-, ADJ 

, SPACE 
tion, NOUN 
mechanical, ADJ 
behavior, NOUN 
bone, NOUN 
loading, NOUN 
process, NOUN 
in-, ADP 

, SPACE 
creasing, VERB 
strain, NOUN 
de, VERB 
ﬁned, VERB 
progressive, ADJ 
loading, NOUN 
protocol, NOUN 
