Local, ADJ 
bone, NOUN 
regeneration, NOUN 
Growth, NOUN 
factors, NOUN 
transforming, VERB 
growth, NOUN 
factor, NOUN 
beta, NOUN 
TGF-, NUM 
h, NOUN 

, SPACE 
shown, VERB 
enhance, VERB 
bone, NOUN 
repair, NOUN 
strengthen, VERB 
mechanical, ADJ 
connection, NOUN 
implant, ADJ 
host, NOUN 
skeleton, NOUN 
canine, NOUN 
models, NOUN 

, SPACE 
provide, VERB 
platform, NOUN 
studying, VERB 
molecular, ADJ 
mechanisms, NOUN 
growth, NOUN 
factor, NOUN 
stimulated, VERB 
bone, NOUN 
regeneration, NOUN 
implant, ADJ 
fixation, NOUN 
present, ADJ 
studyexamined, VERB 
peri, NOUN 
implant, ADJ 
bone, NOUN 
volume, NOUN 
response, NOUN 
TGF-, NUM 
htreatment, NOUN 
rodent, ADJ 
model, NOUN 
rat, ADJ 
femoral, ADJ 
ablation, NOUN 
model, NOUN 
implant, ADJ 

, SPACE 
placed, VERB 
medullary, NOUN 
cavity, NOUN 
femur, NOUN 
examine, VERB 
dose, ADJ 
response, NOUN 
TGF-, NUM 
h2, PROPN 
applied, VERB 
implant, ADJ 
0, NUM 
0.1, NUM 
1.0, NUM 
10, NUM 
Ag, PROPN 

, SPACE 
study, NOUN 
included, VERB 
total, NOUN 
40, NUM 
rats, NOUN 
10, NUM 
dose, NOUN 
examined, VERB 
28, NUM 
days, NOUN 
Peri, PROPN 
implant, ADJ 
bone, NOUN 
volume, NOUN 
bone, NOUN 
implant, ADJ 
contact, NOUN 
assessed, VERB 

, SPACE 
microcomputed, VERB 
tomography, NOUN 
implant, ADJ 
fixation, NOUN 
strength, NOUN 
determined, VERB 
mechanical, ADJ 
pullout, NOUN 
test, NOUN 
Treatment, NOUN 
implantwith, PROPN 
10, NUM 
Ag, PROPN 
TGF-, NUM 
h2, NOUN 
led, VERB 
2, NUM 
fold, ADJ 
increase, NOUN 
bone, NOUN 
volume, NOUN 
P, NOUN 
<, X 
0.001, NUM 
1.5, NUM 
fold, ADJ 
increase, NOUN 
bone, NOUN 
implant, ADJ 
contact, NOUN 
P, NOUN 
<, X 
0.01, NUM 

, SPACE 
trend, NOUN 
increasing, VERB 
fixation, NOUN 
strength, NOUN 
non, ADJ 
significant, ADJ 
increase, NOUN 
1.4, NUM 
fold, NOUN 
TGF-, X 
h2, NOUN 
treatment, NOUN 
10, NUM 
Ag, PROPN 
led, VERB 
uniform, VERB 
peri, ADJ 
implant, ADJ 
bone, NOUN 

, SPACE 
volume, NOUN 
bone, NOUN 
implant, ADJ 
contact, NOUN 
length, NOUN 
implant, NOUN 
groups, NOUN 
bone, NOUN 
mid, NOUN 
point, NOUN 
compared, VERB 
theproximal, NOUN 
distal, ADJ 
aspects, NOUN 
implant, NOUN 
50, NUM 
variance, NOUN 
implant, ADJ 
fixation, NOUN 
strength, NOUN 
explained, VERB 
regression, NOUN 
model, NOUN 

, SPACE 
involving, VERB 
bone, NOUN 
implant, ADJ 
contact, NOUN 
peri, ADJ 
implant, ADJ 
bone, NOUN 
volume, NOUN 

, SPACE 
D2005, PROPN 
Elsevier, ADJ 
Inc., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
Keywords, NOUN 
Implant, ADJ 
fixation, NOUN 
TGF-, NUM 
h, NOUN 
Microcomputed, ADJ 
tomography, NOUN 
Bone, NOUN 
regeneration, NOUN 

, SPACE 
Introduction, PROPN 

, SPACE 
Orthopedic, PROPN 
dental, ADJ 
implants, NOUN 
rely, VERB 
bone, NOUN 
regeneration, NOUN 

, SPACE 
achieve, VERB 
mechanical, ADJ 
fixation, NOUN 
host, NOUN 
skeleton, PROPN 
arequisite, ADJ 
clinical, ADJ 
success, NOUN 
variety, NOUN 
anabolic, PROPN 
agentsare, PROPN 
known, VERB 
enhance, VERB 
bone, NOUN 
regeneration, NOUN 
Recently, ADV 

, SPACE 
considerable, ADJ 
efforts, NOUN 
enhance, VERB 

, SPACE 
accelerate, VERB 
intramembranous, ADJ 
bone, NOUN 
regeneration, NOUN 
partic, ADJ 
ular, ADJ 
form, NOUN 
bone, NOUN 
repair, NOUN 
important, ADJ 
implant, ADJ 
fixation, NOUN 
growth, NOUN 
factors, NOUN 
including, VERB 
members, NOUN 
TGF-, PROPN 
h, NOUN 

, SPACE 
superfamily, ADV 
demonstrated, VERB 
ability, NOUN 
canine, NOUN 
models[1–4, NOUN 
studies, NOUN 
shown, VERB 
local, ADJ 
application, NOUN 

, SPACE 
growth, NOUN 
factor, NOUN 
implant, NOUN 
effective, ADJ 
strategy, NOUN 
toenhance, NOUN 
peri, NOUN 
implant, ADJ 
bone, NOUN 
volume, NOUN 
bone, NOUN 
implant, ADJ 
contact, NOUN 
orbone, NOUN 
ingrowth, NOUN 
mechanical, ADJ 
force, NOUN 
required, VERB 

, SPACE 
dislodge, VERB 
implant, NOUN 
host, NOUN 
skeleton, NOUN 

, SPACE 
need, NOUN 
small, ADJ 
animal, NOUN 
model, NOUN 
study, VERB 

, SPACE 
enhanced, VERB 
bone, NOUN 
regeneration, NOUN 
implant, ADJ 
fixation, NOUN 
thatmolecular, ADJ 
biology, NOUN 
endpoints, NOUN 
eventually, ADV 
easilyexamined, VERB 
present, ADJ 
study, NOUN 
adapted, VERB 
rat, NOUN 
modelused, VERB 
originally, ADV 
study, VERB 
hematopoiesis, NOUN 
5,6, X 

, SPACE 
recently, ADV 
study, VERB 
intramembranous, ADJ 
bone, NOUN 
formation, NOUN 
7, NUM 

, SPACE 
10, NUM 
number, NOUN 
groups, NOUN 
adaptation, NOUN 

, SPACE 
8756, NUM 
3282/$, NUM 
matter, NOUN 
D2005, PUNCT 
Elsevier, ADJ 
Inc., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
doi:10.1016, PROPN 
j.bone.2005.03.011, PROPN 
Corresponding, VERB 
author, NOUN 
Department, PROPN 
Anatomy, PROPN 
Cell, PROPN 
Biology, PROPN 
Rush, PROPN 

, SPACE 
Medical, PROPN 
College, PROPN 
Rush, PROPN 
University, PROPN 
Medical, PROPN 
Center, PROPN 
600, NUM 
S, PROPN 
Paulina, PROPN 
Room, PROPN 

, SPACE 
507, NUM 
Chicago, PROPN 
IL, PROPN 
60612, NUM 
USA, PROPN 
Fax, NOUN 
+1, PROPN 
312, NUM 
942, NUM 
5744, NUM 

, SPACE 
E, ADJ 
mail, NOUN 
address, NOUN 
rick_sumner@rush.edu, X 
D.R., PROPN 
Sumner).Bone, NOUN 
37, NUM 
2005, NUM 
55, NUM 
62, NUM 

, SPACE 
www.elsevier.com/locate/bone, NOUN 

, SPACE 
model, NOUN 
examine, VERB 
issues, NOUN 
related, VERB 
implant, ADJ 
fixation, NOUN 

, SPACE 
main, ADJ 
focus, NOUN 
date, NOUN 
implant, ADJ 
surface, NOUN 
treatments, NOUN 
11, NUM 

, SPACE 
15, NUM 
appropriate, ADJ 
model, NOUN 
studies, NOUN 
implant, ADJ 

, SPACE 
fixation, NOUN 
intramembranous, ADJ 
bone, NOUN 
formation, NOUN 
basicrequirement, NOUN 
cementless, ADJ 
implant, ADJ 
fixation, NOUN 
Althoughgrowth, NOUN 
factors, NOUN 
received, VERB 
attention, NOUN 
ratmarrow, ADJ 
ablation, NOUN 
implant, ADJ 
model, NOUN 
recent, ADJ 
study, NOUN 
inwhich, ADP 
TGF-, X 
hdoses, NOUN 
1, NUM 
Ag, PROPN 
reported, VERB 

, SPACE 
effect, NOUN 
16, NUM 

, SPACE 
purpose, NOUN 
present, ADJ 
study, NOUN 
determine, VERB 

, SPACE 
local, ADJ 
application, NOUN 
TGF-, NUM 
hin, PRON 
rat, PROPN 
model, NOUN 
led, VERB 
increased, VERB 

, SPACE 
peri, ADJ 
implant, ADJ 
bone, NOUN 
volume, NOUN 
bone, NOUN 
implant, ADJ 
contact, NOUN 
orimplant, ADJ 
fixation, NOUN 
strength, NOUN 
Accordingly, ADV 
performed, VERB 
anexperiment, NOUN 
determine, VERB 
doses, NOUN 
TGF-, NUM 
h2, NOUN 
ranging, VERB 

, SPACE 
0.1, NUM 
10, NUM 
Ag, PROPN 
implant, NOUN 
effective, ADJ 
enhancing, VERB 
bone, NOUN 

, SPACE 
volume, NOUN 
bone, NOUN 
implant, ADJ 
contact, NOUN 
implant, ADJ 
fixation, NOUN 
strength, NOUN 

, SPACE 
28, NUM 
days, NOUN 
rat, NOUN 
model, NOUN 

, SPACE 
Materials, NOUN 
methods, NOUN 

, SPACE 
6, NUM 
month, NOUN 
old, ADJ 
male, NOUN 
Sprague, PROPN 
Dawley, PROPN 
rats, NOUN 

, SPACE 
implanted, VERB 
unilaterally, ADV 
hydroxyapatite, NOUN 
tricalcium, NOUN 
phos, NOUN 
phate, NOUN 
HA, PROPN 
TCP)-coated, VERB 
titanium, NOUN 
rods, NOUN 
treated, VERB 
buffer, NOUN 

, SPACE 
control, NOUN 
0.1, NUM 
Ag, PROPN 
1Ag, NUM 
10, NUM 
Ag, PROPN 
recombinant, ADJ 
human, PROPN 

, SPACE 
TGF, PROPN 
h2, PROPN 
IACUC, PROPN 
approved, VERB 
study, NOUN 
Animals, NOUN 
killed, VERB 

, SPACE 
4, NUM 
weeks, NOUN 
post, NOUN 
surgery, NOUN 
group, NOUN 
seven, NUM 
implantedfemurs, NOUN 
analyzed, VERB 
microcomputed, VERB 
tomography(ACT, NOUN 
measure, VERB 
bone, NOUN 
volume, NOUN 
near, ADP 
implant, ADJ 
bone-, ADJ 

, SPACE 
implant, ADJ 
contact, NOUN 
followed, VERB 
mechanical, ADJ 
pullout, NOUN 
test, NOUN 
tomeasure, VERB 
strength, NOUN 
fixation, NOUN 
implant, NOUN 
Theremaining, VERB 
specimens, NOUN 
embedded, VERB 
plastic, NOUN 

, SPACE 
sectioned, VERB 
diamond, NOUN 
band, NOUN 
saw, VERB 
Exakt, PROPN 
Model, PROPN 
300CP, PROPN 

, SPACE 
1, NUM 
mm, NUM 
thick, ADJ 
slabs, NOUN 
ground, VERB 
nominal, ADJ 
thickness, NOUN 
100Am, PROPN 
Buehler, PROPN 
model, NOUN 
Phoenix, PROPN 
4000, NUM 
Lake, PROPN 
Bluff, PROPN 
IL, PROPN 

, SPACE 
stained, VERB 
toluidine, NOUN 
blue, ADJ 
basic, ADJ 
fuchsin, NOUN 
followingmethods, NOUN 
previously, ADV 
described, VERB 
detail, NOUN 
17, NUM 

, SPACE 
Implants, NOUN 
TGF-, NUM 
bloading, NOUN 
vitro, X 
release, NOUN 

, SPACE 
Titanium, NOUN 
implants, NOUN 
22, NUM 
mm, NOUN 
long, ADJ 
1.5, NUM 
mm, NOUN 
diameter, NOUN 

, SPACE 
Grandis, PROPN 
Metals, PROPN 
Lake, PROPN 
Forest, PROPN 
coated, VERB 
anHA, PROPN 
TCP, PROPN 
surface, NOUN 
plasma, NOUN 
flame, NOUN 
spray, VERB 
technique(Zimmer, X 
Warsaw, PROPN 
HA, PROPN 
TCP, ADJ 
layer, NOUN 
approx, PROPN 
imately, ADV 
50, NUM 
thick, ADJ 
determined, VERB 
contain, VERB 

, SPACE 
80, NUM 
hydroxyapatite, NOUN 
15, NUM 
tricalcium, NOUN 
phosphate, NOUN 
5%uncharacterized, NUM 
calcium, NOUN 
phosphates, VERB 
1, NUM 
target, NOUN 
doses, NOUN 

, SPACE 
recombinant, ADJ 
human, PROPN 
TGF-, NUM 
h2, PROPN 
gift, NOUN 
Genzyme, PROPN 
Corpo-, PROPN 

, SPACE 
ration, NOUN 
Framingham, PROPN 
MA, PROPN 
applied, VERB 
pipetting, VERB 
5.88, NUM 
Al, PROPN 

, SPACE 
volumes, NOUN 
diluted, ADJ 
stock, NOUN 
solutions, NOUN 
uniformly, ADV 
HA, PROPN 
TCP, PROPN 
surface, NOUN 
implant, ADJ 
stock, NOUN 
solutions, NOUN 
wereformulated, VERB 
30, NUM 
mM, NUM 
Na, PROPN 
citrate/3, PROPN 
mannitol, PROPN 
pH, NUM 
2.5buffer, NUM 
Control, NOUN 
implants, NOUN 
treated, VERB 
5.88, NUM 
Al, PROPN 
buffer, NOUN 

, SPACE 
volume, NOUN 
TGF-, NUM 
h2, NOUN 
stock, NOUN 
solution, NOUN 

, SPACE 
control, NOUN 
buffer, NOUN 
small, ADJ 
allow, VERB 
coating, VERB 
theimplant, NOUN 
saturation, NOUN 
dripping, ADJ 
solutions, NOUN 
weresterile, NOUN 
endotoxin, NOUN 
free, ADJ 
implants, NOUN 
air, NOUN 
dried, VERB 

, SPACE 
aseptically, ADV 
packaged, VERB 
handling, NOUN 
sterile, ADJ 
implantstook, NOUN 
place, NOUN 
class, NOUN 
100, NUM 
laminar, NOUN 
flow, NOUN 
hood, NOUN 
vitrorelease, NOUN 
kinetic, NOUN 
experiment, NOUN 
performed, VERB 
determine, VERB 
theamount, NOUN 
TGF-, NUM 
h2, PROPN 
released, VERB 
implant, NOUN 
time, NOUN 

, SPACE 
study, NOUN 
implant, NOUN 
loaded, VERB 
1, NUM 
Ag, PROPN 
growth, NOUN 
factor, NOUN 

, SPACE 
implant, ADJ 
loaded, VERB 
10, NUM 
Ag, PROPN 
growth, NOUN 
factor, NOUN 

, SPACE 
described, VERB 
experimental, ADJ 
procedures, NOUN 
similar, ADJ 

, SPACE 
previously, ADV 
described, VERB 
vitro, X 
study, NOUN 

, SPACE 
canine, NOUN 
implant, ADJ 
18, NUM 
Briefly, PROPN 
release, NOUN 
profile, NOUN 
created, VERB 

, SPACE 
incubating, VERB 
implants, NOUN 
phosphate, NOUN 
buffered, VERB 
saline, NOUN 
with1, NOUN 
bovine, NOUN 
serum, NOUN 
albumin, NOUN 
37, NUM 
-C, NOUN 
rocker, NOUN 
sample, NOUN 

, SPACE 
implants, NOUN 
placed, VERB 
fresh, ADJ 
aliquots, NOUN 
buffer, NOUN 
regularintervals, NOUN 
0, NUM 
3, NUM 
6, NUM 
12, NUM 
24, NUM 
48, NUM 
96, NUM 
120, NUM 
168, NUM 
h, NOUN 
ELISAusing, NOUN 
TGF-, NUM 
h, NOUN 
specific, ADJ 
antibody, NOUN 
1D11, PROPN 
Genzyme, PROPN 
Cor-, PROPN 

, SPACE 
poration, NOUN 
Framingham, PROPN 
MA, PROPN 
performed, VERB 
assess, VERB 

, SPACE 
temporal, ADJ 
release, NOUN 

, SPACE 
Rat, PROPN 
model, NOUN 

, SPACE 
Male, PROPN 
Sprague, PROPN 
Dawley, PROPN 
rats, NOUN 
400–450, NUM 
g, NOUN 
approximately, ADV 

, SPACE 
6, NUM 
months, NOUN 
old, ADJ 
Harlan, PROPN 
Indianapolis, PROPN 
received, VERB 
unilateralfemoral, ADJ 
implants, NOUN 
left, ADJ 
femur, NOUN 
IACUC, PROPN 
approvalstudy, NOUN 
implantations, NOUN 
performed, VERB 
anesthesia, NOUN 

, SPACE 
ketamine, NOUN 
100, NUM 
mg, PROPN 
kg, PROPN 
ip, PROPN 
xylazine, NOUN 
5, NUM 
mg, PROPN 
kg, PROPN 
ip, PROPN 

, SPACE 
supplemented, VERB 
necessary, ADJ 
hind, NOUN 
limb, NOUN 
shavedand, NOUN 
scrubbed, VERB 
Betadine, NOUN 
alcohol, NOUN 
aseptictechnique, NOUN 
1, NUM 
cm, NOUN 
incision, NOUN 
medial, ADJ 
patella, NOUN 
toexpose, VERB 
knee, NOUN 
joint, NOUN 
2, NUM 
mm, NOUN 
hole, NOUN 
drilled, VERB 
thepatellar, ADJ 
groove, NOUN 
Dremel, PROPN 
drill, NOUN 
bit, NOUN 
penetrate, VERB 
thesubchondral, ADJ 
cortical, ADJ 
bone, NOUN 
gain, VERB 
access, NOUN 
femoralmedullary, ADJ 
canal, NOUN 
marrow, NOUN 
cavity, NOUN 
disrupted, VERB 

, SPACE 
inserting, VERB 
threaded, VERB 
hand, NOUN 
drill, NOUN 
proximally, ADV 
entire, ADJ 

, SPACE 
length, NOUN 
diaphysis, NOUN 
approximately, ADV 
level, NOUN 
thelesser, PROPN 
trochanter, ADV 
guide, NOUN 
implant, NOUN 
placed, VERB 
theablated, VERB 
cavity, NOUN 
ensure, VERB 
canal, NOUN 
appropriatesize, NOUN 
accommodate, VERB 
definitive, ADJ 
implant, NOUN 
cavity, NOUN 
wasthen, PROPN 
flushed, VERB 
10, NUM 
ml, NOUN 
sterile, ADJ 
saline, NOUN 
removal, NOUN 
loosemarrow, ADJ 
contents, NOUN 
Following, VERB 
irrigation, NOUN 
implant, NOUN 
wasplaced, VERB 
canal, NOUN 
Bone, NOUN 
wax, NOUN 
plug, VERB 
distal, ADJ 

, SPACE 
end, NOUN 
femur, NOUN 
vicryl, NOUN 
sutures, NOUN 
protected, VERB 
staples, NOUN 

, SPACE 
seal, VERB 
wound, NOUN 
28, NUM 
days, NOUN 
rats, NOUN 
wereeuthanized, VERB 
carbon, NOUN 
dioxide, NOUN 
chamber, NOUN 
femurs, NOUN 
forACT, PROPN 
mechanical, ADJ 
testing, NOUN 
harvested, VERB 
denuded, VERB 
soft, ADJ 

, SPACE 
tissue, NOUN 
frozen, VERB 
/C020, PROPN 
C., PROPN 
femurs, NOUN 
histology, NOUN 

, SPACE 
placed, VERB 
10, NUM 
neutral, ADJ 
buffered, VERB 
formalin, NOUN 

, SPACE 
Microcomputed, VERB 
tomography, NOUN 
lCT, PROPN 
determination, NOUN 

, SPACE 
peri, ADJ 
implant, ADJ 
bone, NOUN 
volume, NOUN 
bone, NOUN 
implant, ADJ 
contact, NOUN 

, SPACE 
ACT, PROPN 
Scanco, PROPN 
40, NUM 
Scanco, PROPN 
USA, PROPN 
Wayne, PROPN 
PA, PROPN 
scans, NOUN 

, SPACE 
taken, VERB 
seven, NUM 
evenly, ADV 
spaced, VERB 
slices, NOUN 
length, NOUN 
theimplant, NOUN 
Fig, PROPN 
1, NUM 
scan, ADJ 
resolution, NOUN 
16, NUM 
plane, NOUN 

, SPACE 
slice, NOUN 
thickness, NOUN 
16, NUM 
proximal, ADJ 

, SPACE 
sections, NOUN 
slices, NOUN 
analyzed, VERB 
bone, NOUN 
volume, NOUN 
totalvolume, NOUN 
BV, PROPN 
TV, PROPN 
masking, VERB 
implant, ADJ 
adjacentA., PROPN 
De, PROPN 
Ranieri, PROPN 
et, PROPN 
al, PROPN 
Bone, NOUN 
37, NUM 
2005, NUM 
55, NUM 
62, NUM 
56, NUM 

, SPACE 
16, NUM 
voxels, NOUN 
cortical, ADJ 
bone, NOUN 
define, VERB 
total, ADJ 
volume, NOUN 

, SPACE 
MatLab, PROPN 
MathWorks, PROPN 
Inc., PROPN 
Natick, PROPN 
MA, PROPN 
adjacent, ADJ 
16voxels, NUM 
masked, VERB 
addition, NOUN 
implant, NOUN 
testimages, NOUN 
found, VERB 
metal, NOUN 
induced, VERB 
artifacts, NOUN 
voxels, NOUN 
consistent, ADJ 
recent, ADJ 
report, NOUN 
19, NUM 
BV, PROPN 
TV, PROPN 
calculated, VERB 

, SPACE 
binarizing, VERB 
region, NOUN 
interest, NOUN 
threshold, NOUN 
equivalent, NOUN 

, SPACE 
to¨175, NOUN 
Scanco, PROPN 
software, NOUN 
area, NOUN 
femur, NOUN 

, SPACE 
normally, ADV 
devoid, ADJ 
bone, NOUN 
assumption, NOUN 
thatbone, NOUN 
found, VERB 
medullary, NOUN 
cavity, NOUN 
sections, NOUN 
1through, NUM 
4, NUM 
formed, VERB 
surgery, NOUN 
Bone, NOUN 
implant, NOUN 
contactwas, NOUN 
measured, VERB 
seven, NUM 
levels, NOUN 
grid, NOUN 
testlines, NOUN 
radiated, VERB 
outward, ADV 
center, NOUN 
implantand, NOUN 
counting, VERB 
number, NOUN 
test, NOUN 
line, NOUN 
implant, ADJ 
interface, NOUN 

, SPACE 
intersections, NOUN 
positive, ADJ 
bone, NOUN 
dividing, VERB 
sum, NOUN 

, SPACE 
total, ADJ 
number, NOUN 
test, NOUN 
line, NOUN 
grid, NOUN 
intersections, NOUN 
criteria, NOUN 
forassigning, VERB 
intersection, NOUN 
positive, ADJ 
bone, NOUN 
conserva, NOUN 
tive, ADJ 
requiring, VERB 
intersection, NOUN 
morphology, NOUN 
typicalof, ADJ 
bone, NOUN 
appropriate, ADJ 
grey, NOUN 
scale, NOUN 
intensity, NOUN 
Forbone, NOUN 
implant, ADJ 
contact, NOUN 
voxels, NOUN 
immediately, ADV 
adjacent, ADJ 
tothe, DET 
implant, NOUN 
excluded, VERB 
assumed, VERB 
bone, NOUN 
implant, ADJ 
contact, NOUN 
judged, VERB 
eye, NOUN 
Assessment, NOUN 
ofbone, NOUN 
implant, ADJ 
contact, NOUN 
performed, VERB 
individual, NOUN 

, SPACE 
blinded, VERB 
treatment, NOUN 
status, NOUN 
found, VERB 
ahigh, PROPN 
intraobserver, NOUN 
degree, NOUN 
reproducibility, NOUN 
r=, NOUN 
0.928, NUM 
P, PROPN 
<, X 

, SPACE 
0.001, NUM 
repeated, VERB 
measurements, NOUN 

, SPACE 
Mechanical, ADJ 
pullout, NOUN 
test, NOUN 

, SPACE 
Following, VERB 
ACT, PROPN 
scanning, NOUN 
mechanical, ADJ 
pullout, NOUN 
test, NOUN 

, SPACE 
measure, VERB 
strength, NOUN 
fixation, NOUN 
implant, NOUN 
host, NOUN 

, SPACE 
bone, NOUN 
performed, VERB 
prepare, VERB 
specimen, NOUN 
proximalpart, NOUN 
femur, NOUN 
embedded, VERB 
dental, ADJ 
acrylic, NOUN 
LangDental, PROPN 
Wheeling, PROPN 
IL, PROPN 
2–4, NUM 
mm, PROPN 
implant, ADJ 
wasexposed, NOUN 
exposed, VERB 
implant, NOUN 
gripped, VERB 
S, PROPN 
hookswere, NOUN 
placed, VERB 
end, NOUN 
specimen, NOUN 
permit, VERB 
coaxialalignment, NOUN 
implant, NOUN 
direction, NOUN 
force, NOUN 
Pullouttesting, PROPN 
conducted, VERB 
displacement, ADJ 
rate, NOUN 
0.25, NUM 
mm/, PROPN 

, SPACE 
min, NOUN 
failure, VERB 
force, NOUN 
recorded, VERB 
Newtons, PROPN 
Instron, PROPN 

, SPACE 
model, NOUN 
8871, NUM 
Canton, PROPN 
MA, PROPN 
implantexposed, VERB 
gripping, VERB 
varied, ADJ 
report, VERB 
shear, NOUN 
strength, NOUN 
ascalculated, VERB 
dividing, VERB 
force, NOUN 
N, PROPN 
point, NOUN 
failure, NOUN 
bythe, ADP 
surface, NOUN 
area, NOUN 
implant, ADJ 
nominally, ADV 
contact, NOUN 
withtissue, NOUN 
implant, ADJ 
circumference, NOUN 
/C2implant, PUNCT 
length, PROPN 
exposed, VERB 

, SPACE 
gripping, NOUN 
specimen, NOUN 
1.0, NUM 
Ag, PROPN 
included, VERB 

, SPACE 
Fig, PROPN 
1, NUM 
Contact, NOUN 
radiograph, NOUN 
rat, NOUN 
femur, ADJ 
implant, ADJ 
lines, NOUN 

, SPACE 
locations, NOUN 
microcomputed, ADJ 
tomography, NOUN 
slices, NOUN 
Slices, NOUN 
1, NUM 
4, NUM 

, SPACE 
measurement, NOUN 
bone, NOUN 
volume, NOUN 
area, NOUN 
implant, ADJ 

, SPACE 
endocortical, ADJ 
surface, NOUN 
7, NUM 
slices, NOUN 
measurement, NOUN 
bone, NOUN 
implant, ADJ 
contact, NOUN 
Scale, NOUN 
bar, NOUN 
5, NUM 
mm, NUM 

, SPACE 
Fig, PROPN 
2, NUM 
Release, VERB 
kinetics, NOUN 
implant, NOUN 
treated, VERB 
1.0, NUM 
Ag, PROPN 
TGF-, ADJ 
h2, NOUN 

, SPACE 
B, PROPN 
implant, NOUN 
treated, VERB 
10, NUM 
Ag, PROPN 
TGF-, ADJ 
h2, NOUN 
cumulative, ADJ 
release, NOUN 

, SPACE 
plotted, VERB 
function, NOUN 
time, NOUN 
Note, VERB 
10, NUM 
fold, ADJ 
difference, NOUN 
scale, NOUN 
thevertical, ADJ 
axis, NOUN 
graphs, NOUN 
A., PROPN 
De, PROPN 
Ranieri, PROPN 
et, PROPN 
al, PROPN 
Bone, NOUN 
37, NUM 
2005, NUM 
55, NUM 
62, NUM 
57, NUM 

, SPACE 
technical, ADJ 
problem, NOUN 
testing, NOUN 
determine, VERB 

, SPACE 
baseline, NOUN 
strength, NOUN 
fixation, NOUN 
implants, NOUN 
placed, VERB 
10rat, PROPN 
femurs, PROPN 
ex, NOUN 
vivo, NOUN 
following, VERB 
surgical, ADJ 
protocol, NOUN 
exceptthat, SCONJ 
site, NOUN 
irrigated, VERB 
specimens, NOUN 
thensubjected, VERB 
pullout, NOUN 
test, NOUN 
Statistical, ADJ 
analyses, NOUN 

, SPACE 
morphometric, ADJ 
mechanical, ADJ 
data, NOUN 
appeared, VERB 

, SPACE 
normally, ADV 
distributed, VERB 
analyzed, VERB 
byanalysis, NOUN 
variance, NOUN 
Bonferonni, PROPN 
corrected, VERB 
post, NOUN 
hoctests, NOUN 
repeated, VERB 
measures, NOUN 
analyses, NOUN 
variance, NOUN 
stepwisemultiple, NOUN 
regression, NOUN 
SPSS, PROPN 
version, NOUN 
11.0, NUM 
Windows, PROPN 
SPSS, PROPN 
Inc., PROPN 
Chicago, PROPN 
IL, PROPN 

, SPACE 
Results, NOUN 

, SPACE 
1-, PROPN 
Ag, PROPN 
10-, NUM 
Ag, PROPN 
loaded, VERB 
implants, NOUN 
25–30, NUM 

, SPACE 
adsorbed, PROPN 
TGF-, NUM 
hwas, NOUN 
released, VERB 
medium, ADJ 

, SPACE 
predominately, ADV 
48, NUM 
h, NOUN 
Fig, PROPN 
2, NUM 

, SPACE 
slow, ADJ 
release, NOUN 
48, NUM 
h., NOUN 

, SPACE 
