ELSEVIER, NOUN 
, SPACE 
tively, ADV 
spectrometer, NOUN 
Spectra, PROPN 
recorded, VERB 
CDC13, PROPN 
chem-, NOUN 

, SPACE 
ical, ADJ 
shift, NOUN 
values, NOUN 
ppm, ADJ 
relative, NOUN 
solvent, ADJ 
peak, NOUN 
7.26, NUM 
ppm, NOUN 

, SPACE 
~H, PUNCT 
77.0, NUM 
13C, NUM 
~H, PUNCT 
J3C, PROPN 
NMR, PROPN 
assignments, NOUN 

, SPACE 
combination, NOUN 
DEPT, PROPN 
distortionless, NOUN 
enhancement, NOUN 
po-, PROPN 

, SPACE 
larization, NOUN 
transfer, NOUN 
spectra, NOUN 
conjunction, NOUN 
~H, PUNCT 
J3C, PROPN 
chem-, NOUN 

, SPACE 
ical, ADJ 
shift, NOUN 
comparisons, NOUN 
substituent, NOUN 
increments, NOUN 
6'7, NUM 
Low, ADJ 
resolu-, NOUN 

, SPACE 
tion, NOUN 
mass, PROPN 
spectra, PROPN 
recorded, VERB 
Hewlett, PROPN 
Packard, PROPN 
HP, PROPN 
5995, NUM 

, SPACE 
direct, ADJ 
inlet, PROPN 
mass, PROPN 
spectrometer, NOUN 
High, ADJ 
resolution, NOUN 
mass, NOUN 
spectra, PROPN 

, SPACE 
0039, NUM 
128X/96/$15.00, NUM 

, SPACE 
SSDI, PROPN 
0039, NUM 
128X(95)00176, PROPN 
X, NOUN 


, SPACE 
Syntheses, NOUN 
3, NUM 
substituted, VERB 
perfluoroalkyl, PROPN 
steroids, NOUN 
Williams, PROPN 
Shea, PROPN 

, SPACE 
O, INTJ 

, SPACE 
la, PRON 
R, NOUN 
=, NOUN 
OH, PROPN 

, SPACE 
b, NOUN 
R, NOUN 
=, NOUN 
CH3, PROPN 

, SPACE 
Figure, PROPN 
1, NUM 
Structure, NOUN 
DHEA, PROPN 
313, NUM 
hydroxyandrost-5, NOUN 
en-17, NUM 

, SPACE 
la, X 
313, NUM 
methylandrost-5, NUM 
en-17, NUM 
lb, NOUN 

, SPACE 
HRMS, PROPN 
obtained, VERB 
Kratos, PROPN 
M59, PROPN 
50, NUM 
E1, PROPN 
Magnetic, PROPN 
Sector, PROPN 

, SPACE 
mass, NOUN 
spectrometer, NOUN 
Penn, PROPN 
State, PROPN 
University, PROPN 
University, PROPN 
Park, PROPN 
PA, PROPN 

, SPACE 
Elemental, PROPN 
analyses, NOUN 
performed, VERB 
Galbraith, PROPN 
Laboratories, PROPN 

, SPACE 
Inc., PROPN 
Knoxville, PROPN 
TN, PROPN 

, SPACE 
17~-[(t, PROPN 
Bu, NOUN 
~, NOUN 
ldimethylsilyl)oxy]androst-4, PROPN 
en-3, NUM 
2b, PROPN 

, SPACE 
solution, NOUN 
testosterone, NOUN 
2a, PROPN 
5.0, NUM 
g, NOUN 
17.4, NUM 
mmol, PROPN 
100, NUM 
mL, NUM 

, SPACE 
dry, ADJ 
DMF, PROPN 
added, VERB 
tert, NOUN 
dimethylsilyl, NOUN 
chloride, NOUN 
3.34, NUM 
g, NOUN 
22.2, NUM 

, SPACE 
mmol, PROPN 
imidazole, NOUN 
3.30, NUM 
g, NOUN 
48.5, NUM 
mmol, NOUN 
stirring, VERB 
18, NUM 
h, NOUN 

, SPACE 
room, NOUN 
temperature, NOUN 
mixture, NOUN 
diluted, VERB 
water, NOUN 
100, NUM 
mL, NUM 

, SPACE 
resulting, VERB 
precipitate, NOUN 
filtered, VERB 
washed, VERB 
times, NOUN 

, SPACE 
water, NOUN 
solid, ADJ 
dried, VERB 
vacuo, PROPN 
afford, VERB 
essentially, ADV 
pure, ADJ 

, SPACE 
silyl, NOUN 
ether, ADJ 
2b, PROPN 
6.5, NUM 
g, NOUN 
93, NUM 
m.p, PROPN 
136, NUM 
138, NUM 
°, NUM 
C, NOUN 
IR, PROPN 
KBr, PROPN 
2940, NUM 
1680, NUM 

, SPACE 
cm, PROPN 
-I., ADJ 
IH, PROPN 
NMR, PROPN 
CDC13, PROPN 
~5, NOUN 
5.70, NUM 
s, PROPN 
1, NUM 
H, PROPN 
C-4, NOUN 
3.57, NUM 
t, PROPN 
1, NUM 
H, NOUN 
J, PROPN 
=, SYM 
7.8, NUM 

, SPACE 
Hz, PROPN 
C-17~, PROPN 
1.20, NUM 
s, PROPN 
3, NUM 
H, PROPN 
C-19, PROPN 
0.90, NUM 
s, PROPN 
9, NUM 
H, PROPN 
t, NOUN 
butyl, ADJ 
silyl, NOUN 
0.80, NUM 
s, PROPN 

, SPACE 
3, NUM 
H, PROPN 
C-18, PROPN 
0.03, NUM 
s, PROPN 
6, NUM 
H, NOUN 
methyl, NOUN 
silyl, NOUN 
MS, PROPN 
m, PROPN 
z, PROPN 
relative, ADJ 
intensity, NOUN 

, SPACE 
402, NUM 
3, NUM 
M+, NUM 
345, NUM 
100, NUM 
M-57, PROPN 
Analysis, NOUN 
calculated, VERB 

, SPACE 
C25H42025i, NOUN 
1/2, NUM 
H20, PROPN 
C, PROPN 
72.94, NUM 
H, PROPN 
10.53, NUM 
found, VERB 
C, PROPN 
72.74, NUM 
H, PROPN 

, SPACE 
10.36, NUM 

, SPACE 
3~-Pentafluoroethyl-, PROPN 
17~-, PROPN 

, SPACE 
t, NOUN 
butyldimethylsilyl, ADJ 
oxy, ADJ 
landrost-4, NOUN 
en-3~-ol, NOUN 
3a, PROPN 

, SPACE 
Silyl, PROPN 
testosterone, NOUN 
2b, NUM 
5.0, NUM 
g, NOUN 
12.5, NUM 
mmol, NOUN 
100, NUM 
mL, NUM 
ethyl, PROPN 
ether, PROPN 

, SPACE 
treated, VERB 
perfluoroethyl, PROPN 
iodide, NOUN 
7.0, NUM 
g, NOUN 
28.0, NUM 
mmol, NOUN 

, SPACE 
solution, NOUN 
cooled, VERB 
-78, PUNCT 
°, NOUN 
C, NOUN 
1.5, NUM 
M, PROPN 
methyllithium, NOUN 
ether, ADJ 
15, NUM 

, SPACE 
mL, NUM 
22.5, NUM 
mmol, NOUN 
added, VERB 
solution, NOUN 
kept, VERB 
-78, SYM 
°, NOUN 
C, NOUN 
1, NUM 

, SPACE 
h, NOUN 
allowed, VERB 
warm, VERB 
room, NOUN 
temperature, NOUN 
solution, NOUN 

, SPACE 
poured, VERB 
100, NUM 
mL, NUM 
2, NUM 
M, PROPN 
HCI, PROPN 
extracted, VERB 
ether, ADJ 
dried, VERB 

, SPACE 
MgSO, NOUN 
4, NUM 
Filtration, NOUN 
removal, NOUN 
solvent, NOUN 
vacuo, PROPN 
gave, VERB 

, SPACE 
oil, NOUN 
purified, VERB 
silica, PROPN 
gel, PROPN 
chromatography, NOUN 
Elution, NOUN 

, SPACE 
ethyl, PROPN 
acetate, PROPN 
hexanes, NOUN 
5/95, NUM 
afforded, VERB 
3a, PROPN 
5.8, NUM 
g, NOUN 
85, NUM 
waxy, NOUN 

, SPACE 
solid, ADJ 
m.p, PROPN 
69, NUM 
72, NUM 
°, NUM 
C, NOUN 
IR, PROPN 
KBr, PROPN 
3450, NUM 
2915, NUM 
cm, NOUN 
-1, INTJ 
1H, PROPN 
NMR, PROPN 

, SPACE 
CDCI3, PROPN 
5, NUM 
5.36, NUM 
s, PROPN 
1, NUM 
H, PROPN 
C-4, NOUN 
3.57, NUM 
t, PROPN 
J, PROPN 
=, PROPN 
7.8, PROPN 
Hz, PROPN 
1, NUM 
H, NOUN 
17otH, NUM 
1.08, NUM 

, SPACE 
s, PROPN 
3, NUM 
H, PROPN 
C-19, PROPN 
0.88, NUM 
s, PROPN 
9, NUM 
H, PROPN 
t, NOUN 
butylsilyl, NOUN 
0.73, NUM 
s, PROPN 
3, NUM 
H, PROPN 
C-18, PROPN 
0.02, NUM 

, SPACE 
s, PROPN 
6, NUM 
H, NOUN 
dimethylsilyl, PROPN 
MS, PROPN 
m, PROPN 
z, PROPN 
relative, ADJ 
intensity, NOUN 
522, NUM 
0.4, NUM 
M+, NUM 

, SPACE 
465, NUM 
100, NUM 
M-57, PROPN 
389, NUM 
64, NUM 
M-133, PROPN 
HRMS, PROPN 
Calculated, VERB 

, SPACE 
C27H4302FsSi, NOUN 
522.2952, NUM 
found, VERB 
522.2971, NUM 

, SPACE 
3~-Heptafluoropropyl-17~-, NUM 

, SPACE 
t, NOUN 
butyldimethylsilyl, PROPN 
oxy, PROPN 
androst-4, X 
en-3~-ol, NOUN 
3b, NOUN 

, SPACE 
Silyltestosterone, PROPN 
2b, NUM 
5.0, NUM 
g, NOUN 
12.5, NUM 
mmol, NOUN 
100, NUM 
mL, NUM 
ethyl, PROPN 
ether, PROPN 

, SPACE 
treated, VERB 
perfluoropropyl, NOUN 
iodide, NOUN 
8.0, NUM 
g, NOUN 
26, NUM 
mmol, NOUN 
Reaction, NOUN 

, SPACE 
workup, VERB 
3a, NUM 
afforded, VERB 
alcohol, NOUN 
3b, NUM 
5.5, NUM 
g, NOUN 
82, NUM 
waxy, NOUN 

, SPACE 
solid, ADJ 
m.p, PROPN 
53, NUM 
56, NUM 
°, NUM 
C, NOUN 
IR, PROPN 
KBr, PROPN 
3450, NUM 
2920, NUM 
cm, NOUN 
-1, INTJ 
IH, PROPN 
NMR, PROPN 

, SPACE 
CDCI3, PROPN 
5, NUM 
5.35, NUM 
s, PROPN 
1, NUM 
H, PROPN 
C-4, NOUN 
3.57, NUM 
t, PROPN 
J=7.8, PROPN 
Hz, PROPN 
1, NUM 
H, NOUN 
17ocH, PROPN 
1.09, NUM 
s, PROPN 
3, NUM 
H, PROPN 
C-19, PROPN 
0.89, NUM 
s, PROPN 
9, NUM 
H, PROPN 
t, NOUN 
butylsilyl, NOUN 
0.75, NUM 
s, PROPN 
3, NUM 
H, PROPN 
C-18, PROPN 
0.03, NUM 

, SPACE 
s, PROPN 
6, NUM 
H, NOUN 
dimethylsilyl, PROPN 
MS, PROPN 
m, PROPN 
z, PROPN 
relative, ADJ 
intensity, NOUN 
515, NUM 
90, NUM 

, SPACE 
M, PROPN 
tBu, NOUN 
439, NUM 
M-133, PROPN 
HRMS, PROPN 
Calculated, VERB 
C28H4302FvSi, PROPN 

, SPACE 
572.2922, NUM 
found, VERB 
572.2914, NUM 

, SPACE 
3~-Nonafluorobutyl-, PROPN 
17~-, PROPN 

, SPACE 
tbutyldimethylsilyl, NOUN 
oxy, ADJ 
androst-4, X 
en-3~-ol, NOUN 
3c, PROPN 

, SPACE 
Silyl, PROPN 
testosterone, NOUN 
2b, NUM 
5.0, NUM 
g, NOUN 
8.0, NUM 
mmol, NOUN 
100, NUM 
mL, NUM 
dry, ADJ 
ethyl, PROPN 
ether, PROPN 

, SPACE 
treated, VERB 
perfluorobutyl, ADJ 
iodide, NOUN 
8.5, NUM 
g, NOUN 
15, NUM 
mmol, NOUN 
Reaction, NOUN 

, SPACE 
workup, VERB 
3a, NUM 
afforded, VERB 
alcohol, NOUN 
3c, PROPN 
5.6, NUM 
g, NOUN 
80, NUM 
waxy, NOUN 

, SPACE 
solid, ADJ 
m.p, PROPN 
67, NUM 
70, NUM 
°, NUM 
C, NOUN 
IR, PROPN 
KBr, PROPN 
3430, NUM 
2920, NUM 
cm, NOUN 
-j, PUNCT 
~H, PUNCT 
NMR, PROPN 

, SPACE 
CDC13, PROPN 
~, PUNCT 
5.35, NUM 
s, PROPN 
1, NUM 
H, PROPN 
C-4, NOUN 
3.56, NUM 
t, NOUN 
J, PROPN 
=, PROPN 
8,0, PROPN 
Hz, PROPN 
1, NUM 
H, NOUN 
17, NUM 
~, NOUN 
H, PROPN 
1.07, NUM 

, SPACE 
s, PROPN 
3, NUM 
H, PROPN 
C-19, PROPN 
0.89, NUM 
s, PROPN 
9, NUM 
H, PROPN 
t, NOUN 
butylsilyl, ADJ 
0.74, NUM 
s, PROPN 
3, NUM 
H, PROPN 
C-18, PROPN 
0.06, NUM 

, SPACE 
s, PROPN 
6, NUM 
H, NOUN 
dimethylsilyl, PROPN 
MS, PROPN 
m, PROPN 
z, PROPN 
relative, ADJ 
intensity, NOUN 
607, NUM 
1.4, NUM 

, SPACE 
M-15, PROPN 
565, NUM 
73, NUM 
M-57, PROPN 
489, NUM 
100, NUM 
M-133, PROPN 
HRMS, PROPN 
Calculated, VERB 

, SPACE 
C28H4302FgSi, PROPN 
CH~, PROPN 
607.2677, NUM 
found, VERB 
607,2655, NOUN 

, SPACE 
3o~-Pentafluoroethylandrost-4, NUM 
ene-3~, PROPN 
17~-diol, PROPN 
4a, PROPN 

, SPACE 
Silyl, PROPN 
ether, PRON 
3a, PROPN 
0.50, NUM 
g, PROPN 
0.8, NUM 
mmol, NOUN 
10, NUM 
mL, NUM 
acetonitrile, ADJ 

, SPACE 
treated, VERB 
1, NUM 
mL, NUM 
48, NUM 
HF, PROPN 
water, NOUN 
solution, NOUN 
stirred, VERB 

, SPACE 
room, NOUN 
temperature, NOUN 
overnight, ADV 
reaction, NOUN 
diluted, VERB 
50, NUM 
mL, NUM 

, SPACE 
ether, NOUN 
washed, VERB 
repeatedly, ADV 
saturated, VERB 
sodium, NOUN 
chloride, PROPN 
solu-, PROPN 

, SPACE 
tion, NOUN 
dried, VERB 
MgSO, PROPN 
4, NUM 
Filtration, NOUN 
removal, NOUN 
solvent, NOUN 

, SPACE 
vacuo, PROPN 
gave, VERB 
yellow, ADJ 
solid, ADJ 
purified, VERB 
silica, PROPN 
gel, PROPN 
chro-, PROPN 

, SPACE 
matography, NOUN 
Elution, NOUN 
ethyl, PROPN 
acetate, PROPN 
hexanes, NOUN 
15/85, NUM 
afforded, VERB 

, SPACE 
diol, PROPN 
4a, PROPN 
0.350, NUM 
g, NOUN 
88, NUM 
white, ADJ 
solid, ADJ 
m.p, PROPN 
89, NUM 
91, NUM 
°, NUM 
C, NOUN 
IR, PROPN 
KBr, PROPN 

, SPACE 
3450, NUM 
2920, NUM 
cm, NOUN 
-1, INTJ 
IH, PROPN 
NMR, PROPN 
CDCI3, PROPN 
~, PUNCT 
5.36, NUM 
s, PROPN 
1, NUM 
H, PROPN 
C-4, NOUN 
3.63, NUM 
t, PROPN 

, SPACE 
J, PROPN 
=, PROPN 
7.8, NUM 
Hz, PROPN 
1, NUM 
H, NOUN 
17otH, NUM 
1.08, NUM 
s, PROPN 
3, NUM 
H, PROPN 
C-19, PROPN 
0.77, NUM 
s, PROPN 
3, NUM 
H, PROPN 
C-18, PROPN 

, SPACE 
MS, PROPN 
m, PROPN 
z, PROPN 
relative, ADJ 
intensity, NOUN 
408, NUM 
1.2, NUM 
M+, NUM 
289, NUM 
100, NUM 
M-119, PROPN 

, SPACE 
HRMS, PROPN 
Calculated, VERB 
C21H2902Fs, NOUN 
408.2088, NUM 
found, VERB 
408.2104, NUM 

, SPACE 
3~-Heptafluoropropylandrost-4, PROPN 
ene-3~, PROPN 
17~-diol, PROPN 
4b, PROPN 

, SPACE 
Silyl, PROPN 
ether, NOUN 
3b, PROPN 
0.600, NUM 
g, NOUN 
1.0, NUM 
mmol, NOUN 
10, NUM 
mL, NUM 
acetonitrile, ADJ 

, SPACE 
treated, VERB 
1, NUM 
mL, NUM 
48, NUM 
hydrofluoric, ADJ 
acid, NOUN 
water, NOUN 
Reaction, NOUN 

, SPACE 
workup, NOUN 
4a, NOUN 
afforded, VERB 
diol, PROPN 
4b, PROPN 
0.450, NUM 
g, NOUN 
85, NUM 
white, ADJ 
solid, ADJ 

, SPACE 
m.p, PROPN 
92, NUM 
95, NUM 
°, NUM 
C, NOUN 
IR, PROPN 
KBr, PROPN 
3450, NUM 
2910, NUM 
cm, NOUN 
-I., PROPN 
JH, PROPN 
NMR, PROPN 
CDC13, PROPN 
8, NUM 

, SPACE 
5.36, NUM 
s, PROPN 
1, NUM 
H, PROPN 
C-4, NOUN 
3.62, NUM 
t, PROPN 
J, PROPN 
=, PROPN 
7.8, PROPN 
Hz, PROPN 
1, NUM 
H, PROPN 
17c, NOUN 
~, NOUN 
H, PROPN 
1.09, NUM 
s, PROPN 
3, NUM 
H, NOUN 

, SPACE 
C-19, PROPN 
0.78, NUM 
s, PROPN 
3, NUM 
H, PROPN 
C-18, PROPN 
MS, PROPN 
m, PROPN 
z, PROPN 
relative, ADJ 
intensity, NOUN 
458, NUM 
1, NUM 

, SPACE 
M+, NUM 
289, NUM 
100, NUM 
M, PROPN 
C3FT, PROPN 
HRMS, PROPN 
Calculated, VERB 
C22H2902F7, PROPN 

, SPACE 
458.2051, NUM 
found, VERB 
458.2046, NUM 

, SPACE 
3~-Nonafluorobutylandrost-4, NUM 
ene-3~, PROPN 
17~-diol, PROPN 
4c, PROPN 

, SPACE 
Silyl, PROPN 
ether, ADJ 
3e, NOUN 
0.600, NUM 
g, NOUN 
1.0, NUM 
mmol, NOUN 
10, NUM 
mL, NUM 
acetonitrile, ADJ 

, SPACE 
treated, VERB 
1, NUM 
mL, NUM 
48, NUM 
HF, PROPN 
water, NOUN 
Reaction, NOUN 
workup, NOUN 

, SPACE 
4a, PROPN 
afforded, VERB 
diol, PROPN 
4e, PROPN 
0.485, NUM 
g, PROPN 
89, NUM 
white, ADJ 
solid, ADJ 
m.p, PROPN 
88, NUM 
91, NUM 
°, NUM 
C, NOUN 

, SPACE 
IR, PROPN 
KBr, PROPN 
3430, NUM 
2925, NUM 
cm, NOUN 
-~., PROPN 
~H, PUNCT 
NMR, PROPN 
CDCI3, PROPN 
8, NUM 
5.34, NUM 
s, PROPN 
1, NUM 
H, NOUN 

, SPACE 
C-4, NOUN 
3.63, NUM 
t, PROPN 
J, PROPN 
=, PUNCT 
8.0, NUM 
Hz, PROPN 
1, NUM 
H, NOUN 
17, NUM 
~, NOUN 
H, PROPN 
1.07, NUM 
s, PROPN 
3, NUM 
H, PROPN 
