ELSEWIER, PROPN 
structure, NOUN 
appeared, VERB 
Ti-6Al-4V, PROPN 
ob-, X 

, SPACE 
viously, ADV 
stabilized, VERB 
vanadium, NOUN 
incorporation, NOUN 

, SPACE 
structure, NOUN 
composition, NOUN 
interfacial, ADJ 

, SPACE 
region, NOUN 
studied, VERB 
thoroughly, ADV 
func-, ADJ 

, SPACE 
tion, NOUN 
pretreatment, NOUN 
deposition, NOUN 
conditions, NOUN 

, SPACE 
X, NOUN 
ray, PROPN 
photoelectron, PROPN 
spectroscopy, PROPN 
secondary, ADJ 
ion, NOUN 

, SPACE 
mass, NOUN 
spectrometry, NOUN 
transmission, NOUN 
electron, NOUN 
mi-, X 

, SPACE 
croscopy, NOUN 
coupled, VERB 
electron, NOUN 
energy, NOUN 
loss, NOUN 
spec-, PART 

, SPACE 
troscopy, NOUN 
Fig, PROPN 
la, PROPN 
presents, VERB 
8, NUM 
km, NOUN 
diamond, NOUN 
film, NOUN 

, SPACE 
deposited, VERB 
CO, PROPN 
H, PROPN 
600, NUM 
°, NOUN 
C, NOUN 
Ti-6Al-4V., ADJ 

, SPACE 
corresponding, VERB 
Raman, PROPN 
spectrum, NOUN 
typical, ADJ 

, SPACE 
CVD, PROPN 
diamond, NOUN 
Fig, PROPN 
2a, PROPN 
broad, ADJ 
bands, NOUN 
reveal, VERB 

, SPACE 
small, ADJ 
codeposition, NOUN 
non, ADJ 
diamond, ADJ 
carbon, NOUN 
sharp, ADJ 

, SPACE 
double, ADJ 
peaks, NOUN 
1345, NUM 
cm-, PUNCT 
1336, NUM 
cm-, NOUN 

, SPACE 
assigned, VERB 
polycrystalline, ADJ 
diamond, NOUN 
large, ADJ 
shift, NOUN 

, SPACE 
compared, VERB 
1332, NUM 
cm-, NOUN 
natural, ADJ 
diamond, NOUN 

, SPACE 
partial, ADJ 
splitting, NOUN 
peak, NOUN 
attributed, VERB 

, SPACE 
compressive, ADJ 
residual, ADJ 
stress, NOUN 
161, NUM 
Fig, PROPN 
lb, PROPN 

, SPACE 
indicate, VERB 
good, ADJ 
adhesion, NOUN 
diamond, NOUN 
film, NOUN 
de-, X 
Fig, PROPN 
1, NUM 
SEM, PROPN 
image, NOUN 
diamond, NOUN 
films, NOUN 
deposited, VERB 
600, NUM 
°, NOUN 
C, NOUN 

, SPACE 
Ti-6AI-4V, PROPN 
8, NUM 
CO, PROPN 
H, PROPN 
surface, NOUN 
morphology, NOUN 
cross, VERB 

, SPACE 
section, NOUN 
b, X 
1, NUM 
CH, PROPN 
-Hz, PROPN 
cross, NOUN 
section, NOUN 

, SPACE 
1332, NUM 

, SPACE 
1000, NUM 
1200, NUM 
1400, NUM 
1600, NUM 

, SPACE 
Wavenumber, PROPN 
cm, PROPN 
l, PROPN 

, SPACE 
Fig, PROPN 
2, NUM 
Raman, PROPN 
spectra, PROPN 
diamond, NOUN 
films, NOUN 
deposited, VERB 
600, NUM 
°, NOUN 
C, NOUN 

, SPACE 
Ti-6AI-4V, PROPN 
8, NUM 
CO, PROPN 
H, PROPN 
b, X 
1, NUM 
CH, PROPN 
-H2, PROPN 

, SPACE 
L., PROPN 
Vandenbulcke, PROPN 
et, PROPN 
al, PROPN 
/Materials, PROPN 
Letters, NOUN 
27, NUM 
1996, NUM 
77, NUM 
80, NUM 
79, NUM 

, SPACE 
500, NUM 

, SPACE 
-5, PUNCT 

, SPACE 
F, NOUN 
600, NUM 
g, PROPN 

, SPACE 
s, NOUN 
P, NOUN 

, SPACE 
wg, PROPN 
3, NUM 

, SPACE 
t, NOUN 
700, NUM 
F, PROPN 

, SPACE 
R, NOUN 
g, NOUN 

, SPACE 
E, NOUN 

, SPACE 
-7, PUNCT 
C, NOUN 

, SPACE 
800, NUM 

, SPACE 
-6, PROPN 
l, NOUN 
900, NUM 

, SPACE 
10, NUM 
12, NUM 
14, NUM 
16, NUM 
18, NUM 
20, NUM 
22, NUM 
24, NUM 

, SPACE 
Diamond, PROPN 
peak, NOUN 
shift, NOUN 
cm, PROPN 
l, PROPN 

, SPACE 
Fig, PROPN 
3, NUM 
Temperature, NOUN 
corresponding, VERB 
calculated, VERB 
thermal, ADJ 
stress, NOUN 
re-, ADP 

, SPACE 
ported, VERB 
versus, ADP 
expertmental, ADJ 
shift, NOUN 
principal, ADJ 
Raman, PROPN 

, SPACE 
diamond, NOUN 
peak, NOUN 
corresponding, VERB 
doublet, ADJ 
phonon, NOUN 
films, NOUN 

, SPACE 
deposited, VERB 
C, PROPN 
H, PROPN 
C, PROPN 
H, NOUN 
O, PROPN 
0, NUM 

, SPACE 
containing, VERB 
gaseous, ADJ 
mixtures, NOUN 
Ager, PROPN 
model, NOUN 
gives, VERB 

, SPACE 
residual, ADJ 
stress, NOUN 
gage, NOUN 
factor, NOUN 
0.384, NUM 
GPa, NOUN 
cm-, PROPN 
represented, VERB 

, SPACE 
continuous, ADJ 
line, NOUN 
stress, NOUN 
scale, NOUN 

, SPACE 
posited, VERB 
600, NUM 
°, NOUN 
C, NOUN 
Ti-6Al-4V, NOUN 
CH,-H, PROPN 

, SPACE 
mixture, NOUN 
corresponding, VERB 
Raman, PROPN 
spectrum, NOUN 
pre-, ADV 

, SPACE 
sented, VERB 
Fig, PROPN 
2b, NOUN 
film, NOUN 
quality, NOUN 
appears, VERB 
poorer, ADJ 

, SPACE 
CO, PROPN 
H, PROPN 
broadening, NOUN 
asymmet-, ADJ 

, SPACE 
ric, PROPN 
diamond, NOUN 
feature, NOUN 
peaks, NOUN 
centered, VERB 
1343.5, NUM 

, SPACE 
1333, NUM 
cm-, NOUN 
>, X 
attributed, VERB 
defective, ADJ 

, SPACE 
diamond, NOUN 
higher, ADJ 
dispersion, NOUN 
crystal-, ADJ 

, SPACE 
lite, ADJ 
subgrains, NOUN 
size, NOUN 
orientation, NOUN 
9,10, X 

, SPACE 
hand, NOUN 
broad, ADJ 
bands, NOUN 
1140, NUM 
1450, NUM 
1580, NUM 

, SPACE 
cm-, PROPN 
reveal, VERB 
greater, ADJ 
codeposition, NOUN 
amorphous, ADJ 

, SPACE 
disordered, VERB 
sp, PROPN 
carbon, NOUN 

, SPACE 
thermal, ADJ 
stress, NOUN 
component, NOUN 
developed, VERB 

, SPACE 
cooling, VERB 
room, VERB 
temperature, NOUN 
directly, ADV 

, SPACE 
calculated, VERB 
Hoake, PROPN 
law, NOUN 
biaxial, ADJ 
Young, PROPN 

, SPACE 
modulus, NOUN 
polycrystalline, ADJ 
diamond, NOUN 
1230, NUM 
GPa, NOUN 

, SPACE 
11, NUM 
titanium, NOUN 
Ti-6Al-4V, PROPN 
temperature, NOUN 

, SPACE 
dependence, NOUN 
thermal, ADJ 
expansion, NOUN 

, SPACE 
known, VERB 
121, NUM 
thermal, ADJ 
expansion, NOUN 
CVD, PROPN 
dia-, VERB 

, SPACE 
mond, NOUN 
recently, ADV 
determined, VERB 
13, NUM 
com-, NOUN 

, SPACE 
pressive, ADJ 
thermal, ADJ 
stress, NOUN 
calculated, VERB 
Fig, PROPN 
3, NUM 

, SPACE 
presents, VERB 
experimental, ADJ 
variation, NOUN 
Raman, PROPN 

, SPACE 
peak, NOUN 
shift, NOUN 
diamond, NOUN 
function, NOUN 
calculated, VERB 

, SPACE 
thermal, ADJ 
stress, NOUN 
600, NUM 
900, NUM 
°, NUM 
C, NOUN 
range, NOUN 

, SPACE 
hand, NOUN 
Ager, PROPN 
Drory, PROPN 
61, NUM 
recently, ADV 
developed, VERB 

, SPACE 
model, NOUN 
relates, VERB 
observed, VERB 
Raman, PROPN 
spectra, PROPN 

, SPACE 
residual, ADJ 
stresses, NOUN 
diamond, NOUN 
films, NOUN 
derived, VERB 
biaxial, ADJ 
stresses, NOUN 
corresponding, VERB 
singlet, VERB 
doublet, VERB 

, SPACE 
phonon, NOUN 
frequencies, NOUN 
diamond, NOUN 
phonon, NOUN 

, SPACE 
deformation, NOUN 
potentials, NOUN 
compliance, NOUN 
constants, NOUN 

, SPACE 
doublet, NOUN 
following, VERB 
equation, NOUN 
obtained, VERB 

, SPACE 
61, NUM 

, SPACE 
T=, PROPN 
-0.384Au, PROPN 
GPa, PROPN 

, SPACE 
v, NOUN 
peak, NOUN 
shift, NOUN 
cm-, PROPN 
calculated, VERB 

, SPACE 
variation, NOUN 
residual, ADJ 
stress, NOUN 
7, NUM 
function, NOUN 

, SPACE 
diamond, NOUN 
peak, NOUN 
shift, NOUN 
reported, VERB 
Fig, PROPN 
3, NUM 

, SPACE 
figure, NOUN 
shows, VERB 
fairly, ADV 
good, ADJ 
agreement, NOUN 

, SPACE 
results, NOUN 
Ager, PROPN 
Drory, PROPN 
model, NOUN 

, SPACE 
allows, VERB 
attribute, VERB 
residual, ADJ 
stresses, NOUN 
mainly, ADV 

, SPACE 
thermal, ADJ 
expansion, NOUN 
mismatch, NOUN 
difference, NOUN 

, SPACE 
noted, VERB 
deposits, NOUN 
obtained, VERB 

, SPACE 
C, PROPN 
H, PROPN 
C, PROPN 
H, NOUN 
O, NOUN 
containing, VERB 
gas, NOUN 
mixtures, NOUN 

, SPACE 
different, ADJ 
intrinsic, ADJ 
stresses, NOUN 
Raman, PROPN 

, SPACE 
study, NOUN 
shows, VERB 
higher, ADJ 
non, ADJ 
diamond, ADJ 
carbon, NOUN 
incorpora-, VERB 

, SPACE 
tion, NOUN 
generally, ADV 
thought, VERB 
located, VERB 
grain, NOUN 

, SPACE 
boundaries, NOUN 
oxygen, NOUN 
introduced, VERB 

, SPACE 
plasma, NOUN 
case, NOUN 
tensile, ADJ 
intrinsic, ADJ 
stress, NOUN 
com-, NOUN 

, SPACE 
ponent, NOUN 
generally, ADV 
higher, ADJ 
7, NUM 
residual, ADJ 

, SPACE 
stresses, NOUN 
accordingly, ADV 
lower, ADJ 
direct, ADJ 
stress, NOUN 

, SPACE 
measurements, NOUN 
curvature, NOUN 
method, NOUN 
XRD, PROPN 

, SPACE 
sin29, PROPN 
method, NOUN 
14, NUM 
necessary, ADJ 

, SPACE 
confirm, VERB 
hypothesis, NOUN 

, SPACE 
4, X 
Conclusion, NOUN 

, SPACE 
strong, ADJ 
interface, NOUN 
bonding, NOUN 
obtained, VERB 

, SPACE 
high, ADJ 
temperature, NOUN 
850, NUM 
900, NUM 
°, NUM 
C, NOUN 
spalling, NOUN 

, SPACE 
thin, ADJ 
films, NOUN 
<, X 
1, NUM 
pm, NOUN 
occurs, VERB 
spite, NOUN 
high, ADJ 

, SPACE 
residual, ADJ 
stresses, NOUN 
8, NUM 
GPa, NOUN 
shown, VERB 

, SPACE 
diamond, NOUN 
coating, NOUN 
titanium, NOUN 
alloys, NOUN 
possi-, X 

, SPACE 
ble, ADJ 
tempering, VERB 
temperature, NOUN 
600, NUM 
°, NOUN 
C, NOUN 
residual, ADJ 

, SPACE 
stresses, NOUN 
5, NUM 
GPa, NOUN 
slightly, ADV 

, SPACE 
reduced, VERB 
decreasing, VERB 
temperature, NOUN 
500, NUM 
600, NUM 
°, NUM 
C, NOUN 

, SPACE 
range, NOUN 
increasing, VERB 
intrinsic, ADJ 
stresses, NOUN 
contri-, VERB 

, SPACE 
bution, NOUN 
tribological, ADJ 
tests, NOUN 
confirmed, VERB 

, SPACE 
good, ADJ 
adhesion, NOUN 
diamond, NOUN 
films, NOUN 
deposited, VERB 

, SPACE 
600, NUM 
°, NUM 
C, NOUN 
Complete, ADJ 
results, NOUN 
mechanical, ADJ 
tests, NOUN 

, SPACE 
coupled, VERB 
thorough, ADJ 
study, NOUN 
structure, NOUN 

, SPACE 
composition, NOUN 
interfacial, ADJ 
region, NOUN 
pub-, NOUN 

, SPACE 
lished, VERB 
near, ADJ 
future, NOUN 
Finally, ADV 
use, NOUN 
diamond-, ADV 

, SPACE 
coated, ADJ 
titanium, NOUN 
alloys, NOUN 
general, ADJ 
engineering, NOUN 
appli-, X 

, SPACE 
cations, NOUN 
reasonably, ADV 
expected, VERB 

, SPACE 
80, NUM 
L., PROPN 
Vandenbulcke, PROPN 
et, PROPN 
al, PROPN 
/Materials, PROPN 
Letters, NOUN 
27, NUM 
19, NUM 
77, NUM 
80, NUM 

, SPACE 
Acknowledgements, NOUN 
151, NUM 

, SPACE 
61, NUM 

, SPACE 
authors, NOUN 
like, VERB 
thank, VERB 
collabo-, PROPN 

, SPACE 
ration, NOUN 
A., PROPN 
Genty, PROPN 
ESEM, PROPN 
SEM, PROPN 
observations, NOUN 

, SPACE 
J., PROPN 
Coutures, PROPN 
CRPHT, PROPN 
XRD, PROPN 
analysis, NOUN 
C., PROPN 
Beny, PROPN 

, SPACE 
BRGM, PROPN 
Raman, PROPN 
analysis, NOUN 
work, NOUN 

, SPACE 
supported, VERB 
DGA, PROPN 
DRET, PROPN 
171, NUM 

, SPACE 
181, NUM 

, SPACE 
91, NUM 

, SPACE 
lOI, PROPN 

, SPACE 
References, PROPN 
11, NUM 

, SPACE 
II, PROPN 

, SPACE 
.I, PROPN 

, SPACE 
31, NUM 

, SPACE 
41, NUM 
T., PROPN 
Bell, PROPN 
P.H., PROPN 
Morton, PROPN 
A., PROPN 
Bloyce, PROPN 
Mater, PROPN 
SC, PROPN 
Eng, PROPN 
184, NUM 

, SPACE 
1994, NUM 
73, NUM 

, SPACE 
C.B., PROPN 
Collins, PROPN 
F., PROPN 
Davanloo, PROPN 
T.J., PROPN 
Lee, PROPN 
D.R., PROPN 
Jander, PROPN 
J.H., PROPN 

, SPACE 
H., PROPN 
Park, PROPN 
J.C., PROPN 
Collins, PROPN 
J., PROPN 
Appl, PROPN 
Phys, PROPN 
71, NUM 
1992, NUM 
3260, NUM 

, SPACE 
S.C., PROPN 
Perry, PROPN 
J.W., PROPN 
Ager, PROPN 
III, PROPN 
GA, PROPN 
Somorjai, PROPN 
J., PROPN 
Appl, PROPN 
Phys, NOUN 

, SPACE 
74, NUM 
1993, NUM 
7542, NUM 

, SPACE 
J., PROPN 
Narayan, PROPN 
W.D., PROPN 
Fan, PROPN 
R.J., PROPN 
Narayan, PROPN 
P., PROPN 
Tiwari, PROPN 
H.H., PROPN 

, SPACE 
Stadelmaier, PROPN 
Mater, PROPN 
Sci, PROPN 
Eng, PROPN 
B, PROPN 
25, NUM 
1994, NUM 
5, NUM 
I21, PROPN 

, SPACE 
l31, NOUN 

, SPACE 
1141, NUM 
M.D., PROPN 
Drory, PROPN 
J.W., PROPN 
Hutchinson, PROPN 
Science, PROPN 
263, NUM 
1994, NUM 
17.53, NUM 

, SPACE 
J.W., PROPN 
Ager, PROPN 
III, PROPN 
M.D., PROPN 
Drory, PROPN 
Phys, PROPN 
Rev., PROPN 
B, PROPN 
48, NUM 
1993, NUM 
2601, NUM 

, SPACE 
H., PROPN 
Windischmann, PROPN 
G.F., PROPN 
Epps, PROPN 
J., PROPN 
Appl, PROPN 
Phys, PROPN 
69, NUM 
1991, NUM 

, SPACE 
2231, NUM 

, SPACE 
L., PROPN 
Vandenbulcke, PROPN 
D., PROPN 
Rats, PROPN 
G., PROPN 
Farges, PROPN 
French, ADJ 
patent, NOUN 

, SPACE 
95, NUM 
04788, NUM 

, SPACE 
J.W., PROPN 
Ager, PROPN 
III, PROPN 
D.K., PROPN 
Veirs, PROPN 
G.M., PROPN 
Rosenblatt, PROPN 
Phys, PROPN 
Rev., PROPN 
B, PROPN 

, SPACE 
43, NUM 
1991, NUM 
6491, NUM 

, SPACE 
S., PROPN 
Prawer, PROPN 
K.W., PROPN 
Nugent, PROPN 
P.S., PROPN 
Weiser, PROPN 
Appl, PROPN 
Phys, NOUN 
Letters, NOUN 

, SPACE 
65, NUM 
1994, NUM 
2248, NUM 

, SPACE 
C.A., PROPN 
Klein, PROPN 
G.F., PROPN 
Cardinale, PROPN 
Diamond, PROPN 
Relat, PROPN 
Mater, PROPN 
2, NUM 

, SPACE 
1993, NUM 
918, NUM 

, SPACE 
Y.S., PROPN 
Touloukian, PROPN 
R.K., PROPN 
Kirby, PROPN 
R.E., PROPN 
Taylor, PROPN 
T.Y., PROPN 
Lee, PROPN 

, SPACE 
Thermophysical, PROPN 
Properties, PROPN 
Matter, PROPN 
Vol, PROPN 
13, NUM 
Thermal, PROPN 
Ex-, PROPN 

, SPACE 
pansion, NOUN 
Nonmetallic, PROPN 
Solids, PROPN 
Plenum, PROPN 
Press, PROPN 
New, PROPN 
York, PROPN 

, SPACE 
1977, NUM 
p., NOUN 
347, NUM 

, SPACE 
D.J., PROPN 
Pickrell, PROPN 
K.A., PROPN 
Kline, PROPN 
R.E., PROPN 
Taylor, PROPN 
Appl, PROPN 
Phys, NOUN 

, SPACE 
Letters, PROPN 
64, NUM 
1994, NUM 
2353, NUM 

, SPACE 
D., PROPN 
Rats, PROPN 
L., PROPN 
Bimbault, PROPN 
L., PROPN 
Vandenbulcke, PROPN 
R., PROPN 
Herbin, PROPN 
K.F., PROPN 

, SPACE 
Badawi, PROPN 
J., PROPN 
Appl, PROPN 
Phys, PROPN 
submitted, VERB 

, SPACE 
