Corrosion, PROPN 
, SPACE 
beneficial, ADJ 
role, NOUN 
reactive, ADJ 
elements, NOUN 
yttrium, NOUN 
cerium, NOUN 
rare, ADJ 
earths, NOUN 

, SPACE 
oxidation, NOUN 
behaviour, NOUN 
high, ADJ 
temperature, NOUN 
alloys, NOUN 
received, VERB 
considerable, ADJ 
attention, NOUN 

, SPACE 
example, NOUN 
Refs, PROPN 
l-3, PROPN 
elements, NOUN 
added, VERB 
small, ADJ 
amounts, NOUN 
<, X 
1, NUM 
bulk, ADJ 
alloy, NOUN 

, SPACE 
surface, NOUN 
able, ADJ 
particular, ADJ 
decrease, VERB 
oxidation, NOUN 
rate, NOUN 
dramatically, ADV 
improve, VERB 

, SPACE 
scale, NOUN 
adherence, NOUN 
exact, ADJ 
underlying, ADJ 
mechanisms, NOUN 
reactive, ADJ 
element, NOUN 
effect, NOUN 

, SPACE 
subject, NOUN 
discussion, NOUN 
general, ADJ 
found, VERB 
influence, NOUN 
reactive, ADJ 
elements, NOUN 
similar, ADJ 

, SPACE 
regardless, ADV 
element, NOUN 
implanted, VERB 
applied, VERB 
coating, NOUN 
present, ADJ 
alloy, NOUN 

, SPACE 
component, NOUN 
oxide, NOUN 
dispersoid, ADJ 
addition, NOUN 

, SPACE 
Ion, NOUN 
implantation, NOUN 
offers, VERB 
unique, ADJ 
possibility, NOUN 
introducing, VERB 
controlled, VERB 
concentration, NOUN 

, SPACE 
element, NOUN 
thin, ADJ 
surface, NOUN 
layer, NOUN 
typically, ADV 
100, NUM 
mn, NOUN 
thick, ADJ 

, SPACE 
extensively, ADV 
studying, VERB 
mechanisms, NOUN 
underlying, VERB 
reactive, ADJ 
element, NOUN 
effect, NOUN 
e.g., ADV 
Refs, PROPN 
3-, PROPN 

, SPACE 
7, X 
main, ADJ 
effects, NOUN 
initial, ADJ 
nucleation, NOUN 
growth, NOUN 
adherence, NOUN 
corrosion, NOUN 

, SPACE 
scale, NOUN 
majority, NOUN 
studies, NOUN 
deal, VERB 
corrosion, NOUN 
kinetics, NOUN 
mechanical, ADJ 
properties, NOUN 

, SPACE 
oxide, NOUN 
scales, NOUN 
number, NOUN 
studies, NOUN 
dealing, VERB 
initial, ADJ 
stages, NOUN 
corrosion, NOUN 

, SPACE 
limited, ADJ 

, SPACE 
Manuscript, PROPN 
received, VERB 
28, NUM 
June, PROPN 
1995, NUM 

, SPACE 
Author, NOUN 
correspondence, NOUN 
addressed, VERB 

, SPACE 
805, NUM 

, SPACE 
806, NUM 
M., PROPN 
J., PROPN 
Cristobal, PROPN 
YI, PROPN 
al, PROPN 

, SPACE 
paper, NOUN 
corrosion, NOUN 
Y, PROPN 
implanted, VERB 
chromium, NOUN 
reported, VERB 
study, NOUN 

, SPACE 
concentrates, VERB 
characterization, NOUN 
yttrium, NOUN 
present, ADJ 
implanted, VERB 
material, NOUN 

, SPACE 
particular, ADJ 
oxide, NOUN 
scales, NOUN 
formed, VERB 
initially, ADV 
material, NOUN 
oxidation, NOUN 

, SPACE 
air, NOUN 
changes, NOUN 
fast, ADJ 
heating, NOUN 
sample, NOUN 
900, NUM 
°, NOUN 
C, NOUN 
studied, VERB 
heating, NOUN 
samples, NOUN 

, SPACE 
intermediate, ADJ 
temperatures, NOUN 
withdrawing, VERB 
analysis, NOUN 
effect, NOUN 
varying, VERB 

, SPACE 
exposure, NOUN 
times, NOUN 
1, NUM 
h, NOUN 
800, NUM 
°, NOUN 
C, NOUN 
included, VERB 
Characterization, NOUN 
surface, NOUN 
layers, NOUN 

, SPACE 
carried, VERB 
X, NOUN 
ray, NOUN 
techniques, NOUN 
glancing, ADJ 
angles, NOUN 
GAXRD, NOUN 
angles, NOUN 

, SPACE 
obtain, VERB 
structural, ADJ 
texture, NOUN 
information, NOUN 
function, NOUN 
depth, NOUN 
X, NOUN 
ray, NOUN 

, SPACE 
absorption, NOUN 
near, ADP 
edge, NOUN 
structure, NOUN 
XANES, PROPN 
extended, VERB 
X, NOUN 
ray, NOUN 
absorption, NOUN 
fine, ADJ 
structure, NOUN 

, SPACE 
EXAFS, PROPN 
yttrium, NOUN 
K, PROPN 
edge, NOUN 
employed, VERB 
gain, VERB 
information, NOUN 
local, ADJ 
structure, NOUN 

, SPACE 
element, NOUN 
XANES, PROPN 
refers, VERB 
structure, NOUN 
X, NOUN 
ray, NOUN 
absorption, NOUN 
coefficient, NOUN 

, SPACE 
immediate, ADJ 
vicinity, NOUN 
absorption, NOUN 
edge, NOUN 
i.e., X 
50eV, PROPN 
edge, NOUN 

, SPACE 
contrast, NOUN 
EXAFS, PROPN 
region, NOUN 
absorption, NOUN 
coefficient, NOUN 
XANES, PROPN 
region, NOUN 

, SPACE 
described, VERB 
simple, ADJ 
formalism, NOUN 
XANES, PROPN 
useful, ADJ 
fingerprinting, ADJ 

, SPACE 
technique, NOUN 
position, NOUN 
shape, NOUN 
edge, NOUN 
provide, VERB 
information, NOUN 

, SPACE 
oxidation, NOUN 
state, NOUN 
element, NOUN 
EXAFS, PROPN 
based, VERB 
oscillatory, ADJ 
structure, NOUN 
X, NOUN 
ray, NOUN 

, SPACE 
absorption, NOUN 
coefficient, NOUN 
observed, VERB 
higher, ADJ 
spectral, ADJ 
range, NOUN 
40, NUM 
1000, NUM 
eV, PROPN 

, SPACE 
absorption, NOUN 
edge, NOUN 
caused, VERB 
interference, NOUN 
outgoing, ADJ 
photo, NOUN 
electron, NOUN 

, SPACE 
scattered, VERB 
component, NOUN 
surrounding, VERB 
atoms, NOUN 
Factors, NOUN 
contribute, VERB 

, SPACE 
EXAFS, PROPN 
structure, NOUN 
bond, NOUN 
distances, NOUN 
coordination, NOUN 
numbers, NOUN 
types, NOUN 

, SPACE 
surrounding, VERB 
atoms, NOUN 
interactive, ADJ 
fitting, ADJ 
procedures, NOUN 
possible, ADJ 
extract, VERB 

, SPACE 
information, NOUN 
measured, ADJ 
EXAFS, NOUN 
data, NOUN 
attractive, ADJ 
features, NOUN 
EXAFS, PROPN 

, SPACE 
fact, NOUN 
determine, VERB 
local, ADJ 
structure, NOUN 
specific, ADJ 
element, NOUN 

, SPACE 
independently, ADV 
detailed, ADJ 
discussion, NOUN 
scope, NOUN 
paper, NOUN 
given, VERB 

, SPACE 
references, NOUN 
e.g., ADV 
Refs, PROPN 
8, NUM 
9, NUM 

, SPACE 
EXPERIMENTAL, PROPN 
METHOD, PROPN 

, SPACE 
commercial, ADJ 
heat, NOUN 
Ducropur, PROPN 
studied, VERB 
containing, VERB 
99.9, NUM 
Cr, NOUN 
140, NUM 
ppm, NUM 
0, NUM 

, SPACE 
24, NUM 
ppm, PROPN 
N, PROPN 
130, NUM 
ppm, ADJ 
C, PROPN 
15, NUM 
ppm, ADJ 
S, PROPN 
14, NUM 
ppm, NOUN 
P., PROPN 
Coupons, PROPN 
approximately, ADV 
20, NUM 
x, SYM 
20, NUM 
x, SYM 
2, NUM 
mm, NOUN 

, SPACE 
machined, VERB 
mechanically, ADV 
abraded, VERB 
silicon, NOUN 
carbide, PROPN 
paper, NOUN 
1200, NUM 
grit, NOUN 
polished, VERB 

, SPACE 
alumina, PROPN 
suspension, NOUN 
0.3, NUM 
pm, NOUN 
final, ADJ 
surface, NOUN 
cleaning, NOUN 
specimens, NOUN 
degreased, VERB 

, SPACE 
acetone, NOUN 

, SPACE 
uniform, ADJ 
implantation, NOUN 
principal, ADJ 
coupon, NOUN 
faces, VERB 
yttrium, NOUN 
nominal, ADJ 

, SPACE 
dose, NOUN 
10, NUM 
ions, NOUN 
cm2, NOUN 
undertaken, VERB 
utilizing, VERB 
acceleration, NOUN 
potential, NOUN 
180, NUM 
keV., PROPN 

, SPACE 
Rutherford, PROPN 
backscattering, NOUN 
RBS, PROPN 
indicated, VERB 
retained, VERB 
doses, NOUN 
approximately, ADV 

, SPACE 
97, NUM 
nominal, ADJ 
doses, NOUN 
Y, PROPN 
distribution, NOUN 
impla.nted, VERB 
material, NOUN 
agreed, VERB 

, SPACE 
predicted, VERB 
depth, NOUN 
profile, NOUN 
modelling, NOUN 
programme, NOUN 
essentially, ADV 
gaussian, ADJ 

, SPACE 
maximum, ADJ 
concentration, NOUN 
approximately, ADV 
23, NUM 
at%, NOUN 
depth, NOUN 
40, NUM 
nm, NOUN 

, SPACE 
implantation, NOUN 
depth, NOUN 
120, NUM 
nm, NOUN 

, SPACE 
short, ADJ 
term, NOUN 
oxidation, NOUN 
tests, NOUN 
special, ADJ 
autoclave, NOUN 
system, NOUN 
fitted, VERB 

, SPACE 
magnetic, ADJ 
introduction, NOUN 
device, NOUN 
order, NOUN 
samples, NOUN 
rapidly, ADV 
inserted, VERB 

, SPACE 
retrieved, VERB 
hot, ADJ 
gas, NOUN 
atmosphere, NOUN 
insertion, NOUN 
retrieval, NOUN 

, SPACE 
samples, NOUN 
calibrations, NOUN 
showed, VERB 
specimen, NOUN 
surface, NOUN 
temperature, NOUN 
changed, VERB 

, SPACE 
approximately, ADV 
200”C, NOUN 
min, PROPN 
Corrosion, PROPN 
testing, NOUN 
performed, VERB 
flowing, VERB 
synthetic, ADJ 
air, NOUN 

, SPACE 
humidified, VERB 
relative, ADJ 
humidity, NOUN 
40, NUM 
25, NUM 
°, NUM 
C, NOUN 
study, VERB 
changes, NOUN 

, SPACE 
heating, NOUN 
900, NUM 
°, NOUN 
C, NOUN 
samples, NOUN 
heated, VERB 
400, NUM 
600, NUM 
800, NUM 
900, NUM 
°, NUM 
C, NOUN 
rapidly, ADV 
withdrawn, VERB 

, SPACE 
Oxidation, PROPN 
yttrium, NOUN 
implanted, VERB 
chromium, NOUN 
801, NUM 

, SPACE 
reaching, VERB 
temperatures, NOUN 
second, ADJ 
set, NOUN 
samples, NOUN 
heated, VERB 
800, NUM 
°, NOUN 
C, NOUN 

, SPACE 
withdrawn, VERB 
0,2,6, PROPN 
60, NUM 
mins, NOUN 

, SPACE 
Details, NOUN 
GAXRD, PROPN 
facility, NOUN 
included, VERB 
Cu, PROPN 
K, PROPN 
radiation, NOUN 
source, NOUN 

, SPACE 
described, VERB 
geometry, NOUN 
grazing, VERB 
incidence, NOUN 
asymmetric, NOUN 
Bragg, PROPN 
GIAB, PROPN 

, SPACE 
incident, NOUN 
angles, NOUN 
ranging, VERB 
0.3, NUM 
2, NUM 
Fluorescence, PROPN 
X, PROPN 
ray, PROPN 
absorption, NOUN 
spectra, PROPN 

, SPACE 
K, NOUN 
edge, NOUN 
yttrium, NOUN 
glancing, VERB 
angle, NOUN 
recorded, VERB 
wiggler, NOUN 
station, NOUN 
9.3, NUM 

, SPACE 
Synchrotron, PROPN 
Radiation, PROPN 
Source, PROPN 
Daresbury, PROPN 
U.K., PROPN 
data, NOUN 
recorded, VERB 
fluorescence, NOUN 

, SPACE 
mode, NOUN 
13, NUM 
element, NOUN 
solid, ADJ 
state, NOUN 
detector, NOUN 
positioned, VERB 
sample, NOUN 
incident, NOUN 

, SPACE 
angle, NOUN 
0.36, NUM 
i.e., X 
double, DET 
critical, ADJ 
angle, NOUN 
corresponding, VERB 
penetration, NOUN 
depths, NOUN 

, SPACE 
chromium, NOUN 
160, NUM 
200, NUM 
nm, NOUN 

, SPACE 
EXPERIMENTAL, PROPN 
RESULTS, NOUN 

, SPACE 
Glancing, PROPN 
angle, NOUN 
X, NOUN 
ray, PROPN 
diffraction, NOUN 

, SPACE 
Figure, PROPN 
1, NUM 
shows, VERB 
GAXRD, PROPN 
spectra, NOUN 
implanted, VERB 
chromium, NOUN 
angles, NOUN 

, SPACE 
incidence, NOUN 
diffraction, NOUN 
spectrum, VERB 
0.5, NUM 
corresponding, VERB 
theoretical, ADJ 
penetration, NOUN 
depth, NOUN 

, SPACE 
approximately, ADV 
93, NUM 
nm, NOUN 
Cr203, PROPN 
50, NUM 
nm, NOUN 
base, NOUN 
metal, NOUN 
indicates, VERB 
1, NUM 
lo, PROPN 

, SPACE 
200, NUM 
211, NUM 
peaks, NOUN 
chromium, NOUN 
presence, NOUN 
nanocrystalline, ADJ 
phase, NOUN 
indicated, VERB 

, SPACE 
broad, ADJ 
peak, NOUN 
near, ADP 
32, NUM 
reducing, VERB 
incident, NOUN 
angle, NOUN 
0.5, NUM 
0.3, NUM 
broad, ADJ 
peak, NOUN 

, SPACE 
Cr, PROPN 
+, SYM 
1, NUM 
017, NUM 
Y, PROPN 
ions, NOUN 
cm2, NOUN 

, SPACE 
7, NUM 

, SPACE 
$, SYM 
=, NUM 
0.4, NUM 

, SPACE 
lb, ADJ 
i0, PROPN 
i0, ADV 
40, NUM 
50, NUM 
60, NUM 
i0, PROPN 
80, NUM 
90, NUM 

, SPACE 
Diffraction, PROPN 
angle, NOUN 
20, NUM 
degrees, NOUN 

, SPACE 
Fig, PROPN 
1, NUM 
GAXRD, PROPN 
spectra, PROPN 
0.3,0.4, PROPN 
0.5, NUM 
incident, NOUN 
angles, NOUN 
implanted, VERB 
chromium, NOUN 

, SPACE 
808, NUM 
M., PROPN 
J., PROPN 
Cristbbal, PROPN 
et, PROPN 
al, PROPN 

, SPACE 
disappeared, VERB 
chromium, NOUN 
peaks, NOUN 
relative, ADJ 
intensities, NOUN 
Cr, PROPN 
peaks, NOUN 

, SPACE 
indicate, VERB 
preferred, ADJ 
orientation, NOUN 
material, NOUN 

, SPACE 
GAXRD, PROPN 
spectra, NOUN 
0.5, NUM 
incident, NOUN 
angle, NOUN 
implanted, VERB 
material, NOUN 
samples, NOUN 

, SPACE 
heated, VERB 
different, ADJ 
temperatures, NOUN 
shown, VERB 
Fig, PROPN 
2, NUM 
spectra, NOUN 
400, NUM 
°, NOUN 
C, NOUN 
600, NUM 
°, NOUN 
C, NOUN 

, SPACE 
10, NUM 
900, NUM 
C, NOUN 
-min, PUNCT 
=, ADJ 
V, PROPN 
Q, PROPN 

, SPACE 
B, PROPN 
=, PROPN 
C&O, PROPN 

, SPACE 
B, NOUN 
c, NOUN 

, SPACE 
C, NOUN 
C=, NOUN 
Cr, PROPN 

, SPACE 

, SPACE 
800, NUM 
C, PROPN 
-min, NOUN 
C, PROPN 

, SPACE 
0, NUM 

, SPACE 
600, NUM 
C, PROPN 
-min, PUNCT 

, SPACE 
C, NOUN 

, SPACE 
1, NUM 

, SPACE 
20, NUM 
30, NUM 
40, NUM 
50, NUM 
60, NUM 
70, NUM 

, SPACE 
Diffraction, PROPN 
angle, NOUN 
20, NUM 
degrees, VERB 
80, NUM 
E, NOUN 
1, NUM 

, SPACE 
Fig, PROPN 
2, NUM 
GAXRD, PROPN 
spectra, PROPN 
0.5, NUM 
incident, NOUN 
angle, NOUN 
yttrium, NOUN 
implanted, VERB 
chromium, NOUN 
implanted, VERB 

, SPACE 
heating, VERB 
400,600,800, NUM 
900, NUM 
°, NUM 
C, NOUN 

, SPACE 
Oxidation, PROPN 
yttrium, NOUN 
implanted, VERB 
chromium, NOUN 
809, NUM 

, SPACE 
contain, VERB 
peaks, NOUN 
corresponding, VERB 
chromium, NOUN 
substrate, NOUN 
YzO3, ADJ 
phase, NOUN 

, SPACE 
determine, VERB 
grain, NOUN 
size, NOUN 
shape, NOUN 
YzOs, PROPN 
440, NUM 
622, NUM 
peaks, NOUN 
analysed, VERB 

, SPACE 
computer, NOUN 
fitting, VERB 
programme, NOUN 
i2, NOUN 
assuming, VERB 
broadening, NOUN 
totally, ADV 
grain, NOUN 

, SPACE 
size, NOUN 
effect, NOUN 
average, ADJ 
Y203, PROPN 
grain, NOUN 
size, NOUN 
determined, ADJ 
increase, VERB 
2.5, NUM 
nm, NOUN 
400, NUM 
°, NOUN 
C, NOUN 

, SPACE 
4.5, NUM 
nm, NOUN 
600, NUM 
°, NOUN 
C, NOUN 
spectra, NOUN 
peaks, NOUN 
shifted, VERB 
slightly, ADV 
relative, ADJ 
positions, NOUN 

, SPACE 
expected, VERB 
stresses, NOUN 
oxide, NOUN 

, SPACE 
interesting, ADJ 
aspect, NOUN 
spectrum, NOUN 
sample, NOUN 
heated, VERB 
400, NUM 
°, NOUN 
C, NOUN 
particular, ADJ 

, SPACE 
600, NUM 
°, NOUN 
C, NOUN 
chromium, NOUN 
peaks, NOUN 
appear, VERB 
split, VERB 
investigate, VERB 

, SPACE 
detail, NOUN 
spectra, PROPN 
sample, NOUN 
0.5, NUM 
1, NUM 
2, NUM 
incident, NOUN 
angles, NOUN 
acquired, VERB 
Fig, PROPN 
3, NUM 

, SPACE 
increasing, VERB 
angle, NOUN 
incidence, NOUN 
splitting, NOUN 
disappears, VERB 

, SPACE 
heating, VERB 
800, NUM 
°, NOUN 
C, NOUN 
Fig, PROPN 
2, NUM 
Cr203, PROPN 
appears, VERB 
GAXRD, NOUN 
spectrum, NOUN 
Additionally, ADV 

, SPACE 
broad, ADJ 
peak, NOUN 
completely, ADV 
disappeared, VERB 
spectrum, NOUN 
900, NUM 
°, NOUN 
C, NOUN 

, SPACE 
600, NUM 
C, PROPN 
-min, PROPN 

, SPACE 
=, SYM 
2, NUM 
1, NUM 

, SPACE 
h, NOUN 
.,*I-, PROPN 
--_J., PROPN 

, SPACE 
h++, PROPN 

, SPACE 

, SPACE 
40, NUM 

, SPACE 
Diffraction, PROPN 
angle, NOUN 
20, NUM 
degrees, NOUN 

, SPACE 
Fig, PROPN 
3, NUM 
GAXRD, PROPN 
spectra, PROPN 
0.5, NUM 
1, NUM 
2, NUM 
incident, NOUN 
angle, NOUN 
yttrium, NOUN 
implanted, VERB 
chromium, NOUN 

, SPACE 
heating, VERB 
600, NUM 
°, NOUN 
C, NOUN 
compare, VERB 
Fig, PROPN 
2, NUM 

, SPACE 
810, NUM 
M., PROPN 
J., PROPN 
Crist6bal, PROPN 
et, PROPN 
al, PROPN 

, SPACE 
Fig, PROPN 
4, NUM 
300, NUM 
c, NOUN 
60, NUM 
min, NOUN 
=, NOUN 
Y, PROPN 
O, PROPN 

, SPACE 
3, NUM 

, SPACE 
300%/6min, NUM 
B, NOUN 

, SPACE 

, SPACE 
300, NUM 
C, NOUN 
2, NUM 
min, NOUN 

, SPACE 
C, NOUN 

, SPACE 
0, NUM 

, SPACE 
BOO, PROPN 
C, PROPN 
-min, PUNCT 

, SPACE 
B, NOUN 

, SPACE 

, SPACE 
io, VERB 
+, ADJ 
o, NOUN 
4b, PROPN 
50, NUM 
70, NUM 

, SPACE 
Diffraction, PROPN 
angle, NOUN 
20, NUM 
degrees, VERB 
80, NUM 
90, NUM 

, SPACE 
GAXRD, PROPN 
spectra, NOUN 
0.5, NUM 
incident, NOUN 
angle, NOUN 
yttrium, NOUN 
implanted, VERB 
chromium, NOUN 
oxidation, NOUN 

, SPACE 
800, NUM 
°, NOUN 
C, NOUN 
0,2,6, PROPN 
60, NUM 
min, NOUN 

, SPACE 
Oxidation, PROPN 
yttrium, NOUN 
implanted, VERB 
chromium, NOUN 
811, NUM 

, SPACE 
significant, ADJ 
difference, NOUN 
8OO”C, NUM 
relatively, ADV 
lower, ADJ 
signal, NOUN 

, SPACE 
underlying, VERB 
chromium, NOUN 
chromia, NOUN 
phase, NOUN 
shows, VERB 
significant, ADJ 
difference, NOUN 
relative, ADJ 

, SPACE 
intensities, NOUN 
peaks, NOUN 
compared, VERB 
expected, VERB 
indicative, ADJ 
preferred, ADJ 
orientation, NOUN 

, SPACE 
GAXRD, PROPN 
spectra, NOUN 
0.5, NUM 
incident, NOUN 
angle, NOUN 
obtained, VERB 
samples, NOUN 
oxidized, VERB 
0,2,6, PROPN 

, SPACE 
60, NUM 
min, NOUN 
800, NUM 
°, NOUN 
C, NOUN 
presented, VERB 
Fig, PROPN 
4, NUM 
Cr203, PROPN 
Y203, PROPN 
Cr, PROPN 
observed, VERB 

, SPACE 
increasing, VERB 
exposure, NOUN 
times, NOUN 
peaks, NOUN 
related, VERB 
Cr203, NOUN 
predominant, ADJ 

, SPACE 
Y203, PROPN 
Cr, PROPN 
indicating, VERB 
growing, VERB 
oxide, NOUN 
layer, NOUN 

, SPACE 
GAXRD, PROPN 
spectra, NOUN 
0.5, NUM 
incident, NOUN 
angle, NOUN 
obtained, VERB 
sample, NOUN 
oxidized, VERB 
800, NUM 
°, NOUN 
C, NOUN 

, SPACE 
60, NUM 
min, NOUN 
Fig, PROPN 
4, NUM 
heated, VERB 
900, NUM 
°, NUM 
C, NOUN 
Fig, PROPN 
2, NUM 
similar, ADJ 
comparison, NOUN 

, SPACE 
samples, NOUN 
additional, ADJ 
spectra, NOUN 
0.3, NUM 
incident, NOUN 
angle, NOUN 
theoretical, ADJ 

, SPACE 
penetration, NOUN 
depth, NOUN 
nanometres, NOUN 
Cr203, PROPN 
obtained, VERB 
Fig, PROPN 
5, NUM 
spectra, NOUN 

, SPACE 
representative, ADJ 
outer, ADJ 
oxide, NOUN 
layer, NOUN 
spectra, NOUN 
obtained, VERB 
sample, NOUN 

, SPACE 
heated, VERB 
900, NUM 
°, NUM 
C, NOUN 
Fig, PROPN 
5(a, NUM 
Y203, PROPN 
Crz03, PROPN 
phases, NOUN 
chromium, NOUN 
substrate, NOUN 

, SPACE 
visible, ADJ 
Cr203, ADJ 
predominates, VERB 
spectra, NOUN 
sample, NOUN 
exposed, VERB 
60, NUM 
min, NOUN 

, SPACE 
800, NUM 
°, NOUN 
C, NOUN 
Fig, PROPN 
5(b, NUM 
Y203, PROPN 
peaks, NOUN 
chromium, NOUN 
peaks, NOUN 
practically, ADV 

, SPACE 
disappeared, VERB 
64.4, NUM 
overlapped, VERB 
300, NUM 
peak, NOUN 
Crz03, PROPN 

, SPACE 
64.9, NUM 
cases, NOUN 
Y203, PROPN 
phase, NOUN 
appears, VERB 
mainly, ADV 
located, VERB 
close, ADV 
metal-, PROPN 

, SPACE 
oxide, NOUN 
interface, NOUN 

, SPACE 
X, NOUN 
ray, NOUN 
absorption, NOUN 
spectroscopy, NOUN 
yttrium, NOUN 
K, NOUN 
edge, NOUN 

, SPACE 
XANES, PROPN 
regions, NOUN 
X, NOUN 
ray, NOUN 
absorption, NOUN 
spectra, PROPN 
oxidized, VERB 
samples, NOUN 
shown, VERB 

, SPACE 
Fig, PROPN 
6, NUM 
YzOs, PROPN 
reference, NOUN 
powder, NOUN 
spectra, NOUN 

, SPACE 
taken, VERB 
experimental, ADJ 
run, NOUN 
possibility, NOUN 
slight, ADJ 
shifts, NOUN 
energy, NOUN 
scale, NOUN 

, SPACE 
examining, VERB 
form, NOUN 
spectra, NOUN 
observed, VERB 
samples, NOUN 

, SPACE 
spectrum, NOUN 
obtained, VERB 
sample, NOUN 
heated, VERB 
600, NUM 
°, NUM 
C, NOUN 
resembles, VERB 
Y203, PROPN 

, SPACE 
heated, VERB 
400, NUM 
°, NOUN 
C, NOUN 
showing, VERB 
similar, ADJ 
curve, NOUN 
seen, VERB 
shape, NOUN 

, SPACE 
main, ADJ 
absorption, NOUN 
peak, NOUN 
distance, NOUN 
wide, ADJ 
peak, NOUN 
approximately, ADV 
54, NUM 
eV, NUM 
higher, ADJ 
