Nuclear, ADJ 
simplicity, NOUN 

, SPACE 
setup, NOUN 
major, ADJ 
constdcration, NOUN 
volatile, ADJ 

, SPACE 
nature, NOUN 
HF, PROPN 
HF, PROPN 
fumes, NOUN 
dangerous, ADJ 
appara-, ADJ 

, SPACE 
tus, PROPN 
operator, NOUN 
etch, VERB 
surfaces, NOUN 

, SPACE 
mirror, NOUN 
an4, PROPN 
diode, NOUN 
quickly, ADV 
easily, ADV 
time, NOUN 

, SPACE 
ftamc, ADJ 
single, ADJ 
c, NOUN 
~, VERB 
utemcnt, NOUN 
Direct, ADJ 
contact, NOUN 
HF, PROPN 

, SPACE 
etch, VERB 
surfaces, NOUN 
char, ADJ 
plastics, NOUN 

, SPACE 
place, VERB 
stage, NOUN 
open, ADJ 
container, NOUN 
enclosed, VERB 

, SPACE 
larger, ADJ 
air, NOUN 
tight, ADJ 
ant, NOUN 
HF, PROPN 
condensrs, VERB 
inner, ADJ 
wall, NOUN 

, SPACE 
lfbrge, NOUN 
container, NOUN 
eventually, ADV 
etched, VERB 

, SPACE 
time, NOUN 
sc8k, PROPN 
exucmcly, ADV 
long, ADV 
camp8d, PUNCT 
tht, NOUN 
kqth, NOUN 

, SPACE 
rnc, NOUN 
~, NOUN 
rncnt, NOUN 
cv8pontion, NOUN 
HF, PROPN 
doge, VERB 

, SPACE 
thckveloftheHFtrtthcsmallcottuimcausingthelxsc~, PROPN 

, SPACE 
spottornovcacrosstJbcmica, PROPN 
Thcthkkm3softhcmicais, X 

, SPACE 
notaconstantovcrthecntircsurfaccandthistnotioncan, PROPN 

, SPACE 
cause, VERB 
shifts, NOUN 
intcrfcm~~~, PROPN 
pattan, PROPN 
affect, VERB 

, SPACE 
mcasuremmt.Whcnthcmicaisplaccdinthccdant.time, NOUN 

, SPACE 
given, VERB 
etchant, NOUN 
cv, VERB 
pciraW, PROPN 
inIo, NOUN 
tk, X 
lqer, ADP 

, SPACE 
CtHttai, PROPN 
~, PUNCT 
SOtbttktWkVZiiScoclstML, NUM 

, SPACE 
Optimally, ADV 
size, NOUN 
dr, PROPN 
send, VERB 
fiingc, NOUN 
rbould, AUX 
bt, PROPN 

, SPACE 
gn!amthanchtsizcofthcdiak, PROPN 
ofthe, NOUN 

, SPACE 
fkingcsisinvenclyprop&dtotkthicb#roftk, ADJ 

, SPACE 
c;L?rpk, PROPN 
Faverychinmwr~(-l~~)rra)dwriat, PROPN 

, SPACE 
ofthcfkinpCanthc&ofthcwidthofthebew, PROPN 
Tk, ADJ 

, SPACE 
CIL~, NOUN 
lnaxudum, NOUN 
domiMe, VERB 
w, NOUN 
pmfm7, PROPN 
t, PROPN 
ad, NOUN 
tbc, NOUN 

, SPACE 
immsity, NOUN 
beam, NOUN 
rctkct, VERB 
rise, NOUN 
md, PROPN 
Ml, PROPN 

, SPACE 
thidmsampksthcopionrlknsisneededmwideatht, ADJ 

, SPACE 
beanl, NOUN 
Wefdr.hcpoirttawhicbthcbWnisItmulalto, PROPN 

, SPACE 
thcsurfacebyRfbcttrgitbmdtintofhchscrcavity.flu, X 

, SPACE 
tmmiSIhen0ffseCappximntdyart0twoceMimMm, NOUN 

, SPACE 
soth8lthedcWXorwillnotohsmtctthtbcam.usingEq, PROPN 

, SPACE 
l)andassuming, VERB 
n, CCONJ 
tobcclovtoth8tforwarcr.a2, NOUN 
cm, NOUN 

, SPACE 
hteraloffsctintttcpathatthcheambamchangcso, NOUN 

, SPACE 
1, NUM 

, SPACE 
Material, PROPN 

, SPACE 
hvious, ADJ 
measuremenl\, NUM 

, SPACE 
Muscovite, PROPN 
C, PROPN 

, SPACE 
Muscovltc, PROPN 

, SPACE 
Current, ADJ 
measwrmcnts, NOUN 

, SPACE 
Muscovite, PROPN 

, SPACE 
Goodfellow, PROPN 

, SPACE 
Muscovite, PROPN 
C, PROPN 

, SPACE 
Muscovite, PROPN 

, SPACE 
Muscovite, PROPN 
B, PROPN 

, SPACE 
Muscovite, PROPN 
SA, PROPN 

, SPACE 
hpiiolite, NOUN 
Annealing, PROPN 

, SPACE 
Mcasumnml, PROPN 
na, PART 

, SPACE 
rffectai, VERB 

, SPACE 
ovcrlxppiig, ADJ 
tracks, NOUN 

, SPACE 
Na, PROPN 
annealed, VERB 

, SPACE 
Annealed, VERB 

, SPACE 
Na, PROPN 
annealed, VERB 

, SPACE 
Na, PROPN 
annealed, VERB 

, SPACE 
anneakd, PROPN 

, SPACE 
Anneakd, PROPN 

, SPACE 
Annealed, PROPN 
u, NOUN 
IA, PROPN 
h, PROPN 

, SPACE 
b,/VLl, NOUN 

, SPACE 
220, NUM 

, SPACE 
120, NUM 

, SPACE 
130, NUM 
25, NUM 

, SPACE 
loo, PROPN 
ml, PROPN 

, SPACE 
issfm, PROPN 

, SPACE 
MO&30, NUM 

, SPACE 
180, NUM 
30, NUM 

, SPACE 
230&m, NUM 

, SPACE 
148, NUM 
14, NUM 

, SPACE 
l2oOof2ooo, ADP 

, SPACE 
1651, NUM 
Ref, PROPN 

, SPACE 
Rice, PROPN 
151, NUM 

, SPACE 
Dmyge, PROPN 
et, NOUN 
4l, NOUN 

, SPACE 
exp, NOUN 

, SPACE 
exp, NOUN 

, SPACE 
exp, NOUN 

, SPACE 
exp, NOUN 

, SPACE 
exp, NOUN 

, SPACE 
exp, NOUN 

, SPACE 
E., PROPN 
Freeman, PROPN 
D., PROPN 
Snow&n, PROPN 
I’/, NOUN 
Nd, PROPN 
Ins, PROPN 
r., PROPN 
.Meth, PROPN 
Phys, PROPN 
Hex, PROPN 
B, PROPN 
I08, PROPN 
19, NUM 
129, NUM 
132, NUM 

, SPACE 
voltage, NOUN 
dicxle, NOUN 
sampled, VERB 
second, ADJ 

, SPACE 
intervals, NOUN 
transmitted, VERB 
nearby, ADJ 
workstation, NOUN 

, SPACE 
background, NOUN 
noise, NOUN 
0.01, NUM 
Hz, PROPN 
signal, NOUN 

, SPACE 
pcriodonrhe0rderofhourssotJCsnoisfzdoesnotposca, NOUN 

, SPACE 
prohkm, NOUN 
Fig, PROPN 
2, NUM 
shows, VERB 
sample, NOUN 
rncaswemcnl, NOUN 
c, NOUN 

, SPACE 
Muscovite, PROPN 
mica, NOUN 
HF, PROPN 
damping, NOUN 
signal, NOUN 

, SPACE 
cuukn&onontheinsidcoftklargecontaim, NOUN 
Thc, NOUN 

, SPACE 
points, VERB 
arc, PROPN 
aver+, NOUN 
20, NUM 
minute, NOUN 
intervals, NOUN 
pef-, VERB 

, SPACE 
fomaiapmmspecuum2nalysisofthe&~~FIndthc, NOUN 

, SPACE 
paiai, PROPN 
lkpowcrqxstmmofthisd&isshowninFig.3, PROPN 

, SPACE 
x, PROPN 
uis, PROPN 
beat, VERB 
cawutal, ADJ 
Eq, PROPN 
2, NUM 
qrcscn4, NOUN 

, SPACE 
uL, PUNCT 
in~/b.~resulaforthcvarkuampk, PROPN 
~, PUNCT 
rd, NOUN 

, SPACE 
cachmsinthisexpuimaIIafegiveninTJbk1.thtm, NOUN 

, SPACE 
hlCdI, PROPN 
iS-~IObCIhCfUllWidltlX, PROPN 

, SPACE 
klfmuimunforcachpowaspcunun, PROPN 

, SPACE 

, SPACE 
Fig, PROPN 
2, NUM 
GoodfeUow, NOUN 
mica, NOUN 
dara, NOUN 
pod, NOUN 
xepresmts, X 
dr, VERB 
average, ADJ 

, SPACE 
voltage, NOUN 
2, NUM 
minutes, NOUN 
period, NOUN 
represents, VERB 
remuval, NOUN 

, SPACE 
1012, NUM 
mica, PROPN 

, SPACE 
132, NUM 
E., PROPN 
Freeman, PROPN 
D., PROPN 
Swwdcn, PROPN 
Ifl, PROPN 
Nucl, PROPN 
Insrr, PROPN 
Mcvh, PROPN 
Phys, PROPN 
Res, PROPN 
8, NUM 
108, NUM 
lu96, PROPN 
129, NUM 
132, NUM 

, SPACE 
1, X 
Conclusion, NOUN 

, SPACE 
shown, VERB 
interferometer, NOUN 
measure, VERB 

, SPACE 
hourly, ADJ 
etch, NOUN 
rate, NOUN 
L, PROPN 
wilhin, VERB 
10, NUM 
technique, NOUN 

, SPACE 
measure, VERB 
c, NOUN 
previously, ADV 
difficuh, NOUN 
materials, NOUN 

, SPACE 
slow, ADJ 
etch, NOUN 
rates, NOUN 
materials, NOUN 
erch, VERB 

, SPACE 
anisotropically, ADV 
able, ADJ 
IO, PROPN 
use, VERB 
technique, NOUN 

, SPACE 
perform, VERB 
survey, NOUN 
rhe, NOUN 
etch, NOUN 
ratis, NOUN 
different, ADJ 
types, NOUN 

, SPACE 
mica, PROPN 
alo, VERB 
able, ADJ 
measure, VERB 
increase, NOUN 

, SPACE 
latenr, PROPN 
recoil, NOUN 
tracks, NOUN 
ratio, NOUN 

, SPACE 
L, PROPN 
u, PROPN 
j, NOUN 

, SPACE 
Acknowledgementa, PROPN 

, SPACE 
WC, PROPN 
indcbled, VERB 
IO, PROPN 
Yudong, PROPN 
Cmdy, PROPN 
Hancox, PROPN 

, SPACE 
Michael, PROPN 
Solan, PROPN 
experimental, ADJ 
assistance, NOUN 

, SPACE 
like, VERB 
lhank, VERB 
P.B., PROPN 
Price, PROPN 
AJ, PROPN 
Westphal, ADJ 
stimulatlnp, NOUN 

, SPACE 
discussion, NOUN 
work, NOUN 
supported, VERB 
LJK, PROPN 
Office, PROPN 

, SPACE 
Energy, PROPN 
Research, PROPN 
Off’ce, PROPN 
High, PROPN 
Nuclear, PROPN 

, SPACE 
Physics, PROPN 
Division, PROPN 
High, PROPN 
Energy, PROPN 
Physics, PROPN 
DOE, PROPN 

, SPACE 
contract, NOUN 
DE, PROPN 
AC0376SF00098, X 
References, NOUN 

, SPACE 
lj, INTJ 
W.L., PROPN 
Fieischcr, PROPN 
P.B., PROPN 
Pncc, PROPN 
R.M., PROPN 
Walker, PROPN 
Nuclear, PROPN 
Tracks, PROPN 

, SPACE 
Solid\, PROPN 
Untvenity, PROPN 
cf, NOUN 
Califomla, PROPN 
Frcss, PROPN 
Berkeley, PROPN 
IY75, PROPN 

, SPACE 
2, X 
P.B., PROPN 
Price, PROPN 
R.M., PROPN 
Walker, PROPN 
Nawc, PROPN 
1, NUM 
1963, NUM 
4874, NUM 

, SPACE 
131, NUM 
D.P., PROPN 
<, X 
nowden, PROPN 
lff, PROPN 
M.K.Y., PROPN 
Ghan, PROPN 
Nucl, PROPN 
Insa, PROPN 
Meti, PROPN 
B, PROPN 

, SPACE 
I01, PROPN 
95, NUM 
247, NUM 

, SPACE 
4, X 
E., PROPN 
Dartyge, PROPN 
J.P., PROPN 
Durdud, PROPN 
Y., PROPN 
Langcwn, PROPN 
M., PROPN 
hlautwc, PROPN 
Phys, NOUN 

, SPACE 
Rev., PROPN 
B, PROPN 
23, NUM 
1981, NUM 
5221, NUM 

, SPACE 
151, NUM 
P.B., PROPN 
Price, PROPN 
M.H., PROPN 
Salamon, PROPN 
Phyr, PROPN 
Rcr, PROPN 
Len, PROPN 
56, NUM 
1986, NUM 

, SPACE 
1226, NUM 

, SPACE 
161, NUM 
Mica, PROPN 
Sources, NOUN 
30, NUM 
Lcpidolilc, PROPN 
U.S., PROPN 
Museum, PROPN 
Nati, PROPN 

, SPACE 
Hutory, PROPN 
Washingwm, PROPN 
DC, PROPN 
u, NOUN 
uhct, NOUN 
muscoviz, ADJ 

, SPACE 
quarrcn, PROPN 
lab&d, PROPN 
a., PROPN 
b, PROPN 
c., PROPN 
d, PROPN 
BntrJl, PROPN 
Museum, PROPN 
Natud, PROPN 

, SPACE 
ti, NOUN 
~, PROPN 
rtoq, NOUN 
+, NOUN 
menl, NOUN 
Mimrlogy, PROPN 
L0ndon, PROPN 
Ban, NOUN 
ur&nmwn, ADP 

, SPACE 
UIUKC, PROPN 
B, NOUN 
British, PROPN 
Muvum, PROPN 
Namral, PROPN 
History, PROPN 
Dcptmcm, PROPN 

, SPACE 
Mmznlogy, PROPN 
l&n&m, NOUN 
unknown, ADJ 
sounX., PROPN 
c, PROPN 
Brili, PROPN 

, SPACE 
.Muuum, PROPN 
Natural, PROPN 
Histcny, PROPN 
Dqartmcnt, PROPN 
Mirralogy, PROPN 
Lm-, ADP 

, SPACE 
m.fmmuntnon,~.SA, PROPN 
Profes, PROPN 
~, PUNCT 
GofdonBmvn, PROPN 

, SPACE 
Gdogy, PROPN 
DcpiutmcnI., NOUN 
SIanford, PROPN 
Unlvmlty, PROPN 
All&lwm, PROPN 
tz, ADP 

, SPACE 
Mm, PROPN 
East, ADJ 
Ha~~~pum, NOUN 
Corm, NOUN 
GddfPo~~~, PROPN 
boodfel&w, PROPN 
Car-, PROPN 

, SPACE 
ponuon, VERB 
Bewym, PROPN 
PA, PROPN 

, SPACE 
171, NUM 
F.H., PROPN 
Ruddy, PROPN 
H.B., PROPN 
Knowles, PROPN 
S.C., PROPN 
Luckstead, PROPN 
md, PROPN 
GE, PROPN 
Triprd, PROPN 

, SPACE 
Nucl, PROPN 
Inra, NOUN 
urd, ADJ 
Mcth, PROPN 
147, NUM 
1977125, NUM 

, SPACE 
