\T.U, NUM 
conventional, ADJ 
techniques, NOUN 
like, ADP 
sputtering, VERB 
101, NUM 

, SPACE 
way, NOUN 
target, NOUN 
prepared, VERB 
great, ADJ 
influence, NOUN 

, SPACE 
particulate, NOUN 
content, NOUN 
final, ADJ 
film, NOUN 
use, NOUN 
dense, ADJ 

, SPACE 
and/or, CCONJ 
bulk, ADJ 
targets, NOUN 
opposed, VERB 
sintered, VERB 
targets, NOUN 
lead-, NOUN 

, SPACE 
Corresponding, VERB 
author, NOUN 
Tel, INTJ 
+34, NOUN 
1, NUM 
5616800, NUM 
fax, NOUN 
+, NUM 
34, NUM 
1, NUM 

, SPACE 
5645557, NUM 
e, NOUN 
mail, NOUN 
cnafonso@plnar, NOUN 
1, NUM 
.csie.es, NOUN 
ing, ADJ 
best, ADJ 
results, NOUN 
Particulates, NOUN 
3, NUM 
4, NUM 
pm, NOUN 
diameter, NOUN 

, SPACE 
observed, VERB 
PLD, PROPN 
films, NOUN 
limiting, VERB 
widespread, ADJ 

, SPACE 
application, NOUN 
1, NUM 
schemes, NOUN 
proposed, VERB 

, SPACE 
reducing, VERB 
density, NOUN 
films, NOUN 
use, NOUN 
shutter, NOUN 

, SPACE 
triggered, VERB 
laser, NOUN 
stop, VERB 
slow, ADJ 
particles, NOUN 

, SPACE 
earliest, ADJ 
efficient, ADJ 
proposed, VERB 
solutions, NOUN 

, SPACE 
12, NUM 
fundamental, ADJ 
practical, ADJ 
aspects, NOUN 
PLD, PROPN 
to-, PROPN 

, SPACE 
gether, NOUN 
application, NOUN 
important, ADJ 
technological, ADJ 

, SPACE 
materials, NOUN 
updated, VERB 
materials, NOUN 
survey, NOUN 
re-, ADV 

, SPACE 
cently, ADV 
reviewed, VERB 
131, NUM 

, SPACE 
2, X 
Oxide, NOUN 
films, NOUN 
optical, ADJ 
applications, NOUN 

, SPACE 
Optical, ADJ 
applications, NOUN 
require, VERB 
high, ADJ 
density, NOUN 
films, NOUN 

, SPACE 
good, ADJ 
adhesion, NOUN 
requirements, NOUN 
better, ADJ 

, SPACE 
achieved, VERB 
past, NOUN 
sputtering, NOUN 
ion, NOUN 
assisted, VERB 
tech-, PROPN 

, SPACE 
niques, NOUN 
Depending, VERB 
particular, ADJ 
application, NOUN 

, SPACE 
properties, NOUN 
low, ADJ 
absorption, NOUN 
waveguides, NOUN 
epitaxial/, NUM 

, SPACE 
oriented, VERB 
films, NOUN 
ferroelectric, ADJ 
films, NOUN 
non, ADJ 
linear, ADJ 
opti-, NOUN 

, SPACE 
cal, PROPN 
applications, NOUN 
needed, VERB 
reviews, NOUN 

, SPACE 
published, VERB 
application, NOUN 
PLD, PROPN 
optics, NOUN 
14-, NUM 
161, NUM 

, SPACE 
oxide, NOUN 
materials, NOUN 
prepared, VERB 
far, ADV 
PLD, PROPN 

, SPACE 
relevant, ADJ 
optical, ADJ 
applications, NOUN 
divided, VERB 

, SPACE 
groups, NOUN 
16, NUM 
binary, ADJ 
oxides, NOUN 
complex, ADJ 
oxides, NOUN 

, SPACE 
composite, ADJ 
glasses, NOUN 

, SPACE 
group, NOUN 
includes, VERB 
oxides, NOUN 

, SPACE 
optical, ADJ 
coatings, NOUN 
long, ADV 

, SPACE 
transparent, ADJ 
conducting, VERB 
materials, NOUN 

, SPACE 
suitable, ADJ 
layers, NOUN 
contacts, NOUN 
electro, NOUN 
optical, ADJ 
applica-, NOUN 

, SPACE 
tions, NOUN 
oxides, NOUN 
interesting, ADJ 
buffer, NOUN 
layers, NOUN 

, SPACE 
growth, NOUN 
complex, ADJ 
structures, NOUN 
materials, NOUN 

, SPACE 
grown, VERB 
far, ADV 
PLD, PROPN 
include, VERB 
CeO, PROPN 
GeO, PROPN 

, SPACE 
HfO, NOUN 
ITO, PROPN 
MgO, PROPN 
SiO, PROPN 
SnO, PROPN 
Y203, PROPN 
ZnO, PROPN 
ZrO, PROPN 

, SPACE 
cases, NOUN 
refractive, ADJ 
index, NOUN 
reported, VERB 

, SPACE 
addition, NOUN 
characterization, NOUN 
structural, ADJ 
com-, NOUN 

, SPACE 
positional, ADJ 
properties, NOUN 
films, NOUN 
results, NOUN 

, SPACE 
0168, NUM 
583X/96/$15.00, PROPN 
Copyright, NOUN 
0, NUM 
1996, NUM 
Elsevier, PROPN 
Science, PROPN 
B.V., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
PZZ, PROPN 
SO168, PROPN 
583X(96)00078, PROPN 
X, NOUN 

, SPACE 
C.N., PROPN 
Afonso, PROPN 
J., PROPN 
Gonzalo, PROPN 
Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
Phys, PROPN 
Res, PROPN 
B, PROPN 
116, NUM 
1996, NUM 
404, NUM 
409, NUM 

, SPACE 
pump, NOUN 
unit, NOUN 

, SPACE 
Gas, PROPN 
Inlet, PROPN 

, SPACE 
Fig, PROPN 
1, NUM 
Usual, ADJ 
configuration, NOUN 
growth, NOUN 
PLD, PROPN 
films, NOUN 

, SPACE 
gas, NOUN 
inlet, NOUN 
substrate, NOUN 
heater, NOUN 
optional, ADJ 

, SPACE 
dense, ADJ 
films, NOUN 
refractive, ADJ 
index, NOUN 
close, ADJ 
bulk, ADJ 

, SPACE 
materials, NOUN 
usualiy, ADV 
obtained, VERB 
room, NOUN 
temperature, NOUN 

, SPACE 
complex, ADJ 
oxide, NOUN 
group, NOUN 
includes, VERB 
materials, NOUN 

, SPACE 
usually, ADV 
available, ADJ 
bulk, ADJ 
single, ADJ 
crystals, NOUN 
interest-, VERB 

, SPACE 
ing, ADJ 
non, ADJ 
linear, ADJ 
optical, ADJ 
NLO, PROPN 
properties, NOUN 

, SPACE 
materials, NOUN 
studied, VERB 
terms, NOUN 
growth, NOUN 
condi-, VERB 

, SPACE 
tions, NOUN 
produce, VERB 
epitaxial, ADJ 
films, NOUN 
NLO, PROPN 
properties, NOUN 

, SPACE 
studied, VERB 
case, NOUN 
Bi, PROPN 
Ti, PROPN 
O, INTJ 
171, NUM 
KTN, PROPN 
181, NUM 

, SPACE 
KTP, PROPN 
19, NUM 
LiNbO, NOUN 
20, NUM 
Pb, PROPN 
La)@r, PROPN 
Ti)O, NOUN 
films, NOUN 
21, NUM 

, SPACE 
complete, ADJ 
layered, NOUN 
system, NOUN 
longitudinal, ADJ 

, SPACE 
electro, NOUN 
optic, NOUN 
modulator, NOUN 
identified, VERB 
successfully, ADV 

, SPACE 
prepared, VERB 
PLD, PROPN 
18, NUM 
includes, VERB 
SrRuO, PROPN 

, SPACE 
electrode, ADJ 
layer, NOUN 
KTN, PROPN 
electro, NOUN 
optic, ADJ 
layer, NOUN 
transpar-, NOUN 

, SPACE 
ent, NOUN 
IT0, VERB 
electrode, ADJ 
layer, NOUN 
promising, ADJ 
results, NOUN 

, SPACE 
strengthen, VERB 
investigation, NOUN 
optical, ADJ 
NLO, PROPN 
proper-, NOUN 

, SPACE 
ties, NOUN 
interesting, ADJ 
group, NOUN 
materials, NOUN 
prepared, VERB 
PLD, PROPN 

, SPACE 
Finally, ADV 
composite, ADJ 
glasses, NOUN 
group, NOUN 
emergent, ADJ 

, SPACE 
field, NOUN 
research, NOUN 
high, ADJ 
potential, NOUN 
development, NOUN 

, SPACE 
active, ADJ 
passive, ADJ 
planar, NOUN 
waveguides, NOUN 
photonic, ADJ 

, SPACE 
applications, NOUN 
CdTe, PROPN 
microcrystallites, NOUN 
embedded, VERB 
SiO, ADJ 

, SPACE 
matrix, NOUN 
produced, VERB 
alternative, ADJ 
laser, NOUN 
ablation, NOUN 
CdTe, PROPN 

, SPACE 
SiO, ADJ 
targets, NOUN 
argon, NOUN 
oxygen, NOUN 
environments, NOUN 

, SPACE 
resulting, VERB 
films, NOUN 
high, ADJ 
NLO, PROPN 
figure, NOUN 
merit, NOUN 

, SPACE 
decay, NOUN 
time, NOUN 
<, X 
10, NUM 
ps, NOUN 
faster, ADV 
reported, VERB 

, SPACE 
semiconductor, NOUN 
doped, VERB 
glasses, NOUN 
1221, NUM 
recently, ADV 

, SPACE 
rare, ADJ 
earth, NOUN 
Er, PROPN 
Yb, PROPN 
doped, VERB 
phosphate, ADJ 
glass, NOUN 
waveguides, NOUN 

, SPACE 
successfully, ADV 
prepared, VERB 
PLD, PROPN 
23, NUM 
lumi-, SYM 

, SPACE 
nescence, NOUN 
1.5, NUM 
pm, NOUN 
24, NUM 

, SPACE 
aim, NOUN 
work, NOUN 
PLD, PROPN 

, SPACE 
attractive, ADJ 
technique, NOUN 
optical, ADJ 
applications, NOUN 
high, ADJ 
den-, NOUN 

, SPACE 
sity, NOUN 
PLD, PROPN 
films, NOUN 
shown, VERB 
examples, NOUN 

, SPACE 
results, NOUN 
obtained, VERB 
ablation, NOUN 
single, ADJ 
element, NOUN 
target, NOUN 

, SPACE 
oxygen, NOUN 
pressure, NOUN 
illustrate, VERB 
use, NOUN 

, SPACE 
PLD, PROPN 
reactive, NOUN 
technique, NOUN 
presence, NOUN 
gas, NOUN 

, SPACE 
environment, NOUN 
crucial, ADJ 
role, NOUN 
plasma, NOUN 
expansion, NOUN 

, SPACE 
kinetics, NOUN 
film, NOUN 
growth, NOUN 
mechanisms, NOUN 

, SPACE 
affecting, VERB 
film, NOUN 
homogeneity, NOUN 
stoichiometry, NOUN 

, SPACE 
optical, ADJ 
properties, NOUN 
examples, NOUN 
discussed, VERB 

, SPACE 
order, NOUN 
evidence, VERB 
experimental, ADJ 
conditions, NOUN 

, SPACE 
thoroughly, ADV 
studied, VERB 
particular, ADJ 
material, NOUN 
order, NOUN 

, SPACE 
achieve, VERB 
desired, VERB 
properties, NOUN 
3, X 
Experimental, ADJ 
details, NOUN 
405, NUM 

, SPACE 
results, NOUN 
presented, VERB 
obtained, VERB 
ArF, PROPN 
laser, NOUN 

, SPACE 
delivers, VERB 
12, NUM 
ns, NOUN 
p&es, PROPN 
193, NUM 
nm, NOUN 
laser, NOUN 
beam, NOUN 

, SPACE 
focused, VERB 
4.5, NUM 
rotating, VERB 
target, NOUN 
average, ADJ 
energy, NOUN 

, SPACE 
density, NOUN 
target, NOUN 
site, NOUN 
range, NOUN 
l-4, PROPN 
J, PROPN 
cm, PROPN 

, SPACE 
films, NOUN 
deposited, VERB 
silicon, NOUN 
glass, NOUN 
substrates, NOUN 

, SPACE 
hold, NOUN 
room, NOUN 
temperature, NOUN 
vacuum, PROPN 
4, NUM 
X, NUM 
lo-, NOUN 

, SPACE 
8, NUM 
X, NOUN 
low6, NOUN 
mbar, NOUN 
gas, NOUN 
environment, NOUN 
pressures, NOUN 

, SPACE 
lo-, NOUN 
mbar, NOUN 
Ne, PROPN 
laser, NOUN 
beam, NOUN 
633, NUM 
nm, NOUN 

, SPACE 
record, VERB 
real, ADJ 
time, NOUN 
evolution, NOUN 
reflectivity, NOUN 
and/or, CCONJ 

, SPACE 
transmission, NOUN 
substrate, NOUN 
film, NOUN 
grows, VERB 

, SPACE 
simulation, NOUN 
experimental, ADJ 
data, NOUN 
leads, VERB 
determina-, ADJ 

, SPACE 
tion, NOUN 
refractive, ADJ 
index, NOUN 
film, NOUN 
thickness, NOUN 
25, NUM 

, SPACE 
cases, NOUN 
refractive, ADJ 
index, NOUN 
determined, VERB 

, SPACE 
spectroscopic, NOUN 
ellipsometry, NOUN 
26,27, X 
film, NOUN 
composition, NOUN 

, SPACE 
determined, VERB 
combining, VERB 
rutherford, NOUN 
backscattering, NOUN 

, SPACE 
RBS, PROPN 
nuclear, ADJ 
reaction, NOUN 
NRA, PROPN 
techniques, NOUN 
28, NUM 
3, NUM 
11, NUM 

, SPACE 
4, X 
PLD, PROPN 
technique, NOUN 
produce, VERB 
high, ADJ 
density, NOUN 
films, NOUN 

, SPACE 
Fig, PROPN 
2, NUM 
shows, VERB 
void, ADJ 
fraction, NOUN 
electron, NOUN 
beam, NOUN 
DC-, PROPN 

, SPACE 
sputtered, VERB 
PLD, PROPN 
Ge, PROPN 
films, NOUN 
function, NOUN 
film, NOUN 

, SPACE 
thickness, NOUN 
determined, VERB 
ellipsometric, ADJ 
measurements, NOUN 

, SPACE 
thick, ADJ 
DC, PROPN 
sputtered, ADJ 
film, NOUN 
reference, NOUN 
1261, NUM 

, SPACE 
clearly, ADV 
seen, VERB 
PLD, PROPN 
DC, PROPN 
sputtered, ADJ 
films, NOUN 

, SPACE 
similar, ADJ 
slightly, ADV 
denser, ADJ 

, SPACE 
figure, NOUN 
shows, VERB 
void, ADJ 
fraction, NOUN 
electron, NOUN 
beam, NOUN 

, SPACE 
deposited, VERB 
film, NOUN 
ion, NOUN 
bombardment, NOUN 

, SPACE 
independent, ADJ 
experiment, NOUN 
32, NUM 
data, NOUN 
included, VERB 
correspond, NOUN 

, SPACE 
best, ADJ 
improvement, NOUN 
void, ADJ 
fraction, NOUN 
reported, VERB 

, SPACE 
achieved, VERB 
Ar+, PROPN 
ion, NOUN 
energy, NOUN 
70, NUM 
eV., ADJ 

, SPACE 
When!comparing, VERB 
sets, NOUN 
data, NOUN 

, SPACE 
account, NOUN 
references, NOUN 
different, ADJ 

, SPACE 
12, NUM 

, SPACE 
-44, PUNCT 
1, NUM 

, SPACE 
0, NUM 
50, NUM 
100, NUM 
150, NUM 
200, NUM 

, SPACE 
Film, PROPN 
thiincss, PROPN 
nm, ADJ 

, SPACE 
Fig, PROPN 
2, NUM 
Void, ADJ 
fraction, NOUN 
Ge, PROPN 
films, NOUN 
function, NOUN 
film, NOUN 
thickness, NOUN 

, SPACE 
determined, VERB 
ellipsometric, ADJ 
measurements, NOUN 
films, NOUN 
grown, VERB 

, SPACE 
0, NUM 
PLD, PROPN 
0, NUM 
DC, PROPN 
sputtering, VERB 
electron, NOUN 
beam, NOUN 
evaporation, NOUN 

, SPACE 
26, NUM 
void, ADJ 
fraction, NOUN 
obtained, VERB 
independent, ADJ 
experiment, NOUN 

, SPACE 
Ge, PROPN 
films, NOUN 
grown, VERB 
electron, PROPN 
beam, NOUN 
evaporation, NOUN 
0, NUM 

, SPACE 
+, NOUN 
>, X 
ion, NOUN 
bombardment, NOUN 
included, VERB 
32, NUM 

, SPACE 
406, NUM 
CN, PROPN 
Afonso, PROPN 
J., PROPN 
Gonzalo, PROPN 
Nucl, PROPN 
Insrr, PROPN 
Meth, PROPN 
Phys, PROPN 
Res, PROPN 
B, PROPN 
116, NUM 
1996, NUM 
404, NUM 
409, NUM 

, SPACE 
relative, ADJ 
decrease, NOUN 
void, ADJ 
fraction, NOUN 

, SPACE 
compared, VERB 
results, NOUN 
evidence, VERB 
techniques, NOUN 

, SPACE 
involving, VERB 
species, NOUN 
bombardment, NOUN 
PLD, PROPN 
DC, PROPN 
sputtering, VERB 

, SPACE 
ion, NOUN 
assisted, VERB 
range, NOUN 
lo-100, NOUN 
eV, DET 
lead, NOUN 
lower, ADJ 
void, ADJ 

, SPACE 
fractions, NOUN 
higher, ADJ 
density, NOUN 
PLD, PROPN 
films, NOUN 
slightly, ADV 

, SPACE 
denser, NOUN 

, SPACE 
ablation, NOUN 
Ge, PROPN 
performed, VERB 
presence, NOUN 

, SPACE 
reactive, NOUN 
atmosphere, NOUN 
oxygen, NOUN 
incorporation, NOUN 
oxygen, NOUN 

, SPACE 
atoms, NOUN 
film, NOUN 
growth, NOUN 
occurs, VERB 
GeO, PROPN 

, SPACE 
films, NOUN 
easily, ADV 
produced, VERB 
Fig, PROPN 
3, NUM 
shows, VERB 
oxygen, NOUN 

, SPACE 
germanium, VERB 
ratio, NOUN 
PLD, PROPN 
films, NOUN 
grown, VERB 
ablation, NOUN 
Ge, PROPN 

, SPACE 
target, NOUN 
function, NOUN 
oxygen, NOUN 
pressure, NOUN 
applied, VERB 

, SPACE 
deposition, NOUN 
27, NUM 
oxygen, NOUN 
incorporated, VERB 
in-, ADP 

, SPACE 
creases, NOUN 
rapidly, ADV 
pressures, NOUN 
range, NOUN 
10m4, NUM 
lo-, NOUN 

, SPACE 
mbar, PROPN 
films, NOUN 
grown, VERB 
pressures, NOUN 
higher, ADJ 
5, NUM 
X, NOUN 
lop3, NOUN 

, SPACE 
mbar, NOUN 
having, VERB 
composition, NOUN 
stoichiometric, ADJ 
oxide, NOUN 

, SPACE 
X, NOUN 
=, NOUN 
2, NUM 
real, ADJ 
imaginary, ADJ 
parts, NOUN 
refractive, ADJ 

, SPACE 
index, NOUN 
films, NOUN 
determined, VERB 
spectral, ADJ 
ellipsometry, NOUN 

, SPACE 
measurements, NOUN 
found, VERB 
decrease, VERB 
oxygen, NOUN 
pres-, NOUN 

, SPACE 
sure, ADV 
applied, VERB 
deposition, NOUN 
increases, NOUN 
27, NUM 
imagi-, ADJ 

, SPACE 
nary, ADJ 
k, PROPN 
refractive, ADJ 
index, NOUN 
related, VERB 

, SPACE 
film, NOUN 
absorption, NOUN 
plotted, VERB 
Fig, PROPN 
3, NUM 
clearly, ADV 
seen, VERB 

, SPACE 
films, NOUN 
transparent, ADJ 
k, NOUN 
=, SYM 
0.03, NUM 
film, NOUN 

, SPACE 
composition, NOUN 
approaches, NOUN 
GeO, PROPN 
density, NOUN 

, SPACE 
films, NOUN 
evaluated, VERB 
data, NOUN 
earlier, ADV 
reported, VERB 

, SPACE 
amorphous, ADJ 
GeO, PROPN 
reference, NOUN 
33, NUM 
results, NOUN 

, SPACE 
showed, VERB 
GeO, PROPN 
films, NOUN 
prepared, VERB 
PLD, PROPN 
8, NUM 
15, NUM 

, SPACE 
denser, NOUN 
reference, NOUN 
results, NOUN 
evidence, VERB 
PLD, PROPN 

, SPACE 
films, NOUN 
dense, ADJ 
technique, NOUN 

, SPACE 
reactive, NOUN 
mode, NOUN 

, SPACE 
selection, NOUN 
target, NOUN 
composition, NOUN 

, SPACE 
critical, ADJ 
optical, ADJ 
quality, NOUN 
homogeneity, NOUN 
PLD, PROPN 

, SPACE 
films, NOUN 
GeO, PROPN 
films, NOUN 
prepared, VERB 
laser, NOUN 
abla-, VERB 

, SPACE 
tion, NOUN 
GeO, PROPN 
target, NOUN 
34, NUM 
films, NOUN 
found, VERB 

, SPACE 
slightly, ADV 
lower, ADJ 
refractive, ADJ 
index, NOUN 
larger, ADJ 
fraction, NOUN 

, SPACE 
voids, NOUN 
films, NOUN 
grown, VERB 
Ge, PROPN 
target, NOUN 
27, NUM 

, SPACE 
Furthermore, ADV 
optical, ADJ 
properties, NOUN 
films, NOUN 
found, VERB 

, SPACE 
vary, VERB 
moving, VERB 
away, ADV 
center, NOUN 
deposit, NOUN 

, SPACE 
changes, NOUN 
related, VERB 
inhomogeneities, NOUN 
composi-, PROPN 

, SPACE 
Fig, PROPN 
3, NUM 
0, X 
Oxygen, NOUN 
Ge, PROPN 
ratio, NOUN 
O]/[Ge, X 
+, ADP 
>, X 
imaginary, ADJ 

, SPACE 
k, PROPN 
refractive, ADJ 
index, NOUN 
measured, VERB 
633, NUM 
mn, NOUN 
PLD, PROPN 
films, NOUN 

, SPACE 
grown, VERB 
ablating, VERB 
Ge, PROPN 
target, NOUN 
function, NOUN 
oxygen, NOUN 
pressure, NOUN 

, SPACE 
applied, VERB 
deposition, NOUN 
1271, NUM 
Om, NOUN 
v, NOUN 
m, NOUN 
mbar, PROPN 

, SPACE 
Fig, PROPN 
4, NUM 
>, X 
Oxygen, PROPN 
Ol/[Nbl, PROPN 
0, X 
Li, PROPN 
Lil/[Nbl, PROPN 
Nb, PROPN 

, SPACE 
ratios, NOUN 
+, CCONJ 
imaginary, ADJ 
k, PROPN 
refractive, ADJ 
index, NOUN 
measured, VERB 

, SPACE 
633, NUM 
nm, NOUN 
PLD, PROPN 
films, NOUN 
grown, VERB 
ablating, VERB 
LiNbO, PROPN 
single, ADJ 
crystal, NOUN 

, SPACE 
target, NOUN 
function, NOUN 
oxygen, NOUN 
pressure, NOUN 
applied, VERB 
deposi-, ADJ 

, SPACE 
tion, NOUN 
1281, NUM 

, SPACE 
tion, NOUN 
films, NOUN 
grown, VERB 
Ge, PROPN 
target, NOUN 
instead, ADV 
found, VERB 

, SPACE 
homogeneous, ADJ 
film, NOUN 
plane, NOUN 
29, NUM 

, SPACE 
5, X 
role, NOUN 
oxygen, NOUN 
pressure, NOUN 

, SPACE 
growing, VERB 
oxide, NOUN 
films, NOUN 
use, NOUN 
partial, ADJ 
oxygen, NOUN 

, SPACE 
pressure, NOUN 
usually, ADV 
required, VERB 
order, NOUN 
produce, VERB 
films, NOUN 

, SPACE 
desired, VERB 
properties, NOUN 
targets, NOUN 
containing, VERB 
oxygen, NOUN 

, SPACE 
role, NOUN 
environment, NOUN 

, SPACE 
clear, ADJ 
found, VERB 
depend, VERB 
specific, ADJ 

, SPACE 
material, NOUN 
ablated, VERB 
target, NOUN 
composition, NOUN 

, SPACE 
described, VERB 
case, NOUN 
GeO, PROPN 
films, NOUN 
problem, NOUN 

, SPACE 
complex, ADJ 
compound, NOUN 
targets, NOUN 

, SPACE 
order, NOUN 
illustrate, VERB 
point, NOUN 
Fig, PROPN 
4, NUM 
shows, VERB 

, SPACE 
composition, NOUN 
films, NOUN 
grown, VERB 
ablation, NOUN 
single, ADJ 

, SPACE 
crystal, NOUN 
LiNbO, PROPN 
target, VERB 
imaginary, ADJ 
k, PROPN 

, SPACE 
refractive, ADJ 
index, NOUN 
function, NOUN 
oxygen, NOUN 

, SPACE 
pressure, NOUN 
applied, VERB 
deposition, NOUN 
28, NUM 
comparing, VERB 

, SPACE 
Figs, PROPN 
3, NUM 
4, NUM 
main, ADJ 
difference, NOUN 
lies, VERB 
fact, NOUN 

, SPACE 
oxygen, NOUN 
content, NOUN 
films, NOUN 
increases, VERB 

, SPACE 
oxygen, NOUN 
pressure, NOUN 
increases, NOUN 
case, NOUN 
ablation, NOUN 
Ge, PROPN 

, SPACE 
similar, ADJ 
oxygen, NOUN 
lithium, NOUN 
niobium, NOUN 
ratios, NOUN 
obtained, VERB 

, SPACE 
pressures, NOUN 
=, PROPN 
6, NUM 
x, SYM 
lop2, NOUN 
mbar, NOUN 
case, NOUN 

, SPACE 
ablation, NOUN 
LiNbO, NOUN 
sharp, ADJ 
decrease, NOUN 
imaginary, ADJ 

, SPACE 
refractive, ADJ 
index, NOUN 
k, PROPN 
oxygen, NOUN 
pressure, NOUN 

, SPACE 
increases, NOUN 
related, VERB 
composition, NOUN 
change, NOUN 

, SPACE 
case, NOUN 
LiNbO, NOUN 
high, ADJ 
value, NOUN 
k, NOUN 
films, NOUN 
grown, VERB 

, SPACE 
vacuum, NOUN 
likely, ADV 
related, VERB 
formation, NOUN 

, SPACE 
oxygen, NOUN 
vacancies, NOUN 
concentration, NOUN 
reduced, VERB 

, SPACE 
oxygen, NOUN 
pressure, NOUN 
applied, VERB 
1281, NUM 
interpretation, NOUN 

, SPACE 
based, VERB 
fact, NOUN 
presence, NOUN 
