Corrosion, PROPN 
approximately, ADV 
10, NUM 
moisture, NOUN 
content, NOUN 

, SPACE 
thermodynamic, ADJ 
operating, NOUN 
efficiency, NOUN 
maximized, VERB 
moisture, NOUN 
content, NOUN 
generally, ADV 
referred, VERB 

, SPACE 
wetness, ADJ 
fraction, NOUN 
manifested, VERB 
rows, NOUN 
blades, NOUN 
low, ADJ 
pressure, NOUN 

, SPACE 
LP, PROPN 
end, NOUN 
turbine, NOUN 
prior, ADV 
steam, NOUN 
entering, VERB 
condenser, NOUN 
steam, NOUN 
expands, VERB 

, SPACE 
turbine, NOUN 
gradually, ADV 
loses, VERB 
degree, NOUN 
superheat, NOUN 
solubilities, NOUN 

, SPACE 
impurities, NOUN 
carries, VERB 
decrease, NOUN 
wet, ADJ 
steam, NOUN 
region, NOUN 
area, NOUN 
risk, NOUN 

, SPACE 
condensate, NOUN 
occurs, VERB 
commonly, ADV 
referred, VERB 
Wilson, PROPN 
line, NOUN 
means, VERB 

, SPACE 
LP, ADJ 
end, NOUN 
turbine, NOUN 
exposed, VERB 
corrosive, ADJ 
environment, NOUN 
result, VERB 

, SPACE 
failure, NOUN 
turbine, NOUN 
blades, NOUN 
stress, NOUN 
corrosion, NOUN 
cracking, VERB 
SCC, PROPN 

, SPACE 
primary, ADJ 
source, NOUN 
CO2, PROPN 
turbine, NOUN 
steam, NOUN 
ingress, NOUN 
organic, ADJ 
matter, NOUN 

, SPACE 
water, NOUN 
thermal, ADJ 
cycle, NOUN 
subsequent, ADJ 
decomposition, NOUN 
pyrohydrolysis, NOUN 

, SPACE 
products, NOUN 
decomposition, NOUN 
identified, VERB 
principally, ADV 
CO2, PROPN 

, SPACE 
significantly, ADV 
lesser, ADJ 
extent, NOUN 
acetic, ADJ 
butyric, ADJ 
formic, ADJ 
propionic, ADJ 
acids, NOUN 
phase, NOUN 

, SPACE 
system, NOUN 
exists, VERB 
LP, ADJ 
end, NOUN 
turbine, NOUN 
distribution, NOUN 
coefficient, NOUN 
CO2, PROPN 

, SPACE 
Manuscript, PROPN 
received, VERB 
19, NUM 
October, PROPN 
1995, NUM 
amended, VERB 
form, NOUN 
8, NUM 
January, PROPN 
1996, NUM 

, SPACE 
1331, NUM 

, SPACE 
1332, NUM 
J., PROPN 
M., PROPN 
Lyons, PROPN 
J., PROPN 
Corish, PROPN 

, SPACE 
vapour, NOUN 
liquid, ADJ 
phases, NOUN 
operating, NOUN 
conditions, NOUN 
paramount, ADJ 
importance, NOUN 

, SPACE 
corrosion, NOUN 
process, NOUN 
study, NOUN 
distribution, NOUN 
carried, VERB 
working, VERB 
turbine, NOUN 
recently, ADV 

, SPACE 
reported, VERB 
shows, VERB 
CO2, PROPN 
greatly, ADV 
favours, VERB 
liquid, ADJ 
phase, NOUN 

, SPACE 
concentrations, NOUN 
attained, VERB 
phase, NOUN 
exceed, VERB 
bulk, ADJ 
steam, NOUN 

, SPACE 
order, NOUN 
magnitude.3, PROPN 
complete, ADJ 
condensation, NOUN 
steam, NOUN 
lead, VERB 
high, ADJ 

, SPACE 
concentrations, NOUN 
CO, PROPN 
liquid, NOUN 
phase, NOUN 
extent, NOUN 
process, NOUN 
occurs, VERB 
LP, PROPN 

, SPACE 
end, NOUN 
operating, NOUN 
turbine, NOUN 
depend, VERB 
mass, NOUN 
transfer, NOUN 
coefficient, NOUN 
vapour, NOUN 

, SPACE 
liquid, ADJ 
phases, NOUN 
consequently, ADV 
concentration, NOUN 
liquid, ADJ 
phase, NOUN 
high, ADJ 

, SPACE 
predicted, VERB 
Chemical, NOUN 
measures, NOUN 
effort, NOUN 
protect, VERB 
metal, NOUN 
surfaces, NOUN 

, SPACE 
turbine, NOUN 
components, NOUN 
involve, VERB 
use, NOUN 
volatile, ADJ 
amines, NOUN 
hydrazine, NOUN 

, SPACE 
N*Hd, PROPN 
morpholine, NOUN 
CdHsNO, NOUN 
cyclohexylamine, PROPN 
ChHtsN, PROPN 
weakly, ADV 
basic, ADJ 

, SPACE 
differ, VERB 
somewhat, ADV 
basicity, NOUN 
extent, NOUN 
hydrolysis, NOUN 
obvious, ADJ 

, SPACE 
effectiveness, NOUN 
neutralizing, VERB 
wet, ADJ 
steam, NOUN 
acidified, VERB 
CO, PROPN 
depends, VERB 

, SPACE 
distribution, NOUN 
vapour, NOUN 
liquid, ADJ 
phases, NOUN 
working, NOUN 
turbine, NOUN 
Dissolved, VERB 
oxygen, NOUN 

, SPACE 
present, ADJ 
boiler, NOUN 
turbine, NOUN 
cycle, NOUN 
concentration, NOUN 
generally, ADV 
maintained, VERB 

, SPACE 
5, NUM 
pg, NOUN 
kg-, X 
mechanical, ADJ 
deaeration, NOUN 
addition, NOUN 
hydrazine, NOUN 
regarded, VERB 

, SPACE 
primary, ADJ 
cause, NOUN 
corrosion, NOUN 
carbon, NOUN 
steel, NOUN 
components, NOUN 
boiler, NOUN 
corrosive, ADJ 

, SPACE 
action, NOUN 
12Cr, NUM 
stainless, ADJ 
steel, NOUN 
presence, NOUN 
CO2, PROPN 
date, NOUN 
merited, VERB 
little, ADJ 
investigation, NOUN 

, SPACE 
overall, ADJ 
chemical, NOUN 
reaction, NOUN 
representing, VERB 
interaction, NOUN 
high, ADJ 
temperature, NOUN 
water/, NUM 

, SPACE 
steam, NOUN 
iron, NOUN 
written, VERB 
simply, ADV 

, SPACE 
3Fe, PROPN 
+, SYM 
4H20, PROPN 
P, NOUN 
Fe304, PROPN 
+, PROPN 
4H2, NUM 
1, X 

, SPACE 
mechanism, NOUN 
formation, NOUN 
progress, NOUN 
reaction, NOUN 
complex, ADJ 
generally, ADV 

, SPACE 
diffusion, NOUN 
controlled, VERB 
transport, NOUN 
iron, NOUN 
ions, NOUN 
outward, ADJ 
movement, NOUN 
inward, ADJ 

, SPACE 
movement, NOUN 
oxygen, NOUN 
ions, NOUN 
oxide, NOUN 
layer.4, PROPN 
Oxide, NOUN 
nuclei, NOUN 
formed, VERB 
activated, VERB 

, SPACE 
process, NOUN 
surface, NOUN 
expand, NOUN 
lateral, ADJ 
direction, NOUN 
surface, NOUN 
meet, VERB 

, SPACE 
nuclei, NOUN 
form, VERB 
oxide, NOUN 
layer, NOUN 
protective, ADJ 
non, ADJ 
protective, ADJ 

, SPACE 
protective, ADJ 
layers, NOUN 
subsequently, ADV 
grow, VERB 
according, VERB 
parabolic, ADJ 
rate, NOUN 
law, NOUN 

, SPACE 
single, ADJ 
duplex, NOUN 
layer, NOUN 
morphology, NOUN 
Single, ADJ 
layers, NOUN 
substrates, NOUN 
found, VERB 

, SPACE 
consist, VERB 
similar, ADJ 
columnar, ADJ 
grains, NOUN 
inner, ADJ 
layers, NOUN 
consist, NOUN 
fine, ADJ 
equiaxed, ADJ 
grains, NOUN 

, SPACE 
general, ADJ 
studies, NOUN 
gas, NOUN 
metal, NOUN 
interfaces, NOUN 
suggest, VERB 
single, ADJ 
layers, NOUN 
grow, VERB 
oxide, NOUN 
gas, NOUN 

, SPACE 
interface, NOUN 
following, VERB 
metal, NOUN 
ion, NOUN 
diffusion, NOUN 
oxide, NOUN 
diffusion, NOUN 
generally, ADV 

, SPACE 
oxide, NOUN 
grain, NOUN 
boundaries6, NOUN 
outer, ADJ 
layer, NOUN 
duplex, NOUN 
scale, NOUN 
grows, VERB 
oxide, NOUN 
metal, NOUN 

, SPACE 
interface, NOUN 
rate, NOUN 
boundary, NOUN 
inner, ADJ 
outer, ADJ 
layer, NOUN 
usually, ADV 
lies, VERB 

, SPACE 
position, NOUN 
original, ADJ 
metal, NOUN 
surface, NOUN 
volume, NOUN 
growing, VERB 
oxide, NOUN 

, SPACE 
single, ADJ 
duplex, NOUN 
exceeds, VERB 
original, ADJ 
metal, NOUN 
substrate, NOUN 
process, NOUN 

, SPACE 
necessarily, ADV 
create, VERB 
stress, NOUN 
new, ADJ 
oxide, NOUN 
grows, VERB 
unconstrained, ADJ 
space, NOUN 

, SPACE 
external, ADJ 
surface, NOUN 

, SPACE 
rate, NOUN 
oxidation, NOUN 
steels, NOUN 
dry, ADJ 
steam, NOUN 
follows, VERB 
parabolic, ADJ 
relationship, NOUN 

, SPACE 
growth, NOUN 
oxide, NOUN 
layer, NOUN 
generally, ADV 
represented, VERB 
equation, NOUN 

, SPACE 
Aw, PROPN 
u, PROPN 
=, NOUN 
2k, PROPN 
t, NOUN 
1, NUM 

, SPACE 
Awja, PROPN 
weight, NOUN 
gain, NOUN 
unit, NOUN 
area, NOUN 
k, PROPN 
parabolic, ADJ 
rate, NOUN 
constant, NOUN 
t, NOUN 
time, NOUN 

, SPACE 
compact, ADJ 
magnetite, NOUN 
Fes04, PROPN 
layer, NOUN 
develops, VERB 
adheres, NOUN 
surface, NOUN 
ensures, VERB 

, SPACE 
grain, NOUN 
structure, NOUN 
substrate, NOUN 
alloy, NOUN 
protected, VERB 
corrosive, ADJ 
environments, NOUN 

, SPACE 
encountered, VERB 
operated, VERB 
boiler, NOUN 
turbine, NOUN 
systems, NOUN 

, SPACE 
corrosion, NOUN 
12Cr, NUM 
alloy, NOUN 
1333, NUM 

, SPACE 
exposed, VERB 
metal, NOUN 
contains, VERB 
added, ADJ 
chromium, NOUN 
case, NOUN 
standard, ADJ 

, SPACE 
turbine, NOUN 
blades, NOUN 
Crz03, PROPN 
formed, VERB 
normal, ADJ 
corrosion, NOUN 
product, NOUN 
magnetite, NOUN 

, SPACE 
Increasing, VERB 
chromium, NOUN 
content, NOUN 
produces, VERB 
Cr203, ADJ 
film, NOUN 
resistant, ADJ 
acid, NOUN 

, SPACE 
environments, NOUN 
film, NOUN 
stated, VERB 
provide, VERB 
satisfactory, ADJ 
resistance, NOUN 
wet, VERB 

, SPACE 
steam.4, PROPN 
High, PROPN 
chromium, NOUN 
steel, NOUN 
initially, ADV 
attacked, VERB 
rate, NOUN 
bright, ADJ 
mild, ADJ 
steel, NOUN 

, SPACE 
rapidly, ADV 
builds, VERB 
self, NOUN 
healing, VERB 
passive, ADJ 
oxide, NOUN 
film, NOUN 
protective, ADJ 
Chromium, NOUN 

, SPACE 
greater, ADJ 
affinity, NOUN 
oxygen, NOUN 
iron, NOUN 
Cr203, ADJ 
layer, NOUN 
afford, VERB 
protection, NOUN 

, SPACE 
remains, VERB 
intact, ADJ 
Wood, NOUN 
et, NOUN 
a1.8, ADV 
described, VERB 
initially, ADV 
rapid, ADJ 
finally, ADV 
slower, ADJ 

, SPACE 
oxidation, NOUN 
iron, NOUN 
alloys, NOUN 
containing, VERB 
small, ADJ 
quantities, NOUN 
chromium, NOUN 
gas, NOUN 
metal, NOUN 

, SPACE 
reactions, NOUN 
studies, NOUN 
explore, VERB 
nature, NOUN 
Cr203, ADJ 
layer, NOUN 

, SPACE 
mechanism, NOUN 
affords, VERB 
protection, NOUN 
forms, VERB 
iron, NOUN 
alloys, NOUN 
varying, VERB 

, SPACE 
chromium, NOUN 
content, NOUN 
resistance, NOUN 
stainless, ADJ 
steel, NOUN 
acidic, ADJ 
environments, NOUN 
general, ADJ 

, SPACE 
improved, VERB 
addition, NOUN 
molydenum, NOUN 
importance, NOUN 

, SPACE 
corrosion, NOUN 
LP, PROPN 
blades, NOUN 
SCC, PROPN 
process, NOUN 
considerable, ADJ 
research, NOUN 
directed, VERB 

, SPACE 
designing, VERB 
mechanical, ADJ 
problems, NOUN 
achieving, VERB 
complete, ADJ 
understanding, NOUN 

, SPACE 
chemistry, NOUN 
steam, NOUN 
turbine, VERB 
deposits.2~‘2-‘4, PROPN 
study, NOUN 
magnetite, NOUN 
growth, NOUN 

, SPACE 
conditions, NOUN 
existing, VERB 
typical, ADJ 
turbine, NOUN 
generally, ADV 
confined, VERB 

, SPACE 
occurring, VERB 
low, ADJ 
alloy, NOUN 
steels, NOUN 
plain, ADJ 
carbon, NOUN 
steel, NOUN 
effect, NOUN 
adding, VERB 
chromium, NOUN 

, SPACE 
substrate, NOUN 
metal, NOUN 
reported, VERB 

, SPACE 
surface, NOUN 
condition, NOUN 
alloy, NOUN 
play, VERB 
significant, ADJ 
role, NOUN 
ability, NOUN 
establish, VERB 

, SPACE 
resistance, NOUN 
corrosion, NOUN 
nucleation, NOUN 
growth, NOUN 
oxide, NOUN 
film, NOUN 
sensitive, ADJ 

, SPACE 
condition, NOUN 
substrate, ADJ 
surface, NOUN 
5, NUM 
degree, NOUN 
roughness, NOUN 
surface, NOUN 
related, VERB 

, SPACE 
area, NOUN 
contact, NOUN 
environment, NOUN 
important, ADJ 
effect, NOUN 
surface, NOUN 

, SPACE 
treatment, NOUN 
sub, ADJ 
surface, ADJ 
diffusion, NOUN 
rates, NOUN 
surface, NOUN 
condition, NOUN 
closely, ADV 

, SPACE 
approximating, VERB 
turbine, NOUN 
blade, NOUN 
suitably, ADV 
Sic, NOUN 
finished, VERB 
cold, ADJ 
worked, VERB 
surface, NOUN 

, SPACE 
deformation, NOUN 
surface, NOUN 
material, NOUN 
depth, NOUN 
N, PROPN 
5, NUM 
pm, NOUN 
Work, NOUN 
free, ADJ 
surfaces, NOUN 

, SPACE 
produced, VERB 
chemical, ADJ 
treatments, NOUN 
electropolishing, NOUN 
etching, VERB 
annealing, VERB 

, SPACE 
vucuo, PROPN 
mechanical, ADJ 
polishing, NOUN 
produce, VERB 
structurally, ADV 
strained, ADJ 
surfaces, NOUN 
Surfaces, NOUN 

, SPACE 
produced, VERB 
preparative, ADJ 
techniques, NOUN 
general, ADJ 
carry, VERB 
prenucleation, NOUN 
oxide, NOUN 

, SPACE 
film, NOUN 
exposure, NOUN 
air, NOUN 
decreases, VERB 
surface, NOUN 
reactivity.16, NOUN 
effects, NOUN 
surface, NOUN 

, SPACE 
preparation, NOUN 
elucidated, VERB 
experimental, ADJ 
studies, NOUN 
gas, NOUN 
metal, NOUN 
interface, NOUN 

, SPACE 
pure, ADJ 
metals, NOUN 
alloys17-‘9, NOUN 
high, ADJ 
temperatures, NOUN 
cold, ADJ 
working, NOUN 
shown, VERB 

, SPACE 
promote, VERB 
selective, ADJ 
oxidation, NOUN 
chromium.20, NOUN 
22, NUM 
generally, ADV 
agreed, VERB 
selective, ADJ 

, SPACE 
oxidation, NOUN 
short, ADJ 
circuit, NOUN 
diffusion, NOUN 
element, NOUN 
grain, NOUN 
boundaries, NOUN 
leading, VERB 

, SPACE 
fast, ADJ 
development, NOUN 
continuous, ADJ 
Cr203, ADJ 
layer, NOUN 
present, ADJ 
work, NOUN 
determine, VERB 

, SPACE 
behaviour, NOUN 
similar, ADJ 
observed, VERB 
gas, NOUN 
metal, NOUN 
interface, NOUN 
occurs, VERB 
lower, ADJ 

, SPACE 
temperature, NOUN 
steam, NOUN 
water, NOUN 
alloy, NOUN 
reactions, NOUN 

, SPACE 
growth, NOUN 
mechanism, NOUN 
characteristic, ADJ 
duplex, NOUN 
magnetite, NOUN 
layers, NOUN 
formed, VERB 
mild, ADJ 

, SPACE 
steel, NOUN 
boilers, NOUN 
normal, ADJ 
operating, NOUN 
conditions, NOUN 
subject, NOUN 
model, NOUN 
proposed, VERB 

, SPACE 
Potter, PROPN 
Mann23, PROPN 
involves, VERB 
outward, ADJ 
movement, NOUN 
iron, NOUN 
ions, NOUN 
inward, ADJ 

, SPACE 
counter, NOUN 
flow, NOUN 
oxygen, NOUN 
ions, NOUN 
solid, ADJ 
state, NOUN 
diffusion, NOUN 
bulk, PROPN 
crystal, NOUN 
lattice, NOUN 

, SPACE 
grain, NOUN 
boundaries, NOUN 
~ork~~, NOUN 
authors, NOUN 
suggested, VERB 
model, NOUN 

, SPACE 
oxidant, NOUN 
supposed, VERB 
close, ADJ 
access, NOUN 
metal, NOUN 
surface, NOUN 
network, NOUN 

, SPACE 
interconnecting, VERB 
pores23, NOUN 
applicable, ADJ 
growth, NOUN 
magnetite, NOUN 
high, ADJ 
purity, NOUN 
water, NOUN 
low, ADJ 

, SPACE 
alkalinity, NOUN 
model, NOUN 
supported, VERB 
later, ADV 
studies.25,26, PROPN 
Asakura, PROPN 
et, NOUN 
a1.27, PROPN 
presented, VERB 

, SPACE 
evidence, NOUN 
layers, NOUN 
study, NOUN 
corrosion, NOUN 
behaviour, NOUN 
AISI, PROPN 
304, NUM 
SS, PROPN 
pure, ADJ 

, SPACE 
water, NOUN 
temperatures, NOUN 
range, NOUN 
473, NUM 
593K., NOUN 
growth, NOUN 
mechanisms, NOUN 
oxides, NOUN 
9Cr, NUM 

, SPACE 
1334, NUM 
J., PROPN 
M., PROPN 
Lyons, PROPN 
J., PROPN 
Corish, PROPN 

, SPACE 
steel, NOUN 
gaseous, ADJ 
environment, NOUN 
studied, VERB 
Iseda, PROPN 
et, PROPN 
a1.28, PROPN 
Lees, PROPN 
et, NOUN 
aI., VERB 
results, NOUN 

, SPACE 
showing, VERB 
duplex, NOUN 
layer, NOUN 
outer, ADJ 
magnetite, NOUN 
inner, ADJ 
Fe, PROPN 
Cr, PROPN 
spinel, NOUN 
Berge, NOUN 
et, NOUN 

, SPACE 
a1.30, NOUN 
investigated, VERB 
protective, ADJ 
effect, NOUN 
magnetite, NOUN 
bright, ADJ 
mild, ADJ 
steel, NOUN 
aqueous, ADJ 

, SPACE 
environment, NOUN 
500K., PROPN 
apparently, ADV 
reports, NOUN 
literature, NOUN 
magnetite, NOUN 
growth, NOUN 

, SPACE 
mechanisms, NOUN 
12Cr, NUM 
steel, NOUN 
alkaline, NOUN 
environment, NOUN 
effect, NOUN 
changing, VERB 

, SPACE 
environment, NOUN 
acidic, VERB 
subject, NOUN 
research, NOUN 

, SPACE 
paper, NOUN 
reports, NOUN 
experiments, NOUN 
carried, VERB 
specially, ADV 
designed, VERB 
corrosion, NOUN 
rig, NOUN 

, SPACE 
constructed, VERB 
installed, VERB 
45, NUM 
MW, PROPN 
turbine, NOUN 
high, ADJ 
concentration, NOUN 
CO1, PROPN 

, SPACE 
present, NOUN 
operating, NOUN 
pressure, NOUN 
9.6, NUM 
MPa, NOUN 
steam, NOUN 
temperature, NOUN 
inlet, NOUN 

, SPACE 
turbine, NOUN 
791K., PROPN 
rig, NOUN 
connected, VERB 
bleed, ADJ 
stream, NOUN 
pressure, NOUN 

, SPACE 
0.235, NUM 
MPa, NOUN 
abs, PROPN 
temperature, NOUN 
400, NUM 
K, NOUN 
region, NOUN 
turbine, NOUN 

, SPACE 
condensate, NOUN 
calculated, VERB 
form, VERB 
12Cr, NUM 
blades, NOUN 
determined, VERB 
design, NOUN 

, SPACE 
data, NOUN 
supplied, VERB 
manufacturers, NOUN 
C., PROPN 
A., PROPN 
Parsons, PROPN 
Newcastle, PROPN 
U.K., PROPN 
monitoring, NOUN 

, SPACE 
period, NOUN 
extended, VERB 
3, NUM 
years, NOUN 
meaningful, ADJ 
pattern, NOUN 
established, VERB 

, SPACE 
corrosion, NOUN 
pattern, NOUN 
multiple, ADJ 
specimens, NOUN 
12Cr, NUM 
steel, NOUN 
cold, ADJ 
worked, VERB 

, SPACE 
electropolished, VERB 
surfaces, NOUN 
exposed, VERB 
determine, VERB 
effects, NOUN 
surface, NOUN 
finish, NOUN 

, SPACE 
corrosion, NOUN 
process, NOUN 
work, NOUN 
makes, VERB 
extensive, ADJ 
use, NOUN 
variety, NOUN 
structural, ADJ 
techniques, NOUN 

, SPACE 
encompasses, VERB 
assessment, NOUN 
influence, NOUN 
microstructure, NOUN 
thickness, NOUN 
oxide, NOUN 

, SPACE 
layer, NOUN 
corrosion, NOUN 
kinetics, NOUN 
measured, VERB 
discontinuous, ADJ 
gravimetry, NOUN 

, SPACE 
corrosion, NOUN 
12Cr, NUM 
material, NOUN 
studied, VERB 
working, VERB 
environment, NOUN 
containing, VERB 
CO, PROPN 

, SPACE 
emphasis, NOUN 
mechanisms, NOUN 
protection, NOUN 
afforded, VERB 
magnetite, NOUN 
chromium, NOUN 
oxide, NOUN 

, SPACE 
layers, NOUN 
agressive, ADJ 
CO, PROPN 
environment, NOUN 

, SPACE 
second, ADJ 
segment, NOUN 
study, NOUN 
laboratory, NOUN 
system, NOUN 
built, VERB 
investigate, VERB 
corrosion, NOUN 

, SPACE 
processes, NOUN 
12Cr, NUM 
alloy, NOUN 
varying, VERB 
concentrations, NOUN 
CO, PROPN 
conjunction, NOUN 
varying, VERB 

, SPACE 
concentrations, NOUN 
02, NUM 
ideal, ADJ 
laboratory, NOUN 
conditions, NOUN 
approach, NOUN 
proper, ADJ 

, SPACE 
assessment, NOUN 
problem, NOUN 
considered, VERB 
necessary, ADJ 
air, NOUN 
ingress, NOUN 
including, VERB 
COZ, PROPN 

, SPACE 
low, ADJ 
pressure, NOUN 
end, NOUN 
turbine, NOUN 
occur, VERB 
periods, NOUN 
varying, VERB 
length, NOUN 
depending, VERB 

, SPACE 
frequency, NOUN 
shutdowns, NOUN 
effect, NOUN 
CO2, PROPN 
12Cr, NUM 
steel, NOUN 
presence, NOUN 
02, NUM 

, SPACE 
protection, NOUN 
magnetite, NOUN 
layer, NOUN 
studied, VERB 
laboratory, NOUN 
experiments, NOUN 

, SPACE 
EXPERIMENTAL, PROPN 
METHOD, PROPN 

, SPACE 
Alloy, PROPN 
composition, NOUN 
specimen, NOUN 
preparation, NOUN 

, SPACE 
material, NOUN 
experiments, NOUN 
12, NUM 
chromium, NOUN 
molybdenum, NOUN 
stainless, ADJ 
steel, NOUN 

, SPACE 
bar, NOUN 
softened, VERB 
condition, NOUN 
supplied, VERB 
turbine, NOUN 
manufacturers, NOUN 
having, AUX 

, SPACE 
selected, VERB 
random, ADJ 
analysed, VERB 
prior, ADV 
use, NOUN 
optical, ADJ 
emission, NOUN 
spectrometry, NOUN 

, SPACE 
found, VERB 
conform, VERB 
standard, ADJ 
specifications, NOUN 
manufacturer, NOUN 
data, NOUN 
given, VERB 

, SPACE 
Table, PROPN 
1, NUM 
specimens, NOUN 
exposed, VERB 
form, NOUN 
discs, NOUN 
dimensions, NOUN 

, SPACE 
thickness, ADJ 
=, PROPN 
6, NUM 
mm, NOUN 
diameter, NOUN 
=, SYM 
2, NUM 
mm, NOUN 
square, ADJ 
specimens, NOUN 
dimensions, NOUN 
15, NUM 
x, SYM 
15, NUM 
mm, NUM 

, SPACE 
6, NUM 
mm, NOUN 
thick, ADJ 
initially, ADV 
machined, VERB 
carefully, ADV 
avoid, VERB 
careless, ADJ 
abrasion, NOUN 
cuts, NOUN 

, SPACE 
received, VERB 
bar, NOUN 
influence, NOUN 
surface, NOUN 
condition, NOUN 
corrosion, NOUN 
behaviour, NOUN 

, SPACE 
factors, NOUN 
investigated, VERB 
different, ADJ 
surface, NOUN 
finishes, NOUN 
applied, VERB 

, SPACE 
mechanically, ADV 
deformed, VERB 
cold, ADJ 
worked, VERB 
surface, NOUN 
achieved, VERB 
grinding, VERB 
180, NUM 
grade, NOUN 

, SPACE 
silicon, NOUN 
carbide, PROPN 
paper, NOUN 
automatic, ADJ 
grinding, VERB 
technique, NOUN 
ensured, VERB 
uniform, NOUN 

, SPACE 
treatment, NOUN 
specimens, NOUN 
