oFOUr, NUM 
dtanocene, NOUN 
CtoH, PROPN 
s, PROPN 

, SPACE 
CsHs)Ti, PROPN 
p, NOUN 
H)~, NOUN 
10, NUM 
Butyllithium, PROPN 
BuLl, PROPN 
hexane, NOUN 

, SPACE 
1.6, NUM 
M, PROPN 
obtained, VERB 
Aldrich, PROPN 
CsHMe4)2TiC, PROPN 

, SPACE 
prepared, VERB 
CsHMe4)2TiCI2, PROPN 
toluene, NOUN 

, SPACE 
adding, VERB 
equivalent, NOUN 
BuLl, PROPN 
Trimethylsilylethyne, PROPN 

, SPACE 
Aldrich, PROPN 
degassed, VERB 
distilled, VERB 
small, ADJ 

, SPACE 
dimeric, ADJ 
titanocene, NOUN 
standing, VERB 
overnight, ADV 
solu-, ADJ 

, SPACE 
tion, NOUN 
degassed, VERB 
trimethylsilylethyne, NOUN 
distilled, VERB 

, SPACE 
storage, NOUN 
ampoule, NOUN 
metal, NOUN 
valve, NOUN 

, SPACE 
2.2, X 
Methods, NOUN 

, SPACE 
EPR, PROPN 
spectra, PROPN 
recorded, VERB 
ERS-220, NOUN 
spectrom-, NOUN 

, SPACE 
eter, NOUN 
Centre, PROPN 
Production, PROPN 
Scientific, PROPN 
Instruments, PROPN 

, SPACE 
Academy, PROPN 
Sciences, PROPN 
Berlin, PROPN 
Germany, PROPN 
X, NOUN 
band, NOUN 

, SPACE 
g, PROPN 
values, NOUN 
determined, VERB 
Mn, PROPN 
2, NUM 
+, X 
M, PROPN 
t, NOUN 
=, PROPN 
I/2, ADJ 

, SPACE 
line, NOUN 
standard, NOUN 
g, PROPN 
1.9860, NUM 
proton, PROPN 
magnetometer, NOUN 

, SPACE 
MJ-110, PROPN 
R, PROPN 
Radiopan, PROPN 
Poznan, PROPN 
Poland, PROPN 
Concentrations, NOUN 

, SPACE 
paramagnetic, ADJ 
compounds, NOUN 
estimated, VERB 

, SPACE 
integrated, VERB 
derivation, ADJ 
spectra, NOUN 
variable, ADJ 
tempera-, ADJ 

, SPACE 
ture, NOUN 
unit, NOUN 
STT-3, PROPN 
measurements, NOUN 
range, NOUN 

, SPACE 
140, NUM 
+, PROPN 
2(PC, NUM 
Samples, NOUN 
measured, VERB 
solutions, NOUN 

, SPACE 
hexane, NOUN 
THF, PROPN 
toluene, NOUN 
MTHF, PROPN 
toluene, NOUN 

, SPACE 
MTHF, PROPN 
solutions, NOUN 
measurement, NOUN 

, SPACE 
anisotropic, NOUN 
spectra, NOUN 
frozen, ADJ 
organic, ADJ 
glasses, NOUN 
UV, NOUN 
vis, X 

, SPACE 
spectra, PROPN 
range, NOUN 
280, NUM 
2000, NUM 
nm, NOUN 
obtained, VERB 

, SPACE 
Varian, PROPN 
Car, PROPN 
17D, NUM 
spectrometer, NOUN 
sealed, VERB 
quartz, NOUN 

, SPACE 
cuvettes, NOUN 
Hellma, PROPN 
Mass, PROPN 
~,,~ctra, PROPN 
measured, VERB 

, SPACE 
JEOL, PROPN 
D.100, PROPN 
spectrometer, NOUN 
70, NUM 
eV, X 
important, ADJ 

, SPACE 
mass, NOUN 
peaks, NOUN 
peaks, NOUN 
intensity, NOUN 
t, PROPN 
ot, PROPN 
5, NUM 

, SPACE 
reported, VERB 
Samples, NOUN 
capillaries, NOUN 
opened, VERB 
in-, X 

, SPACE 
serted, VERB 
direct, ADJ 
inlet, NOUN 
argon, PROPN 
Infrared, PROPN 
spectra, PROPN 

, SPACE 
recorded, VERB 
UR-75, PROPN 
Zeiss, PROPN 
Jena, PROPN 
Germany, PROPN 
Hexane, NOUN 
toluene, ADJ 
solutions, NOUN 
filled, VERB 
KBr, PROPN 
cu-, NOUN 

, SPACE 
vettes, VERB 
argon, PROPN 
regions, NOUN 
2800, NUM 
3000, NUM 
400, NUM 
1550, NUM 

, SPACE 
cm, PROPN 
overlaid, VERB 
strong, ADJ 
absorption, NOUN 
bands, NOUN 

, SPACE 
solvents, NOUN 
~H, PUNCT 
S3C, PROPN 
NMR, PROPN 
spectra, NOUN 
measured, VERB 

, SPACE 
Varian, ADJ 
VXR-400, NOUN 
spectrometer, NOUN 
400, NUM 
100, NUM 
MHz, NOUN 
re-, ADV 

, SPACE 
spectively, ADV 
CeD, PROPN 
e, NOUN 
25, NUM 
°, NOUN 
C, NOUN 
Samples, PROPN 
referenced, VERB 

, SPACE 
residual, ADJ 
benzene, NOUN 
internal, ADJ 
standard, NOUN 
6, NUM 
e, NOUN 
7.15, NUM 

, SPACE 
8, NUM 
c, NOUN 
128,00, NOUN 
ppm, PROPN 
respectively, ADV 

, SPACE 
2.3, X 
Preparation, NOUN 
S'C5, PROPN 
HMe, VERB 
4, NUM 
2, NUM 
Ti(~, NOUN 
l, NOUN 
C, PROPN 
CSiMe, PROPN 
3, NUM 
z, NOUN 

, SPACE 
1, NUM 

, SPACE 
Trimethyisilylethyne, PROPN 
0.6, NUM 
mi, NUM 
4, NUM 
mmol, NOUN 
toluene, ADV 

, SPACE 
60, NUM 
mi, NOUN 
distilled, VERB 
reaction, NOUN 
vessel, NOUN 
BuLl, PROPN 

, SPACE 
I.6, PROPN 
M, PROPN 
2.5, NUM 
ml, NOUN 
hexane, NOUN 
added, VERB 
stirring, VERB 

, SPACE 
overnight, ADV 
obtained, VERB 
solution, NOUN 
LiCmCSiMe, PROPN 
3, NUM 
11, NUM 

, SPACE 
mixed, VERB 
solution, NOUN 
CsHMe4)aTiCI, NOUN 
2, NUM 
0,65, NUM 

, SPACE 
g, PROPN 
2, NUM 
mmol, NOUN 
30, NUM 
ml, NOUN 
toluene, NOUN 
stirred, VERB 
2, NUM 
h, NOUN 

, SPACE 
reaction, NOUN 
mixture, NOUN 
evaporated, VERB 
vacuum, NOUN 

, SPACE 
residue, NOUN 
extracted, VERB 
hexane, NOUN 
orange, NOUN 
yellow, ADJ 

, SPACE 
solution, NOUN 
separated, VERB 
white, ADJ 
sediment, NOUN 
LiCi, PROPN 

, SPACE 
solution, NOUN 
kept, VERB 
18, NUM 
°, NUM 
C, NOUN 
days, NOUN 

, SPACE 
clear, ADJ 
intense, ADJ 
yellow, ADJ 
solution, NOUN 
carefully, ADV 
separated, VERB 

, SPACE 
additional, ADJ 
sediment, NOUN 
hexane, NOUN 
evapo-, AUX 

, SPACE 
rated, VERB 
vacuum, NOUN 
leave, VERB 
orange, ADJ 
yellow, ADJ 
waxy, NOUN 
solid, ADJ 

, SPACE 
I., PROPN 
Yield, PROPN 
0.71, NUM 
g, NOUN 
82%1, NUM 
WARNING, PROPN 
1, NUM 
solu-, ADJ 

, SPACE 
tions, NOUN 
kept, VERB 
dark, NOUN 
decomposes, VERB 
day, NOUN 

, SPACE 
lig, NOUN 
t.tl~, PROPN 
NMR, PROPN 
C6De, NOUN 
8, NUM 
0.198, NUM 
18, NUM 
H, PROPN 
s, PROPN 
SiMe3, NUM 
1.761, NUM 

, SPACE 
12, NUM 
H, PROPN 
s, PROPN 
4, NUM 
×, X 
2.269, NUM 
12, NUM 
H, PROPN 
s, PROPN 
4, NUM 
X, NOUN 
4,991, NUM 
2, NUM 
H, NOUN 

, SPACE 
s, PROPN 
H(Cp, X 
~3C, PROPN 
NMR, PROPN 
CUD6, PROPN 
8, NUM 
0.78, NUM 
q, PROPN 
6, NUM 
C, NOUN 
14.51, NUM 
q, PROPN 

, SPACE 
4, NUM 
C, NOUN 
15.16, NUM 
q, NOUN 
4, NUM 
C, NOUN 
109,90, NUM 
d, NUM 
2, NUM 
C, NOUN 
122.03, NUM 
s, PROPN 
2, NUM 
C, NOUN 

, SPACE 
122,06, PROPN 
s, PROPN 
2, NUM 
C, NOUN 
129.14, NUM 
s, PROPN 
2, NUM 
C, NOUN 
181.15, NUM 
s, PROPN 
2, NUM 
C, NOUN 
MS, PROPN 

, SPACE 
direct, ADJ 
inlet, NOUN 
80, NUM 
°, NUM 
C, NOUN 
75, NUM 
eV, X 
m, PROPN 
z, PROPN 
intensity, NOUN 
484, NUM 
0.6, NUM 

, SPACE 
M+, NUM 
387, NUM 
7.5, NUM 
386, NUM 
19.1, NUM 
292, NUM 
10.4, NUM 
291, NUM 
27.1, NUM 
290, NUM 

, SPACE 
100, NUM 
289, NUM 
25.1, NUM 
288, NUM 
16.2, NUM 
287, NUM 
8.0, NUM 
179, NUM 
6.6, NUM 
168, NUM 

, SPACE 
9,8, NUM 
167, NUM 
8.4, NUM 
166, NUM 
11.9, NUM 
164, NUM 
6.2, NUM 
83, NUM 
6.3, NUM 
73, NUM 

, SPACE 
14.7, NUM 
Elemental, ADJ 
analysis, NOUN 
179.0715, NUM 
error-0.3, NOUN 
×, PROPN 
10, NUM 
-3, PUNCT 

, SPACE 
CgHI3Si, PROPN 
2, NUM 
IR, PROPN 
hexane, NOUN 
v(C, NOUN 
C, PROPN 
2017, NUM 
cm, PROPN 
-I., PROPN 

, SPACE 
Tttble, PROPN 

, SPACE 
EPR, PROPN 
electronic, ADJ 
absorption, NOUN 
spectra, NOUN 
2m$, NUM 
toluene, NOUN 
MTHF, VERB 

, SPACE 
Solvent, PROPN 
g, NOUN 
~, NOUN 
o, NOUN 
G, PROPN 
gl, X 
gz, ADP 
g~, NOUN 
gay, NOUN 
nm, ADJ 
A2, PROPN 
b, PROPN 

, SPACE 
~, PUNCT 
Toluene, PROPN 
1,9935, NUM 
7,8, NUM 
2.0008, NUM 
1,9913, NUM 
1.9866, NUM 
1.9929, NUM 
340, NUM 
363, NUM 

, SPACE 
MTHF, PROPN 
9928, NUM 
7.9, NUM 
i.9986, NOUN 
1.9910, NUM 
1.9880, NUM 
1,9925, PROPN 
355, NUM 
385, NUM 

, SPACE 
3, NUM 
Toluene, NOUN 
1.9927, NUM 
83, NUM 
2,0016, NUM 
1.9926, NUM 
1,9869, NUM 
1.993"/, PROPN 
355sh, NOUN 
375, NUM 

, SPACE 
MTHF, VERB 
1,9924, NOUN 
8,3, NUM 
1,9993, NOUN 
1,9911, PROPN 
1.9872, NUM 
1.9925, NUM 
360sh, PROPN 
380, NUM 

, SPACE 
4, NUM 
Toluene, ADJ 
1,9927, PROPN 
8,3, NOUN 
2,0011, PROPN 
1.9922, NUM 
1.9869, NUM 
1.9934, NUM 
365sh, PROPN 
380, NUM 

, SPACE 
MTHF, VERB 
1,9923, PROPN 
8,4, NUM 
1,9996, NUM 
1,9920, NUM 
1,9874, PROPN 
1.9930, NUM 
360, NUM 
380, NUM 

, SPACE 
$, SYM 
Toluene, ADJ 
1,9933, NUM 
8,3, NOUN 
c, NOUN 
2,0011, PROPN 
1,9927, PROPN 
1,9927, PROPN 
1,9955, PROPN 
370sh, NOUN 
390, NUM 

, SPACE 
1,9927, PROPN 
8,3, NUM 
d, NOUN 
2,0014, NUM 
1.9936, NUM 
1.9866, NUM 
1.9938, NUM 
360, NUM 
390, NUM 
rim, NOUN 

, SPACE 
Values, NOUN 
eta, NOUN 
determined, VERB 
accuracy, NOUN 
1:0,0003, NUM 
g, ADJ 
tensor, NOUN 
components, NOUN 
+0,0005, VERB 
linewidths, NOUN 
AHr, VERB 
p, NOUN 
solution, NOUN 

, SPACE 
EPR, PROPN 
signals, NOUN 
ranged, VERB 
2,0, NUM 
2,4, NUM 
G, NOUN 
Positions, PROPN 
absorption, NOUN 
bands, NOUN 
given, VERB 
error, NOUN 
1:2, NUM 
nm, PROPN 
b, PROPN 
addition, NOUN 
t, NOUN 
2, NUM 
e, NOUN 

, SPACE 
value, NOUN 
estimated, VERB 
3, NUM 
6, NUM 
×, PROPN 
103, NUM 
cm, NOUN 
2, NUM 
mmol, NOUN 
°, NOUN 
t, NOUN 
absorption, NOUN 
spectra, PROPN 
showed, VERB 
shoulder, NOUN 
intensity, NOUN 
310, NUM 
320, NUM 
nm, NOUN 

, SPACE 
data, NOUN 
given, VERB 
text, NOUN 
¢, PROPN 
AHeo, PROPN 
central, ADJ 
signal, NOUN 
implied, VERB 
coupling, NOUN 
t3, PROPN 
~, PUNCT 
Cs, ADJ 
=, NUM 
7/2, NUM 
100, NUM 
abundance, NOUN 
u, NOUN 
Coupling, VERB 
acs, NOUN 
=, X 
2,0, NUM 
G., PROPN 


, SPACE 
V., PROPN 
Varga, PROPN 
et, NOUN 
aL, PROPN 
J¢,urnal, PROPN 
Organometallic, PROPN 
Chemistry, PROPN 
514, NUM 
1996, NUM 
219, NUM 
226, NUM 
221, NUM 

, SPACE 
2.4, NUM 
Preparation, NOUN 
~I~-CsHMe4)zTi(~I.C, ADJ 
=, NOUN 
CSi, ADJ 

, SPACE 
Me3)z, NOUN 
M, PROPN 
+, PROPN 
M, PROPN 
Li, PROPN 
Na, PROPN 
K, PROPN 
Cs, PROPN 
2, NUM 
5, NUM 

, SPACE 
alkali, ADJ 
metals, NOUN 
toluene, NOUN 

, SPACE 
solution, NOUN 
1, NUM 
toluene, NOUN 
mmoi, PROPN 
25, NUM 
ml, NOUN 

, SPACE 
added, VERB 
excess, ADJ 
alkaii, ADJ 
metals, NOUN 
freshly, ADV 
cut, VERB 
pieces, NOUN 
ef, VERB 

, SPACE 
Li, PROPN 
K, PROPN 
fine, ADJ 
drops, NOUN 
Cs, PROPN 
vacuum, PROPN 
mixture, NOUN 

, SPACE 
gently, ADV 
stirred, VERB 
glass, NOUN 
coated, VERB 
magnetic, ADJ 
stirrer, NOUN 
bar, NOUN 

, SPACE 
reaction, NOUN 
time, NOUN 
ranged, VERB 
1, NUM 
h, NOUN 
Cs, ADJ 
weeks, NOUN 

, SPACE 
Li, PROPN 
true, ADJ 
reaction, NOUN 
times, NOUN 
usually, ADV 
shorter, ADJ 

, SPACE 
given, VERB 
particular, ADJ 
complexes, NOUN 

, SPACE 
reaction, NOUN 
mixtures, NOUN 
worked, VERB 

, SPACE 
certain, ADJ 
1, NUM 
consumed, VERB 
absence, NOUN 
1, NUM 

, SPACE 
reaction, NOUN 
mixture, NOUN 
checked, VERB 
IR, PROPN 
spectra, PROPN 

, SPACE 
absence, NOUN 
band, NOUN 
2017, NUM 
cm, NOUN 
isolation, NOUN 
proce-, NOUN 

, SPACE 
dures, VERB 
particular, ADJ 
complexes, NOUN 
mtd, VERB 
characteristics, NOUN 

, SPACE 
described, VERB 
data, NOUN 
EPR, PROPN 
UV, NOUN 
vis, X 

, SPACE 
spectra, NOUN 
collected, VERB 
Table, PROPN 
1, NUM 
g, NOUN 
aTi, NOUN 
values, NOUN 

, SPACE 
hexane, NOUN 
toluene, NOUN 
THF, PROPN 
MTHF, PROPN 
solu-, NOUN 

, SPACE 
tions, NOUN 
identical, ADJ 
accuracy, NOUN 
determi-, ADJ 

, SPACE 
nation, NOUN 

, SPACE 
2.4.1, X 
~5, ADJ 
Cs, ADJ 
HMe4, NUM 
zTi(~lt, PROPN 
C-, PROPN 
SiMej, PROPN 
z, NOUN 
Li, X 
+, CCONJ 
2, NUM 

, SPACE 
reaction, NOUN 
time, NOUN 
weeks, NOUN 
brown, ADJ 
reaction, NOUN 

, SPACE 
solution, NOUN 
separated, VERB 
pieces, NOUN 
Li, PROPN 
metal, NOUN 

, SPACE 
evaporated, VERB 
vacua, NOUN 
residue, NOUN 
extracted, VERB 

, SPACE 
hexane, NOUN 
orange, ADJ 
brown, ADJ 
solution, NOUN 
saturated, ADJ 

, SPACE 
solution, NOUN 
yielded, VERB 
crop, NOUN 
brown, ADJ 
crystals, NOUN 
crystal-, NUM 

, SPACE 
lization, NOUN 
repeated, VERB 
partly, ADV 
evaporated, VERB 
mother, NOUN 

, SPACE 
liquor, NOUN 
combined, VERB 
crops, NOUN 
recrystallized, VERB 

, SPACE 
hexane, NOUN 
crop, NOUN 
characterization, NOUN 

, SPACE 
spectroscopic, NOUN 
measurements, NOUN 
Total, ADJ 
yield, NOUN 
brown, ADJ 

, SPACE 
crystalline, NOUN 
2, NUM 
0.42, NUM 
g, NOUN 
86, NUM 

, SPACE 
MS, PROPN 
120"C, NUM 
~, NOUN 
e, PROPN 
1/, NUM 
491(M+, NUM 
3, NUM 
393(0.5, NUM 

, SPACE 
386(191, NUM 
371(2, PROPN 
290(1001, PROPN 
179(6, NUM 
168(il, NUM 
167(9, NUM 

, SPACE 
166(13, NUM 
165(5h, NUM 
164(6, NUM 
83(11, NUM 
73(4, PROPN 
7(Li+, NUM 
3, NUM 
Ele-, X 

, SPACE 
mental, ADJ 
analysis, NOUN 
491.2591, NUM 
error, NOUN 
+, CCONJ 
3, NUM 
x, SYM 
10~*a, NUM 

, SPACE 
C2sH,,,,Si2TiLi, PROPN 
386.1907, NUM 
error, NOUN 
+0.2x, PROPN 
10, NUM 
-3, PUNCT 

, SPACE 
C23H34SiTi, PROPN 
IR, PROPN 
toluene)(era, PROPN 
1948, NUM 
vs, ADV 
1937, NUM 
vs, ADV 

, SPACE 
1916, NUM 
w, PROPN 
sh, PROPN 
1257, NUM 
m, PROPN 
sh, PROPN 
1244, NUM 
s, PROPN 
1148, NUM 
w, PROPN 
1020, NUM 

, SPACE 
m, PROPN 
CsHMe4, PROPN 
975, NUM 
w, PROPN 
848, NUM 
vs, ADP 
757, NUM 
s, X 
616, NUM 
w, NOUN 

, SPACE 
EDAX, PROPN 
K, NOUN 
1, NUM 
approximate, ADJ 
ratio, NOUN 
Ti, NOUN 
Li, PROPN 
=, X 
I., PROPN 

, SPACE 
2.4.2, NUM 
~lS, NUM 
CsHMe, PROPN 
s, PROPN 
zTi61~-C--, PROPN 
SiMej, PROPN 
z, NOUN 
Na, X 
+, CCONJ 
3, X 

, SPACE 
reaction, NOUN 
time, NOUN 
days, NOUN 
solution, NOUN 

, SPACE 
separated, VERB 
remainder, NOUN 
sodium, NOUN 
metal, NOUN 

