o~.41ourna, PUNCT 
degassed, VERB 
deuterated, VERB 

, SPACE 
benzene, NOUN 
toluene, NOUN 
micro.photolysis, NOUN 
cell, NOUN 

, SPACE 
ml, PROPN 
capacity, NOUN 
resulted, VERB 
formation, NOUN 
new, ADJ 
species, NOUN 

, SPACE 
VII, PROPN 
IR, PROPN 
spectrum, NOUN 
contains, VERB 
bands, NOUN 
2033, NUM 
2014, NUM 

, SPACE 
1974, NUM 
1963, NUM 
cm, NOUN 
°, PROPN 
t., PROPN 
tH, ADJ 
NMR, PROPN 
spectrum, NOUN 

, SPACE 
photoproduct, NOUN 
characterized, VERB 
complex, ADJ 
seven, NUM 

, SPACE 
proton, PROPN 
resonance, NOUN 
cyclopentadienyl, NOUN 
ring, NOUN 
region, NOUN 
AB, PROPN 

, SPACE 
quartet, NOUN 
bridging, VERB 
methylene, NOUN 
group, NOUN 
ruthe-, ADJ 

, SPACE 
nium, NOUN 
hydride, NOUN 
resonance, NOUN 
major, ADJ 
product, NOUN 

, SPACE 
produced, VERB 
photolyses, NOUN 
additional, ADJ 
resonances, NOUN 

, SPACE 
observed, VERB 
regions, NOUN 
suggesting, VERB 

, SPACE 
minor, ADJ 
products, NOUN 
VII, PROPN 
air, ADV 
sensitive, ADJ 

, SPACE 
0, NUM 
0, NUM 

, SPACE 
0, NUM 
0, NUM 
reacts, NOUN 
insoluble, ADJ 
red, ADJ 
solid, ADJ 
brief, ADJ 
exposure, NOUN 

, SPACE 
air, VERB 
successful, ADJ 
obtaining, VERB 
3C, ADJ 

, SPACE 
NMR, PROPN 
spectrum, NOUN 
VII, PROPN 

, SPACE 
red, ADJ 
solid, ADJ 
formed, VERB 
VII, PROPN 
reacts, NOUN 
air, NOUN 

, SPACE 
IR, PROPN 
bands, NOUN 
1992, NUM 
1776, NUM 
cm, NOUN 
-s, PUNCT 

, SPACE 
similar, ADJ 
position, NOUN 
reported, VERB 
Knox, PROPN 

, SPACE 
coworkers, NOUN 
tetramer, NOUN 
tentatively, ADV 
sug-, NUM 

, SPACE 
gest, ADJ 
red, ADJ 
solid, ADJ 
ring, NOUN 
coupled, VERB 
analog, NOUN 

, SPACE 
t, NOUN 
H, NOUN 
NMR, PROPN 
spectrum, NOUN 
red, ADJ 
solid, ADJ 
exceedingly, ADV 

, SPACE 
complex, ADJ 
cyclopentadienyl, NOUN 
ring, NOUN 
region, NOUN 

, SPACE 
able, ADJ 
successfully, ADV 
interpret, VERB 
spec-, ADJ 

, SPACE 
trum, NOUN 

, SPACE 
Deuterobenzene, ADJ 
solutions, NOUN 
ill, ADJ 
IV, PROPN 
NMR, PROPN 

, SPACE 
tubes, NOUN 
rigorously, ADV 
degassed, VERB 
freeze, VERB 
pump, NOUN 
thaw, NOUN 

, SPACE 
techniques, NOUN 
NMR, PROPN 
tubes, NOUN 
placed, VERB 
Pyrex, PROPN 

, SPACE 
water, NOUN 
jacket, NOUN 
photolyzed, VERB 
15, NUM 
min, NOUN 
350, NUM 
W, PROPN 

, SPACE 
high, ADJ 
pressure, NOUN 
Hg, PROPN 
lamp, NOUN 
time, NOUN 
solutions, NOUN 

, SPACE 
changed, VERB 
color, NOUN 
light, ADJ 
yellow, ADJ 
dark, ADJ 
red, NOUN 

, SPACE 
conditions, NOUN 
ill, ADJ 
gave, VERB 
results, NOUN 
similar, ADJ 

, SPACE 
micro, NOUN 
photolysis, NOUN 
vessel, NOUN 
greater, ADJ 
quantities, NOUN 

, SPACE 
secondary, ADJ 
ruthenium, NOUN 
hydride, NOUN 
products, NOUN 
ob-, PRON 

, SPACE 
served, VERB 
method, NOUN 
Microchromatography, NOUN 

, SPACE 
reaction, NOUN 
mixtures, NOUN 
reaction, NOUN 
dichloromethane, NOUN 

, SPACE 
CCI4, PROPN 
removal, NOUN 
solvent, NOUN 
recovered, VERB 
compo-, ADJ 

, SPACE 
nent, NOUN 
responsible, ADJ 
red, ADJ 
color, NOUN 
showed, VERB 

, SPACE 
identical, ADJ 
red, PROPN 
oxidation, NOUN 
product, NOUN 
described, VERB 

, SPACE 
Like, ADP 
1, NUM 
photolysis, NOUN 
IV, PROPN 
gave, VERB 
products, NOUN 

, SPACE 
major, ADJ 
product, NOUN 
having, VERB 
seven, NUM 
proton, NOUN 
resonances, NOUN 

, SPACE 
cyclopentadienyl, NOUN 
ring, NOUN 
region, NOUN 
resonances, NOUN 

, SPACE 
methyl, NOUN 
region, NOUN 
ruthenium, NOUN 
hydride, NOUN 
resonance, NOUN 

, SPACE 
Reaction, NOUN 
VII, PROPN 
dichioromethane, NOUN 
CC!4, NOUN 

, SPACE 
yielded, VERB 
orange, ADJ 
crystalline, NOUN 
product, NOUN 
Vlll, PROPN 
Vlll, PROPN 

, SPACE 
prepared, VERB 
known, VERB 
Ru(CO)2)CI, X 
z-, X 

, SPACE 
~5,T, PROPN 
S, PROPN 
CsH4CH2CsH, PROPN 
4, NUM 
photolyses, NOUN 
il, PROPN 

, SPACE 
carried, VERB 
neat, ADJ 
CCI4, PROPN 
VIII, PROPN 

, SPACE 
product, NOUN 
photolyzed, VERB 
4:1, NUM 
benzene, NOUN 
dichlo-, PROPN 


, SPACE 
T.E., PROPN 
Bitterwolf, PROPN 
ct, PROPN 
al, PROPN 
Journal, PROPN 
OrganomelaUic, PROPN 
Chemistry, PROPN 
514, NUM 
¢!996, PROPN 
13, NUM 
21, NUM 
15, NUM 

, SPACE 
romethane, NOUN 
IR, PROPN 
spectrum, NOUN 
Viii, PROPN 
contained, VERB 

, SPACE 
bands, NOUN 
terminal, ADJ 
carbonyl, NOUN 
region, NOUN 
2046, NUM 
2028, NUM 

, SPACE 
1989, NUM 
1975, NUM 
cm, NOUN 
-i, PROPN 
bands, NOUN 
2046, NUM 
1989, NUM 

, SPACE 
cm, PROPN 
assigned, VERB 
CpRu(CO)2Ci, NOUN 
moiety, NOUN 

, SPACE 
2028, NUM 
1975, NUM 
cm, NOUN 
-m, PUNCT 
typical, ADJ 

, SPACE 
CpRu(CO)2R, NOUN 
groups, NOUN 

, SPACE 
H, NOUN 
NMR, PROPN 
spectrum, NOUN 
VIII, PROPN 
contains, VERB 
set, NOUN 

, SPACE 
seven, NUM 
cyclopentadienyl, NOUN 
ring, NOUN 
proton, NOUN 
resonances, NOUN 

, SPACE 
overla~, PROPN 
AB, PROPN 
quartet, NOUN 
methylene, NOUN 

, SPACE 
protons, NOUN 
3C, ADJ 
NMR, PROPN 
spectrum, NOUN 
contained, VERB 
resonances, NOUN 

, SPACE 
seven, NUM 
protonated, VERB 
ring, NOUN 
carbons, NOUN 
ipso, ADJ 
car-, VERB 

, SPACE 
bons, NOUN 
ruthenium, NOUN 
carbonyi, NOUN 
resonances, NOUN 
methy-, ADJ 

, SPACE 
lene, NOUN 
carbon, NOUN 
resonance, NOUN 
observed, VERB 
COSY, PROPN 
al-, X 

, SPACE 
lowed, VERB 
assignment, NOUN 
ring, NOUN 
proton, NOUN 
resonances, NOUN 

, SPACE 
rings, NOUN 
assignment, NOUN 
resonances, NOUN 

, SPACE 
possible, ADJ 
spectroscopic, ADJ 
evidence, NOUN 
strongly, ADV 
suggests, VERB 

, SPACE 
molecular, ADJ 
structure, NOUN 
cyclopentadi-, ADJ 

, SPACE 
enyl, NOUN 
rings, NOUN 
sigma, PROPN 
bonded, VERB 
ruthenium, NOUN 
atom, NOUN 

, SPACE 
retaining, VERB 
second, NOUN 
pentahapto, PROPN 
bonded, PROPN 
ruthenium, PROPN 

, SPACE 
proposed, VERB 
structure, NOUN 
confirmed, VERB 
X, NOUN 
ray, NOUN 
crystal-, NOUN 

, SPACE 
lography, NOUN 
vide, NOUN 
infra, NOUN 

, SPACE 
Photolysis, NOUN 
IV, PROPN 
3:1, NUM 
benzene, NOUN 
chloroform, NOUN 
mix-, VERB 

, SPACE 
ture, NOUN 
resulted, VERB 
effectively, ADV 
quantitative, ADJ 
conversion, NOUN 
IV, PROPN 

, SPACE 
new, ADJ 
compound, NOUN 
IX, PROPN 
found, VERB 
identi-, X 

, SPACE 
cal, ADJ 
trace, NOUN 
product, NOUN 
reaction, NOUN 

, SPACE 
TI2[CsH4(CH3)2CCsH, PROPN 
4, NUM 
CI2Ru(CO)3, NOUN 
2, NUM 

, SPACE 
previously, ADV 
reported, VERB 
molecular, ADJ 
structure, NOUN 
IX, PROPN 

, SPACE 
previously, ADV 
determined, VERB 
established, VERB 

, SPACE 
compound, NOUN 
twisted, ADJ 
structure, NOUN 
structure, NOUN 
IX, PROPN 

, SPACE 
discussed, VERB 
VIII, PROPN 

, SPACE 
Photolysis, NOUN 
NMR, PROPN 
sample, NOUN 
V, NOUN 
deuteroben-, X 

, SPACE 
zene, NOUN 
resulted, VERB 
formation, NOUN 
hydride, ADJ 
species, NOUN 

, SPACE 
Ru, PROPN 
H, PROPN 
10.38, NUM 
17.34, NUM 
ppm, NOUN 
ring, NOUN 

, SPACE 
bridge, NOUN 
proton, NOUN 
regions, NOUN 
spectrum, NOUN 
complex, ADJ 

, SPACE 
IR, PROPN 
spectrum, NOUN 
sample, NOUN 
contained, VERB 
sharp, ADJ 
bands, NOUN 

, SPACE 
2032, NUM 
2028, NUM 
broad, ADJ 
band, NOUN 
1976, NUM 
cm, PROPN 
°, NOUN 
~, PUNCT 
similar, ADJ 

, SPACE 
0, NUM 
MU,,--.,O, NOUN 
0, NUM 
o, NOUN 
o, NOUN 
o, NOUN 

, SPACE 
o, NOUN 

, SPACE 
Vll, PROPN 
L-, PROPN 
OFI[~, PROPN 
X-, PROPN 
H, PROPN 

, SPACE 
vm, PROPN 
L, PROPN 
=, PROPN 
Cl, PROPN 
,~, PUNCT 
X-, PROPN 
Cl, PROPN 

, SPACE 
ix, PROPN 
L-, PROPN 
C(CH~, PROPN 
x, PROPN 
Cl, PROPN 

, SPACE 
x, PROPN 
L, PROPN 
C~,X, PROPN 
Cl, PROPN 

, SPACE 
Xl, PROPN 
L, PROPN 
=, PROPN 
S|(CH~)z, PROPN 
X, PROPN 
Cl, PROPN 
OC, PROPN 
i~, PROPN 

, SPACE 
C, PROPN 

, SPACE 
0, NUM 

, SPACE 
Fig, PROPN 
I., PROPN 
Proposed, VERB 
conformation, NOUN 
numbering, NOUN 
scheme, NOUN 
X., PROPN 

, SPACE 
observed, VERB 
Vll, PROPN 
Reaction, NOUN 
solution, NOUN 
contain-, PRON 

, SPACE 
ing, VERB 
hydrides, NOUN 
dichloromethane, NOUN 
photolysis, NOUN 

, SPACE 
V, PROPN 
CDC, PROPN 
3, NUM 
resulted, VERB 
formation, NOUN 
yellow-, ADJ 

, SPACE 
orange, NOUN 
product, NOUN 
X., PROPN 
X, PROPN 
found, VERB 
terminal, NOUN 

, SPACE 
stretching, VERB 
bands, NOUN 
2045, NUM 
2034, NUM 
1988, NUM 
cm-, NOUN 

, SPACE 
identical, ADJ 
observed, VERB 
VIii, PROPN 
IX, PROPN 

, SPACE 
H, NOUN 
3C, ADJ 
NMR, PROPN 
spectra, NOUN 
X, NOUN 
conform, NOUN 

, SPACE 
formulation, NOUN 
twisted, VERB 
complex, NOUN 
~5, NOUN 
Cp, PROPN 
ring, NOUN 

, SPACE 
7, NUM 
s:7, PROPN 
m, PROPN 
Cp, PROPN 
ring, NOUN 
ethylene, NOUN 
bridge, NOUN 
resonances, NOUN 

, SPACE 
form, VERB 
resolved, VERB 
set, NOUN 
doublets, NOUN 
doublets, NOUN 

, SPACE 
doublets, NOUN 
COSY, PROPN 
NOESY, PROPN 
H-'3C, VERB 
correlation, NOUN 

, SPACE 
spectra, PROPN 
recorded, VERB 
allowed, VERB 
detailed, ADJ 
analysis, NOUN 

, SPACE 
solution, NOUN 
geometry, NOUN 
compound, NOUN 
Coupling, VERB 
con-, SYM 

, SPACE 
stants, NOUN 
doublet, NOUN 
doublet, NOUN 
doublet, ADJ 
pattern, NOUN 

, SPACE 
ethylene, NOUN 
bridge, NOUN 
hydrogen, NOUN 
resonances, NOUN 
obtained, VERB 

, SPACE 
coupling, NOUN 
constants, NOUN 
COSY, PROPN 
interac-, ADJ 

, SPACE 
tions, NOUN 
permitted, VERB 
geminal, ADJ 
relationships, NOUN 

, SPACE 
bridge, NOUN 
connectivities, NOUN 
relative, ADJ 
rings, NOUN 

, SPACE 
established, VERB 
Applying, VERB 
Karplus, PROPN 
relationship, NOUN 
10, NUM 

, SPACE 
dihedral, ADJ 
angle, NOUN 
ethylene, NOUN 
bridge, NOUN 
found, VERB 

, SPACE 
45, NUM 
°, NOUN 
angle, NOUN 
keeping, VERB 
obtained, VERB 

, SPACE 
Dreiding, VERB 
stereomodels, NOUN 
compound, NOUN 
pro~, ADJ 

, SPACE 
posed, VERB 
conformation, NOUN 
complex, NOUN 
numbering, ADJ 

, SPACE 
scheme, NOUN 
spectral, ADJ 
assignments, NOUN 
presented, VERB 

, SPACE 
Fig, PROPN 
I., PROPN 

, SPACE 
bromo, ADJ 
analog, NOUN 
X, PROPN 
isolated, VERB 

, SPACE 
product, NOUN 
reaction, NOUN 
CzH4(CsH4TI)2, NOUN 
TIBr, NOUN 

, SPACE 
CI2Ru(CO)3, NOUN 
2, NUM 
fully, ADV 
characterized, VERB 

, SPACE 
7b, NOUN 

, SPACE 
Photolysis, NOUN 
NMR, PROPN 
sample, NOUN 
Vl, PROPN 
deuteroben-, X 

, SPACE 
zene, NOUN 
gave, VERB 
rise, NOUN 
complex, ADJ 
new, ADJ 
resonances, NOUN 
cy-, NOUN 

, SPACE 
ciopentadienyl, NOUN 
ring, NOUN 
region, NOUN 
new, ADJ 
methylsilyl, NOUN 
reso-, X 

, SPACE 
nances, NOUN 
ruthenium, NOUN 
hydride, NOUN 
resonance, NOUN 
indicative, ADJ 

, SPACE 
formation, NOUN 
new, ADJ 
hydride, NOUN 
species, NOUN 
analogous, ADJ 

, SPACE 
twisted, VERB 
species, NOUN 
described, VERB 
Photolysis, NOUN 
Vl, PROPN 

, SPACE 
neat, ADJ 
CCl4, NOUN 
yielded, VERB 
poorly, ADV 
soluble, ADJ 
tan, NOUN 
solid, ADJ 
IR, PROPN 

, SPACE 
