Determining, VERB 
geometry, NOUN 
architecture, NOUN 
material, NOUN 
makeup, NOUN 
mechanical, ADJ 
behavior, NOUN 
material, NOUN 
properties, NOUN 

, SPACE 
Stiffness, PROPN 
important, ADJ 
mechanical, ADJ 
property, NOUN 
bone, NOUN 
material, NOUN 

, SPACE 
greatly, ADV 
depends, VERB 
mineralization, NOUN 
porosity, NOUN 
9,11, NUM 
in-, ADJ 

, SPACE 
trinsic, ADJ 
stiffness, NOUN 
bone, NOUN 
quantiﬁ, NOUN 
ed, NOUN 
elastic, ADJ 
Young, PROPN 

, SPACE 
modulus, NOUN 
inherent, ADJ 
property, NOUN 
bone, NOUN 
material, NOUN 
40, NUM 
elastic, ADJ 

, SPACE 
modulus, NOUN 
fundamental, ADJ 
determinant, NOUN 
bone, NOUN 
mechanicalbehavior, NOUN 
small, ADJ 
size, NOUN 
mice, NOUN 
bones, NOUN 
complicates, VERB 

, SPACE 
task, NOUN 
determining, VERB 
elastic, ADJ 
moduli, NOUN 
importance, NOUN 

, SPACE 
complexity, NOUN 
issue, NOUN 
manifested, VERB 
large, ADJ 
number, NOUN 
papers, NOUN 

, SPACE 
describing, VERB 
methods, NOUN 
proposed, VERB 
quantitatively, ADV 
measure, VERB 

, SPACE 
elastic, ADJ 
modulus, NOUN 
mice, NOUN 
bones, NOUN 
29,32,36, NUM 
39,42, NUM 
43, NUM 
present, VERB 

, SPACE 
new, ADJ 
approach, NOUN 
determining, VERB 
effective, ADJ 
bulk, ADJ 
elastic, ADJ 
modulusBone, NOUN 
45, NUM 
2009, NUM 
84, NUM 
90, NUM 

, SPACE 
☆, VERB 
research, NOUN 
funded, VERB 
Kekst, PROPN 
Family, PROPN 
Center, PROPN 
Medical, PROPN 
Genetics, PROPN 

, SPACE 
Weizmann, PROPN 
Institute, PROPN 
Science, PROPN 
S., PROPN 
W., PROPN 
incumbent, NOUN 
Dr., PROPN 
Walter, PROPN 
Dr., PROPN 
Trude, PROPN 

, SPACE 
Burchardt, PROPN 
Professorial, PROPN 
Chair, PROPN 
Structural, PROPN 
Biology, PROPN 

, SPACE 
⁎Corresponding, PROPN 
author, NOUN 
Fax, NOUN 
+972, NOUN 
8, NUM 
9344136, NUM 

, SPACE 
E, ADJ 
mail, NOUN 
address, NOUN 
Netta.Lev-tov-chattah@weizmann.ac.il, PROPN 
N.L.-T., PROPN 
Chattah, PROPN 

, SPACE 
8756, NUM 
3282/$, NUM 
matter, NOUN 
©, ADJ 
2009, NUM 
Elsevier, ADJ 
Inc., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
doi:10.1016, PROPN 
j.bone.2009.03.664, PROPN 

, SPACE 
Contents, PROPN 
lists, NOUN 
available, ADJ 
ScienceDirect, PROPN 

, SPACE 
Bone, PROPN 

, SPACE 
journal, NOUN 
homepage, NOUN 
www.elsevier.com/locate/bone, NOUN 

, SPACE 
mouse, PROPN 
cortical, ADJ 
bone, NOUN 
femur, NOUN 
method, NOUN 
mechanical, ADJ 

, SPACE 
testing, NOUN 
preformed, VERB 
manner, NOUN 
similar, ADJ 
principle, NOUN 
way, NOUN 

, SPACE 
bone, NOUN 
cube, NOUN 
obtained, VERB 
larger, ADJ 
animal, NOUN 
tested, VERB 
standard, ADJ 

, SPACE 
mechanical, ADJ 
compression, NOUN 

, SPACE 
Bone, PROPN 
graded, VERB 
hierarchical, ADJ 
anisotropic, ADJ 
material, NOUN 
elastic, ADJ 

, SPACE 
modulus, NOUN 
varies, VERB 
different, ADJ 
length, NOUN 
scales, NOUN 
depending, VERB 

, SPACE 
direction, NOUN 
force, NOUN 
applied, VERB 
9, NUM 
Mechanical, ADJ 
tests, NOUN 
employed, VERB 

, SPACE 
determine, VERB 
bulk, ADJ 
mechanical, ADJ 
properties, NOUN 
bone, NOUN 
use, VERB 
relatively, ADV 
large, ADJ 

, SPACE 
machined, VERB 
bone, NOUN 
samples, NOUN 
measure, VERB 
elastic, ADJ 
modulus, NOUN 
directly, ADV 

, SPACE 
standard, ADJ 
compression, NOUN 
tension, NOUN 
testing, NOUN 
Mice, ADJ 
bones, NOUN 
minute, ADJ 

, SPACE 
usually, ADV 
tested, VERB 
entities, NOUN 
main, ADJ 
types, NOUN 

, SPACE 
bending, VERB 
tests, NOUN 
point, NOUN 
bending, NOUN 
point, NOUN 
bending, NOUN 

, SPACE 
determine, VERB 
effective, ADJ 
elastic, ADJ 
modulus, NOUN 
mouse, NOUN 

, SPACE 
long, ADJ 
bones, NOUN 
7,12,14, NOUN 
16,22,27,32,43, PROPN 
far, ADV 
common, ADJ 
test, NOUN 

, SPACE 
point, NOUN 
bending, NOUN 
6,34, X 
Calculation, NOUN 
elastic, ADJ 
modulus, NOUN 

, SPACE 
bending, VERB 
tests, NOUN 
based, VERB 
Euler, PROPN 
Bernoulli, PROPN 
beam, NOUN 
theory, NOUN 
derived, VERB 

, SPACE 
linear, ADJ 
theory, NOUN 
elasticity, NOUN 
34, NUM 
main, ADJ 
underlying, VERB 

, SPACE 
assumptions, NOUN 
approach, NOUN 
tested, VERB 
sample, NOUN 
isotropic, ADJ 

, SPACE 
uniform, ADJ 
cylindrical, ADJ 
geometry, NOUN 
undergo, VERB 
shear, NOUN 

, SPACE 
stresses, NOUN 
loading, NOUN 
Bone, NOUN 
isotropic, ADJ 
geometry, NOUN 

, SPACE 
irregular, ADJ 
Furthermore, ADV 
bending, VERB 
tests, NOUN 
associated, VERB 

, SPACE 
degree, NOUN 
shear, NOUN 
local, ADJ 
ring, NOUN 
type, NOUN 
deformations, NOUN 
occur, VERB 

, SPACE 
supports, NOUN 
loading, NOUN 
prong, ADJ 
contact, NOUN 
bone, NOUN 
especially, ADV 
bones, NOUN 

, SPACE 
thin, ADJ 
cortex, NOUN 
32,39,41, NUM 
Signi, NOUN 
ﬁcant, ADJ 
errors, NOUN 
introduced, VERB 

, SPACE 
measuring, VERB 
effective, ADJ 
elastic, ADJ 
modulus, NOUN 
bending, VERB 
tests, NOUN 
ofwhole, ADJ 
bones, NOUN 
result, NOUN 
modulus, NOUN 
usually, ADV 
markedly, ADV 

, SPACE 
underestimated, VERB 
36,39,41, NUM 
Recently, ADV 
ﬁnite, VERB 
element, NOUN 
models, NOUN 
FEMs, PROPN 

, SPACE 
provide, VERB 
correction, NOUN 
factors, NOUN 
order, NOUN 
moreaccurately, ADV 
predict, VERB 
elastic, ADJ 
modulus, NOUN 
mice, NOUN 
bones, NOUN 
measured, VERB 

, SPACE 
point, NOUN 
bending, NOUN 
41, NUM 
models, NOUN 
based, VERB 

, SPACE 
approximations, NOUN 
corrections, NOUN 
sub, ADJ 
optimal, ADJ 

, SPACE 
widely, ADV 
approach, NOUN 
nanoindentation, NOUN 

, SPACE 
method, NOUN 
measures, NOUN 
elastic, ADJ 
modulus, NOUN 
nanoscale, NOUN 
istherefore, VERB 
sensitive, ADJ 
local, ADJ 
microstructure, NOUN 
3,8,17,20,26,36,38, NOUN 

, SPACE 
measurements, NOUN 
involve, VERB 
plastic, ADJ 
deformation, NOUN 
addition, NOUN 
toelastic, ADJ 
deformation, NOUN 
testing, NOUN 
usually, ADV 
preformed, VERB 
dry, ADJ 
3,17,38, PROPN 

, SPACE 
semi, ADJ 
hydrated, ADJ 
samples, NOUN 
26, NUM 
increasing, VERB 
stiffness, NOUN 
bone, NOUN 

, SPACE 
material, NOUN 
30, NUM 
Measurements, NOUN 
elastic, ADJ 
modulus, NOUN 
mouse, PROPN 
cortical, ADJ 

, SPACE 
bone, NOUN 
nanoindentation, NOUN 
produce, NOUN 
values, NOUN 
26, NUM 
31, NUM 
GPa, NOUN 

, SPACE 
3,8,26,36, PROPN 
Silva, PROPN 
et, PROPN 
al, PROPN 
36, NUM 
Chen, PROPN 
et, PROPN 
al, PROPN 
8]noted, INTJ 
marked, VERB 

, SPACE 
discrepancy, NOUN 
elastic, ADJ 
moduli, NOUN 
obtained, VERB 
bending, VERB 
tests, NOUN 

, SPACE 
nanoindentation, NOUN 
tests, NOUN 
results, NOUN 
bending, VERB 
tests, NOUN 

, SPACE 
signiﬁcantly, ADV 
lower, ADJ 
obtained, VERB 
nanoindentation, NOUN 

, SPACE 
Ultrasonic, ADJ 
techniques, NOUN 
provide, VERB 
data, NOUN 

, SPACE 
mechanical, ADJ 
properties, NOUN 
bulk, ADJ 
bone, NOUN 
material, NOUN 
indirect, ADJ 

, SPACE 
measurement, NOUN 
elastic, ADJ 
modulus, NOUN 
Somerville, PROPN 
et, PROPN 
al, PROPN 
37, NUM 

, SPACE 
estimated, VERB 
elastic, ADJ 
modulus, NOUN 
mature, ADJ 
B6, NOUN 
mice, NOUN 
tibia, NOUN 
22.3±2.6GPa, PROPN 
males, NOUN 
23.2±2.8, NUM 
GPa, NOUN 
females, NOUN 
Recently, ADV 
Raum, PROPN 
et, PROPN 
al, PROPN 
29, X 

, SPACE 
method, NOUN 
combines, VERB 
scanning, VERB 
acoustic, ADJ 
microscopy, ADJ 
andsynchrotron, PROPN 
radiation, PROPN 
micro, NOUN 
CT, PROPN 
determine, VERB 
transverse, ADJ 
bulk, ADJ 

, SPACE 
elastic, ADJ 
modulus, NOUN 
5.5, NUM 
month, NOUN 
old, ADJ 
mice, NOUN 
femora, NOUN 
B6, NOUN 
C3H, PROPN 

, SPACE 
results, NOUN 
16.1±1.8, NUM 
GPa, NOUN 
22.4±1.9, NUM 
GPa, NOUN 
respectively, ADV 
roughly, ADV 

, SPACE 
comparable, ADJ 
nanoindentation, NOUN 

, SPACE 
Electronic, ADJ 
speckle, NOUN 
pattern, NOUN 
interferometry, NOUN 
ESPI, PROPN 
non, ADJ 
contact, ADJ 

, SPACE 
optical, ADJ 
metrology, NOUN 
method, NOUN 
enables, VERB 
direct, ADJ 
measurements, NOUN 

, SPACE 
displacements, NOUN 
surface, NOUN 
mineralized, ADJ 
tissues, NOUN 
mechan-, NOUN 

, SPACE 
ical, ADJ 
loading, NOUN 
4,5,21,33,45, NOUN 
47, NUM 

, SPACE 
precise, ADJ 
accurate, ADJ 

, SPACE 
determining, VERB 
effective, ADJ 
elastic, ADJ 
modulus, NOUN 
cortical, ADJ 
bone, NOUN 
cubessubmerged, VERB 
water, NOUN 
33, NUM 
method, NOUN 
extremely, ADV 
sensitive, ADJ 

, SPACE 
allows, VERB 
detection, NOUN 
displacements, NOUN 
nanometer, NOUN 
level, NOUN 
inmillimeter, NOUN 
sized, ADJ 
specimens, NOUN 
33,45,46, NUM 
paper, NOUN 
advan-, NOUN 

, SPACE 
tage, NOUN 
tubular, ADV 
shaped, VERB 
midshaft, VERB 
diaphysis, NOUN 
mouse, NOUN 
femur, PROPN 
ina, PROPN 
section, NOUN 
cortical, ADJ 
cross, ADJ 
sectional, ADJ 
area, NOUN 
nearly, ADV 
uniform, ADJ 

, SPACE 
axial, ADJ 
direction, NOUN 
ESPI, PROPN 
accurately, ADV 

, SPACE 
precisely, ADV 
determining, VERB 
effective, ADJ 
elastic, ADJ 
modulus, NOUN 
millimeter-, NOUN 

, SPACE 
sized, ADJ 
cortical, ADJ 
bone, NOUN 
segment, NOUN 
Materials, NOUN 
methods, NOUN 

, SPACE 
Mid, ADJ 
diaphyseal, ADJ 
segments, NOUN 
mice, PROPN 
femora, PROPN 
mm, NOUN 
long, ADV 

, SPACE 
incrementally, ADV 
loaded, VERB 
compression, NOUN 
water, NOUN 
Surface, PROPN 
displace-, NOUN 

, SPACE 
ments, NOUN 
measured, VERB 
direction, NOUN 
compression, NOUN 
axial, NOUN 

, SPACE 
ESPI, PROPN 
resulting, VERB 
effective, ADJ 
strain, NOUN 
loading, NOUN 
direction, NOUN 
deter-, ADJ 

, SPACE 
mined, VERB 
displacements, NOUN 
allowing, VERB 
calculation, NOUN 
effectiveelastic, ADJ 
modulus, NOUN 

, SPACE 
Bone, NOUN 
sample, NOUN 
preparation, NOUN 

, SPACE 
Sixteen, NUM 
week, NOUN 
old, ADJ 
C57, PROPN 
BL/6, PROPN 
B6, PROPN 
female, ADJ 
mice, NOUN 
purchased, VERB 

, SPACE 
Harlan, PROPN 
Biotech, PROPN 
Israel, PROPN 
Ltd., PROPN 
anesthetized, VERB 
iso, PROPN 
ﬂurane, NOUN 
soaked, VERB 

, SPACE 
gauze, NOUN 
sealed, ADJ 
chamber, NOUN 
sacri, PROPN 
ﬁced, VERB 
cervical, ADJ 
dislocation, NOUN 

, SPACE 
study, NOUN 
approved, VERB 
institutional, ADJ 
animal, NOUN 
care, NOUN 
use, VERB 

, SPACE 
committee, NOUN 

, SPACE 
average, ADJ 
weight, NOUN 
mice, NOUN 
12.03±0.77, NUM 
g., NOUN 
left, ADJ 

, SPACE 
right, ADJ 
femora, NOUN 
carefully, ADV 
excised, VERB 
manually, ADV 
cleaned, VERB 
soft, ADJ 

, SPACE 
tissues, NOUN 
cortical, ADJ 
mid, ADJ 
diaphyseal, ADJ 
section, NOUN 
starting, VERB 
distal, ADJ 

, SPACE 
trochanter, ADV 
extending, VERB 
2, NUM 
mm, NOUN 
distally, ADV 
cut, VERB 
water-, NOUN 

, SPACE 
cooled, VERB 
slow, ADJ 
diamond, NOUN 
saw, VERB 
Buehler, PROPN 
segments, NOUN 
damaged, VERB 

, SPACE 
cutting, NOUN 
process, NOUN 
tested, VERB 
prepared, ADJ 

, SPACE 
segments, NOUN 
scanned, VERB 
micro, NOUN 
CT, NOUN 
eXplore, PROPN 
locus, NOUN 
SP, PROPN 
General, PROPN 

, SPACE 
Electric, PROPN 
USA, PROPN 
wrapped, VERB 
saline, NOUN 
soaked, VERB 
gauze, NOUN 

, SPACE 
mechanical, ADJ 
testing, NOUN 
performed, VERB 
total, NOUN 
23, NUM 
femoral, ADJ 
segments, NOUN 

, SPACE 
arbitrarily, ADV 
separated, VERB 
groups, NOUN 
stored, VERB 
different, ADJ 
man-, ADJ 

, SPACE 
ners, NOUN 
prior, ADV 
testing, NOUN 
group, NOUN 
consisted, VERB 
femora, NOUN 
frozen, VERB 

, SPACE 
−20, PROPN 
°, NOUN 
C, NOUN 
months, NOUN 
second, ADJ 
group, NOUN 
consisted, VERB 
ﬁve, PROPN 
femora, PROPN 

, SPACE 
frozen, ADJ 
−20, PROPN 
°, NUM 
C, NOUN 
weeks, NOUN 
group, NOUN 
femora, NOUN 

, SPACE 
tested, VERB 
immediately, ADV 
harvesting, NOUN 

, SPACE 
right, ADJ 
femora, NOUN 
ﬁve, NOUN 
additional, ADJ 
week, NOUN 
old, ADJ 
B6, NOUN 
female, ADJ 
mice, NOUN 

, SPACE 
harvested, VERB 
bone, NOUN 
point, NOUN 
bending, VERB 
tests, NOUN 

, SPACE 
frozen, VERB 
months, NOUN 
−20, PROPN 
°, NUM 
C, PROPN 
prior, ADV 
testing, NOUN 
femora, NOUN 

, SPACE 
group, NOUN 
scanned, VERB 
micro, PROPN 
CT, PROPN 
wrapped, VERB 
saline, NOUN 
soakedgauze, NOUN 
stored, VERB 
4, NUM 
°, NUM 
C, NOUN 
testing, NOUN 

, SPACE 
Prior, ADV 
testing, NOUN 
frozen, ADJ 
femora, PROPN 
and/or, CCONJ 
femoral, ADJ 
segments, NOUN 

, SPACE 
slowly, ADV 
thawed, VERB 
room, NOUN 
temperature, NOUN 
different, ADJ 
stages, NOUN 

, SPACE 
sample, NOUN 
preparation, NOUN 
bones, NOUN 
kept, VERB 
moist, NOUN 
refrigerated, VERB 

, SPACE 
4, NUM 
°, NUM 
C, NOUN 

, SPACE 
Micro, PROPN 
CT, PROPN 
structural, ADJ 
analysis, NOUN 

, SPACE 
femora, NOUN 
23, NUM 
femoral, ADJ 
segments, NOUN 
scanned, VERB 

, SPACE 
micro, ADJ 
CT, ADJ 
device, NOUN 
eXplore, PROPN 
locus, NOUN 
SP, PROPN 
General, PROPN 
Electric, PROPN 
USA, PROPN 
Sixteen, NUM 

, SPACE 
micrometer, NOUN 
voxel, ADJ 
size, NOUN 
scans, NOUN 
acquired, VERB 
X, NOUN 
ray, NOUN 
source, NOUN 
set, VERB 

, SPACE 
80, NUM 
kV, NUM 
80, NUM 
μA., NUM 
720, NUM 
projections, NOUN 
acquired, VERB 
angular, ADJ 

, SPACE 
range, NOUN 
360, NUM 
°, NUM 
image, NOUN 
slices, NOUN 
reconstructed, VERB 
customsoftware, NOUN 
Microview, PROPN 
reconstruction, NOUN 
software, NOUN 
version, NOUN 
5.2.2, NUM 

, SPACE 
analysis, NOUN 
scans, NOUN 
reoriented, VERB 
order, NOUN 
uniformly, ADV 
align, VERB 
scan, ADJ 

, SPACE 
axes, NOUN 
anatomical, ADJ 
position, NOUN 
i.e., ADV 
proximal, ADJ 
distal, ADJ 
dorsal, NOUN 
ventral, ADJ 

, SPACE 
medial, ADJ 
lateral, ADJ 

, SPACE 
femora, NOUN 
Analysis, NOUN 
cortical, ADJ 
bone, NOUN 
performed, VERB 

, SPACE 
0.5, NUM 
mm, NOUN 
long, ADJ 
transverse, ADJ 
section, NOUN 
diaphysis, NOUN 
femur(approximately, ADV 
30, NUM 
slices, NOUN 
adjacent, ADJ 
distal, ADJ 
trochanter, ADV 

, SPACE 
Fig, PROPN 
1, NUM 
cross, ADJ 
sectional, ADJ 
moment, NOUN 
inertia, NOUN 
CSMI, PROPN 

, SPACE 
determined, VERB 

, SPACE 
Femoral, PROPN 
segments, NOUN 
Analysis, NOUN 
cortical, ADJ 
bone, NOUN 
performed, VERB 

, SPACE 
16μm, NOUN 
segment, NOUN 
height, NOUN 
∼2, PROPN 
mm, PROPN 
scan, NOUN 
provided, VERB 

, SPACE 
mean, VERB 
cross, ADJ 
sectional, ADJ 
area, NOUN 
segment, NOUN 
length, NOUN 

, SPACE 
Mechanical, ADJ 
testing, NOUN 
setup, NOUN 
loading, NOUN 
scheme, NOUN 

, SPACE 
thin, ADJ 
coat, NOUN 
white, PROPN 
waterproof, PROPN 
paint, NOUN 
applied, VERB 
diaphyseal, ADJ 

, SPACE 
bone, NOUN 
segments, NOUN 
spraying, VERB 
order, NOUN 
increase, VERB 
intensity, NOUN 
light, NOUN 

, SPACE 
reﬂected, VERB 
samples, NOUN 
4, NUM 

 , SPACE 
4,45, NUM 
thin, ADJ 
layer, NOUN 
∼0.5, VERB 
mm, PROPN 
dental, ADJ 

, SPACE 
composite, ADJ 
Z100, PROPN 
3, NUM 
M, PROPN 
ESPE, PROPN 
placed, VERB 
lower, ADJ 
stationary)85, PROPN 
N.L.-T., PROPN 
Chattah, PROPN 
et, PROPN 
al, PROPN 
Bone, NOUN 
45, NUM 
2009, NUM 
84, NUM 
90, NUM 

, SPACE 
anvil, NOUN 
segment, NOUN 
mounted, VERB 
distal, ADJ 
cross-, NUM 

, SPACE 
section, NOUN 
rested, VERB 
composite, NOUN 
medial, ADJ 
surface, NOUN 
facing, VERB 

, SPACE 
CCD, PROPN 
camera, NOUN 
ESPI, PROPN 
Fig, PROPN 
1, NUM 
B, PROPN 
composite, NOUN 
cured, VERB 

, SPACE 
exposure, NOUN 
blue, ADJ 
light, NOUN 
60, NUM 
s, NOUN 
LITEX, PROPN 
682, NUM 
Dentamerica, PROPN 
USA, PROPN 
Asecond, PROPN 
layer, NOUN 
dental, ADJ 
composite, NOUN 
placed, VERB 
upper, ADJ 
anvil, NOUN 

, SPACE 
lowered, VERB 
proximal, ADJ 
cross, NOUN 
section, NOUN 
segment, NOUN 

, SPACE 
brought, VERB 
contact, NOUN 
uncured, ADJ 
composite, NOUN 
dental, ADJ 

, SPACE 
composite, NOUN 
enveloped, VERB 
edge, NOUN 
trochanter, ADV 

, SPACE 
cured, VERB 
60, NUM 
s., NOUN 
composite, NOUN 
cured, VERB 
upper, ADJ 
mobile, ADJ 

, SPACE 
upper, ADJ 
anvil, NOUN 
lowered, VERB 
pre, ADJ 
load, ADJ 
compression, NOUN 

, SPACE 
∼3.5–4.5, NOUN 
N, PROPN 
reached, VERB 
Finally, ADV 
test, NOUN 
chamber, PROPN 
ﬁtted, VERB 

, SPACE 
high, ADJ 
grade, NOUN 
glass, NOUN 
window, NOUN 
BK-7, PRON 
λ/10, ADJ 
grade, NOUN 
ﬁlled, VERB 
water, NOUN 

, SPACE 
Fig, PROPN 
1, NUM 
B, PROPN 
Water, NOUN 
major, ADJ 
component, NOUN 
mineralized, VERB 
tissues, NOUN 

, SPACE 
bones, NOUN 
testing, VERB 
bone, NOUN 
samples, NOUN 
submerged, VERB 
water, NOUN 
maintainsthe, NOUN 
biomechanical, ADJ 
properties, NOUN 
bone, NOUN 
material, NOUN 
known, VERB 

, SPACE 
compromised, VERB 
drying, VERB 
subsequent, ADJ 
microcracking, NOUN 
30,45, NUM 

, SPACE 
segment, NOUN 
loaded, VERB 
axially, ADV 
incrementally, ADV 
compression, NOUN 

, SPACE 
custom, ADV 
designed, VERB 
mechanical, ADJ 
tension, NOUN 
compression, NOUN 
device, NOUN 

, SPACE 
33, NUM 
