ORIGINAL, PROPN 
antibodies, NOUN 
directed, VERB 
specific, ADJ 
neuronal, ADJ 
markershas, PROPN 
performed, VERB 
cellular, ADJ 
level, NOUN 
bone, NOUN 
thedistribution, NOUN 
nerve, NOUN 
fibers, NOUN 
direct, ADJ 
vicinity, NOUN 
bone, NOUN 
cells, NOUN 
isstill, VERB 
known, ADJ 

, SPACE 
Glutamate, PROPN 
Glu, PROPN 
major, ADJ 
neuromediator, NOUN 
central, ADJ 

, SPACE 
peripheral, ADJ 
nervous, ADJ 
system, NOUN 

, SPACE 
26The, INTJ 
recent, ADJ 
identification, NOUN 

, SPACE 
neuronal, ADJ 
glutamate, ADJ 
transporter, NOUN 
bone,25as, NOUN 
demon-, ADJ 

, SPACE 
stration, NOUN 
expression, NOUN 
different, ADJ 
subtypes, NOUN 
Glu, PROPN 
receptorsby, VERB 
bone, NOUN 
resorbing, VERB 
osteoclasts, NOUN 
bone, NOUN 
forming, VERB 
osteo, ADJ 
blasts, NOUN 

, SPACE 
7,31suggest, NUM 
Glu, PROPN 
important, ADJ 
local, ADJ 
regulator, NOUN 

, SPACE 
ofbonecellfunctions, NOUN 
TheoriginofGluinboneisunknown, PROPN 
andone, ADJ 
hypothesis, NOUN 
presence, NOUN 
innervation, NOUN 
thistissue, NOUN 
Clinical, ADJ 
observations, NOUN 

, SPACE 
10,11,15as, NUM 
experimental, ADJ 

, SPACE 
vitro, X 
studies,4,18,20,22,23have, PROPN 
established, VERB 
involve-, ADJ 

, SPACE 
ment, NOUN 
peripheral, ADJ 
nervous, ADJ 
system, NOUN 
regulation, NOUN 
bonedevelopment, NOUN 
bone, NOUN 
remodeling, NOUN 

, SPACE 
purpose, NOUN 
study, NOUN 
examine, VERB 
anatomical, ADJ 

, SPACE 
distribution, NOUN 
nerve, NOUN 
fibers, NOUN 
bone, NOUN 
identify, VERB 
Glu, PROPN 
immu, NOUN 
noreactive, NOUN 
fibers, NOUN 
immunocytochemistry, NOUN 
long, ADJ 
bonesections, NOUN 
neonatal, ADJ 
15-, NUM 
25, NUM 
day, NOUN 
old, ADJ 
rats, NOUN 
antibodiesdirected, VERB 
specific, ADJ 
neuronal, ADJ 
markers, NOUN 
Glu, PROPN 
Wehave, PROPN 
demonstrated, VERB 
presence, NOUN 
dense, ADJ 
network, NOUN 
nerveprocesses, NOUN 
vicinity, NOUN 
bone, NOUN 
cells, NOUN 
containedGlu, PROPN 
suggestingtheexistenceofaglutamatergicinnervationinbone, NOUN 

, SPACE 
Materials, PROPN 
Methods, PROPN 

, SPACE 
Animals, PROPN 
Tissue, PROPN 
ProcessingNeonatal, PROPN 
hours, NOUN 
15-, X 
25, NUM 
day, NOUN 
old, ADJ 
Wistar, PROPN 
rats, NOUN 

, SPACE 
forthisstudy, NOUN 
Animalswerekilled, VERB 
tibiaandfemurswererapidlyexcised, VERB 
roughly, ADV 
cleaned, VERB 
adherent, NOUN 
tissues, NOUN 
immediatelyimmersed, VERB 
1, NUM 
glutaraldehyde, NOUN 
0.1, NUM 
M, PROPN 
sodium, NOUN 
cacodylatebuffer, NOUN 
pH, NUM 
7.3, NUM 
Bones, NOUN 
cut, VERB 
transversely, ADV 
diaphysislevel, NOUN 
longitudinally, ADV 
fixed, VERB 
24, NUM 
h., NOUN 

, SPACE 
27After, NOUN 

, SPACE 
washings, NOUN 
sodium, NOUN 
cacodylate, NOUN 
buffer, NOUN 
specimens, NOUN 
post, ADJ 
fixedwithpotassiumferrocyanide, ADJ 
reducedosmiumtetroxydefor2h, NOUN 

, SPACE 
30Undecalcified, VERB 
samples, NOUN 
immediately, ADV 
dehydrated, VERB 

, SPACE 
graded, VERB 
ethanol, NOUN 
series, NOUN 
embedded, VERB 
Epon, PROPN 
whereassome, SCONJ 
samples, NOUN 
partially, ADV 
decalcified, VERB 
4.13, NUM 
disodiumethylenediamine, NOUN 
tetra, ADJ 
acetic, ADJ 
acid, NOUN 
EDTA, PROPN 
5, NUM 
days, NOUN 

, SPACE 
35before, NUM 

, SPACE 
dehydration, NOUN 
embedding, VERB 
Epon, PROPN 

, SPACE 
Semithinsections(0.8–1, NOUN 
mm)werecutonaReichertUltracut, PROPN 

, SPACE 
E, PROPN 
Microtome, PROPN 
Leica, PROPN 
Leitz, PROPN 
Austria, PROPN 
sections, NOUN 
stainedwith, ADP 
azur, PROPN 
methylene, NOUN 
blue, NOUN 
enable, VERB 
selection, NOUN 
samples, NOUN 
forAddress, ADJ 
correspondence, NOUN 
reprints, NOUN 
Dr., PROPN 
C., PROPN 
Chenu, PROPN 
INSERM, PROPN 
Unit, PROPN 

, SPACE 
403, NUM 
Hoˆpital, PROPN 
E., PROPN 
HERRIOT, PROPN 
Pavillon, PROPN 
F, PROPN 
69, NUM 
437, NUM 
Lyon, PROPN 
Cedex, PROPN 
03, NUM 
France, PROPN 

, SPACE 
E, NOUN 
mail, NOUN 
chenu@lyon151.inserm.fr, X 

, SPACE 
Bone, PROPN 
Vol, PROPN 
25, NUM 
6, NUM 

, SPACE 
December, PROPN 
1999:623–629, NUM 

, SPACE 
623, NUM 
©, NOUN 
1999, NUM 
Elsevier, ADJ 
Science, PROPN 
Inc., PROPN 
8756, NUM 
3282/99/$20.00, PROPN 

, SPACE 
rights, NOUN 
reserved, VERB 
PII, PROPN 
S8756, PROPN 
3282(99)00215, NUM 
X, NOUN 

, SPACE 
immunocytochemistry, NOUN 
tissue, NOUN 
cellular, ADJ 
levels, NOUN 

, SPACE 
transmission, NOUN 
electron, NOUN 
microscopy, NOUN 
TEM, PROPN 

, SPACE 
TEM, PROPN 
thin, ADJ 
sections, NOUN 
80, NUM 
nm, NOUN 
100, NUM 
nm, NOUN 
cut, VERB 

, SPACE 
stained, VERB 
uranyl, NOUN 
acetate, NOUN 
lead, ADJ 
citrate, NOUN 
Sections, NOUN 
ex, VERB 
amined, VERB 
Jeol, PROPN 
1200EX, PROPN 
electron, NOUN 
microscope, NOUN 
Jeol, PROPN 
Ltd., PROPN 
,Akishina, PROPN 
Tokyo, PROPN 
Japan, PROPN 
80, NUM 
kV., PROPN 

, SPACE 
Immunocytochemistry, PROPN 

, SPACE 
Antibodies, NOUN 
monoclonal, NOUN 
antibodies, VERB 
directed, VERB 
neuro-, NOUN 

, SPACE 
filament, NOUN 
200, NUM 
NF, PROPN 
200, NUM 
synaptophysin, NOUN 
microtubule, NOUN 
sociated, VERB 
protein-2, NOUN 
MAP2, PROPN 
obtained, VERB 
Sigma, PROPN 
St, PROPN 
Louis, PROPN 
MO, PROPN 
rabbit, NOUN 
anti, ADJ 
tyrosine, ADJ 
hydroxylase, NOUN 
TH, PROPN 
anti, ADJ 
gluta, ADJ 
mate, NOUN 
polyclonal, ADJ 
antibodies, NOUN 
purchased, VERB 
Chemicon, PROPN 
Te, PROPN 
mecula, PROPN 
antibody, NOUN 
study, NOUN 
recognizes, VERB 
freeGlu, NOUN 
polyclonal, ADJ 
antibody, NOUN 
directed, VERB 
human, PROPN 
aI, NUM 
1, NUM 

, SPACE 
carboxy, NOUN 
telopeptide, NOUN 
type, NOUN 
collagen, PROPN 
LF-67, PROPN 
provided, VERB 
byDr, PROPN 
L., PROPN 
Fisher, PROPN 
NIH, PROPN 
Besthesda, PROPN 
MD, PROPN 
polyclonal, ADJ 
antibodydirected, VERB 
rat, PROPN 
type, NOUN 
III, PROPN 
collagen, NOUN 
given, VERB 
Dr., PROPN 
Hartmann(Novotec, PROPN 
Lyon, PROPN 
France, PROPN 
anti, ADJ 
VIP, ADJ 
polyclonal, ADJ 
antibody, NOUN 
wasa, VERB 
gift, NOUN 
Dr., PROPN 
J., PROPN 
L., PROPN 
Saffar, PROPN 
Paris, PROPN 
France, PROPN 
Controls, NOUN 
wereperformed, VERB 
monoclonal, NOUN 
antibody, NOUN 
directed, VERB 
theKappa, PROPN 
chains, NOUN 
immunoglobulins, NOUN 
MOPC21, NOUN 
purified, VERB 
immu, NOUN 
noglobulins, NOUN 
G, NOUN 
nonimmune, ADJ 
rabbit, NOUN 
serum, NOUN 
Semithin, NOUN 
sections, NOUN 
Sections, NOUN 
decalcified, VERB 
samples, NOUN 

, SPACE 
laid, VERB 
sylanized, VERB 
slides, NOUN 
aminopropyltriethoxyalsilane, NOUN 
2, NUM 
inacetone, NOUN 
dried, VERB 
overnight, ADV 
37, NUM 
°, NUM 
C, NOUN 
Epon, PROPN 
removed, VERB 
with13.3, ADP 
w, NOUN 
v, NOUN 
potassium, NOUN 
hydroxide, ADV 
methanol, NOUN 
propyleneoxyde, NOUN 
2/1, NUM 
mixture, NOUN 
rehydrated, VERB 
Sections, NOUN 
treated, VERB 
20min, NOUN 
100, NUM 
mM, NUM 
glycine, NOUN 
50, NUM 
mM, NUM 
ammonium, NOUN 
chloride, PROPN 
inTris, PROPN 
buffer, PROPN 
pH, PRON 
7.6, NUM 
order, NOUN 
saturate, VERB 
free, ADJ 
aldehydic, ADJ 
groups, NOUN 
Endogenous, ADJ 
peroxydase, NOUN 
activity, NOUN 
inhibited, VERB 
incubation, NOUN 
for15, PROPN 
min, NOUN 
1, NUM 
sodium, NOUN 
azide, NOUN 
1.5, NUM 
H, NOUN 

, SPACE 
2O2, NUM 
50, NUM 
methanol, NOUN 

, SPACE 
nonspecific, ADJ 
immunoreactions, NOUN 
blocked, VERB 
30, NUM 
min, NOUN 

, SPACE 
10, NUM 
normal, ADJ 
goat, NOUN 
serum, PROPN 
NGS, PROPN 
Tris, PROPN 
buffer, VERB 
saline, NOUN 
TBS)containing, VERB 
0.01, NUM 
bovine, NOUN 
serum, PROPN 
albumin, NOUN 
BSA, PROPN 
according, VERB 
toIngram, PROPN 
et, NOUN 
al, PROPN 

, SPACE 
21Sections, NOUN 
incubated, VERB 
overnight, ADV 
primary, ADJ 

, SPACE 
antibodies, NOUN 
diluted, VERB 
TBS, PROPN 
containing, VERB 
1, NUM 
NGS, PROPN 
dilutions, NOUN 
ofantibodies, VERB 
anti, ADJ 
NF200, PROPN 
30, NUM 
mg, PROPN 
mL, NUM 
anti, ADJ 
MAP2, PROPN 
1, NUM 
mg, PROPN 
mL, NUM 
anti-, PROPN 

, SPACE 
synaptophysin, NOUN 
6, NUM 
mg, PROPN 
mL, NUM 
anti, ADJ 
Glu, ADJ 
1/1000, NUM 
anti, ADJ 
TH, PROPN 
1/15000, NUM 

, SPACE 
anti, NOUN 
VIP, PROPN 
1/2000, NUM 
LF-67, PROPN 
1/5000, NUM 
anti, ADJ 
type, ADJ 
III, PROPN 
collagen, NOUN 
batch217, PROPN 
1/1000, NUM 
Control, NOUN 
sections, NOUN 
incubated, VERB 
nonimmunerabbit, ADJ 
serum, NOUN 
monoclonal, NOUN 
antibody, NOUN 
MOPC21, NOUN 
whichhas, NOUN 
known, VERB 
hapten, NOUN 
antigen, ADJ 
binding, VERB 
activity, NOUN 
Antigen, PROPN 
antibody, NOUN 
complexes, NOUN 
detected, VERB 
peroxydase, NOUN 
streptavi, NOUN 
din, NOUN 
system, NOUN 
Dako, PROPN 
Copenhagen, PROPN 
Denmark, PROPN 
revealed, VERB 
with3, PROPN 
39diaminobenzidinetetrahydrochloride(DAB)(Sigma)inTris, PROPN 

, SPACE 
buffer, NOUN 
containing, VERB 
0.01, NUM 
H, NOUN 

, SPACE 
2O2, NUM 
washings, NOUN 

, SPACE 
Figure, PROPN 
1, NUM 
Electron, PROPN 
micrographs, NOUN 
illustrating, VERB 

, SPACE 
nerve, NOUN 
fibers, NOUN 
nerve, NOUN 
processes, NOUN 
growing, VERB 
ratlong, ADJ 
bones, NOUN 
Distal, ADJ 
metaphysis, NOUN 
15, NUM 
day, NOUN 
oldrat, PROPN 
tibia, PROPN 
vicinity, NOUN 
afferent, ADJ 
vasculartree, NOUN 
large, ADJ 
nerve, NOUN 
bundle, NOUN 
containing, VERB 
anunmyelinatedaxon(arrow)linedwithaSchwanncell, PROPN 
S, PROPN 
associated, VERB 
afferent, ADJ 
vessel, NOUN 
AV).Inset, NOUN 
enlargement, NOUN 
showing, VERB 
structure, NOUN 
theaxon, PROPN 
microtubules, NOUN 
arrow, ADJ 
head, NOUN 
observed.(b, ADJ 
Endosteum, PROPN 
25, NUM 
day, NOUN 
old, ADJ 
rat, PROPN 
tibia, PROPN 
nervefiber, NOUN 
observed, VERB 
close, ADV 
osteoblast, ADJ 
Ob).Numerous, ADJ 
unmyelinated, ADJ 
axons, NOUN 
arrows, NOUN 
sur, PROPN 
roundedbyaSchwanncell(S1),whereasanotherSchwann, PROPN 
cell, NOUN 
S2, NOUN 
shows, VERB 
unique, ADJ 
myelinatedaxon, NOUN 
asterisk, NOUN 
c, X 
Borderline, NOUN 
metaph, NOUN 
ysis, NOUN 
diaphysis, NOUN 
15, NUM 
day, NOUN 
old, ADJ 
rat, PROPN 
tibia, PROPN 
Anunmyelinated, ADJ 
nerve, NOUN 
fiber, NOUN 
present, ADJ 
close, ADJ 
matopoı¨etic, NOUN 
cells, NOUN 
H, NOUN 
bone, NOUN 
marrow, NOUN 

, SPACE 
Schwann, PROPN 
cell, NOUN 
S, PROPN 
contains, VERB 
axons, NOUN 
ar, NOUN 
rows, NOUN 
d, X 
Metaphysis, PROPN 
neonatal, ADJ 
rat, NOUN 
femur, NOUN 
Athin, ADJ 
nerve, NOUN 
process, NOUN 
running, VERB 
hemato, PROPN 
poı¨eticcells(H)andshowsanenlargement(large, PROPN 

, SPACE 
arrow, NOUN 
vicinity, NOUN 
cells, NOUN 
e, NOUN 
Metaphysis, PROPN 
of15, PROPN 
day, NOUN 
old, ADJ 
rat, PROPN 
tibia, PROPN 
nerve, NOUN 
process, NOUN 
large, ADJ 
ar, NOUN 
row, NOUN 
containing, VERB 
microtubules, NOUN 
arrows, NOUN 
mi, NOUN 
crofilaments, NOUN 
arrow, ADJ 
head, NOUN 
observed, VERB 
contactwith, PROPN 
osteoblast, NOUN 
Ob).624, NOUN 
C., PROPN 
M., PROPN 
Serre, PROPN 
et, PROPN 
al, PROPN 
Bone, PROPN 
Vol, PROPN 
25, NUM 
6, NUM 

, SPACE 
Glu, PROPN 
containing, VERB 
nerve, NOUN 
processes, NOUN 
bone, NOUN 
December, PROPN 
1999:623–629, NUM 

, SPACE 
TBS, PROPN 
containing, VERB 
0.02, NUM 
Triton, PROPN 
X100, PROPN 
Sections, NOUN 
counter-, ADV 

, SPACE 
stainedwithMeyer’shematoxylin(diluted1:3indistilledwater),dehydrated, VERB 
mounted, VERB 
Xam, PROPN 
Gurr, PROPN 
BDH, PROPN 
Laboratory, PROPN 
Poole, PROPN 
UK, PROPN 

, SPACE 
Ultrathin, PROPN 
sections, NOUN 
Sections, NOUN 
decalcified, VERB 
undecalci-, ADJ 

, SPACE 
fied, ADJ 
samples, NOUN 
collected, VERB 
nickel, NOUN 
grids, NOUN 
covered, VERB 
aformwarfilm, NOUN 
Gridswerefloatedfor10minonadropof50mMglycine, PROPN 
0.05, NUM 
M, PROPN 
Tris, PROPN 
buffer, VERB 
pH, X 
7.4, NUM 
transferred, VERB 
30, NUM 
min, NOUN 
ona, NOUN 
drop, NOUN 
Tris, PROPN 
buffer, NOUN 
containing, VERB 
1, NUM 
BSA, NOUN 
1, NUM 
NGS, PROPN 
thenincubated, VERB 
90, NUM 
min, NOUN 
room, NOUN 
temperature, NOUN 
drop, NOUN 

, SPACE 
specific, ADJ 
primary, NOUN 
antibodies, NOUN 
dilutions, NOUN 
antibodies, NOUN 
anti, ADJ 
NF200, PROPN 
60, NUM 
mg, PROPN 
mL, NUM 
anti, ADJ 
MAP2, PROPN 
1, NUM 
mg, PROPN 
mL, NUM 
anti, ADJ 
TH, PROPN 
1/5000, NUM 

, SPACE 
anti, ADJ 
Glu, ADJ 
1/500, NUM 
incubation, NOUN 
sections, NOUN 
rinsed, VERB 
ondrops, NOUN 
Tris, PROPN 
buffer, PROPN 
BSA, PROPN 
placed, VERB 
biotinyled, VERB 
anti, ADJ 
mouse, ADJ 
oranti, ADJ 
rabbit, NOUN 
antibodies, NOUN 
dilution, NOUN 
1/300, NUM 
Tris, PROPN 
buffer, PROPN 
BSA, PROPN 
pH7.4, PROPN 
laid, VERB 
gold, NOUN 
streptavidin, NOUN 
Jansen, PROPN 
Tebu, PROPN 
France, PROPN 
atpH, NOUN 
8.2, NUM 
careful, ADJ 
washing, NOUN 
grids, NOUN 
transferred, VERB 
1%glutaraldehyde, NUM 
rinsed, VERB 
distilled, ADJ 
water, NOUN 
conventionally, ADV 

, SPACE 
Figure, NOUN 
2, NUM 
Immunohistochemical, ADJ 
local-, ADJ 

, SPACE 
ization, NOUN 
nerve, NOUN 
markers, NOUN 
longbones, NOUN 
growing, VERB 
rats, NOUN 
Metaphysis, PROPN 
ofneonatalratfemur, ADJ 
NF200, NOUN 
positivenerveprocesses, NOUN 
arrows, NOUN 
showing, VERB 
local, ADJ 
en, NOUN 
largements, NOUN 
arrow, NOUN 
heads, NOUN 
runningalong, PROPN 
bone, NOUN 
trabaeculae, NOUN 
t, PROPN 
vessels(V, PROPN 
close, ADJ 
bone, NOUN 
cells, NOUN 
Oc, X 
osteoclast, ADJ 
Ob, NOUN 
osteoblast, NOUN 
hemato, PROPN 
poı¨etic, ADJ 
cells, NOUN 
H, NOUN 
Original, ADJ 
magnification, NOUN 

, SPACE 
31000, NUM 
b, X 
Deep, ADJ 
metaphysis, NOUN 
neonatal, ADJ 

, SPACE 
rat, NOUN 
femur, NOUN 
level, NOUN 
afferent, NOUN 
ves, NOUN 
sel, NOUN 
Tyrosine, NOUN 
hydroxylase, NOUN 
present, ADJ 
inthese, ADJ 
nerve, NOUN 
processes, NOUN 
arrows, NOUN 
showinglocal, ADJ 
dilatations, NOUN 
arrow, NOUN 
heads, NOUN 
contactwith, ADJ 
hematopoı, NOUN 
¨etic, ADJ 
cells, NOUN 
H, NOUN 
Oc, X 
oste-, X 

, SPACE 
oclast, NOUN 
Original, ADJ 
magnification, NOUN 
31500, NUM 

, SPACE 
c, NOUN 
Deep, ADJ 
metaphysis, NOUN 
neonatal, PROPN 
rat, PROPN 
fe, PROPN 
mur, PROPN 
MAP2, PROPN 
positive, ADJ 
nerve, NOUN 
processesshowing, VERB 
dilatations, NOUN 
arrow, NOUN 
heads, NOUN 
con, NOUN 
tact, NOUN 
hematopoı, ADJ 
¨etic, ADJ 
cells, NOUN 
H, NOUN 
os-, ADP 

, SPACE 
teoclasts, NOUN 
Oc, PROPN 
Original, ADJ 
magnification:31000, NOUN 
d, X 
Diaphysis, NOUN 
15, NUM 
day, NOUN 
old, ADJ 
rat, NOUN 

, SPACE 
tibia, PROPN 
NF200, PROPN 
present, ADJ 
nerve, NOUN 
endings(arrow, PROPN 
heads, NOUN 
contact, NOUN 
hematopoı, NOUN 
¨-, PROPN 

, SPACE 
etic, ADJ 
cells, NOUN 
H, NOUN 
Original, ADJ 
magnification:31000, NOUN 

, SPACE 
Figure, PROPN 
3, NUM 
Immunolabelings, NOUN 
NF, PROPN 
200, NUM 

, SPACE 
type, VERB 
III, PROPN 
collagen, NOUN 
mutuallyexclusive, ADJ 
long, ADJ 
bone, NOUN 
sections, NOUN 
and(b, SYM 
Consecutive, ADJ 
sections, NOUN 
neonatal, ADJ 
ratfemur, NOUN 
metaphysis, NOUN 
Type, NOUN 
collagen, VERB 
a)is, PROPN 
visualized, VERB 
bone, NOUN 
matrix, NOUN 
osteoblasts(Ob, ADV 
preosteoblasts, VERB 
POb, NOUN 
arrows).NF200, NOUN 
positive, ADJ 
nerve, NOUN 
processes, NOUN 
b, X 
arerunning, VERB 
bone, NOUN 
marrow, NOUN 
close, ADJ 
osteo, ADJ 
blasts, NOUN 
Ob, NOUN 
hematopoı, VERB 
¨etic, ADJ 
cells, NOUN 
H, NOUN 

, SPACE 
vessels, NOUN 
arrow, NOUN 
heads, NOUN 
labellingprofileobtainedin(b)iscompletelydis, NUM 
tinct, NOUN 
obtained, VERB 
Originalmagnification, NOUN 
31000, NUM 
c, NOUN 
d, X 
Con-, PROPN 

, SPACE 
secutive, ADJ 
sections, NOUN 
neonatal, ADJ 
rat, PROPN 
femur(metaphysis, PROPN 
Type, PROPN 
III, PROPN 
collagen, NOUN 
c, NOUN 
isobserved, VERB 
remaining, VERB 
cartilage, NOUN 
ma, NOUN 
trix, NOUN 
bone, NOUN 
trabeculae, NOUN 
double, ADJ 
ar, NOUN 
row, NOUN 
collagen, NOUN 
fibrils, NOUN 
bonemarrow, NOUN 
arrows, NOUN 
NF200, PROPN 
positive, ADJ 
nerveprocesses(arrowheads)arelocatednearbonecellsandvessels, NOUN 
Thelabelingpro, PROPN 
fileobtainedin(d)iscompletelydistinctfrom, NOUN 
obtained, VERB 
c, NOUN 
Original, ADJ 
mag, ADJ 
nification, NOUN 
3400.625, NUM 
Bone, PROPN 
Vol, PROPN 
25, NUM 
6, NUM 
C., PROPN 
M., PROPN 
Serre, PROPN 
et, PROPN 
al, PROPN 

, SPACE 
December, PROPN 
1999:623–629, NUM 
Glu, PROPN 
containing, VERB 
nerve, NOUN 
processes, NOUN 
bone, NOUN 

, SPACE 
stainedwithuranylacetateandleadcitratebeforeexamination, NOUN 

, SPACE 
TEM, PROPN 

, SPACE 
semithin, NOUN 
sections, NOUN 
decalcified, VERB 
samples, NOUN 
im-, ADJ 

, SPACE 
munolabeled, VERB 
NF200, PROPN 
Meyer, PROPN 
hematoxylin, PROPN 
counter, PROPN 
staining, ADJ 
Thesesectionsweredehydratedinethanol, PROPN 
impregnatedwith, ADP 
mixture, NOUN 
propylene, ADJ 
oxyde, PROPN 
Epon, PROPN 
v, NOUN 
v, NOUN 
embeddedin, ADJ 
Epon, PROPN 
Ultrathin, ADJ 
sections, NOUN 
cut, VERB 
observed, VERB 
withoutcounterstaining, NOUN 

, SPACE 
Results, NOUN 

, SPACE 
Localization, PROPN 
Nerve, PROPN 
Fibers, PROPN 
Long, ADJ 
Bones, NOUN 
Growing, PROPN 
RatsElectron, PROPN 
microscopy, ADJ 
studies, NOUN 
long, ADJ 
bones, NOUN 
neonatal, ADJ 
