Pergamon, PROPN 
Fig, PROPN 
1, NUM 
PCDD, ADJ 
distribution, NOUN 
Humber, PROPN 
Estuary, PROPN 
expressed, VERB 

, SPACE 
Pl3, NOUN 
g-, PROPN 
pg, PROPN 
g, PROPN 
lipid, NOUN 
basis, NOUN 
b, X 
PCDF, PROPN 
distribution, NOUN 

, SPACE 
Humber, PROPN 
Estuary, PROPN 
expressed, VERB 
pg, PROPN 
g-, NOUN 
pg, PROPN 
g-, PROPN 
lipid, NOUN 
basis, NOUN 

, SPACE 
washed, VERB 
Whatman, PROPN 
GF, PROPN 
F, PROPN 
filters, NOUN 
glass, NOUN 

, SPACE 
apparatus, NOUN 
100, NUM 
290, NUM 
mg, PROPN 
collected, VERB 

, SPACE 
method, NOUN 
Filters, NOUN 
stored, VERB 
hexane, NOUN 
washed, VERB 
foil, NOUN 

, SPACE 
wraps, NOUN 
samples, NOUN 
stored, VERB 
dark, NOUN 
-20, SYM 
°, NUM 
C, NOUN 

, SPACE 
prior, ADV 
analysis, NOUN 

, SPACE 
Analysis, PROPN 

, SPACE 
Chlorinated, VERB 
organic, ADJ 
compound, NOUN 
analysis, NOUN 
carried, VERB 

, SPACE 
established, VERB 
GC, PROPN 
MS, PROPN 
methods, NOUN 
Pettit, PROPN 
et, PROPN 
al, PROPN 

, SPACE 
1990, NUM 
accordance, NOUN 
agreed, VERB 
acceptance, NOUN 
criteria, NOUN 
quality, NOUN 
controls, NOUN 
PCDD, PROPN 
DF, PROPN 
analysis, NOUN 
Ambidge, PROPN 
et, PROPN 
al, PROPN 

, SPACE 
1990, NUM 
Sediments, NOUN 
sieved, VERB 
1, NUM 
mm, NOUN 
mesh, NOUN 

, SPACE 
oven, PROPN 
dried, VERB 
40, NUM 
°, NOUN 
C, NOUN 
prior, ADV 
analysis, NOUN 
analytical, ADJ 

, SPACE 
methodologies, NOUN 
found, VERB 
Tyler, PROPN 
et, PROPN 
al, PROPN 
1994, NUM 
17, NUM 

, SPACE 
2,3,7,8, NUM 
substituted, VERB 
PCDD, PROPN 
PCDF, PROPN 
congeners, NOUN 

, SPACE 
quantified, VERB 
homolog, NOUN 
totals, NOUN 
tetra-, NUM 

, SPACE 
octa-, VERB 
Total, ADJ 
PCB, NOUN 
concentration, NOUN 
ICES, PROPN 
7, NUM 

, SPACE 
congeners, NOUN 
IUPAC, NOUN 
numbers, NOUN 
28, NUM 
52, NUM 
101, NUM 
118, NUM 
153, NUM 
138, NUM 

, SPACE 
180, NUM 
resolved, VERB 
procedural, ADJ 
blind, ADJ 

, SPACE 
analyses, NOUN 
submitted, VERB 
analysis, NOUN 

, SPACE 
398, NUM 

, SPACE 
Volume, NOUN 
32, NUM 
Number, PROPN 
S, PROPN 
1996, NUM 

, SPACE 
TABLE, PROPN 
1, NUM 

, SPACE 
Mean, PROPN 
standard, ADJ 
deviations, NOUN 
samples, NOUN 
analysed, VERB 
quadruplicate, NOUN 

, SPACE 
Homologue, PROPN 
Mean, PROPN 
Sample, PROPN 
13, NUM 
pg, PROPN 
g-, X 

, SPACE 
SD, NOUN 
SD, NOUN 
Mean, PROPN 
Sample, PROPN 
I6, PROPN 
pg, PROPN 
g-, X 

, SPACE 
SD, NOUN 
SD, NOUN 

, SPACE 
2378, NUM 
TCDD, NOUN 
7, NUM 
3, NUM 
43, NUM 
2, NUM 
1, NUM 
41, NUM 

, SPACE 
TCDD, NOUN 
370, NUM 
54, NUM 
15, NUM 
237, NUM 
51, NUM 
21, NUM 

, SPACE 
PeCDD, PROPN 
212, NUM 
26, NUM 
12, NUM 
149, NUM 
17, NUM 
11, NUM 

, SPACE 
HxCDD, NOUN 
110, NUM 
16, NUM 
14, NUM 
77, NUM 
12, NUM 
16, NUM 

, SPACE 
HpCDD, PROPN 
302, NUM 
47, NUM 
16, NUM 
219, NUM 
47, NUM 
21, NUM 

, SPACE 
OCDD, PROPN 
1775, NUM 
64, NUM 
3, NUM 
1231, NUM 
148, NUM 
12, NUM 

, SPACE 
TCDF, PROPN 
137, NUM 
14, NUM 
10, NUM 
99, NUM 
21, NUM 
21, NUM 

, SPACE 
PeCDF, NOUN 
277, NUM 
35, NUM 
13, NUM 
182, NUM 
53, NUM 
29, NUM 

, SPACE 
HxCDF, NUM 
114, NUM 
13, NUM 
12, NUM 
79, NUM 
10, NUM 
13, NUM 

, SPACE 
HpCDF, NOUN 
97, NUM 
25, NUM 
25, NUM 
75, NUM 
10, NUM 
14, NUM 

, SPACE 
OCDF, PROPN 
427, NUM 
12, NUM 
3, NUM 
303, NUM 
49, NUM 
16, NUM 

, SPACE 
PCDD, PROPN 
2777, NUM 
104, NUM 
4, NUM 
1915, NUM 
210, NUM 
11, NUM 

, SPACE 
PCDF, PROPN 
1054, NUM 
67, NUM 
6, NUM 
738, NUM 
65, NUM 
9, NUM 

, SPACE 
PCDD, PROPN 
DF, PROPN 
3831, NUM 
163, NUM 
4, NUM 
2654, NUM 
255, NUM 
10, NUM 

, SPACE 
TEQ, PROPN 
24, NUM 
5, NUM 
19, NUM 
14, NUM 
2, NUM 
11, NUM 

, SPACE 
Total, ADJ 
PCB, NOUN 
72, NUM 
13, NUM 
17, NUM 
53, NUM 
7, NUM 
13, NUM 

, SPACE 
reported, VERB 
mean, ADJ 
standard, ADJ 
deviation, NOUN 

, SPACE 
replicates, NOUN 
Table, PROPN 
1, NUM 

, SPACE 
Apolar, ADJ 
lipid, NOUN 
content, NOUN 
defined, VERB 
operationally, ADV 

, SPACE 
fraction, NOUN 
partitioning, VERB 
phase, NOUN 
acetonehexane, NOUN 

, SPACE 
system, NOUN 
determined, VERB 
sediments, NOUN 
collected, VERB 

, SPACE 
1993, NUM 
survey, NOUN 
following, VERB 
established, VERB 
method, NOUN 

, SPACE 
Delbeke, PROPN 
et, PROPN 
al, PROPN 
1990, NUM 
Sediments, NOUN 
washed, VERB 

, SPACE 
Milli, PROPN 
Q, PROPN 
water, NOUN 
remove, VERB 
salt, NOUN 
dried, VERB 
low, ADJ 

, SPACE 
temperature, NOUN 
Samples, NOUN 
extracted, VERB 
5, NUM 
h, NOUN 

, SPACE 
10, NUM 
acetone, NOUN 
n, NOUN 
hexane, NOUN 
Lipid, NOUN 
content, NOUN 
determined, VERB 

, SPACE 
gravimetrically, ADV 
following, VERB 
removal, NOUN 
polar, ADJ 
extract, NOUN 

, SPACE 
Reproducibility, PROPN 
replicate, ADJ 
samples, NOUN 
found, VERB 

, SPACE 
better, ADJ 
9, NUM 
sample, NOUN 
runs, NOUN 

, SPACE 
Laboratory, NOUN 
experiments, NOUN 

, SPACE 
investigate, VERB 
partitioning, VERB 
behaviour, NOUN 
dioxins, NOUN 

, SPACE 
PCBs, NOUN 
Humber, PROPN 
Estuary, PROPN 
series, NOUN 
mixing, VERB 

, SPACE 
experiments, NOUN 
conducted, VERB 
14C, ADJ 
labelled, VERB 
com-, NOUN 

, SPACE 
pounds, NOUN 
Turner, PROPN 
Tyler, PROPN 
1995, NUM 
experiments, NOUN 
allow, VERB 

, SPACE 
partitioning, VERB 
behaviour, NOUN 
studied, VERB 
carefully, ADV 

, SPACE 
controlled, VERB 
conditions, NOUN 
difficulties, NOUN 
encoun-, AUX 

, SPACE 
tered, VERB 
determining, VERB 
concentrations, NOUN 
analytically, ADV 

, SPACE 
experiments, NOUN 
conducted, VERB 
river, NOUN 

, SPACE 
marine, PROPN 
end, NOUN 
member, NOUN 
samples, NOUN 
containing, VERB 
SPM, NOUN 
taken, VERB 

, SPACE 
River, PROPN 
Ouse, PROPN 
Humber, PROPN 
Estuary, PROPN 
simulated, ADJ 

, SPACE 
estuarine, NOUN 
gradient, NOUN 
obtained, VERB 
admixing, VERB 
end, NOUN 

, SPACE 
member, NOUN 
samples, NOUN 
Radiolabelled, VERB 
2,2’,5,5’-tetra-, NUM 

, SPACE 
chlorobiphenyl, NOUN 
UL-‘4C, PROPN 
Sigma, PROPN 
Chemical, PROPN 
Co., PROPN 

, SPACE 
specific, ADJ 
activity, NOUN 
13.32, NUM 
mCi, NOUN 
mmol-, NOUN 
2,3,7,8, NUM 

, SPACE 
tetrachlorinated, VERB 
dibenzo, PROPN 
p, PROPN 
dioxin, NOUN 
UL-14C, PROPN 
Radian, PROPN 

, SPACE 
Corporation, PROPN 
specific, ADJ 
activity, NOUN 
33, NUM 
mCi, NOUN 
mmol-, NOUN 

, SPACE 
experiments, NOUN 
experiment, NOUN 
0.02, NUM 

, SPACE 
uCi, NOUN 
radiolabelled, ADJ 
compound, NOUN 
added, VERB 
solvent, NOUN 

, SPACE 
50, NUM 
ml, NOUN 
centrifuge, NOUN 
tube, NOUN 
Following, VERB 
evaporation, NOUN 

, SPACE 
solvent, NOUN 
20, NUM 
ml, NOUN 
sample, NOUN 
natural, ADJ 
water, NOUN 
added, VERB 

, SPACE 
tube, NOUN 
shaken, VERB 
12, NUM 
h., NOUN 
tube, NOUN 

, SPACE 
centrifuged, VERB 
30, NUM 
min, NOUN 
3000, NUM 
rpm, NOUN 
separate, VERB 

, SPACE 
suspended, VERB 
sediment, NOUN 
4, NUM 
ml, NOUN 
sample, NOUN 
dissolved, VERB 

, SPACE 
phase, NOUN 
removed, VERB 
added, VERB 
10, NUM 
ml, NOUN 
Ultima, PROPN 
Gold, PROPN 

, SPACE 
scintillation, NOUN 
cocktail, NOUN 
Canberra, PROPN 
Packard, PROPN 
particles, NOUN 

, SPACE 
resuspended, VERB 
flushed, VERB 
tube, NOUN 
tube, NOUN 

, SPACE 
shaken, VERB 
4, NUM 
ml, NOUN 
hexane, NOUN 
remove, VERB 
glass-, ADJ 
adsorped, VERB 
14C, NUM 
compound, NOUN 
millilitres, NOUN 
hexane, NOUN 

, SPACE 
added, VERB 
scintillant, NOUN 
samples, NOUN 

, SPACE 
counted, VERB 
Philips, PROPN 
4700, NUM 
scintillation, NOUN 
counter, NOUN 

, SPACE 
experiment, NOUN 
carried, VERB 
triplicate, NOUN 
quadruplicate, VERB 

, SPACE 
partition, NOUN 
coefficient, NOUN 
Ko, PROPN 
calculated, VERB 
mass, NOUN 

, SPACE 
balance, NOUN 
determination, NOUN 
dissolved, VERB 
phase, NOUN 

, SPACE 
oounts, NOUN 
CPM, PROPN 
loss, NOUN 
glass, NOUN 
recovery, NOUN 

, SPACE 
14C, NUM 
spike, NOUN 
method, NOUN 
typically, ADV 
>, X 
80, NUM 

, SPACE 
Results, NOUN 
Discussion, PROPN 

, SPACE 
Concentrations, NOUN 
distribution, NOUN 

, SPACE 
summary, NOUN 
analytical, ADJ 
results, NOUN 
given, VERB 
Table, PROPN 

, SPACE 
2, NUM 
sample, NOUN 
sites, NOUN 
referenced, VERB 
Fig, PROPN 
la, PROPN 
PCDD, PROPN 
DF, PROPN 

, SPACE 
analyses, NOUN 
summarized, VERB 
NATO, PROPN 
CCMS, PROPN 

, SPACE 
International, PROPN 
toxic, ADJ 
equivalent, ADJ 
factor, NOUN 
TEF, PROPN 
sums, VERB 

, SPACE 
17, NUM 
2,3,7,8, NUM 
substituted, VERB 
congeners, NOUN 
basis, NOUN 

, SPACE 
toxic, ADJ 
equivalence, NOUN 
2,3,7,8, NUM 
TCDD, NOUN 

, SPACE 
Total, PROPN 
PCDD, PROPN 
DF, NOUN 
concentrations, NOUN 
Estuary, PROPN 

, SPACE 
ranged, VERB 
non, ADJ 
detectable, ADJ 
3826, NUM 
pg, INTJ 
g-, X 
24.1, NUM 
pg, NOUN 

, SPACE 
g, PROPN 
TEQ, PROPN 
Generally, ADV 
concentrations, NOUN 
elevated, VERB 

, SPACE 
respect, NOUN 
background, NOUN 
concentrations, NOUN 
reported, VERB 

, SPACE 
literature, NOUN 
e.g., ADV 
total, ADJ 
PCDD, PROPN 
DF, PROPN 
10, NUM 
100, NUM 

, SPACE 
Pg, PROPN 
g, PROPN 
l, NOUN 
Turkstra, PROPN 
Pols, PROPN 
1989, NUM 
Oehme, PROPN 
et, PROPN 
al, PROPN 
1993, NUM 

, SPACE 
reported, VERB 
concentrations, NOUN 
range, NOUN 
440, NUM 
1400, NUM 
pg, PROPN 
gg, PROPN 

, SPACE 
5.5, NUM 
17.2, NUM 
pg, PROPN 
g-, NOUN 
TEQ, PROPN 
Nordic, ADJ 
model, NOUN 
northern, ADJ 

, SPACE 
North, PROPN 
Sea, PROPN 
waters, NOUN 
Previous, ADJ 
work, NOUN 
authors, NOUN 

, SPACE 
Tyler, PROPN 
et, PROPN 
al, PROPN 
1994, NUM 
reported, VERB 
PCDD, PROPN 
DF, PROPN 
concentrations, NOUN 

, SPACE 
coastal, ADJ 
North, PROPN 
Sea, PROPN 
sediments, NOUN 
43, NUM 
209, NUM 
pg, NOUN 
g-, VERB 
0.6, NUM 

, SPACE 
2.8, NUM 
pg, NOUN 
g-, NOUN 
TEQ, PROPN 
Evers, NOUN 
et, PROPN 
al, PROPN 
1993, NUM 
reported, VERB 
PCDD/, ADP 

, SPACE 
D, PROPN 
F, PROPN 
values, NOUN 
North, PROPN 
Sea, PROPN 
estuaries, NOUN 
10064736, NUM 
pg, PROPN 

, SPACE 
g, PROPN 
7, NUM 
samples, NOUN 
taken, VERB 
station, NOUN 
mouth, NOUN 

, SPACE 
Humber, PROPN 
Estuary, PROPN 
total, ADJ 
PCDD, PROPN 
DF, NOUN 
values, NOUN 

, SPACE 
1846, NUM 
pg, PROPN 
g-, VERB 
sur, PROPN 
ace, PROPN 
f, PROPN 
<, X 
63, NUM 
pm, NOUN 
10, NUM 
557, NUM 
pg, NOUN 
g-, X 
15, NUM 

, SPACE 
cm, PROPN 
~63, PROPN 
urn, NOUN 
samples, NOUN 
analysed, VERB 

, SPACE 
survey, NOUN 
reached, VERB 
concentrations, NOUN 
high, ADJ 
15, NUM 

, SPACE 
cm, NOUN 
depth, NOUN 
samples, NOUN 
analysed, VERB 
Evers, PROPN 
et, PROPN 
21, NUM 
1993, NUM 

, SPACE 
surface, NOUN 
samples, NOUN 
concentrations, NOUN 
compar-, ADJ 

, SPACE 
able, ADJ 
data, NOUN 

, SPACE 
distribution, NOUN 
total, ADJ 
PCDD, NOUN 
total, ADJ 
PCDF, NOUN 

, SPACE 
Estuary, PROPN 
shown, VERB 
Figs, PROPN 
la, PROPN 
lb, ADV 
Generally, ADV 
PCDD/, ADV 

, SPACE 
PCDF, PROPN 
concentrations, NOUN 
higher, ADJ 
finer, NOUN 
accumu-, PROPN 

, SPACE 
399, NUM 

, SPACE 
TABLE, NOUN 
2, NUM 

, SPACE 
Summary, PROPN 
PCDD, PROPN 
PCDF, PROPN 
PCB, NOUN 
analyses, NOUN 
lipid, NOUN 
determinations, NOUN 
samples, NOUN 
Sample, NOUN 
sites, NOUN 
indicated, VERB 
Fig, PROPN 
la, PROPN 

, SPACE 
Sample, PROPN 
concentration, NOUN 
pg, PROPN 
g, PROPN 
l, NOUN 

, SPACE 
Homolog, PROPN 
Sl, PROPN 
S2, PROPN 
S3, PROPN 
S4, PROPN 
SS, PROPN 
S6, PROPN 
S7, PROPN 
SE, PROPN 
S9, PROPN 
SlO, ADJ 
Sll, PROPN 
11, NUM 
12, NUM 
13, NUM 
14, NUM 
1st, NOUN 
I6, PROPN 
177, NUM 
I8, NOUN 
1st, NOUN 
110, NUM 
111, NUM 
t, NOUN 
112, NUM 
1137, NUM 
114, NUM 

, SPACE 
2378, NUM 
TCDD, NOUN 
0.8, NUM 
<, X 
0.2, NUM 
<, X 
0.2, NUM 
2.8, NUM 
<, NUM 
0.2, NUM 
<, X 
0.2, NUM 
1.3, NUM 
0.4, NUM 
1.7, NUM 
0.5, NUM 
1.3, NUM 
4, NUM 
3.5, NUM 
7, NUM 
2.6, NUM 
20.2, NUM 
2, NUM 
0.6, NUM 
<, X 
0.2, NUM 
15, NUM 
5, NUM 
9.9, NUM 
3.5, NUM 
4.8, NUM 
<, NUM 
0.2, NUM 

, SPACE 
TCDD, NOUN 
62, NUM 
4.6, NUM 
4, NUM 
130, NUM 
5.4, NUM 
3.8, NUM 
62, NUM 
13, NUM 
160, NUM 
127, NUM 
190, NUM 
140, NUM 
370, NUM 
344, NUM 
45.1, NUM 
237, NUM 
4.6, NUM 
<, NUM 
2, NUM 
148, NUM 
190, NUM 
222, NUM 
116, NUM 
53, NUM 
<, SYM 
2, NUM 

, SPACE 
PeCDD, PROPN 
28, NUM 
<, X 
4, NUM 
<, NUM 
4, NUM 
87, NUM 
<, NUM 
5, NUM 
<, NUM 
5, NUM 
50, NUM 
11.5, NUM 
130, NUM 
13, NUM 
97, NUM 
120, NUM 
110, NUM 
213, NUM 
138, NUM 
176, NUM 
149, NUM 
170, NUM 
<, SYM 
4, NUM 
49, NUM 
150, NUM 
206, NUM 
144, NUM 
40, NUM 
<, X 
4, NUM 

, SPACE 
HxCDD, NOUN 
<, X 
lO, X 
<, X 
4, NUM 
<, NUM 
4, NUM 
<, NUM 
5, NUM 
<, NUM 
5, NUM 
t5, PROPN 
52, NUM 
67, NUM 
42, NUM 
65, NUM 
50, NUM 
52, NUM 
110, NUM 
74, NUM 
123, NUM 
77, NUM 
100, NUM 
<, NOUN 
lo, PROPN 
52, NUM 
69, NUM 
83, NUM 
56, NUM 
21, NUM 
<, X 
lO, X 

, SPACE 
HpCDD, PROPN 
27, NUM 
2.9, NUM 
2, NUM 
58, NUM 
3.6, NUM 
4.6, NUM 
38, NUM 
11.5, NUM 
110, NUM 
13, NUM 
76, NUM 
97, NUM 
116, NUM 
303, NUM 
159, NUM 
171, NUM 
220, NUM 
293, NUM 
<, X 
2, NUM 
80, NUM 
150, NUM 
151, NUM 
140, NUM 
31, NUM 
