H, PROPN 

, SPACE 
migration, NOUN 
Fe, PROPN 
Zr, PROPN 
lattice, NOUN 
addition, NOUN 
ion, NOUN 
channeling, VERB 
investigations, NOUN 
determine, VERB 
lattice, NOUN 
sites, NOUN 

, SPACE 
solute, NOUN 
atoms, NOUN 
Zr, PROPN 
details, NOUN 
interaction, NOUN 
solute, NOUN 
atoms, NOUN 
irradiation, NOUN 
produced, VERB 
defecti, NOUN 

, SPACE 
1, X 
Introduction, NOUN 

, SPACE 
Ion, PROPN 
beam, NOUN 
analysis, NOUN 
techniques, NOUN 
suited, ADJ 
provide, VERB 

, SPACE 
information, NOUN 
irradiation, NOUN 
effects, NOUN 
occur, VERB 

, SPACE 
zirconium, NOUN 
alloys, NOUN 
irradiation, NOUN 
effects, NOUN 
include, VERB 

, SPACE 
irradiation, NOUN 
induced, VERB 
phase, NOUN 
changes, NOUN 
irradiation, NOUN 
enhanced, VERB 

, SPACE 
precipitation, NOUN 
defect, NOUN 
solute, NOUN 
atom, NOUN 
interactions, NOUN 

, SPACE 
effects, NOUN 
play, VERB 
significant, ADJ 
role, NOUN 
affecting, VERB 

, SPACE 
deformation, NOUN 
corrosion, NOUN 
behaviour, NOUN 
zirconium, NOUN 
alloys, NOUN 

, SPACE 
calandria, NOUN 
pressure, NOUN 
tubes, NOUN 
CANDU, PROPN 
nuclear, ADJ 

, SPACE 
reactors, NOUN 
behaviour, NOUN 
zirconium, NUM 
intermetallic, ADJ 
com-, NOUN 

, SPACE 
pounds, NOUN 
containing, VERB 
Fe, PROPN 
Cr, PROPN 
Ni, PROPN 
Nb, PROPN 
particular, ADJ 
interest, NOUN 

, SPACE 
irradiation, NOUN 
induced, VERB 
crystalline, NOUN 
amorphous, ADJ 

, SPACE 
transformation, NOUN 
observed, VERB 
Zr(Cr, PROPN 
Fe, PROPN 

, SPACE 
Zr,(Ni, PROPN 
Fel, PROPN 
precipitates, NOUN 
Zircaloy-2, NOUN 
Zircaloy-4, PROPN 

, SPACE 
Refs, NOUN 
l-4, X 
example, NOUN 
Zr, PROPN 
Nb, PROPN 
Fe, PROPN 
precipitates, NOUN 

, SPACE 
present, ADJ 
Zr-2SNb, NOUN 
alloys, NOUN 
pressure, NOUN 
tubes, NOUN 

, SPACE 
CANDU, ADJ 
reactors, NOUN 
addition, NOUN 
Fe, PROPN 
controls, VERB 
self, NOUN 
substi-, NOUN 

, SPACE 
tutional, ADJ 
diffusion, NOUN 
Zr, PROPN 
based, VERB 
zirconium, NOUN 

, SPACE 
0168, NUM 
583X/96/$15.00, PROPN 
Copyright, NOUN 
0, NUM 
1996, NUM 
Elsevier, PROPN 
Science, PROPN 
B.V., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
SSD!Ol68, PROPN 
583X(95)01, NUM 
171, NUM 
40, NUM 
IX, PROPN 
NEW, PROPN 
MATERIALS, PROPN 
Corresponding, PROPN 
author, NOUN 
tel, PROPN 
613, NUM 
584, NUM 
331, NUM 
fax, NOUN 
61, NUM 
584, NUM 
3250, NUM 

, SPACE 
e, NOUN 
mail, NOUN 
howe@crf.aecl.ca, PROPN 
alloys, VERB 
Zircaloy-2, PROPN 
Zircaloy-4, PROPN 
Zr-2SNb, NOUN 
5.6, NUM 
Fe, PROPN 

, SPACE 
appears, VERB 
play, VERB 
important, ADJ 
role, NOUN 
affecting, VERB 
reactor, NOUN 

, SPACE 
deformation, NOUN 
behaviour, NOUN 
Zircaloy-2, NOUN 
Zr-2SNb, NOUN 
7.8, NUM 

, SPACE 
present, ADJ 
paper, NOUN 
principal, ADJ 
results, NOUN 
investiga-, NOUN 

, SPACE 
tions, NOUN 
collision, NOUN 
cascades, NOUN 
irradiation, NOUN 
induced, VERB 
amor-, ADJ 

, SPACE 
phization, NOUN 
zirconium, NOUN 
intermetallic, ADJ 
compounds, NOUN 

, SPACE 
ion, NOUN 
electron, NOUN 
irradiation, NOUN 
summarized, VERB 

, SPACE 
Results, NOUN 
presented, VERB 
determining, VERB 
thresh-, ADJ 

, SPACE 
old, ADJ 
displacement, NOUN 
energies, NOUN 
constituent, NOUN 
atoms, NOUN 
in-, ADP 

, SPACE 
cluding, VERB 
light, ADJ 
element, NOUN 
impurities, NOUN 
Zr, PROPN 
Fe, PROPN 
Zr, PROPN 
Fe, PROPN 

, SPACE 
ZrCr, PROPN 
obtained, VERB 
studies, NOUN 
electron, NOUN 
energy, NOUN 

, SPACE 
dependence, NOUN 
amorphization, NOUN 
intermetallic, ADJ 
com-, NOUN 

, SPACE 
pounds, NOUN 
determination, NOUN 
concentration, NOUN 

, SPACE 
light, ADJ 
element, NOUN 
impurities, NOUN 
forward, ADJ 
elastic, ADJ 
recoil, NOUN 

, SPACE 
measurements, NOUN 
230, NUM 
MeV, PROPN 
2WBi, NUM 
ions, NOUN 
ion, NOUN 
implanta, NOUN 

, SPACE 
tion, NOUN 
subsequent, ADJ 
irradiation, NOUN 
procedure, NOUN 
followed, VERB 

, SPACE 
SIMS, PROPN 
analysis, NOUN 
provided, VERB 
information, NOUN 
trapping, NOUN 

, SPACE 
migrating, VERB 
Fe, PROPN 
atoms, NOUN 
Zr, PROPN 
irradiation, NOUN 
produced, VERB 
defects, NOUN 

, SPACE 
results, NOUN 
studies, NOUN 
ion, NOUN 
channeling, VERB 
investigations, NOUN 

, SPACE 
location, NOUN 
lattice, NOUN 
positions, NOUN 
Au, PROPN 
N, PROPN 
atoms, NOUN 

, SPACE 
Zr, PROPN 
interaction, NOUN 
solute, NOUN 
atoms, NOUN 

, SPACE 
irradiation, NOUN 
produced, VERB 
defects, NOUN 
presented, VERB 

, SPACE 
664, NUM 
L.M., PROPN 
Howe, PROPN 
er, INTJ 
al./Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
Phys, PROPN 
Res, PROPN 
B, PROPN 
118, NUM 
1996, NUM 
663, NUM 
669, NUM 

, SPACE 
2, NUM 
Experimental, ADJ 
details, NOUN 

, SPACE 
bulk, ADJ 
phases, NOUN 
Zr, PROPN 
Fe, PROPN 
orthorhombic, PROPN 
Zr,(Fe,-, INTJ 

, SPACE 
Ni, PROPN 
orthorhombic, PROPN 
Zr, PROPN 
Fe, PROPN 
tetragonal, ADJ 
ZrFe, PROPN 
cubic, ADJ 

, SPACE 
Laves, PROPN 
phase, NOUN 
ZrCr, PROPN 
cubic, ADJ 
Laves, PROPN 
phase, NOUN 
ob-, PRON 

, SPACE 
tained, VERB 
appropriate, ADJ 
heat, NOUN 
treatments, NOUN 
arc, PROPN 
melted, VERB 

, SPACE 
alloys, NOUN 
Samples, NOUN 
suitable, ADJ 
transmission, NOUN 
electron, NOUN 
mi-, ADJ 

, SPACE 
croscopy, NOUN 
@‘EM, NOUN 
forward, ADJ 
elastic, ADJ 
recoil, NOUN 
detection, NOUN 
ion, NOUN 

, SPACE 
channeling, VERB 
secondary, ADJ 
ion, NOUN 
mass, NOUN 
spectrometry, NOUN 
SIMS, PROPN 

, SPACE 
obtained, VERB 
combination, NOUN 
spark, NOUN 
cutting, NOUN 
mechani-, PROPN 

, SPACE 
cal, NOUN 
polishing, NOUN 
finally, ADV 
chemical, ADJ 
electropolish-, X 

, SPACE 
ing, ADJ 
procedures, NOUN 

, SPACE 
heavy, ADJ 
ion, NOUN 
bombardments, NOUN 
performed, VERB 
Chalk, PROPN 

, SPACE 
River, PROPN 
Laboratories, PROPN 
CRL, PROPN 
following, NOUN 
70, NUM 

, SPACE 
kV, NUM 
ion, NOUN 
implanter, NOUN 
high, ADJ 
voltage, NOUN 
mass, NOUN 
separator, NOUN 
2.5, NUM 

, SPACE 
MV, PROPN 
Van, PROPN 
de, X 
Graaff, PROPN 
Ion, NOUN 
channeling, VERB 
investigations, NOUN 

, SPACE 
performed, VERB 
2.5, NUM 
MV, PROPN 
Van, PROPN 
de, PROPN 
Graaff, PROPN 
accelerator, NOUN 

, SPACE 
CRL, PROPN 
Forward, NOUN 
elastic, ADJ 
recoil, NOUN 
measurements, NOUN 
per-, X 

, SPACE 
formed, VERB 
230, NUM 
MeV, PROPN 
209Bi, PROPN 
ions, NOUN 
produced, VERB 
Tan-, ADJ 

, SPACE 
dem, ADJ 
accelerator, NOUN 
TASCC, NOUN 
facility, NOUN 
CRL, PROPN 
recoil-, ADJ 

, SPACE 
ing, ADJ 
target, NOUN 
atoms, NOUN 
detected, VERB 
specially, ADV 
designed, VERB 

, SPACE 
A.&E, NOUN 
detector, NOUN 
9, NUM 
situ, PROPN 
electron, NOUN 
bombardments, NOUN 

, SPACE 
performed, VERB 
Kratos, PROPN 
high, ADJ 
voltage, NOUN 
electron, NOUN 
micro-, NOUN 

, SPACE 
scope, NOUN 
HVEM, PROPN 
Argonne, PROPN 
National, PROPN 
Laboratory, PROPN 
SIMS, PROPN 

, SPACE 
analysis, NOUN 
performed, VERB 
CAMECA, PROPN 
4F, PROPN 
CAN-, PROPN 

, SPACE 
MET, PROPN 
Detailed, ADJ 
electron, NOUN 
microscope, NOUN 
observations, NOUN 
TEM, PROPN 

, SPACE 
EDX, PROPN 
analyses, NOUN 
performed, VERB 
Philips, PROPN 
CM30, PROPN 

, SPACE 
electron, NOUN 
microscope, NOUN 
CRL, PROPN 

, SPACE 
3, X 
Results, NOUN 
discussion, NOUN 

, SPACE 
3.1, NUM 
Collision, NOUN 
cascades, NOUN 
irradiation, NOUN 
induced, VERB 
amor-, ADJ 

, SPACE 
phization, NOUN 
zirconium, NOUN 
intermetallic, ADJ 
compounds, NOUN 

, SPACE 
detailed, ADJ 
TEM, PROPN 
study, NOUN 
performed, VERB 

, SPACE 
damage, NOUN 
produced, VERB 
individual, ADJ 
collision, NOUN 
cascades, NOUN 
l5-, NOUN 

, SPACE 
350, NUM 
keV, NOUN 
209Bi, PROPN 
ion, NOUN 
bombardments, NOUN 
Zr, PROPN 
Fe, PROPN 
ZrzFe, PROPN 

, SPACE 
ZrFez, PROPN 
IO,1, PROPN 
Examples, NOUN 
damage, NOUN 
visible, ADJ 
TEM, PROPN 
shown, VERB 
Fig, PROPN 
1, NUM 
majority, NOUN 
damaged, VERB 
regions, NOUN 

, SPACE 
diameters, NOUN 
range, NOUN 
1.0, NUM 
5.0, NUM 
nm, NOUN 

, SPACE 
high, ADJ 
values, NOUN 
average, ADJ 
deposited, VERB 
energy, NOUN 
density, NOUN 

, SPACE 
8, NUM 
cascade, NOUN 
corresponded, VERB 
low, ADJ 
energy, NOUN 

, SPACE 
heavy, ADJ 
ion, NOUN 
implants, NOUN 
e.g., ADV 
15, NUM 
30, NUM 
keV, NOUN 
Bi, PROPN 
Zr, PROPN 
Fe, PROPN 
Zr, PROPN 
Fe, PROPN 

, SPACE 
ZrFe, PROPN 
visible, ADJ 
damage, NOUN 
produced, VERB 
cascade, NOUN 

, SPACE 
consisted, VERB 
single, ADJ 
damaged, VERB 
region, NOUN 
shown, VERB 
Fig, PROPN 
la, PROPN 

, SPACE 
measure, NOUN 
average, ADJ 
energy, NOUN 
expended, VERB 

, SPACE 
nuclear, ADJ 
collision, NOUN 
events, NOUN 
deposited, VERB 
atom, NOUN 

, SPACE 
volume, NOUN 
occupied, VERB 
individual, ADJ 
collision, NOUN 
cascade, NOUN 

, SPACE 
lo,1, PROPN 
decreasing, VERB 
values, NOUN 
i.e., ADV 
increasing, VERB 
ion, NOUN 

, SPACE 
implant, ADJ 
energies, NOUN 
increasing, VERB 
tendency, NOUN 

, SPACE 
multiple, ADJ 
damaged, VERB 
regions, NOUN 
subcascades, NOUN 
form, VERB 

, SPACE 
main, ADJ 
cascade, NOUN 
shown, VERB 
Fig, PROPN 
1, NUM 
b., NOUN 
visible, ADJ 
damaged, VERB 

, SPACE 
regions, NOUN 
appeared, VERB 
amorphous, ADJ 
found, VERB 

, SPACE 
Bi, PROPN 
ion, NOUN 
energy, NOUN 
increased, VERB 
decreased, VERB 
fraction, NOUN 

, SPACE 
F, PROPN 
theoretical, ADJ 
collision, NOUN 
cascade, NOUN 
volume, NOUN 

, SPACE 
occupied, VERB 
visible, ADJ 
damaged, VERB 
regions, NOUN 
cascade, NOUN 

, SPACE 
decreased, VERB 
rapidly, ADV 
theoretical, ADJ 
collision, NOUN 
cascade, NOUN 
vol-, NOUN 

, SPACE 
ume, NOUN 
taken, VERB 
volume, NOUN 
spheroid, NOUN 
axes, NOUN 

, SPACE 
determined, VERB 
longitudinal, ADJ 
AX, NOUN 
2)“2, PROPN 
trans-, VERB 

, SPACE 
verse, NOUN 
Y, NOUN 
straggling, VERB 
components, NOUN 
statistical, ADJ 

, SPACE 
damage, NOUN 
distribution, NOUN 
12,131, NUM 
crystalline, NOUN 
amorphous, ADJ 

, SPACE 
transformation, NOUN 
appeared, VERB 
result, NOUN 
direct, ADJ 
amor-, ADJ 

, SPACE 
phization, NOUN 
collision, NOUN 
cascades, NOUN 
critical, ADJ 
defect, NOUN 

, SPACE 
concentration, NOUN 
reached, VERB 
cascade, NOUN 
overlap, NOUN 
re-, ADP 

, SPACE 
gions, NOUN 
producing, VERB 
additional, ADJ 
amorphous, ADJ 
regions, NOUN 

, SPACE 
Detailed, ADJ 
information, NOUN 
obtained, VERB 
irradiation-, NOUN 

, SPACE 
induced, VERB 
amorphization, NOUN 
Zr, PROPN 
Fe, PROPN 
Zr, PROPN 
Fe, PROPN 
ZrFe, PROPN 
ZrCr, PROPN 

, SPACE 
Zr, PROPN 
Fe,,Ni, PROPN 
alloys, VERB 
irradiation, NOUN 
heavy, ADJ 
ions, NOUN 

, SPACE 
10,11,14, NUM 
-163, ADJ 
i.e., X 
0.5, NUM 
1.5, NUM 
MeV, NOUN 
OAr, NOUN 
ions, NOUN 
0.015, NUM 
1.5, NUM 

, SPACE 
MeV, PROPN 
209Bi, PROPN 
ions, NOUN 
electrons, NOUN 
0.2, NUM 
0.9, NUM 
MeV, NOUN 

, SPACE 
high, ADJ 
voltage, NOUN 
electron, NOUN 
microscope, NOUN 
HVEM, PROPN 
17, NUM 
201, NUM 

, SPACE 
found, VERB 
critical, ADJ 
temperature, NOUN 
i.e., X 
temperature, NOUN 

, SPACE 
amorphization, NOUN 
occur, VERB 
amorphiza-, NOUN 

, SPACE 
tion, NOUN 
electrons, NOUN 
considerably, ADV 
lower, ADJ 

, SPACE 
heavy, ADJ 
ion, NOUN 
bombardment, NOUN 
Depending, VERB 
partic-, ADJ 

, SPACE 
ular, ADJ 
intermetahic, ADJ 
compound, NOUN 
critical, ADJ 
temperatures, NOUN 

, SPACE 
electron, NOUN 
irradiation, NOUN 
range, NOUN 
5, NUM 
75, NUM 
250, NUM 
K, PROPN 

, SPACE 
Fig, PROPN 
I., PROPN 
Bright, ADJ 
field, NOUN 
electron, NOUN 
micrographs, NOUN 
Zr, PROPN 
Fe, PROPN 
irradiated, VERB 
40, NUM 
K, NOUN 
30, NUM 
kev, NOUN 
209Bi, PROPN 
ions, NOUN 
fluence, NOUN 
2.5, NUM 
X, NUM 
10, NUM 
ions, NOUN 
crne2, NOUN 

, SPACE 
b, X 
120, NUM 
keV, NOUN 
09Bi, NOUN 
ions, NOUN 
fluence, NOUN 
1.0, NUM 
X, PROPN 
IO, PROPN 
ions, NOUN 
cm-, VERB 

, SPACE 
L.M., PROPN 
Howe, PROPN 
et, PROPN 
al./Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
Phys, PROPN 
Res, PROPN 
B, PROPN 
118, NUM 
1996, NUM 
663, NUM 
669, NUM 
665, NUM 

, SPACE 
critical, ADJ 
temperatures, NOUN 
heavy, ADJ 
ion, NOUN 
irradiation, NOUN 
independent, ADJ 
temperature, NOUN 
damage, NOUN 
accumu-, NOUN 

, SPACE 
500, NUM 
600, NUM 
K., PROPN 
vicinity, NOUN 
critical, ADJ 
lates, NOUN 
lattice, NOUN 
unchecked, VERB 
thermal, ADJ 
annealing, NOUN 

, SPACE 
temperature, NOUN 
electron, NOUN 
irradiations, NOUN 
signif-, X 
certain, ADJ 
level, NOUN 
irradiation, NOUN 
damage, NOUN 
appears, VERB 

, SPACE 
icant, ADJ 
dose, ADJ 
rate, NOUN 
dependence, NOUN 
highest, ADJ 
critical, ADJ 
tem-, NOUN 
driving, VERB 
force, NOUN 
exchange, VERB 
imperfect, ADJ 
form, NOUN 
long, ADJ 
range, NOUN 

, SPACE 
perature, NOUN 
occurring, VERB 
highest, ADJ 
dose, NOUN 
rate, NOUN 
17, NUM 
Apprecia-, NOUN 
order, NOUN 
resulting, VERB 
irradiation, NOUN 
local, ADJ 
configuration, NOUN 

, SPACE 
ble, ADJ 
effects, NOUN 
dose, NOUN 
rate, NOUN 
irradiation, NOUN 
induced, VERB 
amor-, ADJ 
short, ADJ 
range, NOUN 
order, NOUN 
bonding, NOUN 
restrictions, NOUN 
chemi-, ADJ 

, SPACE 
phization, NOUN 
observed, VERB 
heavy, ADJ 
ion, NOUN 
irradiations, NOUN 
cal, ADJ 
species, NOUN 
directionality, NOUN 
followed, VERB 
closely, ADV 

, SPACE 
temperature, NOUN 
regimes, NOUN 
significant, ADJ 
annealing, NOUN 
defects, NOUN 
difference, NOUN 
ion, NOUN 
electron, NOUN 
irradiations, NOUN 

, SPACE 
occurring, VERB 
Zr, PROPN 
Fe, PROPN 
example, NOUN 
temperature, NOUN 
results, NOUN 
fact, NOUN 
ion, NOUN 
irradiation, NOUN 
produces, VERB 
displace-, X 

, SPACE 
range, NOUN 
160, NUM 
280, NUM 
K, PROPN 
pronounced, VERB 
dose, ADJ 
rate, NOUN 
effect, NOUN 

, SPACE 
OS, NOUN 
l.5, NOUN 
MeV, PROPN 
OAr, NOUN 
ion, NOUN 
irradiations, NOUN 
fraction, NOUN 
ment, ADJ 
cascades, NOUN 
electron, NOUN 
irradiation, NOUN 
produces, VERB 
isolated, VERB 

, SPACE 
Frenkel, PROPN 
pairs, NOUN 
cascades, NOUN 
density, NOUN 
damage, NOUN 

, SPACE 
irradiated, VERB 
volume, NOUN 
rendered, VERB 
amorphous, ADJ 

, SPACE 
given, VERB 
OAr, NOUN 
ion, NOUN 
fluence, NOUN 
increased, VERB 
noticeably, ADV 
ion, NOUN 
flux, NOUN 
high, ADJ 
amorphization, NOUN 
occur, VERB 

, SPACE 
directly, ADV 
cascade, NOUN 
cascade, NOUN 
overlap, NOUN 

, SPACE 
increased, VERB 
0.9, NUM 
X, NOUN 
10, NUM 
14.7, NUM 
X, NUM 
10, NUM 
irradiation, NOUN 
temperature, NOUN 
increases, NOUN 
annealing, VERB 
processes, NOUN 

, SPACE 
ions, NOUN 
cmm2, NOUN 
s-, X 
11.51, NUM 
Near, ADP 
critical, ADJ 
temperature, NOUN 
activated, VERB 
offset, VERB 
production, NOUN 
damage, NOUN 

, SPACE 
dose, VERB 
rate, NOUN 
increases, NOUN 
chance, NOUN 
annealing, VERB 
annealing, VERB 
reduces, NOUN 
effective, ADJ 
damage, NOUN 
rate, NOUN 
over-, NOUN 

, SPACE 
occur, VERB 
damage, NOUN 
event, NOUN 
easier, ADJ 

, SPACE 
amorphize, VERB 
material, NOUN 
@Ar, PROPN 
209Bi, PROPN 
ion, NOUN 
whelming, VERB 
step, NOUN 
appears, VERB 
dose, VERB 
amorphiza-, NOUN 

, SPACE 
tion, NOUN 
vs., ADP 
temperature, NOUN 
curve, NOUN 
increasing, VERB 
dose, VERB 
amorphi-, NUM 

, SPACE 
irradiations, NOUN 
Zr, PROPN 
Fe, PROPN 
step, NOUN 
occurred, VERB 
dose, VERB 
to-, NOUN 
zation, NOUN 
temperature, NOUN 
temperature, NOUN 

, SPACE 
amorphization, NOUN 
curve, NOUN 
temperature, NOUN 
region, NOUN 
activated, VERB 
annealing, VERB 
process, NOUN 
completely, ADV 
overwhelms, NOUN 
dam-, X 

, SPACE 
180, NUM 
220, NUM 
K, NOUN 
critical, ADJ 
temperature, NOUN 
age, NOUN 
production, NOUN 
critical, ADJ 
temperature, NOUN 
amorphiza-, NOUN 

, SPACE 
electron, NOUN 
irradiation, NOUN 
161, NUM 
critical, ADJ 
temperature, NOUN 

, SPACE 
amorphization, NOUN 
Zr, PROPN 
Fe, PROPN 
OAr, NOUN 
ion, NOUN 
irradiation, NOUN 
tion, NOUN 
longer, ADV 
possible, ADJ 
temperature, NOUN 
fol-, X 

, SPACE 
570, NUM 
600, NUM 
K, NOUN 
slightly, ADV 
higher, ADJ 
625, NUM 
K, PROPN 
209Bi, PROPN 
ion, NOUN 
lows, NOUN 
lower, ADJ 
damage, NOUN 
rate, NOUN 
offset, VERB 
lower, ADJ 

, SPACE 
temperature, NOUN 
higher, ADJ 
damage, NOUN 
rate, NOUN 
implies, VERB 

, SPACE 
irradiation, NOUN 
161, NUM 
different, ADJ 
critical, ADJ 
temperatures, NOUN 
different, ADJ 
damage, NOUN 
rates, NOUN 

, SPACE 
case, NOUN 
ZrFe, PROPN 
ZrCr, PROPN 
intermetallic, ADJ 
com-, NOUN 

, SPACE 
pounds, NOUN 
having, VERB 
cubic, ADJ 
Laves, PROPN 
structure, NOUN 
morphol-, NOUN 

, SPACE 
ogy, NOUN 
alloys, NOUN 
distinct, ADJ 

, SPACE 
regions, NOUN 
ZrFe, PROPN 
ZrCr, PROPN 
phases, NOUN 

, SPACE 
contained, VERB 
high, ADJ 
density, NOUN 
stacking, VERB 
faults, NOUN 

, SPACE 
containing, VERB 
low, ADJ 
density, NOUN 
stacking, VERB 
faults, NOUN 
ZrFe, PROPN 

, SPACE 
ZrCr, PROPN 
critical, ADJ 
temperatures, NOUN 
electron, NOUN 
irradiation, NOUN 

, SPACE 
higher, ADJ 
regions, NOUN 
containing, VERB 
high, ADJ 
density, NOUN 

, SPACE 
stacking, VERB 
faults, NOUN 
low, ADJ 
density, NOUN 
stacking, VERB 

, SPACE 
fault, NOUN 
regions, NOUN 
difference, NOUN 
20, NUM 
K, NOUN 
ZrFe, PROPN 
10, NUM 

, SPACE 
K, NOUN 
ZrCr, PROPN 
1201, NUM 
ZrFe, PROPN 
electron, NOUN 
dose, NOUN 
required, VERB 

, SPACE 
amorphization, NOUN 
occur, VERB 
lowest, ADJ 
irradiation, NOUN 
temper-, X 

, SPACE 
atures, NOUN 
25, NUM 
35, NUM 
K, PROPN 
2, NUM 
times, NOUN 
lower, ADJ 
high, ADJ 
density, NOUN 

, SPACE 
stacking, NOUN 
fault, NOUN 
regions, NOUN 
low, ADJ 
density, NOUN 

, SPACE 
stacking, NOUN 
fault, NOUN 
regions, NOUN 
Regions, NOUN 
containing, VERB 
stacking, VERB 
faults, NOUN 

, SPACE 
high, ADJ 
energy, NOUN 
regions, NOUN 
local, ADJ 
distortion, NOUN 

, SPACE 
lattice, NOUN 
high, ADJ 
chemical, NOUN 
energy, NOUN 
gives, VERB 
additional, ADJ 
contri-, NOUN 

, SPACE 
bution, NOUN 
free, ADJ 
energy, NOUN 
rise, NOUN 
resulting, VERB 
irradiation, NOUN 

