Original, ADJ 
ﬁed, NOUN 
cartilage, NOUN 
normal, ADJ 
joints, NOUN 
suggesting, VERB 

, SPACE 
potential, ADJ 
cross, NOUN 
talk, NOUN 
subchondral, ADJ 
bone, NOUN 
cartilage, NOUN 
cross, ADJ 
talk, ADJ 
exists, NOUN 
OA, PROPN 

, SPACE 
established, VERB 
models, NOUN 
induced, VERB 
OA, NOUN 
ageing, NOUN 
surgery, NOUN 
destabilization, NOUN 
dial, NOUN 
meniscus, NOUN 
DMM, PROPN 
tested, VERB 
hypothesis, NOUN 
increased, VERB 
cross, ADJ 
talk, ADJ 
occurs, NOUN 
OA, PROPN 
quanti, PROPN 
ﬁed, PROPN 
dif-, NUM 

, SPACE 
fusivity, NOUN 
sodium, PROPN 
ﬂuorescein, PROPN 
mol, PROPN 
wt, PROPN 
376, NUM 
Da, PROPN 
marker, NOUN 
small, ADJ 
sized, ADJ 
signaling, ADJ 
molecules, NOUN 
calci, PROPN 
ﬁed, PROPN 

, SPACE 
joint, ADJ 
matrix, NOUN 
newly, ADV 
developed, VERB 
ﬂuorescence, NOUN 
loss, NOUN 
induced, VERB 
photobleaching, VERB 
FLIP, PROPN 
method, NOUN 
Tracer, NOUN 

, SPACE 
diffusivity, NOUN 
found, VERB 
0.30±0.17, PROPN 
0.33±0.20, PROPN 
μm, NUM 

, SPACE 
2, NUM 
s, PROPN 
calci, NOUN 
ﬁed, PROPN 
cartilage, NOUN 
0.12±0.04, PROPN 

, SPACE 
0.07±0.03, PROPN 
μm2, NOUN 
s, PROPN 
osteochondral, ADJ 
interface, NOUN 
aged, ADJ 
20, NUM 
24, NUM 
month, NOUN 
old, ADJ 
n=4, PROPN 
DMM, PROPN 

, SPACE 
OA, PROPN 
joints, NOUN 
5, NUM 
month, NOUN 
old, ADJ 
n=5, PROPN 
respectively, ADV 
comparable, ADJ 
control, NOUN 
values, NOUN 
contralat-, ADJ 

, SPACE 
eral, ADJ 
non, ADJ 
operated, VERB 
joints, NOUN 
DMM, PROPN 
mice, NOUN 
0.48±0.13, PROPN 
0.12±0.06, PROPN 
μm2, PROPN 
s, PROPN 
detect, VERB 

, SPACE 
signiﬁcant, ADJ 
changes, NOUN 
tissue, NOUN 
matrix, NOUN 
permeability, NOUN 
OA, PROPN 
joints, NOUN 
found, VERB 
increased, VERB 
number, NOUN 
vessels, NOUN 
in-, ADP 

, SPACE 
vading, VERB 
calci, NOUN 
ﬁed, PROPN 
cartilage, NOUN 
approaching, VERB 
tidemark, NOUN 
aged, ADJ 
+100, NOUN 
DMM, PROPN 

, SPACE 
+50, PROPN 
joints, NOUN 
relative, ADJ 
normal, ADJ 
age, NOUN 
controls, NOUN 
ii, PROPN 
60, NUM 
thinning, NOUN 
subchondral, ADJ 
bone, NOUN 
calci-ﬁed, ADJ 
cartilage, NOUN 
layers, NOUN 
aged, ADJ 
joints, NOUN 
signi, NOUN 
ﬁcant, NOUN 
changes, NOUN 
detected, VERB 
DMM, PROPN 
joints, NOUN 
results, NOUN 

, SPACE 
suggested, VERB 
capacity, NOUN 
cross, NOUN 
talk, NOUN 
subchondral, ADJ 
bone, NOUN 
articular, ADJ 
cartilage, NOUN 
elevated, VERB 

, SPACE 
OA, PROPN 
studies, NOUN 
needed, VERB 
identify, VERB 
direction, NOUN 
cross, NOUN 
talk, VERB 
signaling, VERB 
molecules, NOUN 
involved, VERB 

, SPACE 
test, VERB 
subchondral, ADJ 
bone, NOUN 
initiates, NOUN 
OA, PROPN 
development, NOUN 
serve, VERB 
pharmaceutical, ADJ 
targetfor, NOUN 
OA, PROPN 
treatment, NOUN 

, SPACE 
article, NOUN 
Special, PROPN 
Issue, PROPN 
entitled, VERB 
Osteoarthritis, PROPN 

, SPACE 
©, ADJ 
2011, NUM 
Elsevier, PROPN 
Inc., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
Introduction, PROPN 

, SPACE 
Osteoarthritis, PROPN 
OA, PROPN 
leading, VERB 
causes, NOUN 
chronic, ADJ 
disability, NOUN 

, SPACE 
United, PROPN 
States, PROPN 
world, NOUN 
1, NUM 
degenerative, ADJ 
joint, ADJ 

, SPACE 
disease, NOUN 
characterized, VERB 
loss, NOUN 
articular, ADJ 
cartilage, NOUN 
abnormal, ADJ 

, SPACE 
changes, NOUN 
surrounding, VERB 
soft, ADJ 
hard, ADJ 
tissues, NOUN 
joint, ADJ 
includ-, ADJ 

, SPACE 
ing, ADJ 
bone, NOUN 
Currently, ADV 
effective, ADJ 
treatment, NOUN 
available, ADJ 
cure, VERB 
OA, PROPN 

, SPACE 
complex, ADJ 
etiology, NOUN 
lack, NOUN 
effective, ADJ 
pharmaceutical, ADJ 
targets, NOUN 

, SPACE 
1, NUM 
risk, NOUN 
factors, NOUN 
genetics, NOUN 
age, NOUN 
obesity, NOUN 
al-, NOUN 

, SPACE 
tered, VERB 
joint, ADJ 
loading, NOUN 
identi, NOUN 
ﬁed, PROPN 
OA, PROPN 
patients, NOUN 
1, X 
themechanisms, NOUN 
initiation, NOUN 
progression, NOUN 
OA, PROPN 
un-, ADJ 

, SPACE 
derstood, NOUN 
growing, VERB 
consensus, NOUN 
OA, PROPN 
joint, NOUN 
dis-, ADJ 

, SPACE 
ease, NOUN 
2,3, NUM 
particular, ADJ 
increased, VERB 
turnover, NOUN 
subchondral, ADJ 
bone, NOUN 

, SPACE 
OA, PROPN 
patients, NOUN 
animal, NOUN 
models, NOUN 
4,5, NUM 
led, VERB 
hypothesis, NOUN 

, SPACE 
cytokines, NOUN 
growth, NOUN 
factors, NOUN 
released, VERB 
sub-, PROPN 

, SPACE 
chondral, ADJ 
bone, NOUN 
turnover, NOUN 
reach, VERB 
overlying, ADJ 
articular, ADJ 
cartilage, NOUN 

, SPACE 
initiate, VERB 
positive, ADJ 
feedback, NOUN 
loop, NOUN 
attempted, VERB 
cartilage, NOUN 

, SPACE 
bone, NOUN 
repair, NOUN 
processes, NOUN 
eventually, ADV 
leads, VERB 
OA, PROPN 
progression, NOUN 
6, NUM 

, SPACE 
recent, ADJ 
experimental, ADJ 
data, NOUN 
support, VERB 
hypothesis, NOUN 
example, NOUN 
administration, NOUN 
osteoprotegerin, NOUN 
prevented, VERB 
trabecular, ADJ 
bone, NOUN 

, SPACE 
loss, NOUN 
cartilage, NOUN 
degradation, NOUN 
surgically, ADV 
induced, VERB 
OA, PROPN 
model, NOUN 

, SPACE 
7, NUM 
aggrecanase-2, PROPN 
de, X 
ﬁcient, NOUN 
ADAMTS5, PROPN 

, SPACE 
−/−, PROPN 
mice, NOUN 

, SPACE 
found, VERB 
protected, VERB 
cartilage, NOUN 
degeneration, NOUN 
joint, ADJ 
instabil-, NOUN 

, SPACE 
ity, NOUN 
showed, VERB 
severe, ADJ 
subchondral, ADJ 
bone, NOUN 
changes, NOUN 
compared, VERB 
wild, ADJ 

, SPACE 
type, NOUN 
controls, NOUN 
8, NUM 
cellular, ADJ 
level, NOUN 
osteoblasts, VERB 
OA, PROPN 
patients, NOUN 
in-, ADP 

, SPACE 
duced, VERB 
hypertrophic, ADJ 
differentiation, NOUN 
matrix, NOUN 
mineralization, NOUN 
nor-, PROPN 

, SPACE 
mal, ADJ 
chondrocytes, VERB 
vitro, X 
9, NUM 
Despite, SCONJ 
indirect, ADJ 
evidence, NOUN 
directBone, PRON 
51, NUM 
2012, NUM 
212, NUM 
217, NUM 

, SPACE 
⁎Correspondence, NOUN 
L., PROPN 
Wang, PROPN 
Department, PROPN 
Mechanical, PROPN 
Engineering, PROPN 
University, PROPN 

, SPACE 
Delaware, PROPN 
Newark, PROPN 
DE, PROPN 
19716, NUM 
USA, PROPN 
Fax, NOUN 
+1, PROPN 
302, NUM 
831, NUM 
3619, NUM 

, SPACE 
⁎⁎Correspondence, PUNCT 
J., PROPN 
Pan, PROPN 
Key, PROPN 
Laboratory, PROPN 
Biorheological, PROPN 
Science, PROPN 
Technology, PROPN 

, SPACE 
Ministry, PROPN 
Education, PROPN 
Bioengineering, PROPN 
College, PROPN 
Chongqing, PROPN 
University, PROPN 
Chongqing400044, PROPN 
PR, PROPN 
China, PROPN 
Fax, NOUN 
+86, NOUN 
23, NUM 
65460031, NUM 

, SPACE 
E, ADJ 
mail, NOUN 
addresses, NOUN 
lywang@udel.edu, PROPN 
L., PROPN 
Wang, PROPN 
panj@cqu.edu.cn, NOUN 
J., PROPN 
Pan, PROPN 

, SPACE 
8756, NUM 
3282/$, NUM 
matter, NOUN 
©, ADJ 
2011, NUM 
Elsevier, PROPN 
Inc., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
doi:10.1016, PROPN 
j.bone.2011.11.030, PROPN 

, SPACE 
Contents, PROPN 
lists, NOUN 
available, ADJ 
SciVerse, PROPN 
ScienceDirect, PROPN 

, SPACE 
Bone, PROPN 

, SPACE 
journal, NOUN 
homepage, NOUN 
www.elsevier.com/locate/bone, NOUN 

, SPACE 
cross, NOUN 
talk, NOUN 
subchondral, ADJ 
bone, NOUN 
articular, ADJ 
cartilage, NOUN 

, SPACE 
established, VERB 
OA, PROPN 
joints, NOUN 

, SPACE 
Recently, ADV 
demonstrated, VERB 
potential, NOUN 
cross, NOUN 
talk, NOUN 

, SPACE 
subchondral, ADJ 
bone, NOUN 
articular, ADJ 
cartilage, NOUN 
normal, ADJ 
mature, ADJ 
joints, NOUN 

, SPACE 
10, NUM 
advanced, ADJ 
imaging, NOUN 
approach, NOUN 
based, VERB 
ﬂuorescence, NOUN 

, SPACE 
loss, NOUN 
induced, VERB 
photobleaching, VERB 
FLIP, PROPN 
quanti, PROPN 
ﬁed, PROPN 
permeabili-, ADJ 

, SPACE 
ty, PRON 
calci, NOUN 
ﬁed, PROPN 
cartilage, NOUN 
osteochondral, ADJ 
interface, NOUN 
small, ADJ 

, SPACE 
molecular, ADJ 
weight, NOUN 
tracer, NOUN 
sodium, NOUN 
ﬂuorescein, PROPN 
mol, PROPN 
wt, PROPN 
376, NUM 
Da, PROPN 

, SPACE 
knee, NOUN 
joints, NOUN 
adult, NOUN 
mice, NOUN 
results, NOUN 
measurable, ADJ 
solute, NOUN 
trans-, NOUN 

, SPACE 
port, NOUN 
joints, NOUN 
challenged, VERB 
long, ADV 
held, ADJ 
view, NOUN 
imper-, ADJ 

, SPACE 
meable, ADJ 
calci, NOUN 
ﬁed, PROPN 
cartilage, NOUN 
separates, VERB 
subchondral, ADJ 
bone, NOUN 

, SPACE 
articular, ADJ 
cartilage, NOUN 
adult, NOUN 
joints, NOUN 
11–13, X 
OA, PROPN 
alterations, NOUN 

, SPACE 
structural, ADJ 
material, ADJ 
properties, NOUN 
joint, ADJ 
tissues, NOUN 
reported, VERB 

, SPACE 
8,14, NUM 
17, NUM 
addition, NOUN 
vascular, ADJ 
channels, NOUN 
18,19, NUM 
microcracks, NOUN 

, SPACE 
20,21, NUM 
act, VERB 
transport, NOUN 
conduits, NOUN 
reported, VERB 

, SPACE 
OA, PROPN 
joints, NOUN 
matrix, NOUN 
property, NOUN 
structural, ADJ 
alterations, NOUN 

, SPACE 
OA, PROPN 
joints, NOUN 
translate, VERB 
functional, ADJ 
changes, NOUN 
bone, NOUN 
cartilage, NOUN 

, SPACE 
cross, NOUN 
talk, NOUN 
clear, ADJ 

, SPACE 
present, ADJ 
study, NOUN 
quanti, PROPN 
ﬁed, PROPN 
matrix, PROPN 
permeability, NOUN 
vessel, NOUN 
inva-, ADJ 

, SPACE 
sion, NOUN 
overall, ADJ 
joint, ADJ 
morphology, NOUN 
established, VERB 
OA, NOUN 
models, NOUN 

, SPACE 
age, NOUN 
related, VERB 
spontaneous, ADJ 
OA, NOUN 
22, NUM 
altered, VERB 
loading, NOUN 
surgery, NOUN 
induced, VERB 

, SPACE 
OA[23, NOUN 
hypothesis, NOUN 
communication, NOUN 
potential, NOUN 

, SPACE 
subchondral, ADJ 
bone, NOUN 
articular, ADJ 
cartilage, NOUN 
increases, NOUN 
OA, PROPN 
study, NOUN 

, SPACE 
weﬁrst, ADJ 
FLIP, NOUN 
quantify, VERB 
permeability, NOUN 
calci, NOUN 
ﬁed, PROPN 
cartilage, NOUN 

, SPACE 
osteochondral, ADJ 
interface, NOUN 
main, ADJ 
barrier, NOUN 
transport, NOUN 
mo-, PROPN 

, SPACE 
lecular, ADJ 
signals, NOUN 
joint, ADJ 
tissues, NOUN 
permeability, NOUN 
order, NOUN 

, SPACE 
0.1–0.5μm2, PROPN 
s[10, PROPN 
orders, NOUN 
magnitude, NOUN 
smaller, ADJ 

, SPACE 
bone, NOUN 
articular, ADJ 
cartilage, NOUN 
24,25, NUM 
measured, VERB 

, SPACE 
overall, ADJ 
joint, ADJ 
morphology, NOUN 
number, NOUN 
density, NOUN 
invading, VERB 
vessels, NOUN 

, SPACE 
confocal, ADJ 
microscopy, NOUN 
compared, VERB 
controls, NOUN 
observed, VERB 

, SPACE 
OA, PROPN 
associated, VERB 
signi, NOUN 
ﬁcant, NOUN 
changes, NOUN 
tissue, NOUN 
matrix, NOUN 

, SPACE 
permeability, NOUN 
OA, PROPN 
model, NOUN 
OA, PROPN 
result, VERB 
increase, NOUN 

, SPACE 
blood, NOUN 
vessels, NOUN 
invaded, VERB 
perforated, VERB 
calci, NOUN 
ﬁed, PROPN 
cartilage, NOUN 

, SPACE 
models, NOUN 
led, VERB 
thinning, NOUN 
subchondral, ADJ 
bone, NOUN 

, SPACE 
calciﬁed, NOUN 
cartilage, NOUN 
layers, NOUN 
aged, ADJ 
joints, NOUN 
results, NOUN 
sug-, NOUN 

, SPACE 
gested, VERB 
capacity, NOUN 
cross, NOUN 
talk, NOUN 
subchondral, ADJ 
bone, NOUN 

, SPACE 
articular, ADJ 
cartilage, NOUN 
elevated, VERB 
OA, PROPN 
morphological, ADJ 
alter-, ADJ 

, SPACE 
ations, NOUN 
joint, NOUN 

, SPACE 
Materials, NOUN 
methods, NOUN 

, SPACE 
Experimental, ADJ 
groups, NOUN 

, SPACE 
murine, NOUN 
OA, PROPN 
models, NOUN 
utilized, VERB 
study, NOUN 
ﬁrst, ADJ 

, SPACE 
age, NOUN 
related, VERB 
spontaneous, ADJ 
OA, NOUN 
model, NOUN 
C57BL/6J, PROPN 
mice, NOUN 

, SPACE 
n=13, PROPN 
aged, VERB 
20, NUM 
24, NUM 
months, NOUN 
age, NOUN 
time, NOUN 

, SPACE 
mild, ADJ 
moderate, ADJ 
bi, ADJ 
lateral, ADJ 
knee, NOUN 
OA, PROPN 
observed, VERB 
previously, ADV 
de-, PROPN 

, SPACE 
scribed, VERB 
literature, NOUN 
22, NUM 
second, ADJ 
model, NOUN 
surgical, ADJ 
de-, PROPN 

, SPACE 
stabilization, NOUN 
medical, ADJ 
meniscus, NOUN 
DMM, PROPN 
OA, PROPN 
model, NOUN 
23, NUM 

, SPACE 
portion, NOUN 
study, NOUN 
male, ADJ 
C57BL/6J, PROPN 
mice, NOUN 
n=14, PROPN 
subjected, VERB 

, SPACE 
DMM, PROPN 
surgery, NOUN 
age, NOUN 
months, NOUN 
described, VERB 
previously, ADV 

, SPACE 
23, NUM 
Brie, PROPN 
ﬂy, PROPN 
aseptic, ADJ 
conditions, NOUN 
right, ADJ 
knee, NOUN 
joint, PROPN 
capsule, PROPN 

, SPACE 
opened, VERB 
ligament, NOUN 
attaching, VERB 
medial, ADJ 
meniscus, NOUN 

, SPACE 
tibia, NOUN 
transected, VERB 
impair, VERB 
stability, NOUN 
joint, ADJ 
structure, NOUN 

, SPACE 
23, NUM 
left, ADJ 
joints, NOUN 
operated, VERB 
served, VERB 
internal, ADJ 

, SPACE 
controls, NOUN 
mice, NOUN 
sacri, ADV 
ﬁced, VERB 
weeks, NOUN 
post, NOUN 
surgery, NOUN 

, SPACE 
age, NOUN 
ﬁve, NOUN 
months, NOUN 
subjected, VERB 
cartilage, NOUN 
integrity, NOUN 
Safranin-, PROPN 

, SPACE 
O, INTJ 
fast, ADJ 
green, ADJ 
staining, NOUN 
transport, NOUN 
examinations, NOUN 
FLIP, PROPN 
measure-, ADJ 

, SPACE 
ments, NOUN 
basic, ADJ 
fuchsin, NOUN 
staining, NOUN 
detailed, VERB 
addition, NOUN 

, SPACE 
separate, ADJ 
ﬁve, NOUN 
month, NOUN 
old, ADJ 
male, ADJ 
C57BL/6J, PROPN 
mice, NOUN 
controls, NOUN 

, SPACE 
histological, ADJ 
examination, NOUN 
cartilage, NOUN 
damage, NOUN 
vessel, NOUN 
invasions, NOUN 

, SPACE 
baseline, NOUN 
control, NOUN 
measurements, NOUN 
compared, VERB 

, SPACE 
aged, ADJ 
mice, NOUN 
5, NUM 
months, NOUN 
vs., ADP 
20, NUM 
24, NUM 
months, NOUN 
mice, NOUN 
altered, ADJ 
knee, NOUN 

, SPACE 
loading, NOUN 
conditions, NOUN 
intact, ADJ 
vs., X 
DMM, PROPN 
joints, NOUN 
mice, NOUN 
purchased, VERB 

, SPACE 
Jackson, PROPN 
Laboratory, PROPN 
Jackson, PROPN 
Laboratory, PROPN 
Bar, PROPN 
Harbor, PROPN 
study, NOUN 
approved, VERB 
Institutional, PROPN 
Animal, PROPN 
Care, PROPN 

, SPACE 
Use, PROPN 
Committee, PROPN 
University, PROPN 
Delaware, PROPN 

, SPACE 
Toﬁrst, PROPN 
validate, VERB 
OA, PROPN 
models, NOUN 
joint, ADJ 
samples, NOUN 
subset, NOUN 

, SPACE 
aged, ADJ 
DMM, PROPN 
control, NOUN 
mice, NOUN 
examined, VERB 
standard, ADJ 
histolo-, NOUN 

, SPACE 
gy, NOUN 
evaluate, VERB 
cartilage, NOUN 
damage, NOUN 
following, VERB 
previously, ADV 
published, VERB 
pro-, PROPN 

, SPACE 
cedures, NOUN 
23, NUM 
Brie, PROPN 
ﬂy, PROPN 
joints, NOUN 
aged, ADJ 
mice, NOUN 
right, ADJ 
joints, NOUN 
n=5, PROPN 

, SPACE 
DMM, PROPN 
mice, NOUN 
operated, VERB 
right, ADJ 
joints, NOUN 
left, ADJ 
contralateraljoints, NOUN 
n=6, NOUN 
control, NOUN 
mice, NOUN 
right, ADJ 
joints, NOUN 
n=6, NOUN 
harvested, VERB 

, SPACE 
ﬁxed, VERB 
10, NUM 
neutral, ADJ 
buffed, VERB 
formalin, NOUN 
decalci, VERB 
ﬁed, PROPN 
formic, PROPN 

, SPACE 
acid, NOUN 
embedded, VERB 
paraf, NOUN 
ﬁn, NOUN 
Sequential, ADJ 
frontal, ADJ 
sections, NOUN 

, SPACE 
5μm, ADV 
thick, ADJ 
obtained, VERB 
microtome, NOUN 
collected, VERB 

, SPACE 
positively, ADV 
charged, VERB 
glass, NOUN 
slides, NOUN 
2, NUM 
3, NUM 
sections, NOUN 
slide, NOUN 
assess, VERB 
dam-, DET 

, SPACE 
age, NOUN 
entire, ADJ 
joint, NOUN 
12, NUM 
15, NUM 
slides, NOUN 
covering, VERB 
thickness, NOUN 

, SPACE 
joint, NOUN 
chosen, VERB 
stained, VERB 
0.1, NUM 
Safranin, PROPN 
O, INTJ 
Fast, PROPN 

, SPACE 
Green, PROPN 
sections, NOUN 
blindly, ADV 
scored, VERB 
light, ADJ 
microscopy, NOUN 

, SPACE 
observers, NOUN 
JP, PROPN 
TS, PROPN 
quadrants, NOUN 
medial, ADJ 
lateral, ADJ 
fem-, NOUN 

, SPACE 
oral, ADJ 
condyles, NOUN 
medial, ADJ 
lateral, ADJ 
tibial, ADJ 
plateaus, NOUN 
following, VERB 
semi-, ADJ 

, SPACE 
quantitative, ADJ 
grading, VERB 
scale, NOUN 
23, NUM 
0, NUM 
=, ADJ 
normal, ADJ 
cartilage, NOUN 

, SPACE 
0.5, NUM 
=, NOUN 
loss, NOUN 
Safranin, PROPN 
O, NOUN 
staining, NOUN 
structural, ADJ 
lesions, NOUN 

, SPACE 
1, X 
=, VERB 
roughened, VERB 
articular, ADJ 
surface, NOUN 
small, ADJ 
ﬁbrillations, NOUN 
2=, NUM 
ﬁbrillation, NOUN 

, SPACE 
super, ADJ 
ﬁcial, ADJ 
layer, NOUN 
loss, NOUN 
lamina, NOUN 
3=, NUM 
ﬁbrillations, NOUN 

, SPACE 
extending, VERB 
calci, NOUN 
ﬁed, PROPN 
cartilage, NOUN 
25, NUM 
carti-, NOUN 

, SPACE 
lage, NOUN 
width, NOUN 
4=, NUM 
ﬁbrillations, NOUN 
extending, VERB 
calci, NOUN 
ﬁed, PROPN 
cartilage, NOUN 

, SPACE 
25–50, NUM 
cartilage, NOUN 
width, NOUN 
5=, NUM 
ﬁbrillation, NOUN 
erosions, NOUN 
extending, VERB 

, SPACE 
50, NUM 
75, NUM 
cartilage, NOUN 
width, NOUN 
6, NUM 
=, NOUN 
cartilage, NOUN 
erosion, NOUN 
extending, VERB 

, SPACE 
75, NUM 
cartilage, NOUN 
width, NOUN 
average, ADJ 
score, NOUN 
sec-, NOUN 

, SPACE 
tions, NOUN 
reported, VERB 
knee, NOUN 
scores, NOUN 
con, PROPN 
ﬁrmed, ADJ 
signi, NOUN 
ﬁcant, NOUN 

, SPACE 
mild, ADJ 
cartilage, NOUN 
damage, NOUN 
aged, ADJ 
DMM, PROPN 
groups, NOUN 
compared, VERB 

, SPACE 
normal, ADJ 
controls, NOUN 
detailed, VERB 
Results, PROPN 
section, NOUN 
Based, VERB 

, SPACE 
validation, NOUN 
study, NOUN 
OA, PROPN 
models, NOUN 
utilized, VERB 
fol-, NOUN 

, SPACE 
lowing, NOUN 
quantitative, ADJ 
studies, NOUN 

, SPACE 
Matrix, PROPN 
permeability, NOUN 
measurements, NOUN 
FLIP, NOUN 

, SPACE 
quantify, VERB 
permeability, NOUN 
calci, NOUN 
ﬁed, PROPN 
cartilage, NOUN 

, SPACE 
osteochondral, ADJ 
interface, NOUN 
subset, NOUN 
DMM, PROPN 
mice, NOUN 
n=5, X 
aged, ADJ 
mice, NOUN 

, SPACE 
n=4, PROPN 
subjected, VERB 
FLIP, PROPN 
tests, NOUN 
previously, ADV 
published, VERB 
pro-, PROPN 

, SPACE 
cedures, NOUN 
10, NUM 
operated, VERB 
contralateral, ADJ 
joints, NOUN 
DMM, PROPN 

, SPACE 
mice, NOUN 
right, ADJ 
joints, NOUN 
aged, ADJ 
mice, NOUN 
utilized, VERB 
Be-, NOUN 

, SPACE 
cause, VERB 
difference, NOUN 
found, VERB 
cartilage, NOUN 
damage, NOUN 
score, NOUN 

, SPACE 
DMM, PROPN 
contralateral, ADJ 
joints, NOUN 
normal, ADJ 
5, NUM 
month, NOUN 
old, ADJ 
B6, NOUN 
joints, NOUN 

, SPACE 
contralateral, ADJ 
joints, NOUN 
served, VERB 
undamaged, ADJ 
internal, ADJ 
controls, NOUN 

, SPACE 
DMM, PROPN 
operated, VERB 
joints, NOUN 
Brie, PROPN 
ﬂy, PROPN 
mice, NOUN 
injected, VERB 
bolus, NOUN 
so-, PROPN 

, SPACE 
dium, PROPN 
ﬂuorescein, PROPN 
solution, NOUN 
2, NUM 
mg, NOUN 
0.5, NUM 
mL, NUM 
tail, PROPN 
vein, ADJ 
injection, NOUN 

, SPACE 
~0.5, X 
h, NOUN 
mice, NOUN 
sacri, ADV 
ﬁced, VERB 
distal, ADJ 
femurs, NOUN 
harvested, VERB 
im-, ADP 

, SPACE 
mediately, ADV 
sagittally, ADV 
split, VERB 
notch, NOUN 
con-, NOUN 

, SPACE 
dyles, NOUN 
trimming, VERB 
cut, ADJ 
surface, NOUN 
diamond, NOUN 
knife, NOUN 

, SPACE 
cryostat, NOUN 
halved, VERB 
samples, NOUN 
mounted, VERB 
cover, NOUN 
glass, NOUN 
im-, NOUN 

, SPACE 
aged, ADJ 
inverted, VERB 
confocal, ADJ 
laser, NOUN 
scanning, NOUN 
microscope, NOUN 
Zeiss, PROPN 
LSM, PROPN 

, SPACE 
510, NUM 
Standort, PROPN 
G, PROPN 
őttingen, NOUN 
Germany, PROPN 
equipped, VERB 
40×, NOUN 
oil, NOUN 
immersion, NOUN 

, SPACE 
objective, NOUN 
excitation, NOUN 
emission, NOUN 
488/520, PROPN 
nm, PROPN 
Individual, ADJ 

, SPACE 
chondrons, NOUN 
calci, NOUN 
ﬁed, PROPN 
cartilage, NOUN 
osteocyte, NOUN 
lacunae, NOUN 
near, ADP 

, SPACE 
osteochondral, ADJ 
interface, NOUN 
5, NUM 
20μm, NOUN 
cutting, VERB 
surface, NOUN 

, SPACE 
readily, ADV 
identi, PROPN 
ﬁed, PROPN 
based, VERB 
shapes, NOUN 
spherical, ADJ 
vs., X 
ellipsoidal, ADJ 

, SPACE 
size, NOUN 
20, NUM 
vs., ADP 
10, NUM 
μm, NOUN 
single, ADJ 
chondron, NOUN 
transport, NOUN 
sink, NOUN 
sub-, ADV 

, SPACE 
jected, VERB 
