~.~Joum'al, PUNCT 
750, NUM 
°, NOUN 
C, NOUN 

, SPACE 
2.3, X 
Differential, ADJ 
scanning, VERB 
calorimetry, NOUN 
DSC, PROPN 

, SPACE 
DSC, PROPN 
utilized, VERB 
determine, VERB 
glass, NOUN 
transition, NOUN 

, SPACE 
temperatures, NOUN 
Tg, PROPN 
copolymers, NOUN 
carried, VERB 

, SPACE 
Perkin, PROPN 
Elmer, PROPN 
DSC-7, PROPN 
instrument, NOUN 
melting, NOUN 

, SPACE 
points, NOUN 
indium, NOUN 
156, NUM 
°, NUM 
(2, NUM 
ice, NOUN 
0, NUM 
°, NOUN 
C, NOUN 

, SPACE 
calibrate, VERB 
DSC, PROPN 
temperature, NOUN 
program, NOUN 

, SPACE 
analysis, NOUN 
-70, PROPN 
°, NUM 
C, NOUN 
10, NUM 
min, NOUN 
followed, VERB 
increase, NOUN 

, SPACE 
20, NUM 
°, NUM 
C, NOUN 
min, NOUN 
-~, PUNCT 
150, NUM 
°, NUM 
C, NOUN 

, SPACE 
2, X 
Experimental, ADJ 

, SPACE 
~H, PUNCT 
t3C, PROPN 
NMR, PROPN 
spectra, NOUN 
obtained, VERB 

, SPACE 
Bruker, PROPN 
AC-250, PROPN 
AM-360, PROPN 
spectrometer, NOUN 
operating, VERB 

, SPACE 
29, NUM 
Fourier, PROPN 
transform, NOUN 
mode, NOUN 
Si, ADJ 
NMR, PROPN 
spectra, NOUN 

, SPACE 
recorded, VERB 
IBM, PROPN 
Bruker, PROPN 
WP-270, PROPN 
SY, NOUN 
spectrometer, NOUN 

, SPACE 
cent, NOUN 
weight, NOUN 
volume, NOUN 
solutions, NOUN 
copolymer, NOUN 

, SPACE 
chloroformod, PROPN 
obtain, VERB 
NMR, PROPN 
spectra, NOUN 
~C, PUNCT 

, SPACE 
NMR, PROPN 
spectra, NOUN 
run, VERB 
broad, ADJ 
band, NOUN 
proton, NOUN 
decou, NOUN 
°, PART 

, SPACE 
piing, NOUN 
heteronuelear, NOUN 
gated, VERB 
decoupling, VERB 
pulse, NOUN 
sequence, NOUN 

, SPACE 
NONOE, PROPN 
20, NUM 
s, NOUN 
delay, NOUN 
acquire, VERB 
Z'~Si, NOUN 

, SPACE 
NMR, PROPN 
spectra, NOUN 
9, NUM 
externally, ADV 
referenced, VERB 

, SPACE 
TMS, PROPN 
Chloroform, PROPN 
internal, ADJ 
standard, NOUN 

, SPACE 
tH, X 
~C, PUNCT 
NMR, PROPN 
spectra, NOUN 
IR, PROPN 
spectra, PROPN 
neat, ADJ 
films, NOUN 

, SPACE 
NaC, PROPN 
plates, NOUN 
recorded, VERB 
IBM, PROPN 
FrolR, PROPN 
spectrome~, NOUN 

, SPACE 
ter, NOUN 
UV, NOUN 
spectra, NOUN 
cyclohexane, ADJ 
solutions, NOUN 
wet, ADJ 
acquired, VERB 

, SPACE 
Shimadzu, PROPN 
UVo260, NOUN 
ultraviolet, ADJ 
visible, ADJ 
spectrometer, NOUN 

, SPACE 
2, X 
Molecular, ADJ 
weight, NOUN 
distributions, NOUN 

, SPACE 
Gel, PROPN 
permeation, NOUN 
chromatographic, ADJ 
GPC, PROPN 
analysis, NOUN 

, SPACE 
molecular, ADJ 
weight, NOUN 
distribution, NOUN 
copolymet~, NOUN 

, SPACE 
performed, VERB 
Wate~, ADJ 
system, NOUN 
cow, NOUN 
~, AUX 
rising, VERB 
U6, NOUN 
K, PROPN 

, SPACE 
injector, NOUN 
510, NUM 
HPLC, ADJ 
solvent, NOUN 
delivery, NOUN 
system, NOUN 
R401, PROPN 

, SPACE 
refractive, ADJ 
index, NOUN 
detector, NOUN 
model, NOUN 
820, NUM 
Maxima, PROPN 

, SPACE 
control, NOUN 
system, NOUN 
series, NOUN 
7.8, NUM 
mmx, NOUN 
30, NUM 
cm, NOUN 

, SPACE 
columns, NOUN 
packed, VERB 
smaller, ADJ 
10, NUM 
~m, NUM 
particles, NOUN 

, SPACE 
monodisperse, NOUN 
cross, ADJ 
linked, VERB 
styrene, ADJ 
divinyl, NOUN 
benzene, PROPN 

, SPACE 
¢opolymer, X 
contain, VERB 
pore, ADJ 
sizes, NOUN 
Ix, PROPN 
104, NUM 

, SPACE 
Waters, PROPN 
Ultrastyragel, PROPN 
Ix, PROPN 
IO, PROPN 
~, PUNCT 
.3, PROPN 
Waters, PROPN 
Ultra-, ADJ 

, SPACE 
styragel, PROPN 
finally, ADV 
500, NUM 
~, PUNCT 
Polymer, PROPN 
Laboratories, PROPN 

, SPACE 
PL~,~, PROPN 
eluting, VERB 
solvent, NOUN 
HPLC, PROPN 
fade, NOUN 
THF, PROPN 

, SPACE 
g, ADP 
flow, NOUN 
rate, NOUN 
0.6, NUM 
ml, NOUN 
rain-, ADJ 
retention, NOUN 
times, NOUN 

, SPACE 
calibrated, VERB 
known, VERB 
monodisperse, NOUN 
polystyrene, NOUN 

, SPACE 
standards, NOUN 
M,~, PROPN 
612, NUM 
000, NUM 
4, NUM 
200, NUM 
47, NUM 
500, NUM 
18, NUM 
700, NUM 
5120, NUM 

, SPACE 
2200, NUM 
Mw, PROPN 
M, PROPN 
1.09, NUM 
2.4, NUM 
Reagents, NOUN 

, SPACE 
reactions, NOUN 
conducted, VERB 
flame, NOUN 
dried, VERB 
glass-, NOUN 

, SPACE 
ware, VERB 
purified, VERB 
argon, NOUN 
3',4'-Methylenedioxyace-, NUM 

, SPACE 
tophenone, NOUN 
purchased, VERB 
Aldrich, PROPN 
1,3, NUM 
Divinyi-, PROPN 

, SPACE 
tetramethyidisiloxane, NOUN 
3,3,6,6, NUM 
tetramethyi-3,6, NOUN 
disila-, VERB 

, SPACE 
1,7, PROPN 
octadiene, NOUN 
obtained, VERB 
United, PROPN 
Chemical, PROPN 

, SPACE 
Technologies, PROPN 
Dihydridocarbonyl, NOUN 
tris(triphenylphos-, NOUN 

, SPACE 
phine)ruthenium, NOUN 
prepared, VERB 
ruthenium, NOUN 
trichlo-, X 

, SPACE 
ride, NOUN 
10, NUM 

, SPACE 
2.5, X 
Elemental, ADJ 
analysis, NOUN 

, SPACE 
Analysis, PROPN 
tx, PRON 
~, PROPN 
rl, NOUN 
~, NOUN 
rmed, VERB 
Oneid, PROPN 
Research, PROPN 
Sct, PROPN 
o, NOUN 

, SPACE 
vices, NOUN 
Inc., PROPN 
Whitesboro, PROPN 
NY, PROPN 

, SPACE 
2.5, NUM 
Copoly(3,3,5,5, PROPN 
tetramethyl.4, X 
°, NOUN 
oxa.3,5, X 
.disila, PUNCT 
7, NUM 

, SPACE 
hepmnylene, PROPN 
2, NUM 
aceto-4,5.methylenedioxy-, NOUN 
3-pht.nylene, PROPN 

, SPACE 
argon, NOUN 
atmosphere, NOUN 
0.07, NUM 
g, PROPN 
0.08, NUM 
mmol, NOUN 

, SPACE 
RuH,(COXPPh~).~, PROPN 
ml, VERB 
toluene, ADV 
50, NUM 
ml, NOUN 

, SPACE 
flame, NOUN 
dried, VERB 
necked, VERB 
round, NOUN 
bottomed, ADJ 
flask, NOUN 

, SPACE 
equipped, VERB 
reflux, NOUN 
condenser, NOUN 
Teflon, PROPN 

, SPACE 
covered, VERB 
magnetic, ADJ 
stirring, ADJ 
bar, NOUN 
inlets, NOUN 

, SPACE 
sealed, VERB 
rubber, NOUN 
septa, NOUN 
Ariel, PROPN 
injection, NOUN 
styrene, NOUN 
9, NUM 
~l, NUM 

, SPACE 
8, NUM 
rag, NOUN 
0.008, NUM 
mmol, NOUN 
syringe, NOUN 
flask, NOUN 
heated, VERB 

, SPACE 
2, NUM 
rain, NOUN 
135, NUM 
°, NOUN 
C, NOUN 
mixture, NOUN 
3',4'-methylenedioxyaceo, ADJ 

, SPACE 
tophenone, NOUN 
0.66, NUM 
g, NOUN 
4, NUM 
mmoi, NOUN 
1,3, NUM 
divinyltetrameth-, NOUN 

, SPACE 
yldisiloxmle, ADJ 
0.75, NUM 
g, NOUN 
4, NUM 
retool, NOUN 
injected, VERB 

, SPACE 
flask, NOUN 
syringe, NOUN 
mixture, NOUN 
immediately, ADV 

, SPACE 
turned, VERB 
black, ADJ 
mixture, NOUN 
kept, VERB 
135, NUM 
°, NOUN 
C, NOUN 
16, NUM 
h, NOUN 

, SPACE 
solvent, ADJ 
volatile, ADJ 
materials, NOUN 
°, PRON 

, SPACE 
moved, VERB 
distillation, NOUN 
reduced, VERB 
pressure, NOUN 
crude, ADJ 

, SPACE 
polymer, NOUN 
purified, VERB 
times, NOUN 
precipitation, NOUN 

, SPACE 
tetrahydrofuran, NOUN 
methanol, NOUN 
way, NOUN 
1.23, NUM 
g., NOUN 
86, NUM 

, SPACE 
pure, ADJ 
copolymer, NOUN 
obtained, VERB 
Mw, PROPN 
M, PROPN 
=, PROPN 

, SPACE 
32610/24230, NUM 
T~, ADJ 
=, PROPN 
-7, X 
°, NUM 
C, NOUN 
~H, PUNCT 
NMR, PROPN 
8, NUM 
0.06, NUM 
s, PROPN 
12H, NUM 


, SPACE 
G., PROPN 
Wang, PROPN 
et, PROPN 
al, PROPN 
Journal, PROPN 
Orgammwtalli, PROPN 
Ch¢'mistry, ADJ 
521, NUM 
¢, PROPN 
996, NUM 
35, NUM 
-354, NOUN 
353, NUM 

, SPACE 
0.80, NUM 
br, PROPN 
s, PROPN 
4H, PROPN 
2.42, NUM 
br, PROPN 
s, PROPN 
7H, NOUN 
5.88, NUM 
s, PROPN 
2H, PROPN 
6.54, NUM 
s, PROPN 

, SPACE 
IH, PROPN 
ISC, PROPN 
NMR, PROPN 
8, NUM 
0.07, NUM 
0.13, NUM 
0.18, NUM 
19.23, NUM 
21.09, NUM 
26.61, NUM 

, SPACE 
33.3, NUM 
100.80, NUM 
06.43, NUM 
121.97, NUM 
134, NUM 
0, NUM 
134.20, NUM 
34.46, NUM 

, SPACE 
143.36, NUM 
147.24, NUM 
206.88, NUM 
gSi, VERB 
NMR, PROPN 
8, NUM 
7.11, NUM 
7.15, NUM 
7.17, NUM 

, SPACE 
IR, PROPN 
v, ADP 
2958, NUM 
2891, NUM 
1693, NUM 
1627, NUM 
1501, NUM 
1469, NUM 
1454, NUM 
1414, NUM 

, SPACE 
1357, NUM 
1319, NUM 
1295, NUM 
1254, NUM 
1242, NUM 
1184, NUM 
1117, NUM 
1061, NUM 
986, NUM 

, SPACE 
955, NUM 
937, NUM 
908, NUM 
841, NUM 
800, NUM 
734, NUM 
cm, NOUN 
-I, NOUN 
UV, NOUN 
A(e, PUNCT 

, SPACE 
291(4084, NUM 
Anal, PROPN 
Found, VERB 
C, PROPN 
58.12, NUM 
H, PROPN 
7.13, NUM 

, SPACE 
CITH~60,~Si, NOUN 
2, NUM 
Calc, NOUN 
C, PROPN 
58.24, NUM 
H, PROPN 
7.41, NUM 

, SPACE 
2.5.2, PROPN 
Copoly(3,3,6,6, PROPN 
tetramethyl-3,6, NUM 
disila-, VERB 
l,8, NOUN 
octany-, NOUN 

, SPACE 
lene, NOUN 
2, NUM 
aceto-4,5, NOUN 
methylenedioxy-, ADJ 
1,3, NUM 
phenylene, NOUN 

, SPACE 
Reaction, NOUN 
3',4'-methylenedioxyacetophenone, NUM 
0.06, NUM 

, SPACE 
g, PROPN 
4, NUM 
mmoi, NOUN 
3,3,6,6, NUM 
tetramethyl-3,6, NUM 
disila, PROPN 
l,7, NOUN 
oc-, NOUN 

, SPACE 
tadiene, NOUN 
gave, VERB 
1.2, NUM 
g, NOUN 
83, NUM 
pulse, PROPN 
copolymer, NOUN 

, SPACE 
3, NUM 
°, X 
Mw, PROPN 
M, PROPN 
=, VERB 
45610/3, NUM 
460, NUM 
Tg, PROPN 
=, PRON 
C., PROPN 
tH, X 
NMR, PROPN 
6, NUM 
0.00, NUM 

, SPACE 
br, PROPN 
s, PROPN 
12H, NUM 
0.37, NUM 
br, PROPN 
s, PROPN 
4H, PROPN 
0.77, NUM 
br, PROPN 
s, PROPN 
4H, PROPN 
2.34, NUM 
br, PROPN 
s, PROPN 

, SPACE 
4H, PROPN 
2.42, NUM 
s, PROPN 
3H, PROPN 
5.88, NUM 
s, PROPN 
2H, PROPN 
6.5, NUM 
s, PROPN 
H, PROPN 
13C, NUM 
NMR, NOUN 

, SPACE 
4.17, NUM 
6.89, NUM 
5.39, NUM 
15.84, NUM 
17.73, NUM 
2, NUM 
.09, PROPN 
21.69, NUM 
27.3, NUM 
l, NOUN 

, SPACE 
33.34, NUM 
00.80, NUM 
106.43, NUM 
22.30, NUM 
125.9, NUM 
134.49, NUM 
43.35, NUM 

, SPACE 
147.27, NUM 
206.89, NUM 
29Si, NUM 
NMR, PROPN 
~, PUNCT 
4.02, NUM 
4.25, NUM 
4.47, NUM 
IR, PROPN 
u, NOUN 

, SPACE 
2953, NUM 
2894, NUM 
694, NUM 
1468, NUM 
1357, NUM 
1250, NUM 
1058, NUM 
832, NUM 
cm-, NOUN 

, SPACE 
UV, NOUN 
A(~, PROPN 
27(X3470, NUM 
293(3500, NUM 
Anal, PROPN 
Found, VERB 
C., PROPN 
62.84, NUM 

, SPACE 
H, PROPN 
8.16, NUM 
C~8H,8OsSi, X 
~, PUNCT 
Calc, PROPN 
C, NOUN 
63.00, NUM 
H, PROPN 
8.29, NUM 

, SPACE 
3, X 
Results, NOUN 
discussion, NOUN 

, SPACE 
Ru, PROPN 
catalyzed, ADJ 
copolymerization, NOUN 
reaction, NOUN 

, SPACE 
remarkable, ADJ 
involve, VERB 
catalytic, ADJ 
Co, PROPN 
~, PROPN 
ll, PROPN 

, SPACE 
aclivation, NOUN 
subject, NOUN 
current, ADJ 
interesl, NOUN 
reac-, ADJ 

, SPACE 
tion, NOUN 
ptx, NOUN 
~, PROPN 
ceeds, VERB 
regiospecific, ADJ 
anti, ADJ 
Markovnikoff, ADJ 
man~, PROPN 

, SPACE 
net, NOUN 
hydrogen, NOUN 
carbon~.hydrogen, NOUN 
~, VERB 
ond, NOUN 

, SPACE 
ortho, ADJ 
activating, VERB 
acetyl, NOUN 
group, NOUN 
bonded, VERB 

, SPACE 
substituted, VERB 
carbon, NOUN 
vinyl, NOUN 
group, NOUN 

, SPACE 
Ibund, VERB 
reaction, NOUN 
successfid, NOUN 

, SPACE 
limited, ADJ 
number, NOUN 
~,~o, PROPN 
~, NOUN 
dienes, NOUN 
reaction, NOUN 
fails, VERB 

, SPACE 
a,~o, NOUN 
dienes, NOUN 
1,7ooctadiene, NUM 
Ru, PROPN 
catalyst, NOUN 

, SPACE 
causes, VERB 
isomerization, NOUN 
terminal, ADJ 
carbon, NOUN 
=, SYM 
carbon, NOUN 

, SPACE 
double, ADJ 
bonds, NOUN 
internal, ADJ 
carbon, NOUN 
carbon, NOUN 
double, ADJ 
bonds, NOUN 

, SPACE 
app,'u'ently, ADV 
reactive, NOUN 
Silicon, PROPN 
pre-, NOUN 

, SPACE 
vents, NOUN 
isomerization, NOUN 
carbon, NOUN 
carbon, NOUN 
double, ADJ 
bonds, NOUN 

, SPACE 
known, VERB 
instability, NOUN 
silicon, NOUN 
carbon, NOUN 

, SPACE 
double, ADJ 
bonds, NOUN 
effect, NOUN 
silicon, NOUN 

, SPACE 
complex, NOUN 
carbon, NOUN 
carbon, NOUN 
double, ADJ 
bonds, NOUN 
vinyl, NOUN 

, SPACE 
bromide, NOUN 
vinyl, NOUN 
ethers, NOUN 
a,[3.unsaturated, VERB 
esters, NOUN 
a,[3-, X 

, SPACE 
unsaturated, ADJ 
nitriles, NOUN 
undergo, VERB 
isomerization, NOUN 

, SPACE 
hill, VERB 
react, VERB 
basis, NOUN 
conclude, VERB 

, SPACE 
effect, NOUN 
silyl, NOUN 
group, NOUN 
electronic, ADJ 

, SPACE 
blocks, VERB 
carbon, NOUN 
carbon, NOUN 
double, ADJ 
bond, NOUN 
isomerization, NOUN 

, SPACE 
Despite, SCONJ 
previous, ADJ 
success, NOUN 
Ru, PROPN 
catalyzed, VERB 

, SPACE 
step, NOUN 
growth, NOUN 
copolymerization, NOUN 
p, NOUN 
methoxyace-, NOUN 

, SPACE 
tophenone, NOUN 
1,3, NUM 
°, NUM 
divinyltetramethyldisiloxane, NOUN 

, SPACE 
consider, VERB 
successful, ADJ 
copolymerization, NOUN 
3',4'-meth-, NOUN 

, SPACE 
ylenedioxyacetophenone, NOUN 
1,3, NUM 
divinyltetramethyldi-, NOUN 

, SPACE 
siloxane, NOUN 
3,3,6,6, NUM 
tetramethyl-3,6, NUM 
disila, PROPN 
l,7, NOUN 
oc-, NOUN 

, SPACE 
L.'o, PROPN 

, SPACE 
e, NOUN 
°, X 
Xl~, PROPN 
°, PROPN 

, SPACE 
~o.~, PUNCT 
o, NOUN 
~o, PUNCT 
si~, PROPN 
oTSi'~~~, NOUN 
°, NUM 

, SPACE 
Fig, PROPN 
Copolymer, NOUN 
microstnlctures, NOUN 

, SPACE 
tadiene, VERB 
remarkable, ADJ 
fi'om, PROPN 
steric, ADJ 
point, NOUN 
view, NOUN 

, SPACE 
extremely, ADV 
unusual, ADJ 
able, ADJ 
insert, VERB 
group, NOUN 
be-, X 

, SPACE 
tween, VERB 
~roups, NOUN 
benzene, NOUN 
ring, NOUN 

, SPACE 
1,3, NUM 
relationship, NOUN 
particular, ADJ 
insertion, NOUN 
bulky, ADJ 

, SPACE 
polymer, NOUN 
chain, NOUN 
groups, NOUN 
1,3, NUM 
re-, ADP 

, SPACE 
lationship, NOUN 
expected, VERB 
involve, VERB 
extreme, ADJ 
steric, ADJ 
de-, NOUN 

, SPACE 
mands, NOUN 
copolymerization, NOUN 
~, NOUN 
1, NUM 

, SPACE 
