~!~l, PROPN 
recent, ADJ 
years, NOUN 
produce, VERB 

, SPACE 
synthetic, ADJ 
diamond, NOUN 
coatings, NOUN 
chemical, NOUN 
vapor, NOUN 
deposition, NOUN 

, SPACE 
thermal, ADJ 
spallation, NOUN 
supersonic, ADJ 
velocity, NOUN 

, SPACE 
flame, NOUN 
bores, NOUN 
holes, NOUN 
rock, NOUN 
rock, NOUN 
fragmentation, NOUN 
caused, VERB 

, SPACE 
large, ADJ 
transient, ADJ 
thermal, ADJ 
stresses, NOUN 
attributable, ADJ 
high, ADJ 

, SPACE 
heat, NOUN 
fluxes, NOUN 
impinging, VERB 
cold, ADJ 
surfaces, NOUN 
High, ADJ 
intensity, NOUN 
flame, NOUN 

, SPACE 
Address, PROPN 
reprint, NOUN 
requests, NOUN 
toDr, NOUN 
C., PROPN 
E., PROPN 
Baukal, PROPN 
Jr., PROPN 
St., PROPN 
Principal, PROPN 

, SPACE 
Development, PROPN 
Engineer, PROPN 
Advanced, PROPN 
Technology, PROPN 
Group, PROPN 
Air, PROPN 
Prod-, ADJ 

, SPACE 
ucts, NOUN 
Chemicals, PROPN 
Inc., PROPN 
7201, NUM 
Hamilton, PROPN 
Blvd, PROPN 
Allentown, PROPN 
PA, PROPN 

, SPACE 
18195, NUM 
1501, NUM 
USA, PROPN 

, SPACE 
Received, VERB 
1, NUM 
August, PROPN 
1995, NUM 
accepted, VERB 
24, NUM 
January, PROPN 
1996, NUM 

, SPACE 
Int, PROPN 
J., PROPN 
Heat, PROPN 
Fluid, PROPN 
Flow, PROPN 
17, NUM 
386, NUM 
396, NUM 
1996, NUM 

, SPACE 
©, NOUN 
1996, NUM 
Elsevier, ADJ 
Science, PROPN 
Inc., PROPN 

, SPACE 
655, NUM 
Avenue, PROPN 
Americas, PROPN 
New, PROPN 
York, PROPN 
NY, PROPN 
10010, NUM 
impingement, ADJ 
study, VERB 
extremely, ADV 
high, ADJ 
heat, NOUN 

, SPACE 
fluxes, NOUN 
encountered, VERB 
space, NOUN 
vehicles, NOUN 
entering, VERB 
Earth, PROPN 

, SPACE 
atmosphere, NOUN 
High, ADJ 
fluxes, NOUN 
caused, VERB 
hypersonic, ADJ 
impact, NOUN 
gas, NOUN 

, SPACE 
velocities, NOUN 
ionize, VERB 
highly, ADV 
shocked, ADJ 
atmospheric, ADJ 
gases, NOUN 

, SPACE 
primary, ADJ 
objective, NOUN 
review, NOUN 
provide, VERB 
designers, NOUN 

, SPACE 
researchers, NOUN 
available, ADJ 
empirical, ADJ 
heat, NOUN 
transfer, NOUN 
correla-, NOUN 

, SPACE 
tions, NOUN 
flame, NOUN 
impingement, VERB 
target, NOUN 
surfaces, NOUN 
objec-, NOUN 

, SPACE 
tive, NOUN 
provide, VERB 
comprehensive, ADJ 
reference, NOUN 
subject, NOUN 

, SPACE 
identify, VERB 
areas, NOUN 
requiring, VERB 
research, NOUN 

, SPACE 
Heat, NOUN 
transfer, NOUN 
mechanisms, NOUN 

, SPACE 
Convection, PROPN 
thermochemical, ADJ 
heat, NOUN 
release, NOUN 
radiation, NOUN 
conden-, NOUN 

, SPACE 
sation, NOUN 
heat, NOUN 
transfer, NOUN 
mechanisms, NOUN 
identified, VERB 
flame, NOUN 

, SPACE 
impingement, ADJ 
studies, NOUN 
reviewed, VERB 
relative, ADJ 
importance, NOUN 

, SPACE 
heat, NOUN 
transfer, NOUN 
mechanisms, NOUN 
depends, VERB 
experimental, ADJ 

, SPACE 
conditions, NOUN 
example, NOUN 
targets, NOUN 
located, VERB 
inside, ADP 

, SPACE 
hot, ADJ 
furnace, NOUN 
radiation, NOUN 
environment, NOUN 
furnace, NOUN 

, SPACE 
walls, NOUN 
important, ADJ 
targets, NOUN 
located, VERB 

, SPACE 
enclosure, NOUN 
radiation, NOUN 
ambient, ADJ 
environment, NOUN 

, SPACE 
negligible, ADJ 
circumstances, NOUN 
multiple, ADJ 
mechanisms, NOUN 

, SPACE 
combined, VERB 
heat, NOUN 
transfer, NOUN 
correlation, NOUN 

, SPACE 
commonly, ADV 
forced, VERB 
convection, NOUN 
coupled, VERB 
thermo-, NOUN 

, SPACE 
0142, NUM 
727X/96/$15.00, NUM 

, SPACE 
PII, PROPN 
S0142, PROPN 
727X(96)00003, NUM 
1, NUM 


, SPACE 
Flame, NOUN 
impingement, VERB 
heat, NOUN 
transfer, NOUN 
correlations, NOUN 
C., PROPN 
E., PROPN 
Baukal, PROPN 
B., PROPN 
Gebhart, PROPN 

, SPACE 
chemical, ADJ 
heat, NOUN 
release, NOUN 
TCHR, PROPN 
primarily, ADV 
difficulty, NOUN 

, SPACE 
experimentally, ADV 
separating, VERB 
mechanisms, NOUN 
studies, NOUN 

, SPACE 
heat, NOUN 
transfer, NOUN 
mechanisms, NOUN 
completely, ADV 
ignored, VERB 

, SPACE 
sufficient, ADJ 
justification, NOUN 
discussed, VERB 
Baukal, PROPN 
et, PROPN 
al, PROPN 

, SPACE 
1996, NUM 
following, VERB 
section, NOUN 
general, ADJ 
discussion, NOUN 

, SPACE 
mechanisms, NOUN 
detailed, ADJ 
presentation, NOUN 
specific, ADJ 
correlations, NOUN 

, SPACE 
main, ADJ 
subject, NOUN 
work, NOUN 
follows, VERB 
later, ADJ 
section, NOUN 

, SPACE 
Convection, NOUN 

, SPACE 
Forced, VERB 
convection, NOUN 
predominant, ADJ 
mechanism, NOUN 

, SPACE 
low, ADJ 
intensity, NOUN 
flames, NOUN 
negligible, ADJ 
chemical, NOUN 
dissociation, NOUN 
Lami-, PROPN 

, SPACE 
nar, NOUN 
flames, NOUN 
investigated, VERB 
studies, NOUN 
e.g., ADV 
Jackson, PROPN 

, SPACE 
Kilham, PROPN 
1956, NUM 
Turbulent, ADJ 
flames, NOUN 
tested, VERB 
studies, NOUN 
e.g., ADV 

, SPACE 
Giedt, PROPN 
et, PROPN 
al, PROPN 
1960, NUM 
turbulence, NOUN 
level, NOUN 
directly, ADV 
enhances, VERB 

, SPACE 
importance, NOUN 
forced, VERB 
convection, NOUN 

, SPACE 
Natural, ADJ 
convection, NOUN 
1985, NUM 
correlated, VERB 
heat, NOUN 
transfer, NOUN 

, SPACE 
buoyant, ADJ 
flame, NOUN 
terms, NOUN 
Rayleigh, PROPN 
number, NOUN 

, SPACE 
correlations, NOUN 
given, VERB 
later, ADV 
Equation, PROPN 
27, NUM 
Buoyancy, PROPN 
impor-, X 

, SPACE 
tant, NOUN 
study, NOUN 
low, ADJ 
burner, NOUN 
exit, NOUN 
velocities, NOUN 

, SPACE 
Thermochemical, ADJ 
heat, NOUN 
release, NOUN 
TCHR, PROPN 

, SPACE 
mechanism, NOUN 
refers, VERB 
energy, NOUN 
release, NOUN 
caused, VERB 
exother-, PROPN 

, SPACE 
mic, ADJ 
chemical, NOUN 
reactions, NOUN 
Hot, ADJ 
dissociated, VERB 
combustion, NOUN 
products, NOUN 

, SPACE 
impinge, NOUN 
cool, ADJ 
surface, NOUN 
radical, ADJ 
species, NOUN 
diffuse, VERB 

, SPACE 
concentration, NOUN 
gradients, NOUN 
lower, ADJ 
temperature, NOUN 
regions, NOUN 

, SPACE 
exothermically, ADV 
recombine, VERB 
species, NOUN 
form, VERB 

, SPACE 
stable, ADJ 
molecules, NOUN 
new, ADJ 
molecular, ADJ 
components, NOUN 
thermody-, AUX 

, SPACE 
namically, ADV 
preferred, VERB 
lower, ADJ 
temperatures, NOUN 
example, NOUN 

, SPACE 
significant, ADJ 
amounts, NOUN 
unburned, ADJ 
fuel, NOUN 
form, NOUN 

, SPACE 
CO, PROPN 
H2, PROPN 
produced, VERB 
O2, PROPN 
CH, PROPN 
4, NUM 
flames, NOUN 
flames, NOUN 
usually, ADV 
higher, ADJ 
temperatures, NOUN 
air, NOUN 
CH, NOUN 
4, NUM 
flames, NOUN 

, SPACE 
caused, VERB 
removal, NOUN 
N, PROPN 
2, NUM 
acts, VERB 
diluent, NOUN 

, SPACE 
moderate, VERB 
flame, NOUN 
temperatures, NOUN 
unburned, ADJ 
fuel, NOUN 
compo-, NOUN 

, SPACE 
nents, NOUN 
thermodynamically, ADV 
preferred, VERB 
high, ADJ 
temperatures, NOUN 

, SPACE 
temperatures, NOUN 
1600, NUM 
K, PROPN 
radical, ADJ 

, SPACE 
species, NOUN 
cool, ADJ 
react, VERB 
form, VERB 
CO, PROPN 
2, NUM 
H20, PROPN 
simultane-, AUX 

, SPACE 
ously, ADV 
release, VERB 
energy, NOUN 
Thermochemical, ADJ 
heat, NOUN 
release, NOUN 
commonly, ADV 

, SPACE 
important, ADJ 
high, ADJ 
temperature, NOUN 
flames, NOUN 
level, NOUN 

, SPACE 
dissociation, NOUN 
increases, NOUN 
temperature, NOUN 
types, NOUN 
TCHR, PROPN 

, SPACE 
identified, VERB 
equilibrium, NOUN 
catalytic, ADJ 
mixed, ADJ 

, SPACE 
discussed, VERB 
Baukal, PROPN 
et, PROPN 
al, PROPN 
1996, NUM 

, SPACE 
Radiation, NOUN 
heat, NOUN 
transfer, NOUN 

, SPACE 
types, NOUN 
thermal, ADJ 
radiation, NOUN 
involved, VERB 
flame, NOUN 

, SPACE 
impingement, ADJ 
studies, NOUN 
reviewed, VERB 
include, VERB 
nonluminous, ADJ 

, SPACE 
luminous, ADJ 
emission, NOUN 
surfaces, NOUN 

, SPACE 
Nonluminous, ADJ 
radiation, NOUN 
Gaseous, ADJ 
combustion, NOUN 
products, NOUN 

, SPACE 
carbon, NOUN 
dioxide, NOUN 
water, NOUN 
vapor, NOUN 
produce, VERB 
nonluminous, ADJ 
radia-, ADJ 

, SPACE 
tion, NOUN 
Radiation, NOUN 
CO, PROPN 
2, NUM 
H20, PROPN 
extensively, ADV 
stud-, VERB 

, SPACE 
ied, VERB 
important, ADJ 
combustion, NOUN 
radiation, NOUN 

, SPACE 
depends, VERB 
gas, NOUN 
temperature, NOUN 
partial, ADJ 
pressure, NOUN 
concentra-, VERB 

, SPACE 
tion, NOUN 
gas, NOUN 
species, NOUN 
optical, ADJ 
path, NOUN 
length, NOUN 

, SPACE 
gas, NOUN 
studies, NOUN 
nonluminous, ADJ 
radiation, NOUN 
amounted, VERB 

, SPACE 
significant, ADJ 
fraction, NOUN 
total, ADJ 
heat, NOUN 
flux, NOUN 
target, NOUN 
Kilham, PROPN 

, SPACE 
1949, NUM 
data, NOUN 
indicated, VERB 
flame, NOUN 
radiation, NOUN 
accounted, VERB 

, SPACE 
5, NUM 
16, NUM 
total, ADJ 
heat, NOUN 
flux, NOUN 
Jackson, PROPN 
Kilham, PROPN 
1956, NUM 

, SPACE 
found, VERB 
measured, ADJ 
flame, NOUN 
radiation, NOUN 
accounted, VERB 
5, NUM 

, SPACE 
total, ADJ 
heat, NOUN 
flux, NOUN 
Ivernel, NOUN 
Vernotte, PROPN 
1979, NUM 
calculated, VERB 

, SPACE 
nonluminous, ADJ 
flame, NOUN 
radiation, NOUN 
effects, NOUN 
accounted, VERB 

, SPACE 
34, NUM 
total, ADJ 
heat, NOUN 
flux, NOUN 
measured, ADJ 
CO, PROPN 
2, NUM 
H20, PROPN 

, SPACE 
concentrations, NOUN 
furnace, NOUN 
Hottel, PROPN 
curves, VERB 

, SPACE 
Notation, PROPN 
x, SYM 
dimensionless, NOUN 
axial, ADJ 
distance, NOUN 
burner, NOUN 

, SPACE 
stagnation, NOUN 
point, NOUN 
=, PROPN 
x, PROPN 
d, PROPN 
n, NUM 

, SPACE 
cp, PROPN 
specific, ADJ 
heat, NOUN 

, SPACE 
d, NOUN 
diameter, NOUN 
Greek, ADJ 

, SPACE 
g, PROPN 
gravity, NOUN 

, SPACE 
h, NOUN 
c, PROPN 
chemical, PROPN 
enthalpy, PROPN 
13, NUM 

, SPACE 
h, NOUN 
s, PART 
sensible, ADJ 
enthalpy, NOUN 
=, PROPN 
fCp, PROPN 
dt, PROPN 

, SPACE 
h, NOUN 
r, NOUN 
total, ADJ 
enthalpy, NOUN 
=, X 
h, PROPN 
c, NOUN 
+, CCONJ 
h, PROPN 
s, PART 
ix, INTJ 
P, NOUN 
k, ADJ 
thermal, ADJ 
conductivity, NOUN 
tb, ADP 

, SPACE 
1, NUM 
length, NOUN 

, SPACE 
L, PROPN 
dimensionless, NOUN 
distance, NOUN 
burner, NOUN 
stagna-, ADJ 
f~, PROPN 

, SPACE 
tion, NOUN 
body, NOUN 
=, VERB 
lj, X 
d, NOUN 
n, CCONJ 

, SPACE 
Le, PROPN 
Lewis, PROPN 
number, NOUN 

, SPACE 
m, VERB 
mole, ADJ 
fraction, NOUN 
Subscripts, PROPN 

, SPACE 
Ma, PROPN 
Mach, PROPN 
number, NOUN 

, SPACE 
Nu, PROPN 
Nusselt, PROPN 
number, NOUN 
b, NOUN 

, SPACE 
Pr, PROPN 
Prandtl, PROPN 
number, NOUN 
conv, ADJ 

, SPACE 
q, ADJ 
heat, NOUN 
flux, NOUN 
e, PROPN 

, SPACE 
qf, AUX 
burner, NOUN 
firing, NOUN 
rate, NOUN 
kW, NOUN 
oo, ADP 

, SPACE 
QH, NOUN 
H, PROPN 
atom, NOUN 
heat, NOUN 
recombination, NOUN 
j, PROPN 

, SPACE 
r, NOUN 
radial, ADJ 
distance, NOUN 
burner, PROPN 
centerline, PROPN 
max, PROPN 

, SPACE 
R, PROPN 
dimensionless, NOUN 
radial, ADJ 
distance, NOUN 
burner, NOUN 
cen-, PROPN 
n, CCONJ 

, SPACE 
terline, NOUN 
=, PROPN 
r, NOUN 
d, NOUN 
r, NOUN 

, SPACE 
Ra, PROPN 
Rayleigh, PROPN 
number, NOUN 
rad, NOUN 

, SPACE 
Reynolds, PROPN 
number, NOUN 
rec, VERB 

, SPACE 
t, NOUN 
temperature, NOUN 
ref, NOUN 

, SPACE 
s, PART 

, SPACE 
Tu, PROPN 
turbulence, NOUN 
intensity, NOUN 
=, VERB 
TCHR, VERB 

, SPACE 
u, NOUN 
velocity, NOUN 
v, ADP 

, SPACE 
v, PROPN 
fluctuating, NOUN 
velocity, NOUN 
w, PROPN 

, SPACE 
x, SYM 
axial, ADJ 
distance, NOUN 
burner, NOUN 
stagnation, NOUN 

, SPACE 
point, NOUN 
coefficient, NOUN 
thermal, ADJ 
expansion, NOUN 

, SPACE 
absolute, ADJ 
dynamic, ADJ 
viscosity, NOUN 

, SPACE 
density, NOUN 

, SPACE 
equivalence, NOUN 
ratio, NOUN 
=, NOUN 
stoichiometric, ADJ 
oxygen, NOUN 
fuel, NOUN 
vol-, NOUN 

, SPACE 
ume, NOUN 
ratio)/(actual, ADJ 
oxygen, NOUN 
fuel, NOUN 
volume, NOUN 
ratio, NOUN 

, SPACE 
oxygen, NOUN 
enrichment, NOUN 
ratio, NOUN 
=, NOUN 
oxygen, NOUN 
volume, NOUN 

, SPACE 
oxidizer, NOUN 
total, ADJ 
oxidizer, NOUN 
volume, NOUN 

, SPACE 
body, NOUN 
target, VERB 

, SPACE 
convection, NOUN 

, SPACE 
edge, NOUN 
boundary, ADJ 
layer, NOUN 

, SPACE 
ambient, NOUN 

, SPACE 
jet, NOUN 

, SPACE 
maximum, NOUN 
given, VERB 
location, NOUN 

, SPACE 
nozzle, NOUN 

, SPACE 
based, VERB 
radial, ADJ 
distance, NOUN 
r, NOUN 

, SPACE 
radiation, NOUN 

, SPACE 
evaluated, VERB 
recovery, NOUN 
temperature, NOUN 
Equation, PROPN 

, SPACE 
evaluated, VERB 
reference, NOUN 
temperature, NOUN 
Equation, PROPN 
le, X 

, SPACE 
stagnation, NOUN 
point, VERB 

, SPACE 
thermochemical, ADJ 
heat, NOUN 
release, NOUN 

, SPACE 
position, NOUN 
jet, NOUN 
flow, NOUN 
fully, ADV 
developed, VERB 

, SPACE 
wall, NOUN 

, SPACE 
Int, PROPN 
J., PROPN 
Heat, PROPN 
Fluid, PROPN 
Flow, PROPN 
Vol, PROPN 
17, NUM 
4, NUM 
August, PROPN 
1996, NUM 
387, NUM 


, SPACE 
Flame, PROPN 
impingement, VERB 
heat, NOUN 
transfer, NOUN 
correlations, NOUN 
C., PROPN 
E., PROPN 
Baukal, PROPN 
B., PROPN 
Gebhart, PROPN 

, SPACE 
Hottel, PROPN 
Sarofim, PROPN 
1967, NUM 
determine, VERB 
flame, NOUN 

, SPACE 
emissivity, NOUN 

, SPACE 
studies, NOUN 
nonluminous, ADJ 
radiation, NOUN 
negligible, ADJ 
Giedt, PROPN 

, SPACE 
et, PROPN 
al, PROPN 
1960, NUM 
measured, VERB 
calculated, VERB 
nonluminous, ADJ 
radiation, NOUN 

, SPACE 
2, NUM 
total, ADJ 
heat, NOUN 
flux, NOUN 
Woodruff, PROPN 
Giedt, PROPN 

, SPACE 
1966, NUM 
measured, VERB 
nonluminous, ADJ 
radiation, NOUN 
con-, NOUN 

, SPACE 
figuration, NOUN 
Giedt, PROPN 
et, PROPN 
al, PROPN 
effect, NOUN 
negligible, ADJ 
Shorin, PROPN 

, SPACE 
Pechurkin, PROPN 
1968, NUM 
experimentally, ADV 
determined, VERB 
radiation, NOUN 

, SPACE 
negligible, ADJ 
Hoogendoorn, PROPN 
et, PROPN 
al, PROPN 
1978, NUM 
found, VERB 
radiation, NOUN 

, SPACE 
exceed, VERB 
5, NUM 
total, ADJ 
heat, NOUN 
flux, NOUN 
measurements, NOUN 

, SPACE 
calculations, NOUN 
given, VERB 
Davies, NOUN 
1979, NUM 
calculated, VERB 
nonlumi-, ADJ 

, SPACE 
nous, ADJ 
radiation, NOUN 
account, NOUN 
2, NUM 
total, ADJ 
heat, NOUN 
flux, NOUN 

, SPACE 
Luminous, ADJ 
radiation, NOUN 
occurs, VERB 
soot, NOUN 
particles, NOUN 
pro-, PROPN 

, SPACE 
duced, VERB 
radiate, VERB 
approximately, ADV 
blackbody, NOUN 
mecha-, NOUN 

, SPACE 
nism, NOUN 
important, ADJ 
liquid, ADJ 
solid, ADJ 
fuels, NOUN 
oil, NOUN 

, SPACE 
coal, NOUN 
commonly, ADV 
significant, ADJ 
gaseous, ADJ 
fuels, NOUN 

, SPACE 
methane, NOUN 
1985, NUM 
measured, VERB 
radiation, NOUN 
pure, ADJ 
diffusion, NOUN 

, SPACE 
qb, PROPN 
=, NUM 
~, PUNCT 
natural, ADJ 
gas, NOUN 
flames, NOUN 
radiation, NOUN 
expected, VERB 

, SPACE 
luminous, ADJ 
nature, NOUN 
buoyant, ADJ 
pure, ADJ 

, SPACE 
diffusion, NOUN 
flames, NOUN 
Radiation, NOUN 
accounted, VERB 
13, NUM 
26, NUM 
total, ADJ 

, SPACE 
flux, NOUN 
stagnation, NOUN 
point, NOUN 
Hustad, PROPN 
co, NOUN 
workers, NOUN 
1991, NUM 
calcu-, NOUN 

, SPACE 
lated, VERB 
radiation, NOUN 
flux, NOUN 
stagnation, NOUN 
point, NOUN 
cylinder, NOUN 

, SPACE 
cross, ADJ 
flow, ADJ 
7, NUM 
14, NUM 
20, NUM 
40, NUM 
total, ADJ 
flux, NOUN 

, SPACE 
CH, PROPN 
4, NUM 
C3H, PROPN 
8, NUM 
pure, ADJ 
diffusion, NOUN 
flames, NOUN 
respectively, ADV 
Luminous, ADJ 

, SPACE 
radiation, NOUN 
important, ADJ 
studies, NOUN 

, SPACE 
flames, NOUN 
fuel, NOUN 
rich, ADJ 
e.g., ADV 
Buhr, PROPN 
et, PROPN 
al, PROPN 
1973, NUM 

, SPACE 
measurements, NOUN 
calculations, NOUN 
reported, VERB 

, SPACE 
Surface, NOUN 
radiant, ADJ 
emission, NOUN 
Be6r, PROPN 
Chigier, PROPN 
1968, NUM 
studied, VERB 

, SPACE 
stoichiometric, ADJ 
air, NOUN 
coke, PROPN 
oven, ADJ 
gas, NOUN 
flames, NOUN 
impinging, VERB 
hearth, NOUN 

, SPACE 
furnace, NOUN 
measured, ADJ 
radiation, NOUN 
10, NUM 

, SPACE 
total, ADJ 
heat, NOUN 
flux, NOUN 
radiation, NOUN 
actually, ADV 
combination, NOUN 

, SPACE 
furnace, NOUN 
wall, NOUN 
radiant, ADJ 
emission, NOUN 
radiation, NOUN 
flame, NOUN 

, SPACE 
radiation, NOUN 
type, NOUN 
flame, NOUN 
usually, ADV 
negligi-, ADJ 

, SPACE 
ble, NOUN 
previously, ADV 
discussed, VERB 

, SPACE 
Vizioz, PROPN 
Lowes, PROPN 
1971, NUM 
Smith, PROPN 
Lowes, PROPN 
1974, NUM 
studied, VERB 

, SPACE 
flame, NOUN 
impingement, VERB 
cooled, VERB 
plane, NOUN 
target, NOUN 
located, VERB 
inside, ADP 

, SPACE 
hot, ADJ 
furnace, NOUN 
Radiation, NOUN 
convection, NOUN 
determined, ADJ 

, SPACE 
comparable, ADJ 
magnitude, NOUN 
Vizioz, PROPN 
Lowes, PROPN 
measured, VERB 
radia-, ADJ 

, SPACE 
tion, NOUN 
4, NUM 
100, NUM 
total, ADJ 
heat, NOUN 
flux, NOUN 
Smith, PROPN 
Lowes, PROPN 

, SPACE 
calculated, VERB 
total, ADJ 
radiation, NOUN 
Hottel, PROPN 
zone, NOUN 
method, NOUN 
Hottel, PROPN 

, SPACE 
Sarofim, PROPN 
1967, NUM 
accounted, VERB 
30, NUM 
43, NUM 
10, NUM 
17, NUM 

, SPACE 
total, ADJ 
heat, NOUN 
transfer, NOUN 
water, NOUN 
cooled, VERB 
air, NOUN 
cooled, VERB 
flat, ADJ 
plates, NOUN 

, SPACE 
respectively, ADV 

, SPACE 
Matsuo, PROPN 
et, PROPN 
al, PROPN 
1978, NUM 
studies, VERB 
flame, NOUN 
impingement, VERB 
metal, NOUN 

, SPACE 
inside, ADP 
hot, ADJ 
furnace, NOUN 
Coke, PROPN 
oven, ADJ 
gas, NOUN 
combusted, VERB 
air, NOUN 

, SPACE 
preheated, VERB 
200, NUM 
°, NOUN 
C, NOUN 

, SPACE 
exposed, VERB 
impinging, VERB 
flame, NOUN 
rest, NOUN 
exposed, VERB 

, SPACE 
radiation, NOUN 
furnace, NOUN 
walls, NOUN 
Furnace, NOUN 
radiation, NOUN 

, SPACE 
dominant, ADJ 
heat, NOUN 
transfer, NOUN 
mechanism, NOUN 
1, X 
distance, NOUN 
be-, X 

, SPACE 
tween, VERB 
burner, NOUN 
slab, NOUN 
large, ADJ 
2, X 
high, ADJ 
slab, PROPN 
surface, NOUN 

, SPACE 
temperatures, NOUN 
3, X 
large, ADJ 
R., PROPN 
Ivernel, PROPN 
Vernotte, PROPN 
1979, NUM 

, SPACE 
calculated, VERB 
radiation, NOUN 
furnace, NOUN 
walls, NOUN 
accounted, VERB 

, SPACE 
42, NUM 
total, ADJ 
