Selective, PROPN 
abundant, ADJ 
extracellular, ADJ 
matrix, NOUN 
component, NOUN 

, SPACE 
Materials, PROPN 
Methods, PROPN 

, SPACE 
Materialsa, PROPN 
minimal, ADJ 
essential, ADJ 
medium, NOUN 
supplemented, VERB 
nucleotides, NOUN 

, SPACE 
MEM, PROPN 
DNA, PROPN 
RNA, PROPN 
transferrin, NOUN 
penicillin, NOUN 

, SPACE 
steptomycin, NOUN 
purchased, VERB 
Life, PROPN 
Technologies, PROPN 
Grand, PROPN 

, SPACE 
Address, PROPN 
correspondence, NOUN 
reprints, NOUN 
Luc, PROPN 
Malaval, PROPN 
Ph.D., PROPN 
INSERM, PROPN 

, SPACE 
Unite, PROPN 
´, NOUN 
403, NUM 
Hoˆpital, PROPN 
Edouard, PROPN 
Herriot, PROPN 
Pavillon, PROPN 
F, PROPN 
Place, PROPN 
D’arsonval, NOUN 
Lyon, PROPN 

, SPACE 
Cedex, PROPN 
3, NUM 
France, PROPN 
E, NOUN 
mail, NOUN 
malaval@lyon151.inserm.fr, PROPN 

, SPACE 
work, NOUN 
previously, ADV 
presented, VERB 
abstract, ADJ 
form, NOUN 
J, PROPN 
Bone, PROPN 

, SPACE 
Miner, PROPN 
Res, PROPN 
11, NUM 
S392, X 
1996, NUM 
J, PROPN 
Bone, PROPN 
Miner, PROPN 
Res, PROPN 
12, NUM 
S243, NUM 
1997, NUM 

, SPACE 
Bone, PROPN 
Vol, PROPN 
24, NUM 
4, NUM 

, SPACE 
April, PROPN 
1999:329–336, NUM 

, SPACE 
329, NUM 
©, NOUN 
1999, NUM 
Elsevier, ADJ 
Science, PROPN 
Inc., PROPN 
8756, NUM 
3282/99/$20.00, PROPN 

, SPACE 
rights, NOUN 
reserved, VERB 
PII, PROPN 
S8756, PROPN 
3282(98)00194, PROPN 
X, NOUN 

, SPACE 
Island, PROPN 
NY, PROPN 
Fetal, ADJ 
calf, NOUN 
serum, NOUN 
FCS, PROPN 
purchased, VERB 
Poly-, PROPN 

, SPACE 
labo, NOUN 
Strasbourg, PROPN 
France, PROPN 
Sterile, ADJ 
culture, NOUN 
plasticware, NOUN 
ob, NOUN 
tained, VERB 
Falcon, PROPN 
Becton, PROPN 
Dickinson, PROPN 
Beford, PROPN 
MA, PROPN 
Ascorbicacid, ADJ 
b, NOUN 
glycerophosphate, NOUN 
sodium, NOUN 
pyruvate, NOUN 
purchased, VERB 

, SPACE 
Merck, PROPN 
Darmstadt, PROPN 
Germany, PROPN 
Bovine, PROPN 
serum, NOUN 
albumin(BSA, PROPN 

, SPACE 
L, PROPN 
cysteine, NOUN 
dexamethasone, NOUN 
obtained, VERB 

, SPACE 
Sigma, PROPN 
St., PROPN 
Louis, PROPN 
MO, PROPN 
Chromatography, NOUN 
resins, NOUN 
purchasedfrom, ADP 
Pharmacia, PROPN 
Uppsala, PROPN 
Sweden, PROPN 
Guanidinium, PROPN 
chloride, NOUN 
wasfrom, ADP 
Sigma, PROPN 
biochemical, ADJ 
reagents, NOUN 
Merck, PROPN 

, SPACE 
Matrix, PROPN 
Proteins, PROPN 

, SPACE 
ethylene, NOUN 
diamine, NOUN 
tetraacetic, ADJ 
acid, NOUN 
EDTA, PROPN 
extract, NOUN 
noncol-, NOUN 

, SPACE 
lagenousproteinsfromfetalbovinelongboneswaspreparedandseparated, VERB 
gel, NOUN 
filtration, NOUN 
chromatography, NOUN 
4, NUM 
mol, PROPN 
L, PROPN 
guani, NOUN 
dinium, NOUN 
chloride, NOUN 
Sepharose, PROPN 
CL6B, PROPN 
gel, NOUN 
filtration, NOUN 
tandemcolumn, NOUN 

, SPACE 
26Chromatographyfractionswerecollected, PROPN 
pooled, VERB 

, SPACE 
dialyzed, VERB 
phosphate, NOUN 
buffered, VERB 
saline, NOUN 
PBS, PROPN 
con, NOUN 
tent, NOUN 
characterized, VERB 
dot, NOUN 
immunoblotting, VERB 
antibodiesagainst, ADJ 
major, ADJ 
extracellular, ADJ 
matrix, NOUN 
proteins, NOUN 
Rat, ADJ 
plasma, NOUN 
vitronec, NOUN 
tin, NOUN 
human, ADJ 
plasma, NOUN 
fibronectin, NOUN 
bovine, ADJ 
fetuin, NOUN 

, SPACE 
2, NUM 
HS, PROPN 
glycopro-, NOUN 

, SPACE 
tein, PROPN 
rat, ADJ 
tail, ADJ 
type, NOUN 
collagen, VERB 
mouse, PROPN 
EHS, PROPN 
tumor, NOUN 
laminin-1were, NOUN 
purchased, VERB 
Sigma, PROPN 
laminin-1, PROPN 
purified, VERB 
entac, ADJ 
tin, NOUN 
purchased, VERB 
Becton, PROPN 
Dickinson, PROPN 
Human, PROPN 
tenascin(tenascin, PROPN 
C, PROPN 
purchased, VERB 
Gibco, PROPN 
Porcine, NOUN 
BSP, PROPN 
OPNwerepurifiedfromthe0.5mol, PROPN 
LEDTAextractsofadultporcinecalvarie, PROPN 
fast, ADJ 
protein, NOUN 
liquid, ADJ 
chomatography, NOUN 
system, NOUN 
Pharma, PROPN 
cia, PROPN 
techniques, NOUN 
described, VERB 

, SPACE 
17Bovine, NUM 
bone, NOUN 
osteo-, NOUN 

, SPACE 
calcin, NOUN 
isolated, VERB 
purified, VERB 
previously, ADV 
described.26, ADJ 

, SPACE 
Protein, PROPN 
Coating, PROPN 

, SPACE 
Cell, NOUN 
attachment, NOUN 
assays, NOUN 
performed, VERB 
48, NUM 
plates, NOUN 
Coat-, X 

, SPACE 
ing, PROPN 
performed, VERB 
described, VERB 
elsewhere,19with, NOUN 
modifications, NOUN 

, SPACE 
proteins, NOUN 
dissolved, VERB 
PBS, PROPN 
supplemented, VERB 
1mmol, PROPN 
L, PROPN 
CaCl, PROPN 

, SPACE 
2, NUM 
100, NUM 
mL, NUM 
solution, NOUN 
deposited, VERB 

, SPACE 
1, NUM 
cm2area, NOUN 
24, NUM 
h, NOUN 
incubation, NOUN 
4, NUM 
°, NOUN 
C, NOUN 
gentle, ADJ 

, SPACE 
shaking, VERB 
supernatants, NOUN 
containing, VERB 
unbound, ADJ 
protein, NOUN 
col, PROPN 
lected, ADJ 
assayed, VERB 
micro, PROPN 
BCA, PROPN 
assay, NOUN 
kit, NOUN 
Pierce, PROPN 
Rockford, PROPN 
IL),todeterminetheamounteffectivelyadsorbed, PROPN 
Theminimum, ADJ 
coating, NOUN 
concentration, NOUN 
providing, VERB 
maximal, ADJ 
effect, NOUN 
thecell, ADJ 
attachment, NOUN 
assay, NOUN 
10, NUM 
mg, NOUN 
mL, NUM 
proteins, NOUN 

, SPACE 
experiments, NOUN 
shown, VERB 
specified, VERB 
excep, NOUN 
tion, NOUN 
tenascin, PROPN 
reached, VERB 
maximum, ADJ 
binding, VERB 
capacity, NOUN 
at5mg, PROPN 
ml, PROPN 
Coated, ADJ 
plates, NOUN 
washed, VERB 
times, NOUN 
PBS, PROPN 

, SPACE 
saturated, VERB 
fo, ADP 
r1, NOUN 
ha, INTJ 
troom, NOUN 
temperature, NOUN 
200, NUM 
mL, NUM 
0.1, NUM 
BSA, PROPN 

, SPACE 
heat, NOUN 
denatured, VERB 
Hepes, PROPN 
buffered, VERB 
saline, NOUN 
10, NUM 
mmol, PROPN 
L, PROPN 
Hepes,0.135, PROPN 
mmol, PROPN 
L, PROPN 
NaCl, PROPN 
3, NUM 
mmol, PROPN 
L, NOUN 
KCl, NOUN 
0.5, NUM 
mmol, NOUN 
L, PROPN 
MgCl, PROPN 

, SPACE 
2,2, NUM 

, SPACE 
mmol, PROPN 
L, PROPN 
CaCl2, PROPN 
pH, NUM 
5.3, NUM 
saturation, NOUN 
fluid, NOUN 
aspirated, VERB 

, SPACE 
plate, NOUN 
washed, VERB 
times, NOUN 
PBS, PROPN 

, SPACE 
Rat, PROPN 
Calvarial, PROPN 
Cell, PROPN 
Isolation, PROPN 
Culture, PROPN 

, SPACE 
Cells, PROPN 
enzymatically, ADV 
isolated, VERB 
calvariae, NOUN 
21, NUM 
day, NOUN 
old, ADJ 

, SPACE 
Wistarratfetusesbysequentialdigestionwithcollagenase,6andthe, DET 

, SPACE 
populations, NOUN 
obtained, VERB 
digestion, NOUN 
step, NOUN 
V, NOUN 
platedinto, ADP 
75, NUM 
cm, NOUN 

, SPACE 
2tissue, NUM 
culture, NOUN 
flasks, NOUN 
MEM, PROPN 
15, NUM 
heat, NOUN 
inactivated, VERB 

, SPACE 
FCSwithantibiotics(50IU, PROPN 
mLpenicillin,50IU, PROPN 
mLstreptomycin).After, PROPN 
24, NUM 
h, NOUN 
37, NUM 
°, NUM 
C, NOUN 
cells, NOUN 
released, VERB 
0.01, NUM 
trypsin, NOUN 
incitrate, NOUN 
saline, NOUN 
counted, VERB 
resuspended, VERB 
different, ADJ 
media, NOUN 
depend, NOUN 
ing, NOUN 
experiment, NOUN 
populations, NOUN 
cell, NOUN 
attachmentexperiments, NOUN 
pools, NOUN 
digests, NOUN 
II, PROPN 
V, NOUN 
individualdigestsweretested(see, PROPN 
ResultsandFigure5).Inexperimentsaimed, VERB 

, SPACE 
assessing, VERB 
effect, NOUN 
dexamethasone, NOUN 
Dex, PROPN 
bone, NOUN 
noduleformationinthesuccessivepopulations, NOUN 
cellsfromeachdigest(I, NOUN 
V)were, NOUN 
plated, VERB 
independently, ADV 
100, NUM 
cm, NOUN 

, SPACE 
2)i, PROPN 
na, PROPN 
MEM, PROPN 
containing, VERB 
10%FCS, NUM 
antibiotics, NOUN 
0.28, NUM 
mmol, PROPN 
L, PROPN 
ascorbic, NOUN 
acid, NOUN 
10, NUM 
mmol, PROPN 
L, PROPN 

, SPACE 
b, PROPN 
glycerophosphate(culturemedium),thengrownfor15daysinthe, DET 

, SPACE 
medium, NOUN 
10, NUM 
nmol, PROPN 
L, PROPN 
Dex, PROPN 
medium, NOUN 
waschanged, VERB 
2–3, NUM 
days, NOUN 
cultures, NOUN 
fixed, VERB 
bonenodules, NOUN 
counted, VERB 
Von, PROPN 
Kossa, PROPN 
staining, VERB 
invertedmicroscope, NOUN 

, SPACE 
6, NUM 

, SPACE 
Assays, PROPN 
Osteoprogenitor, PROPN 
Attachment, PROPN 

, SPACE 
Time, PROPN 
limited, VERB 
cell, NOUN 
attachment, NOUN 
assay, NOUN 
Harvested, ADJ 
cells, NOUN 
resus-, AUX 

, SPACE 
pended, VERB 
MEM, PROPN 
containing, VERB 
1, NUM 
BSA, PROPN 
1, NUM 
mmol, PROPN 
L, PROPN 
L, PROPN 
cysteine, PROPN 
1, NUM 

, SPACE 
mmol, PROPN 
L, PROPN 
sodium, NOUN 
pyruvate, NOUN 
10, NUM 
mg, PROPN 
mL, PROPN 
transferrin, NOUN 
0.28, NUM 
mmol, PROPN 
L, PROPN 

, SPACE 
ascorbic, NOUN 
acid, NOUN 
antibiotics, NOUN 
left, VERB 
recover, VERB 
37, NUM 
°, NUM 
C, NOUN 
40min, NOUN 
time, NOUN 
limited, VERB 
cell, NOUN 
attachment, NOUN 
assays, NOUN 
Figure, NOUN 
1, NUM 
cells, NOUN 

, SPACE 
plated, VERB 
2000, NUM 
cells, NOUN 
cm, NOUN 

, SPACE 
2, NUM 
wells, NOUN 
coated, VERB 
control, NOUN 

, SPACE 
amounts, NOUN 
protein, NOUN 
saturated, VERB 
described, VERB 
After5,10,15,or20min, PROPN 
nonadherentandlooselyadherentcellswere, NOUN 
aspirated, VERB 
wells, NOUN 
refilled, VERB 
culture, NOUN 
medium, NOUN 
After3–4, X 
h, PROPN 
adherent, NOUN 
cells, NOUN 
fixed, VERB 
plates, NOUN 
3.7, NUM 
v, NUM 
v)formaldehyde, NOUN 
PBS, PROPN 
washed, VERB 
distilled, ADJ 
water, NOUN 
stained, VERB 
withmethylene, ADJ 
blue, NOUN 
counted, VERB 
phase, NOUN 
contrast, NOUN 
microscope, NOUN 
Alternate, ADJ 
plates, NOUN 
matched, VERB 
plating, VERB 
time, NOUN 
coating, NOUN 
weregrown, VERB 
15, NUM 
days, NOUN 
culture, NOUN 
medium, NOUN 
containing, VERB 
10, NUM 
nmol, NOUN 
L, PROPN 
Dex, PROPN 

, SPACE 
Depletion, PROPN 
experiments, NOUN 
Depletion, NOUN 
experiments, NOUN 
cell, NOUN 
at-, NOUN 

, SPACE 
tachment, NOUN 
assays, NOUN 
10, NUM 
min, NOUN 
plating, VERB 
onlaminin-1, PROPN 
coated, VERB 
control, NOUN 
wells, NOUN 
selection, NOUN 
unattachedcells, NOUN 
replated, VERB 
second, ADJ 
additional, ADJ 
10, NUM 
min(second, NOUN 
selection, NOUN 
Cells, NOUN 
unattached, ADJ 
replated, VERB 
inwells, NOUN 
prefilled, VERB 
MEM, PROPN 
supplemented, VERB 
FCS, PROPN 
10, NUM 
final, ADJ 

, SPACE 
concentration, NOUN 
recovery, NOUN 
step, NOUN 
matched, VERB 
plates, NOUN 
eitherprocessed, VERB 
cell, NOUN 
counting, NOUN 
grown, VERB 
bone, NOUN 
nodule, NOUN 
formation, NOUN 
described, VERB 
earlier, ADV 

, SPACE 
Osteoprogenitor, NOUN 
differentiation, NOUN 
assay, VERB 
differentiation, NOUN 
as-, VERB 

, SPACE 
says, VERB 
cells, NOUN 
plated, VERB 
culture, NOUN 
medium, NOUN 
containing, VERB 
10%FCS, NUM 
wells, NOUN 
coated, VERB 
proteins, NOUN 
saturatedwith, ADJ 
denatured, VERB 
BSA, PROPN 
24, NUM 
h, NOUN 
medium, NOUN 
containing, VERB 
unat, NOUN 
tached, VERB 
cells, NOUN 
removed, VERB 
matched, VERB 
plates, NOUN 
pro, ADJ 
cessed, ADJ 
cell, NOUN 
counting, NOUN 
grown, VERB 
bone, NOUN 
nodule, NOUN 
formation, NOUN 
asdescribed, VERB 
earlier, ADV 

, SPACE 
experiments, NOUN 
order, NOUN 
reduce, VERB 
intra, ADJ 
assay, ADJ 
variability, NOUN 

, SPACE 
coated, ADJ 
control, NOUN 
wells, NOUN 
given, VERB 
test, NOUN 
plate, NOUN 

, SPACE 
Statistical, PROPN 
Analysis, PROPN 

, SPACE 
data, NOUN 
subjected, VERB 
Kruskal, PROPN 
Wallis, PROPN 
Mann, PROPN 
Whitney, PROPN 

, SPACE 
U, NOUN 
tests, NOUN 

, SPACE 
NSTATsoftware, PROPN 
Graphpad, PROPN 
San, PROPN 
Diego, PROPN 

, SPACE 
way, NOUN 
analysis, NOUN 
variance, NOUN 
NOVA, PROPN 
S, PROPN 
UPERANOVA, PROPN 
soft-, ADJ 

, SPACE 
ware, NOUN 
Abacus, PROPN 
Concepts, PROPN 
Berkeley, PROPN 

, SPACE 
Results, NOUN 

, SPACE 
Development, PROPN 
Assay, PROPN 
Osteoprogenitor, PROPN 
RecruitmentThe, PROPN 
relationship, NOUN 
number, NOUN 
adherent, NOUN 
cells, NOUN 

, SPACE 
number, NOUN 
nodules, NOUN 
developed, VERB 
investigated, VERB 
range, NOUN 
of100–1000, ADJ 
cells, NOUN 
plated, VERB 
square, ADJ 
centimeter, NOUN 
corresponding, VERB 
to75610, PROPN 
538, NUM 
620, NUM 
cells, NOUN 
actually, ADV 
attached, VERB 
24, NUM 
h, NOUN 
n, CCONJ 
58, NUM 

, SPACE 
wells, NOUN 
plating, VERB 
density, NOUN 
reported, VERB 
previously, ADV 

, SPACE 
4, NUM 

, SPACE 
linear, ADJ 
relationship, NOUN 
r50.996, PROPN 
number, NOUN 

, SPACE 
nodules, NOUN 
formed, VERB 
number, NOUN 
cells, NOUN 
attached, VERB 
meanratio, NOUN 
7, NUM 
63.3, NUM 
nodules, NOUN 
100, NUM 
cells, NOUN 
attached, VERB 
n, CCONJ 
54, NUM 
cell, NOUN 

, SPACE 
densities, NOUN 
tested, VERB 
Figure, NOUN 
1A, PROPN 
experiments, NOUN 
RC, PROPN 
cellswere, NOUN 
plated, VERB 
5–20, PROPN 
min, NOUN 
uncoated, ADJ 
plates, NOUN 
saturated, VERB 
withdenatured, ADJ 
BSA, PROPN 
control, NOUN 
conditions, NOUN 
according, VERB 
protocol330, PROPN 
P., PROPN 
Roche, PROPN 
et, NOUN 
al, NOUN 
Bone, PROPN 
Vol, PROPN 
24, NUM 
4, NUM 

, SPACE 
Osteoprogenitor, PROPN 
attachment, NOUN 
laminin, NOUN 
April, PROPN 
1999:329–336, PROPN 

, SPACE 
showninFigure1B, PROPN 
thenumberofcellsattachedandthenumber, PROPN 

, SPACE 
nodules, NOUN 
formed, VERB 
increased, VERB 
plating, VERB 
time, NOUN 
Figure, NOUN 
1C).However, PROPN 
accordance, NOUN 
results, NOUN 
cell, NOUN 
dilution, NOUN 
analysis(Figure, NOUN 
1A, PROPN 
ratio, NOUN 
nodules, NOUN 
formed, VERB 
100, NUM 
cells, NOUN 
attached)wasthesameatalltimepointstested(6.5, VERB 
62.1,n, NUM 
54timepoints, NUM 

, SPACE 
tested, VERB 
p50.93, NOUN 
timepoints, NOUN 
Kruskal, PROPN 
Wallis, PROPN 

, SPACE 
test, NOUN 
indicating, VERB 
proportion, NOUN 
OP, NOUN 
adherentcells, NOUN 
remained, VERB 
constant, ADJ 
results, NOUN 
allowed, VERB 
use, VERB 
time, NOUN 
limiting, VERB 
plating, NOUN 
RC, PROPN 
cells, NOUN 
test, NOUN 
relative, ADJ 
affinity, NOUN 
OPfor, PROPN 
protein, NOUN 
substrates, NOUN 

, SPACE 
Cell, PROPN 
Attachment, PROPN 
Purified, PROPN 
Extracellular, PROPN 
Matrix, PROPN 
Proteins, PROPN 

, SPACE 
preliminary, ADJ 
study, NOUN 
data, NOUN 
shown, VERB 
gel, NOUN 
filtration, NOUN 
chroma-, VERB 

, SPACE 
tographyfractionsofbovineboneproteinextractsweretestedforRC, PROPN 
cell, NOUN 
attachment, NOUN 
OP, NOUN 
recruitment, NOUN 
time, NOUN 
limited, VERB 
cell, NOUN 
attachment, NOUN 
assays, NOUN 
described, VERB 
earlier, ADV 
experimentsshowed, VERB 
high, ADJ 
molecular, ADJ 
weight, NOUN 
void, ADJ 
volume, NOUN 
fractions, NOUN 
hibited, VERB 
RC, PROPN 
cell, NOUN 
attachment, NOUN 
increased, VERB 
proportion, NOUN 
OPamong, PROPN 
cells, NOUN 
attached, VERB 
fractions, NOUN 
lower, ADJ 
molecular, ADJ 

, SPACE 
weight, NOUN 
effect, NOUN 
Immunoblotting, VERB 
studies, NOUN 
showed, VERB 
effi, PROPN 
