Selective, ADJ 
coated, VERB 
plates, NOUN 
100, NUM 
μg, PROPN 
ml, PROPN 
characterized, VERB 
combination, NOUN 

, SPACE 
FACS, PROPN 
analysis, NOUN 
staining, NOUN 
cells, NOUN 
CD44, PROPN 

, SPACE 
+, PROPN 
CD29+,C, PROPN 
D, NOUN 
7, NUM 
3+,C, NUM 
D, NOUN 
1, NUM 
6, NUM 
6+,C, NUM 
D, NOUN 
1, NUM 
4, NUM 
6, NUM 
+, NUM 
CD105+;a, PROPN 
n, PROPN 
d, PROPN 
O, INTJ 
c, NOUN 
t, NOUN 
4−, NUM 

, SPACE 
CD34−, PROPN 
CD45−and, NOUN 
CXCR4−., NOUN 
cultured, VERB 
osteogenic, ADJ 
differentiation, NOUN 
media, NOUN 
regulation, NOUN 
osteoblastic, ADJ 

, SPACE 
lineage, NOUN 
markers, NOUN 
DLX5, PROPN 
MSX2, PROPN 
RUNX2, PROPN 
SPARC, PROPN 
ALP, PROPN 
COL1a1, PROPN 
BGLAP, PROPN 
IBSP, PROPN 
DCN, PROPN 
LOX, PROPN 
L4, PROPN 
production, NOUN 
vitro, X 

, SPACE 
mineralized, ADJ 
matrix, NOUN 
detected, VERB 
hESC, PROPN 
stromal, ADJ 
cells, NOUN 
loaded, VERB 
carrier, NOUN 
implanted, VERB 
subcutaneously, ADV 

, SPACE 
critical, ADJ 
size, NOUN 
calvarial, ADJ 
defect, NOUN 
immune, ADJ 
de, X 
ﬁcient, NOUN 
mice, NOUN 
10, NUM 
weeks, NOUN 
resulted, VERB 
new, ADJ 
bone, NOUN 
formation, NOUN 

, SPACE 
partial, ADJ 
repair, NOUN 
calvarial, ADJ 
defect, NOUN 
conclusion, NOUN 
hESC, PROPN 
stromal, NOUN 
isolated, VERB 
hESC, PROPN 
cultures, NOUN 
represent, VERB 

, SPACE 
good, ADJ 
source, NOUN 
obtaining, VERB 
cells, NOUN 
osteogenic, ADJ 
differentiation, NOUN 
potential, NOUN 
suitable, ADJ 
regenerative, ADJ 
medicine, NOUN 

, SPACE 
protocols, NOUN 

, SPACE 
©, ADJ 
2010, NUM 
Elsevier, PROPN 
Inc., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
Introduction, PROPN 

, SPACE 
Human, ADJ 
bone, NOUN 
marrow, NOUN 
stromal, ADJ 
stem, NOUN 
cells, NOUN 
hBMSC, NOUN 
known, VERB 

, SPACE 
bone, NOUN 
marrow, NOUN 
mesenchymal, NOUN 
cells, NOUN 
multipotent, NOUN 
mesenchymal, NOUN 
stem, NOUN 

, SPACE 
cells, NOUN 
skeletal, ADJ 
stem, NOUN 
cells, NOUN 
considered, VERB 
accessible, ADJ 
source, NOUN 
cells, NOUN 

, SPACE 
differentiate, VERB 
osteogenic, ADJ 
cells, NOUN 
vitro, X 

, SPACE 
proliferation, NOUN 
ability, NOUN 
ﬁnite, ADJ 
number, NOUN 
cells, NOUN 
retrievable, ADJ 

, SPACE 
patients, NOUN 
limited, ADJ 
1, NUM 
contrast, NOUN 
hBMSC, NOUN 
human, ADJ 
embryonic, ADJ 
stem, NOUN 

, SPACE 
cells, NOUN 
hESC, PROPN 
pluripotent, NOUN 
cells, NOUN 
differentiate, VERB 
cells, NOUN 

, SPACE 
germ, NOUN 
layers, NOUN 
endoderm, PROPN 
mesoderm, NOUN 
ectoderm, NOUN 
2, X 
hESC, PROPN 

, SPACE 
advantages, NOUN 
relevant, ADJ 
studies, NOUN 
bone, NOUN 
biology, NOUN 
hESC, PROPN 
asuitable, ADJ 
model, NOUN 
studying, VERB 
molecular, ADJ 
mechanisms, NOUN 
stem, NOUN 
cell, NOUN 

, SPACE 
differentiation, NOUN 
mesoderm, NOUN 
osteo, ADJ 
progenitor, NOUN 
cells, NOUN 
infor-, ADJ 

, SPACE 
mation, NOUN 
highly, ADV 
relevant, ADJ 
pathways, NOUN 
important, ADJ 
osteoblast, NOUN 

, SPACE 
generation, NOUN 
development, NOUN 
similar, ADJ 
osteoblast, VERB 
regenera-, VERB 

, SPACE 
tion, NOUN 
following, VERB 
injury, NOUN 
disease, NOUN 
adult, NOUN 
life, NOUN 
3, NUM 
addition, NOUN 
hESC, PROPN 

, SPACE 
potentially, ADV 
provide, VERB 
large, ADJ 
number, NOUN 
cells, NOUN 
speci, PROPN 
ﬁc, PROPN 
character-, PROPN 

, SPACE 
istics, NOUN 
needed, VERB 
regenerative, ADJ 
medicine, NOUN 
protocols, NOUN 
e.g., ADV 
treatment, NOUN 

, SPACE 
bone, NOUN 
defects, NOUN 
non, ADJ 
healed, VERB 
fractures, NOUN 

, SPACE 
methods, NOUN 
described, VERB 
differentiate, VERB 
hESC, PROPN 

, SPACE 
osteogenic, ADJ 
phenotype, NOUN 
intermediate, ADJ 
stage, NOUN 
embryoid, NOUN 

, SPACE 
body, NOUN 
EB, PROPN 
formation, NOUN 
4–9, NUM 
induction, NOUN 
outgrowth, NOUN 
culture, NOUN 

, SPACE 
10–17, NUM 
co, NOUN 
culture, NOUN 
differentiated, ADJ 
cell, NOUN 
type, NOUN 

, SPACE 
18–21, NUM 
ability, NOUN 
culture, NOUN 
methods, NOUN 
provide, VERB 

, SPACE 
homogeneous, ADJ 
ef, NOUN 
ﬁcient, NOUN 
reproducible, ADJ 
differentiation, NOUN 
hESC, PROPN 
cells, NOUN 

, SPACE 
osteogenic, ADJ 
cells, NOUN 
limited, VERB 
ef, PROPN 
ﬁciency, NOUN 
differentiation, NOUN 

, SPACE 
usually, ADV 
unreported, ADJ 
resultant, ADJ 
cell, NOUN 
cultures, NOUN 
morphologically, ADV 

, SPACE 
functionally, ADV 
heterogeneous, ADJ 
concern, NOUN 

, SPACE 
cells, NOUN 
form, VERB 
teratoma, NOUN 
clinical, ADJ 
applications, NOUN 
22, NUM 

, SPACE 
Furthermore, ADV 
initiation, NOUN 
differentiation, NOUN 
EB, PROPN 
leads, VERB 

, SPACE 
heterogeneous, ADJ 
cell, NOUN 
population, NOUN 
co, NOUN 
culture, NOUN 
cells, NOUN 

, SPACE 
different, ADJ 
species, NOUN 
lead, VERB 
potential, ADJ 
contamination, NOUN 
animalBone, NOUN 
48, NUM 
2011, NUM 
231, NUM 
241, NUM 

, SPACE 
⁎Corresponding, PROPN 
author, NOUN 
Department, PROPN 
Endocrinology, PROPN 
Metabolism, PROPN 
KMEB, PROPN 

, SPACE 
Medical, PROPN 
Biotechnology, PROPN 
Centre, PROPN 
MBC, PROPN 
Winsløwparken, PROPN 
25, NUM 
University, PROPN 
Southern, PROPN 

, SPACE 
Denmark, PROPN 
5000, NUM 
Odense, PROPN 
C, PROPN 
Denmark, PROPN 
Fax, NOUN 
+45, NOUN 
6550, NUM 
3950, NUM 

, SPACE 
E, ADJ 
mail, NOUN 
addresses, NOUN 
lharkness@health.sdu.dk, PROPN 
L., PROPN 
Harkness, PROPN 

, SPACE 
amahmood@health.sdu.dk, NOUN 
A., PROPN 
Mahmood, PROPN 
nditzel@health.sdu.dk, PROPN 
N., PROPN 
Ditzel, PROPN 

, SPACE 
babdallah@health.sdu.dk, ADJ 
B.M., PROPN 
Abdallah, PROPN 
jvn@inano.dk, PROPN 
J.V., PROPN 
Nygaard, PROPN 

, SPACE 
mkassem@health.sdu.dk, NOUN 
M., PROPN 
Kassem, PROPN 

, SPACE 
8756, NUM 
3282/$, NUM 
matter, NOUN 
©, ADJ 
2010, NUM 
Elsevier, PROPN 
Inc., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
doi:10.1016, PROPN 
j.bone.2010.09.023, PROPN 

, SPACE 
Contents, PROPN 
lists, NOUN 
available, ADJ 
ScienceDirect, PROPN 

, SPACE 
Bone, PROPN 

, SPACE 
journal, NOUN 
homepage, NOUN 
www.elsevier.com/locate/bone, NUM 

, SPACE 
products, NOUN 
23, NUM 
Finally, ADV 
osteogenic, ADJ 
potential, NOUN 
cells, NOUN 

, SPACE 
generally, ADV 
based, VERB 
vitro, ADJ 
criteria, NOUN 
reports, NOUN 

, SPACE 
bone, NOUN 
forming, VERB 
capacity, NOUN 
demonstrated, VERB 
vivo, NOUN 

, SPACE 
heterotopic, ADJ 
subcutaneous, ADJ 
bone, NOUN 
formation, NOUN 
following, VERB 
implantation, NOUN 

, SPACE 
immune, ADJ 
de, X 
ﬁcient, NOUN 
mice, NOUN 
4,7,21, NUM 
diffusion, NOUN 
chambers, NOUN 
implanted, VERB 

, SPACE 
peritoneal, ADJ 
cavity, NOUN 
nude, ADJ 
mice, NOUN 
9, NUM 
studies, NOUN 

, SPACE 
demonstrated, VERB 
bone, NOUN 
observed, NOUN 
formed, VERB 
theimplanted, VERB 
human, ADJ 
cells, NOUN 
dystrophic, ADJ 
calci, NOUN 
ﬁcation, NOUN 

, SPACE 
reaction, NOUN 
recipient, NOUN 
murine, NOUN 
cells, NOUN 

, SPACE 
Hyaluronan, PROPN 
called, VERB 
hyaluronic, ADJ 
acid, NOUN 
HA, PROPN 
hyaluronate, ADJ 

, SPACE 
non, ADJ 
sulfated, ADJ 
glycosaminoglycan, NOUN 
GAG, PROPN 
high, ADJ 
molecular, ADJ 
weight, NOUN 

, SPACE 
widely, ADV 
distributed, VERB 
connective, ADJ 
epithelial, ADJ 
skin, NOUN 

, SPACE 
neural, ADJ 
tissues, NOUN 
chief, ADJ 
components, NOUN 

, SPACE 
extracellular, ADJ 
matrix, NOUN 
bind, VERB 
aggrecan, PROPN 
type, NOUN 
II, PROPN 

, SPACE 
collagen, NOUN 
form, VERB 
major, ADJ 
structural, ADJ 
component, NOUN 

, SPACE 
cartilage, NOUN 
24, NUM 
HA, PROPN 
reported, VERB 
play, VERB 
role, NOUN 
early, ADJ 
human, ADJ 

, SPACE 
preimplantation, NOUN 
embryogenesis, NOUN 
25].Within, PROPN 
skeletal, ADJ 
biology, NOUN 
HA, PROPN 

, SPACE 
multiple, ADJ 
functions, NOUN 
including, VERB 
migration, NOUN 
condensation, NOUN 
BMSC, PROPN 

, SPACE 
26, NUM 
joint, ADJ 
cavity, NOUN 
formation, NOUN 
long, ADJ 
bone, NOUN 
growth, NOUN 
24].H, NUM 
Ai, PROPN 
s, NOUN 

, SPACE 
expressed, VERB 
osteoblastic, ADJ 
cells, NOUN 
osteocytes, NOUN 
osteoclasts, NOUN 
major, ADJ 

, SPACE 
component, NOUN 
bone, NOUN 
marrow, NOUN 
suggesting, VERB 
role, NOUN 
bone, NOUN 
remodelling, NOUN 

, SPACE 
24,27, PROPN 
HA, PROPN 
receptor, NOUN 
CD44, PROPN 
21, NUM 
variant, ADJ 
isoforms, NOUN 

, SPACE 
extensive, ADJ 
alternative, ADJ 
splicing, NOUN 
isoforms, NOUN 
CD44, PROPN 
contain, VERB 

, SPACE 
HA, NOUN 
binding, VERB 
site, NOUN 
extracellular, ADJ 
domain, NOUN 
24,28, NUM 
binding, VERB 
HA, NOUN 

, SPACE 
CD44, PROPN 
implicated, VERB 
migration, NOUN 
proliferation, NOUN 
cell, NOUN 
adhesion, NOUN 

, SPACE 
extra, ADJ 
cellular, ADJ 
matrices, NOUN 
29, NUM 

, SPACE 
aim, NOUN 
study, NOUN 
isolate, VERB 
characterise, VERB 

, SPACE 
osteoprogenitor, NOUN 
cell, NOUN 
population, NOUN 
hESC, PROPN 
report, VERB 

, SPACE 
possibility, NOUN 
employing, VERB 
HA, NOUN 
substrate, NOUN 
enrich, VERB 
stromal, ADJ 
cell, NOUN 

, SPACE 
population, NOUN 
called, VERB 
hESC, PROPN 
stromal, PROPN 
osteogenic, ADJ 
differentiation, NOUN 

, SPACE 
potential, NOUN 
based, VERB 
comparison, NOUN 
bone, NOUN 
marrow-, NOUN 

, SPACE 
derived, VERB 
human, ADJ 
stromal, ADJ 
stem, NOUN 
cells, NOUN 
hBMSC, NOUN 
phenotypic, ADJ 
charac-, ADJ 

, SPACE 
terization, NOUN 
vitro, X 
vivo, NOUN 
demonstrated, VERB 

, SPACE 
functional, ADJ 
ability, NOUN 
hESC, NOUN 
stromal, ADJ 
cells, NOUN 
participating, VERB 
bone, NOUN 

, SPACE 
healing, NOUN 
critical, ADJ 
calvarial, ADJ 
defect, NOUN 
mice, NOUN 

, SPACE 
Methods, PROPN 
materials, NOUN 

, SPACE 
Cell, NOUN 
culture, NOUN 

, SPACE 
house, NOUN 
hESC, PROPN 
lines, NOUN 
Odense3, PROPN 
KMEB3, PROPN 
derived, VERB 

, SPACE 
accordance, NOUN 
Danish, ADJ 
stem, NOUN 
cell, NOUN 
guide, NOUN 
lines, NOUN 
approval, NOUN 

, SPACE 
local, ADJ 
Scienti, PROPN 
ﬁc, ADJ 
Ethical, PROPN 
committee, NOUN 
characterisation, NOUN 

, SPACE 
Odense3, PROPN 
KMEB3, PROPN 
previously, ADV 
reported, VERB 
30,31, X 

, SPACE 
Hues8, NOUN 
cell, NOUN 
line, NOUN 
kindly, ADV 
provided, VERB 
D., PROPN 
Melton, PROPN 
Howard, PROPN 
Hughes, PROPN 

, SPACE 
Medical, PROPN 
Institute, PROPN 
Harvard, PROPN 
University, PROPN 
Boston, PROPN 
Mass, PROPN 
2, NUM 
cell, NOUN 
lines, NOUN 

, SPACE 
transitioned, VERB 
routine, ADJ 
culture, NOUN 
inactivated, ADJ 
MEF, PROPN 
feeders, NOUN 

, SPACE 
standardised, VERB 
vitro, X 
feeder, NOUN 
free, ADJ 
conditions, NOUN 
30, NUM 
Brie, PROPN 
ﬂy, PROPN 
hESC, PROPN 

, SPACE 
cultured, ADJ 
MEF, PROPN 
conditioned, VERB 
Melton, PROPN 
media, NOUN 
Knockout, PROPN 
DMEM, PROPN 
15, NUM 

, SPACE 
KOSR, PROPN 
1, NUM 
NEAA, PROPN 
1, NUM 
mM, NUM 
Glutamax, PROPN 
0.1, NUM 
mM, NUM 
β, X 
mercaptoethanol, NOUN 

, SPACE 
Invitrogen, PROPN 
Taastrup, PROPN 
Denmark, PROPN 
0.5, NUM 
human, ADJ 
serum, NOUN 
albumin, NOUN 

, SPACE 
HSA, PROPN 
CSL, PROPN 
Behring, PROPN 
GmbH, PROPN 
Marburg, PROPN 
Germany, PROPN 
supplemented, VERB 

, SPACE 
5, NUM 
ng, PROPN 
ml, NOUN 
hbFGF, X 
Invitrogen, PROPN 
Taastrup, PROPN 
Denmark, PROPN 
Reduced, VERB 

, SPACE 
growth, NOUN 
factor, NOUN 
Matrigel, PROPN 

, SPACE 
®, NOUN 
Becton, PROPN 
Dickinson, PROPN 
Brøndby, PROPN 
Denmark, PROPN 

, SPACE 
according, VERB 
manufacturer, NOUN 
instructions, NOUN 

, SPACE 
passages, NOUN 
transition, NOUN 
sub, NOUN 
population, NOUN 
ﬁbroblast, NOUN 
like, ADJ 

, SPACE 
stromal, ADJ 
cells, NOUN 
developed, VERB 
hESC, NOUN 
colonies, NOUN 
cells, NOUN 

, SPACE 
referred, VERB 
hESC, NOUN 
stromal, ADJ 
cells, NOUN 
hESC, NOUN 
stromal, ADJ 
cells, NOUN 

, SPACE 
isolated, VERB 
plating, VERB 
colony, NOUN 
stromal, ADJ 
cells, NOUN 

, SPACE 
plates, NOUN 
pre, VERB 
coated, ADJ 
100, NUM 
μg, NOUN 
ml, PROPN 
hyaluronic, ADJ 
acid, NOUN 
Calbiochem/, PROPN 

, SPACE 
Merck, PROPN 
Darmstadt, PROPN 
Germany, PROPN 
DMEM, PROPN 
Invitrogen, PROPN 
Taastrup, PROPN 

, SPACE 
Denmark, PROPN 
supplemented, VERB 
10, NUM 
FBS, PROPN 
PAA, PROPN 
Pasching, PROPN 
Austria, PROPN 

, SPACE 
colony, NOUN 
cells, NOUN 
attached, VERB 
hyaluronic, ADJ 
acid, NOUN 

, SPACE 
passages, NOUN 
culture, NOUN 
hyaluronic, ADJ 
acid, NOUN 
residual, ADJ 
colony, NOUN 
cells, NOUN 

, SPACE 
found, VERB 
Flow, VERB 
cytometry, NOUN 

, SPACE 
Flow, NOUN 
cytometry, NOUN 
carried, VERB 
establish, VERB 
phenotypic, ADJ 
pro, ADJ 
ﬁle, NOUN 

, SPACE 
hESC, PROPN 
stromal, ADJ 
cells, NOUN 
compare, VERB 
pro, ADJ 
ﬁle, PROPN 

, SPACE 
characterized, VERB 
hBMSC, NOUN 
line, NOUN 
established, VERB 
expression, NOUN 

, SPACE 
human, ADJ 
telomerase, NOUN 
gene, NOUN 
TERT, PROPN 
called, VERB 
hMSC, NOUN 
TERT, NOUN 
32, NUM 
OD3-, PROPN 

, SPACE 
Hues8-, PROPN 
KMEB3, PROPN 
stromal, ADJ 
cells, NOUN 
hMSC, NOUN 
TERT, NOUN 
cells, NOUN 
stainedfor, ADP 
pre, ADJ 
conjugated, VERB 
markers, NOUN 
CD29, PROPN 
FITC, PROPN 
AbCam, PROPN 
Cambridge, PROPN 
UK, PROPN 

, SPACE 
CD34, PROPN 
PE, PROPN 
Dako, PROPN 
Glostrup, PROPN 
Denmark, PROPN 
CD44, PROPN 
PE, PROPN 
CD45, PROPN 
PE, PROPN 
CD73, PROPN 
PE, PROPN 

, SPACE 
CD146, PROPN 
PE, PROPN 
CD166, PROPN 
PE, PROPN 
BD, PROPN 
Pharmingen, PROPN 
Brøndby, PROPN 
Denmark, PROPN 

, SPACE 
CXCR4, PROPN 
PE, PROPN 
Oct3/4, PROPN 
FITC, PROPN 
R&D, PROPN 
Systems, PROPN 
Abingdon, PROPN 
UK, PROPN 
Tra1-, PROPN 

, SPACE 
81, NUM 
PE, NOUN 
CD105, PROPN 
APC, PROPN 
eBioscience, PROPN 
Hat, PROPN 
ﬁeld, NOUN 
UK, PROPN 
Cells, NOUN 

, SPACE 
trypsinised, VERB 
single, ADJ 
cell, NOUN 
suspension, NOUN 
blocked, VERB 
2, NUM 
BSA, NOUN 

, SPACE 
incubation, NOUN 
mentioned, VERB 
pre, ADJ 
conjugated, VERB 
antibodies, NOUN 

, SPACE 
matched, VERB 
isotype, NOUN 
controls, NOUN 
45, NUM 
min, NOUN 
ice, NOUN 
samples, NOUN 

, SPACE 
analysed, VERB 
FACScan, PROPN 
BD, PROPN 
Biosciences, PROPN 
Brøndby, PROPN 
Denmark, PROPN 
data, NOUN 

, SPACE 
evaluated, VERB 
WinMdi, PROPN 
http://www.cyto.purdue.edu/, PROPN 
ﬂowcyt, PROPN 
soft-, PROPN 

, SPACE 
ware, NOUN 
Winmdi.htm, PROPN 

, SPACE 
Differentiation, PROPN 
osteoblast, VERB 
adipocyte, NOUN 
chondrocyte, PROPN 
cells, NOUN 

, SPACE 
hESC, PROPN 
stromal, ADJ 
cells, NOUN 
plated, VERB 
tissue, NOUN 
coated, ADJ 
plastics, NOUN 
pre, VERB 
coated, ADJ 

, SPACE 
30, NUM 
min, NOUN 
RT, PROPN 
100, NUM 
μg, NOUN 
ml, PROPN 
hyaluronic, ADJ 
acid, NOUN 
PBS, PROPN 
high, ADJ 
glucose, NOUN 

, SPACE 
DMEM, PROPN 
supplemented, VERB 
10, NUM 
FBS, PROPN 
PAA, PROPN 
Pasching, PROPN 
Austria, PROPN 
80, NUM 

, SPACE 
conﬂuence, NOUN 
achieved, VERB 
cells, NOUN 
cultured, VERB 
osteoblastic, ADJ 

, SPACE 
induction, NOUN 
mixture, NOUN 
containing, VERB 
100, NUM 
nM, NUM 
dexamethasone, NOUN 
Sigma-, PROPN 

, SPACE 
Aldrich, PROPN 
Brøndby, PROPN 
Denmark, PROPN 
50, NUM 
μg, NOUN 
ml, PROPN 

, SPACE 
L, NOUN 
ascorbic, NOUN 
acid-2, NOUN 
phosphate, NOUN 

, SPACE 
Sigma, PROPN 
Aldrich, PROPN 
Brøndby, PROPN 
Denmark, PROPN 
10, NUM 
mM, NUM 
β, X 
glycerophosphate, NOUN 

, SPACE 
Calbiochem, PROPN 
Merck, PROPN 
Darmstadt, PROPN 
Germany, PROPN 
adipocyte, NOUN 
differentia-, PART 

, SPACE 
tion, NOUN 
cells, NOUN 
incubated, VERB 
100, NUM 
con, NOUN 
ﬂuency, NOUN 
adipocyte, ADJ 
induction, NOUN 

, SPACE 
mixture, NOUN 
DMEM, PROPN 
plus, CCONJ 
10, NUM 
FBS, PROPN 
media, NOUN 
supplemented, VERB 
10, NUM 
horse, NOUN 

, SPACE 
serum, NOUN 
Sigma, PROPN 
Aldrich, PROPN 
Brøndby, PROPN 
Denmark, PROPN 
100, NUM 
nM, NUM 
dexamethasone, NOUN 

, SPACE 
Sigma, PROPN 
Aldrich, PROPN 
Brøndby, PROPN 
Denmark, PROPN 
450, NUM 
μM, NUM 
1, NUM 
methyl-3, NUM 
isobutyl-, NOUN 

, SPACE 
xanthine, PROPN 
IBMX, PROPN 
Sigma, PROPN 
Aldrich, PROPN 
Brøndby, PROPN 
Denmark, PROPN 
1, NUM 
μM, NUM 
Rosiglitazone, NOUN 

, SPACE 
BRL49653, PROPN 
Cayman, PROPN 
Chemical, PROPN 
Ann, PROPN 
Arbor, PROPN 
Michigan, PROPN 
5, NUM 
μg, NOUN 
ml, PROPN 
insulin, NOUN 

, SPACE 
Sigma, PROPN 
Aldrich, PROPN 
Brøndby, PROPN 
Denmark, PROPN 
chondrocyte, ADJ 
lineage, NOUN 

, SPACE 
2×105cells, NOUN 
pelleted, VERB 
900, NUM 
g, NOUN 
5, NUM 
min, NOUN 
left, VERB 
overnight, ADV 

, SPACE 
CDM, PROPN 
chemically, ADV 
de, ADP 
ﬁned, VERB 
media, NOUN 
DMEM, PROPN 
F12, PROPN 
Invitrogen, PROPN 
Taastrup, PROPN 

, SPACE 
Denmark, PROPN 
0.5, NUM 
fraction, NOUN 
V, NOUN 
BSA, PROPN 
Sigma, PROPN 
Aldrich, PROPN 
Brøndby, PROPN 
Denmark, PROPN 
1, NUM 

, SPACE 
lipid, NOUN 
concentrate, NOUN 
Invitrogen, PROPN 
Taastrup, PROPN 
Denmark, PROPN 
1, NUM 
mM, NUM 
glutamax, NOUN 

, SPACE 
Invitrogen, PROPN 
Taastrup, PROPN 
Denmark, PROPN 
supplemented, VERB 
10, NUM 
nM, NUM 
dexameth-, NOUN 

, SPACE 
asone, NOUN 
Sigma, PROPN 
Aldrich, PROPN 
Brøndby, PROPN 
Denmark, PROPN 
50, NUM 
μg, NOUN 
ml, PROPN 
L, NOUN 
ascorbic, NOUN 
acid-2-, PROPN 

, SPACE 
phosphate, NOUN 
Sigma, PROPN 
Aldrich, PROPN 
Brøndby, PROPN 
Denmark, PROPN 
40, NUM 
μg, NOUN 
ml, PROPN 
L, NOUN 
proline, NOUN 

, SPACE 
Sigma, PROPN 
Aldrich, PROPN 
Brøndby, PROPN 
Denmark, PROPN 
0.91, NUM 
mM, NUM 
sodium, NOUN 
pyruvate, NOUN 
Invi-, PROPN 

, SPACE 
trogen, NOUN 
Taastrup, PROPN 
Denmark, PROPN 
1, NUM 
insulin, NOUN 
transferrin, NOUN 
selenium, NOUN 
+1, NOUN 

, SPACE 
ITS+, NOUN 
BD, PROPN 
Biosciences, PROPN 
Brøndby, PROPN 
Denmark, PROPN 
Cells, NOUN 
incubated, VERB 

, SPACE 
overnight, ADV 
form, VERB 
pellet, NOUN 
prior, ADV 
addition, NOUN 
10, NUM 
ng, PROPN 
ml, PROPN 
TGF, PROPN 
β1, PROPN 

, SPACE 
Peprotech, PROPN 
London, PROPN 
UK, PROPN 

, SPACE 
Quantitative, ADJ 
real, ADJ 
time, NOUN 
PCR, PROPN 
qRT, ADJ 
PCR, PROPN 
analysis, NOUN 

, SPACE 
collected, VERB 
samples, NOUN 
underwent, VERB 
total, ADJ 
RNA, PROPN 
extraction, NOUN 
TRIzol, PROPN 

, SPACE 
Invitrogen, PROPN 
Taastrup, PROPN 
Denmark, PROPN 
according, VERB 
manufacturer, NOUN 
instruc-, ADJ 

, SPACE 
tions, NOUN 
phase, NOUN 
separation, NOUN 
carried, VERB 
chloroform, NOUN 

, SPACE 
resultant, ADJ 
pellets, NOUN 
washed, VERB 
