JOURNAL, PROPN 
walls, NOUN 
rectangular, ADJ 
essential, ADJ 

, SPACE 
order, NOUN 
scan, VERB 
entire, ADJ 
light, ADJ 
path, NOUN 
having, VERB 
width, NOUN 

, SPACE 
geometry, NOUN 
allows, VERB 
cover, VERB 
17, NUM 
steps, NOUN 

, SPACE 
addition, NOUN 
measurements, NOUN 
integrated, VERB 
total, ADJ 
transmission, NOUN 

, SPACE 
determination, NOUN 
IL-, PROPN 
IL-2, PUNCT 
dependent, ADJ 
CTLL-2, NOUN 
IO, PROPN 
cells, NOUN 
seeded, VERB 

, SPACE 
specially, ADV 
designed, VERB 
96, NUM 
microtiterplates, NOUN 
seeded, ADJ 
cells, NOUN 
cultivated, VERB 

, SPACE 
different, ADJ 
IL-2, ADJ 
concentrations, NOUN 
incubation, NOUN 
standard, ADJ 
conditions, NOUN 
repetitive, ADJ 

, SPACE 
measurements, NOUN 
culture, NOUN 
plates, NOUN 
cell, NOUN 
count, NOUN 
determined, VERB 
cell, NOUN 
counts, NOUN 

, SPACE 
different, ADJ 
time, NOUN 
periods, NOUN 
growth, NOUN 
rate, NOUN 
t, PROPN 
pu, PROPN 
cell, NOUN 
growing, VERB 
curves, NOUN 

, SPACE 
calculated, VERB 
correlation, NOUN 
kinetics, NOUN 
data, NOUN 
cell, NOUN 
proliferation, NOUN 
allows, VERB 

, SPACE 
quantification, NOUN 
IL-2, NUM 
activity, NOUN 
results, NOUN 
assay, NOUN 
compared, VERB 

, SPACE 
K., PROPN 
Vorauer, PROPN 
et, PROPN 
al, PROPN 
/.I., PROPN 
Biochem, PROPN 
Biophys, NOUN 
Methods, NOUN 
32, NUM 
996, NUM 
85, NUM 
96, NUM 
87, NUM 

, SPACE 
calorimetric, NOUN 
assays, NOUN 
MTT, NOUN 
MTS, PROPN 
substrates, NOUN 
Essential, ADJ 
parameters, NOUN 

, SPACE 
accuracy, NOUN 
analytical, ADJ 
range, NOUN 
test, NOUN 
systems, NOUN 
compared, VERB 

, SPACE 
2, X 
Materials, NOUN 
methods, NOUN 

, SPACE 
2.1, NUM 
Cell, NOUN 
line, NOUN 
medium, NOUN 

, SPACE 
murine, NOUN 
cytotoxic, ADJ 
T, PROPN 
cell, NOUN 
line, NOUN 
CTLL-2, PROPN 
obtained, VERB 
European, PROPN 
Collection, PROPN 

, SPACE 
Animal, PROPN 
Cell, PROPN 
Cultures, PROPN 
Porton, PROPN 
UK, PROPN 
cells, NOUN 
cultivated, VERB 
RPM1, PROPN 
1640, NUM 

, SPACE 
Gibco, PROPN 
BRL, PROPN 
Life, PROPN 
Technologies, PROPN 
Gaithersburg, PROPN 
USA, PROPN 
supplemented, VERB 
10, NUM 
fetal, ADJ 
calf, NOUN 

, SPACE 
serum, NOUN 
4, NUM 
mM, NUM 
L, PROPN 
glutamine, NOUN 
10, NUM 
pg, PROPN 
ml, PROPN 
sodium, PROPN 
pyruvate, PROPN 
1, NUM 
kg, NOUN 
ml, PROPN 
2, NUM 
mercaptoethanol, NOUN 

, SPACE 
1, NUM 
non, ADJ 
essential, ADJ 
amino, NOUN 
acids, NOUN 
composition, NOUN 
100, NUM 
X, NOUN 
concentrate, NOUN 
Seromed, PROPN 
Biochrom, PROPN 
KG, PROPN 

, SPACE 
Berlin, PROPN 
Germany, PROPN 
20, NUM 
units, NOUN 
recombinant, ADJ 
human, ADJ 
Interleukin-2, NOUN 
ml, PROPN 
Boehringer-, PROPN 

, SPACE 
Mannheim, PROPN 
Biochemie, PROPN 
Vienna, PROPN 
Austria, PROPN 

, SPACE 
2.2, NUM 
Cell, NOUN 
number, NOUN 
calibration, NOUN 
curue, ADJ 

, SPACE 
determination, NOUN 
cell, NOUN 
number, NOUN 
calibration, NOUN 
curve, NOUN 
carried, VERB 

, SPACE 
purpose, NOUN 
CTLL-2, NOUN 
cells, NOUN 
diluted, VERB 
2, NUM 
fold, NOUN 
8, NUM 
X, NOUN 
lo5, NOUN 
3.125, NUM 
X, NOUN 
lo3, ADJ 
cells, NOUN 

, SPACE 
volumes, NOUN 
100, NUM 
~1, NOUN 
GCSS, NOUN 
plates, NOUN 
2, NUM 
h, NOUN 
incubation, NOUN 
period, NOUN 

, SPACE 
transmission, NOUN 
690, NUM 
nm, NOUN 
measured, VERB 
plot, NOUN 
cell, NOUN 
density, NOUN 
versus, ADP 
change, NOUN 

, SPACE 
transmission, NOUN 
calibration, NOUN 
curve, NOUN 
cell, NOUN 
number, NOUN 

, SPACE 
2.3, X 
Determination, NOUN 
IL-2, NOUN 
activity, NOUN 
GCSS, PROPN 

, SPACE 
Prior, ADV 
proliferation, NOUN 
assays, NOUN 
cells, NOUN 
washed, VERB 
twice, ADV 
IL-2, NUM 
free, ADJ 
medium, NOUN 

, SPACE 
suspended, VERB 
1.4, NUM 
X, PROPN 
IO5, PROPN 
cells, NOUN 
ml, PROPN 
IL-2, NUM 
free, ADJ 
medium, NOUN 
50, NUM 
~1, NOUN 
suspension, NOUN 

, SPACE 
transferred, VERB 
96, NUM 
plate, NOUN 
wells, NOUN 
contained, VERB 
50, NUM 
~1, NOUN 
IL-2, NOUN 

, SPACE 
2, NUM 
fold, ADJ 
dilutions, NOUN 
10, NUM 
0.015, NUM 
U, NOUN 
order, NOUN 
remove, VERB 
potential, ADJ 
air, NOUN 
bubbles, NOUN 

, SPACE 
minimize, VERB 
temperature, NOUN 
influences, NOUN 
IL-2, CCONJ 
filled, VERB 
culture, NOUN 
plates, NOUN 
preincubated, VERB 

, SPACE 
1, NUM 
h, NOUN 
37, NUM 
°, NUM 
C, NOUN 
Recombinant, ADJ 
human, ADJ 
Interleukin-2, NOUN 
purchased, VERB 
Boehringer, PROPN 
Man-, PROPN 

, SPACE 
nheim, PROPN 
Biochemie, PROPN 
Vienna, PROPN 
Austria, PROPN 
standard, NOUN 
cell, NOUN 
seeding, NOUN 
plates, NOUN 

, SPACE 
incubated, VERB 
37, NUM 
°, NUM 
C, NOUN 
5, NUM 
CO, PROPN 
atmosphere, NOUN 
total, ADJ 
72, NUM 
h, NOUN 
culturing, VERB 
Cell, NOUN 
culture, NOUN 

, SPACE 
plates, NOUN 
periodically, ADV 
12, NUM 
h, NOUN 
read, VERB 
GCSS, NOUN 
reader, NOUN 
690, NUM 
nm, ADJ 
wavelength, NOUN 

, SPACE 
cell, NOUN 
number, NOUN 
calculated, VERB 
calibration, NOUN 
curve, NOUN 
population, NOUN 
growth, NOUN 
rate, NOUN 

, SPACE 
p, NOUN 
calculated, VERB 
Eq, PROPN 
Eq, PROPN 
0, PROPN 
N, PROPN 
N, PROPN 
cell, NOUN 
counts, NOUN 
different, ADJ 

, SPACE 
times, NOUN 
t,+, PROPN 
t, PROPN 
represent, VERB 
time, NOUN 

, SPACE 
ln(N,+, PROPN 
-4, PROPN 

, SPACE 
CL=, PROPN 
t, PROPN 
1, NUM 

, SPACE 
II+, PUNCT 
43, NUM 

, SPACE 
2.4, NUM 
Determination, NOUN 
IL-2, NOUN 
activity, NOUN 
calorimetric, PROPN 
assay, NOUN 

, SPACE 
comparison, NOUN 
determination, NOUN 
IL-2, NOUN 
GCSS, PROPN 
calorimetric, ADJ 
assays, NOUN 

, SPACE 
MTT, PROPN 
MTS, PROPN 
substrate, NOUN 
performed, VERB 

, SPACE 
MTT, PROPN 
assay, NOUN 
carried, VERB 
according, VERB 
method, NOUN 
Mosmann, PROPN 
et, PROPN 
al, PROPN 

, SPACE 
Briefly, PROPN 
MTT, PROPN 
Sigma, PROPN 
St., PROPN 
Louis, PROPN 
MO, PROPN 
USA, PROPN 
dissolved, VERB 
concentration, NOUN 
4, NUM 

, SPACE 
mg, NOUN 
ml, PROPN 
clarified, VERB 
filtration, NOUN 
0.2, NUM 
pm, NOUN 
sterile, ADJ 
discfilter, NOUN 
Millipore, PROPN 

, SPACE 
Corporation, PROPN 
Bedford, PROPN 
USA, PROPN 
Cells, NOUN 
seeded, VERB 
analogously, ADV 
prior, ADJ 
described, VERB 

, SPACE 
population, NOUN 
growth, NOUN 
rate, NOUN 
assay, NOUN 
time, NOUN 
period, NOUN 
4, NUM 
days, NOUN 
24, NUM 
h, NOUN 
10, NUM 
PI, PROPN 
MTT, NOUN 

, SPACE 
stock, NOUN 
solution, NOUN 
added, VERB 
plates, NOUN 
4, NUM 
h, NOUN 
incubation, NOUN 
37, NUM 
°, NUM 
C, NOUN 

, SPACE 
5%-, PROPN 
CO, PROPN 
atmosphere, NOUN 
70, NUM 
~1, NOUN 
supernatant, NOUN 
removed, VERB 

, SPACE 
discarded, VERB 
100, NUM 
~1, ADJ 
dimethyl, PROPN 
sulfoxide, ADP 
DMSO, PROPN 
Sigma, PROPN 
St., PROPN 
Louis, PROPN 
MO, PROPN 
USA, PROPN 

, SPACE 
added, VERB 
wells, NOUN 
dissolve, VERB 
dark, ADJ 
blue, ADJ 
formazan, ADJ 
crystals, NOUN 
complete, ADJ 
solubiliza-, ADJ 

, SPACE 
tion, NOUN 
adsorbance, NOUN 
measured, VERB 
spectrophotometer, NOUN 
test, NOUN 
wavelength, NOUN 
590, NUM 
nm, NOUN 

, SPACE 
reference, NOUN 
wavelength, NOUN 
690, NUM 
nm, NOUN 

, SPACE 
second, ADJ 
calorimetric, NOUN 
assay, X 
MTS, PROPN 
Promega, PROPN 
Madison, PROPN 
USA, PROPN 
instead, ADV 
MTT, PROPN 

, SPACE 
MTS, PROPN 
combination, NOUN 
PMS, PROPN 
phenanzine, ADJ 
methosulfate, NOUN 
electron, NOUN 

, SPACE 
coupling, VERB 
reagent, NOUN 
reduced, VERB 
medium, ADJ 
soluble, ADJ 
formazan, NOUN 
Microtiterplates, NOUN 
containing, VERB 

, SPACE 
100, NUM 
~1, ADJ 
cell, NOUN 
suspension, NOUN 
prepared, VERB 
described, VERB 
24.48, NUM 
72, NUM 
h, NOUN 

, SPACE 
incubation, NOUN 
20, NUM 
~1, ADJ 
MTS, PROPN 
PMS, PROPN 
stock, NOUN 
solution, NOUN 
added, VERB 
growing, VERB 
cells, NOUN 

, SPACE 
Plates, NOUN 
incubated, VERB 
6, NUM 
h, NOUN 
followed, VERB 
adsorption, NOUN 
reading, VERB 
492, NUM 

, SPACE 
nm, NOUN 
reference, NOUN 
wavelength, NOUN 
690, NUM 
nm, NOUN 
assays, NOUN 
samples, NOUN 
quantified, VERB 

, SPACE 
internal, ADJ 
standard, ADJ 
curve, NOUN 

, SPACE 
2.5, X 
GCSS, PROPN 
instrurnentutior~, VERB 
cd, PROPN 
techicctl, PROPN 
details, NOUN 

, SPACE 
prototype, NOUN 
GCSS, NOUN 
reader, NOUN 
prototype, NOUN 
specially, ADV 
designed, VERB 
cell, NOUN 
culture, NOUN 

, SPACE 
plates, NOUN 
setting, NOUN 
method, NOUN 
Meanwhiles, NOUN 
equipment, NOUN 
consisting, VERB 

, SPACE 
GCSS, PROPN 
reader, NOUN 
GCSS, NOUN 
plates, NOUN 
GCSS, NOUN 
software, NOUN 
9, NUM 
commercially, ADV 
available, ADJ 
SLT, PROPN 

, SPACE 
Labinstuments, PROPN 
GmbH., PROPN 
UntersbergstraBe, PROPN 
A-5082, NOUN 
Gr8ding, PROPN 
conventional, ADJ 
96, NUM 

, SPACE 
cell, NOUN 
culture, NOUN 
plates, NOUN 
limited, ADJ 
application, NOUN 
determination, NOUN 
cell, NOUN 
counts, NOUN 

, SPACE 
non, ADJ 
stirred, ADJ 
culture, NOUN 
non, ADJ 
homogeneous, ADJ 
suspension, NOUN 
form, NOUN 
non, ADJ 
homoge-, ADJ 

, SPACE 
neous, ADJ 
suspension, NOUN 
single, ADJ 
measurement, NOUN 
allow, VERB 
correct, ADJ 

, SPACE 
determination, NOUN 
cell, NOUN 
number, NOUN 
observation, NOUN 
cell, NOUN 
kinetics, NOUN 
cell, NOUN 
growth, NOUN 

, SPACE 
circumvent, VERB 
problems, NOUN 
turbidity, NOUN 
taken, VERB 

, SPACE 
account, NOUN 
scanning, VERB 
rectangular, ADJ 
cross, NOUN 
section, NOUN 

, SPACE 
measured, VERB 
planconvex, NOUN 
shape, NOUN 
combination, NOUN 
defined, VERB 
light-, ADJ 

, SPACE 
beamwidth, NOUN 
necessary, ADJ 
measure, VERB 
volume, NOUN 
avoid, VERB 
quenching, VERB 

, SPACE 
Fig, PROPN 
1, NUM 
Schematic, ADJ 
drawng, NOUN 
GCSS, NOUN 
3, NUM 
rectangular, ADJ 
crosssection, NOUN 
planconvex, NOUN 
shape, NOUN 

, SPACE 
conical, ADJ 
wall\., NOUN 
width, NOUN 
hottom, NOUN 
corresponds, VERB 
light, ADJ 
path, NOUN 
width, PROPN 

, SPACE 
K., PROPN 
Vorauer, PROPN 
et, PROPN 
al, PROPN 
/J., PROPN 
Biochem, PROPN 
Biophw, NOUN 
Methods, NOUN 
32, NUM 
1996, NUM 
M-96, PROPN 
89, NUM 

, SPACE 
effects, NOUN 
reflection, NOUN 
lightpath, NOUN 
transmitting, VERB 

, SPACE 
conical, ADJ 
sidewalls, NOUN 
provide, VERB 
volume, NOUN 
conventional, ADJ 
wells, NOUN 
Furthermore, ADV 

, SPACE 
convenient, ADJ 
pipetting, NOUN 
liquids, NOUN 
conical, ADJ 
sidewalls, NOUN 
practical, ADJ 

, SPACE 
GCSS, NOUN 
reader, NOUN 
scans, VERB 
17, NUM 
additive, ADJ 
steps, NOUN 
specially, ADV 
designed, VERB 

, SPACE 
planconvex, VERB 
cell, NOUN 
culture, NOUN 
wells, NOUN 
combination, NOUN 
rectangular, ADJ 
lightbeam, NOUN 

, SPACE 
measurement, NOUN 
rectangular, ADJ 
bottoms, NOUN 
possible, ADJ 
schematic, ADJ 
drawing, NOUN 
cell, NOUN 

, SPACE 
culture, NOUN 
GCSS, NOUN 
shown, VERB 
Fig, PROPN 
1, NUM 
Data, NOUN 
directly, ADV 
transferred, VERB 
Apple, PROPN 

, SPACE 
Macintosh, PROPN 
computer, NOUN 
calculations, NOUN 
carried, VERB 
GCSS, NOUN 
software, NOUN 
GCSS, NOUN 

, SPACE 
reader, NOUN 
placed, VERB 
laminar, NOUN 
flow, NOUN 
hood, NOUN 
avoid, VERB 
airbom, ADJ 
contamination, NOUN 

, SPACE 
measuring, VERB 
procedure, NOUN 

, SPACE 
3, X 
Results, NOUN 

, SPACE 
IL-2, ADJ 
dependent, ADJ 
proliferation, NOUN 
CTLL-2, NOUN 
cells, NOUN 
evaluated, VERB 
GCSS, NOUN 
period, NOUN 
5, NUM 

, SPACE 
days, NOUN 
reported, VERB 
Fig, PROPN 
2, NUM 
GCSS, NOUN 
software, NOUN 
offers, VERB 
possibility, NOUN 
zoom, VERB 

, SPACE 
detailed, ADJ 
information, NOUN 
Fig, PROPN 
2, NUM 
selected, VERB 
graph, NOUN 
shows, VERB 
history, NOUN 

, SPACE 
single, ADJ 
data, NOUN 
point, NOUN 
growth, NOUN 
curve, NOUN 
represents, VERB 
cell, NOUN 
count, NOUN 
CTLL-2, NOUN 

, SPACE 
cells, NOUN 
certain, ADJ 
time, NOUN 
zoomed, VERB 
representation, NOUN 
exponential, ADJ 
growth, NOUN 
phase, NOUN 

, SPACE 
easily, ADV 
evaluated, VERB 

, SPACE 
Cells, NOUN 
ml, PROPN 

, SPACE 
2.25OE67, NUM 

, SPACE 
2.0OOE6j, PROPN 

, SPACE 
1.750E64, PROPN 

, SPACE 
1.500E6j, PROPN 

, SPACE 
1.250E6j, PROPN 

, SPACE 
1, NUM 
.OOOE6, PROPN 

, SPACE 
S.OOOES, NOUN 

, SPACE 

, SPACE 
~~~~, PUNCT 
Dys, PROPN 

, SPACE 
0, NUM 
1, NUM 
2, NUM 
3, NUM 
4, NUM 
5, NUM 
6, NUM 
Elapsed, VERB 

, SPACE 
1993’02’10, NUM 
14:04, NUM 
1993’02’16, NUM 
14:04, NUM 

, SPACE 
Population, PROPN 
Growth, PROPN 
Rate, PROPN 
oiroled, ADJ 
points, NOUN 
0.04032Ihow, X 

, SPACE 
Fig, PROPN 
2, NUM 
Representation, NOUN 
zoomed, PROPN 
curve, NOUN 
plan, NOUN 
convex, ADJ 
GCSS, NOUN 
plates, NOUN 
selected, VERB 

, SPACE 
marked, VERB 
Fig, PROPN 
3, NUM 
population, NOUN 
growth, NOUN 
rate, NOUN 
/.L, PROPN 
calculated, VERB 
circled, VERB 
points, NOUN 
0.04032, NUM 
h., PROPN 

, SPACE 
mm, PROPN 
IL2, PROPN 
Uergeich, PROPN 
Phase, PROPN 
l, NOUN 
Cell, PROPN 
Concentration, PROPN 
History, NOUN 
Unblanked, PROPN 

, SPACE 
Plate, PROPN 
=, NOUN 
l, PROPN 
ID, PROPN 
IL2, PROPN 
Vera.001, PROPN 
.OOll, PUNCT 

, SPACE 
Fig, PROPN 
3, NUM 
GCSS, NOUN 
representation, NOUN 
growth, NOUN 
kinetics, NOUN 
curves, NOUN 
Y6, NOUN 
format, NOUN 
A3, PROPN 
12, NUM 
B3, ADJ 
B, PROPN 
I2, PROPN 
C3, PROPN 
C, PROPN 
I2, PROPN 

, SPACE 
IL-2, NOUN 
Boehringer, PROPN 
Mannheim, PROPN 
dilutions, NOUN 
triplicates, NOUN 
starting, VERB 
IO, PROPN 
units, NOUN 
D3, PROPN 
Dl1, PROPN 
E3, PROPN 
El2, NOUN 

, SPACE 
unknown, ADJ 
IL-2, PROPN 
snnples, NOUN 
measured, VERB 
duplicates, NOUN 
FSFIZ, PROPN 
G3, NOUN 
Cl2, NOUN 
H3, PROPN 
HI, PROPN 
unknown, ADJ 
IL-2, ADJ 

, SPACE 
samples, NOUN 
2, NUM 
measured, VERB 
triplicate\., PROPN 
