jouma, PROPN 
compounds, NOUN 
2, NUM 
3, NUM 
solution, NOUN 
immobilized, ADJ 

, SPACE 
catalysts, VERB 
A6, ADV 
D7, PROPN 
E7, PROPN 
generated, VERB 
chloro-, NOUN 
acetatoiridium(i, ADV 
complexes, NOUN 
irCI(C2H4)212, SYM 
6, NUM 

, SPACE 
ir(OAcXC2H4)2, X 
2, NUM 
7, NUM 
possessed, VERB 
lower, ADJ 
activity, NOUN 
rhodium, NOUN 
counterparts, NOUN 
diazoalkanes, VERB 
Ph2CN, PROPN 
2, NUM 
activity, NOUN 

, SPACE 
supported, VERB 
catalyst, NOUN 
BI, PROPN 
partly, ADV 
higher, ADJ 
partly, ADV 
lower, ADJ 
complex, ADJ 
1, NUM 
homogeneous, ADJ 
phase, NOUN 

, SPACE 
Kt, PROPN 
~, X 
rords, NOUN 
Rhodium, NOUN 
Iridium, PROPN 
Supported, VERB 
catalyst, NOUN 
C, PROPN 
C, PROPN 
coupling, NOUN 
Diazoalkanes, PROPN 
Olefin, PROPN 

, SPACE 
1, X 
Introduction, NOUN 

, SPACE 
course, NOUN 
investigations, NOUN 
aim, NOUN 

, SPACE 
preparing, VERB 
square, ADJ 
planar, NOUN 
carbenerhodium(I, NOUN 
complexes, NOUN 

, SPACE 
type, NOUN 
trans.[RhCl(---CRR')(PtPr~)2, X 

, SPACE 
RhCi(PtPr3)2]2, PROPN 
diazoalkanes, VERB 
recently, ADV 
observed, VERB 

, SPACE 
rhodium, NOUN 
catalysed, VERB 
reaction, NOUN 
ethene, NOUN 

, SPACE 
diphenyidiazomethane, NOUN 
occurs, VERB 
surprisingly, ADV 
yields, VERB 

, SPACE 
instead, ADV 
expected, VERB 
l.l, PROPN 
diphenylcyclopropane, NOUN 

, SPACE 
isomeric, ADJ 
i., PROPN 
diphenylpropene, NOUN 
1,2, NUM 
continu-, ADJ 

, SPACE 
+, ADJ 
tion, NOUN 
studies, NOUN 
found, VERB 

, SPACE 
bis(olefin)rhodium(1, PROPN 
compounds, NOUN 

, SPACE 
RhCI(C, X 
2, NUM 
H,,)2, NOUN 
2, NUM 
RhCI(CsH, X 
t4)z, PROPN 
2, NUM 
catalytically, ADV 

, SPACE 
reactive, ADJ 
RhCi(P'Pr3)2]2, NOUN 
similar, ADJ 

, SPACE 
phosphinerhodium, NOUN 
derivatives, NOUN 
2, NUM 
compounds, NOUN 

, SPACE 
general, ADJ 
composition, NOUN 
RhX(CzH, NOUN 
4)2, PROPN 
anionic, NOUN 
ligand, NOUN 

, SPACE 
X-, PROPN 
crucial, ADJ 
influence, NOUN 
catalytic, ADJ 
activity, NOUN 

, SPACE 
Corresponding, PROPN 
author, NOUN 

, SPACE 
Dedicated, VERB 
late, ADJ 
Professor, PROPN 
Hidemasa, PROPN 
Takaya, PROPN 
recognition, NOUN 

, SPACE 
pioneering, VERB 
contributions, NOUN 
organometallic, ADJ 
chemistry, NOUN 

, SPACE 
homogeneous, ADJ 
catalysis, NOUN 
RhCI(C2H+)2, NUM 
2, NUM 
1, NUM 
Scheme, PROPN 

, SPACE 
active, ADJ 
provides, VERB 
turnover, NOUN 
numl, ADJ 
~, NOUN 
rs, ADP 
250, NUM 
3, NUM 

, SPACE 
related, VERB 
rhodium, NOUN 
acetylacetonate, NOUN 
Rh(acacXC2, X 
H, PROPN 
+, PROPN 
2, NUM 

, SPACE 
3, X 
inert, ADJ 
reaction, NOUN 
C2H+/Ph2CN2, PROPN 

, SPACE 
benzene, NOUN 
40, NUM 
°, NUM 
(2, PROPN 
aces, VERB 
induce, VERB 
formation, NOUN 

, SPACE 
I.I, PROPN 
diphenylpropene, NOUN 
instead, ADV 
slowly, ADV 

, SPACE 
l.l, PROPN 
diphenylcyclopropane, NOUN 
dinuclear, VERB 
rhodium(ll, NOUN 

, SPACE 
complexes, NOUN 
excellent, ADJ 
catalysts, NOUN 
preparation, NOUN 

, SPACE 
cyclopropanes, NOUN 
olefins, NOUN 
diazoalkanes, NOUN 
Ref, PROPN 

, SPACE 
4, NUM 
acetato, NOUN 
complex, NOUN 
Rh(~I2, PROPN 
O2CCH3, PROPN 

, SPACE 
C2H4)212, PROPN 
2, NUM 
methylcyclohexane, NOUN 
40, NUM 
°, NUM 
C, NOUN 
turnover, NOUN 

, SPACE 
numbers, NOUN 
80, NUM 
achieved, VERB 
dominat-, NOUN 

, SPACE 
ing, ADJ 
coupling, NOUN 
product, NOUN 
I.l, NOUN 
diphenyl-, NOUN 

, SPACE 
cyclopropane, NOUN 
5, NUM 

, SPACE 
Taking, VERB 
results, NOUN 
consideration, NOUN 

, SPACE 
attached, VERB 
compounds, NOUN 
1, NUM 
2, NUM 
3, NUM 
trifluoro-, NOUN 

, SPACE 
hexafluoroacetylacetonato, PROPN 
complexes, NOUN 
4, NUM 
5, NUM 

, SPACE 
appropriate, ADJ 
inorganic, ADJ 
support, NOUN 
materials, NOUN 
earlier, ADJ 
stud-, NOUN 

, SPACE 
ies, ADP 
6, NUM 
confirmed, VERB 
chloro, PROPN 
complex, PROPN 

, SPACE 
bis(cyclooctene)rhodium(1, NOUN 
counterpart, NOUN 

, SPACE 
RhCI(CsH, X 
t4)212, PRON 
immobilized, VERB 
SiO, NOUN 
2, NUM 
A120, PROPN 
3, NUM 

, SPACE 
supported, VERB 
catalysts, NOUN 
reaction, NOUN 
shown, VERB 
Eq, PROPN 

, SPACE 
0022, NUM 
328X/96/$15.00, NUM 
Copyright, PROPN 
©, NOUN 
1996, NUM 
Elsevier, ADJ 
Science, PROPN 
S.A., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
Pll, PROPN 
S0022, PROPN 
328X(96)06397, NUM 
8, NUM 


, SPACE 
182, NUM 
M.E., PROPN 
Schneider, PROPN 
et, PROPN 
at./Journal, PROPN 
Organometallic, PROPN 
Chemistry, PROPN 
520, NUM 
1996, NUM 
181, NUM 
186, NUM 

, SPACE 
~,~H:~, PROPN 
R, NOUN 

, SPACE 
1"'-c, NUM 
<, X 
y, NOUN 
~, PUNCT 
o,,_,o, NOUN 

, SPACE 
CH3, PROPN 

, SPACE 
1.6, NUM 
2.7, NUM 
3,4,5, NUM 

, SPACE 
M, PROPN 

, SPACE 
1.2, NUM 
~, VERB 
h, PROPN 

, SPACE 
6, NUM 
7, NUM 
lr, NOUN 

, SPACE 
Scheme, PROPN 
I., PROPN 
Bis(ethcne)rhodium(I, PROPN 
-iridium(I, PUNCT 
complexes, NOUN 

, SPACE 
preparation, NOUN 
catalyst, NOUN 
3, X 
R, NOUN 
=, NOUN 
R, NOUN 
=, NOUN 
CH3, PROPN 
4, NUM 
R, NOUN 
=, PUNCT 
CH, PROPN 
3, NUM 
R, PROPN 
=, ADJ 
CF~, PROPN 

, SPACE 
$, SYM 
X-, PROPN 
R, NOUN 
CF~, PROPN 

, SPACE 
1, NUM 
present, ADJ 
work, NOUN 
extension, NOUN 
investiga-, ADJ 

, SPACE 
tions, NOUN 
particular, ADJ 
including, VERB 
activated, VERB 
oxidic, ADJ 
sup-, NOUN 

, SPACE 
ports, NOUN 
comparison, NOUN 
immobilized, VERB 
iridium(I, PROPN 

, SPACE 
complexes, NOUN 
IrX(C2H4)212, ADP 
6, NUM 
7)(Scheme, ADJ 

, SPACE 
preliminary, ADJ 
results, NOUN 
communicated, VERB 

, SPACE 
71, NUM 

, SPACE 
COt, NOUN 
H, NOUN 
~, PUNCT 
CH, PROPN 
3, NUM 
/~, SYM 

, SPACE 
PI, PROPN 
~, NOUN 
CN, PROPN 
1, NUM 
H2C==CH, NOUN 
l, NOUN 
~~, NOUN 
~, PUNCT 

, SPACE 
NI, PROPN 
PitAPh, NOUN 
Ph, PROPN 
1, NUM 

, SPACE 
8, NUM 
9, NUM 

, SPACE 
2, NUM 
Results, NOUN 
discu, NOUN 
~, PUNCT 
ion, NOUN 

, SPACE 
2.1, NUM 
Preparation, NOUN 
catalysts, NOUN 

, SPACE 
treatment, NOUN 
solid, ADJ 
oxides, NOUN 
SiO, PROPN 

, SPACE 
~/oAl, PROPN 
~, X 
O~, PROPN 
rhodium, NOUN 
complexes, NOUN 
containing, VERB 
°, NUM 
SiOz, PROPN 
MgO, PROPN 
pds, VERB 

, SPACE 
oi, ADP 
1, NUM 
pds, NOUN 
pdm, NOUN 
-~iOz, PROPN 
~0ki, PUNCT 

, SPACE 
SiOz, PROPN 
~-0ECI3, ADJ 

, SPACE 
B, NOUN 
C, NOUN 
O, NOUN 
E, NOUN 
F, PROPN 

, SPACE 
E, NOUN 
$, SYM 
i., PROPN 
Ti, PROPN 

, SPACE 
Scheme, PROPN 
2, NUM 
Preparation, NOUN 
support, NOUN 
materials, NOUN 
F., PROPN 

, SPACE 
thor, NOUN 
group, NOUN 
ligands, NOUN 
common, ADJ 
way, NOUN 

, SPACE 
generating, VERB 
immobilized, VERB 
catalysts, NOUN 
6, NUM 
8, NUM 
catalytically, ADV 

, SPACE 
active, ADJ 
materials, NOUN 
obtained, VERB 
chemisorption, NOUN 

, SPACE 
compounds, NOUN 
1, NUM 
3, NUM 
silica, PROPN 
magnesium, NOUN 

, SPACE 
oxide, NOUN 
oxides, NOUN 
pretreated, VERB 
180, NUM 
°, NUM 
C, NOUN 

, SPACE 
10-, X 
~, PUNCT 
mbar, NOUN 
form, VERB 
partially, ADV 
dehydroxylated, VERB 
silica, PROPN 
pds, PROPN 

, SPACE 
partially, ADV 
dehydroxylated, VERB 
magnesia, PROPN 
pdm, PROPN 
shown, VERB 

, SPACE 
Scheme, PROPN 
2, NUM 
supports, NOUN 
treated, VERB 

, SPACE 
Lewis, PROPN 
acids, NOUN 
SiC, NOUN 
TiCI4, VERB 
order, NOUN 

, SPACE 
increase, VERB 
acidic, ADJ 
nature, NOUN 
oxide, NOUN 
surface, NOUN 

, SPACE 
assume, VERB 
pretreatment, NOUN 
hydroxy, ADJ 

, SPACE 
groups, NOUN 
surface, NOUN 
transformed, VERB 
Ox]-, AUX 

, SPACE 
O),ECI4, VERB 
units, NOUN 
n, CCONJ 
=, NOUN 
1, NUM 
4, NUM 
E, NOUN 
~, PUNCT 
Si, PROPN 
Ti, PROPN 
simultaneously, ADV 

, SPACE 
n, NOUN 
equivalents, NOUN 
gaseous, ADJ 
HCI, PROPN 
formed, VERB 
Support, NOUN 
mate-, NOUN 

, SPACE 
rials, NOUN 
like, ADP 
F, PROPN 
Scheme, PROPN 
2, NUM 
ate, VERB 
completely, ADV 
coveted, VERB 

, SPACE 
SiO,)~OECI,]-moieties, NOUN 
E, NOUN 
~, PUNCT 
Si, PROPN 
Ti, PROPN 
ob-, PRON 

, SPACE 
tained, VERB 
initial, ADJ 
deprotonation, NOUN 
surflLce, PROPN 
SiOl, PROPN 
l, NOUN 

, SPACE 
Table, NOUN 

, SPACE 
Prep.~ratlon, PROPN 
supported, VERB 
rhodium, NOUN 
catalysts, NOUN 
data, NOUN 
tile, NOUN 
activity, NOUN 
.selectivity, NOUN 
tile, NOUN 
rcactio, NOUN 
ot, PROPN 
elhene, PROPN 
aud, PROPN 
dil, PROPN 
~, NOUN 
yldia, NOUN 
~, VERB 
ometha, PROPN 
e, NOUN 
TON, PROPN 

, SPACE 
retool, ADJ 
product, NOUN 
retool, NOUN 
rhodium, NOUN 

, SPACE 
Catalyst, PROPN 
prel, NOUN 
~, VERB 
ration, NOUN 

, SPACE 
Catalyst, PROPN 
Rh, PROPN 
content, NOUN 

, SPACE 
Catalytic, ADJ 
reaction, NOUN 

, SPACE 
Conversion, PROPN 
40, NUM 
°, NUM 
C, NOUN 
60, NUM 
°, NUM 
C, NOUN 

, SPACE 
immobilization, NOUN 
Ratio, NOUN 
TON, NOUN 
Ratio, PROPN 

, SPACE 
reaction, NOUN 
8:9, NUM 
8:9, NUM 

, SPACE 

, SPACE 
A2, PROPN 

, SPACE 
A3, NOUN 

, SPACE 
Bl, PROPN 

, SPACE 
B2, NOUN 

, SPACE 
B3, PROPN 

, SPACE 
IM, PROPN 

, SPACE 
II$, PROPN 

, SPACE 
CI, PROPN 

, SPACE 
C2, PROPN 

, SPACE 
C3, PROPN 

, SPACE 
C4, PROPN 

, SPACE 
C$, SYM 

, SPACE 
DI, PROPN 

, SPACE 
D2, PROPN 

, SPACE 
I)3, PROPN 

, SPACE 
El, PROPN 

, SPACE 
F2, PROPN 

, SPACE 
E3, PROPN 
0,2, NOUN 

, SPACE 
1.0, NUM 

, SPACE 
1.0, NUM 

, SPACE 
0,3, NOUN 

, SPACE 
1.0, NUM 

, SPACE 
1.0, NUM 

, SPACE 
1.0, NUM 

, SPACE 
1.0, NUM 

, SPACE 
1.0, NUM 

, SPACE 
1,0, NUM 

, SPACE 
1.0, NUM 

, SPACE 
1.0, NUM 

, SPACE 
1,0, NUM 

, SPACE 
1.0, NUM 

, SPACE 
i.0, PUNCT 

, SPACE 
0,7, NOUN 

, SPACE 
0,8, NUM 

, SPACE 
0,7, NOUN 

, SPACE 
0,4, NOUN 
20, NUM 
<, NOUN 
50:50, NUM 
<, X 
40:60, NUM 

, SPACE 
>, X 
95, NUM 
8, NUM 
70:30, NUM 
I0, PROPN 
60:40, NUM 

, SPACE 
>, X 
95, NUM 
5, NUM 
75:25, NUM 
18, NUM 
50:50, NUM 

, SPACE 
33, NUM 
91, NUM 
>, NOUN 
99:1, NUM 
184, NUM 
97:3, NUM 

, SPACE 
>, X 
95, NUM 
3, NUM 
87:13, NUM 
7, NUM 
62:38, NUM 

, SPACE 
>, X 
95, NUM 
40, NUM 
74:26, NUM 
37, NUM 
86:14, NUM 

, SPACE 
>, X 
95, NUM 
6, NUM 
81:19, NUM 
7, NUM 
89:11, NUM 

, SPACE 
>, X 
95, NUM 
6, NUM 
80:20, NUM 
7, NUM 
84:16, NUM 

, SPACE 
>, X 
95, NUM 
106, NUM 
90:10, NUM 
77, NUM 
85:15, NUM 

, SPACE 
>, X 
95, NUM 
13, NUM 
93:7, NUM 
21, NUM 
84:16, NUM 

, SPACE 
>, X 
95, NUM 
33, NUM 
98:2, NUM 
49, NUM 
88:12, NUM 

, SPACE 
>, X 
95, NUM 
13, NUM 
98:2, NUM 
17, NUM 
98:2, NUM 

, SPACE 
>, X 
95, NUM 
20, NUM 
97:3, NUM 
33, NUM 
97:3, NUM 

, SPACE 
>, X 
95, NUM 
13, NUM 
50:50, NUM 
30, NUM 
31:69, NUM 

, SPACE 
>, X 
95, NUM 
17:83, NUM 
2, NUM 
0:90, NUM 

, SPACE 
69, NUM 
<, X 
m, VERB 
<, X 
12:88, NUM 

, SPACE 
76, NUM 
31, NUM 
93:7, NUM 
93, NUM 
78:22, NUM 

, SPACE 
65, NUM 
27, NUM 
95:5, NUM 
71, NUM 
83, NUM 
7, NUM 

, SPACE 
38, NUM 
7, NUM 
94:0, NUM 
20, NUM 
81:19, NUM 


, SPACE 
M.E., PROPN 
Schneider, PROPN 
et, PROPN 
al, PROPN 
Journal, PROPN 
Ot\qanomctallic, PROPN 
Chemistry, PROPN 
520, NUM 
f, PROPN 
1996, NUM 
181, NUM 
186, NUM 
183, NUM 

, SPACE 
E, NOUN 
RhX(C, PROPN 
=, NOUN 
H,~)=]~, PROPN 

, SPACE 
immobilized, VERB 
cotolysts, NOUN 
A1, PROPN 
E3, PROPN 

, SPACE 
1, NUM 
otm, NOUN 
CzH,~, NOUN 

, SPACE 
suppo~, PROPN 
lmmobili, PROPN 
~, PUNCT 
dcm, VERB 
~, PROPN 
ysts, VERB 

, SPACE 
matefi~, PROPN 
X, PROPN 
Ci, PROPN 
OAc, VERB 
~, NOUN 
c, NOUN 
~-acac, NUM 
~-~ac, PROPN 

, SPACE 
B, PROPN 
B, PROPN 
B2, NOUN 
133, NUM 
B4, NOUN 
B5, PROPN 

, SPACE 
C, PROPN 
CI, PROPN 
C2, PROPN 
C3, PROPN 
C4, PROPN 
C5, PROPN 

, SPACE 
D, PROPN 
DI, PROPN 
2, NUM 
I)3, NOUN 

, SPACE 
E, PROPN 
E1, PROPN 
E2, PROPN 
E3, PROPN 

, SPACE 
Scheme, PROPN 
3, NUM 
Immobilized, ADJ 
catalys.ts, NOUN 
prepared, VERB 
E., PROPN 

, SPACE 
groups, NOUN 
BuLi, NOUN 
subsequent, ADJ 
reaction, NOUN 
lithi-, ADJ 

, SPACE 
ated, VERB 
oxide, NOUN 
surface, NOUN 
ECI4, PROPN 

, SPACE 
preparation, NOUN 
immobilized, ADJ 
rhodium, NOUN 
cata-, NOUN 

, SPACE 
lysts, NOUN 
Scheme, NOUN 
3, NUM 
took, VERB 
place, NOUN 
adding, VERB 
solution, NOUN 

, SPACE 
corresponding, VERB 
complex, ADJ 
1, NUM 
5, NUM 
hexane, NOUN 
suspension, NOUN 

, SPACE 
support, NOUN 
material, NOUN 
solvent, NOUN 
shaking, VERB 

, SPACE 
resulting, VERB 
caixture, NOUN 
l, NOUN 
atm, NOUN 
ethene, PROPN 

, SPACE 
nature, NOUN 
support, NOUN 
anionic, PROPN 
iigand, NOUN 
X-, PROPN 

, SPACE 
complex, NOUN 
determine, VERB 
rate, NOUN 
degree, NOUN 
chemisorption, NOUN 

, SPACE 
surface, NOUN 
generally, ADV 
known, VERB 
tile, NOUN 
reaction, NOUN 

, SPACE 
organo, ADJ 
transition, NOUN 
metal, NOUN 
compound, NOUN 

, SPACE 
contains, VERB 
basic, ADJ 
anionic, NOUN 
iigand, NOUN 
proto-, NOUN 

, SPACE 
nated, VERB 
oxide, NOUN 
support, NOUN 
crucially, ADV 
dependent, ADJ 

, SPACE 
basicity, NOUN 
number, NOUN 
surface, NOUN 
hydroxy, ADJ 
groups, NOUN 

, SPACE 
size, NOUN 
patlicles, NOUN 
9, NUM 
12, NUM 

, SPACE 
results, NOUN 
summarized, VERB 
Table, PROPN 
illustrate, VERB 

, SPACE 
treatment, NOUN 
pds, NOUN 
support, NOUN 
material, NOUN 
1, NUM 
parts, NOUN 

, SPACE 
20, NUM 
chlororhodiuna(I, PROPN 
complex, NOUN 
ab-, ADV 

, SPACE 
sorbed, ADJ 
significantly, ADV 
higher, ADJ 
1, NUM 
33c, NOUN 
~, PUNCT 

, SPACE 
~, VERB 
und, VERB 
tl, VERB 
~, PROPN 
e, PROPN 
surface, NOUN 
support, NOUN 
material, NOUN 
B, NOUN 

, SPACE 
formed, VERB 
pretreatment, NOUN 
pds, NOUN 
SiCI4, PROPN 

, SPACE 
tile, NOUN 
related, VERB 
support, NOUN 
material, NOUN 
E, NOUN 
obtained, VERB 
pdnl, PROPN 

, SPACE 
SiCI~, PROPN 
yield, NOUN 
chemisorbed, NOUN 
increased, VERB 

, SPACE 
76, NUM 

, SPACE 
higher, ADJ 
percentage, NOUN 
dissolved, VERB 
rhodium, NOUN 

, SPACE 
absorbed, VERB 
surface, NOUN 
oxide, NOUN 
supports, VERB 
B, PROPN 
C, NOUN 

, SPACE 
D, PROPN 
instead, ADV 
chloro, PROPN 
derivative, PROPN 
1, NUM 
correspond-, ADJ 

, SPACE 
ing, ADJ 
acetato, NOUN 
acetylacetonato, NOUN 
complexes, NOUN 
2, NUM 
5, NUM 
em-, NOUN 

, SPACE 
ployed, VERB 
previous, ADJ 
work, NOUN 
Schwartz, PROPN 
cowork-, NOUN 

, SPACE 
ers, NOUN 
101, NUM 
Basset, VERB 
coworkers, NOUN 

, SPACE 
known, VERB 
quantitative, ADJ 
reaction, NOUN 
compounds, NOUN 

, SPACE 
Rh(lq'LC.~Hs).~, NOUN 
SiO, NUM 
2, NUM 
occurs, NOUN 
promoted, VERB 

, SPACE 
facile, ADJ 
protonation, NOUN 
allyl, NOUN 
ligand, NOUN 
lbrm, VERB 

, SPACE 
propene, NOUN 
way, NOUN 
complexes, NOUN 
2, NUM 
5, NUM 
react, VERB 

, SPACE 
smoothly, ADV 
D, NOUN 
supported, VERB 
catalysts, NOUN 
A2, PROPN 
D2, PROPN 

, SPACE 
containing, VERB 
rhodium, NOUN 
present, ADJ 
precursor, NOUN 

, SPACE 
compound, NOUN 
treatment, NOUN 
D, NOUN 
3, NUM 
E, NOUN 

, SPACE 
2, NUM 
3, NUM 
rhodium, NOUN 
complex, NOUN 
quantitatively, ADV 

, SPACE 
absorbed, VERB 
inorganic, ADJ 
material, NOUN 
F, PROPN 

, SPACE 
surface, NOUN 
SiOH, NOUN 
groups, NOUN 
replaced, VERB 
SiOECI3, PROPN 
E, PROPN 
=, PROPN 
Si, PROPN 

, SPACE 
Ti, PROPN 
traits, NOUN 
incapable, ADJ 
reacting, VERB 

, SPACE 
rhodium(1, NOUN 
compounds, VERB 
RhX(CEH4)2, PROPN 
10, NUM 

, SPACE 
1, NUM 
2, NUM 
3, NUM 
immobilized, VERB 
support, NOUN 
2.2, NUM 
Catalytic, ADJ 
reactions, NOUN 
ethene, PROPN 
diazoalkanes, VERB 

, SPACE 
Following, VERB 
preparation, NOUN 
materials, NOUN 
AI, PROPN 
E3, PROPN 

, SPACE 
species, NOUN 
tested, VERB 
catalysts, NOUN 
C, PROPN 
C, PROPN 
coupling, NOUN 

, SPACE 
reaction, NOUN 
ethene, NOUN 
dipheny}diazomethane, VERB 

, SPACE 
40, NUM 
60, NUM 
°, NOUN 
C, NOUN 
shown, VERB 
Table, PROPN 
1, NUM 
nearly, ADV 

, SPACE 
reactions, NOUN 
isomeric, ADJ 
products, NOUN 
8, NUM 
9, NUM 

, SPACE 
generated, VERB 
note, VERB 
complex, ADJ 
1, NUM 

, SPACE 
efficient, ADJ 
selective, ADJ 
catalyst, NOUN 

, SPACE 
solution, NOUN 
1,3, NUM 
catalytic, ADJ 
activity, NOUN 
immobilized, ADJ 

, SPACE 
compounds, NOUN 
AI, PROPN 
DI, PROPN 
prepaxed, VERB 
1, NUM 

, SPACE 
pds, VERB 
pdm, VERB 
lowest, ADJ 
series, NOUN 
supported, VERB 

, SPACE 
catalysts, NOUN 
species, NOUN 
AI, PROPN 
DI, PROPN 
selec-, X 

, SPACE 
tive, NOUN 
regard, NOUN 
observation, NOUN 
aston-, X 

, SPACE 
ishing, VERB 
BI, PROPN 
formed, VERB 
treatment, NOUN 
B, NOUN 

, SPACE 
chloro, PROPN 
complex, PROPN 
1, NUM 
60, NUM 
°, NOUN 
C, NOUN 
active, ADJ 
TON, NOUN 
=, NUM 

, SPACE 
184, NUM 
40, NUM 
°, NOUN 
C, NOUN 
selective, ADJ 
catalyst, NOUN 

, SPACE 
immobilized, VERB 
species, NOUN 
work, NOUN 

, SPACE 
catalysts, NOUN 
A2, PROPN 
D2, PROPN 
obtained, VERB 

, SPACE 
chemisorption, NOUN 
2, NUM 
oxide, NOUN 
supports, NOUN 
active, ADJ 

, SPACE 
reaction, NOUN 
ethene, NOUN 
diphenyldiazomethane, NOUN 

, SPACE 
acetato, NOUN 
complex, ADJ 
2, NUM 
homogeneous, ADJ 
phase, NOUN 
5, NUM 

, SPACE 
observation, NOUN 
acetyl-, NOUN 

, SPACE 
acetonato, PROPN 
derived, VERB 
species, NOUN 
A3, PROPN 
D3, PROPN 
s, VERB 
fat, ADJ 
A3, NOUN 

, SPACE 
concerned, VERB 
difference, NOUN 
comparison, NOUN 
be-, NOUN 

, SPACE 
haviour, NOUN 
compound, NOUN 
3, NUM 
solution, NOUN 
A3, NOUN 

, SPACE 
60, NUM 
°, NOUN 
C, NOUN 
i:1, NOUN 
mixture, NOUN 
8, NUM 
9, NUM 
generated, VERB 

, SPACE 
homogeneous, ADJ 
phase, NOUN 
cyclopropane, ADJ 
derivative, NOUN 
9, NUM 

, SPACE 
formed, VERB 
13, NUM 
important, ADJ 
note, VERB 
activity, NOUN 

, SPACE 
supported, VERB 
catalysts, NOUN 
obtained, VERB 
complexes, NOUN 
2, NUM 
3, NUM 

, SPACE 
increased, VERB 
support, NOUN 
material, NOUN 
pretrcated, VERB 

, SPACE 
SiCI4, PROPN 
TiCI, PROPN 
remarkable, ADJ 
dlat, NOUN 
tile, NOUN 

, SPACE 
olefin, NOUN 
8, NUM 
product, NOUN 
mixture, NOUN 
higher, ADJ 

, SPACE 
lor, NOUN 
C2, PROPN 
pretreated, VERB 
l'iCl.~, PROPN 
B2, NOUN 
pretrcated, VERB 

, SPACE 
Si, PROPN 
4, X 
equally, ADV 
higher, ADJ 
fc)r, ADJ 
C4, PROPN 
C5, PROPN 
Ibr, PROPN 

, SPACE 
B4, PROPN 
B$, NOUN 
Table, PROPN 

, SPACE 
order, NOUN 
find, VERB 
Lewis, PROPN 
acidic, ADJ 
units, NOUN 

