TYT.U, PROPN 
studied, VERB 
effects, NOUN 
formation, NOUN 
organic, ADJ 

, SPACE 
residue, NOUN 
evolving, VERB 
higher, ADJ 
doses, NOUN 
ion, NOUN 
produced, VERB 

, SPACE 
HAC, PROPN 
Hydrogenated, PROPN 
Amorphous, PROPN 
Carbon, PROPN 
particularly, ADV 

, SPACE 
interesting, ADJ 
HAC, PROPN 
formation, NOUN 
observed, VERB 

, SPACE 
kinds, NOUN 
carbon, NOUN 
containing, VERB 
targets, NOUN 
polystyrene, ADJ 

, SPACE 
polypropylene, NOUN 
graphite, PROPN 
diamond, NOUN 
etc, X 
frozen, ADJ 

, SPACE 
gases, NOUN 
C, PROPN 
H, PROPN 
CH, PROPN 
C, PROPN 
Hlo, PROPN 
etc, X 
occurs, VERB 
combi-, ADJ 

, SPACE 
nation, NOUN 
bombarding, VERB 
ions, NOUN 
H, NOUN 
Ar, PROPN 
Kr, PROPN 
etc, X 
ion, NOUN 

, SPACE 
energies, NOUN 
ranging, VERB 
keV, NOUN 
MeV, PROPN 
fast, ADJ 

, SPACE 
ions, NOUN 
low, ADJ 
energy, NOUN 
cosmic, ADJ 
rays, NOUN 
galactic, ADJ 
protons, NOUN 
solar, ADJ 
pro-, PROPN 

, SPACE 
Corresponding, VERB 
author, NOUN 
Tel, INTJ 
+39, PROPN 
95, NUM 
7332213, NUM 
fax, NOUN 
+39, PROPN 
95, NUM 

, SPACE 
330592, NUM 
e, NOUN 
mail, NOUN 
giuseppeb@astrct.ct.astro.it, NOUN 
tons, NOUN 
solar, ADJ 
wind, NOUN 
particles, NOUN 
carbon, NOUN 
containing, VERB 
solid, ADJ 

, SPACE 
targets, NOUN 
i.e., X 
frozen, ADJ 
interstellar, ADJ 
grains, NOUN 
dense, ADJ 
regions, NOUN 

, SPACE 
comet, VERB 
mantles, NOUN 
etc, X 
refractory, ADJ 
species, NOUN 
interstellar, ADJ 

, SPACE 
grains, NOUN 
diffuse, NOUN 
medium, ADJ 
interplanetary, ADJ 
dust, NOUN 
particles, NOUN 

, SPACE 
etc, X 
supposed, VERB 
present, ADJ 
space, NOUN 
materials, NOUN 

, SPACE 
produced, VERB 
laboratory, NOUN 
simulate, VERB 
extent, NOUN 

, SPACE 
present, ADJ 
space, NOUN 

, SPACE 
IDPs, PROPN 
Interplanetary, PROPN 
Dust, PROPN 
Particles, PROPN 
collected, VERB 

, SPACE 
Earth, PROPN 
atmosphere, NOUN 
sizes, NOUN 
1, NUM 
50, NUM 
pm, NOUN 
provide, VERB 

, SPACE 
unique, ADJ 
opportunity, NOUN 
study, VERB 
extraterrestrial, ADJ 
material, NOUN 

, SPACE 
laboratory, NOUN 
IDPs, NOUN 
poorly, ADV 
graphitized, VERB 
carbona-, NOUN 

, SPACE 
ceous, ADJ 
compounds, NOUN 
arranged, VERB 
granular, ADJ 
fluffy, PROPN 
struc-, VERB 

, SPACE 
ture, NOUN 
single, ADJ 
grains, NOUN 
small, ADJ 
100, NUM 
lo, X 

, SPACE 
cases, NOUN 
amorphous, ADJ 
carbonaceous, ADJ 
material, NOUN 
surrounds, VERB 

, SPACE 
tub, ADJ 
micron, NOUN 
mineral, NOUN 
grains, NOUN 
covering, NOUN 
layer, NOUN 
300, NUM 

, SPACE 
thickness, NOUN 
1, NUM 
Rarnan, PROPN 
study, NOUN 
representative, NOUN 
set, NOUN 

, SPACE 
20, NUM 
IDPs, NOUN 
121, NUM 
shown, VERB 
6, NUM 
different, ADJ 
groups, NOUN 

, SPACE 
spectra, NOUN 
identified, VERB 
AlI, PROPN 
particles, NOUN 
be-, ADP 

, SPACE 
longing, NOUN 
group, NOUN 
Raman, PROPN 
feature, NOUN 
charac-, ADJ 

, SPACE 
teristic, NOUN 
amorphous, ADJ 
carbon, NOUN 
different, ADJ 
degree, NOUN 

, SPACE 
order, NOUN 
IDPs, NOUN 
exposed, VERB 
fast, ADJ 
solar, ADJ 
proton, NOUN 
100, NUM 

, SPACE 
keV, PROPN 
solar, ADJ 
wind, NOUN 
particles, NOUN 
1, NUM 
keV, PROPN 
amu, PROPN 
bombardment, NOUN 

, SPACE 
collection, NOUN 
Earth, PROPN 
atmosphere, NOUN 
interesting, ADJ 

, SPACE 
compare, VERB 
Raman, PROPN 
spectra, NOUN 
IDPs, NOUN 

, SPACE 
ion, NOUN 
irradiated, VERB 
fluffy, ADJ 
aggregate, NOUN 
sub, NOUN 
micron, NOUN 
amorphous, ADJ 

, SPACE 
carbon, NOUN 
grains, NOUN 

, SPACE 
paper, NOUN 
present, VERB 
new, ADJ 
experimental, ADJ 
results, NOUN 
ob-, PRON 

, SPACE 
tained, VERB 
situ, PROPN 
Raman, PROPN 
spectroscopy, NOUN 
carried, VERB 

, SPACE 
0168, NUM 
583X/96/$15.00, PROPN 
Copyright, NOUN 
0, NUM 
1996, NUM 
Elsevier, PROPN 
Science, PROPN 
B.V., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
PII, PROPN 
SOl68, PROPN 
583X(96)00124, NUM 
3, NUM 

, SPACE 
1, NUM 
GA, NOUN 
Baratta, PROPN 
et, PROPN 
al./Nucl, PROPN 
Ins@., PROPN 
andMeth, PROPN 
Phys, PROPN 
Res, PROPN 
B, PROPN 
116, NUM 
1996, NUM 
195, NUM 
199, NUM 

, SPACE 
amorphous, ADJ 
carbon, NOUN 
grains, NOUN 
irradiated, VERB 
3, NUM 
lceV, NOUN 
He+, NOUN 
ions, NOUN 

, SPACE 
astrophysical, ADJ 
implications, NOUN 
discussed, VERB 

, SPACE 
2, X 
Characterisation, NOUN 
AC, PROPN 
samples, VERB 

, SPACE 
amorphous, ADJ 
carbon, NOUN 
AC, PROPN 
studied, VERB 
work, NOUN 

, SPACE 
produced, VERB 
arc, PROPN 
discharge, NOUN 
amorphous, ADJ 

, SPACE 
carbon, NOUN 
electrodes, NOUN 
inert, ADJ 
Ar, PROPN 
atmosphere, NOUN 
dust, NOUN 

, SPACE 
deposit, NOUN 
collected, VERB 
LiF, NOUN 
substrate, NOUN 
AC, PROPN 

, SPACE 
samples, NOUN 
fully, ADV 
characterised, VERB 
131, NUM 
TEM, PROPN 
studies, NOUN 

, SPACE 
carried, VERB 
AC, PROPN 
samples, NOUN 
13, NUM 
references, NOUN 

, SPACE 
showed, VERB 
ctnstituted, VERB 
spheroidal, NOUN 
grains, NOUN 

, SPACE 
average, ADJ 
radii, NOUN 
50, NUM 
arranged, VERB 
fluffy, ADJ 
structure, NOUN 

, SPACE 
Infrared, PROPN 
spectroscopy, NOUN 
AC, PROPN 
samples, NOUN 
shows, VERB 

, SPACE 
aliphatic, ADJ 
sp, NOUN 
C, PROPN 
H, NOUN 
stretching, NOUN 
structure, NOUN 
3.4, NUM 
pm, NOUN 

, SPACE 
region, NOUN 
-CH, NOUN 
-CH,-, PROPN 
symmetric, NOUN 
asymmet-, NOUN 

, SPACE 
ric, PROPN 
stretches, NOUN 
present, ADJ 
Fig, PROPN 
5, NUM 
Ref, PROPN 
13, NUM 

, SPACE 
average, ADJ 
areal, ADJ 
peak, NOUN 
cross, NOUN 
sections, NOUN 
-CH, PROPN 

, SPACE 
-CH,-, PROPN 
groups, NOUN 
141, NUM 
possible, ADJ 
estimate, VERB 
fraction, NOUN 

, SPACE 
hydrogen, NOUN 
atoms, NOUN 
bound, VERB 
sp3, ADV 
hybridized, VERB 
carbon, NOUN 
atoms, NOUN 

, SPACE 
resulting, VERB 
ratio, NOUN 
respect, NOUN 
total, ADJ 

, SPACE 
carbon, NOUN 
atoms, NOUN 
contained, VERB 
AC, PROPN 
sample, NOUN 
H, PROPN 
C, PROPN 
=, NOUN 
4, NUM 

, SPACE 
ratio, NOUN 
number, NOUN 
-CH, PROPN 
-CH,-, PROPN 

, SPACE 
groups, NOUN 
N(-CH,)/N(-CH,-, NUM 
=, VERB 
2.3, NUM 
C, PROPN 
H, NOUN 
aromatic, NOUN 

, SPACE 
stretching, NOUN 
present, ADJ 
noise, NOUN 
3.3, NUM 
pm, NOUN 

, SPACE 
region, NOUN 
points, VERB 
hydrogen, NOUN 
atoms, NOUN 

, SPACE 
bound, VERB 
sp3, ADJ 
carbon, NOUN 
atoms, NOUN 
H, NOUN 
atoms, NOUN 

, SPACE 
bound, VERB 
sp, VERB 
aromatic, ADJ 
C, NOUN 
atoms, NOUN 
1, NUM 
l-14, ADJ 

, SPACE 
pm, NOUN 
region, NOUN 
C, PROPN 
H, NOUN 
aromatic, NOUN 
plane, NOUN 
bending, VERB 
1, NUM 

, SPACE 
2, NUM 
3, NUM 
adjacent, ADJ 
H, NOUN 
observed, VERB 
Fig, PROPN 
5, NUM 
Ref, PROPN 
131, NUM 

, SPACE 
evident, ADJ 
presence, NOUN 
weak, ADJ 
C, NOUN 
O, NOUN 
stretching, NOUN 

, SPACE 
feature, NOUN 
oxygen, NOUN 
contamination, NOUN 
corresponding, VERB 

, SPACE 
estimated, VERB 
O, PROPN 
C, NOUN 
atomic, ADJ 
ratio, NOUN 
=, NOUN 
0.5, NUM 

, SPACE 
3, X 
Experimental, ADJ 
apparatus, NOUN 

, SPACE 
Optical, ADJ 
microscopy, NOUN 
performed, VERB 
AC, PROPN 
samples, NOUN 

, SPACE 
showed, VERB 
uniform, ADJ 
micron, NOUN 
scale, NOUN 

, SPACE 
Raman, PROPN 
laser, NOUN 
spot, NOUN 
size, NOUN 
20, NUM 
pm, NOUN 

, SPACE 
apparatus, NOUN 
obtain, VERB 
situ, PROPN 
Raman, PROPN 
spectra, PROPN 
sure, ADJ 

, SPACE 
analyse, VERB 
portion, NOUN 
sample, NOUN 

, SPACE 
ion, NOUN 
bombardment, NOUN 

, SPACE 
experimental, ADJ 
apparatus, NOUN 
perform, VERB 
situ, PROPN 

, SPACE 
Raman, PROPN 
spectroscopy, NOUN 
described, VERB 
detail, NOUN 
else-, PROPN 

, SPACE 
15, NUM 
consists, VERB 
vacuum, NOUN 
chamber, NOUN 
P, NOUN 
=, SYM 
10e7, NUM 

, SPACE 
mbar, NOUN 
targets, NOUN 
mounted, VERB 
cold, ADJ 
finger, NOUN 

, SPACE 
lo-300, PROPN 
K, PROPN 
irradiated, VERB 
3, NUM 
keV, NOUN 
ions, NOUN 
514, NUM 
nm, NUM 

, SPACE 
argon, PROPN 
laser, NOUN 
beam, NOUN 
focalized, VERB 
glass, NOUN 
window, NOUN 

, SPACE 
sample, NOUN 
scattered, ADJ 
light, NOUN 
collected, VERB 
colli-, ADJ 

, SPACE 
mating, VERB 
lens, NOUN 
entrance, NOUN 
slit, NOUN 
monochromator, NOUN 

, SPACE 
90, NUM 
scattering, VERB 
geometry, NOUN 
directions, NOUN 

, SPACE 
laser, NOUN 
beam, NOUN 
ion, NOUN 
beam, NOUN 
collected, VERB 
Raman, PROPN 
scattered, VERB 

, SPACE 
light, NOUN 
mutualIy, PROPN 
perpendicular, NOUN 
sample, NOUN 
holder, NOUN 

, SPACE 
inclined, VERB 
30, NUM 
respect, NOUN 
incident, NOUN 
laser, NOUN 
light, NOUN 
vertical, ADJ 
axis, NOUN 
azimutally, ADV 
rota&l, PROPN 
45, NUM 
respect, NOUN 

, SPACE 
ion, NOUN 
beam, NOUN 
direction, NOUN 

, SPACE 
irradiation, NOUN 
spectm, ADV 
obtained, VERB 
tilting, VERB 

, SPACE 
sample, NOUN 

, SPACE 
Raman, PROPN 
spectrometer, NOUN 
SPEX, PROPN 
1877, NUM 
triple, ADJ 

, SPACE 
monochromator, NOUN 
detector, NOUN 
OMA, PROPN 
III, PROPN 
EG, PROPN 

, SPACE 
G, PROPN 
Princeton, PROPN 
Applied, PROPN 
Research, PROPN 
intensified, VERB 
reticon, NOUN 

, SPACE 
4, X 
Experimental, ADJ 
results, NOUN 

, SPACE 
sample, NOUN 
irradiated, VERB 
3, NUM 
keV, NOUN 
helium, NOUN 
ions, NOUN 

, SPACE 
different, ADJ 
doses, NOUN 
Raman, NOUN 
spectra, PROPN 
obtained, VERB 
situ, NOUN 

, SPACE 
different, ADJ 
doses, NOUN 
shown, VERB 
Fig, PROPN 
1, NUM 
evident, ADJ 

, SPACE 
shape, NOUN 
Raman, PROPN 
spectrum, NOUN 
varies, VERB 
dose, NOUN 

, SPACE 
order, NOUN 
analyse, VERB 
variation, NOUN 
quantitatively, ADV 
adopted, VERB 

, SPACE 
line, NOUN 
shape, NOUN 
fitting, ADJ 
procedure, NOUN 
G, NOUN 
D, ADJ 
lines, NOUN 

, SPACE 
section, NOUN 
line, NOUN 
profile, NOUN 
given, VERB 

, SPACE 
relation, NOUN 
161, NUM 

, SPACE 
1, NUM 

, SPACE 
dI, X 
proportional, ADJ 
detector, NOUN 
signal, NOUN 
o, PROPN 

, SPACE 
o0, NOUN 
undamped, VERB 
mode, NOUN 
frequency, NOUN 
w, PROPN 
frequency, ADJ 

, SPACE 
shift, NOUN 
laser, NOUN 
line, NOUN 
Raman, NOUN 
shift, NOUN 
r, NOUN 
damping, VERB 

, SPACE 
constant, ADJ 
C, NOUN 
constant, NOUN 
proportionality, NOUN 
Non, ADJ 
linear, ADJ 

, SPACE 
square, ADJ 
routines, NOUN 
fit, VERB 
experimental, ADJ 

, SPACE 
1000, NUM 
1200, NUM 
1400, NUM 
1600, NUM 
1800, NUM 

, SPACE 
Raman, PROPN 
shifts, NOUN 
cm-, X 

, SPACE 
Fig, PROPN 
1, NUM 
Raman, NOUN 
spectra, PROPN 
amorphous, ADJ 
carbon, NOUN 
grains, NOUN 
deposited, VERB 

, SPACE 
LiF, NOUN 
subs&ate, PUNCT 
irradiated, VERB 
different, ADJ 
doses, NOUN 
3, NUM 
keV, NOUN 
He+, NOUN 

, SPACE 
ions, NOUN 
contim, ADJ 
~, PUNCT 
ous, ADJ 
lines, NOUN 
theoretical, ADJ 
fits, NOUN 
data, NOUN 
given, VERB 

, SPACE 
sum, NOUN 
line, NOUN 
profiIe, PROPN 
dashed, VERB 
lines, NOUN 
representing, VERB 
G, PROPN 

, SPACE 
D, PROPN 
lines, NOUN 
text, NOUN 

, SPACE 
GA, PROPN 
Baratta, PROPN 
et, PROPN 
al./Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
Phys, PROPN 
Res, PROPN 
B, PROPN 
116, NUM 
1996, NUM 
195, NUM 
199, NUM 
197, NUM 

, SPACE 
1600, NUM 

, SPACE 
2, NUM 
1590, NUM 
G, PROPN 

, SPACE 
s, VERB 

, SPACE 
g, PROPN 
1500, NUM 

, SPACE 
2, NUM 

, SPACE 
2, NUM 
1570, NUM 

, SPACE 
3, NUM 
1560, NUM 

, SPACE 
o-4, NUM 
0, NUM 
20, NUM 
40, NUM 
60, NUM 
a0, PROPN 
400, NUM 
600, NUM 

, SPACE 
Dose, PROPN 
eV, PROPN 
C, NOUN 
atom, NOUN 

, SPACE 
Fig, PROPN 
2, NUM 
fitting, ADJ 
parameters, NOUN 
Raman, PROPN 
spectra, NOUN 
Fig, PROPN 
1, NUM 

, SPACE 
reported, VERB 
versus, ADP 
irradiation, NOUN 
dose, NOUN 
peak, NOUN 

, SPACE 
position, NOUN 
G, PROPN 
line, NOUN 
FWHM, NOUN 
D, PROPN 
G, PROPN 
lines, NOUN 
ratio, NOUN 

, SPACE 
peak, NOUN 
intensities, NOUN 
D, PROPN 
G, PROPN 
lines, NOUN 

, SPACE 
spectra, PROPN 
minimising, VERB 
x2, PROPN 
function, NOUN 
free, ADJ 

, SPACE 
parameters, NOUN 
C, PROPN 
w., PROPN 
r, NOUN 
lines, NOUN 

, SPACE 
resulting, VERB 
theoretical, ADJ 
curves, NOUN 
reported, VERB 

, SPACE 
experimental, ADJ 
spectra, NOUN 
Fig, PROPN 
1, NUM 
estimated, VERB 
values, NOUN 

, SPACE 
peak, ADJ 
frequency, NOUN 
G, PROPN 
line, NOUN 
PWHM, NOUN 
G, PROPN 

, SPACE 
D, ADJ 
lines, NOUN 
ratios, NOUN 
peak, NOUN 
intensities, NOUN 

, SPACE 
reported, VERB 
versus, ADP 
dose, NOUN 
Fig, PROPN 
2, NUM 
error, NOUN 
bars, NOUN 

, SPACE 
correspond, NOUN 
increase, NOUN 
x2, PROPN 
1, NUM 
standard, ADJ 

, SPACE 
deviation, NOUN 
errors, NOUN 
analysis, NOUN 
evidences, VERB 
1, X 
increas-, ADJ 

, SPACE 
ing, NOUN 
D, PROPN 
G, PROPN 
line, NOUN 
widths, NOUN 
2, X 
downward, ADJ 
shift, NOUN 

, SPACE 
G, PROPN 
line, NOUN 
peak, NOUN 
frequency, NOUN 
3, X 
decrease, NOUN 

, SPACE 
lowest, ADJ 
irradiation, NOUN 
dose, NOUN 
Z, PROPN 
intensity, NOUN 
ratio, NOUN 

, SPACE 
dose, NOUN 
explained, VERB 
section, NOUN 

, SPACE 
results, NOUN 
consistent, ADJ 
increasing, VERB 
disorder, NOUN 
induced, VERB 

, SPACE 
ion, NOUN 
irradiation, NOUN 

, SPACE 
5, X 
Discussion, PROPN 

, SPACE 
Carbonaceous, ADJ 
materials, NOUN 
widely, ADV 
vary, VERB 
chemical, NOUN 

, SPACE 
composition, NOUN 
structure, NOUN 
diamond, NOUN 
graphite, NOUN 
glassy, NOUN 
car-, PROPN 

, SPACE 
bon, PROPN 
hydrogenated, VERB 
amorphous, ADJ 
carbon, NOUN 
etc, X 
>, X 
Depending, VERB 

, SPACE 
order, NOUN 
degree, NOUN 
graphitic, NOUN 
sp, NOUN 
hybridization, NOUN 
materials, NOUN 

, SPACE 
fiit, ADJ 
order, NOUN 
Raman, PROPN 
bands, NOUN 
observed, VERB 
Accord-, VERB 
ing, ADJ 
momentum, NOUN 
conservation, NOUN 
selection, NOUN 
rule, NOUN 

, SPACE 
order, NOUN 
Raman, PROPN 
band, NOUN 
1582, NUM 
cm-, NOUN 
observed, VERB 

, SPACE 
HOPG, PROPN 
Highly, ADV 
Ordered, VERB 
Pyrolitic, PROPN 
Graphite, PROPN 
natural, ADJ 

, SPACE 
graphite, NOUN 
large, ADJ 
>, X 
1, NUM 
um, INTJ 
micro, NOUN 
crystals, NOUN 
17, NUM 

, SPACE 
band, NOUN 
known, VERB 
G, PROPN 
graphitic, NOUN 
line, NOUN 

, SPACE 
doubly, ADV 
degenerate, ADJ 
deformation, NOUN 
vibration, NOUN 
hexagonal, ADJ 

, SPACE 
ring, NOUN 
corresponding, VERB 
E, NOUN 
mode, NOUN 
graphite, NOUN 
D64, PROPN 

, SPACE 
crystal, NOUN 
symmetry, NOUN 
18, NUM 
spectra, PROPN 
microcrys-, INTJ 

, SPACE 
talline, NOUN 
graphite, NOUN 
disordered, VERB 
carbons, NOUN 
additional, ADJ 

, SPACE 
1360, NUM 
cm-, NOUN 
line, NOUN 
D, NOUN 
disordered, VERB 
line, NOUN 
attributed, VERB 

, SPACE 
phonons, NOUN 
near, ADP 
Brillouin, PROPN 
zone, NOUN 
boundary, NOUN 
active, ADJ 
small, ADJ 

, SPACE 
crystallites, NOUN 
boundaries, NOUN 
larger, ADJ 
crystallites, NOUN 

, SPACE 
found, VERB 
18, NUM 
intensity, NOUN 
ratio, NOUN 
fn, PROPN 
io, PROPN 
D, NOUN 

, SPACE 
G, PROPN 
lines, NOUN 
varies, VERB 
inverse, NOUN 
crystal, NOUN 
planar, NOUN 

, SPACE 
domain, NOUN 
size, NOUN 
L, NOUN 
In/, PROPN 
l, PROPN 
L, PROPN 
amorphous, ADJ 
carbons, NOUN 

, SPACE 
hydrogenated, VERB 
amorphous, ADJ 
carbons, NOUN 
G, NOUN 
D, NOUN 
bands, NOUN 

, SPACE 
present, ADJ 
bands, NOUN 
broader, ADJ 

, SPACE 
observed, VERB 
disordered, VERB 
graphite, NOUN 
broader, ADJ 
bands, NOUN 

, SPACE 
disordered, VERB 
amorphous, ADJ 
carbon, NOUN 
amorphous, ADJ 

, SPACE 
carbon, NOUN 
obtained, VERB 
sputtering, VERB 
deposition, NOUN 
bands, NOUN 

, SPACE 
distinguished, VERB 
G, PROPN 
line, NOUN 
usually, ADV 
shifted, VERB 

, SPACE 
lower, ADJ 
Raman, PROPN 
shifts, NOUN 
1560, NUM 
cm-, PROPN 
D, ADJ 
line, NOUN 

, SPACE 
shoulder, NOUN 
G, PROPN 
line, NOUN 

, SPACE 
particular, ADJ 
line, NOUN 
width, NOUN 
G, PROPN 
D, NOUN 
bands, NOUN 

, SPACE 
related, VERB 
bond, NOUN 
angle, NOUN 
disorder, NOUN 
relative, ADJ 

, SPACE 
crystallites, NOUN 
versus, ADP 
amorphous, ADJ 
matrix, NOUN 

, SPACE 
observed, VERB 
line, NOUN 
width, NOUN 
increase, NOUN 
points, VERB 
amorphous, ADJ 

, SPACE 
carbon, NOUN 
sample, NOUN 
disordered, VERB 

, SPACE 
ion, NOUN 
irradiation, NOUN 

, SPACE 
Computer, NOUN 
simulations, NOUN 
19, NUM 
Raman, PROPN 
spectra, PROPN 

, SPACE 
amorphous, ADJ 
carbons, NOUN 
modelled, VERB 
mixtures, NOUN 
threefold-, X 

, SPACE 
fourfold, ADJ 
coordinated, VERB 
atoms, NOUN 
coordina-, ADJ 

, SPACE 
tion, NOUN 
bond, NOUN 
angle, NOUN 
disorder, NOUN 
produce, VERB 
G, NOUN 
line, NOUN 
shift, NOUN 

, SPACE 
lower, ADJ 
frequencies, NOUN 
Following, VERB 
Ref, PROPN 
19, NUM 
G, PROPN 
line, NOUN 

, SPACE 
shifted, VERB 
1528, NUM 
cm-, NOUN 
bond, NOUN 
angle, NOUN 
changed, VERB 

, SPACE 
ideal, ADJ 
120, NUM 
disordered, ADJ 
average, NOUN 
117.7, NUM 

, SPACE 
mechanism, NOUN 
capable, ADJ 
producing, VERB 

, SPACE 
effect, NOUN 
G, NOUN 
line, NOUN 
shift, NOUN 
observed, VERB 
experiment, NOUN 

, SPACE 
1592, NUM 
cm-, NOUN 
1554, NUM 
cm-, NOUN 
Fig, PROPN 
2, NUM 
agree-, NOUN 

, SPACE 
ment, NOUN 
enhanced, VERB 
bond, NOUN 
angle, NOUN 
disorder, NOUN 
induced, VERB 

, SPACE 
ion, NOUN 
irradiation, NOUN 
indicate, VERB 
fourfold, ADJ 
coordi-, NOUN 

, SPACE 
nated, VERB 
atoms, NOUN 
increase, NOUN 
number, NOUN 
respect, NOUN 
three-, ADJ 

, SPACE 
fold, ADJ 
coordinated, VERB 
atoms, NOUN 

, SPACE 
Annealing, VERB 
experiments, NOUN 
carried, VERB 
poor, ADJ 
ordered, VERB 

, SPACE 
amorphous, ADJ 
carbon, NOUN 
films, NOUN 
20,21, X 
I,/, NUM 
ratio, PROPN 

, SPACE 
vs., ADP 
annealing, VERB 
temperature, NOUN 
initially, ADV 
increases, VERB 
de-, X 

, SPACE 
velops, VERB 
maximum, NOUN 
temperature, NOUN 
800, NUM 

, SPACE 
9O@C, NUM 
