0LllTM.l, NUM 
yield, NOUN 
Scheme, NOUN 
1, NUM 
H, NOUN 
NMR, PROPN 
spec-, NOUN 
pound, NOUN 
coordinate, VERB 
ancillary, ADJ 
ligands, NOUN 

, SPACE 
trum, NOUN 
complex, NOUN 
indicated, VERB 
appropriate, ADJ 
ratio, NOUN 
THF, PROPN 
pyridine, NOUN 
crystals, NOUN 
1, NUM 
stable, ADJ 
air, NOUN 

, SPACE 
Bu, NOUN 
groups, NOUN 
formula, NOUN 
Bu, PROPN 
Ga(N(H)‘Bu, PROPN 
hours, NOUN 
features, NOUN 
likely, ADV 
pres-, NOUN 

, SPACE 
broad, ADJ 
singlet, NOUN 
2.12, NUM 
ppm, NOUN 
assigned, VERB 
ence, NOUN 
bulky, ADJ 
substituents, NOUN 

, SPACE 
amido, NOUN 
proton, NOUN 
evidence, NOUN 
order, NOUN 
confirm, VERB 
nuclearity, NOUN 
complex, ADJ 
1, NUM 

, SPACE 
vNH, NOUN 
IR, PROPN 
spectrum, NOUN 
complex, NOUN 
com-, NOUN 
single, ADJ 
crystal, NOUN 
X, PROPN 
ray, NOUN 
diffraction, NOUN 
study, NOUN 
performed, VERB 

, SPACE 
c3, NOUN 

, SPACE 
R’(H)NLi, ADJ 

, SPACE 
R2GaCl, NOUN 

, SPACE 
R, NOUN 
=, NOUN 
Bu, PROPN 
R, PROPN 
=, ADP 
Bu, PROPN 
2,6, PROPN 
Me&H3, NUM 
L, PROPN 
\\\“Bu, X 

, SPACE 
GawnBu, PROPN 

, SPACE 
Bu2Ga[N(H)(2,6, PROPN 
Me&H3)]zLi(EtzO, PROPN 

, SPACE 
Scheme, NOUN 
1, NUM 

, SPACE 
S., PROPN 
T., PROPN 
Barry, PROPN 
D.S., PROPN 
Richeson, PROPN 
/Journal, PROPN 
Organometallic, PROPN 
Chemistry, PROPN 
510, NUM 
1996, NUM 
103, NUM 
l, NOUN 
08, NUM 
105, NUM 

, SPACE 
Table, PROPN 
1, NUM 

, SPACE 
Selected, VERB 
atomic, ADJ 
bond, NOUN 
distances, NOUN 
>, X 
compounds, NOUN 
1, NUM 
4, NUM 

, SPACE 
Compound, PROPN 
1, NUM 

, SPACE 
Gal, PROPN 
-Nl, PUNCT 

, SPACE 
Gal, PROPN 
Nla, PROPN 

, SPACE 
Gal, PROPN 
Cl, PROPN 

, SPACE 
Gal, PROPN 
-CS, PROPN 

, SPACE 
Ga2, PROPN 
N2, PROPN 

, SPACE 
Ga2, PROPN 
N2b, PROPN 

, SPACE 
Ga2, PROPN 
Cl3, NOUN 

, SPACE 
Ga2, PROPN 
Cl7, PRON 

, SPACE 
Nl, PROPN 
C9, PROPN 

, SPACE 
N2, PROPN 
C2l, PROPN 

, SPACE 
Cl, PROPN 
C2, PROPN 

, SPACE 
Cl, PROPN 
C3, PROPN 

, SPACE 
Cl, PROPN 
C4, PROPN 

, SPACE 
C5, PROPN 
C6, PROPN 

, SPACE 
c5, PROPN 
c7, PROPN 

, SPACE 
C5, PROPN 
C8, PROPN 

, SPACE 
c9, NOUN 
Cl0, NOUN 

, SPACE 
c9, NOUN 
Cl1, NOUN 

, SPACE 
C9, NOUN 
Cl2, NOUN 
2.068(3, PROPN 

, SPACE 
2.06Of3, NUM 

, SPACE 
2.065(3, PROPN 

, SPACE 
2.055(3, PROPN 

, SPACE 
2.062(3, NUM 

, SPACE 
2.06%3, PROPN 

, SPACE 
2.052(3, NUM 

, SPACE 
2.0543, NUM 

, SPACE 
1.511(4, PROPN 

, SPACE 
1.503(4, PROPN 

, SPACE 
1.522(6, PROPN 

, SPACE 
1.548(6, NUM 

, SPACE 
1.539(5, X 

, SPACE 
1.537(5, PROPN 

, SPACE 
1.530(5, PROPN 

, SPACE 
1.531(5, PROPN 

, SPACE 
1.528(5, NUM 

, SPACE 
1.532(5, PROPN 

, SPACE 
1.522(5, PROPN 
Compound, PROPN 
4, NUM 

, SPACE 
Gal, PROPN 
N1, PROPN 

, SPACE 
Ga2, PROPN 
N2, PROPN 

, SPACE 
Gal, PROPN 
Cl7, NOUN 

, SPACE 
Gal, PROPN 
C21, PROPN 

, SPACE 
Gal, PROPN 
Lil, PROPN 

, SPACE 
Ol, PROPN 
Lil, PROPN 

, SPACE 
Nl, PROPN 
Cl, PROPN 

, SPACE 
Nl, PROPN 
Lil, PROPN 

, SPACE 
N2, PROPN 
C9, PROPN 

, SPACE 
N2, PROPN 
Li, PROPN 
1, NUM 

, SPACE 
Cl, PROPN 
C2, PROPN 

, SPACE 
Cl, PROPN 
C6, PROPN 

, SPACE 
C2, PROPN 
C3, PROPN 

, SPACE 
C2, PROPN 
C7, PROPN 

, SPACE 
c3, NOUN 
c4, NOUN 

, SPACE 
c4c5, NOUN 

, SPACE 
C5, PROPN 
C6, PROPN 

, SPACE 
C6, PROPN 
C8, PROPN 

, SPACE 
C17, PROPN 
Cl8, NOUN 
2.01, NUM 
l(8, NOUN 

, SPACE 
2.006(7, NUM 

, SPACE 
2.002(9, NUM 

, SPACE 
1.985(l, PROPN 

, SPACE 
2.782(2, NUM 

, SPACE 
1.977(2, NUM 

, SPACE 
1.425(l, PROPN 

, SPACE 
2.027(2, NUM 

, SPACE 
1.388(l, PROPN 

, SPACE 
2.06(2, NOUN 

, SPACE 
1.4140, NUM 

, SPACE 
1.410(l, PROPN 

, SPACE 
1.3841, NUM 

, SPACE 
1.506(l, PROPN 

, SPACE 
1.390(l, PROPN 

, SPACE 
1.391(l, PROPN 

, SPACE 
1.402(l, PROPN 

, SPACE 
1.519(l, NOUN 

, SPACE 
1.529(l, PROPN 

, SPACE 
confirmed, VERB 
dimeric, ADJ 
nature, NOUN 
primary, ADJ 

, SPACE 
amido, NOUN 
bridged, VERB 
complex, NOUN 
Bu, PROPN 
Ga, PROPN 
E.L, PROPN 
N(H, PROPN 
Bu, PROPN 
Fig, PROPN 

, SPACE 
1, NUM 
complex, NOUN 
crystallizes, VERB 
triclinic, ADJ 
space, NOUN 
group, NOUN 

, SPACE 
P, PROPN 
l, NOUN 
molecules, NOUN 
asymmetric, ADJ 
unit, NOUN 

, SPACE 
anomolously, ADV 
short, ADJ 
intermolecular, ADJ 
contacts, NOUN 
Selected, VERB 

, SPACE 
bond, NOUN 
distances, NOUN 
angles, NOUN 
molecules, NOUN 

, SPACE 
presented, VERB 
Tables, PROPN 
1, NUM 
2, NUM 
respectively, ADV 
structural, ADJ 

, SPACE 
analysis, NOUN 
revealed, VERB 
planar, ADJ 
Ga, PROPN 
N, PROPN 
core, NOUN 

, SPACE 
molecules, NOUN 
residing, VERB 
inversion, NOUN 
center, NOUN 
angles, NOUN 

, SPACE 
core, NOUN 
strained, ADJ 
example, NOUN 

, SPACE 
angle, NOUN 
Nl, PROPN 
Gal, PROPN 
NlA, PROPN 
81.7, NUM 
Gal, PROPN 
Nl-, PROPN 

, SPACE 
GalA, PROPN 
98.3, NUM 
sum, NOUN 
internal, ADJ 
angles, NOUN 

, SPACE 
molecules, NOUN 
360, NUM 
bridging, VERB 
N, PROPN 
Ga, PROPN 

, SPACE 
centers, NOUN 
distorted, ADJ 
tetrahedral, ADJ 
environments, NOUN 

, SPACE 
range, NOUN 
bond, NOUN 
angles, NOUN 
structural, ADJ 
paraOmeters, NOUN 
includ-, VERB 

, SPACE 
ing, PROPN 
Ga, PROPN 
C, PROPN 
range, NOUN 
=, PROPN 
2.052(3t-2.065(3, PROPN 
Ga, PROPN 
N, PROPN 

, SPACE 
range, NOUN 
=, ADJ 
2.060(3)-2.069(3, NOUN 
distances, NOUN 
accord, NOUN 

, SPACE 
Cl8, NOUN 
Table, NOUN 
2, NUM 

, SPACE 
Selected, VERB 
atomic, ADJ 
bond, NOUN 
angles, NOUN 
deg, PROPN 
compounds, NOUN 
1, NUM 
4, NUM 

, SPACE 
Compound, PROPN 
1, NUM 
Compound, PROPN 
4, NUM 

, SPACE 
Nl, PROPN 
Gal, PROPN 
Nla, PROPN 

, SPACE 
Nl, PROPN 
Gal, PROPN 
Cl, PROPN 

, SPACE 
Nl, PROPN 
Gal, PROPN 
C5, PROPN 

, SPACE 
Nla, PROPN 
Gal, PROPN 
Cl, PROPN 

, SPACE 
Nla, PROPN 
Gal, PROPN 
C5, PROPN 

, SPACE 
Cl, PROPN 
Gal, PROPN 
C5, PROPN 

, SPACE 
Gal, PROPN 
Nl, PROPN 
Gala, PROPN 

, SPACE 
Gal, PROPN 
Nl, PROPN 
C9, PROPN 

, SPACE 
Gala, PROPN 
Nl, PROPN 
C9, PROPN 

, SPACE 
Gal, PROPN 
Cl, PROPN 
C2, PROPN 

, SPACE 
Gal, PROPN 
Cl, PROPN 
C3, PROPN 

, SPACE 
Gal, PROPN 
Cl, PROPN 
C4, PROPN 

, SPACE 
Gal, PROPN 
C5, PROPN 
C6, PROPN 

, SPACE 
Gal, PROPN 
C5, PROPN 
C7, PROPN 

, SPACE 
Gal, PROPN 
C5, PROPN 
C8, PROPN 

, SPACE 
N2, PROPN 
Ga2, PROPN 
N2b, PROPN 

, SPACE 
N2, PROPN 
Ga2, NOUN 
Cl3, NOUN 

, SPACE 
N2, PROPN 
Ga2, NOUN 
Cl7, NOUN 

, SPACE 
N2b, PROPN 
Ga2, NOUN 
Cl3, NOUN 

, SPACE 
N2b, PROPN 
Ga2, NOUN 
Cl7, NOUN 

, SPACE 
C13, PROPN 
Ga2, NOUN 
Cl7, NOUN 

, SPACE 
Ga2, PROPN 
N2Ga2b, PROPN 

, SPACE 
Ga2, PROPN 
N2, PROPN 
C21, PROPN 

, SPACE 
Ga2b, PROPN 
N2, PROPN 
C21, PROPN 

, SPACE 
Ga2, PROPN 
Cl7, NOUN 
Cl8, NOUN 

, SPACE 
Ga2, PROPN 
C17, PROPN 
Cl9, PROPN 

, SPACE 
Ga2, PROPN 
C17, PROPN 
C20, PROPN 
81.7(l, PROPN 

, SPACE 
120.1(l, PROPN 

, SPACE 
108.2(l, PROPN 

, SPACE 
108.7(l, PROPN 

, SPACE 
120.2(l, PROPN 

, SPACE 
114.5(l, PROPN 

, SPACE 
98.3(l, X 

, SPACE 
125.9(2, PROPN 

, SPACE 
124.9(2, NUM 

, SPACE 
112.9(2, PROPN 

, SPACE 
1071X2, PROPN 

, SPACE 
113.8(3, PROPN 

, SPACE 
114.2(2, PROPN 

, SPACE 
107.1(2, PROPN 

, SPACE 
113, NUM 
l(2, PROPN 

, SPACE 
82.3(l, NOUN 

, SPACE 
120.7, NUM 
1, NUM 

, SPACE 
107.5(l, PROPN 

, SPACE 
108.8(l, PROPN 

, SPACE 
120.2(l, PROPN 

, SPACE 
114.1(l, PROPN 

, SPACE 
97.7(l, PROPN 

, SPACE 
126.2(2, NUM 

, SPACE 
124.2(2, PROPN 

, SPACE 
113.3(2, PROPN 

, SPACE 
115.3(2, PROPN 

, SPACE 
107.0(2, NUM 
Nl, PROPN 
Gal, PROPN 
N2, PROPN 

, SPACE 
Nl, PROPN 
Gal, PROPN 
Cl7, NOUN 

, SPACE 
Nl, PROPN 
Gal, PROPN 
C21, PROPN 

, SPACE 
N2, PROPN 
Gal, PROPN 
Cl7, NOUN 

, SPACE 
N2, PROPN 
Gal, PROPN 
C21, PROPN 

, SPACE 
C17, PROPN 
Ga, PROPN 
C21, PROPN 

, SPACE 
Gal, PROPN 
Nl, PROPN 
Cl, PROPN 

, SPACE 
Gal, PROPN 
Nl, PROPN 
Lil, PROPN 

, SPACE 
Gal, PROPN 
-N2, PROPN 
C9, PROPN 

, SPACE 
Gal, PROPN 
N2, PROPN 
Lil, PROPN 

, SPACE 
Gal, PROPN 
Lil, NOUN 
Nl, PROPN 

, SPACE 
Gal, PROPN 
Lil, PROPN 
N2, PROPN 

, SPACE 
Gal, PROPN 
Lil-01, PROPN 

, SPACE 
Gal, PROPN 
C17, PROPN 
Cl8, PROPN 

, SPACE 
Ol, PROPN 
Lil, PROPN 
Nl, PROPN 

, SPACE 
01, NUM 
Lil, PROPN 
N2, PROPN 
94.43, NUM 

, SPACE 
111.2(4, PROPN 

, SPACE 
109.9(4, PROPN 

, SPACE 
106.3(3, PROPN 

, SPACE 
112.0(5, PROPN 

, SPACE 
120.0(5, PROPN 

, SPACE 
115.9(5, PROPN 

, SPACE 
87.1(7, PROPN 

, SPACE 
120.1(6, NUM 

, SPACE 
86.2(6, PROPN 

, SPACE 
46.2(4, PROPN 

, SPACE 
46.0(4, PROPN 

, SPACE 
178.0(l, PROPN 

, SPACE 
114.2(6, PROPN 

, SPACE 
135.4(l, PROPN 

, SPACE 
132.4(l, NUM 

, SPACE 
observed, VERB 
similar, ADJ 
compounds, NOUN 
litera-, ADJ 

, SPACE 
ture, NOUN 
9-, NOUN 
111, NUM 

, SPACE 
similar, ADJ 
reaction, NOUN 
Bu, PROPN 
GaCl, PROPN 
13, NUM 
LiN(H)‘Bu, PROPN 

, SPACE 
gave, VERB 
oily, ADJ 
non, ADJ 
crystalline, ADJ 
solid, ADJ 
material, NOUN 

, SPACE 
crystallized, VERB 
colorless, ADJ 
crystals, NOUN 
approximately, ADV 

, SPACE 
40, NUM 
overall, ADJ 
yield, NOUN 
addition, NOUN 
coordinating, VERB 

, SPACE 
species, NOUN 
THF, PROPN 
yield, VERB 
monomeric, ADJ 
primary, ADJ 

, SPACE 
amido, NOUN 
dialkyl, NOUN 
species, NOUN 
Bu, PROPN 
Ga(N(H)‘Bu)(THF, PROPN 
2, X 

, SPACE 
Scheme, NOUN 
1, NUM 
Spectral, ADJ 
features, NOUN 
including, VERB 
H, NOUN 
13C, NUM 

, SPACE 
NMR, PROPN 
spectra, NOUN 
elemental, ADJ 
analysis, NOUN 
confirmed, VERB 

, SPACE 
Fig, PROPN 
1, NUM 
Molecular, ADJ 
structure, NOUN 
atom, NOUN 
numbering, NOUN 
scheme, NOUN 
Ga(‘Bu)zNH’Bu)]z, INTJ 
1, NUM 
showing, VERB 
molecules, NOUN 
assymetric, ADJ 
unit, NOUN 
Hydrogen, NOUN 

, SPACE 
atoms, NOUN 
omitted, VERB 
clarity, NOUN 

, SPACE 
106, NUM 
S.T., PROPN 
Barry, PROPN 
D.S., PROPN 
Richeson, PROPN 
Journal, PROPN 
Organometallic, PROPN 
Chemistry, PROPN 
510, NUM 
1996, NUM 
103, NUM 
108, NUM 

, SPACE 
formulation, NOUN 
2, NUM 
Complex, ADJ 
2, NUM 
sublimed, VERB 
oil, NOUN 

, SPACE 
pump, NOUN 
vacuum, NOUN 
90, NUM 
C., PROPN 

, SPACE 
Similarly, ADV 
attempts, VERB 
Lewis, PROPN 
base, NOUN 
free, ADJ 
com-, NOUN 

, SPACE 
plex, NOUN 
reaction, NOUN 
Bu, PROPN 
GaCl, PROPN 
Li[N(H)(2,6-, NOUN 

, SPACE 
C, PROPN 
H, PROPN 
unsuccessful, ADJ 
yielding, VERB 
oily, ADV 
in-, ADP 

, SPACE 
tractable, ADJ 
materials, NOUN 
Addition, NOUN 
pyridine, NOUN 
facili-, ADJ 

, SPACE 
tate, NOUN 
crystallization, NOUN 
material, NOUN 
allow, VERB 

, SPACE 
isolation, NOUN 
oil, NOUN 
confirmed, VERB 
spectroscopic, NOUN 

, SPACE 
characterization, NOUN 
microanalysis, VERB 
Bu, PROPN 
Ga, PROPN 

, SPACE 
NH(2,6, PROPN 
C, PROPN 
H, PROPN 
Me,)]py, PROPN 
3, X 
Scheme, NOUN 
1, NUM 
Preliminary, ADJ 
at-, X 

, SPACE 
tempts, NOUN 
prepare, VERB 
Bu2Ga[NH(2,6, PROPN 
C, PROPN 
H, PROPN 

, SPACE 
unsuccessful, ADJ 
addition, NOUN 
coordinat-, PROPN 

, SPACE 
ing, ADJ 
ligands, NOUN 
THF, PROPN 
pyridine, NOUN 

, SPACE 
use, NOUN 
excess, ADJ 
anionic, ADJ 
ligands, NOUN 
allowed, VERB 

, SPACE 
isolation, NOUN 
crystallization, NOUN 
alkyl, PROPN 
amido, NOUN 
complexes, NOUN 

, SPACE 
oily, ADJ 
materials, NOUN 
produced, VERB 
1, NUM 
1, NUM 
reaction, NOUN 

, SPACE 
Bu, PROPN 
GaCl, PROPN 
lithium, NOUN 
amide, NOUN 
example, NOUN 

, SPACE 
interaction, NOUN 
Bu, PROPN 
Ga[NH(2,6, PROPN 
C, PROPN 
H, PROPN 

, SPACE 
additional, ADJ 
equivalent, NOUN 
LiN(H)(2,6, PROPN 
C, PROPN 
H, PROPN 
s, PART 
>, X 
pro-, PROPN 

, SPACE 
duced, VERB 
Bu, PROPN 
Ga[NH(2,6, PROPN 
C, PROPN 
H,)1,[Li(Et, PROPN 
O, PROPN 
4, X 

, SPACE 
Scheme, NOUN 
1, NUM 
Structural, ADJ 
characterization, NOUN 
single, ADJ 
crystal, NOUN 

, SPACE 
X, PROPN 
ray, NOUN 
diffraction, NOUN 
confirmed, VERB 
molecular, ADJ 
connectivity, NOUN 

, SPACE 
complex, NOUN 
15, NUM 
Complex, ADJ 
4, NUM 
crystallized, VERB 

, SPACE 
monoclinic, ADJ 
space, NOUN 
group, NOUN 
P21, PROPN 
n, CCONJ 
2, NUM 
=, SYM 
4, NUM 
shown, VERB 

, SPACE 
Fig, PROPN 
2, NUM 
structure, NOUN 
consists, VERB 
gallium, NOUN 
center, NOUN 

, SPACE 
pseudotetrahedral, ADJ 
coordination, NOUN 
sphere, NOUN 
composed, VERB 
amido, NOUN 
ligands, NOUN 
