~llk, NOUN 
measured, VERB 
simultaneously, ADV 

, SPACE 
infrared, VERB 
IR, PROPN 
thermal, ADJ 
imager, ADJ 
wide, ADJ 
band, NOUN 
TLC, PROPN 
effective, ADJ 
temperature, NOUN 
range, NOUN 

, SPACE 
48, NUM 
58, NUM 
°, NUM 
C, NOUN 
uncertainty, NOUN 
measurements, NOUN 
0.5, NUM 
°, NUM 
C, NOUN 

, SPACE 
concluded, VERB 
significant, ADJ 
rotational, ADJ 
shift, NOUN 
accelerations, NOUN 
16,000, NUM 
g., NOUN 

, SPACE 
Keywords, PROPN 
thermochromic, ADJ 
liquid, NOUN 
crystal, NOUN 
temperature, NOUN 
measurement, NOUN 
rotation, NOUN 

, SPACE 
1, X 
Introduction, NOUN 

, SPACE 
use, NOUN 
encapsulated, VERB 
thermochromic, NOUN 
liquid, NOUN 
crystal, NOUN 
TLC, PROPN 

, SPACE 
heat, NOUN 
transfer, NOUN 
experiments, NOUN 
established, VERB 
practice, NOUN 

, SPACE 
spraying, VERB 
thin, ADJ 
film, NOUN 
microcapsules, NOUN 
TLC, PROPN 
solid, ADJ 

, SPACE 
material, NOUN 
surface, NOUN 
temperature, NOUN 
measured, VERB 
accurately, ADV 

, SPACE 
Unlike, ADP 
thermocouples, NOUN 
intrusive, ADJ 
devices, NOUN 
TLC, PROPN 
creates, VERB 

, SPACE 
local, ADJ 
thermal, ADJ 
disturbance, NOUN 
errors, NOUN 
enables, VERB 
temperature, NOUN 

, SPACE 
entire, ADJ 
surface, NOUN 
measured, VERB 
Unlike, ADP 
infrared, VERB 
IR, PROPN 
detectors, NOUN 

, SPACE 
special, ADJ 
windows, NOUN 
germanium, NOUN 
required, VERB 
study-, NOUN 

, SPACE 
ing, VERB 
heat, NOUN 
transfer, NOUN 
internal, ADJ 
flows, NOUN 
windows, NOUN 
glass, NOUN 

, SPACE 
acrylic, NOUN 
polycarbonate, NOUN 
provide, VERB 
adequate, ADJ 
optical, ADJ 
access, NOUN 

, SPACE 
research, NOUN 
workers, NOUN 
use, VERB 
narrow, ADJ 
band, NOUN 
TLC, NOUN 
changes, VERB 

, SPACE 
colour, NOUN 
red, ADJ 
blue, ADJ 
small, ADJ 
change, NOUN 
temperature, NOUN 

, SPACE 
typically, ADV 
°, NOUN 
C, NOUN 
single, ADJ 
colour, NOUN 
yellow, ADJ 
range, NOUN 

, SPACE 
surface, NOUN 
temperature, NOUN 
measured, VERB 
uncertainty, NOUN 

, SPACE 
+0.1, PROPN 
°, NOUN 
C, NOUN 
Narrow, ADJ 
band, NOUN 
TLC, PROPN 
successfully, ADV 

, SPACE 
example, NOUN 
Jones, PROPN 
Hippensteele, PROPN 
1988, NUM 
Camci, PROPN 
et, PROPN 
al, PROPN 

, SPACE 
1992, NUM 
Wang, PROPN 
et, PROPN 
al, PROPN 
1995, NUM 
determine, VERB 
heat, NOUN 
transfer, NOUN 
coeffi-, NOUN 

, SPACE 
cients, NOUN 
acrylic, ADJ 
model, NOUN 
suddenly, ADV 
exposed, VERB 
step, NOUN 
change, NOUN 

, SPACE 
air, NOUN 
temperature, NOUN 
initial, ADJ 
temperature, NOUN 
model, NOUN 
time, NOUN 

, SPACE 
t, NOUN 
=, SYM 
0, PROPN 
known, VERB 
temperature, NOUN 
later, ADJ 
time, NOUN 

, SPACE 
determined, ADJ 
TLC, PROPN 
called, VERB 
dimensional, ADJ 

, SPACE 
l, NOUN 
D, PROPN 
semi, ADJ 
infinite, ADJ 
slab, NOUN 
solution, NOUN 
determine, VERB 

, SPACE 
heat, NOUN 
transfer, NOUN 
coefficient, NOUN 

, SPACE 
Metzger, PROPN 
et, PROPN 
al, PROPN 
1991, NUM 
shown, VERB 
TLC, PROPN 
technique, NOUN 

, SPACE 
applied, VERB 
rotating, VERB 
disc, NOUN 
experiments, NOUN 
initially, ADV 

, SPACE 
cold, ADJ 
acrylic, PROPN 
disc, NOUN 
coated, VERB 
TLC, PROPN 
suddenly, ADV 
exposed, VERB 

, SPACE 
impinging, VERB 
jet, NOUN 
hot, ADJ 
air, NOUN 
technique, NOUN 
authors, NOUN 

, SPACE 
Address, PROPN 
reprint, NOUN 
requests, NOUN 
Prof., PROPN 
J., PROPN 
M., PROPN 
Owen, PROPN 
School, PROPN 
Mechan-, PROPN 

, SPACE 
ical, ADJ 
Engineering, PROPN 
University, PROPN 
Bath, PROPN 
Bath, PROPN 
BA27AY, PROPN 
UK, PROPN 

, SPACE 
Received, VERB 
7, NUM 
November, PROPN 
1995, NUM 
accepted, VERB 
10, NUM 
April, PROPN 
1996, NUM 

, SPACE 
Int, PROPN 
J., PROPN 
Heat, PROPN 
Fluid, PROPN 
Flow, PROPN 
17:491, NUM 
499, NUM 
1996, NUM 

, SPACE 
©, NOUN 
1996, NUM 
Elsevier, ADJ 
Science, PROPN 
Inc., PROPN 

, SPACE 
655, NUM 
Avenue, PROPN 
Americas, PROPN 
New, PROPN 
York, PROPN 
NY, PROPN 
10010, NUM 
able, ADJ 
determine, VERB 
axisymmetric, ADJ 
heat, NOUN 
transfer, NOUN 
coefficients, NOUN 

, SPACE 
rotating, VERB 
disc, NOUN 
albeit, SCONJ 
relatively, ADV 
low, ADJ 
rotational, ADJ 
speeds, NOUN 

, SPACE 
rotational, ADJ 
speeds, NOUN 
representative, NOUN 
found, VERB 
gas, NOUN 
turbines, NOUN 

, SPACE 
centripetal, ADJ 
accelerations, NOUN 
order, NOUN 

, SPACE 
104, NUM 
g, NOUN 
g, PROPN 
gravitational, ADJ 
acceleration, NOUN 

, SPACE 
suspicion, NOUN 
research, NOUN 
workers, NOUN 
characteristics, NOUN 

, SPACE 
TLC, PROPN 
change, NOUN 
exposed, VERB 
high, ADJ 
accelera-, VERB 

, SPACE 
tions, NOUN 

, SPACE 
Recently, ADV 
Camci, PROPN 
Glezer, PROPN 
1995, NUM 
working, VERB 
United, PROPN 

, SPACE 
States, PROPN 
found, VERB 
evidence, NOUN 
rotational, ADJ 
shift, NOUN 
temperatures, NOUN 

, SPACE 
obtained, VERB 
narrow, ADJ 
band, NOUN 
TLC, PROPN 
thermocouples, NOUN 
re-, ADJ 

, SPACE 
suits, NOUN 
measured, VERB 
rotating, VERB 
disc, NOUN 
diverged, VERB 
speed, NOUN 
in-, ADP 

, SPACE 
creased, ADJ 
10,000, NUM 
g, NOUN 
rotational, ADJ 
shift, NOUN 

, SPACE 
high, ADJ 
7, NUM 
°, NUM 
C, NOUN 
Subsequent, ADJ 
results, NOUN 
presented, VERB 
Camci, PROPN 
Glezer, PROPN 

, SPACE 
obtained, VERB 
infrared, ADJ 
detector, NOUN 
IR, PROPN 
TLC, PROPN 

, SPACE 
readings, NOUN 
good, ADJ 
agreement, NOUN 
diverged, VERB 

, SPACE 
thermocouple, ADJ 
measurements, NOUN 
rotational, ADJ 
shift, NOUN 
attributed, VERB 

, SPACE 
thermal, ADJ 
disturbance, NOUN 
error, NOUN 
associated, VERB 
thermocouple, NUM 

, SPACE 
work, NOUN 
clear, ADJ 
relationship, NOUN 
research, NOUN 

, SPACE 
presented, VERB 
published, VERB 

, SPACE 
Camci, PROPN 
Glezer, PROPN 
1995, NUM 
investigating, VERB 
rota-, ADJ 

, SPACE 
tional, ADJ 
shift, NOUN 
narrow, ADJ 
band, NOUN 
TLC, PROPN 
United, PROPN 
States, PROPN 
indepen-, NOUN 

, SPACE 
dent, ADJ 
research, NOUN 
wide, ADJ 
band, NOUN 
TLC, PROPN 
carried, VERB 

, SPACE 
University, PROPN 
Bath, PROPN 
UK, PROPN 
Thermocouples, PROPN 
TLC, PROPN 

, SPACE 
infrared, ADJ 
thermal, ADJ 
imager, ADJ 
measure, VERB 
surface, NOUN 
tem-, NOUN 

, SPACE 
perature, NOUN 
rotating, VERB 
disc, NOUN 
subject, NOUN 
accelerations, NOUN 
excess, NOUN 

, SPACE 
104, NUM 
g., NOUN 
work, NOUN 
presented, VERB 

, SPACE 
experimental, ADJ 
apparatus, NOUN 
outlined, VERB 
Section, NOUN 
2, NUM 

, SPACE 
thermochromic, NOUN 
liquid, NOUN 
crystals, NOUN 
image, NOUN 
processing, NOUN 
calibration, NOUN 

, SPACE 
apparatus, NOUN 
described, VERB 
Section, PROPN 
3, NUM 
calibration, NOUN 
TLC, PROPN 

, SPACE 
IR, PROPN 
imager, ADV 
stationary, ADJ 
frame, NOUN 
measurements, NOUN 

, SPACE 
rotating, VERB 
disc, NOUN 
presented, VERB 
discussed, VERB 
Section, NOUN 
4, NUM 

, SPACE 
principal, ADJ 
conclusions, NOUN 
given, VERB 
Section, NOUN 
5, NUM 

, SPACE 
0142, NUM 
727X/96/$15,00, NUM 

, SPACE 
PII, PROPN 
S0142, PROPN 
727x(96)00053, NUM 
8, NUM 


, SPACE 
Rotation, PROPN 
effects, NOUN 
fiquid, NOUN 
crystals, NOUN 
B., PROPN 
J, PROPN 
Syson, PROPN 
et, PROPN 
al, PROPN 

, SPACE 
2, X 
Experimental, ADJ 
apparatus, NOUN 

, SPACE 
2.1, NUM 
Rotating, VERB 
disc, NOUN 
rig, NOUN 

, SPACE 
sectional, ADJ 
view, NOUN 
rotating, VERB 
disc, NOUN 
rig, NOUN 
shown, VERB 
Figure, PROPN 
1, NUM 

, SPACE 
rotor, NOUN 
instrumentation, NOUN 
Figure, PROPN 
2, NUM 
assembly, NOUN 

, SPACE 
rotated, VERB 
7000, NUM 
rpm, NOUN 
variable, ADJ 
speed, NOUN 
electric, ADJ 
motor, NOUN 

, SPACE 
speed, NOUN 
measured, VERB 
uncertainty, NOUN 
+, ADJ 
1, NUM 
rpm, NOUN 

, SPACE 
electromagnetic, ADJ 
transducer, NOUN 
timer, NOUN 
counter, NOUN 
steel, NOUN 
disc, NOUN 

, SPACE 
heated, VERB 
150, NUM 
°, NUM 
C, NOUN 
thyristor, NOUN 
controlled, VERB 
radiant, ADJ 
heaters, NOUN 

, SPACE 
surface, NOUN 
temperature, NOUN 
measured, VERB 
copper, NOUN 
constantan, PROPN 

, SPACE 
thermocouples, NOUN 
embedded, VERB 
disc, NOUN 
rig, NOUN 
usually, ADV 

, SPACE 
preswirl, NOUN 
rotor, NOUN 
stator, NOUN 
tests, NOUN 
Wilson, PROPN 
et, PROPN 
al, PROPN 
1995, NUM 

, SPACE 
fluxmeters, NOUN 
blade, NOUN 
cooling, VERB 
holes, NOUN 
shown, VERB 
Figure, PROPN 
2, NUM 

, SPACE 
tests, NOUN 
described, VERB 

, SPACE 
rotor, NOUN 
composite, ADJ 
construction, NOUN 
comprising, VERB 
steel, NOUN 

, SPACE 
disc, NOUN 
aluminum, NOUN 
disc, NOUN 
separated, VERB 
layer, NOUN 

, SPACE 
Rohacell, PROPN 
lightweight, ADJ 
foam, NOUN 
insulation, NOUN 
face, NOUN 
steel, NOUN 

, SPACE 
disc, NOUN 
580, NUM 
mm, NOUN 
diameter, NOUN 
covered, VERB 
1, NUM 
mm, ADJ 
thick, ADJ 

, SPACE 
layer, NOUN 
glass, NOUN 
fibre, NOUN 
epoxy, NOUN 
resin, NOUN 
k, PROPN 
=, NOUN 
0.3, NUM 
W, NOUN 
mK, NUM 
glass, NOUN 
fibre, NOUN 

, SPACE 
mat, NOUN 
slotted, VERB 
enable, VERB 
thermocouples, NOUN 
fluxmeters, NOUN 

, SPACE 
embedded, VERB 
surface, NOUN 
creating, VERB 
stress, NOUN 
concentrations, NOUN 

, SPACE 
thermal, ADJ 
disturbances, NOUN 
steel, NOUN 
disc, NOUN 
wires, NOUN 

, SPACE 
thermocouples, NOUN 
fluxmeters, NOUN 
brought, VERB 
slots, NOUN 
mat, NOUN 

, SPACE 
connector, NOUN 
pins, NOUN 
centre, NOUN 
disc, NOUN 
shown, VERB 

, SPACE 
Figure, PROPN 
1, NUM 
pins, NOUN 
act, VERB 
effective, ADJ 
cold, ADJ 
junction, NOUN 

, SPACE 
electrical, ADJ 
signals, NOUN 
brought, VERB 
copper, NOUN 
wires, NOUN 
connected, VERB 

, SPACE 
24, NUM 
way, NOUN 
slip, NOUN 
ring, NOUN 
assembly, NOUN 
voltages, NOUN 
measured, VERB 

, SPACE 
resolution, NOUN 
+, SYM 
1, NUM 
ixV, NUM 
computer, NOUN 
controlled, VERB 
datalogger, NOUN 

, SPACE 
glass, NOUN 
fibre, NOUN 
mat, NOUN 
sprayed, VERB 
black, ADJ 
paint, NOUN 

, SPACE 
emissivity, NOUN 
e, NOUN 
=, NOUN 
0.96, NUM 
estimated, VERB 
infrared, ADJ 
thermal, ADJ 
im-, X 

, SPACE 
ager, NOUN 
described, VERB 
annular, ADJ 
area, NOUN 
extending, VERB 
220, NUM 
<, X 

, SPACE 
r, NOUN 
<, X 
290, NUM 
ram, NOUN 
coated, VERB 
thermochromic, NOUN 
liquid, NOUN 
crystal, NOUN 
details, NOUN 

, SPACE 
given, VERB 
Section, NOUN 
3, NUM 
2.2, NUM 
Infrared, PROPN 
thermal, ADJ 
imager, ADJ 

, SPACE 
cutaway, NOUN 
view, NOUN 
Agema, PROPN 
870C, PROPN 
infrared, ADJ 
scanner, NOUN 

, SPACE 
tests, NOUN 
shown, VERB 
Figure, PROPN 
3, NUM 
Essentially, ADV 
scanner, NOUN 
converts, VERB 

, SPACE 
electromagnetic, ADJ 
radiation, NOUN 
object, NOUN 
electronic, ADJ 
video, NOUN 

, SPACE 
signals, NOUN 
scanner, NOUN 
associated, VERB 
hardware, NOUN 
software, NOUN 

, SPACE 
referred, VERB 
infrared, ADJ 
thermal, ADJ 
imager, ADJ 
basic, ADJ 
princi-, NOUN 

, SPACE 
ple, NOUN 
operation, NOUN 
described, VERB 

, SPACE 
radiation, NOUN 
object, NOUN 
focused, VERB 
infrared, ADJ 
lens, NOUN 

, SPACE 
oscillating, NOUN 
mirror, NOUN 
scanner, NOUN 

, SPACE 
variety, NOUN 
interchangeable, ADJ 
lenses, NOUN 
tests, NOUN 
described, VERB 

, SPACE 
20, NUM 
°, NOUN 
38, NUM 
mm, NOUN 
lens, NOUN 
fitted, VERB 
lens, NOUN 
germanium, NOUN 

, SPACE 
broadband, PROPN 
optics, NOUN 
coated, VERB 
enhanced, VERB 
response, NOUN 
2.0, NUM 
4.0, NUM 

, SPACE 
t, PROPN 
~, PUNCT 
m, NOUN 
region, NOUN 
infrared, ADJ 
spectrum, NOUN 
reflected, ADJ 
radiation, NOUN 

, SPACE 
oscillating, NOUN 
mirror, NOUN 
focused, VERB 
fixed, VERB 
mirrors, NOUN 

, SPACE 
horizontal, ADJ 
polygon, NOUN 
mirror, NOUN 
rotates, VERB 
15,000, NUM 
rpm, NOUN 

, SPACE 
oscillating, NOUN 
rotating, VERB 
mirrors, NOUN 
microprocessor, NOUN 
controlled, VERB 

, SPACE 
synchronised, VERB 
object, NOUN 
view, NOUN 

, SPACE 
effectively, ADV 
scanned, VERB 
70, NUM 
line, NOUN 
field, NOUN 
rate, NOUN 
25, NUM 
fields, NOUN 
s., PROPN 

, SPACE 
fields, NOUN 
phased, VERB 
fields, NOUN 
produce, VERB 
fully, ADV 

, SPACE 
interlaced, VERB 
280, NUM 
line, NOUN 
frame, NOUN 
reflected, VERB 
beam, NOUN 
horizon-, NUM 

, SPACE 
tal, NOUN 
mirror, NOUN 
passed, VERB 
set, NOUN 
relay, NOUN 
optics, NOUN 
containing, VERB 

, SPACE 
selectable, ADJ 
aperture, NOUN 
filter, NOUN 
unit, NOUN 
focused, VERB 
point, NOUN 

, SPACE 
detector, NOUN 
concave, PROPN 
mirror, NOUN 
shown, VERB 
Figure, PROPN 
3, NUM 
tests, NOUN 

, SPACE 
reported, VERB 
scanner, NOUN 
aperture, NOUN 
left, VERB 
fully, ADV 
open, ADJ 

, SPACE 
filter, NOUN 
inserted, VERB 

, SPACE 
scanner, NOUN 
uses, VERB 
SPRITE, PROPN 
single, ADJ 
point, NOUN 
infrared, VERB 
detector, NOUN 

, SPACE 
consisting, VERB 
strip, NOUN 
mercury, NOUN 
cadmium, NOUN 
telluride, NOUN 

, SPACE 
sensitive, ADJ 
radiation, NOUN 
2, NUM 
5, NUM 
~, VERB 
m, VERB 
mounted, VERB 

, SPACE 
sapphire, NOUN 
substrate, NOUN 
detector, NOUN 
cooled, VERB 
stage, NOUN 
ther-, NOUN 

, SPACE 
moelectric, ADJ 
Peltier, ADJ 
element, NOUN 
temperature, NOUN 
-70, PROPN 
°, NUM 
C, NOUN 

, SPACE 
output, NOUN 
signal, NOUN 
detector, NOUN 
sent, VERB 
external, ADJ 
amplifica-, ADJ 

, SPACE 
tion, NOUN 
control, NOUN 
unit, NOUN 
video, NOUN 
output, NOUN 
signal, NOUN 
unit, NOUN 

, SPACE 
processed, VERB 
PC, NOUN 
Agema, PROPN 
CATSE, PROPN 
software, NOUN 

, SPACE 
~OPI[C, PUNCT 
LIOUID, PROPN 
CRYST, PROPN 

, SPACE 
STEEL, PROPN 
ROTO~, PUNCT 

, SPACE 
CLASS, PROPN 
FIBRE, PROPN 
EPOXY, PROPN 
RSSIPI, PROPN 

, SPACE 
C, PROPN 
~, PUNCT 
IlnEcTOR, PROPN 
PI, PROPN 

, SPACE 
Figure, PROPN 
Rotating, PROPN 
disc, NOUN 
rig, NOUN 
BLADE, PROPN 
COOLIIIG, PROPN 
PASSAGE, NOUN 

, SPACE 
DISC, PROPN 

, SPACE 
~, PUNCT 
FLUTED, VERB 
ROHAGELL, PROPN 
OISC, VERB 

, SPACE 

, SPACE 
oelv~, NOUN 
.stuFf, PUNCT 

, SPACE 
~./~, PROPN 

, SPACE 
cEKrRAL, VERB 
TUBE, NOUN 

, SPACE 
24, NUM 
CHAttEL, NOUN 
SLIP, PROPN 
RIPIC, PROPN 
^SSEI'~Y, PROPN 

, SPACE 
.1, PROPN 

, SPACE 
492, NUM 
Int, PROPN 
J., PROPN 
Heat, PROPN 
Fluid, PROPN 
Flow, PROPN 
Vol, PROPN 
17, NUM 
5, NUM 
October, PROPN 
1996, NUM 


, SPACE 
Rotation, PROPN 
effects, NOUN 
liquid, ADJ 
crystals, NOUN 
B., PROPN 
J., PROPN 
Syson, PROPN 
et, PROPN 
al, PROPN 

, SPACE 
UL, PROPN 
~, PUNCT 
UC, PROPN 
~tlULJll~, PROPN 
nOL=, PROPN 

, SPACE 
ITHERNOCOUPLE, PROPN 

, SPACE 
Figure, PROPN 
2, NUM 
Instrumented, PROPN 
rotating, VERB 
disc, NOUN 
HEAT, PROPN 
FLUXHETER, NOUN 

, SPACE 
software, NOUN 
generates, VERB 
140, NUM 
×, PROPN 
140, NUM 
pixel, ADJ 
orthogonal, ADJ 
image, NOUN 

, SPACE 
object, NOUN 
view, NOUN 
image, NOUN 
datafile, NOUN 
generated, VERB 
transmit, VERB 

, SPACE 
data, NOUN 
PC, NOUN 
Silicon, PROPN 
Graphics, PROPN 
workstation, NOUN 
postpro-, NOUN 

, SPACE 
cessing, NOUN 

, SPACE 
scanner, NOUN 
capable, ADJ 
line, NOUN 
scanning, VERB 
mode, NOUN 

, SPACE 
oscillating, NOUN 
mirror, NOUN 
locked, VERB 
position, NOUN 
horizontal, ADJ 

, SPACE 
lines, NOUN 
scanned, VERB 
rotating, VERB 
mirror, NOUN 
scanner, NOUN 

, SPACE 
positioned, VERB 
relative, NOUN 
rotating, VERB 
disc, NOUN 
radial, ADJ 
lines, NOUN 

, SPACE 
scanned, VERB 
disc, NOUN 
rotates, NOUN 
angular, ADJ 
location, NOUN 
lines, NOUN 

, SPACE 
determined, VERB 
software, NOUN 
trigger, NOUN 
drive, NOUN 

, SPACE 
shaft, NOUN 
rig, NOUN 
mode, NOUN 
enables, VERB 
circumferential, ADJ 
tempera-, ADJ 

, SPACE 
ture, NOUN 
distribution, NOUN 
disc, NOUN 
determined, VERB 

, SPACE 
line, NOUN 
scanning, VERB 
mode, NOUN 
significant, ADJ 
angular, ADJ 
varia-, NOUN 

, SPACE 
tions, NOUN 
temperature, NOUN 
thermal, ADJ 
disturbances, NOUN 
found, VERB 

, SPACE 
tests, NOUN 
described, VERB 
standard, ADJ 
orthogonal, ADJ 
scanning, NOUN 
mode, NOUN 

, SPACE 
produces, VERB 
circumferentially, ADV 
averaged, VERB 
value, NOUN 

, SPACE 
temperature, NOUN 

, SPACE 
manufacturer, NOUN 
specified, VERB 
absolute, ADJ 
accuracy, NOUN 
scan-, ADJ 

, SPACE 
ner, NOUN 
+, NUM 
2, NUM 
+, SYM 
2, NUM 
°, NUM 
C, NOUN 
whichever, PRON 
larger, ADJ 
stated, VERB 

, SPACE 
resolution, NOUN 
60, NUM 
°, NOUN 
C, NOUN 
corresponds, VERB 
range, NOUN 

, SPACE 
covered, VERB 
wide, ADJ 
band, NOUN 
TLC, PROPN 
0.07, NUM 
°, NUM 
C, NOUN 
improve, VERB 
accu-, ADJ 
racy, NOUN 
average, NOUN 
20, NUM 
consecutive, ADJ 
frames, NOUN 
taken, VERB 

, SPACE 
test, NOUN 
scanner, NOUN 
calibrated, VERB 
copper, NOUN 
block, NOUN 

, SPACE 
apparatus, NOUN 
described, VERB 
Section, PROPN 
3, NUM 

, SPACE 
3, X 
Thermochromic, ADJ 
liquid, NOUN 
crystals, NOUN 
image, NOUN 

, SPACE 
processing, NOUN 
calibration, NOUN 
apparatus, NOUN 

, SPACE 
3, X 
I., PROPN 
Thermochromic, PROPN 
liquid, NOUN 
crystal, NOUN 

, SPACE 
Thermochromic, PROPN 
coatings, NOUN 
surface, NOUN 
thermography, NOUN 
usually, ADV 

, SPACE 
exploit, VERB 
properties, NOUN 
chiral, ADJ 
nematic, ADJ 
liquid, NOUN 
crystal, NOUN 
phase, NOUN 

, SPACE 
characterised, VERB 
helical, ADJ 
molecular, ADJ 
structure, NOUN 
periodicity, NOUN 

, SPACE 
governs, VERB 
way, NOUN 
reflects, VERB 
light, ADJ 
illumi-, NOUN 

, SPACE 
nated, VERB 
white, ADJ 
light, NOUN 
liquid, ADJ 
crystal, NOUN 
selectively, ADV 
reflects, VERB 

, SPACE 
monochromatic, ADJ 
light, NOUN 
wavelength, NOUN 
equal, ADJ 
pitch, NOUN 

, SPACE 
helical, ADJ 
structure, NOUN 
liquid, ADJ 
crystal, NOUN 
exhibit, VERB 
thermochromic, NOUN 

, SPACE 
properties, NOUN 
pitch, NOUN 
wavelength, NOUN 
light, NOUN 

, SPACE 
reflects, VERB 
function, NOUN 
temperature, NOUN 
Usually, ADV 
wavelength, NOUN 

, SPACE 
light, NOUN 
reflected, VERB 
decreases, NOUN 
increasing, VERB 
temperature, NOUN 
colour, NOUN 

, SPACE 
changes, NOUN 
red, PROPN 
visible, ADJ 
spectrum, NOUN 
blue, PROPN 
violet, NOUN 

, SPACE 
Int, PROPN 
J., PROPN 
Heat, PROPN 
Fluid, PROPN 
Flow, PROPN 
Vol, PROPN 
17, NUM 
5, NUM 
October, PROPN 
1996, NUM 
493, NUM 


, SPACE 
Rotation, PROPN 
effects, NOUN 
liquid, ADJ 
crystals, NOUN 
B., PROPN 
J., PROPN 
Syson, PROPN 
et, NOUN 
aL, PROPN 

, SPACE 
Figure, PROPN 
3, NUM 
Oscillating, NOUN 
Mirror, PROPN 
3, NUM 
Fixed, PROPN 
Mirrors, PROPN 

, SPACE 
Rotating, VERB 
Polygon, PROPN 
Mirror, PROPN 

, SPACE 
Cutaway, PROPN 
view, NOUN 
Agema, PROPN 
thermal, ADJ 
scanner, NOUN 
reproduced, VERB 
permission, NOUN 
Agema, PROPN 
UK, PROPN 

, SPACE 
liquid, ADJ 
crystal, NOUN 
supplied, VERB 
microcapsules, NOUN 
tiny, ADJ 
droplets, NOUN 

, SPACE 
liquid, ADJ 
crystal, NOUN 
encased, VERB 
polymer, NOUN 
shells, NOUN 
form, NOUN 

, SPACE 
liquid, ADJ 
crystal, NOUN 
easy, ADJ 
use, VERB 
isolated, VERB 
deleterious, ADJ 

, SPACE 
effects, NOUN 
solvents, NOUN 
impurities, NOUN 
ensure, VERB 
good, ADJ 
adhesion, NOUN 

, SPACE 
microcapsules, NOUN 
mixed, VERB 
binder, NOUN 
prior, ADV 
application, NOUN 

, SPACE 
Saturated, VERB 
colours, NOUN 
achieved, VERB 
initially, ADV 
spraying, VERB 
surface, NOUN 

, SPACE 
black, ADJ 
light, NOUN 
passes, VERB 
coating, NOUN 

, SPACE 
reflected, VERB 
Despite, SCONJ 
precaution, NOUN 
light, NOUN 
reflected, VERB 

, SPACE 
purely, ADV 
monochromatic, ADJ 
light, NOUN 
reflected, VERB 

, SPACE 
black, ADJ 
paint, NOUN 
non, ADJ 
liquid, ADJ 
crystal, NOUN 
constituents, NOUN 
coating, NOUN 

, SPACE 
typical, ADJ 
spectral, ADJ 
content, NOUN 
reflected, VERB 
light, NOUN 
shown, VERB 

, SPACE 
Figure, PROPN 
4a, NUM 

, SPACE 
instrumentation, NOUN 
resolve, VERB 
light, NOUN 
reflected, VERB 

, SPACE 
TLC, PROPN 
coating, NOUN 
provide, VERB 
sufficient, ADJ 
spatial, ADJ 

, SPACE 
temporal, ADJ 
resolution, NOUN 
spectrometer, NOUN 
ideal, ADJ 

, SPACE 
analysing, VERB 
reflected, ADJ 
light, NOUN 
colour, ADJ 
CCD, NOUN 
charge, NOUN 
coupled, VERB 
device, NOUN 

, SPACE 
imagers, NOUN 
satisfy, VERB 
stringent, ADJ 
spatial, NOUN 

, SPACE 
temporal, ADJ 
requirements, NOUN 
heat, NOUN 
transfer, NOUN 
