s, VERB 
, SPACE 
found, VERB 
11, NUM 
standard, ADJ 
uses, NOUN 

, SPACE 
limitations, NOUN 
comparison, NOUN 
methods, NOUN 

, SPACE 
reviewed, VERB 
times, NOUN 
comparison, NOUN 

, SPACE 
methods, NOUN 
2, NUM 
lo, X 
stated, VERB 
general, ADJ 
RBS, PROPN 

, SPACE 
high, ADJ 
resolution, NOUN 
depth, NOUN 
microscope, NOUN 

, SPACE 
mass, NOUN 
spectrometer, NOUN 
medium, ADJ 
quality, NOUN 

, SPACE 
Corresponding, VERB 
author, NOUN 
Tel, PROPN 
+6221, NUM 
516268, NUM 
fax, NOUN 
6221, NUM 
516540, NUM 

, SPACE 
e, NOUN 
mail, NOUN 
cklatt@zooey.mpi-hd.mpg.de, ADJ 
use, NOUN 
RBS, NOUN 
NRA, PROPN 
Nuclear, PROPN 
Reaction, PROPN 
Analysis, PROPN 

, SPACE 
analysis, NOUN 
light, ADJ 
elements, NOUN 
aerosols, NOUN 
methods, NOUN 

, SPACE 
complementary, ADJ 
PIXE, NOUN 
Proton, PROPN 
Induced, PROPN 
X, PROPN 
ray, PROPN 
Emission, PROPN 

, SPACE 
reported, VERB 
1,141, NUM 
verdict, NOUN 

, SPACE 
hardly, ADV 
performed, VERB 
particulate, NOUN 
matter, NOUN 
collected, VERB 

, SPACE 
standard, ADJ 
filters, NOUN 
commonly, ADV 
PIXE, NOUN 
analyses, NOUN 
111, NUM 

, SPACE 
recently, ADV 
shown, VERB 
12, NUM 
improve-, ADJ 

, SPACE 
ment, NOUN 
experimental, ADJ 
apparatus, NOUN 
possible, ADJ 
use, VERB 
RBS, NOUN 

, SPACE 
analysis, NOUN 
trace, NOUN 
amounts, NOUN 
heavy, ADJ 
impurities, NOUN 

, SPACE 
light, NOUN 
substrates, NOUN 
RBS, NOUN 
absolute, ADJ 
method, NOUN 
detecting, VERB 

, SPACE 
impurities, NOUN 
solids, NOUN 
levels, NOUN 
typically, ADV 
10’2, NUM 
10’4, NUM 
cm, PROPN 

, SPACE 
IO, PROPN 
lOO, ADJ 
fold, VERB 
lower, ADJ 
area1, NOUN 
concentrations, NOUN 

, SPACE 
measured, VERB 
special, ADJ 
instrumentation, NOUN 
clear, ADJ 

, SPACE 
application, NOUN 
provide, VERB 
valid, ADJ 
results, NOUN 

, SPACE 
complementing, NOUN 
surpassing, VERB 
methods, NOUN 
certain, ADJ 

, SPACE 
respects, NOUN 
aim, NOUN 
attempt, NOUN 
find, VERB 

, SPACE 
successfully, ADV 
RBS, PROPN 
applied, VERB 
multielement, NOUN 
anal-, NUM 

, SPACE 
ysis, NOUN 
atmospheric, ADJ 
aerosols, NOUN 
utmost, ADJ 
importance, NOUN 

, SPACE 
context, NOUN 
relative, ADJ 
mass, NOUN 
resolution, NOUN 
m, NOUN 

, SPACE 
optimized, VERB 
proper, ADJ 
choice, NOUN 
analysis, NOUN 

, SPACE 
conditions, NOUN 
incident, NOUN 
particle, NOUN 
mass, NOUN 
energy, NOUN 

, SPACE 
detector, NOUN 
type, NOUN 

, SPACE 
2, X 
Sample, NOUN 
preparation, NOUN 

, SPACE 
Considering, VERB 
practical, ADJ 
aspects, NOUN 
RBS, PROPN 
analysis, NOUN 

, SPACE 
clear, ADJ 
problems, NOUN 
imposed, VERB 
specifically, ADV 
aerosol, NOUN 

, SPACE 
geometry, NOUN 
solved, VERB 
order, NOUN 
obtain, VERB 
reliable, ADJ 

, SPACE 
results, NOUN 
end, NOUN 
main, ADJ 
limitations, NOUN 
surface, NOUN 
rough-, NOUN 

, SPACE 
ness, ADJ 
beam, NOUN 
resistance, NOUN 
filters, NOUN 

, SPACE 
overcome, VERB 

, SPACE 
0168, NUM 
583X/96/$15.00, PROPN 
Copyright, NOUN 
0, NUM 
19, NUM 
Elsevier, ADJ 
Science, PROPN 
B.V., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
SSDI, PROPN 
0168, NUM 
583X(95)01203, NUM 
6, NUM 

, SPACE 
P., PROPN 
Kooa’i, PROPN 
et, PROPN 
al./Nucl, PROPN 
Instr, PROPN 
und, PROPN 
Meth, PROPN 
Phys, PROPN 
Res, PROPN 
B, NOUN 
I8, NOUN 
1996, NUM 
162, NUM 
166, NUM 
163, NUM 

, SPACE 
1, NUM 
IMPURITY, PROPN 
DETECTION, PROPN 
LIMITS, NOUN 
1, NUM 
5, NUM 

, SPACE 
0.11, NUM 

, SPACE 
0, NUM 
20, NUM 
40, NUM 
60, NUM 
80, NUM 

, SPACE 
ATOMIC, PROPN 
NUMBER, PROPN 
Z, PROPN 

, SPACE 
Fig, PROPN 
1, NUM 
Detection, NOUN 
limits, NOUN 
selected, VERB 
analysis, NOUN 
techniques, NOUN 
al1, ADJ 

, SPACE 
natural, ADJ 
elements, NOUN 
AAS, PROPN 
=, PUNCT 
atomic, ADJ 
absorption, NOUN 
spectrometry, NOUN 
figures, NOUN 

, SPACE 
typical, ADJ 
NAA, PROPN 
=, ADP 
neutron, NOUN 
activation, NOUN 
analysis, NOUN 
figures, NOUN 
refer, VERB 

, SPACE 
thermal, ADJ 
neutron, NOUN 
flux, NOUN 
IO, PROPN 
l4, PROPN 
cm-*s, NOUN 
l, NOUN 
decay, NOUN 
rate, NOUN 
10, NUM 

, SPACE 
Bq, PROPN 
NRA, PROPN 
=, PUNCT 
nuclear, ADJ 
reaction, NOUN 
analysis, NOUN 
figures, NOUN 
obtained, VERB 
Ref, PROPN 

, SPACE 
12, NUM 
TRFA, PROPN 
=, ADJ 
total, ADJ 
relection, NOUN 
X, NOUN 
ray, NOUN 
fluorescence, NOUN 
analysis, NOUN 
figures, NOUN 

, SPACE 
RBS, PROPN 
depend, VERB 
systematically, ADV 
atomic, ADJ 
number, NOUN 

, SPACE 
traced, VERB 
element, NOUN 
figure, NOUN 
taken, VERB 
Ref, PROPN 
121, NUM 

, SPACE 
2.1, NUM 
Sample, NOUN 
surface, NOUN 
topography, NOUN 

, SPACE 
apply, VERB 
RBS, NOUN 
analysis, NOUN 
aerosol, VERB 
samples, NOUN 
standard, ADJ 

, SPACE 
fibre, NOUN 
filters, NOUN 
practically, ADV 
impossible, ADJ 
special, ADJ 

, SPACE 
filters, NOUN 
surface, NOUN 
texture, NOUN 
Based, VERB 

, SPACE 
experience, NOUN 
PIXE, PROPN 
measurements, NOUN 
Nuclepore, PROPN 
mem-, ADJ 

, SPACE 
brane, ADJ 
filters, NOUN 
chosen, VERB 
low, ADJ 
Z, NOUN 
composi-, ADJ 

, SPACE 
tion, NOUN 
H, PROPN 
C, PROPN 
0, NUM 
high, ADJ 
purity, NOUN 
reported, VERB 
resistance, NOUN 

, SPACE 
ion, NOUN 
beam, NOUN 
exposure, NOUN 
11,131, NUM 

, SPACE 
Aerosols, NOUN 
microscopic, ADJ 
particles, NOUN 
markedly, ADV 
lower, ADJ 

, SPACE 
density, NOUN 
bulk, ADJ 
material, NOUN 
typical, ADJ 
dimensions, NOUN 

, SPACE 
0.1, NUM 
10, NUM 
pm, NOUN 
14,151, NUM 
strongly, ADV 
deviating, VERB 
flat, ADJ 

, SPACE 
surface, NOUN 
topography, NOUN 
ideal, NOUN 
RBS, PROPN 
alleviate, VERB 
conditions, NOUN 

, SPACE 
RBS, PROPN 
analysis, NOUN 
size, NOUN 
resolved, VERB 
sampling, NOUN 
aerosol, NOUN 
parti-, NOUN 

, SPACE 
cles, NOUN 
absolutely, ADV 
necessary, ADJ 

, SPACE 
factor, NOUN 
cause, VERB 
problem, NOUN 

, SPACE 
material, NOUN 
collected, VERB 
separate, ADJ 
filters, NOUN 
theoretical, ADJ 

, SPACE 
treatment, NOUN 
nonuniform, NOUN 
layers, NOUN 
based, VERB 
simple, ADJ 
model, NOUN 

, SPACE 
spheres, NOUN 
varying, VERB 
size, NOUN 
flat, ADJ 
substrate, NOUN 
l, NOUN 
describes, VERB 

, SPACE 
actual, ADJ 
case, NOUN 
situation, NOUN 
aerosol, VERB 
particles, NOUN 
Nucle-, PROPN 

, SPACE 
pore, ADJ 
filter, NOUN 
reasonably, ADV 
According, VERB 
model, NOUN 

, SPACE 
degree, NOUN 
particle, NOUN 
accumulation, NOUN 
correspond-, ADJ 

, SPACE 
ing, PROPN 
RBS, PROPN 
spectra, PROPN 
divided, VERB 
categories, NOUN 

, SPACE 
illustrated, VERB 
Fig, PROPN 
2, NUM 

, SPACE 
1, X 
difficult, ADJ 
case, NOUN 
arises, VERB 
integral, ADJ 
sampling, NOUN 

, SPACE 
material, NOUN 
single, ADJ 
filter, NOUN 
collected, VERB 
resulting, VERB 
bulk, ADJ 
spectra, NOUN 
evaluated, VERB 
concen-, X 

, SPACE 
tration, NOUN 
interesting, ADJ 
elements, NOUN 
sufficiently, ADV 
high, ADJ 

, SPACE 
order, NOUN 
atomic, ADJ 
percent, NOUN 

, SPACE 
2, X 
particles, NOUN 
single, ADJ 
filter, NOUN 
surface, NOUN 
form, NOUN 

, SPACE 
monolayer, NOUN 
RBS, PROPN 
spectra, PROPN 
feature, VERB 
asym-, ADJ 

, SPACE 
metric, ADJ 
peaks, NOUN 
low, ADJ 
energy, NOUN 
tails, NOUN 
shape, NOUN 
tails, NOUN 

, SPACE 
depends, VERB 
particle, NOUN 
geometry, NOUN 
individual, ADJ 
peaks, NOUN 

, SPACE 
usually, ADV 
superimposed, VERB 

, SPACE 
3, X 
case, NOUN 
stack, NOUN 
unit, NOUN 
filters, NOUN 

, SPACE 
best, ADJ 
conditions, NOUN 
met, VERB 
lower, ADJ 
stages, NOUN 

, SPACE 
exhibit, VERB 
low, ADJ 
surface, NOUN 
coverage, NOUN 
particles, NOUN 
similar, ADJ 

, SPACE 
size, NOUN 
corresponding, ADJ 
RBS, PROPN 
spectra, PROPN 
approach, NOUN 

, SPACE 
overlap, NOUN 
conditions, NOUN 
individual, ADJ 
impurity, NOUN 
peaks, NOUN 

, SPACE 
course, NOUN 
strongly, ADV 
dependent, ADJ 
mass, ADJ 
distribution, NOUN 

, SPACE 
traced, VERB 
elements, NOUN 
energy, NOUN 
resolution, NOUN 

, SPACE 
RBS, PROPN 
set, NOUN 

, SPACE 
thin, ADJ 
film, NOUN 
conditions, NOUN 
suitable, ADJ 
quanti-, NOUN 

, SPACE 
tative, NOUN 
evaluation, NOUN 
peak, NOUN 
integrals, NOUN 
practical, ADJ 

, SPACE 
cases, NOUN 
proportional, ADJ 
respective, ADJ 
elemental, ADJ 
isotopic, ADJ 

, SPACE 
areal, ADJ 
concentration, NOUN 

, SPACE 
2.2, X 
Radiation, NOUN 
resistance, NOUN 

, SPACE 
laboratories, NOUN 
ion, NOUN 
beam, NOUN 
analysis, NOUN 
air, NOUN 
pollution, NOUN 

, SPACE 
samples, NOUN 
carried, VERB 
PIXE, PROPN 
accepted, VERB 
practice, NOUN 

, SPACE 
expose, NOUN 
aerosol, VERB 
filters, NOUN 
collected, VERB 
particles, NOUN 
directly, ADV 

, SPACE 
analyzing, ADJ 
ion, NOUN 
beam, NOUN 
sample, NOUN 
pre, NOUN 
treatment, NOUN 

, SPACE 
PIXE, NOUN 
installations, NOUN 
use, VERB 
defocused, ADJ 
ion, NOUN 
beams, NOUN 

, SPACE 
Sample, PROPN 
RBS, PROPN 
Spectrum, PROPN 

, SPACE 
collected, VERB 
dust, NOUN 

, SPACE 
Integral, ADJ 
sampfing, NOUN 

, SPACE 

, SPACE 
l, PROPN 
sll, PROPN 
particle, NOUN 
sizes, VERB 

, SPACE 
surface, NOUN 
coverage, NOUN 

, SPACE 
monolayer, NOUN 

, SPACE 
Nueiepore, PROPN 
filter, NOUN 

, SPACE 
b, X 
Fractional, PROPN 
sampling, VERB 

, SPACE 
l, NOUN 
upper, ADJ 
stage, NOUN 
pore, ADJ 
size, NOUN 
1, NUM 
plm, NOUN 

, SPACE 
l, NOUN 
particle, NOUN 
sizes, NOUN 

, SPACE 
surface, NOUN 
coverage, NOUN 
-*~Q.~~-, PUNCT 

, SPACE 
monolayer, NOUN 

, SPACE 
c, X 
Fractional, PROPN 
sampling, VERB 

, SPACE 
lower, ADJ 
stage, NOUN 
pore, VERB 
si!Ae, PROPN 
0.1, NUM 
/ml, PUNCT 

, SPACE 
l, NOUN 
particle, NOUN 
sizes, NOUN 
<, X 
0.8, NUM 
firn, NOUN 

, SPACE 
l, NOUN 
surface, NOUN 
coverage, NOUN 

, SPACE 
monolayer, NOUN 
F, PROPN 
:o, PROPN 
o_o, X 
Energy, PROPN 

, SPACE 
Energy, PROPN 

, SPACE 
Energy, PROPN 

, SPACE 
Fig, PROPN 
2, NUM 
Model, NOUN 
aerosol, NOUN 
collection, NOUN 
nuclepore, ADJ 
filters, NOUN 

, SPACE 
corresponding, VERB 
RBS, PROPN 
spectra, PROPN 
integral, ADJ 
sampling, NOUN 
single, ADJ 

, SPACE 
filter, NOUN 
b, X 
upper, ADJ 
stage, NOUN 
stacking, VERB 
filter, NOUN 
unit, NOUN 
c, NOUN 
lower, ADJ 
stage, NOUN 

, SPACE 
thereof, ADP 

, SPACE 
II, PROPN 
RBS, PROPN 
ETC, PROPN 

, SPACE 
164, NUM 
P., PROPN 
Kovcii, PROPN 
et, PROPN 
al./Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
Phys, PROPN 
Rex, PROPN 
B, PROPN 
118, NUM 
1996, NUM 
162, NUM 
166, NUM 

, SPACE 
beam, ADJ 
spots, NOUN 
1, NUM 
cm, NOUN 
thin, ADJ 
diffusor, NOUN 

, SPACE 
foils, NOUN 
achieve, VERB 
broad, ADJ 
flat, ADJ 
beam, NOUN 
profiles, NOUN 

, SPACE 
large, ADJ 
beam, NOUN 
spots, NOUN 
diffusor, NOUN 
foils, NOUN 
unacceptable, ADJ 

, SPACE 
RBS, PROPN 
loss, NOUN 
energy, NOUN 
mass, NOUN 
resolution, NOUN 

, SPACE 
measurements, NOUN 
intense, ADJ 
focused, ADJ 
ion, NOUN 
beams, NOUN 

, SPACE 
cause, VERB 
destruction, NOUN 
filter, NOUN 
material, NOUN 
analyzing, ADJ 
4He, NUM 

, SPACE 
ion, NOUN 
beam, NOUN 
kept, VERB 
maximum, ADJ 
current, ADJ 
density, NOUN 

, SPACE 
level, NOUN 
order, NOUN 
10, NUM 
nA, VERB 
cm2, NOUN 
considerably, ADV 

, SPACE 
higher, ADJ 
stopping, NOUN 
power, NOUN 
ions, NOUN 
similar, ADJ 
energy, NOUN 

, SPACE 
protons, NOUN 
corresponding, VERB 
energy, NOUN 
deposit, NOUN 
filter, NOUN 
mate-, NOUN 

, SPACE 
rial, NOUN 
critical, ADJ 
concomitant, ADJ 
structural, ADJ 

, SPACE 
changes, NOUN 
lead, VERB 
embrittlement, NOUN 
mechanical, ADJ 
stress, NOUN 

, SPACE 
exposed, VERB 
layer, NOUN 
eventually, ADV 
filter, VERB 
rupture, NOUN 
etc, X 
order, NOUN 

, SPACE 
prevent, VERB 
sticking, VERB 
mechanical, ADJ 
support, NOUN 
neces-, X 

, SPACE 
sary, NOUN 
found, VERB 
filters, NOUN 
backed, VERB 
approxi-, NOUN 

, SPACE 
mately, ADV 
800, NUM 
nm, ADJ 
Al, PROPN 
layer, NOUN 
withstand, VERB 
4He+, NUM 
ion, NOUN 
beams, NOUN 

, SPACE 
current, ADJ 
densities, NOUN 
1, NUM 
kA, NUM 
cm2, NOUN 
periods, NOUN 
order, NOUN 

, SPACE 
hours, NOUN 

, SPACE 
3, X 
Experimental, ADJ 

, SPACE 
fulfil, VERB 
conditions, NOUN 
backscattering, VERB 
spectrometry, NOUN 

, SPACE 
described, VERB 
Section, NOUN 
2.1, NUM 
simple, ADJ 
holder, NOUN 
stacking, VERB 

, SPACE 
filters, NOUN 
constructed, VERB 
aerosol, NOUN 
sampling, VERB 
begin-, ADJ 

, SPACE 
ning, NOUN 
safe, ADJ 
convenient, ADJ 
manipulation, NOUN 
samples, NOUN 

, SPACE 
process, NOUN 
filter, NOUN 
attached, VERB 

, SPACE 
metal, NOUN 
ring, NOUN 
covered, VERB 
rubber, NOUN 
coating, NOUN 
manipula-, ADJ 

, SPACE 
tions, NOUN 
pumping, NOUN 
metallization, NOUN 
measurement, NOUN 
etc, X 

, SPACE 
holders, NOUN 

, SPACE 
experiments, NOUN 
presented, VERB 
carried, VERB 

, SPACE 
development, NOUN 
analytical, ADJ 
method, NOUN 

, SPACE 
real, ADJ 
aerosol, NOUN 
research, NOUN 
filters, NOUN 
pore, ADJ 
sizes, NOUN 
1, NUM 

, SPACE 
0.1, NUM 
pm, NOUN 
placed, VERB 
stacking, ADJ 
filter, NOUN 
unit, NOUN 

, SPACE 
filters, NOUN 
Nuclepore, PROPN 
Polycarbonate, PROPN 
Membranes, PROPN 
13, NUM 

, SPACE 
mm, NOUN 
diameter, NOUN 
active, ADJ 
sampling, VERB 
area, NOUN 
50, NUM 
mm2, NUM 

, SPACE 
fifth, NOUN 
analysis, NOUN 

, SPACE 
stacking, VERB 
filter, NOUN 
unit, NOUN 
operated, VERB 
flow, NOUN 
rate, NOUN 
0.7, NUM 

, SPACE 
l, PROPN 
min, PROPN 
found, VERB 
approximately, ADV 
8, NUM 
hours, NOUN 
sam-, NOUN 

, SPACE 
pling, NOUN 
sufficient, ADJ 
collecting, VERB 
material, NOUN 

, SPACE 
RBS, NOUN 
analysis, NOUN 
SEM, PROPN 
photograph, NOUN 
Fig, PROPN 
3, NUM 
sample, NOUN 

, SPACE 
prepared, VERB 
conditions, NOUN 
shows, VERB 
low, ADJ 

, SPACE 
coverage, NOUN 
filter, NOUN 
surface, NOUN 
satisfies, VERB 
model, NOUN 

, SPACE 
assumptions, NOUN 
Fig, PROPN 
2c, PROPN 

, SPACE 
sides, NOUN 
filter, NOUN 
samples, NOUN 
coated, VERB 

, SPACE 
700, NUM 
900, NUM 
nm, NOUN 
thick, ADJ 
Al, PROPN 
layers, NOUN 
metallization, NOUN 
per-, X 

, SPACE 
formed, VERB 
standard, ADJ 
electron, NOUN 
gun, NOUN 
evaporation, NOUN 
unit, NOUN 

, SPACE 
layer, NOUN 
growth, NOUN 
rate, NOUN 
varied, VERB 
5, NUM 
10, NUM 
rim, NOUN 
s, PROPN 

, SPACE 
vacuum, NOUN 
evaporation, NOUN 
kept, VERB 
10d3, NUM 
Pa., PROPN 

, SPACE 
aerosol, NOUN 
samples, NOUN 
measured, VERB 
1, NUM 
2, NUM 
3, NUM 
MeV, NOUN 

, SPACE 
4He, NUM 
ion, NOUN 
beams, NOUN 
RBS, PROPN 
station, NOUN 
installed, VERB 
25, NUM 
line, NOUN 

, SPACE 
3, NUM 
MV, PROPN 
Pelletron, PROPN 
tandem, NOUN 
accelerator, NOUN 
Max-, PROPN 

, SPACE 
Planck, PROPN 
Institut, PROPN 
fir, NOUN 
Kemphysik, PROPN 
161, NUM 
samples, NOUN 
mea-, ADJ 

, SPACE 
sured, VERB 
conditions, NOUN 
normal, ADJ 
incidence, NOUN 
160, NUM 
backscat-, X 

, SPACE 
tering, VERB 
angle, NOUN 
0.8, NUM 
msr, CCONJ 
solid, ADJ 
angle, NOUN 
subtended, VERB 
single, ADJ 

, SPACE 
Si, PROPN 
detector, NOUN 
average, ADJ 
analyzing, NOUN 
beam, NOUN 
current, NOUN 
30, NUM 
Fig, PROPN 
3, X 
SEM, PROPN 
photograph, NOUN 
1.0, NUM 
pm, NOUN 
Nuclepore, PROPN 
filter, NOUN 

, SPACE 
aerosols, NOUN 
collected, VERB 
0.45, NUM 
m3, PROPN 
air, NOUN 

, SPACE 
nA, VERB 
beam, NOUN 
spot, NOUN 
0.1, NUM 
cm2, NOUN 
detector, NOUN 

, SPACE 
energy, NOUN 
resolution, NOUN 
12, NUM 
keV, NOUN 
FWHM, PROPN 
171, NUM 

, SPACE 
determination, NOUN 
sensitivity, NOUN 
RBS, PROPN 

, SPACE 
measurements, VERB 
set, NOUN 
metallized, ADJ 
filters, NOUN 
Si, PROPN 
substrates, NOUN 

, SPACE 
implanted, VERB 
2, NUM 
keV, NOUN 
Pb, PROPN 
Ag, PROPN 
V, NOUN 
ions, NOUN 
areal, ADJ 

, SPACE 
doses, NOUN 
10, NUM 
lOr4, PROPN 
ions, NOUN 
cm2, NOUN 
implanted, ADJ 
samples, NOUN 

, SPACE 
measured, VERB 
conditions, NOUN 
aerosol, VERB 

, SPACE 
filters, NOUN 

, SPACE 
4, X 
Results, NOUN 
discussion, NOUN 

, SPACE 
Prior, ADV 
evaluation, NOUN 
material, NOUN 
unexposed, ADJ 

, SPACE 
filters, NOUN 
checked, VERB 
Fig, PROPN 
4a, NUM 
interesting, ADJ 
mass, NOUN 

, SPACE 
region, NOUN 
50, NUM 
208, NUM 
amu, ADJ 
contamina-, ADJ 

, SPACE 
tion, NOUN 
m, PROPN 
=, NOUN 
50, NUM 
+, SYM 
1, NUM 
amu, ADJ 
found, VERB 

, SPACE 
background, NOUN 
corrections, NOUN 
necessary, ADJ 
Similar, ADJ 
re-, PRON 

, SPACE 
sults, NOUN 
reported, VERB 
Ref, PROPN 
ill, PROPN 
Cr, PROPN 
de-, PROPN 

, SPACE 
tected, VERB 
PIXE, PROPN 
Spectra, PROPN 
clean, ADJ 
filter, NOUN 
implanted, VERB 

, SPACE 
2, NUM 
keV, NOUN 
lOI, NOUN 
Pb, ADJ 
ions, NOUN 
cm2, NOUN 
Fig, PROPN 
4b, PROPN 
real, ADJ 
aerosol, NOUN 

, SPACE 
sample, NOUN 
Fig, PROPN 
4c, NOUN 
compare, VERB 
contamination, NOUN 
level, NOUN 

, SPACE 
expected, VERB 
heavy, ADJ 
metal, NOUN 
signal, NOUN 
Note, VERB 
single, ADJ 
pile, NOUN 

, SPACE 
regime, NOUN 
channels, NOUN 
180, NUM 
360, NUM 
back-, NOUN 

, SPACE 
ground, NOUN 
varying, VERB 
actual, ADJ 
count, NOUN 
rates, NOUN 
present, ADJ 

, SPACE 
novel, NOUN 
technique, NOUN 
reducing, VERB 
kind, NOUN 
pile, NOUN 

, SPACE 
light, NOUN 
substrate, NOUN 
published, VERB 
181, NUM 

, SPACE 
RBS, PROPN 
spectra, PROPN 
taken, VERB 
combinations, NOUN 

, SPACE 
places, NOUN 
sampling, VERB 
time, NOUN 
air, NOUN 
flow, NOUN 
etc, X 
Typical, ADJ 
example, NOUN 

, SPACE 
measured, VERB 
spectra, NOUN 
upper, ADJ 
lower, ADJ 
stage, NOUN 

, SPACE 
stacking, NOUN 
filter, NOUN 
unit, NOUN 
shown, VERB 
Fig, PROPN 
5, NUM 
influence, NOUN 

, SPACE 
P., PROPN 
KoulE, PROPN 
et, PROPN 
ul./Nucl, PROPN 
Instr, PROPN 
und, NOUN 
M&h, NOUN 
Phyx, PROPN 
Rex, PROPN 
3, NUM 
118, NUM 
19961, NUM 
162, NUM 
166, NUM 
